1d#app#app13#app1324/.  0.297 -1.787  0.297 -1.704  0.297 -1.622  0.297 -1.540  0.297 -1.458  0.297 -1.375  0.297 -1.293  0.297 -1.211  0.297 -1.128  0.297 -1.046  0.297 -0.964  0.297 -0.882  0.297 -0.799  0.297 -0.717  0.297 -0.635  0.297 -0.553  0.297 -0.470  0.297 -0.388  0.297 -0.306  0.245 -0.245  0.187 -0.187  0.129 -0.129  0.071 -0.071  0.012 -0.012  -0.046 0.046  -0.104 0.104  -0.162 0.162  -0.220 0.220  -0.278 0.279  -0.337 0.337  -0.395 0.395  -0.447 0.455  -0.447 0.538  -0.447 0.620  -0.447 0.702  -0.447 0.785  -0.447 0.867  -0.447 0.949  -0.447 1.031  -0.447 1.114  -0.443 1.192  -0.361 1.192  -0.278 1.192  -0.196 1.192  -0.114 1.192  -0.032 1.192  0.051 1.192  0.133 1.192  0.215 1.192  0.297 1.192
3#apa#apa13#app1334/.  0.548 1.600  0.548 1.512  0.548 1.425  0.548 1.337  0.548 1.249  0.548 1.162  0.548 1.074  0.548 0.986  0.548 0.899  0.548 0.811  0.548 0.723  0.548 0.636  0.548 0.548  0.548 0.460  0.548 0.373  0.548 0.285  0.548 0.197  0.548 0.110  0.548 0.022  0.548 -0.066  0.548 -0.153  0.548 -0.241  0.548 -0.329  0.548 -0.416  0.548 -0.504  0.504 -0.548  0.416 -0.548  0.329 -0.548  0.241 -0.548  0.153 -0.548  0.066 -0.548  -0.022 -0.548  -0.110 -0.548  -0.197 -0.548  -0.285 -0.548  -0.373 -0.548  -0.460 -0.548  -0.548 -0.548  -0.636 -0.548  -0.723 -0.548  -0.811 -0.548  -0.899 -0.548  -0.986 -0.548  -1.074 -0.548  -1.161 -0.548  -1.249 -0.548  -1.337 -0.548  -1.425 -0.548  -1.512 -0.548  -1.600 -0.548
1d#apa#apa04#app0448/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa04#app0433/.  1.124 0.562  0.983 0.562  0.843 0.562  0.702 0.562  0.562 0.562  0.421 0.562  0.281 0.562  0.141 0.562  -0.000 0.562  -0.141 0.562  -0.281 0.562  -0.421 0.562  -0.562 0.562  -0.702 0.562  -0.843 0.562  -0.983 0.562  -1.124 0.562  -1.171 0.468  -1.171 0.328  -1.171 0.187  -1.171 0.047  -1.171 -0.094  -1.171 -0.234  -1.171 -0.375  -1.171 -0.515  -1.100 -0.585  -0.960 -0.585  -0.819 -0.585  -0.679 -0.585  -0.539 -0.585  -0.398 -0.585  -0.258 -0.585  -0.117 -0.585  0.023 -0.585  0.164 -0.585  0.304 -0.585  0.445 -0.585  0.585 -0.585  0.726 -0.585  0.866 -0.585  1.007 -0.585  1.124 -0.562  1.124 -0.421  1.124 -0.281  1.124 -0.140  1.124 -0.000  1.124 0.140  1.124 0.281  1.124 0.421  1.124 0.562
2#apa#apa15#app1560/.  1.200 1.200  1.151 1.151  1.103 1.103  1.054 1.054  1.004 1.004  0.955 0.955  0.907 0.907  0.858 0.858  0.808 0.808  0.759 0.759  0.711 0.711  0.661 0.661  0.612 0.612  0.563 0.563  0.515 0.515  0.465 0.465  0.416 0.416  0.368 0.368  0.319 0.319  0.269 0.269  0.220 0.220  0.172 0.172  0.123 0.123  0.073 0.073  0.024 0.024  -0.024 -0.024  -0.073 -0.073  -0.123 -0.123  -0.172 -0.172  -0.220 -0.220  -0.269 -0.269  -0.319 -0.319  -0.368 -0.368  -0.416 -0.416  -0.465 -0.465  -0.515 -0.515  -0.563 -0.563  -0.612 -0.612  -0.661 -0.661  -0.711 -0.711  -0.759 -0.759  -0.808 -0.808  -0.858 -0.858  -0.907 -0.907  -0.955 -0.955  -1.004 -1.004  -1.054 -1.054  -1.103 -1.103  -1.151 -1.151  -1.200 -1.200
2#apa#apa04#app0443/.  0.174 1.323  0.251 1.246  0.329 1.168  0.407 1.091  0.484 1.013  0.562 0.936  0.639 0.858  0.717 0.780  0.794 0.703  0.872 0.625  0.949 0.548  1.012 0.464  1.012 0.354  1.012 0.244  1.012 0.135  1.012 0.025  1.012 -0.085  1.012 -0.194  1.012 -0.304  0.951 -0.353  0.841 -0.353  0.731 -0.353  0.622 -0.353  0.512 -0.353  0.402 -0.353  0.293 -0.353  0.183 -0.353  0.073 -0.353  -0.037 -0.353  -0.146 -0.353  -0.256 -0.353  -0.366 -0.353  -0.475 -0.353  -0.585 -0.353  -0.695 -0.353  -0.804 -0.353  -0.914 -0.353  -1.024 -0.353  -1.134 -0.353  -1.243 -0.353  -1.353 -0.353  -1.463 -0.353  -1.432 -0.353  -1.322 -0.353  -1.213 -0.353  -1.103 -0.353  -0.993 -0.353  -0.884 -0.353  -0.774 -0.353  -0.664 -0.353
3#apb#apb32#app3246/.  0.256 0.290  0.149 0.290  0.043 0.290  -0.064 0.290  -0.170 0.290  -0.277 0.290  -0.384 0.290  -0.490 0.290  -0.597 0.290  -0.704 0.290  -0.810 0.290  -0.917 0.290  -1.023 0.290  -1.130 0.290  -1.237 0.290  -1.343 0.290  -1.450 0.290  -1.348 0.264  -1.244 0.239  -1.141 0.213  -1.037 0.187  -0.934 0.161  -0.830 0.135  -0.727 0.109  -0.623 0.083  -0.520 0.057  -0.417 0.032  -0.313 0.006  -0.210 -0.020  -0.106 -0.046  -0.003 -0.072  0.101 -0.098  0.204 -0.124  0.308 -0.149  0.411 -0.175  0.514 -0.201  0.618 -0.227  0.721 -0.253  0.825 -0.279  0.928 -0.305  1.032 -0.330  1.135 -0.356  1.238 -0.382  1.342 -0.408  1.445 -0.434  1.549 -0.460  1.652 -0.486  1.756 -0.511  1.859 -0.537  1.963 -0.563
3#apb#apb32#app3246/.  -0.798 0.657  -0.850 0.588  -0.902 0.518  -0.954 0.449  -1.007 0.379  -1.059 0.310  -1.111 0.240  -1.163 0.170  -1.215 0.101  -1.267 0.031  -1.320 -0.038  -1.289 -0.066  -1.202 -0.066  -1.115 -0.066  -1.028 -0.066  -0.941 -0.066  -0.854 -0.066  -0.767 -0.066  -0.680 -0.066  -0.593 -0.066  -0.506 -0.066  -0.419 -0.066  -0.332 -0.066  -0.245 -0.066  -0.158 -0.066  -0.071 -0.066  0.016 -0.066  0.103 -0.066  0.189 -0.053  0.275 -0.038  0.361 -0.024  0.446 -0.010  0.532 0.005  0.618 0.019  0.704 0.033  0.789 0.047  0.875 0.062  0.961 0.076  1.047 0.090  1.133 0.105  1.204 0.091  1.243 0.013  1.282 -0.065  1.321 -0.142  1.360 -0.220  1.399 -0.298  1.438 -0.376  1.477 -0.454  1.515 -0.531  1.554 -0.609
3#apb#apb32#app3246/.  -0.145 1.413  -0.199 1.340  -0.254 1.267  -0.309 1.194  -0.364 1.121  -0.419 1.048  -0.474 0.975  -0.528 0.902  -0.583 0.828  -0.638 0.755  -0.693 0.682  -0.748 0.609  -0.790 0.532  -0.790 0.440  -0.790 0.349  -0.790 0.257  -0.790 0.166  -0.790 0.075  -0.790 -0.017  -0.790 -0.108  -0.790 -0.200  -0.790 -0.291  -0.714 -0.307  -0.622 -0.307  -0.531 -0.307  -0.440 -0.307  -0.348 -0.307  -0.257 -0.307  -0.165 -0.307  -0.074 -0.307  0.017 -0.307  0.109 -0.307  0.200 -0.307  0.292 -0.307  0.383 -0.307  0.475 -0.307  0.557 -0.340  0.635 -0.387  0.713 -0.434  0.792 -0.481  0.870 -0.528  0.949 -0.576  1.027 -0.623  1.105 -0.670  1.184 -0.717  1.262 -0.764  1.340 -0.811  1.419 -0.858  1.497 -0.905  1.576 -0.952
3#apb#apb32#app3246/.  -0.771 0.000  -0.851 0.000  -0.931 0.000  -1.011 0.000  -1.091 0.000  -1.171 0.000  -1.250 0.000  -1.330 0.000  -1.410 0.000  -1.357 0.000  -1.277 0.000  -1.197 0.000  -1.117 0.000  -1.038 0.000  -0.958 0.000  -0.878 0.000  -0.798 0.000  -0.718 0.000  -0.638 0.000  -0.559 0.000  -0.479 0.000  -0.399 0.000  -0.319 0.000  -0.239 0.000  -0.160 0.000  -0.080 0.000  0.000 0.000  0.080 0.000  0.160 0.000  0.239 0.000  0.319 0.000  0.399 0.000  0.479 0.000  0.559 0.000  0.638 0.000  0.718 0.000  0.798 0.000  0.878 0.000  0.958 0.000  1.038 0.000  1.117 0.000  1.197 0.000  1.277 0.000  1.357 0.000  1.437 0.000  1.516 0.000  1.596 0.000  1.676 0.000  1.756 0.000  1.836 0.000
3#apb#apb32#app3246/.  -0.540 1.529  -0.554 1.436  -0.569 1.344  -0.583 1.251  -0.597 1.158  -0.611 1.066  -0.625 0.973  -0.640 0.881  -0.654 0.788  -0.668 0.695  -0.682 0.603  -0.697 0.510  -0.711 0.418  -0.725 0.325  -0.739 0.232  -0.754 0.140  -0.768 0.047  -0.782 -0.045  -0.796 -0.138  -0.739 -0.200  -0.662 -0.255  -0.586 -0.309  -0.510 -0.364  -0.434 -0.418  -0.358 -0.473  -0.281 -0.527  -0.205 -0.581  -0.129 -0.636  -0.053 -0.690  0.024 -0.745  0.100 -0.799  0.192 -0.805  0.285 -0.805  0.376 -0.797  0.442 -0.731  0.508 -0.665  0.574 -0.599  0.641 -0.532  0.707 -0.466  0.773 -0.400  0.839 -0.334  0.912 -0.278  1.001 -0.248  1.090 -0.219  1.179 -0.189  1.268 -0.159  1.336 -0.096  1.402 -0.030  1.468 0.036  1.535 0.102
