1a#apb#apb02#app0237/4  0.229 1.037  0.203 1.253  0.112 1.050  0.109 0.809  0.128 0.569  0.159 0.330  0.198 0.092  0.238 -0.145  0.275 -0.384  0.309 -0.622  0.334 -0.862  0.370 -1.100  0.421 -1.336  0.507 -1.560  0.511 -1.557  0.468 -1.321  0.465 -1.081  0.421 -0.844  0.376 -0.607  0.331 -0.370  0.286 -0.133  0.241 0.104  0.196 0.341  0.151 0.577  0.106 0.814  0.062 1.051  0.034 1.290  -0.076 1.488  -0.209 1.346  -0.342 1.145  -0.480 0.947  -0.627 0.756  -0.773 0.564  -0.912 0.368  -1.051 0.171  -1.204 -0.016  -1.346 -0.209  -1.438 -0.371  -1.214 -0.320  -0.975 -0.349  -0.735 -0.370  -0.494 -0.376  -0.253 -0.373  -0.015 -0.339  0.224 -0.305  0.465 -0.304  0.704 -0.289  0.939 -0.234  1.170 -0.166  1.403 -0.161
1a#apb#apb02#app0237/8  0.209 0.862  0.217 1.094  0.029 1.244  -0.179 1.324  -0.389 1.187  -0.558 1.004  -0.636 0.772  -0.625 0.527  -0.487 0.321  -0.268 0.207  -0.021 0.169  0.229 0.192  0.463 0.273  0.634 0.452  0.698 0.694  0.697 0.939  0.537 1.120  0.287 1.137  0.042 1.106  -0.177 0.988  -0.389 0.877  -0.284 0.669  -0.170 0.446  -0.056 0.222  0.058 -0.001  0.172 -0.225  0.080 -0.096  -0.155 -0.107  -0.380 -0.199  -0.538 -0.392  -0.700 -0.583  -0.831 -0.794  -0.867 -1.042  -0.835 -1.289  -0.695 -1.469  -0.467 -1.574  -0.218 -1.583  0.029 -1.551  0.272 -1.489  0.500 -1.384  0.692 -1.224  0.833 -1.018  0.919 -0.784  0.866 -0.542  0.758 -0.317  0.590 -0.131  0.380 0.006  0.147 0.070  -0.093 0.001  -0.318 -0.107
1a#apb#apb02#app0237/1  0.018 0.974  -0.002 1.053  -0.019 1.133  -0.035 1.213  -0.081 1.280  -0.127 1.346  -0.183 1.387  -0.204 1.435  -0.220 1.355  -0.233 1.275  -0.241 1.194  -0.249 1.113  -0.257 1.032  -0.241 0.952  -0.224 0.872  -0.207 0.793  -0.190 0.713  -0.173 0.633  -0.159 0.553  -0.145 0.473  -0.130 0.393  -0.116 0.313  -0.102 0.232  -0.088 0.152  -0.073 0.072  -0.058 -0.008  -0.043 -0.088  -0.028 -0.168  -0.013 -0.248  0.009 -0.326  0.033 -0.404  0.057 -0.482  0.081 -0.560  0.105 -0.638  0.129 -0.716  0.153 -0.793  0.177 -0.871  0.201 -0.949  0.230 -1.025  0.262 -1.100  0.293 -1.175  0.302 -1.256  0.311 -1.337  0.320 -1.418  0.295 -1.495  0.251 -1.508  0.191 -1.454  0.151 -1.388  0.139 -1.307  0.128 -1.227
1a#apb#apb02#app0237/0  -0.310 0.596  -0.292 0.726  -0.309 0.852  -0.434 0.829  -0.548 0.766  -0.639 0.676  -0.706 0.564  -0.758 0.445  -0.797 0.320  -0.833 0.195  -0.862 0.067  -0.889 -0.060  -0.898 -0.191  -0.908 -0.321  -0.901 -0.452  -0.890 -0.582  -0.839 -0.701  -0.780 -0.818  -0.680 -0.903  -0.577 -0.983  -0.470 -1.058  -0.351 -1.095  -0.220 -1.095  -0.090 -1.087  0.039 -1.065  0.160 -1.024  0.269 -0.951  0.377 -0.878  0.475 -0.791  0.572 -0.703  0.661 -0.608  0.749 -0.511  0.809 -0.398  0.854 -0.275  0.888 -0.149  0.918 -0.021  0.932 0.108  0.932 0.239  0.930 0.369  0.907 0.498  0.877 0.625  0.827 0.746  0.770 0.862  0.664 0.938  0.548 0.996  0.424 1.036  0.296 1.062  0.166 1.067  0.035 1.067  -0.096 1.067
1a#apb#apb02#app0237/5  -0.165 0.363  -0.136 0.569  -0.125 0.774  -0.126 0.979  -0.142 1.177  -0.191 1.050  -0.255 0.852  -0.334 0.661  -0.414 0.469  -0.492 0.277  -0.529 0.073  -0.483 -0.121  -0.310 -0.186  -0.102 -0.186  0.104 -0.179  0.299 -0.108  0.501 -0.102  0.700 -0.155  0.878 -0.257  0.880 -0.462  0.855 -0.667  0.778 -0.860  0.677 -1.040  0.531 -1.182  0.353 -1.287  0.165 -1.373  -0.033 -1.433  -0.240 -1.433  -0.447 -1.415  -0.642 -1.355  -0.695 -1.215  -0.492 -1.184  -0.456 -0.981  -0.422 -0.777  -0.388 -0.572  -0.354 -0.368  -0.319 -0.163  -0.285 0.041  -0.251 0.246  -0.217 0.450  -0.183 0.655  -0.149 0.859  -0.116 1.064  -0.214 1.212  -0.013 1.218  0.194 1.212  0.401 1.212  0.609 1.212  0.814 1.224  0.983 1.212
1a#apb#apb02#app0237/7  -0.604 0.646  -0.688 0.689  -0.738 0.771  -0.809 0.828  -0.755 0.771  -0.652 0.771  -0.550 0.771  -0.447 0.771  -0.347 0.792  -0.247 0.815  -0.147 0.838  -0.048 0.861  0.052 0.884  0.153 0.900  0.255 0.910  0.356 0.925  0.452 0.961  0.551 0.979  0.620 0.952  0.588 0.892  0.531 0.816  0.483 0.726  0.445 0.631  0.405 0.536  0.362 0.443  0.319 0.350  0.277 0.257  0.236 0.163  0.195 0.069  0.154 -0.025  0.123 -0.123  0.095 -0.221  0.067 -0.320  0.039 -0.418  0.014 -0.517  -0.004 -0.618  -0.022 -0.719  -0.041 -0.820  -0.059 -0.921  -0.073 -1.022  -0.085 -1.124  -0.098 -1.225  -0.100 -1.327  -0.092 -1.430  -0.084 -1.532  -0.070 -1.633  -0.042 -1.730  -0.014 -1.761  0.021 -1.667  0.021 -1.564
1a#apb#apb02#app0237/1  0.138 0.784  0.091 0.863  0.059 0.946  0.059 1.039  0.059 1.131  0.052 1.223  0.037 1.314  0.012 1.402  -0.053 1.459  -0.054 1.462  -0.059 1.372  -0.072 1.281  -0.074 1.189  -0.074 1.096  -0.074 1.004  -0.074 0.912  -0.074 0.820  -0.074 0.728  -0.074 0.635  -0.074 0.543  -0.074 0.451  -0.074 0.359  -0.074 0.266  -0.074 0.174  -0.070 0.082  -0.061 -0.009  -0.051 -0.101  -0.041 -0.193  -0.032 -0.285  -0.022 -0.376  -0.017 -0.468  -0.011 -0.560  -0.006 -0.652  -0.001 -0.745  0.004 -0.837  0.012 -0.928  0.021 -1.020  0.030 -1.112  0.048 -1.202  0.068 -1.292  0.085 -1.383  0.085 -1.475  0.109 -1.549  0.068 -1.467  0.059 -1.377  0.059 -1.284  0.060 -1.192  0.068 -1.101  0.077 -1.009  0.085 -0.917
1a#apb#apb02#app0237/2  -0.358 0.714  -0.463 0.779  -0.559 0.690  -0.594 0.560  -0.594 0.424  -0.594 0.289  -0.594 0.157  -0.573 0.289  -0.567 0.424  -0.554 0.559  -0.530 0.693  -0.501 0.825  -0.464 0.955  -0.419 1.083  -0.321 1.175  -0.202 1.241  -0.073 1.274  0.055 1.235  0.178 1.178  0.275 1.092  0.343 0.975  0.418 0.862  0.460 0.733  0.460 0.598  0.460 0.462  0.391 0.346  0.325 0.229  0.262 0.108  0.196 -0.010  0.116 -0.119  0.038 -0.230  -0.028 -0.348  -0.085 -0.471  -0.152 -0.586  -0.218 -0.698  -0.260 -0.827  -0.313 -0.950  -0.282 -1.081  -0.242 -1.211  -0.148 -1.265  -0.013 -1.265  0.123 -1.265  0.257 -1.260  0.385 -1.215  0.519 -1.200  0.655 -1.200  0.788 -1.223  0.918 -1.260  1.019 -1.198  1.062 -1.071
1a#apb#apb02#app0237/6  0.050 0.632  -0.027 0.786  -0.020 0.953  -0.019 1.125  -0.019 1.298  -0.019 1.470  -0.021 1.642  -0.043 1.813  -0.044 1.742  -0.080 1.573  -0.116 1.405  -0.156 1.237  -0.195 1.070  -0.244 0.904  -0.296 0.740  -0.347 0.576  -0.387 0.408  -0.427 0.240  -0.466 0.072  -0.497 -0.097  -0.529 -0.266  -0.561 -0.436  -0.593 -0.605  -0.568 -0.773  -0.522 -0.938  -0.437 -1.087  -0.290 -1.179  -0.125 -1.203  0.036 -1.159  0.187 -1.076  0.337 -0.992  0.466 -0.880  0.581 -0.752  0.670 -0.604  0.712 -0.441  0.724 -0.270  0.720 -0.098  0.664 0.062  0.511 0.121  0.365 0.037  0.239 -0.078  0.138 -0.217  0.048 -0.364  -0.033 -0.516  -0.076 -0.679  -0.083 -0.850  -0.030 -1.007  0.106 -1.105  0.274 -1.126  0.445 -1.110
1a#apb#apb02#app0237/3  -0.621 0.889  -0.744 0.950  -0.881 0.969  -0.949 0.970  -0.811 0.983  -0.675 1.018  -0.538 1.049  -0.401 1.078  -0.262 1.098  -0.122 1.110  0.018 1.112  0.150 1.083  0.261 0.998  0.303 0.879  0.235 0.756  0.155 0.642  0.068 0.532  -0.041 0.444  -0.156 0.364  -0.266 0.278  -0.384 0.203  -0.505 0.136  -0.511 0.084  -0.371 0.099  -0.234 0.127  -0.097 0.157  0.041 0.138  0.178 0.111  0.313 0.072  0.446 0.028  0.571 -0.035  0.694 -0.103  0.774 -0.218  0.842 -0.338  0.873 -0.475  0.852 -0.613  0.813 -0.746  0.745 -0.869  0.674 -0.990  0.594 -1.102  0.471 -1.171  0.348 -1.238  0.225 -1.305  0.087 -1.315  -0.053 -1.315  -0.193 -1.315  -0.333 -1.300  -0.466 -1.259  -0.601 -1.275  -0.520 -1.375
1a#apb#apb02#app0237/1  -0.242 0.379  -0.242 0.468  -0.242 0.557  -0.244 0.645  -0.265 0.732  -0.287 0.818  -0.304 0.905  -0.319 0.993  -0.321 1.082  -0.321 1.171  -0.332 1.259  -0.347 1.346  -0.313 1.314  -0.268 1.238  -0.240 1.153  -0.212 1.069  -0.183 0.985  -0.158 0.900  -0.137 0.813  -0.117 0.726  -0.097 0.640  -0.076 0.553  -0.056 0.467  -0.036 0.380  -0.017 0.293  0.003 0.207  0.023 0.120  0.043 0.033  0.062 -0.054  0.079 -0.141  0.094 -0.229  0.108 -0.316  0.123 -0.404  0.138 -0.492  0.153 -0.579  0.169 -0.667  0.185 -0.754  0.202 -0.842  0.218 -0.929  0.238 -1.016  0.263 -1.101  0.287 -1.187  0.311 -1.272  0.335 -1.358  0.354 -1.445  0.374 -1.532  0.384 -1.619  0.384 -1.708  0.410 -1.786  0.436 -1.812
