1a#apb#apb06#app0653/4  -1.088 0.606  -1.088 0.562  -1.157 0.442  -1.242 0.302  -1.307 0.152  -1.381 0.006  -1.391 -0.157  -1.346 -0.312  -1.260 -0.421  -1.095 -0.421  -0.930 -0.421  -0.768 -0.398  -0.607 -0.360  -0.446 -0.325  -0.284 -0.293  -0.124 -0.254  0.036 -0.220  0.201 -0.220  0.366 -0.220  0.415 -0.268  0.284 -0.253  0.300 -0.089  0.316 0.075  0.332 0.239  0.348 0.403  0.363 0.568  0.379 0.732  0.395 0.896  0.411 1.060  0.427 1.225  0.443 1.389  0.430 1.256  0.423 1.091  0.437 0.928  0.463 0.765  0.463 0.600  0.465 0.435  0.474 0.270  0.486 0.106  0.510 -0.057  0.535 -0.220  0.564 -0.383  0.596 -0.545  0.627 -0.707  0.651 -0.870  0.669 -1.034  0.681 -1.198  0.685 -1.363  0.675 -1.527  0.664 -1.570
1a#apb#apb06#app0653/9  0.911 -0.407  0.761 -0.407  0.612 -0.407  0.471 -0.355  0.330 -0.305  0.184 -0.269  0.041 -0.227  -0.101 -0.177  -0.244 -0.135  -0.390 -0.101  -0.532 -0.054  -0.672 0.001  -0.792 0.084  -0.898 0.190  -0.997 0.303  -1.083 0.424  -1.145 0.561  -1.135 0.710  -1.079 0.845  -0.974 0.938  -0.832 0.985  -0.686 1.021  -0.540 1.051  -0.391 1.067  -0.242 1.068  -0.094 1.045  0.051 1.011  0.192 0.958  0.321 0.886  0.442 0.798  0.543 0.690  0.628 0.566  0.704 0.438  0.771 0.304  0.809 0.161  0.826 0.012  0.803 -0.133  0.760 -0.277  0.708 -0.417  0.644 -0.552  0.574 -0.684  0.478 -0.799  0.382 -0.914  0.289 -1.032  0.198 -1.151  0.098 -1.261  -0.016 -1.359  -0.126 -1.460  -0.232 -1.566  -0.333 -1.667
1a#apb#apb06#app0653/1  -0.535 1.524  -0.472 1.492  -0.414 1.450  -0.360 1.404  -0.306 1.358  -0.252 1.311  -0.198 1.265  -0.145 1.218  -0.110 1.156  -0.075 1.094  -0.039 1.032  -0.004 0.970  0.025 0.907  0.025 0.836  0.025 0.764  0.025 0.693  0.025 0.622  0.025 0.551  0.033 0.480  0.043 0.410  0.054 0.340  0.065 0.269  0.076 0.199  0.087 0.128  0.098 0.058  0.108 -0.012  0.111 -0.083  0.111 -0.155  0.111 -0.226  0.111 -0.297  0.111 -0.368  0.111 -0.439  0.111 -0.511  0.111 -0.582  0.111 -0.653  0.111 -0.724  0.111 -0.795  0.111 -0.866  0.111 -0.938  0.111 -1.009  0.106 -1.080  0.089 -1.149  0.071 -1.218  0.054 -1.287  0.037 -1.356  0.028 -1.425  0.040 -1.495  0.051 -1.566  0.063 -1.636  0.111 -1.664
1a#apb#apb06#app0653/2  -1.325 0.993  -1.202 1.003  -1.079 1.012  -0.955 1.012  -0.832 1.017  -0.709 1.031  -0.586 1.044  -0.463 1.045  -0.341 1.032  -0.218 1.019  -0.096 0.998  0.024 0.968  0.144 0.938  0.257 0.889  0.369 0.837  0.462 0.760  0.530 0.662  0.530 0.538  0.497 0.427  0.417 0.332  0.338 0.238  0.248 0.153  0.155 0.072  0.061 -0.009  -0.031 -0.091  -0.121 -0.176  -0.212 -0.260  -0.304 -0.341  -0.399 -0.421  -0.493 -0.501  -0.571 -0.596  -0.643 -0.696  -0.649 -0.811  -0.541 -0.871  -0.426 -0.910  -0.304 -0.926  -0.181 -0.943  -0.059 -0.960  0.061 -0.932  0.181 -0.903  0.302 -0.874  0.422 -0.846  0.544 -0.825  0.666 -0.806  0.788 -0.786  0.910 -0.767  1.030 -0.738  1.150 -0.708  1.270 -0.678  1.389 -0.648
1a#apb#apb06#app0653/2  -0.803 1.014  -0.688 1.036  -0.573 1.058  -0.458 1.081  -0.343 1.103  -0.228 1.124  -0.112 1.140  0.004 1.155  0.120 1.163  0.235 1.140  0.350 1.117  0.457 1.077  0.551 1.007  0.615 0.916  0.636 0.806  0.567 0.711  0.498 0.616  0.412 0.538  0.315 0.473  0.218 0.408  0.121 0.342  0.030 0.269  -0.062 0.195  -0.153 0.122  -0.239 0.043  -0.322 -0.040  -0.405 -0.122  -0.488 -0.205  -0.562 -0.296  -0.635 -0.387  -0.694 -0.488  -0.737 -0.596  -0.738 -0.705  -0.694 -0.814  -0.619 -0.890  -0.509 -0.930  -0.398 -0.967  -0.285 -0.998  -0.172 -1.028  -0.057 -1.046  0.060 -1.046  0.177 -1.046  0.294 -1.046  0.411 -1.041  0.528 -1.035  0.645 -1.028  0.761 -1.013  0.875 -0.988  0.990 -0.962  1.104 -0.937
1a#apb#apb06#app0653/1  -0.318 1.629  -0.262 1.595  -0.213 1.546  -0.203 1.479  -0.197 1.410  -0.191 1.340  -0.184 1.271  -0.167 1.204  -0.151 1.136  -0.134 1.069  -0.117 1.001  -0.100 0.934  -0.083 0.867  -0.071 0.798  -0.062 0.729  -0.053 0.660  -0.044 0.591  -0.035 0.523  -0.026 0.454  -0.017 0.385  -0.009 0.316  -0.002 0.246  0.005 0.177  0.011 0.108  0.018 0.039  0.024 -0.030  0.031 -0.100  0.037 -0.169  0.043 -0.238  0.049 -0.307  0.055 -0.377  0.061 -0.446  0.067 -0.515  0.073 -0.584  0.080 -0.653  0.088 -0.723  0.096 -0.792  0.104 -0.861  0.112 -0.930  0.121 -0.999  0.125 -1.068  0.129 -1.137  0.133 -1.207  0.137 -1.276  0.141 -1.346  0.150 -1.414  0.164 -1.483  0.178 -1.551  0.192 -1.619  0.209 -1.686
1a#apb#apb06#app0653/9  1.288 -0.691  1.137 -0.686  0.995 -0.632  0.856 -0.570  0.715 -0.513  0.575 -0.455  0.435 -0.395  0.293 -0.339  0.150 -0.288  0.007 -0.237  -0.135 -0.182  -0.277 -0.127  -0.417 -0.067  -0.556 -0.006  -0.691 0.062  -0.806 0.162  -0.921 0.261  -1.018 0.377  -1.104 0.502  -1.158 0.641  -1.190 0.790  -1.184 0.941  -1.091 1.035  -0.945 1.075  -0.795 1.091  -0.643 1.078  -0.495 1.044  -0.348 1.005  -0.206 0.951  -0.065 0.895  0.075 0.835  0.214 0.774  0.339 0.691  0.452 0.588  0.536 0.464  0.604 0.328  0.640 0.183  0.657 0.032  0.646 -0.117  0.601 -0.262  0.554 -0.406  0.503 -0.550  0.453 -0.693  0.392 -0.833  0.331 -0.972  0.249 -1.100  0.164 -1.226  0.086 -1.356  0.030 -1.497  0.065 -1.604
1a#apb#apb06#app0653/1  -0.112 1.621  -0.073 1.631  -0.063 1.565  -0.063 1.496  -0.063 1.426  -0.063 1.356  -0.063 1.286  -0.063 1.216  -0.063 1.147  -0.063 1.077  -0.063 1.007  -0.063 0.937  -0.063 0.868  -0.063 0.798  -0.063 0.728  -0.063 0.658  -0.063 0.589  -0.063 0.519  -0.061 0.449  -0.058 0.380  -0.056 0.310  -0.054 0.240  -0.052 0.170  -0.049 0.101  -0.047 0.031  -0.045 -0.039  -0.043 -0.108  -0.040 -0.178  -0.038 -0.248  -0.036 -0.318  -0.034 -0.387  -0.031 -0.457  -0.027 -0.527  -0.014 -0.595  -0.001 -0.664  0.013 -0.732  0.026 -0.801  0.039 -0.869  0.052 -0.938  0.066 -1.006  0.079 -1.074  0.093 -1.143  0.107 -1.211  0.122 -1.279  0.149 -1.343  0.177 -1.407  0.204 -1.472  0.228 -1.537  0.248 -1.604  0.268 -1.671
1a#apb#apb06#app0653/5  0.801 0.753  0.644 0.697  0.495 0.616  0.325 0.613  0.157 0.632  -0.007 0.676  -0.171 0.720  -0.338 0.753  -0.502 0.797  -0.664 0.849  -0.828 0.868  -0.985 0.805  -1.126 0.712  -1.209 0.564  -1.264 0.404  -1.291 0.236  -1.262 0.072  -1.129 -0.022  -0.960 -0.015  -0.794 0.022  -0.637 0.085  -0.478 0.142  -0.311 0.175  -0.145 0.212  0.022 0.244  0.191 0.264  0.360 0.256  0.529 0.238  0.699 0.238  0.858 0.189  1.010 0.114  1.145 0.012  1.241 -0.128  1.300 -0.287  1.296 -0.456  1.258 -0.621  1.159 -0.758  1.026 -0.864  0.871 -0.933  0.707 -0.964  0.537 -0.962  0.369 -0.936  0.201 -0.910  0.034 -0.880  -0.133 -0.846  -0.296 -0.800  -0.459 -0.749  -0.614 -0.681  -0.762 -0.598  -0.869 -0.542
1a#apb#apb06#app0653/7  -1.436 0.781  -1.392 0.893  -1.225 0.911  -1.057 0.911  -0.889 0.925  -0.722 0.947  -0.555 0.969  -0.388 0.984  -0.220 1.000  -0.055 1.031  0.109 1.070  0.274 1.097  0.442 1.097  0.611 1.097  0.629 0.996  0.565 0.841  0.499 0.686  0.451 0.525  0.408 0.362  0.362 0.200  0.313 0.039  0.271 -0.124  0.243 -0.290  0.214 -0.456  0.183 -0.621  0.159 -0.787  0.148 -0.955  0.148 -1.124  0.144 -1.288  0.002 -1.209  -0.134 -1.110  -0.270 -1.010  -0.406 -0.911  -0.542 -0.812  -0.678 -0.712  -0.814 -0.613  -0.747 -0.560  -0.582 -0.531  -0.418 -0.492  -0.255 -0.449  -0.092 -0.410  0.076 -0.392  0.243 -0.374  0.410 -0.356  0.577 -0.333  0.744 -0.310  0.911 -0.287  1.079 -0.282  1.247 -0.282  1.415 -0.282
1a#apb#apb06#app0653/1  -0.429 0.944  -0.401 1.014  -0.373 1.085  -0.344 1.156  -0.316 1.227  -0.311 1.303  -0.311 1.379  -0.263 1.338  -0.216 1.278  -0.172 1.216  -0.127 1.153  -0.092 1.086  -0.067 1.014  -0.041 0.942  -0.016 0.870  0.010 0.798  0.035 0.726  0.060 0.654  0.078 0.580  0.087 0.504  0.095 0.429  0.104 0.353  0.113 0.277  0.122 0.201  0.131 0.125  0.132 0.049  0.132 -0.028  0.132 -0.104  0.132 -0.180  0.132 -0.257  0.132 -0.333  0.132 -0.410  0.132 -0.486  0.132 -0.562  0.132 -0.639  0.132 -0.715  0.132 -0.792  0.132 -0.868  0.126 -0.944  0.121 -1.020  0.115 -1.097  0.110 -1.173  0.104 -1.249  0.092 -1.324  0.077 -1.399  0.062 -1.474  0.047 -1.549  0.034 -1.624  0.022 -1.700  0.014 -1.775
