1b#apa#apa02#app0283/Z  -0.853 0.788  -0.929 0.967  -0.957 1.167  -0.782 1.203  -0.571 1.203  -0.360 1.203  -0.159 1.261  0.045 1.306  0.213 1.203  0.391 1.170  0.355 0.995  0.248 0.892  0.153 0.757  0.077 0.578  -0.072 0.429  -0.147 0.249  -0.272 0.083  -0.335 -0.113  -0.438 -0.281  -0.474 -0.456  -0.542 -0.600  -0.542 -0.810  -0.509 -1.008  -0.360 -1.157  -0.160 -1.182  0.051 -1.182  0.262 -1.182  0.473 -1.182  0.684 -1.182  0.885 -1.142  1.081 -1.078  1.249 -0.975  1.194 -0.958  1.015 -0.845  0.837 -0.732  0.659 -0.620  0.480 -0.507  0.302 -0.395  0.124 -0.282  -0.055 -0.169  -0.233 -0.057  -0.411 0.056  -0.589 0.168  -0.734 0.285  -0.560 0.373  -0.349 0.373  -0.138 0.373  0.073 0.373  0.284 0.373  0.391 0.269
1b#apa#apa02#app0283/A  -0.735 -1.404  -0.735 -1.199  -0.735 -0.994  -0.735 -0.789  -0.735 -0.584  -0.735 -0.380  -0.662 -0.205  -0.594 -0.028  -0.594 0.176  -0.594 0.381  -0.594 0.586  -0.594 0.791  -0.594 0.996  -0.594 1.200  -0.594 1.405  -0.413 1.452  -0.249 1.552  -0.045 1.552  0.110 1.502  0.191 1.330  0.250 1.150  0.381 1.000  0.426 0.814  0.532 0.653  0.532 0.448  0.532 0.243  0.607 0.069  0.673 -0.108  0.673 -0.313  0.673 -0.518  0.673 -0.723  0.673 -0.928  0.813 -0.992  0.813 -1.196  0.705 -1.177  0.545 -1.049  0.386 -0.921  0.226 -0.793  0.066 -0.665  -0.094 -0.537  -0.254 -0.409  -0.414 -0.281  -0.574 -0.153  -0.415 -0.137  -0.211 -0.137  -0.006 -0.137  0.199 -0.137  0.404 -0.137  0.609 -0.137  0.813 -0.137
1b#apa#apa02#app0283/P  -0.202 0.737  -0.202 0.532  -0.202 0.327  -0.202 0.122  -0.202 -0.083  -0.202 -0.287  -0.202 -0.492  -0.202 -0.697  -0.202 -0.902  -0.202 -1.107  -0.202 -1.312  -0.202 -1.516  -0.202 -1.721  -0.242 -1.616  -0.294 -1.418  -0.346 -1.220  -0.398 -1.022  -0.451 -0.824  -0.503 -0.626  -0.555 -0.428  -0.607 -0.230  -0.659 -0.031  -0.711 0.167  -0.763 0.365  -0.815 0.563  -0.828 0.766  -0.719 0.862  -0.640 0.987  -0.435 0.987  -0.259 1.056  -0.077 1.113  0.128 1.113  0.299 1.079  0.412 0.987  0.617 0.987  0.800 0.966  0.901 0.862  0.981 0.737  1.060 0.611  1.176 0.522  1.132 0.361  1.051 0.238  0.925 0.158  0.814 -0.001  0.741 -0.140  0.537 -0.146  0.354 -0.238  0.198 -0.367  0.003 -0.391  -0.202 -0.391
1b#apa#apa02#app0283/K  -0.785 1.255  -0.785 1.503  -0.630 1.534  -0.630 1.286  -0.477 1.101  -0.475 0.854  -0.475 0.606  -0.389 0.393  -0.320 0.174  -0.320 -0.075  -0.320 -0.323  -0.320 -0.571  -0.320 -0.819  -0.320 -1.067  -0.320 -1.315  -0.338 -1.556  -0.448 -1.645  -0.328 -1.428  -0.207 -1.211  -0.087 -0.994  0.034 -0.777  0.154 -0.560  0.275 -0.343  0.395 -0.127  0.516 0.090  0.636 0.307  0.757 0.524  0.877 0.741  0.998 0.958  1.015 1.039  0.806 0.944  0.619 0.797  0.374 0.789  0.177 0.666  -0.044 0.600  -0.242 0.479  -0.440 0.359  -0.674 0.324  -0.785 0.187  -0.630 0.094  -0.462 0.014  -0.320 -0.092  -0.134 -0.172  0.063 -0.297  0.263 -0.414  0.474 -0.539  0.706 -0.607  0.799 -0.762  1.011 -0.851  1.076 -1.072
1b#apa#apa02#app0283/A  -0.594 -1.659  -0.594 -1.446  -0.594 -1.232  -0.594 -1.018  -0.594 -0.805  -0.594 -0.591  -0.594 -0.377  -0.594 -0.164  -0.594 0.050  -0.594 0.264  -0.594 0.477  -0.594 0.691  -0.594 0.904  -0.594 1.118  -0.461 1.276  -0.461 1.490  -0.298 1.541  -0.085 1.541  0.073 1.485  0.208 1.406  0.339 1.246  0.416 1.064  0.473 0.874  0.606 0.716  0.606 0.502  0.643 0.304  0.739 0.130  0.739 -0.084  0.739 -0.297  0.739 -0.511  0.739 -0.725  0.606 -0.883  0.606 -1.097  0.698 -1.096  0.525 -0.970  0.353 -0.845  0.180 -0.719  0.007 -0.593  -0.166 -0.468  -0.339 -0.342  -0.511 -0.216  -0.684 -0.091  -0.567 -0.059  -0.354 -0.059  -0.140 -0.059  0.073 -0.059  0.287 -0.059  0.453 -0.173  0.659 -0.192  0.873 -0.192
1b#apa#apa02#app0283/P  -0.488 0.273  -0.354 0.347  -0.354 0.526  -0.266 0.407  -0.221 0.244  -0.221 0.036  -0.221 -0.171  -0.221 -0.379  -0.221 -0.587  -0.221 -0.794  -0.221 -1.002  -0.221 -1.209  -0.221 -1.417  -0.335 -1.577  -0.227 -1.724  -0.264 -1.537  -0.309 -1.334  -0.354 -1.131  -0.399 -0.928  -0.444 -0.726  -0.489 -0.523  -0.534 -0.320  -0.579 -0.118  -0.624 0.085  -0.669 0.288  -0.714 0.490  -0.735 0.674  -0.621 0.768  -0.464 0.832  -0.301 0.941  -0.131 1.031  0.059 1.074  0.180 1.161  0.340 1.208  0.548 1.208  0.756 1.208  0.848 1.093  1.021 1.035  1.115 0.866  1.115 0.659  1.115 0.451  1.115 0.243  1.042 0.066  0.895 -0.081  0.709 -0.133  0.554 -0.261  0.347 -0.261  0.139 -0.261  -0.035 -0.342  -0.221 -0.395
1b#apa#apa02#app0283/O  0.364 0.853  0.362 1.000  0.258 1.105  0.126 1.143  -0.022 1.143  -0.071 1.044  -0.172 0.998  -0.320 0.998  -0.436 0.922  -0.505 0.803  -0.558 0.709  -0.650 0.652  -0.692 0.522  -0.795 0.417  -0.798 0.271  -0.903 0.166  -0.940 0.034  -0.940 -0.114  -0.940 -0.262  -0.940 -0.409  -0.864 -0.526  -0.795 -0.645  -0.742 -0.740  -0.650 -0.795  -0.592 -0.885  -0.505 -0.946  -0.441 -1.030  -0.294 -1.030  -0.146 -1.030  0.002 -1.030  0.150 -1.030  0.297 -1.030  0.436 -0.994  0.569 -0.928  0.654 -0.833  0.693 -0.701  0.797 -0.597  0.944 -0.594  0.944 -0.447  0.944 -0.299  0.944 -0.151  0.944 -0.003  0.933 0.140  0.828 0.244  0.799 0.380  0.722 0.496  0.617 0.600  0.513 0.704  0.509 0.851  0.364 0.853
1b#apa#apa02#app0283/W  -1.130 0.847  -1.055 0.847  -1.130 0.758  -1.139 0.599  -1.249 0.481  -1.249 0.317  -1.249 0.154  -1.249 -0.010  -1.204 -0.155  -1.130 -0.288  -1.130 -0.451  -1.026 -0.572  -0.868 -0.587  -0.724 -0.540  -0.591 -0.468  -0.533 -0.362  -0.392 -0.327  -0.276 -0.211  -0.160 -0.096  -0.055 0.024  -0.014 0.171  0.065 0.302  0.065 0.465  0.065 0.586  0.019 0.442  -0.055 0.309  -0.055 0.145  -0.055 -0.019  -0.055 -0.182  -0.055 -0.346  0.017 -0.492  0.123 -0.587  0.286 -0.587  0.407 -0.690  0.564 -0.707  0.727 -0.707  0.891 -0.707  1.036 -0.676  1.109 -0.530  1.207 -0.401  1.260 -0.260  1.260 -0.096  1.260 0.068  1.260 0.231  1.157 0.352  1.140 0.509  1.094 0.654  0.994 0.780  0.921 0.927  0.901 1.086
1b#apa#apa02#app0283/K  -1.028 1.032  -1.028 1.264  -0.887 1.270  -0.887 1.038  -0.747 0.864  -0.747 0.632  -0.715 0.407  -0.612 0.200  -0.606 -0.031  -0.606 -0.263  -0.606 -0.495  -0.606 -0.727  -0.606 -0.959  -0.606 -1.192  -0.747 -1.283  -0.729 -1.497  -0.539 -1.410  -0.398 -1.226  -0.258 -1.041  -0.117 -0.857  0.024 -0.673  0.165 -0.488  0.306 -0.304  0.447 -0.120  0.588 0.065  0.729 0.249  0.870 0.434  1.011 0.618  1.152 0.802  1.220 1.011  1.067 0.891  0.835 0.891  0.660 0.753  0.518 0.662  0.337 0.610  0.105 0.610  -0.069 0.470  -0.301 0.470  -0.392 0.329  -0.325 0.311  -0.215 0.189  -0.123 0.048  0.092 -0.020  0.237 -0.163  0.399 -0.233  0.518 -0.346  0.658 -0.438  0.769 -0.624  0.848 -0.795  0.939 -0.935
1b#apa#apa02#app0283/E  -0.304 0.782  -0.213 0.782  -0.458 0.782  -0.473 0.551  -0.612 0.445  -0.675 0.243  -0.810 0.053  -0.810 -0.192  -0.810 -0.438  -0.810 -0.684  -0.810 -0.929  -0.708 -1.073  -0.515 -1.199  -0.292 -1.254  -0.111 -1.410  0.135 -1.410  0.328 -1.283  0.556 -1.241  0.774 -1.175  0.977 -1.073  1.036 -0.899  0.826 -0.773  0.615 -0.646  0.405 -0.520  0.194 -0.394  -0.016 -0.267  -0.227 -0.141  -0.438 -0.015  -0.634 0.108  -0.473 0.023  -0.311 -0.061  -0.066 -0.061  0.180 -0.061  0.425 -0.061  0.671 -0.061  0.570 0.097  0.408 0.281  0.246 0.466  0.085 0.651  -0.077 0.836  -0.239 1.021  -0.401 1.206  -0.473 1.152  -0.260 1.120  -0.015 1.120  0.231 1.120  0.477 1.120  0.722 1.120  0.968 1.120  1.213 1.120
1b#apa#apa02#app0283/R  -0.242 0.855  -0.337 0.995  -0.417 0.820  -0.521 0.628  -0.650 0.447  -0.661 0.217  -0.661 -0.017  -0.661 -0.252  -0.661 -0.486  -0.661 -0.721  -0.661 -0.955  -0.661 -1.189  -0.694 -1.410  -0.717 -1.517  -0.626 -1.342  -0.580 -1.112  -0.534 -0.882  -0.488 -0.652  -0.442 -0.422  -0.396 -0.192  -0.350 0.037  -0.304 0.267  -0.258 0.497  -0.228 0.716  -0.103 0.825  0.043 0.995  0.278 0.995  0.512 0.995  0.747 0.995  0.981 0.995  1.216 0.995  1.432 0.977  1.352 0.775  1.158 0.649  0.941 0.576  0.715 0.556  0.530 0.437  0.342 0.324  0.119 0.297  -0.103 0.284  -0.179 0.081  -0.237 -0.122  -0.103 -0.222  -0.064 -0.440  0.129 -0.540  0.224 -0.680  0.380 -0.807  0.521 -0.959  0.708 -1.072  0.874 -1.238
