1b#apa#apa03#app0369/A  -0.298 0.660  -0.298 0.386  -0.451 0.174  -0.451 -0.101  -0.605 -0.312  -0.682 -0.569  -0.758 -0.826  -0.758 -1.101  -0.896 -1.318  -0.911 -1.587  -0.758 -1.482  -0.758 -1.207  -0.605 -0.996  -0.605 -0.721  -0.451 -0.510  -0.395 -0.244  -0.308 0.017  -0.298 0.290  -0.298 0.565  -0.171 0.787  -0.145 1.051  -0.092 1.274  0.029 1.427  0.304 1.427  0.579 1.427  0.776 1.349  0.929 1.227  0.929 0.953  0.929 0.678  0.776 0.466  0.769 0.194  0.622 -0.020  0.622 -0.295  0.622 -0.570  0.622 -0.845  0.622 -1.120  0.480 -1.020  0.297 -0.814  0.115 -0.609  -0.068 -0.403  -0.251 -0.198  -0.433 0.008  -0.593 0.188  -0.376 0.047  -0.159 0.186  0.080 0.272  0.321 0.354  0.559 0.444  0.808 0.507  1.082 0.507
1b#apa#apa03#app0369/B  -0.308 0.989  -0.308 0.719  -0.359 0.499  -0.472 0.341  -0.472 0.071  -0.472 -0.199  -0.580 -0.425  -0.635 -0.672  -0.635 -0.943  -0.635 -1.053  -0.635 -0.783  -0.635 -0.513  -0.635 -0.243  -0.635 0.028  -0.635 0.298  -0.635 0.568  -0.635 0.839  -0.635 1.109  -0.474 1.313  -0.205 1.316  0.004 1.167  0.268 1.152  0.538 1.152  0.808 1.152  0.998 1.071  0.998 0.801  0.866 0.663  0.758 0.499  0.508 0.480  0.394 0.279  0.149 0.173  -0.121 0.173  -0.228 0.010  -0.174 -0.125  0.084 -0.154  0.355 -0.154  0.625 -0.154  0.895 -0.154  1.116 -0.272  1.117 -0.480  0.998 -0.631  0.767 -0.711  0.537 -0.807  0.430 -0.970  0.214 -1.101  -0.043 -1.133  -0.150 -1.296  -0.421 -1.296  -0.691 -1.296  -0.961 -1.296
1b#apa#apa03#app0369/C  0.556 0.813  0.696 0.813  0.700 0.677  0.700 0.537  0.571 0.526  0.556 0.401  0.556 0.261  0.674 0.238  0.700 0.352  0.700 0.492  0.625 0.601  0.556 0.712  0.517 0.813  0.413 0.848  0.381 0.956  0.241 0.956  0.101 0.956  -0.038 0.956  -0.176 0.949  -0.301 0.886  -0.427 0.824  -0.530 0.731  -0.644 0.669  -0.736 0.621  -0.767 0.494  -0.866 0.395  -0.879 0.261  -0.879 0.121  -0.879 -0.019  -0.879 -0.158  -0.879 -0.298  -0.879 -0.438  -0.879 -0.578  -0.812 -0.690  -0.736 -0.798  -0.708 -0.910  -0.575 -0.927  -0.476 -1.026  -0.348 -1.054  -0.208 -1.054  -0.068 -1.054  0.071 -1.054  0.211 -1.054  0.351 -1.054  0.491 -1.054  0.631 -1.054  0.750 -1.004  0.851 -0.910  0.987 -0.906  0.987 -0.766
1b#apa#apa03#app0369/D  -0.567 0.599  -0.567 0.412  -0.567 0.226  -0.702 0.175  -0.708 -0.006  -0.708 -0.193  -0.708 -0.380  -0.708 -0.567  -0.708 -0.753  -0.708 -0.940  -0.705 -1.071  -0.682 -0.886  -0.658 -0.700  -0.635 -0.515  -0.612 -0.330  -0.589 -0.144  -0.566 0.041  -0.543 0.226  -0.519 0.412  -0.496 0.597  -0.473 0.782  -0.450 0.968  -0.427 1.153  -0.284 1.132  -0.205 1.024  -0.019 1.024  0.160 1.004  0.296 0.882  0.483 0.882  0.639 0.808  0.798 0.741  0.985 0.741  1.118 0.612  1.273 0.572  1.273 0.386  1.273 0.199  1.273 0.012  1.206 -0.108  1.052 -0.187  0.920 -0.319  0.848 -0.476  0.718 -0.533  0.583 -0.657  0.420 -0.747  0.259 -0.839  0.122 -0.957  -0.046 -1.003  -0.193 -1.099  -0.380 -1.099  -0.567 -1.099
1b#apa#apa03#app0369/E  -0.265 0.869  -0.265 0.588  -0.265 0.307  -0.343 0.059  -0.411 -0.194  -0.534 -0.424  -0.557 -0.695  -0.557 -0.976  -0.411 -0.954  -0.411 -0.673  -0.411 -0.392  -0.411 -0.111  -0.411 0.170  -0.411 0.451  -0.411 0.732  -0.411 1.013  -0.279 1.162  0.002 1.162  0.223 1.308  0.450 1.437  0.724 1.454  1.005 1.454  1.139 1.389  0.950 1.181  0.761 0.974  0.572 0.766  0.383 0.558  0.194 0.350  0.005 0.142  -0.184 -0.066  -0.151 -0.041  0.117 -0.009  0.321 0.068  0.532 0.138  0.451 0.020  0.224 -0.145  -0.003 -0.310  -0.230 -0.476  -0.457 -0.641  -0.685 -0.806  -0.912 -0.971  -0.850 -1.063  -0.684 -1.179  -0.404 -1.176  -0.137 -1.087  0.135 -1.032  0.416 -1.032  0.697 -1.032  0.957 -1.084  1.198 -1.179
1b#apa#apa03#app0369/F  -0.179 0.485  -0.179 0.260  -0.327 0.182  -0.327 -0.043  -0.336 -0.264  -0.475 -0.432  -0.475 -0.657  -0.605 -0.829  -0.764 -0.988  -0.771 -1.210  -0.771 -1.435  -0.919 -1.513  -0.868 -1.443  -0.793 -1.231  -0.718 -1.019  -0.643 -0.806  -0.568 -0.594  -0.493 -0.382  -0.418 -0.169  -0.344 0.043  -0.269 0.255  -0.194 0.468  -0.119 0.680  -0.044 0.892  0.156 0.928  0.381 0.928  0.550 1.065  0.770 1.076  0.995 1.076  1.221 1.076  1.446 1.076  1.532 1.038  1.339 0.922  1.146 0.806  0.953 0.690  0.760 0.574  0.566 0.459  0.373 0.343  0.180 0.227  -0.013 0.111  -0.206 -0.005  -0.399 -0.121  -0.592 -0.236  -0.581 -0.403  -0.356 -0.403  -0.131 -0.403  0.058 -0.314  0.258 -0.255  0.483 -0.255  0.709 -0.255
1b#apa#apa03#app0369/G  0.487 1.120  0.468 1.276  0.293 1.276  0.119 1.276  -0.056 1.276  -0.202 1.209  -0.340 1.120  -0.446 1.052  -0.533 0.965  -0.708 0.965  -0.757 0.840  -0.859 0.708  -0.913 0.555  -0.996 0.415  -1.068 0.271  -1.068 0.097  -1.068 -0.078  -1.068 -0.252  -0.964 -0.384  -0.841 -0.507  -0.717 -0.630  -0.592 -0.751  -0.436 -0.829  -0.282 -0.910  -0.159 -1.033  0.006 -1.057  0.180 -1.057  0.355 -1.057  0.529 -1.057  0.703 -1.057  0.878 -1.057  0.953 -0.958  0.953 -0.783  0.953 -0.609  0.953 -0.434  0.953 -0.260  0.915 -0.124  0.740 -0.124  0.566 -0.124  0.419 -0.057  0.282 0.032  0.107 0.032  -0.042 0.094  -0.093 0.187  0.081 0.187  0.176 0.107  0.274 0.032  0.449 0.032  0.623 0.032  0.798 0.032
1b#apa#apa03#app0369/H  -0.749 0.806  -0.795 0.586  -0.923 0.398  -0.979 0.172  -1.086 -0.043  -1.097 -0.280  -1.097 -0.521  -1.097 -0.761  -1.097 -1.001  -1.097 -1.241  -0.985 -1.121  -0.849 -0.923  -0.713 -0.726  -0.577 -0.528  -0.441 -0.330  -0.305 -0.132  -0.169 0.065  -0.033 0.263  0.103 0.461  0.239 0.659  0.375 0.857  0.511 1.054  0.647 1.252  0.782 1.450  0.993 1.502  0.945 1.281  0.819 1.094  0.819 0.854  0.819 0.614  0.819 0.374  0.819 0.134  0.666 -0.043  0.645 -0.274  0.645 -0.514  0.645 -0.754  0.645 -0.994  0.550 -1.028  0.368 -0.872  0.185 -0.716  0.003 -0.559  -0.179 -0.403  -0.361 -0.247  -0.544 -0.091  -0.375 -0.064  -0.135 -0.064  0.105 -0.064  0.280 0.093  0.513 0.110  0.753 0.110  0.993 0.110
1b#apa#apa03#app0369/I  0.176 1.437  0.252 1.437  0.328 1.437  0.388 1.421  0.388 1.344  0.388 1.268  0.388 1.192  0.388 1.116  0.388 1.040  0.388 0.963  0.388 0.887  0.388 0.811  0.323 0.799  0.247 0.799  0.176 0.795  0.176 0.719  0.176 0.642  0.161 0.572  0.107 0.518  0.053 0.464  -0.001 0.410  -0.037 0.349  -0.037 0.273  -0.037 0.197  -0.050 0.123  -0.074 0.050  -0.098 -0.022  -0.122 -0.094  -0.146 -0.167  -0.170 -0.239  -0.195 -0.311  -0.219 -0.383  -0.243 -0.456  -0.249 -0.531  -0.249 -0.607  -0.249 -0.683  -0.249 -0.760  -0.249 -0.836  -0.249 -0.912  -0.249 -0.988  -0.249 -1.064  -0.249 -1.141  -0.249 -1.217  -0.249 -1.293  -0.249 -1.369  -0.249 -1.446  -0.249 -1.522  -0.249 -1.598  -0.249 -1.674  -0.249 -1.750
1b#apa#apa03#app0369/J  0.208 0.838  0.208 0.691  0.208 0.545  0.235 0.424  0.346 0.389  0.346 0.242  0.346 0.095  0.346 -0.052  0.346 -0.199  0.346 -0.346  0.346 -0.492  0.346 -0.639  0.346 -0.786  0.264 -0.899  0.208 -1.023  0.132 -1.093  0.071 -1.179  -0.024 -1.231  -0.171 -1.231  -0.318 -1.231  -0.465 -1.231  -0.573 -1.139  -0.701 -1.093  -0.757 -1.002  -0.857 -0.955  -0.856 -0.853  -0.803 -0.716  -0.751 -0.579  -0.698 -0.442  -0.645 -0.305  -0.592 -0.168  -0.540 -0.031  -0.487 0.106  -0.434 0.243  -0.381 0.380  -0.329 0.517  -0.276 0.655  -0.223 0.792  -0.205 0.935  -0.100 0.976  0.014 1.057  0.137 1.114  0.284 1.114  0.431 1.114  0.578 1.114  0.724 1.114  0.871 1.114  1.018 1.114  1.165 1.114  1.312 1.114
1b#apa#apa03#app0369/K  -0.123 1.643  -0.123 1.412  -0.123 1.180  -0.278 1.104  -0.384 0.917  -0.433 0.706  -0.433 0.474  -0.546 0.289  -0.709 0.126  -0.873 -0.038  -0.899 -0.258  -0.899 -0.490  -1.035 -0.665  -1.054 -0.888  -1.054 -1.119  -0.906 -1.012  -0.737 -0.854  -0.568 -0.696  -0.399 -0.538  -0.230 -0.380  -0.061 -0.223  0.108 -0.065  0.277 0.093  0.446 0.251  0.616 0.409  0.785 0.567  0.954 0.724  1.123 0.882  1.273 0.996  1.171 0.867  0.963 0.844  0.863 0.712  0.653 0.692  0.556 0.557  0.479 0.402  0.276 0.335  0.112 0.172  -0.086 0.092  -0.260 -0.046  -0.424 -0.209  -0.370 -0.374  -0.278 -0.513  -0.123 -0.589  0.014 -0.684  0.090 -0.839  0.187 -0.973  0.381 -1.033  0.545 -1.197  0.731 -1.304  0.808 -1.459
