1b#apb#apb27#app2792/S  0.640 1.231  0.552 1.235  0.465 1.240  0.377 1.245  0.289 1.249  0.202 1.254  0.114 1.254  0.026 1.254  -0.062 1.254  -0.138 1.230  -0.195 1.163  -0.252 1.096  -0.285 1.015  -0.314 0.933  -0.344 0.850  -0.374 0.767  -0.358 0.683  -0.337 0.597  -0.315 0.512  -0.294 0.427  -0.265 0.345  -0.226 0.266  -0.186 0.188  -0.147 0.109  -0.108 0.031  -0.064 -0.045  -0.016 -0.119  0.031 -0.193  0.079 -0.266  0.126 -0.341  0.170 -0.416  0.214 -0.492  0.259 -0.568  0.299 -0.646  0.335 -0.726  0.371 -0.806  0.380 -0.892  0.369 -0.978  0.341 -1.061  0.278 -1.114  0.199 -1.153  0.121 -1.193  0.044 -1.235  -0.033 -1.277  -0.110 -1.319  -0.197 -1.323  -0.285 -1.323  -0.372 -1.323  -0.460 -1.323  -0.542 -1.299
1b#apb#apb27#app2792/A  -0.692 -0.547  -0.776 -0.683  -0.859 -0.820  -0.939 -0.958  -1.004 -1.105  -1.045 -1.165  -1.066 -1.007  -0.990 -0.866  -0.914 -0.725  -0.843 -0.581  -0.781 -0.434  -0.719 -0.286  -0.657 -0.139  -0.590 0.007  -0.522 0.152  -0.453 0.296  -0.385 0.441  -0.307 0.581  -0.228 0.720  -0.148 0.859  -0.056 0.989  0.037 1.120  0.130 1.250  0.257 1.346  0.390 1.434  0.527 1.376  0.613 1.241  0.699 1.106  0.737 0.954  0.757 0.795  0.777 0.636  0.793 0.477  0.809 0.318  0.825 0.158  0.834 -0.001  0.814 -0.160  0.794 -0.318  0.780 -0.478  0.780 -0.638  0.753 -0.790  0.713 -0.907  0.606 -0.790  0.480 -0.692  0.353 -0.594  0.227 -0.496  0.100 -0.398  -0.027 -0.300  -0.153 -0.202  -0.265 -0.090  -0.172 -0.085
1b#apb#apb27#app2792/N  -1.034 0.146  -1.057 0.045  -1.079 -0.056  -1.101 -0.156  -1.147 -0.249  -1.193 -0.341  -1.223 -0.440  -1.268 -0.493  -1.210 -0.407  -1.153 -0.321  -1.090 -0.239  -1.025 -0.159  -0.959 -0.080  -0.894 0.000  -0.828 0.080  -0.749 0.146  -0.670 0.212  -0.590 0.278  -0.511 0.344  -0.432 0.410  -0.373 0.486  -0.288 0.446  -0.222 0.367  -0.156 0.288  -0.130 0.188  -0.108 0.088  -0.086 -0.013  -0.038 -0.104  0.014 -0.194  0.075 -0.271  0.170 -0.312  0.265 -0.353  0.365 -0.352  0.467 -0.336  0.569 -0.321  0.671 -0.305  0.768 -0.273  0.856 -0.219  0.944 -0.165  1.031 -0.111  1.119 -0.057  1.200 0.006  1.270 0.082  1.340 0.158  1.410 0.234  1.479 0.310  1.549 0.386  1.616 0.465  1.683 0.543  1.751 0.621
1b#apb#apb27#app2792/H  -0.269 1.045  -0.293 0.895  -0.346 0.716  -0.399 0.537  -0.455 0.358  -0.510 0.180  -0.566 0.002  -0.637 -0.172  -0.708 -0.345  -0.782 -0.516  -0.863 -0.685  -0.943 -0.853  -1.022 -1.023  -1.110 -1.187  -1.134 -1.193  -1.073 -1.016  -1.013 -0.839  -0.952 -0.662  -0.891 -0.486  -0.830 -0.309  -0.833 -0.370  -0.657 -0.431  -0.473 -0.450  -0.286 -0.450  -0.102 -0.424  0.082 -0.388  0.265 -0.353  0.447 -0.309  0.629 -0.264  0.810 -0.218  0.863 -0.061  0.883 0.125  0.903 0.310  0.924 0.496  0.944 0.682  0.964 0.868  0.984 1.054  1.004 1.240  0.989 1.324  0.889 1.166  0.797 1.004  0.731 0.830  0.669 0.654  0.631 0.471  0.593 0.287  0.546 0.107  0.487 -0.070  0.428 -0.248  0.371 -0.426  0.315 -0.604
1b#apb#apb27#app2792/O  0.269 1.189  0.212 1.073  0.128 0.976  0.037 0.885  -0.054 0.794  -0.146 0.702  -0.237 0.611  -0.325 0.516  -0.413 0.422  -0.501 0.327  -0.590 0.233  -0.678 0.138  -0.756 0.037  -0.817 -0.077  -0.878 -0.191  -0.939 -0.305  -1.000 -0.419  -1.033 -0.542  -1.052 -0.670  -1.030 -0.794  -0.990 -0.917  -0.945 -1.035  -0.816 -1.035  -0.687 -1.035  -0.560 -1.023  -0.439 -0.978  -0.318 -0.932  -0.197 -0.887  -0.076 -0.842  0.033 -0.776  0.130 -0.691  0.227 -0.606  0.324 -0.520  0.422 -0.435  0.519 -0.350  0.606 -0.255  0.687 -0.155  0.767 -0.054  0.848 0.047  0.929 0.148  1.003 0.253  1.061 0.369  1.119 0.484  1.098 0.605  1.055 0.727  0.980 0.832  0.905 0.938  0.813 1.027  0.712 1.107  0.592 1.081
1b#apb#apb27#app2792/L  0.846 1.734  0.784 1.654  0.722 1.573  0.660 1.492  0.599 1.411  0.537 1.330  0.477 1.247  0.420 1.163  0.362 1.079  0.304 0.995  0.246 0.911  0.190 0.826  0.135 0.741  0.079 0.655  0.023 0.570  -0.032 0.484  -0.088 0.399  -0.144 0.314  -0.199 0.228  -0.255 0.143  -0.311 0.058  -0.366 -0.028  -0.422 -0.113  -0.478 -0.198  -0.533 -0.284  -0.583 -0.373  -0.633 -0.461  -0.683 -0.550  -0.733 -0.639  -0.783 -0.728  -0.834 -0.816  -0.829 -0.888  -0.738 -0.933  -0.645 -0.916  -0.553 -0.873  -0.460 -0.831  -0.367 -0.790  -0.268 -0.766  -0.169 -0.741  -0.070 -0.716  0.028 -0.691  0.130 -0.691  0.232 -0.691  0.334 -0.697  0.435 -0.708  0.536 -0.720  0.637 -0.737  0.737 -0.756  0.825 -0.798  0.897 -0.870
1b#apb#apb27#app2792/L  0.718 1.676  0.761 1.603  0.763 1.528  0.736 1.447  0.706 1.367  0.671 1.289  0.636 1.210  0.601 1.132  0.566 1.054  0.530 0.976  0.495 0.898  0.460 0.820  0.420 0.745  0.367 0.677  0.315 0.609  0.262 0.542  0.209 0.474  0.157 0.406  0.104 0.339  0.052 0.271  -0.001 0.204  -0.050 0.133  -0.098 0.062  -0.147 -0.008  -0.195 -0.079  -0.243 -0.150  -0.292 -0.221  -0.340 -0.291  -0.388 -0.362  -0.438 -0.432  -0.490 -0.500  -0.541 -0.569  -0.593 -0.637  -0.644 -0.706  -0.695 -0.774  -0.728 -0.854  -0.759 -0.933  -0.711 -1.005  -0.638 -1.027  -0.552 -1.027  -0.467 -1.024  -0.387 -0.994  -0.306 -0.963  -0.226 -0.933  -0.143 -0.953  -0.060 -0.974  0.023 -0.995  0.108 -1.006  0.193 -1.017  0.278 -1.027
1b#apb#apb27#app2792/Y  -1.026 0.961  -1.002 0.848  -1.021 0.734  -0.976 0.635  -0.905 0.543  -0.828 0.462  -0.713 0.447  -0.597 0.431  -0.482 0.416  -0.367 0.423  -0.252 0.439  -0.137 0.454  -0.021 0.470  0.094 0.486  0.200 0.529  0.303 0.584  0.406 0.638  0.509 0.692  0.611 0.746  0.724 0.774  0.838 0.798  0.951 0.822  1.026 0.811  0.953 0.720  0.885 0.626  0.819 0.531  0.752 0.435  0.685 0.340  0.619 0.245  0.552 0.149  0.488 0.053  0.424 -0.044  0.359 -0.141  0.295 -0.238  0.230 -0.334  0.166 -0.431  0.097 -0.525  0.027 -0.618  -0.042 -0.711  -0.112 -0.804  -0.182 -0.897  -0.251 -0.990  -0.315 -1.087  -0.380 -1.184  -0.444 -1.280  -0.509 -1.377  -0.564 -1.478  -0.596 -1.590  -0.628 -1.702  -0.660 -1.813
1b#apb#apb27#app2792/W  -0.658 1.179  -0.754 1.084  -0.819 0.970  -0.851 0.839  -0.884 0.708  -0.917 0.576  -0.949 0.445  -0.981 0.313  -1.012 0.181  -1.044 0.050  -1.071 -0.083  -1.087 -0.217  -1.103 -0.352  -1.103 -0.484  -1.053 -0.610  -0.981 -0.717  -0.864 -0.784  -0.752 -0.723  -0.641 -0.645  -0.534 -0.562  -0.429 -0.476  -0.324 -0.391  -0.220 -0.305  -0.132 -0.202  -0.044 -0.099  0.044 0.004  0.132 0.107  0.217 0.212  0.280 0.331  0.344 0.451  0.412 0.567  0.513 0.651  0.539 0.525  0.516 0.392  0.496 0.258  0.506 0.123  0.517 -0.012  0.538 -0.146  0.562 -0.279  0.645 -0.378  0.747 -0.468  0.873 -0.447  1.004 -0.409  1.132 -0.368  1.257 -0.317  1.383 -0.265  1.507 -0.212  1.594 -0.109  1.682 -0.006  1.769 0.098
1b#apb#apb27#app2792/O  0.275 1.309  0.177 1.218  0.078 1.127  -0.021 1.035  -0.120 0.944  -0.218 0.853  -0.291 0.740  -0.365 0.627  -0.438 0.514  -0.511 0.401  -0.584 0.288  -0.657 0.176  -0.729 0.062  -0.802 -0.051  -0.875 -0.164  -0.947 -0.277  -0.970 -0.403  -0.959 -0.537  -0.947 -0.671  -0.925 -0.801  -0.858 -0.918  -0.791 -1.034  -0.675 -1.099  -0.555 -1.159  -0.433 -1.173  -0.310 -1.119  -0.187 -1.065  -0.064 -1.011  0.059 -0.957  0.166 -0.880  0.253 -0.778  0.341 -0.676  0.428 -0.574  0.516 -0.472  0.605 -0.372  0.700 -0.276  0.795 -0.181  0.890 -0.086  0.966 0.019  0.996 0.150  1.025 0.282  1.009 0.412  0.972 0.541  0.898 0.649  0.803 0.744  0.708 0.839  0.585 0.890  0.458 0.932  0.330 0.973  0.199 1.006
1b#apb#apb27#app2792/O  0.055 1.356  -0.025 1.257  -0.105 1.159  -0.185 1.060  -0.265 0.961  -0.346 0.862  -0.426 0.764  -0.506 0.665  -0.586 0.566  -0.635 0.451  -0.673 0.330  -0.710 0.208  -0.748 0.087  -0.785 -0.035  -0.812 -0.158  -0.812 -0.285  -0.812 -0.412  -0.812 -0.540  -0.794 -0.665  -0.767 -0.789  -0.739 -0.913  -0.712 -1.037  -0.594 -1.076  -0.472 -1.111  -0.350 -1.144  -0.232 -1.097  -0.114 -1.049  0.005 -1.002  0.123 -0.955  0.233 -0.893  0.340 -0.825  0.448 -0.756  0.555 -0.688  0.662 -0.620  0.732 -0.525  0.760 -0.401  0.787 -0.277  0.815 -0.153  0.821 -0.026  0.821 0.101  0.821 0.228  0.821 0.355  0.802 0.480  0.777 0.605  0.752 0.730  0.727 0.854  0.652 0.947  0.550 1.023  0.495 1.130  0.464 1.254
1b#apb#apb27#app2792/D  -0.806 -0.923  -0.895 -1.029  -0.977 -1.121  -0.896 -1.008  -0.816 -0.895  -0.737 -0.781  -0.658 -0.667  -0.579 -0.553  -0.530 -0.424  -0.484 -0.294  -0.438 -0.163  -0.392 -0.032  -0.344 0.098  -0.296 0.228  -0.248 0.358  -0.200 0.488  -0.179 0.624  -0.162 0.762  -0.146 0.900  -0.118 1.033  -0.048 1.153  0.022 1.273  0.086 1.395  0.129 1.525  0.211 1.499  0.274 1.382  0.315 1.250  0.356 1.118  0.397 0.985  0.438 0.853  0.480 0.721  0.516 0.587  0.540 0.451  0.564 0.314  0.588 0.178  0.607 0.041  0.623 -0.097  0.640 -0.235  0.654 -0.372  0.623 -0.507  0.592 -0.642  0.555 -0.775  0.499 -0.902  0.432 -1.017  0.300 -1.061  0.168 -1.104  0.036 -1.144  -0.097 -1.183  -0.232 -1.157  -0.367 -1.127
1b#apb#apb27#app2792/C  1.306 1.017  1.226 1.013  1.147 1.010  1.067 1.007  0.987 1.003  0.908 1.000  0.830 0.988  0.756 0.959  0.682 0.929  0.608 0.900  0.533 0.871  0.459 0.842  0.385 0.813  0.314 0.778  0.253 0.727  0.192 0.676  0.131 0.625  0.070 0.574  0.008 0.523  -0.053 0.472  -0.114 0.421  -0.161 0.356  -0.206 0.291  -0.251 0.225  -0.296 0.160  -0.341 0.094  -0.387 0.028  -0.432 -0.037  -0.477 -0.103  -0.509 -0.175  -0.532 -0.251  -0.556 -0.327  -0.579 -0.404  -0.602 -0.480  -0.626 -0.556  -0.642 -0.633  -0.632 -0.712  -0.622 -0.791  -0.612 -0.870  -0.587 -0.943  -0.543 -1.010  -0.499 -1.076  -0.454 -1.141  -0.385 -1.181  -0.316 -1.221  -0.247 -1.262  -0.170 -1.275  -0.091 -1.280  -0.011 -1.285  0.068 -1.290
1b#apb#apb27#app2792/I  1.151 1.244  1.100 1.198  1.048 1.151  0.997 1.104  0.945 1.057  0.894 1.010  0.842 0.964  0.791 0.917  0.739 0.870  0.688 0.823  0.637 0.777  0.585 0.730  0.534 0.683  0.482 0.636  0.431 0.589  0.379 0.543  0.328 0.496  0.279 0.446  0.239 0.389  0.199 0.332  0.160 0.275  0.120 0.218  0.080 0.161  0.040 0.104  -0.000 0.047  -0.040 -0.009  -0.080 -0.066  -0.120 -0.123  -0.160 -0.180  -0.199 -0.237  -0.239 -0.294  -0.282 -0.349  -0.327 -0.402  -0.373 -0.455  -0.418 -0.508  -0.463 -0.561  -0.508 -0.613  -0.554 -0.666  -0.599 -0.719  -0.644 -0.772  -0.689 -0.825  -0.734 -0.878  -0.772 -0.936  -0.811 -0.994  -0.850 -1.052  -0.888 -1.110  -0.927 -1.167  -0.965 -1.225  -1.004 -1.283  -1.042 -1.341
1b#apb#apb27#app2792/R  -0.741 -0.455  -0.836 -0.567  -0.930 -0.679  -1.025 -0.790  -1.114 -0.906  -1.166 -1.040  -1.147 -1.033  -1.111 -0.891  -1.035 -0.770  -0.940 -0.658  -0.846 -0.546  -0.751 -0.434  -0.667 -0.315  -0.584 -0.194  -0.501 -0.073  -0.418 0.047  -0.332 0.165  -0.243 0.282  -0.154 0.398  -0.065 0.514  0.024 0.630  0.121 0.740  0.220 0.847  0.319 0.955  0.418 1.062  0.539 1.145  0.663 1.222  0.803 1.243  0.949 1.243  1.010 1.139  1.005 0.995  0.977 0.852  0.941 0.710  0.891 0.572  0.841 0.435  0.760 0.315  0.667 0.203  0.564 0.099  0.441 0.022  0.301 -0.018  0.180 -0.089  0.100 -0.209  0.042 -0.342  0.042 -0.488  0.068 -0.630  0.121 -0.765  0.215 -0.878  0.326 -0.967  0.462 -1.021  0.598 -1.076
1b#apb#apb27#app2792/C  1.341 1.337  1.257 1.287  1.173 1.236  1.089 1.186  1.005 1.136  0.921 1.085  0.840 1.031  0.758 0.977  0.677 0.923  0.595 0.868  0.514 0.813  0.435 0.755  0.356 0.698  0.277 0.640  0.198 0.582  0.119 0.524  0.040 0.466  -0.039 0.408  -0.117 0.350  -0.189 0.283  -0.261 0.217  -0.333 0.150  -0.405 0.084  -0.477 0.017  -0.549 -0.049  -0.621 -0.115  -0.690 -0.185  -0.753 -0.260  -0.816 -0.335  -0.878 -0.410  -0.909 -0.503  -0.936 -0.597  -0.963 -0.691  -0.910 -0.754  -0.826 -0.804  -0.740 -0.849  -0.643 -0.865  -0.546 -0.881  -0.449 -0.884  -0.352 -0.875  -0.254 -0.866  -0.157 -0.857  -0.059 -0.849  0.037 -0.833  0.133 -0.813  0.229 -0.794  0.325 -0.775  0.421 -0.756  0.518 -0.737  0.614 -0.717
1b#apb#apb27#app2792/L  0.826 1.493  0.896 1.458  0.898 1.381  0.894 1.304  0.857 1.236  0.820 1.167  0.783 1.099  0.746 1.030  0.709 0.962  0.672 0.893  0.633 0.826  0.586 0.764  0.539 0.702  0.492 0.639  0.446 0.577  0.399 0.515  0.352 0.452  0.305 0.390  0.259 0.328  0.212 0.266  0.160 0.207  0.109 0.148  0.058 0.090  0.007 0.031  -0.045 -0.028  -0.096 -0.086  -0.147 -0.145  -0.199 -0.203  -0.250 -0.262  -0.301 -0.321  -0.351 -0.380  -0.402 -0.440  -0.452 -0.499  -0.502 -0.559  -0.553 -0.618  -0.603 -0.678  -0.653 -0.737  -0.699 -0.799  -0.738 -0.867  -0.777 -0.935  -0.815 -1.002  -0.830 -1.076  -0.777 -1.113  -0.702 -1.132  -0.632 -1.106  -0.563 -1.069  -0.495 -1.032  -0.427 -0.994  -0.358 -0.957  -0.290 -0.920
