1b#app#app07#app0701/O  0.601 1.226  0.450 1.226  0.331 1.152  0.203 1.076  0.077 0.997  -0.029 0.891  -0.155 0.833  -0.270 0.748  -0.376 0.642  -0.445 0.509  -0.531 0.388  -0.638 0.282  -0.744 0.176  -0.776 0.038  -0.824 -0.104  -0.872 -0.246  -0.969 -0.356  -0.969 -0.506  -0.969 -0.656  -0.920 -0.786  -0.871 -0.916  -0.777 -1.027  -0.644 -1.096  -0.502 -1.129  -0.352 -1.129  -0.201 -1.129  -0.051 -1.129  0.099 -1.129  0.245 -1.111  0.379 -1.044  0.490 -0.945  0.601 -0.898  0.662 -0.773  0.699 -0.638  0.797 -0.529  0.797 -0.379  0.797 -0.228  0.797 -0.078  0.797 0.072  0.797 0.222  0.797 0.372  0.739 0.498  0.633 0.605  0.527 0.711  0.421 0.817  0.286 0.854  0.168 0.931  0.018 0.931  -0.132 0.931  -0.184 0.833
1b#app#app07#app0701/N  -0.602 0.066  -0.689 -0.024  -0.744 -0.136  -0.767 -0.256  -0.849 -0.346  -0.849 -0.471  -0.877 -0.592  -0.916 -0.711  -0.931 -0.833  -0.931 -0.958  -0.931 -0.922  -0.849 -0.880  -0.849 -0.755  -0.849 -0.630  -0.846 -0.506  -0.767 -0.414  -0.767 -0.289  -0.767 -0.164  -0.767 -0.039  -0.753 0.080  -0.656 0.148  -0.552 0.097  -0.463 0.009  -0.351 -0.021  -0.263 -0.110  -0.167 -0.181  -0.062 -0.228  0.049 -0.263  0.174 -0.263  0.299 -0.263  0.420 -0.245  0.531 -0.189  0.654 -0.181  0.779 -0.181  0.872 -0.103  0.961 -0.016  1.042 0.028  1.103 0.128  1.124 0.244  1.124 0.369  1.124 0.494  1.124 0.619  1.124 0.744  1.079 0.851  1.009 0.952  0.959 1.066  0.920 1.174  0.831 1.263  0.795 1.372  0.713 1.463
1b#app#app07#app0701/T  0.414 0.662  0.414 0.525  0.407 0.389  0.349 0.265  0.342 0.129  0.284 0.005  0.277 -0.131  0.219 -0.255  0.214 -0.392  0.171 -0.523  0.154 -0.658  0.154 -0.795  0.109 -0.923  0.089 -1.055  0.089 -1.193  0.089 -1.331  0.089 -1.468  0.120 -1.438  0.039 -1.326  -0.042 -1.215  -0.123 -1.103  -0.204 -0.992  -0.285 -0.881  -0.366 -0.769  -0.447 -0.658  -0.528 -0.547  -0.609 -0.435  -0.690 -0.324  -0.771 -0.213  -0.852 -0.101  -0.887 0.025  -0.873 0.157  -0.775 0.254  -0.707 0.372  -0.593 0.435  -0.471 0.493  -0.374 0.590  -0.253 0.654  -0.137 0.729  -0.025 0.809  0.072 0.906  0.187 0.981  0.305 1.052  0.422 1.124  0.537 1.200  0.655 1.271  0.775 1.337  0.890 1.413  1.019 1.443  1.129 1.508
1b#app#app07#app0701/H  -0.012 1.180  -0.096 1.007  -0.167 0.822  -0.276 0.646  -0.353 0.454  -0.430 0.262  -0.520 0.076  -0.585 -0.121  -0.651 -0.317  -0.731 -0.507  -0.823 -0.692  -0.849 -0.893  -0.849 -1.100  -0.849 -1.307  -0.765 -1.495  -0.708 -1.297  -0.651 -1.098  -0.586 -0.910  -0.514 -0.775  -0.430 -0.652  -0.383 -0.492  -0.285 -0.347  -0.139 -0.201  0.007 -0.054  0.154 0.092  0.300 0.238  0.412 0.350  0.499 0.521  0.586 0.692  0.674 0.863  0.749 1.041  0.815 1.237  0.824 1.443  0.824 1.546  0.714 1.380  0.622 1.194  0.529 1.009  0.437 0.824  0.344 0.639  0.221 0.476  0.155 0.285  0.155 0.078  0.155 -0.129  0.155 -0.336  0.171 -0.541  0.236 -0.737  0.321 -0.910  0.406 -1.033  0.533 -1.161  0.656 -1.245
1b#app#app07#app0701/E  1.222 1.646  1.044 1.597  0.878 1.518  0.725 1.407  0.585 1.266  0.447 1.124  0.358 0.946  0.238 0.791  0.072 0.686  -0.097 0.585  -0.191 0.425  -0.251 0.241  -0.353 0.072  -0.448 -0.087  -0.543 -0.247  -0.576 -0.431  -0.576 -0.630  -0.552 -0.818  -0.448 -0.974  -0.326 -1.051  -0.256 -1.179  -0.057 -1.179  0.142 -1.179  0.333 -1.133  0.521 -1.070  0.717 -1.051  0.915 -1.051  0.835 -0.978  0.662 -0.880  0.489 -0.783  0.316 -0.686  0.143 -0.588  -0.030 -0.491  -0.204 -0.393  -0.377 -0.296  -0.550 -0.199  -0.723 -0.101  -0.896 -0.004  -1.069 0.094  -1.043 0.234  -0.879 0.316  -0.699 0.362  -0.501 0.362  -0.430 0.490  -0.232 0.490  -0.033 0.490  0.165 0.490  0.314 0.610  0.510 0.619  0.708 0.619
1b#app#app07#app0701/V  -0.173 1.269  -0.267 1.176  -0.271 1.044  -0.271 0.912  -0.271 0.779  -0.271 0.646  -0.304 0.521  -0.363 0.403  -0.368 0.271  -0.387 0.141  -0.429 0.015  -0.466 -0.111  -0.466 -0.244  -0.466 -0.377  -0.466 -0.509  -0.466 -0.642  -0.466 -0.775  -0.466 -0.907  -0.445 -1.037  -0.403 -1.163  -0.368 -1.290  -0.309 -1.363  -0.271 -1.458  -0.141 -1.461  -0.076 -1.393  -0.003 -1.291  0.045 -1.171  0.077 -1.043  0.110 -0.914  0.119 -0.782  0.133 -0.653  0.192 -0.534  0.217 -0.407  0.268 -0.286  0.314 -0.165  0.314 -0.032  0.314 0.101  0.331 0.230  0.390 0.348  0.412 0.476  0.421 0.606  0.481 0.725  0.509 0.851  0.509 0.984  0.509 1.116  0.509 1.249  0.559 1.370  0.607 1.491  0.607 1.624  0.704 1.659
1b#app#app07#app0701/E  1.313 1.576  1.130 1.576  0.987 1.479  0.816 1.442  0.652 1.360  0.488 1.279  0.340 1.176  0.210 1.047  0.081 0.917  -0.075 0.825  -0.208 0.712  -0.290 0.549  -0.418 0.418  -0.538 0.282  -0.620 0.118  -0.637 -0.061  -0.637 -0.244  -0.637 -0.427  -0.550 -0.574  -0.497 -0.730  -0.333 -0.812  -0.270 -0.947  -0.113 -1.011  0.049 -1.061  0.213 -1.108  0.367 -1.176  0.550 -1.176  0.702 -1.253  0.637 -1.212  0.492 -1.100  0.347 -0.989  0.202 -0.877  0.057 -0.765  -0.088 -0.654  -0.233 -0.542  -0.379 -0.431  -0.524 -0.319  -0.669 -0.208  -0.751 -0.065  -0.866 0.003  -0.765 0.085  -0.598 0.124  -0.447 0.200  -0.272 0.221  -0.128 0.315  0.054 0.317  0.190 0.429  0.373 0.429  0.556 0.429  0.739 0.429
1b#app#app07#app0701/L  0.098 1.879  0.182 1.795  0.253 1.704  0.253 1.585  0.253 1.465  0.204 1.366  0.120 1.281  0.098 1.171  0.074 1.057  0.021 0.950  -0.033 0.843  -0.086 0.736  -0.140 0.630  -0.193 0.523  -0.212 0.408  -0.241 0.300  -0.326 0.216  -0.410 0.131  -0.495 0.047  -0.522 -0.061  -0.522 -0.181  -0.522 -0.300  -0.522 -0.420  -0.589 -0.512  -0.673 -0.596  -0.677 -0.714  -0.677 -0.834  -0.677 -0.953  -0.669 -1.065  -0.550 -1.065  -0.430 -1.065  -0.367 -1.009  -0.346 -0.910  -0.227 -0.910  -0.138 -0.836  -0.052 -0.755  0.067 -0.755  0.098 -0.666  0.136 -0.562  0.220 -0.478  0.326 -0.445  0.446 -0.445  0.565 -0.444  0.649 -0.359  0.740 -0.290  0.860 -0.290  0.979 -0.290  1.099 -0.290  1.218 -0.290  1.338 -0.290
1b#app#app07#app0701/V  -0.571 0.131  -0.571 0.026  -0.571 -0.079  -0.627 -0.128  -0.700 -0.159  -0.700 -0.264  -0.700 -0.369  -0.700 -0.474  -0.700 -0.578  -0.700 -0.683  -0.685 -0.773  -0.580 -0.773  -0.571 -0.868  -0.571 -0.973  -0.524 -1.031  -0.442 -1.054  -0.442 -1.158  -0.442 -1.058  -0.363 -1.031  -0.312 -0.977  -0.291 -0.881  -0.217 -0.807  -0.143 -0.733  -0.069 -0.659  0.005 -0.585  0.077 -0.509  0.110 -0.410  0.143 -0.311  0.176 -0.211  0.204 -0.111  0.204 -0.006  0.273 0.070  0.333 0.150  0.333 0.255  0.333 0.359  0.367 0.456  0.414 0.550  0.460 0.644  0.507 0.737  0.554 0.831  0.601 0.925  0.648 1.018  0.695 1.112  0.720 1.211  0.731 1.313  0.778 1.407  0.824 1.501  0.849 1.599  0.874 1.680  0.979 1.680
1b#app#app07#app0701/E  1.011 1.478  1.011 1.655  0.855 1.675  0.683 1.658  0.525 1.579  0.399 1.456  0.275 1.331  0.150 1.206  -0.002 1.119  -0.114 0.995  -0.193 0.837  -0.272 0.680  -0.351 0.522  -0.466 0.390  -0.545 0.232  -0.579 0.064  -0.658 -0.093  -0.658 -0.270  -0.617 -0.429  -0.560 -0.582  -0.462 -0.717  -0.381 -0.861  -0.228 -0.916  -0.077 -0.977  0.099 -0.977  0.276 -0.977  0.452 -0.977  0.626 -0.984  0.764 -1.075  0.889 -1.063  0.731 -0.984  0.573 -0.905  0.416 -0.826  0.258 -0.747  0.100 -0.668  -0.057 -0.590  -0.215 -0.511  -0.373 -0.432  -0.531 -0.353  -0.688 -0.274  -0.846 -0.195  -0.756 -0.122  -0.624 -0.059  -0.474 0.005  -0.297 0.005  -0.135 0.038  0.015 0.103  0.184 0.132  0.344 0.202  0.520 0.202
1b#app#app07#app0701/T  0.375 0.308  0.375 0.173  0.375 0.037  0.375 -0.098  0.324 -0.222  0.264 -0.343  0.203 -0.464  0.160 -0.589  0.160 -0.725  0.160 -0.860  0.072 -0.959  0.053 -1.087  0.053 -1.222  0.053 -1.358  0.000 -1.338  -0.082 -1.230  -0.165 -1.123  -0.247 -1.016  -0.330 -0.908  -0.413 -0.801  -0.495 -0.694  -0.578 -0.586  -0.660 -0.479  -0.743 -0.371  -0.826 -0.264  -0.908 -0.157  -0.991 -0.049  -1.019 0.077  -1.007 0.201  -0.884 0.229  -0.788 0.325  -0.692 0.421  -0.596 0.516  -0.500 0.612  -0.372 0.630  -0.246 0.652  -0.150 0.748  -0.054 0.844  0.081 0.844  0.214 0.862  0.342 0.905  0.471 0.948  0.605 0.951  0.741 0.951  0.876 0.951  1.012 0.951  1.147 0.951  1.283 0.951  1.418 0.951  1.554 0.951
