1b#app#app08#app0815/Q  -0.061 0.867  -0.266 0.867  -0.450 0.816  -0.623 0.711  -0.794 0.602  -0.896 0.427  -1.010 0.256  -1.077 0.067  -1.077 -0.138  -1.021 -0.330  -0.970 -0.508  -0.830 -0.644  -0.671 -0.760  -0.526 -0.905  -0.349 -0.993  -0.148 -1.031  0.057 -1.031  0.249 -0.977  0.429 -0.880  0.598 -0.769  0.724 -0.613  0.816 -0.429  0.908 -0.246  1.000 -0.063  1.024 0.137  1.024 0.342  0.996 0.543  0.901 0.718  0.756 0.863  0.639 1.018  0.446 1.088  0.253 1.138  0.048 1.138  -0.157 1.138  -0.353 1.116  -0.487 0.963  -0.602 0.797  -0.510 0.614  -0.419 0.430  -0.327 0.247  -0.235 0.064  -0.143 -0.120  -0.007 -0.271  0.090 -0.436  0.235 -0.581  0.332 -0.746  0.442 -0.913  0.539 -1.088  0.685 -1.193  0.820 -1.302
1b#app#app08#app0815/U  -0.701 1.386  -0.631 1.482  -0.635 1.355  -0.701 1.216  -0.701 1.050  -0.783 0.918  -0.798 0.757  -0.835 0.597  -0.888 0.439  -0.894 0.274  -0.894 0.108  -0.894 -0.058  -0.894 -0.225  -0.876 -0.387  -0.802 -0.536  -0.727 -0.684  -0.625 -0.813  -0.508 -0.931  -0.433 -1.080  -0.306 -1.175  -0.150 -1.219  0.016 -1.219  0.167 -1.204  0.228 -1.063  0.264 -0.911  0.326 -0.771  0.413 -0.631  0.457 -0.475  0.470 -0.311  0.523 -0.153  0.553 0.008  0.573 0.170  0.647 0.319  0.650 0.484  0.650 0.651  0.650 0.817  0.650 0.983  0.650 1.043  0.650 0.877  0.607 0.721  0.553 0.567  0.553 0.401  0.553 0.234  0.553 0.068  0.553 -0.098  0.553 -0.264  0.553 -0.431  0.553 -0.597  0.553 -0.763  0.553 -0.930
1b#app#app08#app0815/I  0.064 1.426  0.064 1.499  0.064 1.572  0.064 1.508  0.064 1.434  0.064 1.361  0.064 1.288  0.064 1.215  0.064 1.142  0.024 1.086  -0.027 1.034  -0.079 0.982  -0.086 0.912  -0.086 0.839  -0.086 0.766  -0.086 0.693  -0.086 0.620  -0.086 0.547  -0.086 0.474  -0.086 0.401  -0.086 0.328  -0.086 0.255  -0.086 0.182  -0.086 0.109  -0.086 0.036  -0.086 -0.038  -0.086 -0.111  -0.086 -0.184  -0.086 -0.257  -0.086 -0.330  -0.067 -0.395  -0.016 -0.447  0.036 -0.498  0.064 -0.560  0.064 -0.633  0.064 -0.706  0.064 -0.779  0.064 -0.852  0.064 -0.925  0.064 -0.998  0.064 -1.071  0.064 -1.144  0.064 -1.217  0.064 -1.290  0.064 -1.363  0.064 -1.436  0.064 -1.510  0.064 -1.583  0.064 -1.656  0.064 -1.729
1b#app#app08#app0815/C  0.952 0.730  0.887 0.795  0.838 0.866  0.838 0.958  0.747 0.958  0.724 1.027  0.677 1.072  0.585 1.072  0.494 1.072  0.402 1.072  0.332 1.020  0.266 0.958  0.174 0.958  0.095 0.917  0.018 0.867  -0.058 0.816  -0.134 0.765  -0.187 0.701  -0.191 0.611  -0.256 0.547  -0.329 0.502  -0.414 0.496  -0.414 0.404  -0.414 0.312  -0.453 0.236  -0.517 0.171  -0.528 0.084  -0.528 -0.007  -0.528 -0.099  -0.528 -0.191  -0.528 -0.282  -0.528 -0.374  -0.528 -0.466  -0.513 -0.554  -0.472 -0.636  -0.431 -0.718  -0.390 -0.800  -0.349 -0.882  -0.308 -0.964  -0.233 -1.012  -0.151 -1.053  -0.070 -1.095  -0.005 -1.160  0.060 -1.225  0.125 -1.290  0.199 -1.342  0.281 -1.383  0.363 -1.424  0.432 -1.483  0.497 -1.548
1b#app#app08#app0815/K  0.054 1.423  -0.014 1.230  -0.078 1.034  -0.177 0.836  -0.193 0.618  -0.193 0.397  -0.235 0.182  -0.305 -0.028  -0.317 -0.247  -0.317 -0.468  -0.409 -0.652  -0.441 -0.860  -0.441 -1.081  -0.441 -1.302  -0.328 -1.114  -0.214 -0.924  -0.100 -0.735  0.014 -0.545  0.128 -0.355  0.242 -0.165  0.355 0.024  0.469 0.214  0.583 0.404  0.697 0.594  0.811 0.783  0.925 0.973  1.039 1.163  1.046 1.382  0.922 1.366  0.813 1.190  0.649 1.051  0.463 0.964  0.307 0.808  0.151 0.651  -0.022 0.517  -0.214 0.411  -0.385 0.274  -0.574 0.166  -0.673 -0.032  -0.813 -0.126  -0.813 -0.347  -0.813 -0.568  -0.765 -0.778  -0.653 -0.967  -0.469 -1.055  -0.268 -1.142  -0.055 -1.179  0.154 -1.229  0.352 -1.328  0.550 -1.427
1b#app#app08#app0815/Z  -0.390 0.744  -0.390 0.863  -0.342 0.933  -0.224 0.933  -0.105 0.933  0.014 0.933  0.132 0.933  0.243 0.900  0.349 0.847  0.466 0.839  0.581 0.825  0.687 0.772  0.799 0.744  0.894 0.687  0.997 0.650  1.090 0.586  1.120 0.481  1.116 0.367  1.026 0.338  0.973 0.272  0.854 0.272  0.765 0.201  0.656 0.178  0.542 0.166  0.458 0.083  0.339 0.083  0.221 0.083  0.110 0.050  0.004 -0.003  -0.108 -0.043  -0.220 -0.080  -0.330 -0.123  -0.437 -0.176  -0.531 -0.245  -0.624 -0.316  -0.730 -0.370  -0.822 -0.442  -0.863 -0.544  -0.923 -0.638  -0.957 -0.742  -0.957 -0.861  -0.957 -0.979  -0.914 -1.071  -0.808 -1.124  -0.716 -1.197  -0.632 -1.280  -0.535 -1.333  -0.417 -1.333  -0.308 -1.374  -0.202 -1.427
1b#app#app08#app0815/E  -0.395 0.970  -0.511 0.883  -0.633 0.731  -0.743 0.575  -0.838 0.411  -0.976 0.266  -0.976 0.063  -0.976 -0.139  -0.952 -0.332  -0.860 -0.496  -0.747 -0.652  -0.604 -0.795  -0.448 -0.920  -0.269 -1.014  -0.116 -1.144  0.065 -1.235  0.258 -1.273  0.442 -1.353  0.644 -1.353  0.847 -1.353  0.775 -1.226  0.644 -1.071  0.513 -0.917  0.382 -0.762  0.252 -0.607  0.121 -0.453  -0.010 -0.298  -0.141 -0.144  -0.272 0.011  -0.384 0.157  -0.181 0.157  0.022 0.157  0.224 0.157  0.424 0.151  0.581 0.041  0.783 0.041  0.810 0.114  0.666 0.257  0.523 0.400  0.380 0.543  0.237 0.686  0.094 0.830  -0.050 0.973  -0.193 1.116  -0.222 1.259  -0.044 1.318  0.159 1.318  0.361 1.318  0.564 1.318  0.766 1.318
1b#app#app08#app0815/P  -0.589 0.608  -0.551 0.774  -0.506 0.614  -0.443 0.420  -0.423 0.218  -0.380 0.023  -0.340 -0.172  -0.340 -0.377  -0.340 -0.582  -0.256 -0.752  -0.256 -0.957  -0.256 -1.162  -0.256 -1.367  -0.241 -1.556  -0.204 -1.422  -0.249 -1.222  -0.294 -1.022  -0.339 -0.822  -0.384 -0.622  -0.429 -0.423  -0.474 -0.223  -0.519 -0.023  -0.564 0.177  -0.610 0.377  -0.655 0.576  -0.700 0.776  -0.745 0.976  -0.704 1.158  -0.513 1.190  -0.311 1.176  -0.123 1.107  0.082 1.107  0.282 1.087  0.466 0.996  0.653 0.915  0.836 0.837  0.946 0.672  1.109 0.557  1.222 0.387  1.325 0.222  1.325 0.017  1.233 -0.150  1.088 -0.294  0.923 -0.391  0.724 -0.437  0.524 -0.474  0.337 -0.552  0.145 -0.606  -0.052 -0.640  -0.173 -0.724
1b#app#app08#app0815/H  -0.620 1.567  -0.620 1.283  -0.620 0.999  -0.620 0.716  -0.620 0.432  -0.620 0.148  -0.620 -0.135  -0.487 -0.364  -0.487 -0.648  -0.487 -0.931  -0.487 -1.215  -0.487 -1.499  -0.477 -1.716  -0.390 -1.446  -0.304 -1.176  -0.217 -0.906  -0.131 -0.636  -0.044 -0.366  0.042 -0.095  0.129 0.175  0.215 0.445  0.301 0.715  0.388 0.985  0.474 1.255  0.561 1.526  0.574 1.591  0.707 1.440  0.707 1.157  0.707 0.873  0.707 0.589  0.707 0.306  0.609 0.045  0.574 -0.230  0.574 -0.514  0.574 -0.798  0.574 -1.081  0.470 -1.114  0.270 -0.914  0.069 -0.713  -0.132 -0.513  -0.332 -0.312  -0.533 -0.111  -0.733 0.089  -0.815 0.241  -0.532 0.241  -0.248 0.241  0.036 0.241  0.290 0.117  0.564 0.044  0.839 -0.025
1b#app#app08#app0815/Y  -1.410 1.499  -1.278 1.367  -1.254 1.189  -1.123 1.056  -1.013 0.904  -0.909 0.748  -0.805 0.592  -0.678 0.454  -0.545 0.322  -0.413 0.189  -0.280 0.056  -0.147 -0.076  -0.015 -0.209  0.007 -0.387  0.140 -0.520  0.273 -0.653  0.310 -0.825  0.467 -0.856  0.467 -1.044  0.476 -1.088  0.501 -0.902  0.526 -0.717  0.551 -0.531  0.575 -0.345  0.600 -0.159  0.625 0.027  0.650 0.213  0.675 0.399  0.699 0.585  0.724 0.771  0.749 0.957  0.774 1.143  0.780 1.043  0.656 0.906  0.623 0.732  0.501 0.595  0.368 0.462  0.236 0.330  0.103 0.197  -0.002 0.053  -0.002 -0.135  -0.074 -0.293  -0.207 -0.425  -0.315 -0.568  -0.315 -0.755  -0.383 -0.915  -0.472 -1.066  -0.472 -1.254  -0.472 -1.441  -0.472 -1.629
1b#app#app08#app0815/R  -0.607 1.033  -0.572 0.792  -0.505 0.564  -0.500 0.311  -0.402 0.096  -0.402 -0.160  -0.321 -0.382  -0.300 -0.629  -0.300 -0.884  -0.197 -1.097  -0.216 -1.345  -0.300 -1.566  -0.326 -1.449  -0.362 -1.196  -0.398 -0.943  -0.434 -0.690  -0.471 -0.436  -0.507 -0.183  -0.543 0.070  -0.579 0.323  -0.615 0.576  -0.651 0.829  -0.688 1.082  -0.612 1.238  -0.357 1.238  -0.101 1.238  0.142 1.208  0.368 1.136  0.602 1.044  0.830 0.931  1.044 0.828  1.197 0.725  1.234 0.515  1.034 0.402  0.866 0.315  0.644 0.233  0.399 0.203  0.166 0.110  -0.080 0.066  -0.321 0.007  -0.474 -0.095  -0.490 -0.315  -0.274 -0.416  -0.056 -0.544  0.155 -0.652  0.386 -0.711  0.607 -0.796  0.855 -0.814  1.092 -0.894  1.342 -0.916
