1b#app#app19#app1903/O  0.756 0.462  0.756 0.630  0.650 0.692  0.482 0.692  0.314 0.692  0.145 0.692  -0.023 0.692  -0.191 0.692  -0.359 0.692  -0.527 0.692  -0.623 0.620  -0.633 0.462  -0.801 0.462  -0.936 0.380  -1.054 0.261  -1.083 0.105  -1.149 0.002  -1.313 -0.001  -1.313 -0.169  -1.313 -0.338  -1.313 -0.506  -1.313 -0.674  -1.159 -0.687  -0.991 -0.687  -0.822 -0.687  -0.654 -0.687  -0.486 -0.687  -0.318 -0.687  -0.150 -0.687  0.018 -0.687  0.186 -0.687  0.354 -0.687  0.522 -0.687  0.691 -0.687  0.756 -0.585  0.797 -0.458  0.965 -0.458  1.133 -0.458  1.216 -0.372  1.216 -0.204  1.216 -0.036  1.216 0.132  1.168 0.280  1.049 0.399  0.907 0.462  0.739 0.462  0.571 0.462  0.403 0.462  0.234 0.462  0.066 0.462
1b#app#app19#app1903/N  -0.070 0.456  -0.276 0.456  -0.478 0.453  -0.482 0.252  -0.681 0.246  -0.681 0.041  -0.681 -0.165  -0.681 -0.370  -0.681 -0.575  -0.681 -0.781  -0.681 -0.986  -0.681 -1.157  -0.681 -0.951  -0.681 -0.746  -0.697 -0.547  -0.842 -0.402  -0.885 -0.215  -0.885 -0.009  -0.951 0.180  -1.043 0.364  -1.089 0.559  -1.089 0.555  -0.983 0.456  -0.809 0.380  -0.657 0.252  -0.478 0.226  -0.450 0.048  -0.245 0.048  -0.048 0.027  0.097 -0.119  0.287 -0.155  0.492 -0.155  0.652 -0.266  0.818 -0.359  1.024 -0.359  1.229 -0.359  1.434 -0.359  1.640 -0.359  1.763 -0.277  1.680 -0.155  1.500 -0.095  1.355 0.050  1.209 0.195  1.064 0.340  0.907 0.456  0.714 0.486  0.569 0.632  0.424 0.777  0.279 0.922  0.134 1.067
1b#app#app19#app1903/T  0.111 -0.215  0.247 -0.212  0.242 -0.078  0.111 -0.087  0.119 -0.223  0.217 -0.321  0.247 -0.448  0.247 -0.587  0.247 -0.726  0.247 -0.865  0.247 -1.005  0.325 -1.111  0.384 -1.226  0.384 -1.366  0.344 -1.395  0.255 -1.288  0.166 -1.181  0.077 -1.074  -0.012 -0.967  -0.101 -0.860  -0.191 -0.753  -0.280 -0.647  -0.369 -0.540  -0.458 -0.433  -0.547 -0.326  -0.636 -0.219  -0.725 -0.112  -0.814 -0.005  -0.904 0.102  -0.962 0.194  -0.844 0.216  -0.820 0.331  -0.708 0.358  -0.678 0.467  -0.548 0.490  -0.450 0.589  -0.329 0.657  -0.205 0.719  -0.097 0.805  0.001 0.903  0.100 1.002  0.221 1.068  0.346 1.130  0.480 1.150  0.590 1.220  0.702 1.286  0.827 1.320  0.926 1.418  1.063 1.422  1.202 1.422
1b#app#app19#app1903/H  -0.932 0.963  -0.767 0.963  -0.932 0.875  -0.932 0.622  -0.932 0.369  -0.932 0.116  -0.932 -0.138  -0.932 -0.391  -0.932 -0.644  -0.932 -0.897  -0.785 -0.739  -0.625 -0.543  -0.465 -0.347  -0.304 -0.151  -0.144 0.045  0.017 0.241  0.177 0.437  0.337 0.633  0.498 0.829  0.658 1.025  0.818 1.221  0.905 1.382  0.741 1.292  0.741 1.039  0.741 0.786  0.741 0.532  0.741 0.279  0.741 0.026  0.843 -0.185  0.950 -0.394  0.950 -0.647  0.950 -0.900  0.950 -1.154  0.889 -1.303  0.667 -1.180  0.446 -1.057  0.225 -0.934  0.003 -0.811  -0.218 -0.688  -0.439 -0.565  -0.661 -0.442  -0.882 -0.319  -0.932 -0.095  -0.762 0.088  -0.525 0.127  -0.272 0.127  -0.019 0.127  0.234 0.127  0.488 0.127  0.741 0.127
1b#app#app19#app1903/E  -0.491 0.520  -0.491 0.372  -0.491 0.224  -0.491 0.076  -0.555 -0.045  -0.658 -0.151  -0.658 -0.299  -0.658 -0.447  -0.658 -0.595  -0.658 -0.743  -0.658 -0.891  -0.658 -1.039  -0.658 -1.187  -0.641 -1.317  -0.492 -1.317  -0.344 -1.317  -0.196 -1.317  -0.080 -1.241  0.028 -1.141  0.161 -1.075  0.293 -1.009  0.435 -0.983  0.492 -0.914  0.451 -0.772  0.410 -0.629  0.370 -0.487  0.329 -0.345  0.288 -0.202  0.248 -0.060  0.207 0.082  0.177 0.226  0.198 0.353  0.345 0.355  0.450 0.459  0.573 0.520  0.642 0.542  0.515 0.618  0.388 0.695  0.261 0.771  0.134 0.847  0.007 0.923  -0.120 0.999  -0.083 1.095  0.022 1.200  0.126 1.305  0.253 1.356  0.344 1.413  0.382 1.523  0.530 1.523  0.678 1.523
1b#app#app19#app1903/V  -0.982 0.552  -0.982 0.675  -0.982 0.797  -0.982 0.920  -0.982 0.886  -0.982 0.764  -0.929 0.654  -0.875 0.544  -0.820 0.435  -0.776 0.322  -0.776 0.200  -0.713 0.140  -0.591 0.140  -0.570 0.039  -0.570 -0.084  -0.570 -0.206  -0.529 -0.312  -0.443 -0.399  -0.363 -0.489  -0.363 -0.611  -0.363 -0.734  -0.363 -0.856  -0.301 -0.953  -0.214 -1.039  -0.116 -1.097  0.007 -1.097  0.129 -1.097  0.252 -1.097  0.339 -1.012  0.426 -0.925  0.461 -0.817  0.461 -0.695  0.540 -0.605  0.627 -0.518  0.667 -0.413  0.667 -0.290  0.667 -0.168  0.676 -0.047  0.731 0.062  0.786 0.172  0.841 0.281  0.873 0.396  0.873 0.519  0.873 0.641  0.873 0.764  0.873 0.886  0.873 1.009  0.873 1.131  0.873 1.254  0.873 1.376
1b#app#app19#app1903/E  -0.419 0.489  -0.419 0.330  -0.419 0.172  -0.419 0.013  -0.419 -0.145  -0.419 -0.304  -0.419 -0.462  -0.419 -0.621  -0.419 -0.779  -0.419 -0.938  -0.419 -1.096  -0.419 -1.255  -0.371 -1.365  -0.212 -1.365  -0.054 -1.365  0.072 -1.285  0.184 -1.173  0.337 -1.159  0.468 -1.095  0.581 -0.982  0.610 -0.836  0.679 -0.747  0.801 -0.732  0.689 -0.619  0.577 -0.507  0.465 -0.395  0.352 -0.283  0.240 -0.171  0.128 -0.059  0.016 0.053  -0.132 0.077  -0.213 0.154  -0.192 0.304  -0.080 0.416  0.048 0.489  0.207 0.489  0.365 0.489  0.330 0.582  0.231 0.706  0.132 0.829  0.033 0.953  -0.066 1.077  -0.165 1.201  -0.264 1.325  -0.364 1.448  -0.350 1.518  -0.198 1.533  -0.086 1.646  0.040 1.724  0.198 1.724
1b#app#app19#app1903/L  -0.571 1.774  -0.571 1.677  -0.571 1.580  -0.571 1.483  -0.571 1.386  -0.524 1.308  -0.456 1.239  -0.387 1.170  -0.361 1.084  -0.361 0.987  -0.361 0.890  -0.361 0.793  -0.361 0.695  -0.361 0.598  -0.361 0.501  -0.361 0.404  -0.361 0.307  -0.361 0.210  -0.361 0.112  -0.361 0.015  -0.361 -0.082  -0.361 -0.179  -0.361 -0.276  -0.361 -0.373  -0.361 -0.470  -0.339 -0.559  -0.270 -0.627  -0.202 -0.696  -0.151 -0.772  -0.151 -0.869  -0.142 -0.957  -0.044 -0.957  0.053 -0.957  0.150 -0.957  0.247 -0.957  0.270 -0.883  0.270 -0.786  0.328 -0.747  0.426 -0.747  0.510 -0.717  0.579 -0.648  0.648 -0.579  0.727 -0.537  0.824 -0.537  0.915 -0.522  0.984 -0.453  1.053 -0.384  1.126 -0.327  1.223 -0.327  1.320 -0.327
1b#app#app19#app1903/V  -0.947 0.576  -0.947 0.702  -0.947 0.724  -0.947 0.597  -0.872 0.501  -0.783 0.412  -0.745 0.300  -0.745 0.173  -0.745 0.046  -0.708 -0.065  -0.619 -0.155  -0.544 -0.251  -0.544 -0.378  -0.492 -0.483  -0.402 -0.573  -0.343 -0.675  -0.343 -0.802  -0.247 -0.833  -0.142 -0.854  -0.142 -0.981  -0.142 -1.108  -0.142 -1.235  -0.015 -1.235  0.059 -1.183  0.059 -1.057  0.164 -1.034  0.261 -1.004  0.261 -0.877  0.261 -0.750  0.261 -0.623  0.261 -0.497  0.304 -0.388  0.393 -0.298  0.462 -0.199  0.462 -0.073  0.462 0.054  0.466 0.180  0.522 0.294  0.579 0.407  0.636 0.521  0.663 0.641  0.663 0.768  0.663 0.895  0.663 1.022  0.663 1.149  0.663 1.275  0.663 1.402  0.663 1.529  0.663 1.656  0.663 1.783
1b#app#app19#app1903/E  -0.275 0.269  -0.275 0.128  -0.275 -0.013  -0.275 -0.154  -0.275 -0.295  -0.275 -0.437  -0.275 -0.578  -0.275 -0.719  -0.275 -0.860  -0.275 -1.001  -0.275 -1.142  -0.239 -1.247  -0.123 -1.272  -0.108 -1.398  0.033 -1.398  0.174 -1.398  0.315 -1.398  0.301 -1.277  0.267 -1.141  0.233 -1.004  0.198 -0.867  0.164 -0.730  0.130 -0.593  0.096 -0.456  0.062 -0.320  0.025 -0.186  -0.116 -0.186  -0.123 -0.052  -0.000 -0.034  0.141 -0.034  0.282 -0.034  0.290 0.048  0.227 0.174  0.164 0.300  0.101 0.426  0.038 0.552  -0.025 0.678  -0.088 0.805  -0.151 0.931  -0.214 1.057  -0.275 1.184  -0.275 1.325  -0.139 1.329  -0.123 1.455  -0.008 1.481  0.102 1.555  0.211 1.632  0.352 1.632  0.493 1.632  0.634 1.632
1b#app#app19#app1903/T  0.401 -0.184  0.401 -0.042  0.297 -0.003  0.220 -0.068  0.220 -0.211  0.220 -0.353  0.220 -0.495  0.220 -0.638  0.243 -0.775  0.307 -0.902  0.370 -1.029  0.401 -1.164  0.401 -1.307  0.401 -1.449  0.308 -1.348  0.213 -1.241  0.119 -1.135  0.024 -1.029  -0.070 -0.922  -0.165 -0.816  -0.259 -0.709  -0.354 -0.603  -0.449 -0.497  -0.543 -0.390  -0.638 -0.284  -0.732 -0.178  -0.827 -0.071  -0.921 0.035  -1.016 0.142  -1.048 0.272  -0.993 0.359  -0.855 0.371  -0.754 0.471  -0.654 0.572  -0.553 0.673  -0.452 0.773  -0.352 0.874  -0.221 0.902  -0.079 0.902  0.064 0.902  0.206 0.902  0.220 1.031  0.310 1.083  0.452 1.083  0.594 1.083  0.737 1.083  0.879 1.083  1.021 1.083  1.164 1.083  1.306 1.083
