1b#app#app19#app1905/F  -0.769 -0.852  -0.769 -0.615  -0.769 -0.379  -0.769 -0.143  -0.626 -0.049  -0.663 0.150  -0.769 0.020  -0.689 -0.136  -0.626 -0.310  -0.626 -0.546  -0.626 -0.783  -0.602 -0.995  -0.483 -1.112  -0.550 -0.995  -0.626 -0.834  -0.705 -0.630  -0.769 -0.421  -0.769 -0.184  -0.769 0.052  -0.769 0.288  -0.681 0.436  -0.599 0.607  -0.411 0.722  -0.317 0.866  -0.115 0.948  0.096 1.009  0.303 1.079  0.510 1.152  0.746 1.152  0.982 1.152  1.219 1.152  1.432 1.097  1.520 0.897  1.388 0.709  1.235 0.529  1.083 0.348  0.930 0.168  0.777 -0.013  0.625 -0.193  0.472 -0.374  0.319 -0.554  0.167 -0.734  0.014 -0.915  -0.054 -0.863  -0.054 -0.627  0.070 -0.442  0.239 -0.279  0.475 -0.279  0.569 -0.136  0.805 -0.136
1b#app#app19#app1905/I  -0.258 1.608  -0.208 1.559  -0.159 1.509  -0.110 1.460  -0.060 1.410  -0.011 1.361  0.018 1.303  0.018 1.233  0.018 1.163  0.018 1.093  0.018 1.023  0.018 0.953  0.018 0.883  0.018 0.813  0.018 0.743  0.018 0.673  0.018 0.603  0.018 0.533  0.018 0.463  0.018 0.393  0.018 0.323  0.018 0.253  0.018 0.183  0.018 0.113  0.018 0.043  0.018 -0.027  0.018 -0.097  0.018 -0.167  0.018 -0.237  0.018 -0.307  0.018 -0.377  0.018 -0.447  0.018 -0.517  0.018 -0.587  0.018 -0.657  0.018 -0.727  0.018 -0.797  0.018 -0.867  0.018 -0.937  0.018 -1.007  0.018 -1.077  0.018 -1.147  0.018 -1.217  0.018 -1.287  0.018 -1.357  0.018 -1.427  0.018 -1.497  0.018 -1.567  0.018 -1.637  0.018 -1.707
1b#app#app19#app1905/R  -0.358 -0.533  -0.358 -0.724  -0.358 -0.914  -0.358 -1.105  -0.277 -1.263  -0.207 -1.399  -0.141 -1.490  -0.212 -1.329  -0.278 -1.182  -0.358 -1.071  -0.358 -0.880  -0.466 -0.734  -0.466 -0.544  -0.498 -0.360  -0.574 -0.188  -0.574 0.003  -0.574 0.194  -0.574 0.385  -0.574 0.576  -0.574 0.766  -0.574 0.957  -0.574 1.148  -0.476 1.298  -0.334 1.416  -0.143 1.416  0.047 1.416  0.238 1.416  0.415 1.355  0.569 1.247  0.704 1.113  0.833 0.975  0.833 0.785  0.833 0.594  0.702 0.484  0.617 0.346  0.459 0.284  0.293 0.225  0.147 0.117  -0.033 0.106  -0.127 0.009  -0.249 -0.123  -0.144 -0.208  0.047 -0.208  0.222 -0.246  0.357 -0.381  0.509 -0.446  0.582 -0.606  0.717 -0.741  0.833 -0.883  0.833 -1.074
1b#app#app19#app1905/S  0.635 0.361  0.635 0.496  0.635 0.630  0.635 0.764  0.566 0.870  0.463 0.947  0.342 0.960  0.341 1.094  0.207 1.094  0.072 1.094  -0.062 1.094  -0.197 1.094  -0.331 1.094  -0.390 1.018  -0.453 0.947  -0.573 0.911  -0.668 0.816  -0.796 0.801  -0.829 0.700  -0.829 0.566  -0.829 0.431  -0.765 0.361  -0.683 0.309  -0.647 0.197  -0.527 0.137  -0.407 0.077  -0.274 0.068  -0.140 0.068  -0.032 0.004  0.063 -0.091  0.158 -0.186  0.268 -0.260  0.388 -0.321  0.504 -0.386  0.599 -0.481  0.635 -0.601  0.635 -0.735  0.635 -0.869  0.588 -0.957  0.489 -0.992  0.472 -1.119  0.377 -1.214  0.258 -1.250  0.123 -1.250  0.049 -1.310  0.001 -1.396  -0.133 -1.396  -0.268 -1.396  -0.402 -1.396  -0.537 -1.396
1b#app#app19#app1905/T  0.073 0.069  0.073 0.212  0.073 0.133  0.073 -0.010  0.073 -0.153  0.080 -0.295  0.144 -0.423  0.208 -0.551  0.249 -0.685  0.249 -0.828  0.249 -0.971  0.342 -1.075  0.424 -1.185  0.424 -1.328  0.424 -1.471  0.360 -1.420  0.276 -1.304  0.192 -1.188  0.108 -1.072  0.024 -0.957  -0.061 -0.841  -0.145 -0.725  -0.229 -0.609  -0.313 -0.493  -0.398 -0.378  -0.482 -0.262  -0.566 -0.146  -0.650 -0.030  -0.734 0.086  -0.819 0.201  -0.903 0.317  -0.977 0.436  -0.977 0.579  -0.887 0.685  -0.779 0.770  -0.636 0.770  -0.492 0.770  -0.360 0.816  -0.232 0.880  -0.104 0.944  0.039 0.945  0.177 0.979  0.312 1.024  0.448 1.070  0.584 1.115  0.726 1.120  0.870 1.120  1.013 1.120  1.156 1.120  1.299 1.120
1b#app#app19#app1905/M  -0.522 0.269  -0.571 0.093  -0.648 -0.072  -0.648 -0.268  -0.648 -0.465  -0.648 -0.661  -0.648 -0.858  -0.648 -1.055  -0.648 -1.251  -0.648 -1.058  -0.653 -0.863  -0.741 -0.687  -0.775 -0.498  -0.775 -0.301  -0.775 -0.105  -0.775 0.092  -0.775 0.289  -0.775 0.485  -0.775 0.682  -0.877 0.777  -0.902 0.859  -0.788 0.777  -0.750 0.598  -0.662 0.422  -0.620 0.241  -0.481 0.102  -0.395 -0.059  -0.268 -0.129  -0.180 -0.238  -0.030 -0.349  0.160 -0.365  0.239 -0.248  0.427 -0.238  0.493 -0.108  0.566 0.016  0.620 0.158  0.681 0.330  0.747 0.499  0.747 0.696  0.863 0.777  1.059 0.777  1.254 0.775  1.326 0.650  1.381 0.509  1.381 0.312  1.381 0.115  1.381 -0.081  1.381 -0.278  1.459 -0.443  1.508 -0.619
1b#app#app19#app1905/A  -1.029 -1.314  -1.018 -1.101  -0.865 -0.948  -0.827 -0.746  -0.700 -0.582  -0.625 -0.396  -0.536 -0.215  -0.423 -0.045  -0.423 0.172  -0.361 0.364  -0.221 0.523  -0.221 0.740  -0.171 0.906  -0.020 0.973  0.017 1.181  0.114 1.375  0.182 1.576  0.262 1.714  0.384 1.619  0.384 1.402  0.384 1.185  0.384 0.968  0.384 0.751  0.384 0.533  0.384 0.316  0.384 0.099  0.384 -0.118  0.415 -0.305  0.586 -0.350  0.586 -0.568  0.586 -0.785  0.651 -0.975  0.788 -1.135  0.788 -1.353  0.755 -1.473  0.622 -1.302  0.488 -1.131  0.355 -0.959  0.222 -0.788  0.088 -0.616  -0.045 -0.445  -0.178 -0.274  -0.312 -0.102  -0.445 0.069  -0.578 0.241  -0.625 0.160  -0.625 0.255  -0.454 0.301  -0.237 0.301  -0.020 0.301
1b#app#app19#app1905/T  -0.017 -0.204  0.131 -0.204  0.280 -0.204  0.344 -0.120  0.344 -0.076  0.344 -0.224  0.344 -0.372  0.344 -0.521  0.344 -0.669  0.344 -0.817  0.344 -0.966  0.349 -1.112  0.454 -1.217  0.524 -1.336  0.514 -1.454  0.420 -1.339  0.326 -1.225  0.232 -1.110  0.138 -0.995  0.044 -0.880  -0.050 -0.765  -0.144 -0.651  -0.238 -0.536  -0.332 -0.421  -0.426 -0.306  -0.519 -0.191  -0.613 -0.077  -0.707 0.038  -0.801 0.153  -0.895 0.268  -0.989 0.383  -1.083 0.497  -0.978 0.518  -0.919 0.608  -0.861 0.698  -0.721 0.716  -0.616 0.821  -0.491 0.879  -0.346 0.894  -0.214 0.961  -0.081 1.027  0.060 1.059  0.208 1.059  0.356 1.059  0.505 1.059  0.653 1.059  0.801 1.059  0.950 1.059  1.098 1.059  1.246 1.059
1b#app#app19#app1905/E  -0.589 0.026  -0.589 -0.118  -0.689 -0.221  -0.735 -0.346  -0.735 -0.489  -0.660 -0.559  -0.589 -0.631  -0.589 -0.775  -0.589 -0.919  -0.523 -0.997  -0.443 -1.060  -0.382 -1.143  -0.238 -1.143  -0.094 -1.143  0.050 -1.143  0.178 -1.106  0.280 -1.004  0.382 -0.902  0.504 -0.851  0.521 -0.815  0.397 -0.741  0.274 -0.667  0.151 -0.593  0.027 -0.519  -0.096 -0.445  -0.151 -0.332  -0.073 -0.267  0.049 -0.213  0.154 -0.121  0.298 -0.121  0.430 -0.113  0.365 0.016  0.301 0.145  0.237 0.273  0.172 0.402  0.108 0.531  0.044 0.659  -0.021 0.788  -0.085 0.917  -0.149 1.045  -0.151 1.189  -0.012 1.194  -0.005 1.330  0.090 1.435  0.213 1.486  0.336 1.535  0.440 1.632  0.584 1.632  0.728 1.632  0.872 1.632
1b#app#app19#app1905/E  -0.467 0.341  -0.612 0.341  -0.646 0.231  -0.722 0.161  -0.826 0.121  -0.826 -0.024  -0.826 -0.169  -0.826 -0.314  -0.826 -0.459  -0.826 -0.604  -0.817 -0.745  -0.715 -0.847  -0.598 -0.916  -0.457 -0.925  -0.355 -1.028  -0.238 -1.095  -0.093 -1.095  0.052 -1.095  0.197 -1.095  0.341 -1.095  0.486 -1.095  0.599 -1.078  0.518 -0.957  0.438 -0.837  0.358 -0.716  0.277 -0.596  0.197 -0.475  0.117 -0.355  0.036 -0.234  -0.044 -0.114  -0.108 0.012  -0.108 0.157  0.032 0.161  0.177 0.161  0.322 0.161  0.425 0.197  0.401 0.340  0.377 0.483  0.353 0.626  0.330 0.768  0.306 0.911  0.282 1.054  0.258 1.197  0.251 1.341  0.319 1.418  0.454 1.442  0.557 1.544  0.680 1.598  0.824 1.598  0.969 1.598
1b#app#app19#app1905/X  -1.077 0.500  -1.077 0.694  -1.020 0.864  -0.883 1.001  -0.737 1.115  -0.543 1.115  -0.462 1.002  -0.462 0.809  -0.269 0.808  -0.154 0.729  -0.154 0.535  0.004 0.500  0.153 0.455  0.153 0.262  0.241 0.104  0.378 -0.032  0.460 -0.192  0.460 -0.386  0.618 -0.422  0.768 -0.466  0.768 -0.659  0.653 -0.775  0.473 -0.847  0.293 -0.919  0.114 -0.991  -0.066 -1.063  -0.246 -1.135  -0.426 -1.207  -0.606 -1.279  -0.752 -1.344  -0.558 -1.344  -0.462 -1.247  -0.462 -1.053  -0.462 -0.860  -0.417 -0.685  -0.280 -0.548  -0.154 -0.406  -0.154 -0.212  -0.154 -0.019  -0.154 0.175  -0.030 0.317  0.107 0.454  0.282 0.500  0.471 0.511  0.608 0.648  0.745 0.785  0.882 0.921  1.019 1.058  1.189 1.115  1.383 1.115
