1b#app#app19#app1908/Q  -0.025 0.109  0.120 0.308  0.120 0.567  0.021 0.785  -0.219 0.831  -0.477 0.831  -0.736 0.831  -0.923 0.656  -1.106 0.473  -1.187 0.247  -1.325 0.045  -1.325 -0.214  -1.259 -0.457  -1.121 -0.673  -0.898 -0.758  -0.639 -0.758  -0.380 -0.758  -0.121 -0.758  0.138 -0.758  0.358 -0.664  0.576 -0.530  0.785 -0.382  0.968 -0.199  1.131 -0.092  1.274 0.108  1.276 0.366  1.193 0.542  0.992 0.682  0.794 0.831  0.535 0.831  0.277 0.831  0.018 0.831  -0.241 0.831  -0.500 0.831  -0.713 0.720  -0.892 0.620  -0.763 0.414  -0.580 0.231  -0.397 0.048  -0.214 -0.135  -0.031 -0.318  0.152 -0.502  0.264 -0.513  0.170 -0.519  0.389 -0.614  0.504 -0.758  0.703 -0.903  0.962 -0.903  1.076 -1.047  1.276 -1.191
1b#app#app19#app1908/U  -1.078 0.614  -1.186 0.614  -1.232 0.552  -1.232 0.445  -1.232 0.337  -1.232 0.229  -1.210 0.131  -1.134 0.054  -1.078 -0.030  -1.078 -0.138  -1.078 -0.246  -1.047 -0.340  -0.970 -0.417  -0.894 -0.493  -0.818 -0.569  -0.730 -0.617  -0.622 -0.617  -0.515 -0.617  -0.407 -0.617  -0.299 -0.617  -0.191 -0.617  -0.084 -0.617  0.024 -0.617  0.132 -0.617  0.239 -0.617  0.335 -0.588  0.411 -0.512  0.499 -0.463  0.607 -0.463  0.685 -0.392  0.761 -0.316  0.866 -0.309  0.922 -0.257  0.922 -0.149  0.922 -0.042  0.970 0.046  1.046 0.123  1.076 0.218  1.076 0.326  1.076 0.433  1.018 0.517  0.942 0.594  0.866 0.670  0.790 0.746  0.691 0.768  0.614 0.799  0.614 0.906  0.522 0.922  0.414 0.922  0.307 0.922
1b#app#app19#app1908/I  -0.071 0.851  -0.071 0.931  -0.071 1.010  -0.071 1.089  -0.071 1.169  -0.071 1.248  -0.071 1.327  -0.071 1.407  -0.071 1.392  -0.071 1.312  -0.071 1.233  -0.071 1.154  -0.071 1.074  -0.071 0.995  -0.071 0.915  -0.071 0.836  -0.071 0.757  -0.071 0.677  -0.071 0.598  -0.071 0.519  -0.071 0.439  -0.071 0.360  -0.071 0.281  -0.071 0.201  -0.071 0.122  -0.071 0.043  -0.071 -0.037  -0.071 -0.116  -0.071 -0.195  -0.071 -0.275  -0.071 -0.354  -0.071 -0.433  -0.071 -0.513  -0.071 -0.592  -0.047 -0.666  -0.011 -0.737  0.024 -0.808  0.060 -0.879  0.095 -0.949  0.131 -1.020  0.166 -1.091  0.202 -1.162  0.223 -1.237  0.223 -1.316  0.223 -1.395  0.223 -1.475  0.223 -1.554  0.223 -1.633  0.223 -1.713  0.223 -1.792
1b#app#app19#app1908/C  0.813 -0.075  0.813 0.045  0.813 0.165  0.813 0.284  0.813 0.404  0.813 0.524  0.813 0.644  0.813 0.764  0.779 0.851  0.659 0.851  0.658 0.970  0.574 1.005  0.454 1.005  0.334 1.005  0.214 1.005  0.094 1.005  -0.026 1.005  -0.136 0.983  -0.221 0.898  -0.306 0.813  -0.391 0.728  -0.498 0.697  -0.606 0.668  -0.690 0.583  -0.731 0.480  -0.731 0.360  -0.731 0.240  -0.731 0.120  -0.731 -0.000  -0.731 -0.120  -0.731 -0.240  -0.731 -0.360  -0.731 -0.480  -0.731 -0.600  -0.704 -0.693  -0.584 -0.693  -0.497 -0.772  -0.422 -0.861  -0.422 -0.981  -0.323 -1.002  -0.203 -1.002  -0.092 -1.023  -0.007 -1.108  0.093 -1.156  0.213 -1.156  0.333 -1.156  0.453 -1.156  0.573 -1.156  0.693 -1.156  0.813 -1.156
1b#app#app19#app1908/K  -1.141 1.033  -1.141 0.842  -1.141 0.652  -1.141 0.462  -1.141 0.272  -1.055 0.118  -0.975 -0.039  -0.975 -0.230  -0.975 -0.420  -0.869 -0.566  -0.809 -0.731  -0.717 -0.883  -0.643 -1.043  -0.566 -1.201  -0.441 -1.235  -0.336 -1.077  -0.230 -0.919  -0.125 -0.761  -0.019 -0.603  0.086 -0.444  0.192 -0.286  0.297 -0.128  0.402 0.030  0.508 0.188  0.613 0.347  0.719 0.505  0.824 0.663  0.930 0.821  1.035 0.979  1.141 1.138  1.181 1.082  1.040 1.033  0.850 1.033  0.715 0.898  0.538 0.867  0.398 0.747  0.264 0.612  0.129 0.478  -0.005 0.344  -0.140 0.209  -0.146 0.021  -0.146 -0.169  -0.146 -0.359  -0.083 -0.523  0.065 -0.626  0.255 -0.626  0.445 -0.626  0.635 -0.626  0.825 -0.626  1.015 -0.626
1b#app#app19#app1908/L  -0.379 1.800  -0.379 1.682  -0.379 1.563  -0.379 1.445  -0.379 1.327  -0.379 1.208  -0.415 1.098  -0.468 0.993  -0.521 0.887  -0.574 0.781  -0.588 0.666  -0.588 0.548  -0.588 0.429  -0.588 0.311  -0.588 0.192  -0.588 0.074  -0.588 -0.044  -0.588 -0.163  -0.588 -0.281  -0.588 -0.400  -0.588 -0.518  -0.588 -0.636  -0.588 -0.755  -0.588 -0.873  -0.524 -0.927  -0.406 -0.927  -0.287 -0.927  -0.169 -0.927  -0.169 -0.809  -0.142 -0.717  -0.023 -0.717  0.041 -0.663  0.041 -0.545  0.122 -0.507  0.240 -0.507  0.327 -0.431  0.411 -0.347  0.509 -0.298  0.627 -0.298  0.670 -0.223  0.670 -0.104  0.772 -0.088  0.891 -0.088  1.009 -0.088  1.127 -0.088  1.246 -0.088  1.300 -0.152  1.300 -0.271  1.391 -0.298  1.510 -0.298
1b#app#app19#app1908/Y  -1.176 0.353  -1.176 0.507  -1.176 0.373  -1.081 0.258  -0.972 0.150  -0.864 0.041  -0.716 0.027  -0.599 -0.061  -0.477 -0.136  -0.334 -0.162  -0.225 -0.271  -0.083 -0.299  0.024 -0.212  0.109 -0.085  0.194 0.043  0.279 0.171  0.364 0.299  0.450 0.426  0.535 0.554  0.620 0.682  0.705 0.810  0.790 0.938  0.876 1.065  0.916 1.169  0.762 1.169  0.618 1.159  0.618 1.006  0.465 1.006  0.311 1.006  0.292 0.872  0.204 0.755  0.129 0.632  0.112 0.482  0.043 0.345  -0.025 0.208  -0.034 0.056  -0.034 -0.097  -0.034 -0.251  -0.034 -0.404  -0.034 -0.558  -0.034 -0.712  -0.034 -0.865  -0.034 -1.019  -0.034 -1.172  -0.034 -1.326  -0.034 -1.479  -0.034 -1.633  -0.034 -1.787  -0.034 -1.940  -0.034 -2.094
1b#app#app19#app1908/F  -0.420 -0.299  -0.420 -0.493  -0.420 -0.688  -0.381 -0.866  -0.315 -1.033  -0.315 -1.228  -0.384 -1.353  -0.526 -1.301  -0.551 -1.117  -0.631 -0.955  -0.631 -0.761  -0.631 -0.566  -0.631 -0.372  -0.631 -0.177  -0.631 0.017  -0.631 0.212  -0.631 0.407  -0.575 0.545  -0.526 0.690  -0.420 0.779  -0.315 0.868  -0.219 0.967  -0.068 1.072  0.124 1.081  0.298 1.168  0.491 1.178  0.685 1.178  0.880 1.178  1.074 1.178  1.268 1.177  1.341 1.037  1.211 0.892  1.082 0.747  0.952 0.602  0.822 0.457  0.692 0.312  0.563 0.167  0.433 0.022  0.303 -0.123  0.174 -0.267  0.044 -0.412  -0.086 -0.557  -0.216 -0.702  -0.345 -0.847  -0.420 -0.849  -0.355 -0.720  -0.266 -0.615  -0.071 -0.615  0.018 -0.509  0.212 -0.509
1b#app#app19#app1908/O  -0.087 0.347  -0.087 0.509  -0.211 0.546  -0.372 0.546  -0.485 0.498  -0.496 0.347  -0.657 0.347  -0.779 0.252  -0.893 0.138  -1.007 0.024  -1.082 -0.106  -1.082 -0.268  -1.082 -0.429  -1.082 -0.591  -1.009 -0.722  -0.895 -0.836  -0.780 -0.950  -0.659 -1.046  -0.497 -1.046  -0.336 -1.046  -0.175 -1.046  -0.013 -1.046  0.148 -1.046  0.310 -1.046  0.424 -0.933  0.538 -0.819  0.652 -0.705  0.767 -0.591  0.881 -0.477  0.909 -0.327  0.993 -0.250  1.108 -0.203  1.108 -0.042  1.108 0.120  1.108 0.281  1.040 0.415  0.926 0.529  0.909 0.683  0.810 0.745  0.666 0.789  0.552 0.903  0.408 0.945  0.247 0.945  0.085 0.945  -0.076 0.945  -0.237 0.945  -0.286 0.832  -0.361 0.745  -0.485 0.708  -0.485 0.546
1b#app#app19#app1908/R  0.138 0.063  0.138 -0.151  0.138 -0.366  0.138 -0.581  0.138 -0.795  0.281 -0.951  0.283 -1.164  0.283 -1.379  0.187 -1.207  0.087 -1.018  -0.014 -0.828  -0.114 -0.638  -0.214 -0.449  -0.315 -0.259  -0.415 -0.069  -0.516 0.120  -0.616 0.310  -0.716 0.500  -0.817 0.689  -0.917 0.879  -1.018 1.069  -0.966 1.225  -0.878 1.351  -0.682 1.370  -0.468 1.370  -0.253 1.370  -0.038 1.370  0.165 1.343  0.326 1.204  0.518 1.108  0.719 1.073  0.719 0.858  0.718 0.644  0.574 0.489  0.517 0.298  0.366 0.146  0.214 -0.006  0.031 -0.082  -0.029 -0.249  -0.181 -0.401  -0.333 -0.553  -0.443 -0.722  -0.314 -0.808  -0.099 -0.808  0.115 -0.808  0.330 -0.808  0.545 -0.808  0.740 -0.891  0.940 -0.953  1.009 -1.098
1b#app#app19#app1908/G  0.639 1.157  0.526 1.270  0.482 1.411  0.383 1.471  0.223 1.471  0.063 1.471  -0.065 1.395  -0.178 1.282  -0.291 1.169  -0.404 1.056  -0.517 0.943  -0.630 0.830  -0.743 0.717  -0.775 0.571  -0.775 0.411  -0.859 0.287  -0.932 0.157  -0.932 -0.003  -0.888 -0.144  -0.775 -0.257  -0.773 -0.416  -0.661 -0.529  -0.618 -0.671  -0.546 -0.801  -0.421 -0.886  -0.274 -0.916  -0.161 -1.029  -0.007 -1.043  0.152 -1.043  0.312 -1.043  0.472 -1.043  0.631 -1.043  0.747 -0.936  0.797 -0.797  0.888 -0.729  0.954 -0.635  0.954 -0.475  0.883 -0.344  0.760 -0.258  0.611 -0.230  0.499 -0.117  0.346 -0.100  0.186 -0.100  0.026 -0.100  -0.133 -0.100  -0.146 -0.247  0.003 -0.258  0.163 -0.258  0.323 -0.258  0.482 -0.258
