1b#app#app19#app1928/Z  -0.529 1.243  -0.645 1.302  -0.528 1.360  -0.401 1.476  -0.226 1.476  -0.051 1.476  0.124 1.476  0.299 1.476  0.402 1.403  0.402 1.228  0.402 1.053  0.308 0.917  0.277 0.753  0.221 0.587  0.160 0.429  0.053 0.361  0.045 0.189  -0.073 0.062  -0.151 -0.095  -0.180 -0.263  -0.298 -0.389  -0.377 -0.546  -0.412 -0.712  -0.412 -0.887  -0.412 -1.062  -0.412 -1.237  -0.412 -1.412  -0.296 -1.391  -0.197 -1.315  -0.022 -1.315  0.123 -1.244  0.280 -1.198  0.406 -1.082  0.581 -1.082  0.747 -1.078  0.636 -0.942  0.525 -0.807  0.414 -0.671  0.303 -0.536  0.193 -0.400  0.082 -0.265  -0.029 -0.129  -0.140 0.006  -0.251 0.141  -0.399 0.197  -0.366 0.313  -0.191 0.313  -0.016 0.313  0.159 0.313  0.285 0.197
1b#app#app19#app1928/A  -1.256 -1.253  -1.203 -1.092  -1.095 -0.987  -0.983 -0.819  -0.934 -0.626  -0.795 -0.470  -0.643 -0.318  -0.608 -0.118  -0.512 0.073  -0.397 0.250  -0.289 0.419  -0.238 0.621  -0.143 0.812  -0.128 1.023  -0.128 1.237  -0.072 1.437  0.024 1.629  0.033 1.778  0.033 1.564  0.033 1.350  0.033 1.136  0.033 0.922  0.033 0.709  0.041 0.496  0.109 0.293  0.177 0.090  0.195 -0.121  0.343 -0.273  0.371 -0.478  0.467 -0.670  0.517 -0.872  0.626 -1.040  0.778 -1.192  0.929 -1.343  0.935 -1.324  0.809 -1.151  0.683 -0.978  0.557 -0.805  0.431 -0.632  0.305 -0.459  0.180 -0.286  0.054 -0.113  -0.072 0.060  -0.198 0.233  -0.289 0.300  -0.177 0.197  0.037 0.197  0.250 0.197  0.464 0.197  0.678 0.197
1b#app#app19#app1928/P  -0.102 0.460  -0.024 0.589  -0.082 0.479  -0.102 0.281  -0.102 0.074  -0.155 -0.111  -0.231 -0.286  -0.231 -0.493  -0.231 -0.700  -0.264 -0.899  -0.357 -1.084  -0.360 -1.290  -0.360 -1.497  -0.265 -1.609  -0.239 -1.695  -0.278 -1.492  -0.317 -1.289  -0.355 -1.085  -0.394 -0.882  -0.433 -0.679  -0.472 -0.476  -0.510 -0.273  -0.549 -0.069  -0.588 0.134  -0.626 0.337  -0.665 0.540  -0.704 0.743  -0.742 0.947  -0.701 1.106  -0.531 1.194  -0.341 1.235  -0.145 1.192  0.042 1.106  0.249 1.106  0.406 0.986  0.555 0.848  0.736 0.785  0.915 0.718  1.105 0.675  1.251 0.529  1.320 0.351  1.263 0.201  1.096 0.106  0.912 0.051  0.750 -0.057  0.543 -0.059  0.389 -0.187  0.183 -0.187  -0.024 -0.187  -0.231 -0.187
1b#app#app19#app1928/K  -0.952 1.303  -0.952 1.092  -0.952 0.881  -0.952 0.669  -0.952 0.458  -0.952 0.247  -0.952 0.035  -0.952 -0.176  -0.952 -0.387  -0.952 -0.599  -0.829 -0.759  -0.790 -0.954  -0.760 -1.089  -0.616 -0.934  -0.472 -0.779  -0.328 -0.624  -0.185 -0.469  -0.041 -0.314  0.103 -0.160  0.247 -0.005  0.391 0.150  0.534 0.305  0.678 0.460  0.822 0.615  0.966 0.770  1.109 0.924  1.253 1.079  1.311 1.015  1.139 0.970  0.990 0.821  0.785 0.797  0.596 0.703  0.427 0.580  0.260 0.455  0.071 0.360  0.018 0.182  -0.172 0.144  -0.328 0.010  -0.467 -0.062  -0.467 -0.273  -0.460 -0.482  -0.310 -0.631  -0.101 -0.636  0.110 -0.636  0.180 -0.778  0.371 -0.798  0.583 -0.798  0.794 -0.798  0.953 -0.924  1.150 -0.960
1b#app#app19#app1928/A  -1.128 -1.145  -1.086 -0.982  -0.964 -0.899  -0.964 -0.694  -0.847 -0.537  -0.801 -0.351  -0.672 -0.199  -0.637 -0.008  -0.549 0.176  -0.448 0.353  -0.309 0.501  -0.309 0.706  -0.244 0.884  -0.099 1.029  0.018 1.186  0.018 1.391  0.105 1.560  0.182 1.733  0.182 1.663  0.182 1.458  0.182 1.253  0.182 1.048  0.182 0.843  0.182 0.637  0.182 0.432  0.182 0.227  0.182 0.022  0.311 -0.129  0.345 -0.321  0.370 -0.516  0.509 -0.663  0.509 -0.868  0.574 -1.047  0.738 -1.145  0.836 -1.252  0.985 -1.309  0.858 -1.183  0.705 -1.047  0.551 -0.910  0.398 -0.774  0.245 -0.638  0.091 -0.501  -0.062 -0.365  -0.215 -0.229  -0.369 -0.092  -0.427 0.047  -0.270 0.164  -0.065 0.164  0.140 0.164  0.345 0.164
1b#app#app19#app1928/P  -0.473 -0.444  -0.355 -0.490  -0.355 -0.654  -0.257 -0.778  -0.236 -0.934  -0.236 -1.098  -0.160 -1.231  -0.118 -1.378  -0.130 -1.479  -0.193 -1.328  -0.255 -1.176  -0.318 -1.024  -0.381 -0.872  -0.443 -0.720  -0.506 -0.568  -0.568 -0.416  -0.631 -0.264  -0.693 -0.112  -0.756 0.040  -0.819 0.192  -0.881 0.344  -0.944 0.496  -0.920 0.649  -0.828 0.775  -0.748 0.859  -0.586 0.865  -0.468 0.977  -0.304 0.977  -0.139 0.977  0.025 0.977  0.189 0.977  0.354 0.977  0.518 0.977  0.656 0.914  0.798 0.859  0.958 0.849  1.074 0.733  1.190 0.616  1.303 0.499  1.267 0.349  1.151 0.233  1.035 0.117  0.907 0.030  0.742 0.030  0.617 -0.064  0.476 -0.147  0.326 -0.207  0.184 -0.260  0.047 -0.325  -0.118 -0.325
1b#app#app19#app1928/O  -0.088 0.316  0.072 0.316  0.091 0.458  0.091 0.619  -0.013 0.674  -0.174 0.674  -0.334 0.674  -0.495 0.674  -0.655 0.674  -0.804 0.663  -0.804 0.503  -0.957 0.495  -0.983 0.361  -0.983 0.200  -1.081 0.137  -1.162 0.059  -1.162 -0.102  -1.133 -0.250  -1.020 -0.364  -0.983 -0.509  -0.920 -0.643  -0.806 -0.756  -0.646 -0.758  -0.625 -0.897  -0.505 -0.937  -0.344 -0.937  -0.184 -0.937  -0.023 -0.937  0.137 -0.937  0.289 -0.918  0.403 -0.804  0.544 -0.758  0.682 -0.704  0.796 -0.591  0.909 -0.477  1.038 -0.400  1.165 -0.367  1.165 -0.207  1.165 -0.047  1.165 0.114  1.165 0.274  1.165 0.435  1.095 0.566  0.979 0.674  0.819 0.674  0.659 0.674  0.536 0.766  0.412 0.854  0.251 0.854  0.091 0.854
1b#app#app19#app1928/W  -1.164 0.400  -1.164 0.539  -1.164 0.674  -1.164 0.535  -1.164 0.396  -1.164 0.257  -1.164 0.118  -1.164 -0.021  -1.164 -0.161  -1.157 -0.297  -1.058 -0.395  -0.933 -0.428  -0.887 -0.522  -0.793 -0.566  -0.654 -0.566  -0.611 -0.469  -0.513 -0.428  -0.403 -0.358  -0.305 -0.260  -0.207 -0.161  -0.197 -0.026  -0.197 0.113  -0.197 0.252  -0.197 0.133  -0.197 -0.006  -0.197 -0.145  -0.104 -0.246  -0.005 -0.344  0.097 -0.437  0.221 -0.499  0.346 -0.562  0.484 -0.566  0.623 -0.566  0.762 -0.566  0.901 -0.566  1.001 -0.472  1.100 -0.374  1.183 -0.269  1.183 -0.130  1.183 0.009  1.183 0.148  1.183 0.287  1.183 0.426  1.183 0.565  1.164 0.696  1.065 0.795  0.967 0.893  0.868 0.991  0.770 1.090  0.631 1.091
1b#app#app19#app1928/K  -0.708 1.488  -0.708 1.270  -0.708 1.053  -0.708 0.835  -0.708 0.618  -0.708 0.400  -0.708 0.182  -0.708 -0.035  -0.708 -0.253  -0.708 -0.470  -0.708 -0.688  -0.708 -0.905  -0.557 -0.781  -0.396 -0.635  -0.235 -0.489  -0.074 -0.342  0.087 -0.196  0.248 -0.050  0.409 0.097  0.570 0.243  0.731 0.389  0.892 0.536  1.053 0.682  1.214 0.828  1.328 0.869  1.233 0.747  1.015 0.747  0.798 0.747  0.580 0.747  0.363 0.747  0.166 0.696  0.004 0.562  -0.195 0.519  -0.354 0.377  -0.523 0.328  -0.604 0.192  -0.708 0.078  -0.708 -0.139  -0.708 -0.357  -0.559 -0.513  -0.356 -0.548  -0.323 -0.734  -0.119 -0.766  0.035 -0.919  0.242 -0.943  0.396 -1.097  0.609 -1.114  0.803 -1.211  0.989 -1.320  1.143 -1.474
1b#app#app19#app1928/E  -0.516 0.266  -0.516 0.404  -0.593 0.357  -0.684 0.256  -0.684 0.118  -0.684 -0.020  -0.684 -0.157  -0.684 -0.295  -0.684 -0.433  -0.684 -0.571  -0.684 -0.709  -0.606 -0.814  -0.508 -0.912  -0.411 -1.009  -0.298 -1.070  -0.167 -1.086  -0.069 -1.183  0.046 -1.238  0.184 -1.238  0.322 -1.238  0.460 -1.238  0.447 -1.133  0.399 -1.004  0.350 -0.875  0.302 -0.746  0.253 -0.617  0.205 -0.488  0.157 -0.359  0.108 -0.230  0.060 -0.101  0.011 0.028  0.047 0.099  0.185 0.099  0.319 0.103  0.319 0.240  0.431 0.266  0.468 0.347  0.438 0.482  0.408 0.616  0.378 0.751  0.349 0.885  0.319 1.020  0.289 1.154  0.259 1.289  0.229 1.423  0.199 1.558  0.169 1.693  0.210 1.770  0.348 1.770  0.486 1.770
1b#app#app19#app1928/R  0.095 0.010  -0.024 -0.073  -0.024 -0.274  -0.032 -0.473  -0.143 -0.629  -0.143 -0.831  -0.143 -1.032  -0.143 -1.234  -0.187 -1.164  -0.251 -0.972  -0.314 -0.781  -0.378 -0.590  -0.442 -0.398  -0.506 -0.207  -0.570 -0.015  -0.634 0.176  -0.697 0.368  -0.761 0.559  -0.825 0.750  -0.889 0.942  -0.953 1.133  -0.845 1.208  -0.688 1.317  -0.487 1.317  -0.285 1.317  -0.083 1.317  0.104 1.253  0.292 1.198  0.363 1.049  0.528 0.961  0.683 0.848  0.862 0.755  0.926 0.593  0.860 0.419  0.798 0.248  0.624 0.183  0.446 0.124  0.292 0.010  0.126 -0.077  -0.063 -0.108  -0.143 -0.230  -0.143 -0.432  -0.023 -0.584  0.119 -0.727  0.262 -0.870  0.405 -1.012  0.547 -1.155  0.691 -1.296  0.868 -1.356  0.926 -1.534
