1b#app#app34#app3475/V  -0.946 1.473  -0.946 1.349  -0.946 1.224  -0.865 1.133  -0.816 1.029  -0.816 0.905  -0.784 0.794  -0.696 0.706  -0.687 0.585  -0.687 0.461  -0.687 0.337  -0.618 0.241  -0.558 0.141  -0.558 0.017  -0.537 -0.099  -0.449 -0.187  -0.429 -0.303  -0.379 -0.412  -0.310 -0.515  -0.241 -0.619  -0.172 -0.722  -0.084 -0.810  -0.041 -0.917  0.000 -1.024  0.088 -1.112  0.088 -1.236  0.173 -1.326  0.217 -1.309  0.217 -1.185  0.254 -1.075  0.342 -0.988  0.347 -0.865  0.347 -0.741  0.381 -0.622  0.420 -0.504  0.459 -0.386  0.508 -0.272  0.564 -0.161  0.605 -0.046  0.605 0.078  0.605 0.202  0.617 0.322  0.705 0.410  0.734 0.522  0.734 0.646  0.786 0.749  0.864 0.841  0.864 0.966  0.864 1.090  0.864 1.214
1b#app#app34#app3475/E  -0.328 0.892  -0.328 0.646  -0.328 0.401  -0.328 0.155  -0.311 -0.084  -0.190 -0.279  -0.190 -0.525  -0.190 -0.771  -0.190 -1.017  -0.190 -1.262  -0.141 -1.487  -0.065 -1.453  -0.088 -1.209  -0.112 -0.964  -0.135 -0.720  -0.158 -0.475  -0.181 -0.230  -0.205 0.014  -0.228 0.259  -0.251 0.503  -0.275 0.748  -0.298 0.993  -0.321 1.237  -0.190 1.345  -0.044 1.450  0.149 1.577  0.395 1.577  0.503 1.715  0.579 1.610  0.469 1.390  0.360 1.170  0.250 0.950  0.140 0.731  0.030 0.511  -0.080 0.291  -0.190 0.071  -0.300 -0.148  -0.144 -0.204  0.101 -0.204  0.221 -0.078  0.456 -0.067  0.411 -0.256  0.311 -0.481  0.211 -0.705  0.111 -0.930  0.012 -1.154  0.032 -1.301  0.221 -1.358  0.386 -1.438  0.632 -1.438
1b#app#app34#app3475/X  -1.335 1.468  -1.158 1.455  -1.029 1.327  -0.900 1.198  -0.841 1.040  -0.758 0.892  -0.629 0.763  -0.500 0.634  -0.371 0.505  -0.243 0.376  -0.114 0.247  0.015 0.118  0.144 -0.011  0.157 -0.188  0.286 -0.317  0.415 -0.446  0.572 -0.506  0.639 -0.621  0.639 -0.804  0.790 -0.834  0.803 -0.994  0.788 -0.813  0.773 -0.631  0.758 -0.449  0.742 -0.267  0.727 -0.086  0.712 0.096  0.697 0.278  0.682 0.459  0.667 0.641  0.652 0.823  0.639 0.945  0.605 0.776  0.476 0.648  0.464 0.470  0.335 0.342  0.310 0.169  0.145 0.152  0.064 -0.011  -0.018 -0.174  -0.146 -0.304  -0.275 -0.433  -0.404 -0.562  -0.533 -0.691  -0.662 -0.820  -0.791 -0.948  -0.841 -1.110  -0.970 -1.163  -1.006 -1.310  -1.170 -1.328
1b#app#app34#app3475/I  -0.345 1.570  -0.345 1.495  -0.345 1.421  -0.326 1.365  -0.252 1.365  -0.177 1.365  -0.140 1.328  -0.140 1.254  -0.140 1.179  -0.140 1.105  -0.140 1.031  -0.140 0.956  -0.140 0.882  -0.140 0.808  -0.140 0.733  -0.140 0.659  -0.140 0.585  -0.140 0.510  -0.140 0.436  -0.140 0.362  -0.100 0.304  -0.048 0.251  0.005 0.199  0.057 0.146  0.064 0.075  0.064 0.000  0.064 -0.074  0.064 -0.148  0.064 -0.223  0.064 -0.297  0.064 -0.371  0.064 -0.446  0.064 -0.520  0.064 -0.594  0.064 -0.669  0.064 -0.743  0.064 -0.817  0.071 -0.889  0.123 -0.941  0.176 -0.994  0.228 -1.046  0.268 -1.104  0.268 -1.179  0.268 -1.253  0.268 -1.327  0.268 -1.402  0.268 -1.476  0.268 -1.550  0.268 -1.625  0.268 -1.699
1b#app#app34#app3475/N  -0.788 0.845  -0.788 0.661  -0.788 0.476  -0.788 0.292  -0.788 0.107  -0.771 -0.070  -0.640 -0.200  -0.638 -0.384  -0.638 -0.568  -0.638 -0.752  -0.638 -0.937  -0.638 -1.121  -0.638 -1.194  -0.638 -1.009  -0.638 -0.825  -0.638 -0.641  -0.638 -0.456  -0.695 -0.295  -0.788 -0.149  -0.788 0.035  -0.788 0.219  -0.788 0.404  -0.788 0.588  -0.733 0.750  -0.588 0.845  -0.429 0.785  -0.298 0.655  -0.168 0.524  -0.040 0.393  -0.002 0.247  0.161 0.195  0.292 0.065  0.409 -0.071  0.462 -0.202  0.621 -0.264  0.751 -0.395  0.891 -0.502  1.056 -0.550  1.198 -0.651  1.307 -0.576  1.307 -0.391  1.307 -0.207  1.307 -0.022  1.261 0.143  1.157 0.284  1.106 0.447  1.008 0.591  1.008 0.776  1.008 0.960  1.008 1.144
1b#app#app34#app3475/G  -0.170 1.618  -0.310 1.615  -0.314 1.474  -0.415 1.373  -0.543 1.338  -0.590 1.243  -0.659 1.129  -0.730 1.015  -0.730 0.873  -0.764 0.745  -0.865 0.644  -0.869 0.503  -0.869 0.360  -0.869 0.218  -0.805 0.090  -0.741 -0.037  -0.647 -0.143  -0.590 -0.262  -0.544 -0.385  -0.450 -0.489  -0.438 -0.619  -0.310 -0.634  -0.298 -0.772  -0.197 -0.873  -0.065 -0.899  0.077 -0.899  0.110 -1.010  0.223 -1.039  0.365 -1.039  0.508 -1.039  0.529 -0.917  0.653 -0.899  0.759 -0.809  0.860 -0.708  0.949 -0.603  0.962 -0.466  1.063 -0.365  1.088 -0.233  1.088 -0.090  1.088 0.052  0.973 0.080  0.831 0.080  0.688 0.080  0.546 0.080  0.403 0.080  0.260 0.080  0.118 0.080  -0.025 0.080  -0.167 0.080  -0.170 0.220
1b#app#app34#app3475/D  -0.542 0.905  -0.612 1.025  -0.564 0.926  -0.542 0.744  -0.542 0.554  -0.542 0.364  -0.542 0.173  -0.542 -0.017  -0.542 -0.207  -0.472 -0.368  -0.422 -0.538  -0.422 -0.728  -0.323 -0.878  -0.330 -0.742  -0.363 -0.555  -0.396 -0.367  -0.429 -0.180  -0.462 0.007  -0.495 0.195  -0.528 0.382  -0.561 0.570  -0.594 0.757  -0.627 0.944  -0.660 1.132  -0.486 1.145  -0.295 1.145  -0.128 1.091  0.007 0.957  0.176 0.905  0.316 0.784  0.481 0.723  0.636 0.616  0.801 0.524  0.901 0.375  0.985 0.219  1.119 0.085  1.141 -0.096  1.141 -0.287  1.141 -0.477  1.135 -0.665  1.001 -0.799  0.866 -0.934  0.732 -1.068  0.571 -1.140  0.385 -1.157  0.215 -1.242  0.029 -1.260  -0.162 -1.260  -0.232 -1.140  -0.422 -1.140
1b#app#app34#app3475/A  -0.487 0.995  -0.487 0.770  -0.487 0.544  -0.487 0.319  -0.487 0.094  -0.487 -0.131  -0.487 -0.356  -0.487 -0.581  -0.631 -0.747  -0.631 -0.972  -0.631 -1.198  -0.754 -1.299  -0.774 -1.094  -0.673 -0.911  -0.631 -0.703  -0.631 -0.478  -0.612 -0.257  -0.511 -0.056  -0.487 0.164  -0.487 0.389  -0.487 0.614  -0.487 0.839  -0.344 1.005  -0.344 1.230  -0.221 1.404  -0.062 1.564  0.161 1.568  0.239 1.415  0.373 1.245  0.373 1.020  0.514 0.853  0.541 0.633  0.612 0.420  0.659 0.202  0.771 0.023  0.803 -0.189  0.803 -0.414  0.944 -0.581  0.946 -0.805  1.060 -0.983  1.058 -1.132  0.877 -0.997  0.697 -0.862  0.517 -0.726  0.337 -0.591  0.157 -0.456  -0.023 -0.321  0.072 -0.167  0.291 -0.152  0.516 -0.152
1b#app#app34#app3475/F  -0.337 1.166  -0.337 0.938  -0.337 0.710  -0.337 0.483  -0.337 0.255  -0.337 0.027  -0.337 -0.200  -0.337 -0.428  -0.337 -0.656  -0.337 -0.883  -0.337 -1.111  -0.337 -1.339  -0.337 -1.567  -0.242 -1.755  -0.146 -1.785  -0.179 -1.560  -0.211 -1.334  -0.243 -1.109  -0.275 -0.884  -0.307 -0.658  -0.340 -0.433  -0.372 -0.207  -0.404 0.018  -0.436 0.243  -0.468 0.469  -0.501 0.694  -0.533 0.920  -0.356 0.964  -0.129 0.964  0.099 0.964  0.310 1.005  0.471 1.166  0.699 1.166  0.926 1.166  1.154 1.166  1.203 1.092  1.042 0.931  0.881 0.770  0.720 0.609  0.559 0.448  0.398 0.287  0.237 0.126  0.076 -0.035  -0.085 -0.196  -0.246 -0.357  -0.239 -0.449  -0.011 -0.449  0.216 -0.449  0.444 -0.449  0.672 -0.449
1b#app#app34#app3475/T  0.299 1.063  0.299 0.897  0.299 0.730  0.299 0.564  0.293 0.400  0.176 0.282  0.079 0.156  0.079 -0.011  0.079 -0.177  0.079 -0.344  0.106 -0.499  0.224 -0.617  0.299 -0.752  0.299 -0.918  0.299 -1.085  0.299 -1.251  0.299 -1.417  0.299 -1.584  0.299 -1.750  0.253 -1.669  0.193 -1.513  0.133 -1.358  0.074 -1.203  0.014 -1.047  -0.046 -0.892  -0.106 -0.737  -0.165 -0.582  -0.225 -0.426  -0.285 -0.271  -0.345 -0.116  -0.404 0.040  -0.464 0.195  -0.524 0.350  -0.583 0.506  -0.643 0.661  -0.703 0.816  -0.763 0.972  -0.798 0.995  -0.783 0.844  -0.616 0.844  -0.450 0.844  -0.283 0.844  -0.124 0.860  -0.006 0.978  0.125 1.063  0.291 1.063  0.458 1.063  0.624 1.063  0.790 1.063  0.957 1.063
1b#app#app34#app3475/J  0.272 0.748  0.293 0.622  0.399 0.580  0.399 0.432  0.399 0.284  0.399 0.137  0.399 -0.011  0.399 -0.159  0.399 -0.307  0.462 -0.390  0.525 -0.475  0.525 -0.623  0.524 -0.770  0.420 -0.875  0.399 -1.014  0.301 -1.121  0.165 -1.149  0.144 -1.276  -0.004 -1.276  -0.152 -1.276  -0.299 -1.276  -0.422 -1.215  -0.542 -1.149  -0.668 -1.095  -0.735 -0.978  -0.716 -0.832  -0.698 -0.685  -0.680 -0.538  -0.661 -0.392  -0.643 -0.245  -0.625 -0.099  -0.606 0.048  -0.588 0.194  -0.570 0.341  -0.551 0.487  -0.533 0.634  -0.515 0.781  -0.496 0.927  -0.414 1.001  -0.294 1.068  -0.171 1.128  -0.024 1.128  0.124 1.128  0.272 1.128  0.419 1.128  0.567 1.128  0.715 1.128  0.778 1.044  0.883 1.001  1.031 1.001
