1b#cea#Asundi/E  -0.251 0.946  -0.338 0.829  -0.438 0.615  -0.562 0.414  -0.683 0.211  -0.794 0.001  -0.891 -0.214  -0.970 -0.437  -1.031 -0.665  -1.068 -0.898  -1.064 -1.134  -0.941 -1.328  -0.725 -1.415  -0.491 -1.393  -0.260 -1.341  -0.030 -1.288  0.201 -1.239  0.431 -1.181  0.653 -1.103  0.779 -0.921  0.757 -0.690  0.640 -0.484  0.523 -0.279  0.406 -0.073  0.288 0.132  0.171 0.338  0.054 0.543  -0.063 0.749  -0.180 0.954  -0.202 1.121  0.032 1.151  0.268 1.169  0.504 1.186  0.740 1.188  0.953 1.126  0.814 0.976  0.621 0.839  0.428 0.702  0.236 0.565  0.043 0.428  -0.150 0.291  -0.343 0.154  -0.536 0.017  -0.347 -0.076  -0.116 -0.122  0.120 -0.135  0.357 -0.127  0.590 -0.092  0.822 -0.045  1.043 0.036
1b#cea#Asundi/Z  -0.730 1.139  -0.644 1.139  -0.522 1.139  -0.399 1.139  -0.276 1.139  -0.153 1.139  -0.031 1.139  0.092 1.139  0.213 1.124  0.333 1.098  0.452 1.068  0.572 1.040  0.686 0.998  0.776 0.934  0.759 0.813  0.713 0.700  0.649 0.596  0.567 0.505  0.479 0.419  0.389 0.336  0.295 0.257  0.199 0.180  0.101 0.106  0.002 0.034  -0.098 -0.038  -0.195 -0.112  -0.293 -0.187  -0.389 -0.263  -0.485 -0.339  -0.578 -0.419  -0.669 -0.502  -0.754 -0.590  -0.830 -0.686  -0.885 -0.795  -0.864 -0.901  -0.749 -0.942  -0.629 -0.966  -0.507 -0.984  -0.386 -1.001  -0.263 -1.002  -0.140 -1.002  -0.018 -1.002  0.105 -1.002  0.228 -1.000  0.350 -0.991  0.472 -0.980  0.595 -0.968  0.712 -0.940  0.822 -0.886  0.928 -0.823
1b#cea#Asundi/S  1.168 1.273  1.101 1.311  1.001 1.279  0.899 1.254  0.800 1.218  0.701 1.182  0.602 1.144  0.504 1.106  0.406 1.066  0.310 1.022  0.214 0.978  0.124 0.923  0.037 0.865  -0.050 0.805  -0.125 0.730  -0.191 0.650  -0.239 0.556  -0.263 0.455  -0.269 0.350  -0.244 0.248  -0.194 0.157  -0.131 0.072  -0.053 0.001  0.030 -0.064  0.114 -0.128  0.198 -0.191  0.281 -0.257  0.362 -0.324  0.436 -0.399  0.457 -0.502  0.444 -0.605  0.396 -0.698  0.328 -0.778  0.235 -0.828  0.135 -0.856  0.031 -0.877  -0.074 -0.880  -0.180 -0.880  -0.285 -0.880  -0.391 -0.880  -0.496 -0.884  -0.601 -0.891  -0.707 -0.899  -0.812 -0.900  -0.918 -0.900  -1.023 -0.900  -1.129 -0.900  -1.070 -0.835  -0.980 -0.781  -0.889 -0.727
1b#cea#Asundi/O  -0.441 0.695  -0.517 0.592  -0.591 0.474  -0.670 0.360  -0.740 0.240  -0.806 0.117  -0.865 -0.008  -0.915 -0.138  -0.964 -0.269  -1.005 -0.402  -1.046 -0.535  -1.047 -0.673  -1.037 -0.811  -0.982 -0.938  -0.876 -1.027  -0.740 -1.046  -0.602 -1.052  -0.466 -1.023  -0.330 -0.994  -0.200 -0.945  -0.071 -0.892  0.058 -0.839  0.179 -0.771  0.299 -0.700  0.419 -0.630  0.528 -0.545  0.634 -0.454  0.739 -0.363  0.830 -0.260  0.905 -0.143  0.980 -0.026  1.035 0.101  1.085 0.231  1.108 0.366  1.108 0.505  1.082 0.640  1.035 0.771  0.943 0.873  0.826 0.948  0.698 1.003  0.562 0.988  0.426 0.962  0.293 0.922  0.161 0.878  0.032 0.826  -0.093 0.764  -0.214 0.697  -0.313 0.599  -0.283 0.486  -0.149 0.448
1b#cea#Asundi/F  -0.166 0.960  -0.283 0.777  -0.369 0.554  -0.444 0.327  -0.530 0.104  -0.616 -0.119  -0.700 -0.343  -0.798 -0.560  -0.885 -0.782  -0.953 -1.011  -1.014 -1.242  -0.924 -1.388  -0.725 -1.265  -0.645 -1.049  -0.590 -0.816  -0.535 -0.584  -0.481 -0.351  -0.426 -0.119  -0.371 0.114  -0.316 0.346  -0.261 0.579  -0.206 0.811  -0.146 1.035  0.063 1.148  0.298 1.181  0.537 1.181  0.773 1.157  1.004 1.098  1.217 1.000  1.244 0.777  1.076 0.611  0.864 0.500  0.653 0.389  0.442 0.277  0.230 0.166  0.019 0.055  -0.192 -0.057  -0.404 -0.168  -0.615 -0.279  -0.710 -0.417  -0.478 -0.475  -0.240 -0.496  -0.002 -0.512  0.237 -0.512  0.476 -0.512  0.715 -0.512  0.952 -0.497  1.184 -0.440  1.412 -0.370  1.628 -0.270
1b#cea#Asundi/T  0.130 0.871  0.194 0.733  0.213 0.581  0.227 0.428  0.222 0.276  0.199 0.125  0.160 -0.023  0.115 -0.170  0.067 -0.315  0.018 -0.461  -0.038 -0.603  -0.097 -0.744  -0.152 -0.887  -0.206 -1.031  -0.256 -1.175  -0.313 -1.318  -0.352 -1.465  -0.369 -1.617  -0.251 -1.568  -0.186 -1.435  -0.217 -1.285  -0.247 -1.135  -0.278 -0.984  -0.308 -0.834  -0.339 -0.684  -0.369 -0.534  -0.400 -0.384  -0.431 -0.234  -0.461 -0.084  -0.492 0.067  -0.522 0.217  -0.553 0.367  -0.583 0.517  -0.614 0.667  -0.645 0.817  -0.583 0.890  -0.431 0.869  -0.278 0.857  -0.126 0.841  0.027 0.830  0.180 0.830  0.333 0.830  0.486 0.830  0.640 0.830  0.792 0.846  0.944 0.866  1.093 0.899  1.241 0.938  1.378 1.007  1.439 1.141
1b#cea#Asundi/W  -0.477 1.008  -0.402 1.090  -0.454 0.936  -0.516 0.785  -0.575 0.633  -0.632 0.481  -0.687 0.327  -0.740 0.173  -0.792 0.018  -0.843 -0.136  -0.895 -0.291  -0.946 -0.446  -0.998 -0.600  -1.049 -0.755  -1.095 -0.911  -1.031 -0.889  -0.926 -0.765  -0.830 -0.633  -0.726 -0.508  -0.621 -0.383  -0.516 -0.259  -0.413 -0.132  -0.316 -0.002  -0.232 0.138  -0.152 0.258  -0.152 0.095  -0.140 -0.067  -0.111 -0.227  -0.084 -0.388  -0.047 -0.545  0.037 -0.684  0.163 -0.779  0.322 -0.811  0.473 -0.763  0.610 -0.676  0.735 -0.573  0.841 -0.448  0.935 -0.315  1.021 -0.177  1.085 -0.028  1.144 0.124  1.182 0.283  1.212 0.443  1.223 0.605  1.223 0.768  1.187 0.927  1.120 1.075  1.022 1.157  0.947 1.013  0.914 0.854
1b#cea#Asundi/T  0.748 1.007  0.700 0.858  0.654 0.705  0.600 0.554  0.539 0.407  0.473 0.261  0.405 0.116  0.331 -0.025  0.256 -0.166  0.181 -0.307  0.106 -0.449  0.027 -0.588  -0.052 -0.727  -0.116 -0.873  -0.178 -1.020  -0.233 -1.171  -0.272 -1.325  -0.301 -1.483  -0.256 -1.451  -0.192 -1.305  -0.260 -1.164  -0.335 -1.023  -0.410 -0.882  -0.485 -0.740  -0.560 -0.599  -0.636 -0.458  -0.711 -0.317  -0.786 -0.176  -0.861 -0.035  -0.936 0.107  -1.011 0.248  -1.086 0.389  -1.089 0.501  -0.929 0.501  -0.769 0.501  -0.610 0.520  -0.452 0.540  -0.292 0.549  -0.132 0.558  0.026 0.583  0.184 0.608  0.342 0.630  0.500 0.652  0.658 0.675  0.814 0.712  0.969 0.749  1.126 0.783  1.282 0.817  1.437 0.856  1.592 0.895
1b#cea#Asundi/D  0.354 1.565  0.306 1.338  0.248 1.112  0.188 0.886  0.129 0.660  0.071 0.434  0.014 0.208  -0.057 -0.015  -0.118 -0.240  -0.174 -0.467  -0.238 -0.691  -0.283 -0.918  -0.169 -1.040  -0.069 -0.834  -0.012 -0.607  -0.035 -0.378  -0.080 -0.149  -0.125 0.080  -0.170 0.309  -0.214 0.538  -0.259 0.768  -0.304 0.997  -0.349 1.226  -0.393 1.455  -0.455 1.678  -0.434 1.624  -0.309 1.427  -0.183 1.231  -0.058 1.033  0.071 0.839  0.198 0.643  0.323 0.445  0.439 0.243  0.550 0.038  0.635 -0.180  0.690 -0.405  0.692 -0.636  0.621 -0.856  0.475 -1.034  0.284 -1.166  0.059 -1.217  -0.169 -1.199  -0.385 -1.111  -0.609 -1.047  -0.691 -1.054  -0.463 -1.104  -0.232 -1.138  0.000 -1.132  0.231 -1.103  0.460 -1.054
1b#cea#Asundi/C  0.856 0.786  0.860 0.883  0.877 0.978  0.843 1.064  0.788 1.142  0.705 1.190  0.609 1.206  0.512 1.194  0.420 1.166  0.335 1.118  0.250 1.070  0.168 1.018  0.085 0.965  0.009 0.905  -0.057 0.833  -0.123 0.761  -0.189 0.689  -0.246 0.610  -0.303 0.531  -0.360 0.451  -0.415 0.371  -0.463 0.285  -0.511 0.200  -0.559 0.115  -0.602 0.028  -0.633 -0.064  -0.664 -0.157  -0.695 -0.250  -0.695 -0.346  -0.688 -0.444  -0.682 -0.541  -0.657 -0.634  -0.619 -0.725  -0.581 -0.815  -0.516 -0.885  -0.443 -0.950  -0.371 -1.016  -0.277 -1.039  -0.181 -1.058  -0.086 -1.078  0.011 -1.075  0.107 -1.059  0.203 -1.043  0.300 -1.027  0.391 -0.994  0.480 -0.953  0.568 -0.913  0.657 -0.872  0.746 -0.831  0.835 -0.791
1b#cea#Asundi/A  0.291 1.245  0.362 1.460  0.252 1.222  0.136 0.985  0.023 0.746  -0.094 0.510  -0.207 0.271  -0.327 0.037  -0.454 -0.195  -0.570 -0.432  -0.687 -0.669  -0.816 -0.898  -0.943 -1.130  -0.921 -1.023  -0.821 -0.778  -0.706 -0.541  -0.584 -0.307  -0.463 -0.073  -0.341 0.161  -0.208 0.389  -0.075 0.617  0.061 0.843  0.188 1.074  0.306 1.310  0.431 1.543  0.600 1.721  0.594 1.462  0.557 1.201  0.529 0.939  0.488 0.678  0.448 0.418  0.427 0.154  0.411 -0.109  0.400 -0.372  0.399 -0.636  0.406 -0.900  0.431 -1.162  0.482 -1.421  0.577 -1.487  0.596 -1.225  0.421 -1.064  0.191 -0.936  -0.040 -0.808  -0.271 -0.679  -0.501 -0.551  -0.714 -0.407  -0.458 -0.346  -0.197 -0.312  0.065 -0.279  0.327 -0.245
