1b#kai#kai2#yklyu5/A  0.171 1.910  0.138 1.664  0.121 1.415  0.037 1.188  0.007 0.945  -0.077 0.719  -0.127 0.473  -0.249 0.255  -0.326 0.015  -0.360 -0.226  -0.458 -0.454  -0.574 -0.674  -0.608 -0.920  -0.687 -1.159  -0.767 -1.398  -0.847 -1.490  -0.749 -1.293  -0.661 -1.061  -0.589 -0.819  -0.517 -0.578  -0.445 -0.336  -0.373 -0.095  -0.301 0.146  -0.229 0.388  -0.157 0.629  -0.085 0.871  -0.013 1.112  0.059 1.353  0.129 1.531  0.196 1.288  0.276 1.049  0.320 0.804  0.320 0.552  0.396 0.318  0.467 0.078  0.547 -0.161  0.627 -0.400  0.706 -0.639  0.766 -0.881  0.818 -1.125  0.865 -1.163  0.819 -0.934  0.617 -0.784  0.414 -0.635  0.212 -0.485  0.009 -0.335  -0.194 -0.185  -0.127 -0.125  0.117 -0.174  0.369 -0.174
1b#kai#kai2#yklyu5/B  -0.144 1.650  -0.160 1.401  -0.190 1.153  -0.259 0.911  -0.282 0.663  -0.323 0.418  -0.359 0.172  -0.375 -0.077  -0.375 -0.329  -0.421 -0.573  -0.421 -0.825  -0.421 -1.076  -0.448 -1.325  -0.510 -1.514  -0.472 -1.265  -0.434 -1.016  -0.396 -0.768  -0.359 -0.519  -0.321 -0.270  -0.283 -0.021  -0.246 0.227  -0.208 0.476  -0.170 0.725  -0.133 0.974  -0.095 1.223  -0.057 1.471  0.152 1.558  0.382 1.485  0.494 1.262  0.657 1.074  0.770 0.852  0.696 0.621  0.629 0.393  0.423 0.249  0.251 0.070  0.031 -0.033  -0.215 -0.069  -0.203 -0.065  0.042 -0.014  0.293 -0.021  0.501 -0.150  0.642 -0.353  0.733 -0.567  0.767 -0.797  0.651 -1.018  0.485 -1.192  0.265 -1.309  0.020 -1.347  -0.229 -1.342  -0.375 -1.170
1b#kai#kai2#yklyu5/B  -0.327 1.588  -0.327 1.336  -0.327 1.084  -0.327 0.832  -0.327 0.580  -0.327 0.328  -0.327 0.077  -0.327 -0.175  -0.376 -0.419  -0.376 -0.671  -0.376 -0.923  -0.426 -1.167  -0.426 -1.418  -0.387 -1.506  -0.361 -1.257  -0.344 -1.006  -0.327 -0.755  -0.310 -0.504  -0.293 -0.252  -0.276 -0.001  -0.259 0.250  -0.242 0.501  -0.225 0.753  -0.208 1.004  -0.191 1.255  -0.111 1.439  0.141 1.439  0.389 1.425  0.610 1.309  0.763 1.126  0.785 0.878  0.808 0.631  0.658 0.462  0.469 0.302  0.268 0.151  0.023 0.090  -0.219 0.021  -0.095 0.052  0.157 0.052  0.409 0.052  0.576 -0.108  0.732 -0.300  0.763 -0.547  0.722 -0.782  0.544 -0.960  0.349 -1.117  0.165 -1.288  -0.079 -1.336  -0.331 -1.336  -0.476 -1.187
1b#kai#kai2#yklyu5/C  0.703 1.323  0.624 1.349  0.545 1.347  0.466 1.323  0.383 1.323  0.310 1.290  0.240 1.247  0.157 1.247  0.114 1.192  0.080 1.119  0.021 1.060  -0.034 0.998  -0.080 0.929  -0.126 0.860  -0.172 0.791  -0.199 0.712  -0.235 0.639  -0.281 0.570  -0.287 0.488  -0.300 0.408  -0.326 0.329  -0.346 0.248  -0.367 0.168  -0.394 0.089  -0.401 0.008  -0.401 -0.075  -0.401 -0.158  -0.401 -0.241  -0.401 -0.324  -0.395 -0.406  -0.369 -0.485  -0.343 -0.564  -0.317 -0.643  -0.290 -0.721  -0.264 -0.800  -0.220 -0.865  -0.151 -0.911  -0.115 -0.982  -0.072 -1.045  0.006 -1.071  0.068 -1.125  0.127 -1.184  0.203 -1.213  0.284 -1.227  0.367 -1.227  0.450 -1.227  0.527 -1.201  0.601 -1.164  0.672 -1.121  0.741 -1.075
1b#kai#kai2#yklyu5/C  0.613 1.387  0.534 1.414  0.452 1.426  0.371 1.418  0.301 1.372  0.229 1.330  0.154 1.293  0.092 1.241  0.046 1.172  -0.011 1.110  -0.070 1.051  -0.119 0.983  -0.162 0.912  -0.188 0.833  -0.229 0.760  -0.275 0.691  -0.321 0.621  -0.350 0.546  -0.350 0.462  -0.377 0.383  -0.389 0.301  -0.389 0.218  -0.389 0.134  -0.389 0.050  -0.389 -0.033  -0.388 -0.117  -0.351 -0.192  -0.313 -0.266  -0.312 -0.350  -0.297 -0.431  -0.271 -0.510  -0.250 -0.592  -0.229 -0.672  -0.202 -0.752  -0.161 -0.824  -0.116 -0.894  -0.090 -0.974  -0.051 -1.047  -0.004 -1.116  0.065 -1.163  0.137 -1.203  0.217 -1.230  0.300 -1.234  0.381 -1.221  0.460 -1.194  0.507 -1.124  0.565 -1.070  0.644 -1.044  0.670 -0.968  0.691 -0.887
1b#kai#kai2#yklyu5/D  -0.206 1.587  -0.161 1.391  -0.161 1.188  -0.180 0.987  -0.206 0.788  -0.206 0.585  -0.245 0.388  -0.266 0.188  -0.331 -0.005  -0.342 -0.207  -0.342 -0.410  -0.342 -0.614  -0.374 -0.812  -0.395 -1.012  -0.432 -1.209  -0.432 -1.412  -0.384 -1.550  -0.363 -1.348  -0.341 -1.145  -0.320 -0.943  -0.298 -0.741  -0.277 -0.539  -0.256 -0.336  -0.234 -0.134  -0.213 0.068  -0.191 0.270  -0.170 0.473  -0.148 0.675  -0.127 0.877  -0.105 1.079  -0.084 1.282  0.003 1.382  0.196 1.318  0.378 1.227  0.560 1.136  0.703 0.991  0.803 0.816  0.832 0.618  0.832 0.414  0.805 0.214  0.746 0.020  0.671 -0.168  0.579 -0.347  0.479 -0.523  0.424 -0.718  0.302 -0.880  0.189 -1.049  0.051 -1.187  -0.127 -1.280  -0.296 -1.393
1b#kai#kai2#yklyu5/D  -0.304 1.670  -0.304 1.467  -0.304 1.263  -0.304 1.060  -0.304 0.857  -0.304 0.653  -0.304 0.450  -0.304 0.246  -0.304 0.043  -0.304 -0.161  -0.304 -0.364  -0.304 -0.568  -0.304 -0.771  -0.304 -0.975  -0.304 -1.178  -0.304 -1.382  -0.297 -1.301  -0.286 -1.098  -0.276 -0.895  -0.266 -0.692  -0.255 -0.488  -0.245 -0.285  -0.235 -0.082  -0.224 0.121  -0.214 0.324  -0.204 0.528  -0.193 0.731  -0.183 0.934  -0.173 1.137  -0.162 1.340  -0.002 1.374  0.156 1.249  0.280 1.089  0.443 0.966  0.543 0.792  0.711 0.698  0.809 0.522  0.846 0.323  0.846 0.120  0.829 -0.079  0.750 -0.258  0.696 -0.449  0.593 -0.624  0.514 -0.810  0.404 -0.980  0.283 -1.143  0.130 -1.274  -0.054 -1.360  -0.252 -1.395  -0.448 -1.347
1b#kai#kai2#yklyu5/F  -0.445 1.201  -0.319 1.118  -0.167 1.118  -0.016 1.118  0.134 1.102  0.282 1.080  0.429 1.117  0.580 1.118  0.713 1.117  0.562 1.102  0.412 1.086  0.261 1.071  0.110 1.056  -0.040 1.041  -0.191 1.026  -0.342 1.011  -0.492 0.996  -0.492 0.883  -0.484 0.733  -0.448 0.586  -0.445 0.435  -0.445 0.284  -0.445 0.132  -0.412 -0.015  -0.403 -0.165  -0.403 -0.317  -0.403 -0.468  -0.357 -0.612  -0.320 -0.759  -0.320 -0.910  -0.316 -1.061  -0.278 -1.207  -0.246 -1.348  -0.139 -1.407  -0.070 -1.306  -0.070 -1.155  -0.070 -1.003  -0.070 -0.852  0.072 -0.842  0.221 -0.828  0.368 -0.800  0.446 -0.713  0.473 -0.564  0.501 -0.415  0.514 -0.419  0.514 -0.570  0.514 -0.721  0.514 -0.873  0.514 -1.024  0.514 -1.176
1b#kai#kai2#yklyu5/F  -0.618 1.058  -0.447 1.065  -0.282 1.108  -0.110 1.108  0.059 1.122  0.213 1.199  0.384 1.208  0.556 1.208  0.728 1.208  0.662 1.181  0.494 1.142  0.326 1.103  0.158 1.064  -0.010 1.026  -0.178 0.987  -0.345 0.948  -0.513 0.910  -0.468 0.749  -0.468 0.577  -0.455 0.407  -0.419 0.239  -0.419 0.067  -0.419 -0.106  -0.419 -0.278  -0.415 -0.450  -0.363 -0.613  -0.321 -0.781  -0.319 -0.953  -0.291 -1.120  -0.269 -1.289  -0.230 -1.455  -0.219 -1.625  -0.115 -1.539  -0.100 -1.367  -0.085 -1.196  -0.070 -1.024  -0.055 -0.853  -0.040 -0.681  -0.025 -0.509  0.083 -0.439  0.255 -0.439  0.420 -0.393  0.444 -0.329  0.465 -0.158  0.497 -0.091  0.530 -0.258  0.530 -0.430  0.530 -0.602  0.573 -0.767  0.580 -0.939
1b#kai#kai2#yklyu5/H  -0.821 1.176  -0.821 1.003  -0.821 0.831  -0.821 0.659  -0.821 0.486  -0.821 0.314  -0.821 0.142  -0.821 -0.031  -0.821 -0.203  -0.785 -0.370  -0.785 -0.542  -0.785 -0.714  -0.785 -0.887  -0.774 -1.058  -0.727 -1.223  -0.675 -1.140  -0.651 -0.970  -0.626 -0.799  -0.602 -0.629  -0.577 -0.458  -0.553 -0.287  -0.529 -0.117  -0.504 0.054  -0.371 0.099  -0.202 0.114  -0.033 0.135  0.136 0.168  0.302 0.207  0.472 0.210  0.523 0.375  0.574 0.539  0.625 0.704  0.676 0.869  0.727 1.033  0.778 1.198  0.794 1.127  0.794 0.955  0.794 0.782  0.794 0.610  0.794 0.438  0.794 0.265  0.813 0.095  0.830 -0.075  0.830 -0.247  0.865 -0.414  0.865 -0.586  0.865 -0.759  0.865 -0.931  0.901 -1.097  0.937 -1.049
1b#kai#kai2#yklyu5/I  -0.470 1.223  -0.369 1.223  -0.274 1.196  -0.175 1.185  -0.075 1.185  0.025 1.185  0.125 1.185  0.225 1.185  0.325 1.185  0.421 1.213  0.423 1.173  0.330 1.134  0.238 1.096  0.146 1.057  0.053 1.019  -0.009 0.960  -0.009 0.860  -0.009 0.760  -0.009 0.660  -0.009 0.560  -0.009 0.459  -0.009 0.359  -0.009 0.259  -0.009 0.159  -0.009 0.059  -0.028 -0.039  -0.048 -0.137  -0.048 -0.237  -0.048 -0.337  -0.048 -0.437  -0.071 -0.534  -0.086 -0.631  -0.086 -0.731  -0.086 -0.832  -0.086 -0.932  -0.086 -1.032  -0.021 -1.105  -0.092 -1.133  -0.190 -1.153  -0.288 -1.172  -0.386 -1.192  -0.300 -1.193  -0.203 -1.218  -0.105 -1.232  -0.005 -1.232  0.095 -1.232  0.192 -1.216  0.289 -1.193  0.389 -1.193  0.489 -1.193
