1b#tos#f1#f1036063/A  0.330 1.293  0.199 1.331  0.065 1.107  -0.036 0.867  -0.166 0.641  -0.321 0.431  -0.457 0.211  -0.564 -0.027  -0.661 -0.270  -0.775 -0.505  -0.886 -0.741  -1.006 -0.973  -1.057 -1.225  -1.110 -1.328  -0.992 -1.097  -0.884 -0.859  -0.776 -0.621  -0.668 -0.384  -0.560 -0.146  -0.452 0.092  -0.344 0.330  -0.236 0.567  -0.128 0.805  -0.020 1.043  0.088 1.281  0.135 1.500  0.327 1.399  0.418 1.167  0.547 0.942  0.646 0.705  0.705 0.451  0.774 0.199  0.835 -0.055  0.894 -0.306  0.973 -0.553  1.032 -0.807  1.039 -1.067  0.950 -1.160  0.760 -0.980  0.570 -0.801  0.380 -0.621  0.191 -0.442  0.001 -0.262  -0.229 -0.183  -0.490 -0.183  -0.330 -0.153  -0.069 -0.153  0.192 -0.153  0.453 -0.153  0.714 -0.153
1b#tos#f1#f1036063/E  -0.882 0.919  -0.893 0.967  -0.666 1.049  -0.426 1.094  -0.188 1.135  0.057 1.135  0.298 1.174  0.538 1.217  0.771 1.258  0.891 1.304  0.647 1.304  0.402 1.304  0.193 1.199  0.077 1.002  0.018 0.765  -0.068 0.539  -0.112 0.306  -0.141 0.065  -0.214 -0.168  -0.297 -0.397  -0.389 -0.623  -0.489 -0.846  -0.566 -1.077  -0.639 -1.310  -0.690 -1.548  -0.674 -1.406  -0.622 -1.167  -0.569 -0.929  -0.517 -0.690  -0.464 -0.451  -0.411 -0.213  -0.246 -0.051  -0.028 0.057  0.206 0.112  0.443 0.148  0.684 0.172  0.905 0.148  0.778 0.038  0.574 -0.095  0.369 -0.229  0.164 -0.362  -0.040 -0.496  -0.184 -0.671  -0.324 -0.858  -0.140 -0.911  0.105 -0.911  0.340 -0.855  0.571 -0.778  0.803 -0.702  1.044 -0.670
1b#tos#f1#f1036063/F  -0.328 0.933  -0.480 0.895  -0.496 0.906  -0.349 0.948  -0.201 1.004  -0.047 1.047  0.109 1.078  0.265 1.106  0.419 1.147  0.576 1.167  0.735 1.167  0.895 1.167  0.760 1.206  0.601 1.206  0.479 1.110  0.389 0.979  0.330 0.831  0.273 0.683  0.235 0.528  0.182 0.380  0.108 0.239  0.046 0.092  0.002 -0.061  -0.031 -0.216  -0.090 -0.364  -0.153 -0.511  -0.196 -0.664  -0.245 -0.815  -0.311 -0.960  -0.362 -1.111  -0.413 -1.262  -0.484 -1.403  -0.543 -1.544  -0.601 -1.638  -0.582 -1.482  -0.545 -1.327  -0.505 -1.173  -0.464 -1.019  -0.424 -0.865  -0.384 -0.711  -0.343 -0.557  -0.303 -0.402  -0.241 -0.276  -0.084 -0.252  0.074 -0.237  0.233 -0.231  0.386 -0.198  0.544 -0.184  0.702 -0.179  0.862 -0.179
1b#tos#f1#f1036063/G  0.318 0.866  0.365 1.056  0.362 1.256  0.340 1.454  0.193 1.545  -0.008 1.545  -0.173 1.431  -0.324 1.299  -0.452 1.145  -0.567 0.981  -0.668 0.807  -0.756 0.627  -0.838 0.444  -0.909 0.256  -0.972 0.066  -0.990 -0.134  -0.993 -0.334  -0.993 -0.535  -0.993 -0.736  -0.993 -0.937  -0.864 -1.090  -0.668 -1.101  -0.467 -1.101  -0.266 -1.100  -0.086 -1.010  0.078 -0.898  0.244 -0.804  0.365 -0.650  0.508 -0.510  0.617 -0.350  0.712 -0.178  0.661 0.002  0.468 0.056  0.274 0.110  0.081 0.163  -0.087 0.163  0.114 0.163  0.315 0.163  0.516 0.163  0.717 0.163  0.917 0.163  0.829 0.163  0.690 0.064  0.669 -0.132  0.587 -0.311  0.535 -0.504  0.462 -0.690  0.435 -0.885  0.353 -1.066  0.341 -1.265
1b#tos#f1#f1036063/H  -0.086 1.055  -0.086 1.246  -0.254 1.270  -0.361 1.124  -0.435 0.948  -0.499 0.768  -0.541 0.581  -0.624 0.409  -0.689 0.230  -0.740 0.045  -0.777 -0.143  -0.838 -0.324  -0.901 -0.504  -0.946 -0.688  -0.953 -0.879  -0.973 -1.068  -0.961 -1.041  -0.939 -0.850  -0.918 -0.660  -0.896 -0.470  -0.874 -0.280  -0.853 -0.089  -0.771 0.033  -0.580 0.033  -0.388 0.033  -0.197 0.033  -0.005 0.033  0.184 0.061  0.368 0.113  0.559 0.114  0.742 0.166  0.932 0.180  1.119 0.221  1.108 0.375  1.057 0.560  1.016 0.746  1.033 0.921  0.976 0.773  0.920 0.593  0.856 0.414  0.819 0.226  0.783 0.039  0.718 -0.141  0.676 -0.327  0.635 -0.514  0.593 -0.701  0.550 -0.888  0.505 -1.073  0.483 -1.260  0.452 -1.445
1b#tos#f1#f1036063/I  -0.014 1.289  -0.109 1.289  -0.203 1.289  -0.201 1.313  -0.109 1.294  -0.018 1.265  0.076 1.264  0.164 1.236  0.254 1.214  0.333 1.165  0.425 1.150  0.394 1.140  0.307 1.113  0.283 1.022  0.283 0.928  0.260 0.838  0.222 0.751  0.209 0.659  0.209 0.564  0.199 0.470  0.187 0.376  0.176 0.282  0.164 0.189  0.142 0.097  0.112 0.007  0.083 -0.083  0.064 -0.176  0.046 -0.268  0.024 -0.360  -0.002 -0.451  -0.028 -0.542  -0.054 -0.633  -0.078 -0.725  -0.101 -0.817  -0.113 -0.910  -0.131 -1.000  -0.168 -1.087  -0.203 -1.163  -0.298 -1.163  -0.393 -1.163  -0.487 -1.163  -0.556 -1.120  -0.485 -1.126  -0.404 -1.154  -0.310 -1.163  -0.219 -1.186  -0.125 -1.188  -0.030 -1.188  0.064 -1.188  0.159 -1.188
1b#tos#f1#f1036063/J  -0.308 0.934  -0.401 0.884  -0.508 0.868  -0.612 0.840  -0.510 0.839  -0.402 0.840  -0.299 0.874  -0.194 0.898  -0.089 0.922  0.012 0.958  0.120 0.959  0.218 1.005  0.325 1.011  0.431 1.028  0.539 1.028  0.579 0.973  0.510 0.907  0.407 0.873  0.306 0.845  0.215 0.792  0.107 0.792  0.070 0.703  0.084 0.598  0.094 0.492  0.101 0.384  0.127 0.279  0.141 0.173  0.141 0.064  0.141 -0.044  0.141 -0.152  0.141 -0.260  0.141 -0.369  0.141 -0.477  0.141 -0.585  0.141 -0.694  0.141 -0.802  0.141 -0.910  0.136 -1.018  0.120 -1.125  0.117 -1.233  0.069 -1.325  -0.002 -1.407  -0.072 -1.489  -0.151 -1.548  -0.260 -1.548  -0.361 -1.526  -0.438 -1.453  -0.491 -1.359  -0.551 -1.270  -0.592 -1.170
1b#tos#f1#f1036063/K  -0.194 0.798  -0.286 1.013  -0.343 1.244  -0.355 1.482  -0.355 1.414  -0.338 1.175  -0.323 0.936  -0.323 0.696  -0.323 0.456  -0.323 0.216  -0.323 -0.024  -0.323 -0.264  -0.323 -0.504  -0.323 -0.744  -0.323 -0.984  -0.291 -1.222  -0.276 -1.459  -0.209 -1.463  -0.113 -1.243  -0.016 -1.023  0.081 -0.804  0.177 -0.584  0.274 -0.364  0.370 -0.145  0.467 0.075  0.564 0.295  0.660 0.514  0.757 0.734  0.899 0.921  0.992 1.114  0.757 1.119  0.541 1.046  0.325 0.944  0.118 0.823  -0.067 0.670  -0.274 0.550  -0.489 0.443  -0.697 0.324  -0.836 0.181  -0.787 -0.045  -0.689 -0.246  -0.549 -0.435  -0.337 -0.546  -0.134 -0.674  0.077 -0.785  0.272 -0.922  0.478 -1.044  0.690 -1.152  0.920 -1.219  1.120 -1.286
1b#tos#f1#f1036063/M  -0.454 0.662  -0.562 0.778  -0.675 0.792  -0.740 0.623  -0.740 0.435  -0.740 0.248  -0.751 0.061  -0.762 -0.126  -0.762 -0.314  -0.762 -0.502  -0.762 -0.689  -0.762 -0.877  -0.762 -1.065  -0.740 -1.103  -0.749 -0.915  -0.758 -0.728  -0.768 -0.540  -0.777 -0.353  -0.786 -0.166  -0.795 0.022  -0.805 0.209  -0.828 0.375  -0.717 0.242  -0.575 0.119  -0.419 0.023  -0.231 0.023  -0.043 0.023  0.138 0.047  0.302 0.118  0.432 0.245  0.526 0.398  0.582 0.575  0.676 0.735  0.772 0.887  0.868 1.042  0.943 1.190  0.978 1.038  0.978 0.850  0.978 0.662  0.972 0.475  0.956 0.288  0.950 0.101  0.916 -0.084  0.898 -0.270  0.890 -0.458  0.890 -0.645  0.890 -0.833  0.890 -1.021  0.890 -1.208  0.912 -1.387
1b#tos#f1#f1036063/N  -0.286 0.651  -0.392 0.791  -0.559 0.830  -0.624 0.936  -0.624 0.746  -0.624 0.555  -0.624 0.364  -0.624 0.174  -0.624 -0.017  -0.624 -0.208  -0.624 -0.398  -0.624 -0.589  -0.624 -0.780  -0.624 -0.970  -0.596 -1.156  -0.678 -1.168  -0.708 -0.987  -0.708 -0.796  -0.708 -0.605  -0.708 -0.415  -0.708 -0.224  -0.708 -0.033  -0.708 0.157  -0.701 0.341  -0.520 0.309  -0.349 0.235  -0.212 0.103  -0.080 -0.030  0.052 -0.160  0.164 -0.305  0.282 -0.452  0.407 -0.596  0.538 -0.734  0.676 -0.862  0.830 -0.955  0.869 -0.915  0.869 -0.725  0.869 -0.534  0.869 -0.343  0.869 -0.153  0.869 0.038  0.869 0.229  0.869 0.419  0.869 0.610  0.869 0.801  0.890 0.990  0.897 1.180  0.897 1.371  0.920 1.559  0.953 1.721
1b#tos#f1#f1036063/O  0.374 0.537  0.319 0.675  0.226 0.794  0.160 0.931  0.022 0.951  -0.131 0.951  -0.255 0.904  -0.362 0.808  -0.488 0.735  -0.542 0.592  -0.612 0.458  -0.693 0.328  -0.737 0.183  -0.777 0.035  -0.796 -0.116  -0.810 -0.268  -0.810 -0.420  -0.810 -0.573  -0.810 -0.726  -0.810 -0.878  -0.797 -1.027  -0.718 -1.158  -0.609 -1.257  -0.462 -1.281  -0.310 -1.281  -0.157 -1.281  -0.010 -1.262  0.117 -1.177  0.244 -1.092  0.359 -0.993  0.466 -0.884  0.564 -0.767  0.646 -0.639  0.717 -0.505  0.771 -0.362  0.813 -0.215  0.843 -0.066  0.843 0.086  0.843 0.239  0.843 0.392  0.843 0.544  0.804 0.689  0.703 0.798  0.590 0.900  0.448 0.943  0.296 0.951  0.143 0.951  -0.009 0.951  -0.162 0.951  -0.314 0.951
