1b#tos#f2#f2016063/C  0.929 1.155  0.830 1.155  0.730 1.155  0.631 1.155  0.551 1.203  0.467 1.254  0.378 1.275  0.290 1.231  0.193 1.221  0.118 1.181  0.073 1.092  0.005 1.021  -0.019 0.924  -0.043 0.828  -0.086 0.746  -0.175 0.702  -0.237 0.627  -0.292 0.544  -0.347 0.461  -0.402 0.379  -0.456 0.296  -0.469 0.199  -0.506 0.106  -0.543 0.014  -0.580 -0.078  -0.588 -0.176  -0.588 -0.275  -0.588 -0.375  -0.588 -0.474  -0.588 -0.574  -0.588 -0.673  -0.588 -0.772  -0.588 -0.872  -0.574 -0.956  -0.474 -0.956  -0.375 -0.956  -0.276 -0.956  -0.176 -0.956  -0.077 -0.956  0.023 -0.956  0.122 -0.956  0.221 -0.956  0.321 -0.956  0.419 -0.951  0.514 -0.919  0.608 -0.888  0.702 -0.856  0.796 -0.825  0.896 -0.825  0.995 -0.825
1b#tos#f2#f2016063/G  -0.256 1.266  -0.402 1.362  -0.614 1.315  -0.753 1.123  -0.859 0.912  -0.973 0.731  -1.074 0.518  -1.207 0.317  -1.212 0.077  -1.241 -0.160  -1.259 -0.398  -1.259 -0.639  -1.135 -0.792  -0.916 -0.889  -0.685 -0.932  -0.444 -0.932  -0.202 -0.932  0.036 -0.914  0.257 -0.819  0.473 -0.711  0.689 -0.603  0.857 -0.447  0.854 -0.302  0.653 -0.168  0.453 -0.034  0.252 0.099  0.051 0.233  -0.167 0.311  -0.362 0.224  -0.543 0.137  -0.319 0.119  -0.116 0.212  0.103 0.271  0.304 0.392  0.520 0.454  0.699 0.573  0.930 0.642  1.123 0.693  0.991 0.693  0.750 0.693  0.573 0.551  0.413 0.424  0.503 0.220  0.552 -0.011  0.604 -0.232  0.604 -0.474  0.604 -0.715  0.700 -0.927  0.700 -1.168  0.748 -1.362
1b#tos#f2#f2016063/H  -0.928 1.119  -1.031 0.978  -1.022 0.848  -0.977 0.678  -0.902 0.517  -0.835 0.360  -0.805 0.186  -0.763 0.013  -0.721 -0.160  -0.694 -0.334  -0.656 -0.503  -0.600 -0.668  -0.600 -0.847  -0.600 -1.025  -0.600 -1.149  -0.600 -0.971  -0.600 -0.792  -0.600 -0.614  -0.600 -0.436  -0.600 -0.257  -0.714 -0.193  -0.730 -0.146  -0.645 -0.052  -0.518 0.012  -0.346 0.041  -0.189 0.104  -0.037 0.182  0.128 0.242  0.282 0.315  0.427 0.415  0.594 0.475  0.754 0.555  0.808 0.723  0.859 0.894  0.869 1.054  0.711 1.058  0.758 0.927  0.758 0.749  0.758 0.570  0.841 0.426  0.851 0.252  0.851 0.074  0.898 -0.097  0.898 -0.275  0.913 -0.449  0.992 -0.603  0.992 -0.782  0.992 -0.960  0.992 -1.138  0.992 -1.317
1b#tos#f2#f2016063/I  0.030 1.377  -0.041 1.377  -0.097 1.394  -0.097 1.465  -0.082 1.475  -0.050 1.411  -0.033 1.343  -0.033 1.272  -0.033 1.200  -0.033 1.129  -0.033 1.057  -0.033 0.985  -0.033 0.914  -0.033 0.842  -0.033 0.771  -0.033 0.699  -0.033 0.627  -0.033 0.556  -0.033 0.484  -0.022 0.413  -0.012 0.342  -0.002 0.272  0.008 0.201  0.018 0.130  0.028 0.059  0.030 -0.013  0.030 -0.084  0.030 -0.156  0.030 -0.227  0.030 -0.299  0.030 -0.371  0.030 -0.442  0.030 -0.514  0.030 -0.585  0.030 -0.657  0.030 -0.729  0.030 -0.800  0.030 -0.872  0.030 -0.943  0.030 -1.015  0.030 -1.087  0.030 -1.158  0.030 -1.230  0.030 -1.301  0.030 -1.373  0.030 -1.445  0.030 -1.516  0.030 -1.588  0.030 -1.660  0.030 -1.731
1b#tos#f2#f2016063/J  -0.364 0.821  -0.432 0.742  -0.482 0.654  -0.456 0.654  -0.415 0.737  -0.293 0.752  -0.175 0.779  -0.069 0.824  0.030 0.899  0.137 0.963  0.251 1.012  0.355 1.076  0.471 1.113  0.596 1.113  0.650 1.084  0.562 0.995  0.474 0.907  0.385 0.821  0.260 0.821  0.180 0.862  0.220 0.778  0.260 0.659  0.278 0.539  0.304 0.420  0.304 0.295  0.304 0.170  0.324 0.049  0.345 -0.072  0.369 -0.194  0.387 -0.317  0.387 -0.442  0.387 -0.567  0.387 -0.691  0.387 -0.816  0.387 -0.941  0.300 -1.003  0.232 -1.088  0.171 -1.183  0.046 -1.183  -0.079 -1.183  -0.204 -1.183  -0.328 -1.183  -0.453 -1.181  -0.557 -1.115  -0.670 -1.067  -0.794 -1.058  -0.919 -1.058  -1.043 -1.058  -1.153 -1.021  -1.241 -0.933
1b#tos#f2#f2016063/K  -0.423 1.423  -0.643 1.423  -0.636 1.303  -0.623 1.089  -0.583 0.885  -0.583 0.665  -0.583 0.445  -0.583 0.225  -0.583 0.005  -0.583 -0.215  -0.583 -0.435  -0.583 -0.656  -0.583 -0.876  -0.583 -1.096  -0.583 -1.316  -0.583 -1.536  -0.571 -1.496  -0.466 -1.302  -0.361 -1.109  -0.257 -0.915  -0.152 -0.722  -0.047 -0.528  0.058 -0.335  0.163 -0.141  0.268 0.052  0.372 0.246  0.477 0.440  0.582 0.633  0.687 0.827  0.792 1.020  0.864 1.213  0.871 1.262  0.678 1.218  0.541 1.050  0.451 0.853  0.370 0.668  0.205 0.531  0.123 0.327  -0.023 0.165  -0.151 -0.014  -0.269 -0.181  -0.302 -0.235  -0.094 -0.275  0.106 -0.341  0.255 -0.475  0.438 -0.576  0.640 -0.660  0.824 -0.780  1.015 -0.876  1.235 -0.876
1b#tos#f2#f2016063/L  -0.173 1.413  -0.261 1.413  -0.315 1.448  -0.315 1.536  -0.362 1.532  -0.362 1.443  -0.362 1.355  -0.362 1.267  -0.362 1.178  -0.362 1.090  -0.326 1.010  -0.315 0.924  -0.315 0.836  -0.315 0.747  -0.315 0.659  -0.301 0.572  -0.286 0.484  -0.272 0.397  -0.268 0.309  -0.268 0.221  -0.268 0.132  -0.268 0.044  -0.268 -0.045  -0.268 -0.133  -0.268 -0.221  -0.268 -0.310  -0.268 -0.398  -0.268 -0.487  -0.256 -0.574  -0.234 -0.660  -0.220 -0.746  -0.203 -0.828  -0.141 -0.890  -0.078 -0.953  0.001 -0.992  0.087 -1.000  0.176 -1.000  0.264 -1.000  0.353 -1.000  0.428 -0.967  0.509 -0.939  0.595 -0.922  0.680 -0.902  0.708 -0.818  0.757 -0.763  0.845 -0.763  0.934 -0.763  0.998 -0.716  1.051 -0.645  1.104 -0.574
1b#tos#f2#f2016063/P  -0.018 0.751  -0.130 0.849  -0.264 0.716  -0.290 0.511  -0.348 0.309  -0.366 0.103  -0.444 -0.092  -0.460 -0.298  -0.472 -0.505  -0.549 -0.699  -0.558 -0.907  -0.581 -1.111  -0.657 -1.302  -0.657 -1.512  -0.590 -1.654  -0.537 -1.478  -0.512 -1.270  -0.487 -1.062  -0.462 -0.854  -0.437 -0.647  -0.412 -0.439  -0.388 -0.231  -0.363 -0.023  -0.338 0.185  -0.313 0.393  -0.288 0.600  -0.272 0.800  -0.460 0.821  -0.289 0.873  -0.130 0.996  0.079 0.996  0.285 1.027  0.493 1.045  0.702 1.045  0.912 1.045  1.121 1.045  1.270 0.947  1.307 0.775  1.307 0.566  1.152 0.431  1.020 0.275  0.908 0.101  0.813 -0.084  0.615 -0.144  0.424 -0.230  0.257 -0.356  0.140 -0.514  -0.065 -0.525  -0.257 -0.596  -0.411 -0.673
1b#tos#f2#f2016063/R  -0.131 0.954  -0.191 0.868  -0.260 0.704  -0.260 0.472  -0.329 0.255  -0.433 0.047  -0.443 -0.183  -0.567 -0.375  -0.600 -0.606  -0.606 -0.838  -0.606 -1.071  -0.606 -1.304  -0.606 -1.537  -0.638 -1.376  -0.618 -1.144  -0.598 -0.912  -0.579 -0.680  -0.559 -0.448  -0.539 -0.216  -0.519 0.016  -0.500 0.248  -0.480 0.480  -0.606 0.583  -0.590 0.812  -0.437 0.924  -0.295 1.040  -0.068 1.084  0.165 1.084  0.398 1.084  0.631 1.084  0.863 1.084  1.094 1.076  1.314 1.003  1.338 0.789  1.295 0.566  1.154 0.385  0.954 0.266  0.790 0.111  0.583 0.015  0.395 -0.120  0.168 -0.159  -0.021 -0.287  -0.215 -0.385  -0.263 -0.428  -0.123 -0.540  0.052 -0.687  0.248 -0.782  0.437 -0.891  0.630 -0.989  0.776 -1.076
1b#tos#f2#f2016063/T  -0.785 0.255  -0.913 0.245  -1.024 0.180  -1.154 0.180  -1.079 0.255  -0.949 0.255  -0.830 0.307  -0.707 0.345  -0.598 0.387  -0.492 0.444  -0.370 0.490  -0.252 0.545  -0.140 0.612  -0.014 0.629  0.104 0.681  0.229 0.703  0.347 0.740  0.452 0.818  0.569 0.876  0.676 0.948  0.802 0.965  0.790 0.936  0.671 0.884  0.551 0.833  0.431 0.781  0.336 0.713  0.219 0.685  0.099 0.634  -0.001 0.569  0.039 0.477  0.074 0.361  0.074 0.230  0.074 0.100  0.074 -0.031  0.074 -0.161  0.098 -0.289  0.111 -0.418  0.111 -0.548  0.111 -0.679  0.117 -0.808  0.159 -0.932  0.186 -1.058  0.186 -1.189  0.202 -1.318  0.224 -1.446  0.224 -1.577  0.224 -1.707  0.224 -1.838  0.224 -1.968  0.224 -2.099
1b#tos#f2#f2016063/V  -0.612 1.313  -0.715 1.245  -0.832 1.226  -0.788 1.234  -0.788 1.111  -0.729 1.006  -0.700 0.891  -0.700 0.768  -0.696 0.646  -0.641 0.536  -0.603 0.421  -0.582 0.299  -0.556 0.179  -0.525 0.061  -0.525 -0.062  -0.524 -0.185  -0.503 -0.306  -0.483 -0.427  -0.466 -0.544  -0.379 -0.631  -0.349 -0.742  -0.349 -0.865  -0.257 -0.933  -0.202 -1.043  -0.160 -1.151  -0.057 -1.216  0.060 -1.231  0.180 -1.209  0.265 -1.152  0.292 -1.056  0.353 -0.994  0.358 -0.872  0.426 -0.770  0.510 -0.680  0.579 -0.583  0.603 -0.462  0.616 -0.341  0.626 -0.218  0.640 -0.096  0.653 0.026  0.689 0.142  0.744 0.252  0.748 0.375  0.748 0.498  0.748 0.621  0.748 0.744  0.764 0.863  0.792 0.980  0.792 1.103  0.792 1.226
