1b#tos#f2#f2025065/B  -0.285 1.206  -0.272 1.437  -0.227 1.239  -0.227 0.996  -0.271 0.757  -0.313 0.517  -0.388 0.294  -0.400 0.056  -0.436 -0.184  -0.516 -0.411  -0.574 -0.641  -0.663 -0.848  -0.689 -1.080  -0.747 -1.300  -0.723 -1.363  -0.658 -1.128  -0.593 -0.893  -0.529 -0.659  -0.464 -0.424  -0.400 -0.189  -0.335 0.046  -0.271 0.280  -0.206 0.515  -0.141 0.750  -0.053 0.976  0.004 1.206  0.199 1.322  0.443 1.322  0.640 1.231  0.852 1.153  0.871 0.925  0.817 0.694  0.667 0.512  0.514 0.333  0.309 0.203  0.085 0.120  -0.009 0.051  0.234 0.051  0.420 -0.007  0.664 -0.007  0.823 -0.143  0.871 -0.375  0.871 -0.618  0.773 -0.839  0.585 -0.987  0.383 -1.098  0.180 -1.163  -0.029 -1.278  -0.272 -1.278  -0.516 -1.278
1b#tos#f2#f2025065/C  0.506 0.784  0.506 0.890  0.506 0.995  0.506 1.101  0.517 1.195  0.564 1.254  0.517 1.312  0.411 1.312  0.319 1.266  0.232 1.207  0.146 1.145  0.062 1.082  -0.023 1.018  -0.086 0.934  -0.149 0.849  -0.209 0.762  -0.256 0.668  -0.304 0.573  -0.381 0.506  -0.469 0.447  -0.492 0.353  -0.492 0.248  -0.492 0.142  -0.548 0.054  -0.607 -0.034  -0.609 -0.139  -0.609 -0.245  -0.609 -0.351  -0.609 -0.456  -0.609 -0.562  -0.609 -0.668  -0.609 -0.773  -0.591 -0.868  -0.496 -0.915  -0.402 -0.962  -0.321 -1.029  -0.218 -1.035  -0.112 -1.035  -0.007 -1.035  0.099 -1.035  0.204 -1.035  0.310 -1.035  0.416 -1.035  0.521 -1.035  0.599 -0.982  0.658 -0.894  0.742 -0.855  0.789 -0.760  0.874 -0.704  0.916 -0.624
1b#tos#f2#f2025065/D  0.021 1.576  -0.090 1.605  -0.153 1.434  -0.200 1.246  -0.261 1.062  -0.318 0.876  -0.350 0.685  -0.368 0.492  -0.407 0.314  -0.537 0.173  -0.569 -0.018  -0.606 -0.209  -0.646 -0.398  -0.646 -0.592  -0.646 -0.786  -0.757 -0.934  -0.757 -1.128  -0.757 -1.322  -0.757 -1.224  -0.664 -1.061  -0.587 -0.882  -0.510 -0.704  -0.432 -0.526  -0.355 -0.348  -0.278 -0.170  -0.201 0.009  -0.124 0.187  -0.047 0.365  0.030 0.543  0.107 0.721  0.184 0.899  0.316 0.965  0.500 0.920  0.645 0.794  0.813 0.715  0.930 0.566  1.114 0.520  1.189 0.401  1.180 0.208  1.133 0.020  1.006 -0.125  0.919 -0.298  0.786 -0.439  0.616 -0.523  0.469 -0.645  0.311 -0.753  0.149 -0.859  0.009 -0.993  -0.149 -1.100  -0.257 -1.259
1b#tos#f2#f2025065/E  0.011 1.207  -0.177 1.207  -0.167 1.207  0.021 1.207  0.201 1.251  0.383 1.286  0.571 1.286  0.759 1.286  0.667 1.234  0.491 1.167  0.316 1.100  0.140 1.033  -0.037 0.969  -0.162 0.859  -0.257 0.711  -0.332 0.543  -0.423 0.378  -0.469 0.196  -0.532 0.021  -0.623 -0.137  -0.623 -0.325  -0.657 -0.510  -0.702 -0.693  -0.781 -0.863  -0.781 -1.051  -0.820 -1.223  -0.657 -1.248  -0.469 -1.248  -0.281 -1.248  -0.092 -1.248  0.094 -1.225  0.281 -1.208  0.453 -1.169  0.605 -1.132  0.689 -1.044  0.575 -0.894  0.461 -0.744  0.348 -0.594  0.234 -0.444  0.120 -0.294  0.006 -0.144  -0.107 0.006  -0.262 0.035  -0.258 -0.015  -0.093 0.059  0.096 0.059  0.278 0.095  0.466 0.098  0.654 0.098  0.842 0.098
1b#tos#f2#f2025065/F  -0.066 1.008  -0.222 1.008  -0.145 1.046  0.009 1.065  0.163 1.085  0.319 1.085  0.475 1.085  0.632 1.085  0.788 1.085  0.944 1.085  0.929 1.003  0.773 0.988  0.617 0.972  0.462 0.957  0.306 0.941  0.150 0.931  0.019 0.885  -0.056 0.758  -0.152 0.652  -0.235 0.525  -0.259 0.372  -0.259 0.216  -0.310 0.069  -0.336 -0.082  -0.376 -0.229  -0.446 -0.369  -0.486 -0.520  -0.490 -0.676  -0.490 -0.832  -0.490 -0.988  -0.507 -1.142  -0.529 -1.296  -0.529 -1.452  -0.567 -1.593  -0.531 -1.487  -0.489 -1.336  -0.447 -1.186  -0.404 -1.035  -0.362 -0.885  -0.320 -0.734  -0.277 -0.584  -0.235 -0.433  -0.118 -0.381  0.038 -0.381  0.194 -0.381  0.351 -0.381  0.507 -0.381  0.663 -0.381  0.820 -0.381  0.976 -0.381
1b#tos#f2#f2025065/I  -0.422 1.225  -0.308 1.225  -0.194 1.225  -0.089 1.262  0.023 1.269  0.136 1.269  0.250 1.269  0.364 1.269  0.478 1.269  0.470 1.254  0.359 1.226  0.249 1.199  0.182 1.137  0.114 1.046  0.054 0.952  0.054 0.838  0.011 0.742  -0.033 0.642  -0.076 0.541  -0.076 0.428  -0.076 0.314  -0.099 0.204  -0.119 0.093  -0.119 -0.020  -0.119 -0.134  -0.119 -0.248  -0.119 -0.361  -0.119 -0.475  -0.119 -0.589  -0.162 -0.684  -0.187 -0.788  -0.246 -0.867  -0.350 -0.912  -0.455 -0.957  -0.564 -0.980  -0.638 -1.019  -0.571 -1.066  -0.457 -1.066  -0.344 -1.066  -0.233 -1.056  -0.139 -0.993  -0.029 -0.980  0.085 -0.980  0.199 -0.980  0.312 -0.980  0.423 -0.952  0.534 -0.936  0.648 -0.936  0.762 -0.936  0.875 -0.936
1b#tos#f2#f2025065/N  -0.417 1.007  -0.443 1.203  -0.486 1.376  -0.555 1.246  -0.555 1.047  -0.555 0.848  -0.555 0.649  -0.555 0.450  -0.555 0.251  -0.555 0.053  -0.555 -0.146  -0.555 -0.345  -0.555 -0.544  -0.555 -0.743  -0.555 -0.942  -0.556 -1.088  -0.562 -0.889  -0.567 -0.690  -0.573 -0.491  -0.579 -0.293  -0.584 -0.094  -0.590 0.105  -0.596 0.304  -0.601 0.503  -0.686 0.576  -0.594 0.400  -0.474 0.245  -0.374 0.074  -0.261 -0.089  -0.168 -0.265  -0.055 -0.429  0.068 -0.585  0.228 -0.699  0.388 -0.813  0.487 -0.984  0.630 -1.100  0.783 -1.140  0.875 -0.998  0.902 -0.804  0.921 -0.608  0.929 -0.412  1.049 -0.252  1.059 -0.057  1.059 0.142  1.059 0.341  1.059 0.540  1.059 0.739  1.059 0.938  1.102 1.132  1.106 1.330
1b#tos#f2#f2025065/O  -0.304 1.051  -0.379 1.107  -0.499 1.066  -0.559 0.958  -0.607 0.837  -0.666 0.720  -0.708 0.598  -0.734 0.470  -0.752 0.341  -0.752 0.210  -0.752 0.080  -0.752 -0.051  -0.752 -0.182  -0.752 -0.312  -0.752 -0.443  -0.752 -0.573  -0.697 -0.681  -0.605 -0.774  -0.516 -0.869  -0.443 -0.977  -0.358 -1.076  -0.266 -1.168  -0.143 -1.186  -0.012 -1.186  0.118 -1.186  0.238 -1.139  0.355 -1.080  0.471 -1.022  0.565 -0.932  0.647 -0.835  0.657 -0.706  0.699 -0.582  0.731 -0.456  0.759 -0.329  0.759 -0.198  0.759 -0.068  0.759 0.063  0.759 0.194  0.759 0.324  0.759 0.455  0.693 0.558  0.600 0.650  0.588 0.776  0.515 0.885  0.479 1.004  0.396 1.051  0.295 1.124  0.181 1.163  0.050 1.163  -0.080 1.163
1b#tos#f2#f2025065/Q  0.272 -0.194  0.272 -0.419  0.167 -0.540  -0.059 -0.540  -0.271 -0.597  -0.496 -0.597  -0.722 -0.597  -0.947 -0.594  -1.111 -0.487  -1.111 -0.261  -1.111 -0.036  -1.111 0.190  -1.045 0.400  -0.996 0.614  -0.856 0.764  -0.668 0.889  -0.601 1.099  -0.433 1.234  -0.240 1.335  -0.068 1.457  0.115 1.535  0.341 1.535  0.484 1.420  0.560 1.221  0.560 0.996  0.560 0.770  0.560 0.545  0.560 0.319  0.526 0.097  0.503 -0.126  0.421 -0.330  0.330 -0.530  0.188 -0.668  0.059 -0.832  -0.114 -0.943  -0.247 -0.850  -0.247 -0.625  -0.247 -0.399  -0.247 -0.173  -0.106 -0.021  0.062 0.037  0.247 -0.029  0.374 -0.214  0.445 -0.416  0.578 -0.571  0.674 -0.766  0.767 -0.928  0.916 -1.058  1.142 -1.058  1.367 -1.058
1b#tos#f2#f2025065/S  0.603 1.090  0.698 1.110  0.698 1.223  0.624 1.307  0.519 1.328  0.405 1.328  0.291 1.328  0.182 1.307  0.080 1.256  -0.022 1.205  -0.111 1.135  -0.191 1.055  -0.284 0.989  -0.363 0.912  -0.414 0.811  -0.440 0.703  -0.440 0.589  -0.468 0.484  -0.536 0.393  -0.582 0.295  -0.582 0.181  -0.582 0.067  -0.535 0.000  -0.441 -0.047  -0.351 -0.115  -0.274 -0.190  -0.189 -0.237  -0.098 -0.294  -0.000 -0.332  0.110 -0.346  0.217 -0.379  0.313 -0.438  0.401 -0.509  0.490 -0.569  0.556 -0.617  0.603 -0.712  0.603 -0.826  0.564 -0.901  0.453 -0.908  0.373 -0.989  0.281 -1.043  0.184 -1.083  0.095 -1.149  -0.013 -1.185  -0.127 -1.185  -0.241 -1.185  -0.355 -1.185  -0.460 -1.205  -0.563 -1.232  -0.677 -1.232
1b#tos#f2#f2025065/T  -0.819 0.661  -0.935 0.661  -1.052 0.661  -1.152 0.644  -1.152 0.527  -1.234 0.495  -1.117 0.495  -1.001 0.495  -0.884 0.495  -0.767 0.495  -0.653 0.515  -0.539 0.536  -0.423 0.536  -0.306 0.536  -0.189 0.536  -0.073 0.536  0.044 0.536  0.157 0.548  0.257 0.608  0.359 0.661  0.476 0.661  0.592 0.661  0.709 0.661  0.740 0.619  0.624 0.619  0.507 0.619  0.390 0.619  0.281 0.587  0.263 0.482  0.263 0.365  0.263 0.248  0.263 0.132  0.284 0.017  0.306 -0.097  0.325 -0.212  0.345 -0.327  0.346 -0.444  0.346 -0.561  0.346 -0.677  0.346 -0.794  0.346 -0.910  0.346 -1.027  0.346 -1.144  0.346 -1.260  0.346 -1.377  0.346 -1.494  0.346 -1.610  0.346 -1.727  0.346 -1.844  0.346 -1.960
