1b#tos#f3#f3007066/B  -0.482 1.297  -0.526 1.078  -0.526 0.814  -0.526 0.549  -0.526 0.285  -0.526 0.021  -0.526 -0.243  -0.526 -0.507  -0.526 -0.772  -0.482 -1.025  -0.437 -1.245  -0.407 -1.113  -0.430 -0.850  -0.452 -0.586  -0.475 -0.323  -0.497 -0.060  -0.519 0.203  -0.542 0.466  -0.564 0.730  -0.660 0.904  -0.488 1.049  -0.234 1.115  0.025 1.157  0.251 1.253  0.509 1.225  0.677 1.116  0.677 0.915  0.553 0.711  0.341 0.597  0.152 0.424  -0.074 0.317  -0.230 0.108  -0.431 -0.040  -0.305 0.048  -0.060 0.094  0.157 0.158  0.417 0.183  0.681 0.183  0.898 0.124  1.109 -0.012  1.168 -0.254  1.168 -0.519  1.041 -0.687  0.900 -0.877  0.764 -1.082  0.544 -1.184  0.360 -1.333  0.110 -1.399  -0.130 -1.501  -0.393 -1.511
1b#tos#f3#f3007066/C  0.390 0.865  0.384 0.784  0.325 0.865  0.296 0.944  0.275 1.048  0.199 1.100  0.091 1.100  0.002 1.147  -0.107 1.147  -0.211 1.129  -0.288 1.061  -0.355 0.980  -0.445 0.920  -0.509 0.833  -0.550 0.737  -0.551 0.629  -0.628 0.552  -0.691 0.470  -0.691 0.362  -0.734 0.263  -0.782 0.166  -0.785 0.059  -0.785 -0.050  -0.785 -0.158  -0.785 -0.267  -0.785 -0.375  -0.756 -0.466  -0.675 -0.530  -0.605 -0.592  -0.526 -0.663  -0.447 -0.733  -0.338 -0.733  -0.241 -0.760  -0.141 -0.780  -0.032 -0.780  0.076 -0.780  0.184 -0.780  0.293 -0.780  0.401 -0.780  0.509 -0.774  0.614 -0.748  0.721 -0.733  0.829 -0.729  0.933 -0.699  1.037 -0.669  1.141 -0.639  1.247 -0.631  1.338 -0.571  1.428 -0.511  1.518 -0.451
1b#tos#f3#f3007066/D  -0.353 1.276  -0.512 1.232  -0.529 1.047  -0.529 0.844  -0.563 0.646  -0.573 0.445  -0.573 0.242  -0.573 0.039  -0.573 -0.164  -0.573 -0.367  -0.557 -0.568  -0.529 -0.768  -0.485 -0.964  -0.485 -1.167  -0.444 -1.360  -0.352 -1.436  -0.348 -1.233  -0.343 -1.030  -0.339 -0.827  -0.335 -0.624  -0.330 -0.421  -0.326 -0.219  -0.321 -0.016  -0.317 0.187  -0.313 0.390  -0.330 0.571  -0.533 0.571  -0.505 0.687  -0.403 0.848  -0.209 0.891  -0.038 0.968  0.165 0.968  0.367 0.968  0.570 0.968  0.773 0.968  0.927 0.894  1.021 0.744  1.101 0.590  1.145 0.432  1.145 0.229  1.136 0.028  1.057 -0.151  0.958 -0.320  0.839 -0.481  0.660 -0.575  0.542 -0.737  0.423 -0.900  0.304 -1.059  0.103 -1.093  -0.044 -1.191
1b#tos#f3#f3007066/E  -0.577 1.292  -0.711 1.186  -0.569 1.244  -0.332 1.257  -0.110 1.328  0.130 1.328  0.348 1.398  0.310 1.370  0.075 1.320  -0.159 1.271  -0.342 1.151  -0.401 0.945  -0.436 0.714  -0.436 0.474  -0.436 0.235  -0.436 -0.004  -0.436 -0.244  -0.436 -0.483  -0.436 -0.723  -0.436 -0.962  -0.433 -1.061  -0.419 -0.822  -0.404 -0.583  -0.390 -0.344  -0.375 -0.106  -0.441 0.051  -0.317 0.095  -0.081 0.127  0.129 0.188  0.357 0.205  0.555 0.268  0.654 0.253  0.503 0.067  0.353 -0.120  0.203 -0.306  0.052 -0.492  -0.098 -0.679  -0.256 -0.858  -0.472 -0.884  -0.493 -1.004  -0.312 -0.931  -0.101 -0.862  0.138 -0.862  0.378 -0.862  0.600 -0.792  0.840 -0.792  1.079 -0.792  1.310 -0.756  1.550 -0.756  1.719 -0.686
1b#tos#f3#f3007066/F  -0.635 1.072  -0.824 0.961  -0.973 0.778  -0.816 0.778  -0.585 0.820  -0.373 0.904  -0.137 0.904  0.097 0.914  0.316 0.988  0.553 0.988  0.777 1.017  0.781 1.065  0.546 1.046  0.310 1.028  0.074 1.010  -0.162 0.992  -0.286 0.835  -0.342 0.611  -0.342 0.374  -0.342 0.138  -0.367 -0.095  -0.426 -0.322  -0.426 -0.558  -0.468 -0.790  -0.468 -1.026  -0.468 -1.263  -0.468 -1.499  -0.468 -1.736  -0.425 -1.628  -0.417 -1.392  -0.409 -1.155  -0.400 -0.919  -0.392 -0.683  -0.384 -0.446  -0.414 -0.480  -0.178 -0.480  0.059 -0.480  0.290 -0.457  0.512 -0.396  0.734 -0.319  0.869 -0.217  0.856 0.019  0.842 0.255  0.784 0.443  0.673 0.317  0.664 0.089  0.664 -0.147  0.664 -0.384  0.664 -0.620  0.664 -0.857
1b#tos#f3#f3007066/G  0.451 0.952  0.223 0.954  0.158 1.161  0.071 1.344  -0.095 1.409  -0.309 1.371  -0.479 1.232  -0.641 1.078  -0.788 0.902  -0.896 0.702  -1.032 0.535  -1.034 0.306  -1.148 0.107  -1.178 -0.119  -1.186 -0.349  -1.148 -0.570  -0.958 -0.690  -0.770 -0.762  -0.540 -0.762  -0.309 -0.762  -0.084 -0.723  0.123 -0.647  0.283 -0.557  0.433 -0.419  0.446 -0.255  0.343 -0.049  0.240 0.157  0.125 0.343  -0.089 0.287  -0.280 0.160  -0.352 0.114  -0.122 0.114  0.099 0.158  0.326 0.191  0.551 0.229  0.781 0.229  0.994 0.305  1.066 0.343  0.835 0.343  0.616 0.317  0.528 0.168  0.528 -0.062  0.528 -0.292  0.528 -0.523  0.528 -0.753  0.528 -0.983  0.528 -1.213  0.528 -1.444  0.528 -1.674  0.528 -1.904
1b#tos#f3#f3007066/I  0.180 1.180  -0.001 1.090  -0.014 0.842  -0.053 0.595  -0.053 0.345  -0.053 0.094  -0.053 -0.157  -0.053 -0.408  -0.053 -0.658  -0.053 -0.909  -0.053 -1.160  -0.065 -1.184  -0.092 -0.935  -0.119 -0.686  -0.145 -0.436  -0.172 -0.187  -0.199 0.062  -0.226 0.312  -0.253 0.561  -0.280 0.810  -0.307 1.060  -0.414 1.210  -0.664 1.185  -0.662 1.180  -0.411 1.180  -0.161 1.180  0.090 1.180  0.341 1.180  0.592 1.180  0.843 1.180  0.759 0.997  0.624 0.786  0.488 0.575  0.353 0.364  0.217 0.153  0.082 -0.058  -0.053 -0.269  -0.189 -0.480  -0.324 -0.691  -0.440 -0.908  -0.601 -1.073  -0.820 -1.142  -0.570 -1.142  -0.319 -1.142  -0.068 -1.142  0.183 -1.142  0.434 -1.142  0.684 -1.142  0.935 -1.142  1.186 -1.142
1b#tos#f3#f3007066/J  -0.376 1.136  -0.419 1.027  -0.527 0.962  -0.515 0.962  -0.387 0.962  -0.259 0.962  -0.131 0.962  -0.003 0.962  0.123 0.956  0.245 0.928  0.373 0.928  0.500 0.928  0.628 0.928  0.756 0.928  0.884 0.928  0.824 0.873  0.716 0.804  0.608 0.735  0.495 0.684  0.367 0.684  0.354 0.570  0.354 0.442  0.354 0.314  0.354 0.186  0.354 0.058  0.354 -0.070  0.354 -0.198  0.354 -0.326  0.354 -0.454  0.347 -0.580  0.319 -0.701  0.319 -0.829  0.314 -0.955  0.284 -1.070  0.189 -1.123  0.096 -1.158  -0.032 -1.158  -0.160 -1.158  -0.288 -1.158  -0.416 -1.156  -0.534 -1.114  -0.654 -1.087  -0.749 -1.054  -0.806 -0.978  -0.863 -0.886  -0.863 -0.758  -0.863 -0.630  -0.863 -0.502  -0.932 -0.417  -0.932 -0.289
1b#tos#f3#f3007066/L  -0.419 1.599  -0.459 1.549  -0.459 1.460  -0.459 1.370  -0.459 1.280  -0.459 1.190  -0.473 1.102  -0.494 1.015  -0.499 0.926  -0.499 0.836  -0.499 0.746  -0.499 0.657  -0.499 0.567  -0.516 0.481  -0.539 0.397  -0.539 0.307  -0.539 0.217  -0.539 0.128  -0.539 0.038  -0.539 -0.052  -0.556 -0.139  -0.579 -0.225  -0.579 -0.315  -0.579 -0.404  -0.579 -0.494  -0.565 -0.570  -0.475 -0.570  -0.386 -0.570  -0.296 -0.570  -0.206 -0.570  -0.116 -0.570  -0.027 -0.570  0.063 -0.570  0.153 -0.570  0.243 -0.570  0.333 -0.570  0.422 -0.570  0.512 -0.570  0.602 -0.570  0.692 -0.570  0.781 -0.570  0.871 -0.570  0.961 -0.570  1.051 -0.570  1.140 -0.570  1.230 -0.570  1.320 -0.570  1.410 -0.570  1.499 -0.570  1.589 -0.570
1b#tos#f3#f3007066/O  0.350 0.726  0.267 0.812  0.210 0.898  0.073 0.929  -0.049 0.985  -0.193 0.985  -0.336 0.985  -0.480 0.985  -0.547 0.880  -0.672 0.845  -0.788 0.777  -0.853 0.649  -0.878 0.512  -0.954 0.393  -0.987 0.255  -0.987 0.111  -0.987 -0.032  -0.969 -0.171  -0.943 -0.309  -0.903 -0.435  -0.822 -0.552  -0.742 -0.669  -0.679 -0.789  -0.556 -0.831  -0.500 -0.940  -0.380 -1.013  -0.241 -1.041  -0.098 -1.041  0.046 -1.041  0.189 -1.041  0.333 -1.041  0.452 -0.982  0.495 -0.858  0.615 -0.780  0.752 -0.739  0.817 -0.631  0.867 -0.502  0.927 -0.378  1.028 -0.276  1.039 -0.138  1.039 0.006  1.039 0.149  1.010 0.281  0.909 0.382  0.807 0.484  0.729 0.588  0.601 0.640  0.457 0.640  0.316 0.651  0.177 0.683
1b#tos#f3#f3007066/R  -0.298 1.232  -0.374 1.356  -0.412 1.138  -0.412 0.882  -0.449 0.630  -0.465 0.376  -0.488 0.123  -0.488 -0.133  -0.488 -0.389  -0.488 -0.645  -0.488 -0.901  -0.488 -1.157  -0.488 -1.413  -0.374 -1.581  -0.352 -1.326  -0.329 -1.071  -0.307 -0.816  -0.284 -0.561  -0.262 -0.306  -0.239 -0.051  -0.217 0.204  -0.194 0.459  -0.172 0.714  -0.149 0.969  -0.367 1.004  -0.436 1.171  -0.223 1.308  0.010 1.384  0.254 1.346  0.460 1.195  0.611 1.008  0.755 0.800  0.909 0.614  0.919 0.360  0.881 0.120  0.689 -0.026  0.485 -0.126  0.292 -0.251  0.036 -0.251  -0.220 -0.251  -0.476 -0.251  -0.413 -0.289  -0.197 -0.404  0.037 -0.495  0.264 -0.613  0.478 -0.754  0.700 -0.879  0.896 -1.012  1.102 -1.119  1.261 -1.316
