1b#tos#f3#f3072063/A  0.533 1.562  0.338 1.409  0.240 1.170  0.033 1.062  -0.114 0.830  -0.235 0.587  -0.376 0.349  -0.506 0.104  -0.601 -0.158  -0.786 -0.367  -0.876 -0.622  -0.963 -0.876  -1.029 -1.133  -1.077 -1.364  -0.935 -1.128  -0.792 -0.887  -0.648 -0.647  -0.505 -0.406  -0.362 -0.166  -0.218 0.075  -0.075 0.315  0.069 0.555  0.212 0.796  0.356 1.036  0.499 1.277  0.561 1.513  0.631 1.360  0.661 1.092  0.728 0.828  0.728 0.548  0.728 0.268  0.728 -0.012  0.777 -0.281  0.777 -0.561  0.777 -0.840  0.777 -1.120  0.714 -1.263  0.503 -1.079  0.291 -0.896  0.080 -0.713  -0.132 -0.529  -0.344 -0.346  -0.555 -0.163  -0.790 -0.054  -0.665 -0.153  -0.392 -0.195  -0.112 -0.195  0.168 -0.195  0.448 -0.195  0.728 -0.195
1b#tos#f3#f3072063/C  1.131 0.608  1.063 0.559  0.985 0.521  0.937 0.568  0.924 0.681  0.888 0.789  0.837 0.868  0.726 0.899  0.609 0.899  0.493 0.899  0.377 0.899  0.261 0.899  0.151 0.871  0.041 0.845  -0.072 0.817  -0.186 0.802  -0.300 0.791  -0.389 0.724  -0.459 0.638  -0.554 0.574  -0.641 0.499  -0.730 0.431  -0.781 0.327  -0.812 0.219  -0.894 0.137  -0.908 0.026  -0.957 -0.070  -0.957 -0.186  -0.957 -0.302  -0.932 -0.412  -0.908 -0.523  -0.879 -0.621  -0.775 -0.673  -0.680 -0.737  -0.591 -0.809  -0.481 -0.845  -0.365 -0.849  -0.249 -0.849  -0.133 -0.849  -0.017 -0.849  0.099 -0.849  0.215 -0.849  0.332 -0.849  0.448 -0.849  0.564 -0.849  0.680 -0.849  0.793 -0.824  0.905 -0.794  1.016 -0.758  1.131 -0.752
1b#tos#f3#f3072063/H  -0.340 1.039  -0.449 1.160  -0.449 1.056  -0.449 0.866  -0.477 0.681  -0.537 0.501  -0.559 0.315  -0.639 0.150  -0.669 -0.031  -0.720 -0.212  -0.782 -0.391  -0.888 -0.537  -0.924 -0.716  -0.998 -0.883  -0.998 -1.073  -1.108 -1.153  -1.053 -1.092  -0.974 -0.919  -0.895 -0.747  -0.816 -0.574  -0.737 -0.402  -0.658 -0.230  -0.579 -0.057  -0.514 0.101  -0.591 -0.004  -0.402 -0.004  -0.212 -0.004  -0.022 -0.004  0.165 0.020  0.352 0.051  0.541 0.051  0.731 0.051  0.921 0.051  0.962 0.233  1.019 0.414  1.075 0.595  1.132 0.776  1.188 0.957  1.035 0.984  0.990 0.803  0.922 0.639  0.922 0.449  0.922 0.259  0.922 0.069  0.922 -0.120  0.861 -0.285  0.744 -0.429  0.703 -0.612  0.703 -0.802  0.703 -0.992
1b#tos#f3#f3072063/I  0.470 1.052  0.470 1.128  0.470 1.204  0.437 1.247  0.362 1.247  0.340 1.302  0.340 1.378  0.340 1.302  0.340 1.226  0.340 1.150  0.340 1.074  0.316 1.004  0.282 0.936  0.248 0.868  0.214 0.800  0.210 0.725  0.207 0.649  0.188 0.576  0.170 0.502  0.151 0.428  0.118 0.361  0.076 0.298  0.034 0.235  0.014 0.165  0.014 0.089  0.014 0.013  -0.013 -0.058  -0.041 -0.128  -0.069 -0.199  -0.098 -0.269  -0.124 -0.340  -0.148 -0.412  -0.172 -0.484  -0.181 -0.559  -0.181 -0.635  -0.184 -0.710  -0.226 -0.773  -0.268 -0.836  -0.310 -0.899  -0.314 -0.974  -0.338 -1.046  -0.362 -1.118  -0.376 -1.192  -0.376 -1.268  -0.376 -1.344  -0.405 -1.413  -0.439 -1.481  -0.491 -1.536  -0.506 -1.605  -0.506 -1.681
1b#tos#f3#f3072063/K  -0.447 1.586  -0.551 1.570  -0.551 1.345  -0.551 1.121  -0.557 0.897  -0.655 0.696  -0.655 0.471  -0.700 0.254  -0.708 0.030  -0.708 -0.195  -0.708 -0.419  -0.754 -0.636  -0.760 -0.860  -0.760 -1.085  -0.760 -1.310  -0.753 -1.305  -0.618 -1.125  -0.483 -0.946  -0.348 -0.766  -0.213 -0.586  -0.079 -0.406  0.056 -0.227  0.191 -0.047  0.326 0.133  0.461 0.313  0.596 0.493  0.730 0.672  0.865 0.852  1.000 1.032  0.960 1.104  0.819 0.992  0.708 0.830  0.595 0.671  0.415 0.558  0.279 0.388  0.119 0.281  -0.045 0.175  -0.239 0.074  -0.374 -0.039  -0.499 -0.195  -0.317 -0.237  -0.129 -0.347  0.061 -0.433  0.280 -0.446  0.473 -0.550  0.677 -0.632  0.865 -0.744  1.004 -0.907  1.168 -0.972  1.273 -1.123
1b#tos#f3#f3072063/L  -0.308 1.381  -0.308 1.477  -0.362 1.462  -0.362 1.367  -0.387 1.277  -0.417 1.188  -0.417 1.092  -0.457 1.013  -0.505 0.932  -0.526 0.841  -0.526 0.745  -0.526 0.649  -0.526 0.554  -0.542 0.461  -0.572 0.370  -0.580 0.275  -0.605 0.186  -0.635 0.097  -0.635 0.001  -0.635 -0.094  -0.635 -0.190  -0.635 -0.286  -0.635 -0.382  -0.635 -0.477  -0.635 -0.573  -0.602 -0.636  -0.506 -0.636  -0.411 -0.636  -0.315 -0.636  -0.219 -0.636  -0.124 -0.636  -0.029 -0.632  0.051 -0.579  0.131 -0.527  0.226 -0.527  0.322 -0.527  0.418 -0.527  0.513 -0.526  0.606 -0.503  0.699 -0.480  0.794 -0.472  0.889 -0.472  0.985 -0.472  1.081 -0.472  1.176 -0.472  1.272 -0.472  1.368 -0.472  1.463 -0.472  1.559 -0.472  1.655 -0.472
1b#tos#f3#f3072063/N  -0.718 0.799  -0.801 0.767  -0.801 0.535  -0.801 0.304  -0.801 0.072  -0.801 -0.160  -0.842 -0.381  -0.842 -0.613  -0.883 -0.835  -0.883 -1.067  -0.925 -1.257  -0.895 -1.130  -0.857 -0.902  -0.819 -0.673  -0.781 -0.444  -0.743 -0.216  -0.705 0.013  -0.667 0.241  -0.666 0.458  -0.883 0.478  -0.849 0.675  -0.647 0.604  -0.448 0.488  -0.305 0.316  -0.175 0.179  0.011 0.070  0.138 -0.113  0.304 -0.264  0.469 -0.418  0.644 -0.563  0.773 -0.625  0.811 -0.396  0.849 -0.168  0.887 0.061  0.925 0.289  0.964 0.518  1.002 0.746  1.040 0.975  0.984 1.130  0.852 1.195  0.852 0.963  0.852 0.732  0.852 0.500  0.828 0.272  0.807 0.044  0.769 -0.182  0.739 -0.408  0.728 -0.638  0.728 -0.870  0.728 -1.102
1b#tos#f3#f3072063/O  0.675 0.708  0.578 0.768  0.542 0.910  0.410 0.929  0.348 1.018  0.197 1.018  0.048 1.013  -0.077 0.929  -0.200 0.878  -0.307 0.796  -0.388 0.692  -0.492 0.601  -0.609 0.516  -0.695 0.401  -0.775 0.276  -0.875 0.166  -0.915 0.027  -0.992 -0.102  -1.007 -0.249  -1.027 -0.395  -1.052 -0.540  -1.052 -0.691  -0.963 -0.805  -0.850 -0.842  -0.789 -0.941  -0.646 -0.982  -0.513 -1.026  -0.396 -1.107  -0.245 -1.107  -0.095 -1.107  0.056 -1.107  0.196 -1.063  0.300 -0.972  0.412 -0.882  0.496 -0.756  0.627 -0.696  0.678 -0.573  0.785 -0.466  0.841 -0.333  0.852 -0.184  0.852 -0.034  0.852 0.117  0.852 0.268  0.808 0.408  0.783 0.543  0.719 0.654  0.631 0.717  0.604 0.840  0.453 0.841  0.365 0.929
1b#tos#f3#f3072063/T  -0.738 0.723  -0.861 0.723  -0.942 0.670  -0.967 0.551  -0.864 0.532  -0.741 0.532  -0.635 0.575  -0.514 0.600  -0.392 0.608  -0.272 0.623  -0.153 0.646  -0.030 0.646  0.083 0.689  0.202 0.719  0.324 0.723  0.447 0.723  0.569 0.723  0.692 0.723  0.815 0.723  0.937 0.723  0.828 0.704  0.707 0.683  0.586 0.663  0.465 0.643  0.344 0.623  0.223 0.603  0.102 0.583  0.006 0.529  -0.050 0.449  -0.050 0.326  -0.050 0.203  -0.050 0.080  -0.050 -0.042  -0.050 -0.165  -0.050 -0.288  -0.050 -0.410  -0.050 -0.533  -0.050 -0.656  -0.002 -0.764  0.026 -0.878  0.026 -1.001  0.026 -1.123  0.026 -1.246  0.026 -1.369  0.026 -1.492  0.026 -1.614  0.026 -1.737  0.026 -1.860  0.026 -1.982  0.026 -2.105
1b#tos#f3#f3072063/X  -0.561 0.920  -0.753 0.920  -0.946 0.920  -0.995 0.864  -0.881 0.719  -0.777 0.570  -0.665 0.416  -0.546 0.273  -0.461 0.124  -0.359 -0.033  -0.264 -0.199  -0.154 -0.334  -0.082 -0.500  0.072 -0.613  0.173 -0.760  0.329 -0.861  0.471 -0.981  0.544 -0.946  0.585 -0.758  0.625 -0.570  0.666 -0.382  0.706 -0.194  0.747 -0.006  0.787 0.182  0.828 0.370  0.869 0.558  0.909 0.746  0.950 0.934  0.990 1.122  0.873 1.183  0.852 1.181  0.773 1.024  0.639 0.894  0.523 0.744  0.398 0.599  0.287 0.443  0.178 0.297  0.066 0.171  -0.021 0.004  -0.111 -0.163  -0.246 -0.289  -0.337 -0.457  -0.410 -0.635  -0.566 -0.687  -0.642 -0.837  -0.782 -0.962  -0.954 -1.040  -0.995 -1.225  -1.117 -1.322  -1.213 -1.426
1b#tos#f3#f3072063/Y  -0.830 0.666  -0.926 0.698  -0.926 0.538  -0.878 0.398  -0.858 0.242  -0.761 0.118  -0.663 0.020  -0.591 -0.088  -0.520 -0.219  -0.418 -0.292  -0.337 -0.270  -0.229 -0.152  -0.122 -0.033  -0.015 0.086  0.093 0.205  0.200 0.324  0.307 0.442  0.415 0.561  0.522 0.680  0.629 0.799  0.737 0.918  0.844 1.036  0.952 1.155  1.076 1.241  1.003 1.116  0.893 1.000  0.804 0.870  0.676 0.776  0.618 0.654  0.496 0.574  0.407 0.475  0.282 0.390  0.224 0.254  0.115 0.146  0.005 0.037  -0.116 -0.057  -0.230 -0.170  -0.331 -0.244  -0.322 -0.379  -0.303 -0.536  -0.298 -0.696  -0.259 -0.851  -0.234 -1.006  -0.175 -1.154  -0.160 -1.312  -0.160 -1.472  -0.160 -1.632  -0.160 -1.792  -0.160 -1.952  -0.160 -2.112
