1b#tos#t1#t1051062/B  -0.354 0.816  -0.307 1.049  -0.307 1.330  -0.354 1.401  -0.354 1.120  -0.354 0.839  -0.354 0.558  -0.354 0.277  -0.354 -0.004  -0.354 -0.285  -0.354 -0.566  -0.354 -0.847  -0.354 -1.128  -0.354 -1.409  -0.354 -1.690  -0.301 -1.583  -0.292 -1.302  -0.282 -1.021  -0.273 -0.741  -0.263 -0.460  -0.254 -0.179  -0.244 0.102  -0.235 0.383  -0.225 0.664  -0.215 0.944  -0.307 1.130  -0.426 1.244  -0.145 1.244  0.136 1.240  0.409 1.195  0.586 0.981  0.692 0.761  0.645 0.528  0.469 0.329  0.194 0.293  -0.020 0.150  -0.254 0.102  -0.127 0.150  0.154 0.150  0.435 0.150  0.657 0.055  0.835 -0.085  0.930 -0.307  0.930 -0.588  0.883 -0.858  0.675 -1.009  0.457 -1.180  0.234 -1.290  -0.026 -1.325  -0.212 -1.325
1b#tos#t1#t1051062/C  0.352 0.482  0.352 0.594  0.352 0.707  0.352 0.819  0.352 0.932  0.301 1.000  0.228 1.064  0.115 1.064  0.047 1.147  -0.043 1.189  -0.156 1.189  -0.227 1.147  -0.322 1.124  -0.360 1.018  -0.416 0.924  -0.479 0.856  -0.516 0.750  -0.564 0.656  -0.583 0.547  -0.605 0.438  -0.605 0.325  -0.678 0.243  -0.730 0.152  -0.730 0.040  -0.730 -0.073  -0.730 -0.185  -0.730 -0.298  -0.675 -0.391  -0.636 -0.496  -0.604 -0.601  -0.511 -0.663  -0.438 -0.747  -0.359 -0.808  -0.278 -0.886  -0.168 -0.892  -0.065 -0.933  0.047 -0.933  0.160 -0.933  0.272 -0.933  0.385 -0.933  0.497 -0.933  0.608 -0.915  0.718 -0.893  0.825 -0.859  0.911 -0.790  1.010 -0.741  1.113 -0.698  1.221 -0.668  1.331 -0.646  1.392 -0.559
1b#tos#t1#t1051062/E  -0.432 0.898  -0.554 1.069  -0.766 1.091  -0.650 1.091  -0.428 1.091  -0.211 1.122  0.008 1.140  0.230 1.140  0.451 1.140  0.672 1.140  0.470 1.096  0.254 1.051  0.037 1.006  -0.180 0.961  -0.396 0.916  -0.480 0.956  -0.480 0.735  -0.480 0.513  -0.480 0.292  -0.456 0.077  -0.432 -0.139  -0.432 -0.360  -0.432 -0.582  -0.432 -0.803  -0.432 -1.024  -0.384 -1.234  -0.205 -1.276  0.017 -1.276  0.238 -1.276  0.451 -1.228  0.673 -1.228  0.894 -1.228  1.104 -1.180  1.070 -1.066  0.888 -0.939  0.707 -0.812  0.526 -0.685  0.344 -0.559  0.163 -0.432  -0.018 -0.305  -0.199 -0.178  -0.401 -0.117  -0.623 -0.117  -0.551 -0.068  -0.330 -0.068  -0.109 -0.068  0.112 -0.068  0.334 -0.068  0.555 -0.068  0.776 -0.068
1b#tos#t1#t1051062/F  -0.730 0.950  -0.715 0.950  -0.547 0.998  -0.378 1.030  -0.203 1.030  -0.027 1.030  0.143 1.068  0.318 1.070  0.492 1.077  0.645 1.150  0.820 1.150  0.718 1.143  0.556 1.076  0.394 1.008  0.233 0.941  0.071 0.873  -0.090 0.806  -0.227 0.879  -0.249 0.845  -0.237 0.672  -0.209 0.501  -0.209 0.326  -0.209 0.151  -0.209 -0.024  -0.149 -0.181  -0.129 -0.350  -0.129 -0.525  -0.129 -0.701  -0.096 -0.870  -0.089 -1.044  -0.041 -1.205  0.008 -1.366  0.031 -1.536  0.031 -1.711  0.064 -1.780  0.026 -1.609  -0.012 -1.438  -0.050 -1.267  -0.088 -1.096  -0.126 -0.925  -0.164 -0.754  -0.202 -0.583  -0.240 -0.412  -0.289 -0.278  -0.142 -0.251  0.033 -0.250  0.199 -0.208  0.368 -0.171  0.537 -0.136  0.632 -0.051
1b#tos#t1#t1051062/G  0.661 1.332  0.655 1.511  0.515 1.556  0.330 1.556  0.212 1.489  0.062 1.406  -0.101 1.333  -0.223 1.195  -0.357 1.082  -0.490 0.964  -0.610 0.824  -0.686 0.659  -0.777 0.499  -0.833 0.332  -0.866 0.160  -0.911 -0.006  -0.911 -0.191  -0.911 -0.376  -0.911 -0.561  -0.866 -0.701  -0.821 -0.868  -0.655 -0.913  -0.525 -1.003  -0.340 -1.003  -0.155 -1.003  0.030 -1.003  0.122 -0.910  0.220 -0.823  0.370 -0.727  0.502 -0.603  0.593 -0.464  0.523 -0.347  0.377 -0.234  0.231 -0.120  0.085 -0.006  -0.061 0.107  -0.174 0.209  0.011 0.209  0.196 0.209  0.382 0.209  0.567 0.209  0.616 0.163  0.616 -0.022  0.616 -0.207  0.616 -0.392  0.616 -0.577  0.616 -0.762  0.616 -0.947  0.616 -1.132  0.616 -1.317
1b#tos#t1#t1051062/L  -0.405 1.245  -0.493 1.251  -0.493 1.345  -0.511 1.420  -0.468 1.420  -0.449 1.346  -0.449 1.252  -0.449 1.158  -0.449 1.065  -0.449 0.971  -0.449 0.877  -0.449 0.784  -0.449 0.690  -0.449 0.596  -0.449 0.503  -0.449 0.409  -0.449 0.315  -0.449 0.222  -0.449 0.128  -0.449 0.034  -0.449 -0.059  -0.449 -0.153  -0.449 -0.247  -0.449 -0.340  -0.449 -0.434  -0.449 -0.528  -0.499 -0.600  -0.496 -0.638  -0.402 -0.638  -0.308 -0.638  -0.215 -0.638  -0.121 -0.638  -0.027 -0.638  0.066 -0.638  0.160 -0.638  0.254 -0.638  0.347 -0.638  0.441 -0.638  0.535 -0.638  0.628 -0.638  0.722 -0.638  0.816 -0.638  0.909 -0.638  1.003 -0.638  1.097 -0.638  1.190 -0.638  1.284 -0.638  1.378 -0.638  1.471 -0.638  1.565 -0.638
1b#tos#t1#t1051062/M  -0.676 0.895  -0.745 0.976  -0.745 0.783  -0.745 0.590  -0.745 0.397  -0.745 0.205  -0.745 0.012  -0.745 -0.181  -0.745 -0.374  -0.745 -0.567  -0.745 -0.759  -0.745 -0.952  -0.748 -1.033  -0.760 -0.841  -0.772 -0.649  -0.783 -0.456  -0.795 -0.264  -0.807 -0.071  -0.819 0.121  -0.831 0.314  -0.842 0.506  -0.847 0.699  -0.737 0.687  -0.600 0.572  -0.480 0.425  -0.361 0.274  -0.210 0.155  -0.074 0.019  0.062 -0.117  0.232 -0.189  0.385 -0.302  0.523 -0.182  0.623 -0.029  0.735 0.125  0.829 0.283  0.905 0.432  0.966 0.604  1.034 0.729  1.102 0.822  1.102 0.629  1.102 0.437  1.102 0.244  1.102 0.051  1.102 -0.142  1.086 -0.333  1.068 -0.523  1.068 -0.716  1.068 -0.909  1.068 -1.102  1.068 -1.294
1b#tos#t1#t1051062/P  -0.409 0.921  -0.564 0.992  -0.532 1.045  -0.348 1.045  -0.164 1.045  0.021 1.045  0.205 1.045  0.377 0.991  0.556 0.959  0.712 0.874  0.844 0.782  0.972 0.661  1.044 0.507  1.086 0.340  1.037 0.166  0.918 0.026  0.799 -0.113  0.654 -0.220  0.507 -0.323  0.361 -0.434  0.196 -0.509  0.028 -0.574  -0.156 -0.574  -0.280 -0.519  -0.266 -0.335  -0.252 -0.152  -0.238 0.032  -0.224 0.216  -0.210 0.399  -0.243 0.566  -0.285 0.709  -0.392 0.804  -0.451 0.899  -0.409 0.732  -0.409 0.548  -0.377 0.369  -0.326 0.196  -0.326 0.012  -0.323 -0.172  -0.285 -0.352  -0.285 -0.536  -0.285 -0.720  -0.285 -0.904  -0.285 -1.089  -0.285 -1.273  -0.285 -1.457  -0.285 -1.641  -0.285 -1.826  -0.285 -2.010  -0.285 -2.194
1b#tos#t1#t1051062/Q  -0.042 0.961  -0.042 1.186  -0.202 1.229  -0.322 1.124  -0.494 1.000  -0.576 0.811  -0.737 0.665  -0.817 0.458  -0.844 0.236  -0.891 0.022  -1.001 -0.172  -1.001 -0.397  -0.954 -0.603  -0.880 -0.797  -0.744 -0.916  -0.606 -1.071  -0.392 -1.116  -0.167 -1.116  0.047 -1.098  0.221 -0.994  0.428 -0.916  0.583 -0.775  0.770 -0.654  0.894 -0.470  0.996 -0.284  1.036 -0.066  1.019 0.155  0.944 0.359  0.906 0.572  0.716 0.682  0.555 0.802  0.358 0.907  0.168 1.000  -0.051 1.040  -0.276 1.040  -0.481 1.021  -0.454 0.798  -0.417 0.576  -0.380 0.354  -0.343 0.132  -0.306 -0.090  -0.282 -0.161  -0.090 -0.253  0.080 -0.358  0.259 -0.481  0.403 -0.639  0.611 -0.724  0.778 -0.869  0.947 -0.996  1.076 -1.116
1b#tos#t1#t1051062/S  0.437 0.880  0.437 1.011  0.353 1.058  0.332 1.179  0.260 1.259  0.194 1.324  0.063 1.324  -0.068 1.324  -0.198 1.324  -0.300 1.253  -0.405 1.191  -0.451 1.106  -0.477 0.987  -0.540 0.882  -0.540 0.751  -0.495 0.665  -0.426 0.589  -0.394 0.474  -0.317 0.391  -0.196 0.347  -0.140 0.273  -0.036 0.206  0.086 0.169  0.128 0.080  0.252 0.039  0.260 -0.086  0.376 -0.111  0.482 -0.186  0.565 -0.263  0.615 -0.348  0.615 -0.478  0.615 -0.609  0.659 -0.696  0.659 -0.826  0.605 -0.923  0.505 -1.006  0.476 -1.124  0.379 -1.207  0.249 -1.207  0.118 -1.207  -0.013 -1.207  -0.143 -1.207  -0.270 -1.179  -0.394 -1.137  -0.469 -1.056  -0.579 -0.988  -0.629 -0.904  -0.717 -0.828  -0.762 -0.716  -0.762 -0.585
1b#tos#t1#t1051062/Y  -1.318 0.749  -1.418 0.871  -1.462 0.933  -1.318 0.890  -1.248 0.766  -1.112 0.665  -0.988 0.543  -0.842 0.463  -0.712 0.381  -0.575 0.291  -0.452 0.168  -0.298 0.096  -0.217 -0.047  -0.094 -0.161  -0.013 -0.278  0.113 -0.275  0.247 -0.163  0.380 -0.051  0.513 0.060  0.647 0.172  0.780 0.284  0.913 0.396  1.046 0.508  1.180 0.619  1.313 0.731  1.232 0.769  1.102 0.708  0.954 0.671  0.856 0.539  0.804 0.393  0.644 0.350  0.509 0.250  0.370 0.147  0.244 0.026  0.097 -0.051  0.008 -0.200  -0.116 -0.312  -0.176 -0.280  -0.257 -0.187  -0.220 -0.190  -0.176 -0.354  -0.176 -0.528  -0.143 -0.696  -0.135 -0.869  -0.135 -1.043  -0.110 -1.214  -0.094 -1.387  -0.078 -1.559  -0.053 -1.730  -0.013 -1.863
