1b#tos#t1#t1057066/B  -0.124 1.211  -0.322 1.157  -0.256 0.910  -0.256 0.623  -0.256 0.336  -0.325 0.065  -0.400 -0.211  -0.431 -0.495  -0.431 -0.783  -0.475 -1.059  -0.563 -1.326  -0.514 -1.447  -0.487 -1.161  -0.461 -0.875  -0.434 -0.589  -0.408 -0.303  -0.382 -0.017  -0.355 0.269  -0.329 0.555  -0.302 0.841  -0.276 1.127  -0.300 1.317  -0.118 1.299  0.169 1.299  0.430 1.211  0.702 1.174  0.917 1.071  0.928 0.785  0.768 0.597  0.507 0.509  0.314 0.416  0.075 0.334  -0.212 0.334  -0.423 0.211  -0.420 0.115  -0.220 0.202  0.067 0.202  0.308 0.127  0.572 0.077  0.795 -0.015  0.928 -0.222  0.972 -0.465  0.884 -0.698  0.750 -0.939  0.514 -1.089  0.310 -1.289  0.030 -1.333  -0.243 -1.392  -0.479 -1.375  -0.739 -1.289
1b#tos#t1#t1057066/C  0.755 0.626  0.674 0.546  0.674 0.662  0.674 0.778  0.674 0.894  0.656 0.992  0.581 1.033  0.552 1.120  0.487 1.195  0.371 1.195  0.255 1.195  0.149 1.156  0.037 1.132  -0.017 1.055  -0.087 0.988  -0.139 0.888  -0.237 0.870  -0.261 0.778  -0.333 0.700  -0.387 0.611  -0.415 0.499  -0.480 0.407  -0.531 0.306  -0.554 0.194  -0.593 0.084  -0.640 -0.022  -0.668 -0.133  -0.668 -0.249  -0.668 -0.365  -0.668 -0.481  -0.668 -0.597  -0.668 -0.713  -0.668 -0.829  -0.610 -0.919  -0.544 -1.001  -0.434 -1.037  -0.328 -1.081  -0.212 -1.081  -0.096 -1.081  0.009 -1.107  0.119 -1.122  0.235 -1.122  0.347 -1.096  0.420 -1.041  0.500 -0.983  0.552 -0.879  0.661 -0.842  0.715 -0.775  0.761 -0.675  0.715 -0.675
1b#tos#t1#t1057066/D  -0.213 1.196  -0.339 1.116  -0.372 0.943  -0.372 0.738  -0.372 0.532  -0.390 0.329  -0.411 0.126  -0.422 -0.078  -0.478 -0.275  -0.530 -0.474  -0.530 -0.680  -0.574 -0.878  -0.610 -1.078  -0.610 -1.283  -0.610 -1.198  -0.593 -0.993  -0.570 -0.789  -0.547 -0.585  -0.525 -0.380  -0.502 -0.176  -0.479 0.028  -0.457 0.232  -0.434 0.437  -0.411 0.641  -0.388 0.845  -0.372 1.050  -0.253 1.160  -0.084 1.193  0.117 1.156  0.281 1.094  0.475 1.042  0.618 0.918  0.779 0.818  0.846 0.680  0.977 0.552  1.078 0.381  1.173 0.209  1.215 0.043  1.215 -0.162  1.176 -0.328  1.031 -0.442  0.854 -0.514  0.709 -0.659  0.543 -0.768  0.359 -0.848  0.206 -0.947  0.004 -0.967  -0.199 -0.986  -0.404 -0.986  -0.610 -0.986
1b#tos#t1#t1057066/E  -0.600 1.120  -0.715 0.968  -0.522 1.004  -0.300 1.058  -0.072 1.082  0.146 1.108  0.347 1.169  0.574 1.197  0.808 1.197  0.920 1.193  0.686 1.177  0.453 1.161  0.219 1.145  -0.014 1.129  -0.171 1.043  -0.330 0.914  -0.330 0.679  -0.407 0.463  -0.407 0.229  -0.407 -0.005  -0.407 -0.239  -0.446 -0.464  -0.446 -0.698  -0.446 -0.933  -0.446 -1.167  -0.483 -1.102  -0.458 -0.869  -0.433 -0.636  -0.408 -0.403  -0.383 -0.171  -0.446 -0.059  -0.227 -0.075  -0.032 -0.037  0.202 -0.037  0.437 -0.037  0.502 -0.049  0.329 -0.207  0.156 -0.365  -0.017 -0.523  -0.190 -0.681  -0.375 -0.808  -0.407 -1.010  -0.241 -1.078  -0.006 -1.078  0.228 -1.078  0.462 -1.078  0.696 -1.078  0.930 -1.078  1.145 -1.030  1.328 -0.962
1b#tos#t1#t1057066/F  -0.624 0.898  -0.696 0.713  -0.679 0.663  -0.477 0.663  -0.299 0.741  -0.097 0.741  0.105 0.741  0.307 0.741  0.509 0.741  0.697 0.813  0.889 0.859  1.091 0.859  1.293 0.859  1.102 0.864  0.900 0.869  0.698 0.874  0.496 0.879  0.294 0.885  0.093 0.890  -0.109 0.895  -0.310 0.897  -0.385 0.709  -0.432 0.594  -0.428 0.393  -0.428 0.191  -0.428 -0.011  -0.428 -0.213  -0.428 -0.415  -0.428 -0.617  -0.428 -0.819  -0.428 -1.021  -0.428 -1.223  -0.425 -1.424  -0.388 -1.620  -0.388 -1.638  -0.388 -1.436  -0.388 -1.234  -0.388 -1.032  -0.388 -0.830  -0.388 -0.628  -0.388 -0.426  -0.428 -0.530  -0.249 -0.553  -0.051 -0.538  0.131 -0.475  0.333 -0.475  0.535 -0.475  0.737 -0.475  0.939 -0.475  1.063 -0.396
1b#tos#t1#t1057066/G  0.568 0.715  0.568 0.934  0.441 1.036  0.290 1.188  0.136 1.315  -0.077 1.352  -0.294 1.340  -0.500 1.296  -0.676 1.175  -0.816 1.017  -0.919 0.827  -1.003 0.626  -1.081 0.426  -1.081 0.207  -1.053 -0.007  -1.006 -0.218  -0.997 -0.435  -0.931 -0.640  -0.825 -0.815  -0.765 -1.016  -0.600 -1.120  -0.381 -1.120  -0.168 -1.083  0.043 -1.044  0.173 -0.933  0.228 -0.773  0.178 -0.560  0.128 -0.347  0.079 -0.134  0.029 0.079  -0.021 0.292  -0.158 0.286  -0.174 0.153  0.045 0.153  0.264 0.153  0.482 0.153  0.701 0.153  0.920 0.153  1.138 0.153  1.052 0.163  0.834 0.177  0.616 0.190  0.530 0.058  0.530 -0.161  0.567 -0.370  0.568 -0.589  0.568 -0.808  0.605 -1.020  0.605 -1.239  0.642 -1.345
1b#tos#t1#t1057066/I  -0.241 1.147  -0.362 1.090  -0.486 1.040  -0.429 1.026  -0.362 0.959  -0.242 0.945  -0.108 0.945  0.026 0.945  0.160 0.945  0.253 1.020  0.362 1.066  0.490 1.106  0.509 1.113  0.376 1.127  0.243 1.142  0.109 1.147  0.001 1.121  0.001 0.987  0.001 0.853  0.001 0.719  0.001 0.585  0.042 0.461  0.042 0.327  0.042 0.193  0.042 0.060  0.042 -0.074  0.042 -0.208  0.042 -0.342  0.042 -0.476  0.026 -0.603  0.001 -0.727  -0.068 -0.807  -0.197 -0.839  -0.327 -0.872  -0.457 -0.904  -0.587 -0.936  -0.697 -1.004  -0.670 -1.072  -0.536 -1.072  -0.403 -1.072  -0.269 -1.072  -0.138 -1.092  -0.008 -1.112  0.126 -1.112  0.260 -1.112  0.394 -1.112  0.527 -1.112  0.661 -1.112  0.795 -1.112  0.929 -1.112
1b#tos#t1#t1057066/K  -0.336 1.664  -0.510 1.620  -0.555 1.413  -0.555 1.195  -0.555 0.977  -0.555 0.759  -0.555 0.541  -0.555 0.322  -0.555 0.104  -0.581 -0.112  -0.599 -0.328  -0.599 -0.546  -0.599 -0.765  -0.599 -0.983  -0.599 -1.201  -0.636 -1.260  -0.532 -1.068  -0.427 -0.876  -0.323 -0.685  -0.219 -0.493  -0.115 -0.301  -0.011 -0.110  0.094 0.082  0.198 0.273  0.302 0.465  0.406 0.657  0.510 0.848  0.615 1.040  0.716 1.218  0.640 1.050  0.492 0.919  0.377 0.763  0.216 0.621  0.082 0.472  -0.029 0.316  -0.205 0.195  -0.379 0.065  -0.448 -0.089  -0.336 -0.196  -0.187 -0.265  0.006 -0.344  0.173 -0.467  0.309 -0.635  0.508 -0.670  0.662 -0.824  0.848 -0.925  0.974 -1.053  1.192 -1.053  1.373 -1.142  1.461 -1.185
1b#tos#t1#t1057066/M  -0.621 0.972  -0.764 0.877  -0.764 0.667  -0.764 0.458  -0.764 0.248  -0.764 0.038  -0.764 -0.172  -0.764 -0.382  -0.764 -0.592  -0.764 -0.802  -0.764 -1.012  -0.764 -1.107  -0.764 -0.897  -0.764 -0.687  -0.764 -0.477  -0.764 -0.267  -0.764 -0.057  -0.764 0.153  -0.764 0.363  -0.764 0.572  -0.823 0.723  -0.779 0.652  -0.626 0.514  -0.536 0.339  -0.442 0.170  -0.298 0.040  -0.158 -0.109  0.023 -0.206  0.204 -0.274  0.307 -0.381  0.439 -0.278  0.482 -0.082  0.518 0.114  0.600 0.294  0.666 0.480  0.739 0.667  0.803 0.856  0.861 1.008  0.928 0.865  0.981 0.708  0.981 0.498  0.994 0.290  1.016 0.084  1.087 -0.109  1.123 -0.313  1.159 -0.517  1.194 -0.712  1.230 -0.887  1.230 -1.097  1.230 -1.235
1b#tos#t1#t1057066/N  -0.713 1.228  -0.795 1.030  -0.795 0.781  -0.795 0.531  -0.795 0.282  -0.795 0.033  -0.795 -0.216  -0.795 -0.465  -0.837 -0.711  -0.837 -0.960  -0.872 -1.007  -0.852 -0.758  -0.833 -0.510  -0.813 -0.262  -0.794 -0.013  -0.774 0.235  -0.755 0.484  -0.735 0.732  -0.716 0.981  -0.877 0.979  -0.744 0.815  -0.589 0.721  -0.434 0.536  -0.240 0.383  -0.099 0.198  0.073 0.029  0.201 -0.182  0.377 -0.358  0.514 -0.565  0.671 -0.750  0.832 -0.937  1.048 -1.042  1.001 -0.981  0.890 -0.823  0.874 -0.574  0.858 -0.325  0.842 -0.077  0.826 0.172  0.809 0.421  0.793 0.669  0.777 0.918  0.684 0.906  0.693 0.660  0.734 0.428  0.734 0.179  0.734 -0.070  0.746 -0.318  0.776 -0.565  0.776 -0.814  0.817 -1.046
1b#tos#t1#t1057066/O  0.054 1.026  -0.090 1.026  -0.233 1.026  -0.334 0.984  -0.369 0.876  -0.438 0.769  -0.529 0.665  -0.577 0.530  -0.626 0.419  -0.708 0.335  -0.708 0.191  -0.750 0.058  -0.750 -0.086  -0.750 -0.229  -0.750 -0.372  -0.750 -0.516  -0.750 -0.659  -0.742 -0.798  -0.666 -0.894  -0.616 -0.994  -0.580 -1.132  -0.454 -1.174  -0.310 -1.174  -0.167 -1.174  -0.024 -1.174  0.120 -1.174  0.263 -1.174  0.383 -1.096  0.395 -0.958  0.486 -0.861  0.562 -0.772  0.646 -0.664  0.690 -0.538  0.731 -0.412  0.773 -0.278  0.773 -0.135  0.773 0.009  0.773 0.152  0.773 0.296  0.773 0.439  0.764 0.580  0.700 0.708  0.587 0.773  0.562 0.891  0.496 1.007  0.395 1.109  0.263 1.153  0.119 1.153  -0.024 1.153  -0.158 1.111
