1b#tos#t2#t2016065/B  -0.333 1.113  -0.387 1.004  -0.387 0.734  -0.387 0.464  -0.389 0.195  -0.489 -0.056  -0.494 -0.325  -0.494 -0.595  -0.602 -0.757  -0.602 -1.027  -0.655 -1.275  -0.634 -1.065  -0.610 -0.797  -0.586 -0.528  -0.563 -0.259  -0.539 0.010  -0.515 0.279  -0.491 0.548  -0.467 0.817  -0.443 1.086  -0.529 1.132  -0.295 1.220  -0.065 1.260  0.191 1.274  0.461 1.274  0.731 1.274  0.795 1.068  0.795 0.798  0.659 0.588  0.432 0.467  0.246 0.285  0.031 0.133  -0.118 -0.012  -0.331 -0.069  -0.242 -0.085  0.021 -0.069  0.282 -0.015  0.552 -0.015  0.814 -0.051  1.080 -0.069  1.168 -0.280  1.121 -0.541  0.967 -0.660  0.817 -0.837  0.570 -0.944  0.421 -1.116  0.179 -1.237  -0.021 -1.358  -0.225 -1.465  -0.441 -1.520
1b#tos#t2#t2016065/C  0.526 0.751  0.476 0.809  0.476 0.918  0.459 1.019  0.415 1.106  0.313 1.140  0.206 1.153  0.098 1.153  -0.010 1.153  -0.106 1.123  -0.176 1.044  -0.176 0.936  -0.251 0.902  -0.359 0.902  -0.377 0.812  -0.423 0.736  -0.525 0.702  -0.602 0.626  -0.678 0.549  -0.678 0.441  -0.678 0.333  -0.678 0.225  -0.678 0.117  -0.678 0.008  -0.678 -0.100  -0.678 -0.208  -0.678 -0.316  -0.678 -0.424  -0.668 -0.531  -0.634 -0.634  -0.549 -0.692  -0.458 -0.750  -0.369 -0.811  -0.278 -0.854  -0.170 -0.854  -0.064 -0.869  0.041 -0.895  0.148 -0.904  0.257 -0.904  0.365 -0.904  0.473 -0.904  0.581 -0.904  0.689 -0.904  0.777 -0.854  0.882 -0.827  0.987 -0.803  1.090 -0.791  1.167 -0.714  1.220 -0.653  1.328 -0.653
1b#tos#t2#t2016065/D  -0.092 0.614  -0.295 0.614  -0.311 0.589  -0.344 0.391  -0.344 0.189  -0.344 -0.014  -0.386 -0.207  -0.386 -0.410  -0.390 -0.612  -0.471 -0.790  -0.486 -0.990  -0.510 -1.117  -0.494 -0.915  -0.479 -0.713  -0.463 -0.511  -0.448 -0.309  -0.432 -0.106  -0.417 0.096  -0.401 0.298  -0.385 0.500  -0.370 0.702  -0.354 0.904  -0.376 1.099  -0.336 1.170  -0.147 1.203  0.056 1.203  0.259 1.203  0.462 1.203  0.655 1.161  0.819 1.046  1.002 0.984  1.046 0.825  1.128 0.704  1.128 0.502  1.128 0.299  1.044 0.148  0.951 -0.026  0.854 -0.175  0.789 -0.341  0.609 -0.410  0.481 -0.567  0.338 -0.707  0.157 -0.797  -0.023 -0.881  -0.170 -0.985  -0.353 -1.012  -0.432 -1.196  -0.632 -1.229  -0.818 -1.306  -1.018 -1.321
1b#tos#t2#t2016065/E  -0.245 1.459  -0.495 1.418  -0.595 1.289  -0.588 0.980  -0.513 0.680  -0.495 0.372  -0.495 0.062  -0.495 -0.247  -0.495 -0.557  -0.445 -0.862  -0.410 -1.164  -0.393 -1.317  -0.387 -1.008  -0.380 -0.698  -0.373 -0.388  -0.367 -0.078  -0.360 0.231  -0.354 0.541  -0.347 0.851  -0.445 0.860  -0.189 0.944  0.069 1.008  0.344 1.127  0.619 1.197  0.836 1.359  0.939 1.311  0.764 1.055  0.588 0.800  0.412 0.545  0.237 0.289  0.061 0.034  -0.129 -0.193  -0.331 -0.343  -0.120 -0.243  0.131 -0.134  0.421 -0.069  0.663 0.058  0.816 0.121  0.586 -0.087  0.356 -0.295  0.126 -0.503  -0.103 -0.711  -0.231 -0.943  -0.363 -1.162  -0.392 -1.344  -0.083 -1.344  0.227 -1.344  0.515 -1.271  0.797 -1.146  1.107 -1.143
1b#tos#t2#t2016065/H  -0.288 0.871  -0.430 0.920  -0.620 0.920  -0.714 1.016  -0.818 0.930  -0.818 0.740  -0.818 0.549  -0.818 0.359  -0.818 0.169  -0.818 -0.021  -0.818 -0.212  -0.818 -0.402  -0.818 -0.592  -0.818 -0.783  -0.818 -0.973  -0.818 -1.163  -0.758 -1.196  -0.715 -1.010  -0.673 -0.825  -0.631 -0.639  -0.589 -0.454  -0.547 -0.268  -0.638 -0.189  -0.711 -0.093  -0.521 -0.093  -0.334 -0.088  -0.245 0.052  -0.055 0.052  0.136 0.052  0.326 0.052  0.514 0.071  0.700 0.100  0.874 0.121  0.913 0.307  0.952 0.493  0.991 0.680  1.030 0.866  1.025 1.016  0.917 0.934  0.917 0.743  0.917 0.553  0.917 0.363  0.917 0.172  0.917 -0.018  0.917 -0.208  0.917 -0.398  0.879 -0.584  0.869 -0.773  0.869 -0.963  0.869 -1.153
1b#tos#t2#t2016065/J  -0.314 1.076  -0.432 1.076  -0.532 1.014  -0.566 0.914  -0.453 0.908  -0.334 0.908  -0.218 0.921  -0.103 0.950  0.016 0.950  0.130 0.972  0.246 0.992  0.359 1.014  0.469 1.057  0.579 1.088  0.551 1.068  0.461 0.991  0.371 0.914  0.312 0.824  0.194 0.824  0.147 0.752  0.147 0.634  0.147 0.515  0.189 0.406  0.231 0.298  0.231 0.180  0.231 0.061  0.231 -0.057  0.266 -0.167  0.315 -0.274  0.334 -0.388  0.357 -0.501  0.357 -0.620  0.357 -0.738  0.357 -0.856  0.357 -0.975  0.357 -1.093  0.251 -1.105  0.216 -1.189  0.098 -1.189  -0.020 -1.189  -0.139 -1.189  -0.257 -1.189  -0.356 -1.169  -0.410 -1.105  -0.529 -1.105  -0.647 -1.105  -0.748 -1.077  -0.832 -1.021  -0.950 -1.021  -1.027 -0.979
1b#tos#t2#t2016065/L  -0.302 1.374  -0.392 1.374  -0.482 1.375  -0.526 1.447  -0.526 1.390  -0.526 1.299  -0.526 1.209  -0.504 1.128  -0.440 1.064  -0.436 0.975  -0.436 0.884  -0.436 0.794  -0.436 0.704  -0.436 0.613  -0.436 0.523  -0.436 0.433  -0.436 0.342  -0.436 0.252  -0.436 0.161  -0.436 0.071  -0.436 -0.019  -0.436 -0.110  -0.436 -0.200  -0.436 -0.291  -0.436 -0.381  -0.436 -0.471  -0.428 -0.553  -0.391 -0.607  -0.347 -0.653  -0.291 -0.687  -0.201 -0.687  -0.110 -0.687  -0.020 -0.687  0.071 -0.687  0.161 -0.687  0.251 -0.687  0.342 -0.687  0.432 -0.687  0.522 -0.687  0.613 -0.687  0.703 -0.687  0.794 -0.687  0.884 -0.687  0.973 -0.681  1.059 -0.652  1.148 -0.643  1.238 -0.643  1.329 -0.643  1.419 -0.643  1.491 -0.598
1b#tos#t2#t2016065/M  -0.553 0.746  -0.643 0.868  -0.643 0.685  -0.643 0.473  -0.643 0.262  -0.643 0.051  -0.643 -0.161  -0.643 -0.372  -0.643 -0.584  -0.642 -0.795  -0.600 -1.002  -0.598 -1.213  -0.508 -1.362  -0.508 -1.150  -0.508 -0.939  -0.508 -0.728  -0.508 -0.516  -0.508 -0.305  -0.508 -0.094  -0.508 0.118  -0.508 0.329  -0.508 0.540  -0.508 0.752  -0.634 0.837  -0.778 0.717  -0.778 0.505  -0.688 0.331  -0.603 0.205  -0.448 0.115  -0.236 0.115  -0.025 0.115  0.161 0.199  0.332 0.307  0.538 0.348  0.663 0.515  0.756 0.635  0.859 0.804  0.891 1.002  0.982 0.911  1.027 0.745  1.027 0.534  1.027 0.322  1.063 0.114  1.072 -0.096  1.072 -0.307  1.105 -0.505  1.162 -0.706  1.162 -0.917  1.207 -1.118  1.207 -1.329
1b#tos#t2#t2016065/N  -0.262 1.192  -0.410 1.148  -0.537 1.044  -0.558 0.873  -0.558 0.680  -0.558 0.487  -0.558 0.294  -0.596 0.118  -0.642 -0.067  -0.656 -0.258  -0.707 -0.439  -0.755 -0.621  -0.755 -0.813  -0.805 -0.986  -0.792 -0.978  -0.767 -0.787  -0.742 -0.596  -0.718 -0.405  -0.693 -0.214  -0.668 -0.022  -0.644 0.169  -0.619 0.360  -0.656 0.500  -0.607 0.357  -0.517 0.255  -0.390 0.116  -0.255 0.030  -0.195 -0.140  -0.091 -0.284  0.045 -0.407  0.165 -0.531  0.281 -0.660  0.380 -0.792  0.429 -0.954  0.528 -1.067  0.609 -0.950  0.650 -0.763  0.775 -0.673  0.775 -0.480  0.775 -0.287  0.832 -0.114  0.944 0.043  1.043 0.208  1.071 0.393  1.092 0.579  1.208 0.733  1.219 0.922  1.250 1.107  1.273 1.291  1.367 1.390
1b#tos#t2#t2016065/P  -0.206 0.909  -0.300 0.761  -0.253 0.554  -0.253 0.339  -0.253 0.125  -0.300 -0.084  -0.300 -0.299  -0.300 -0.513  -0.347 -0.717  -0.347 -0.932  -0.347 -1.146  -0.347 -1.361  -0.347 -1.576  -0.347 -1.597  -0.372 -1.384  -0.404 -1.172  -0.436 -0.960  -0.467 -0.747  -0.499 -0.535  -0.531 -0.323  -0.562 -0.110  -0.594 0.102  -0.625 0.314  -0.657 0.527  -0.746 0.672  -0.848 0.760  -0.669 0.833  -0.459 0.862  -0.315 0.959  -0.133 1.010  0.077 1.051  0.291 1.051  0.506 1.051  0.721 1.051  0.892 0.947  1.071 0.862  1.214 0.762  1.318 0.603  1.344 0.411  1.233 0.257  1.119 0.104  0.977 -0.035  0.816 -0.117  0.643 -0.208  0.522 -0.369  0.338 -0.441  0.132 -0.463  -0.072 -0.480  -0.227 -0.605  -0.347 -0.700
1b#tos#t2#t2016065/Q  0.057 -0.391  0.017 -0.601  -0.122 -0.708  -0.339 -0.708  -0.555 -0.708  -0.751 -0.633  -0.896 -0.530  -0.896 -0.314  -0.935 -0.103  -0.935 0.113  -0.935 0.330  -0.856 0.522  -0.843 0.733  -0.710 0.879  -0.591 1.025  -0.475 1.157  -0.268 1.197  -0.089 1.289  0.067 1.435  0.283 1.435  0.500 1.435  0.652 1.316  0.811 1.235  0.886 1.042  0.903 0.840  0.930 0.651  0.930 0.434  0.901 0.225  0.851 0.020  0.847 -0.194  0.692 -0.315  0.609 -0.482  0.500 -0.662  0.445 -0.828  0.246 -0.887  0.065 -0.978  -0.131 -1.026  -0.346 -1.020  -0.459 -0.851  -0.557 -0.671  -0.578 -0.460  -0.510 -0.312  -0.379 -0.192  -0.172 -0.153  0.023 -0.215  0.144 -0.375  0.295 -0.522  0.447 -0.662  0.573 -0.826  0.652 -0.986
