1b#tos#t2#t2024062/A  0.339 1.573  0.348 1.447  0.172 1.237  0.048 0.990  -0.076 0.742  -0.182 0.488  -0.276 0.232  -0.453 0.019  -0.539 -0.241  -0.679 -0.475  -0.807 -0.720  -0.920 -0.970  -0.927 -1.246  -0.965 -1.518  -0.891 -1.461  -0.776 -1.210  -0.660 -0.959  -0.544 -0.708  -0.428 -0.457  -0.312 -0.206  -0.196 0.045  -0.080 0.296  0.036 0.548  0.152 0.799  0.267 1.050  0.383 1.301  0.290 1.483  0.403 1.329  0.483 1.079  0.564 0.825  0.564 0.548  0.564 0.271  0.580 -0.003  0.724 -0.234  0.789 -0.488  0.789 -0.764  0.857 -1.013  0.924 -1.262  0.786 -1.117  0.623 -0.894  0.459 -0.671  0.296 -0.448  0.132 -0.225  -0.032 -0.002  -0.274 0.089  -0.551 0.089  -0.663 0.224  -0.386 0.224  -0.117 0.181  0.160 0.179
1b#tos#t2#t2024062/B  -0.385 1.280  -0.286 1.060  -0.286 0.784  -0.286 0.508  -0.286 0.232  -0.286 -0.044  -0.286 -0.320  -0.286 -0.596  -0.286 -0.872  -0.286 -1.148  -0.286 -1.424  -0.236 -1.692  -0.222 -1.435  -0.208 -1.159  -0.194 -0.883  -0.180 -0.608  -0.166 -0.332  -0.152 -0.056  -0.138 0.219  -0.284 0.385  -0.534 0.412  -0.534 0.688  -0.584 0.943  -0.521 1.193  -0.323 1.382  -0.051 1.429  0.225 1.429  0.501 1.429  0.736 1.330  0.924 1.163  0.956 0.900  0.807 0.731  0.716 0.493  0.460 0.402  0.274 0.206  0.012 0.147  -0.184 -0.012  -0.410 -0.012  -0.134 -0.012  0.134 -0.062  0.410 -0.062  0.648 -0.170  0.758 -0.394  0.750 -0.666  0.589 -0.876  0.350 -0.996  0.121 -1.146  -0.081 -1.254  -0.358 -1.254  -0.634 -1.254
1b#tos#t2#t2024062/C  0.387 1.149  0.442 1.195  0.502 1.195  0.402 1.195  0.301 1.195  0.200 1.195  0.102 1.186  0.018 1.130  -0.072 1.098  -0.143 1.027  -0.215 0.956  -0.286 0.885  -0.365 0.832  -0.466 0.832  -0.474 0.740  -0.522 0.665  -0.605 0.609  -0.610 0.511  -0.625 0.424  -0.655 0.354  -0.655 0.254  -0.655 0.153  -0.655 0.052  -0.647 -0.046  -0.610 -0.139  -0.610 -0.239  -0.572 -0.331  -0.565 -0.430  -0.530 -0.516  -0.468 -0.596  -0.408 -0.676  -0.371 -0.763  -0.291 -0.823  -0.210 -0.884  -0.111 -0.889  -0.011 -0.889  0.090 -0.889  0.191 -0.889  0.292 -0.889  0.392 -0.889  0.493 -0.889  0.594 -0.889  0.695 -0.889  0.795 -0.889  0.896 -0.889  0.960 -0.830  1.035 -0.769  1.125 -0.724  1.203 -0.663  1.293 -0.618
1b#tos#t2#t2024062/E  -0.430 0.699  -0.586 0.893  -0.698 1.066  -0.698 0.816  -0.698 0.565  -0.704 0.316  -0.736 0.068  -0.736 -0.182  -0.784 -0.425  -0.813 -0.671  -0.813 -0.921  -0.813 -1.171  -0.813 -1.422  -0.600 -1.481  -0.350 -1.481  -0.138 -1.443  0.088 -1.358  0.323 -1.279  0.560 -1.208  0.792 -1.139  0.911 -1.049  0.817 -0.817  0.724 -0.585  0.630 -0.353  0.537 -0.121  0.443 0.111  0.349 0.343  0.256 0.575  0.162 0.807  0.069 1.038  -0.178 1.043  -0.429 1.043  -0.339 1.010  -0.089 1.005  0.155 0.966  0.382 0.890  0.620 0.828  0.868 0.813  0.968 0.690  0.744 0.578  0.521 0.467  0.297 0.355  0.073 0.243  -0.156 0.146  -0.390 0.063  -0.359 -0.063  -0.110 -0.066  0.140 -0.066  0.390 -0.066  0.641 -0.066
1b#tos#t2#t2024062/G  0.357 1.120  0.324 1.323  0.214 1.482  0.083 1.572  -0.131 1.548  -0.315 1.426  -0.455 1.259  -0.574 1.075  -0.692 0.893  -0.755 0.686  -0.864 0.510  -0.909 0.335  -0.909 0.114  -0.909 -0.107  -0.909 -0.329  -0.888 -0.547  -0.777 -0.729  -0.635 -0.885  -0.478 -1.017  -0.267 -1.079  -0.048 -1.095  0.171 -1.082  0.384 -1.037  0.394 -0.865  0.314 -0.659  0.234 -0.453  0.154 -0.247  0.074 -0.041  -0.005 0.165  -0.085 0.371  -0.289 0.397  -0.313 0.395  -0.098 0.352  0.123 0.352  0.344 0.352  0.566 0.352  0.787 0.352  0.973 0.353  0.753 0.378  0.583 0.347  0.448 0.261  0.448 0.040  0.448 -0.181  0.448 -0.402  0.448 -0.623  0.448 -0.844  0.448 -1.065  0.448 -1.286  0.448 -1.507  0.448 -1.728
1b#tos#t2#t2024062/H  -0.547 1.086  -0.734 1.086  -0.804 1.202  -0.804 1.041  -0.804 0.855  -0.804 0.668  -0.804 0.482  -0.804 0.296  -0.804 0.110  -0.804 -0.076  -0.804 -0.262  -0.804 -0.448  -0.804 -0.635  -0.804 -0.821  -0.764 -1.000  -0.705 -0.842  -0.647 -0.665  -0.588 -0.489  -0.529 -0.312  -0.582 -0.162  -0.712 -0.069  -0.884 -0.007  -0.886 0.017  -0.700 0.017  -0.513 0.017  -0.328 0.018  -0.146 0.060  0.040 0.060  0.226 0.060  0.412 0.060  0.598 0.060  0.783 0.064  0.935 0.145  0.984 0.274  0.972 0.460  0.961 0.645  0.947 0.829  0.864 0.812  0.864 0.626  0.864 0.440  0.864 0.254  0.864 0.068  0.864 -0.118  0.920 -0.294  0.949 -0.474  0.949 -0.660  0.972 -0.845  1.012 -1.026  1.035 -1.208  1.035 -1.394
1b#tos#t2#t2024062/J  -0.895 0.638  -0.992 0.589  -1.118 0.559  -1.072 0.539  -0.940 0.539  -0.809 0.539  -0.677 0.539  -0.545 0.539  -0.416 0.562  -0.285 0.572  -0.154 0.580  -0.024 0.602  0.107 0.605  0.239 0.605  0.367 0.632  0.498 0.638  0.630 0.638  0.761 0.638  0.893 0.638  1.025 0.638  1.007 0.638  0.875 0.638  0.744 0.638  0.612 0.638  0.480 0.638  0.349 0.638  0.217 0.638  0.085 0.638  0.067 0.532  0.089 0.402  0.126 0.276  0.126 0.144  0.126 0.013  0.158 -0.115  0.159 -0.247  0.159 -0.378  0.159 -0.510  0.132 -0.635  0.120 -0.765  0.082 -0.891  0.060 -1.020  0.000 -1.133  -0.022 -1.256  -0.115 -1.350  -0.205 -1.444  -0.267 -1.552  -0.367 -1.635  -0.399 -1.742  -0.519 -1.787  -0.632 -1.833
1b#tos#t2#t2024062/K  -0.779 1.542  -0.739 1.656  -0.723 1.406  -0.698 1.157  -0.698 0.905  -0.698 0.654  -0.657 0.407  -0.647 0.156  -0.617 -0.094  -0.617 -0.345  -0.617 -0.597  -0.617 -0.848  -0.617 -1.100  -0.617 -1.351  -0.617 -1.603  -0.563 -1.668  -0.429 -1.455  -0.296 -1.241  -0.162 -1.028  -0.028 -0.815  0.105 -0.602  0.239 -0.389  0.372 -0.176  0.506 0.037  0.640 0.250  0.773 0.464  0.907 0.677  1.040 0.890  0.947 0.932  0.798 0.764  0.561 0.720  0.432 0.547  0.258 0.403  0.035 0.322  -0.160 0.165  -0.352 0.006  -0.549 -0.114  -0.598 -0.170  -0.385 -0.036  -0.172 0.098  0.041 0.232  0.254 0.366  0.413 0.475  0.343 0.371  0.518 0.202  0.648 -0.012  0.755 -0.236  0.886 -0.443  1.046 -0.622  1.133 -0.858
1b#tos#t2#t2024062/L  -0.388 1.549  -0.476 1.549  -0.508 1.472  -0.514 1.385  -0.514 1.297  -0.514 1.209  -0.514 1.121  -0.514 1.033  -0.514 0.944  -0.514 0.856  -0.514 0.768  -0.514 0.680  -0.514 0.592  -0.514 0.504  -0.514 0.416  -0.514 0.328  -0.514 0.240  -0.514 0.152  -0.514 0.064  -0.514 -0.024  -0.514 -0.112  -0.514 -0.200  -0.514 -0.288  -0.514 -0.376  -0.514 -0.464  -0.514 -0.552  -0.463 -0.589  -0.375 -0.589  -0.287 -0.589  -0.199 -0.589  -0.111 -0.589  -0.023 -0.589  0.065 -0.589  0.153 -0.589  0.241 -0.589  0.329 -0.589  0.417 -0.589  0.506 -0.589  0.594 -0.589  0.682 -0.589  0.770 -0.589  0.858 -0.589  0.946 -0.589  1.034 -0.589  1.122 -0.589  1.210 -0.589  1.298 -0.589  1.386 -0.589  1.474 -0.589  1.562 -0.589
1b#tos#t2#t2024062/N  -0.985 -0.907  -0.980 -1.022  -0.951 -0.873  -0.934 -0.722  -0.893 -0.574  -0.856 -0.425  -0.851 -0.273  -0.851 -0.119  -0.851 0.034  -0.851 0.187  -0.829 0.339  -0.781 0.484  -0.721 0.625  -0.716 0.777  -0.716 0.930  -0.716 1.084  -0.651 1.172  -0.552 1.074  -0.448 0.963  -0.412 0.822  -0.333 0.693  -0.301 0.543  -0.272 0.396  -0.181 0.286  -0.110 0.151  -0.046 0.019  -0.009 -0.123  0.080 -0.248  0.159 -0.379  0.256 -0.484  0.282 -0.623  0.402 -0.718  0.474 -0.840  0.557 -0.938  0.613 -1.052  0.745 -1.055  0.764 -0.908  0.789 -0.757  0.862 -0.623  0.911 -0.480  0.926 -0.328  0.926 -0.174  0.945 -0.023  0.971 0.129  0.993 0.280  0.993 0.434  0.998 0.586  1.027 0.736  1.061 0.884  1.061 1.038
1b#tos#t2#t2024062/O  0.031 0.677  0.110 0.743  0.096 0.874  -0.049 0.874  -0.194 0.874  -0.333 0.849  -0.442 0.771  -0.485 0.651  -0.610 0.576  -0.731 0.497  -0.808 0.378  -0.910 0.285  -0.992 0.166  -1.011 0.029  -1.033 -0.107  -1.033 -0.252  -1.033 -0.397  -0.996 -0.536  -0.933 -0.666  -0.863 -0.793  -0.761 -0.896  -0.635 -0.942  -0.521 -1.018  -0.378 -1.026  -0.238 -1.057  -0.093 -1.057  0.052 -1.057  0.183 -1.023  0.309 -0.978  0.447 -0.932  0.578 -0.874  0.694 -0.787  0.716 -0.653  0.823 -0.564  0.852 -0.421  0.894 -0.283  0.898 -0.138  0.918 0.005  0.938 0.148  0.938 0.293  0.938 0.438  0.938 0.583  0.909 0.720  0.804 0.795  0.667 0.820  0.551 0.907  0.408 0.913  0.264 0.911  0.134 0.846  -0.008 0.834
1b#tos#t2#t2024062/P  -0.124 1.048  -0.195 1.033  -0.195 0.833  -0.195 0.632  -0.195 0.431  -0.195 0.231  -0.217 0.032  -0.231 -0.168  -0.231 -0.368  -0.282 -0.560  -0.302 -0.758  -0.302 -0.958  -0.302 -1.159  -0.302 -1.360  -0.272 -1.557  -0.266 -1.757  -0.230 -1.853  -0.227 -1.653  -0.224 -1.452  -0.222 -1.252  -0.219 -1.051  -0.216 -0.850  -0.213 -0.650  -0.210 -0.449  -0.207 -0.248  -0.205 -0.048  -0.202 0.153  -0.199 0.353  -0.196 0.554  -0.268 0.731  -0.373 0.888  -0.373 1.089  -0.303 1.260  -0.102 1.261  0.063 1.297  0.263 1.297  0.443 1.226  0.622 1.154  0.787 1.048  0.868 0.873  0.920 0.704  0.941 0.516  0.899 0.332  0.826 0.167  0.647 0.082  0.490 -0.043  0.324 -0.156  0.161 -0.273  -0.030 -0.301  -0.231 -0.301
