1b#tos#t3#t3054062/C  0.481 1.366  0.379 1.298  0.365 1.183  0.365 1.061  0.365 0.939  0.365 0.817  0.365 0.695  0.326 0.648  0.248 0.722  0.179 0.815  0.063 0.850  -0.019 0.901  -0.103 0.939  -0.225 0.939  -0.342 0.910  -0.454 0.888  -0.500 0.778  -0.600 0.711  -0.671 0.613  -0.720 0.509  -0.720 0.387  -0.759 0.304  -0.759 0.182  -0.759 0.059  -0.759 -0.063  -0.759 -0.185  -0.720 -0.269  -0.720 -0.391  -0.682 -0.497  -0.621 -0.594  -0.556 -0.668  -0.501 -0.778  -0.412 -0.843  -0.335 -0.917  -0.255 -0.991  -0.141 -0.998  -0.018 -0.998  0.104 -0.998  0.226 -0.998  0.348 -0.998  0.462 -0.978  0.549 -0.892  0.663 -0.868  0.772 -0.823  0.855 -0.754  0.960 -0.727  1.063 -0.684  1.105 -0.572  1.213 -0.537  1.295 -0.494
1b#tos#t3#t3054062/F  -0.304 1.016  -0.482 1.016  -0.555 0.969  -0.377 0.969  -0.199 0.969  -0.028 0.924  0.150 0.922  0.328 0.922  0.506 0.922  0.678 0.898  0.851 0.876  1.029 0.876  1.078 0.878  0.900 0.886  0.722 0.893  0.544 0.901  0.366 0.908  0.189 0.915  0.011 0.918  -0.154 0.852  -0.258 0.759  -0.258 0.581  -0.258 0.403  -0.258 0.225  -0.258 0.047  -0.281 -0.128  -0.304 -0.302  -0.304 -0.480  -0.304 -0.658  -0.304 -0.836  -0.351 -1.003  -0.351 -1.182  -0.351 -1.360  -0.398 -1.518  -0.398 -1.696  -0.383 -1.603  -0.363 -1.426  -0.343 -1.249  -0.324 -1.072  -0.304 -0.895  -0.284 -0.718  -0.265 -0.541  -0.372 -0.478  -0.245 -0.478  -0.067 -0.478  0.111 -0.478  0.289 -0.478  0.467 -0.478  0.645 -0.473  0.816 -0.431
1b#tos#t3#t3054062/G  0.678 0.895  0.580 1.022  0.414 1.143  0.299 1.276  0.116 1.318  -0.109 1.318  -0.334 1.318  -0.531 1.271  -0.698 1.149  -0.841 0.989  -0.926 0.781  -1.008 0.571  -1.015 0.348  -1.032 0.125  -1.058 -0.096  -1.058 -0.322  -1.015 -0.540  -0.901 -0.731  -0.732 -0.871  -0.547 -0.968  -0.321 -0.968  -0.096 -0.968  0.087 -0.925  0.260 -0.799  0.383 -0.657  0.439 -0.504  0.311 -0.318  0.184 -0.132  0.057 0.054  -0.070 0.240  -0.282 0.227  -0.169 0.217  0.056 0.217  0.281 0.217  0.507 0.217  0.732 0.217  0.957 0.217  0.865 0.286  0.660 0.379  0.446 0.429  0.382 0.235  0.382 0.010  0.405 -0.210  0.466 -0.421  0.466 -0.646  0.466 -0.871  0.466 -1.096  0.466 -1.322  0.466 -1.547  0.466 -1.772
1b#tos#t3#t3054062/I  -0.218 1.137  -0.344 1.137  -0.407 1.097  -0.281 1.097  -0.155 1.097  -0.029 1.097  0.096 1.097  0.222 1.097  0.348 1.097  0.474 1.097  0.600 1.097  0.520 1.107  0.395 1.120  0.269 1.132  0.184 1.097  0.062 1.093  0.062 0.967  0.022 0.881  0.043 0.777  0.062 0.670  0.062 0.544  0.062 0.418  0.062 0.292  0.062 0.166  0.102 0.050  0.102 -0.076  0.102 -0.202  0.102 -0.327  0.102 -0.453  0.102 -0.579  0.102 -0.705  0.098 -0.829  0.062 -0.940  0.021 -1.018  -0.103 -0.997  -0.227 -0.977  -0.351 -0.956  -0.473 -0.963  -0.595 -0.985  -0.691 -1.057  -0.624 -1.105  -0.502 -1.130  -0.378 -1.145  -0.253 -1.145  -0.127 -1.145  -0.001 -1.145  0.125 -1.145  0.251 -1.145  0.377 -1.145  0.502 -1.145
1b#tos#t3#t3054062/J  -0.544 0.746  -0.544 0.717  -0.490 0.793  -0.372 0.823  -0.248 0.823  -0.124 0.823  0.001 0.823  0.125 0.823  0.250 0.823  0.355 0.854  0.451 0.900  0.575 0.900  0.700 0.900  0.824 0.900  0.808 0.896  0.684 0.890  0.560 0.883  0.435 0.877  0.311 0.870  0.187 0.864  0.079 0.862  0.127 0.770  0.157 0.651  0.186 0.534  0.216 0.417  0.225 0.294  0.225 0.170  0.225 0.045  0.225 -0.079  0.225 -0.203  0.225 -0.328  0.187 -0.443  0.186 -0.568  0.186 -0.692  0.158 -0.810  0.120 -0.925  0.071 -1.031  0.004 -1.128  -0.044 -1.210  -0.124 -1.256  -0.234 -1.292  -0.320 -1.330  -0.444 -1.330  -0.568 -1.322  -0.660 -1.264  -0.773 -1.253  -0.874 -1.184  -0.917 -1.086  -0.967 -0.993  -1.044 -0.946
1b#tos#t3#t3054062/L  -0.151 1.499  -0.167 1.571  -0.218 1.632  -0.259 1.604  -0.259 1.516  -0.259 1.428  -0.259 1.340  -0.259 1.252  -0.259 1.164  -0.259 1.076  -0.259 0.988  -0.259 0.900  -0.259 0.812  -0.259 0.724  -0.259 0.636  -0.259 0.548  -0.259 0.460  -0.259 0.372  -0.259 0.284  -0.259 0.196  -0.259 0.108  -0.259 0.020  -0.259 -0.068  -0.259 -0.156  -0.259 -0.244  -0.288 -0.325  -0.295 -0.411  -0.295 -0.499  -0.295 -0.587  -0.295 -0.675  -0.295 -0.763  -0.302 -0.844  -0.273 -0.844  -0.185 -0.844  -0.097 -0.844  -0.009 -0.844  0.079 -0.844  0.167 -0.844  0.255 -0.844  0.343 -0.844  0.431 -0.844  0.519 -0.844  0.607 -0.844  0.694 -0.857  0.779 -0.878  0.831 -0.916  0.919 -0.916  1.007 -0.916  1.095 -0.916  1.146 -0.880
1b#tos#t3#t3054062/N  -0.571 0.844  -0.768 0.889  -0.807 0.834  -0.807 0.593  -0.807 0.351  -0.807 0.110  -0.807 -0.131  -0.822 -0.371  -0.846 -0.610  -0.846 -0.851  -0.846 -1.093  -0.844 -1.149  -0.839 -0.908  -0.834 -0.666  -0.829 -0.425  -0.824 -0.184  -0.819 0.057  -0.814 0.299  -0.809 0.540  -0.810 0.714  -0.630 0.588  -0.500 0.388  -0.341 0.228  -0.198 0.038  -0.027 -0.132  0.127 -0.315  0.246 -0.523  0.433 -0.671  0.585 -0.848  0.655 -0.877  0.672 -0.637  0.689 -0.396  0.706 -0.155  0.723 0.086  0.740 0.326  0.757 0.567  0.774 0.808  0.791 1.048  0.807 1.289  0.807 1.230  0.846 0.995  0.846 0.754  0.846 0.512  0.846 0.271  0.846 0.030  0.846 -0.212  0.807 -0.448  0.807 -0.689  0.807 -0.931  0.846 -1.163
1b#tos#t3#t3054062/O  0.202 0.481  0.202 0.641  0.161 0.791  0.111 0.904  0.047 1.027  -0.112 1.027  -0.272 1.027  -0.432 1.027  -0.481 0.890  -0.562 0.763  -0.668 0.646  -0.716 0.494  -0.753 0.339  -0.753 0.179  -0.753 0.020  -0.753 -0.140  -0.753 -0.300  -0.753 -0.459  -0.753 -0.619  -0.708 -0.768  -0.708 -0.928  -0.614 -1.022  -0.526 -1.145  -0.433 -1.247  -0.307 -1.329  -0.151 -1.337  0.009 -1.337  0.112 -1.247  0.265 -1.229  0.377 -1.116  0.475 -0.997  0.571 -0.877  0.658 -0.746  0.702 -0.631  0.747 -0.490  0.794 -0.359  0.838 -0.227  0.838 -0.067  0.838 0.092  0.814 0.245  0.747 0.384  0.703 0.526  0.622 0.652  0.604 0.802  0.452 0.845  0.303 0.890  0.181 0.981  0.021 0.981  -0.139 0.981  -0.298 0.981
1b#tos#t3#t3054062/Q  -0.425 0.922  -0.137 0.922  0.152 0.922  0.336 1.026  0.150 1.214  -0.130 1.248  -0.404 1.186  -0.569 1.007  -0.757 0.828  -0.837 0.571  -0.866 0.288  -0.897 0.005  -0.897 -0.284  -0.897 -0.573  -0.815 -0.828  -0.643 -1.024  -0.428 -1.162  -0.144 -1.182  0.069 -1.097  0.263 -0.892  0.377 -0.665  0.481 -0.407  0.517 -0.134  0.517 0.155  0.517 0.444  0.445 0.709  0.300 0.922  0.172 1.122  -0.029 1.201  -0.096 0.920  -0.162 0.639  -0.229 0.358  -0.296 0.078  -0.362 -0.203  -0.429 -0.484  -0.496 -0.765  -0.534 -1.024  -0.570 -0.771  -0.533 -0.492  -0.353 -0.299  -0.168 -0.130  0.121 -0.130  0.365 -0.199  0.534 -0.356  0.729 -0.549  0.920 -0.710  1.194 -0.746  1.444 -0.700  1.674 -0.532  1.823 -0.348
1b#tos#t3#t3054062/R  -0.326 1.234  -0.476 1.327  -0.514 1.161  -0.514 0.917  -0.514 0.674  -0.514 0.430  -0.514 0.187  -0.514 -0.057  -0.514 -0.300  -0.514 -0.544  -0.514 -0.787  -0.535 -1.026  -0.552 -1.266  -0.512 -1.174  -0.507 -0.931  -0.503 -0.687  -0.499 -0.444  -0.495 -0.200  -0.491 0.043  -0.486 0.287  -0.482 0.530  -0.478 0.774  -0.476 1.017  -0.327 1.177  -0.088 1.197  0.147 1.159  0.370 1.083  0.553 0.942  0.652 0.779  0.689 0.573  0.576 0.442  0.461 0.291  0.313 0.146  0.137 0.018  0.012 -0.120  -0.231 -0.120  -0.475 -0.120  -0.386 -0.103  -0.143 -0.079  0.099 -0.055  0.267 -0.044  0.433 -0.206  0.576 -0.382  0.715 -0.563  0.846 -0.766  0.968 -0.970  1.064 -1.167  1.259 -1.301  1.404 -1.427  1.554 -1.549
1b#tos#t3#t3054062/U  -0.697 1.229  -0.697 1.189  -0.697 1.072  -0.697 0.955  -0.729 0.851  -0.774 0.753  -0.774 0.636  -0.774 0.519  -0.774 0.402  -0.774 0.285  -0.774 0.168  -0.774 0.051  -0.774 -0.066  -0.774 -0.183  -0.774 -0.300  -0.739 -0.411  -0.697 -0.489  -0.676 -0.598  -0.629 -0.703  -0.571 -0.769  -0.505 -0.842  -0.428 -0.883  -0.328 -0.922  -0.250 -0.961  -0.133 -0.961  -0.016 -0.961  0.100 -0.952  0.212 -0.922  0.318 -0.876  0.389 -0.807  0.495 -0.766  0.532 -0.658  0.623 -0.589  0.657 -0.491  0.686 -0.386  0.751 -0.295  0.801 -0.209  0.801 -0.092  0.801 0.025  0.801 0.142  0.801 0.259  0.801 0.376  0.801 0.493  0.812 0.608  0.840 0.721  0.840 0.838  0.840 0.955  0.840 1.072  0.840 1.189  0.840 1.306
