1b#tos#t3#t3073065/D  -0.240 0.411  -0.366 0.595  -0.526 0.755  -0.583 0.924  -0.583 1.149  -0.411 1.039  -0.400 0.814  -0.356 0.593  -0.354 0.367  -0.354 0.141  -0.354 -0.085  -0.354 -0.310  -0.241 -0.502  -0.240 -0.728  -0.240 -0.953  -0.183 -1.110  -0.190 -0.884  -0.196 -0.658  -0.203 -0.432  -0.210 -0.207  -0.216 0.019  -0.223 0.245  -0.230 0.471  -0.236 0.696  -0.293 0.869  -0.519 0.869  -0.421 0.983  -0.195 0.983  0.031 0.983  0.257 0.983  0.482 0.983  0.689 0.898  0.899 0.814  1.098 0.722  1.190 0.524  1.190 0.298  1.190 0.072  1.150 -0.135  0.974 -0.276  0.843 -0.454  0.701 -0.620  0.539 -0.773  0.398 -0.950  0.220 -1.088  0.020 -1.189  -0.187 -1.278  -0.392 -1.371  -0.612 -1.418  -0.838 -1.418  -0.926 -1.361
1b#tos#t3#t3073065/E  -0.378 1.332  -0.493 1.225  -0.636 1.079  -0.706 1.012  -0.485 1.012  -0.264 1.012  -0.043 1.012  0.173 1.057  0.393 1.065  0.615 1.065  0.777 1.119  0.562 1.071  0.348 1.014  0.134 0.957  -0.079 0.898  -0.293 0.852  -0.459 0.718  -0.645 0.636  -0.591 0.437  -0.579 0.217  -0.502 0.016  -0.378 -0.154  -0.365 -0.374  -0.325 -0.590  -0.249 -0.793  -0.197 -1.002  -0.122 -1.206  0.086 -1.227  0.307 -1.227  0.528 -1.227  0.705 -1.095  0.910 -1.037  1.108 -0.938  1.314 -0.859  1.130 -0.797  0.918 -0.735  0.705 -0.674  0.493 -0.612  0.280 -0.551  0.068 -0.489  -0.145 -0.428  -0.357 -0.366  -0.570 -0.305  -0.698 -0.356  -0.858 -0.417  -0.658 -0.361  -0.445 -0.302  -0.229 -0.257  -0.013 -0.214  0.209 -0.214
1b#tos#t3#t3073065/F  -0.276 0.977  -0.412 0.898  -0.565 0.832  -0.655 0.691  -0.471 0.691  -0.321 0.758  -0.199 0.882  -0.015 0.882  0.168 0.894  0.348 0.930  0.532 0.930  0.707 0.967  0.885 0.998  1.058 1.025  0.874 1.031  0.692 1.057  0.510 1.083  0.328 1.109  0.202 1.042  0.053 0.935  -0.091 0.820  -0.216 0.687  -0.318 0.534  -0.372 0.366  -0.372 0.182  -0.372 -0.002  -0.372 -0.186  -0.372 -0.370  -0.372 -0.554  -0.345 -0.735  -0.324 -0.917  -0.307 -1.094  -0.177 -1.224  -0.133 -1.389  -0.115 -1.555  -0.044 -1.543  -0.064 -1.361  -0.085 -1.178  -0.105 -0.995  -0.125 -0.812  -0.247 -0.742  -0.400 -0.835  -0.385 -0.831  -0.213 -0.790  -0.035 -0.757  0.140 -0.699  0.322 -0.689  0.503 -0.653  0.686 -0.647  0.870 -0.647
1b#tos#t3#t3073065/G  0.195 1.024  0.379 1.024  0.389 1.197  0.277 1.274  0.104 1.315  -0.080 1.315  -0.251 1.262  -0.419 1.190  -0.582 1.113  -0.618 0.933  -0.719 0.788  -0.849 0.658  -0.901 0.487  -0.919 0.306  -0.919 0.122  -0.919 -0.061  -0.919 -0.244  -0.919 -0.428  -0.893 -0.608  -0.840 -0.782  -0.749 -0.940  -0.598 -1.031  -0.418 -1.060  -0.235 -1.060  -0.052 -1.060  0.132 -1.060  0.281 -0.959  0.432 -0.854  0.557 -0.726  0.583 -0.548  0.530 -0.382  0.373 -0.317  0.226 -0.208  0.049 -0.188  -0.134 -0.188  -0.315 -0.200  -0.483 -0.243  -0.342 -0.285  -0.168 -0.228  0.008 -0.177  0.188 -0.141  0.363 -0.091  0.546 -0.091  0.730 -0.091  0.910 -0.070  1.088 -0.025  1.262 0.030  1.428 0.103  1.611 0.103  1.601 0.103
1b#tos#t3#t3073065/H  -0.872 1.180  -0.928 1.144  -0.928 0.941  -0.928 0.738  -0.928 0.534  -0.908 0.333  -0.875 0.132  -0.872 -0.071  -0.872 -0.274  -0.844 -0.473  -0.816 -0.672  -0.816 -0.875  -0.764 -1.057  -0.700 -1.213  -0.650 -1.016  -0.601 -0.818  -0.552 -0.621  -0.502 -0.424  -0.453 -0.227  -0.404 -0.029  -0.422 0.115  -0.625 0.115  -0.467 0.115  -0.264 0.115  -0.061 0.115  0.143 0.115  0.346 0.115  0.543 0.130  0.703 0.248  0.752 0.247  0.584 0.243  0.584 0.446  0.584 0.649  0.528 0.797  0.528 1.000  0.552 1.180  0.673 1.075  0.752 0.895  0.752 0.692  0.752 0.489  0.752 0.285  0.752 0.082  0.752 -0.121  0.752 -0.325  0.790 -0.519  0.864 -0.705  0.864 -0.908  0.898 -1.106  0.920 -1.305  0.920 -1.509
1b#tos#t3#t3073065/I  -0.729 1.226  -0.820 1.118  -0.684 1.090  -0.520 1.090  -0.356 1.090  -0.192 1.090  -0.028 1.090  0.136 1.090  0.300 1.090  0.464 1.090  0.472 1.044  0.399 1.135  0.235 1.135  0.071 1.135  -0.093 1.135  -0.185 1.063  -0.185 0.899  -0.185 0.735  -0.185 0.571  -0.185 0.407  -0.185 0.243  -0.185 0.079  -0.185 -0.085  -0.185 -0.249  -0.185 -0.412  -0.170 -0.573  -0.071 -0.701  -0.049 -0.856  -0.049 -1.020  -0.007 -0.945  -0.098 -0.808  -0.189 -0.672  -0.276 -0.551  -0.310 -0.690  -0.464 -0.745  -0.616 -0.806  -0.653 -0.905  -0.489 -0.905  -0.325 -0.905  -0.161 -0.905  -0.006 -0.876  0.139 -0.814  0.303 -0.814  0.465 -0.789  0.627 -0.769  0.791 -0.769  0.955 -0.769  1.119 -0.769  1.283 -0.769  1.447 -0.769
1b#tos#t3#t3073065/J  -0.690 0.837  -0.773 0.755  -0.847 0.646  -0.734 0.654  -0.602 0.675  -0.469 0.675  -0.336 0.675  -0.221 0.726  -0.117 0.809  0.000 0.870  0.124 0.919  0.255 0.945  0.385 0.974  0.515 0.999  0.648 0.999  0.781 0.999  0.810 0.895  0.735 0.837  0.602 0.837  0.469 0.837  0.335 0.837  0.283 0.756  0.202 0.704  0.202 0.571  0.202 0.438  0.202 0.305  0.207 0.172  0.254 0.049  0.326 -0.063  0.358 -0.193  0.364 -0.325  0.364 -0.458  0.364 -0.591  0.364 -0.725  0.346 -0.856  0.287 -0.959  0.178 -1.024  0.111 -1.139  0.047 -1.244  -0.077 -1.294  -0.160 -1.387  -0.289 -1.393  -0.422 -1.393  -0.556 -1.393  -0.609 -1.314  -0.658 -1.190  -0.690 -1.063  -0.690 -0.930  -0.690 -0.797  -0.690 -0.663
1b#tos#t3#t3073065/L  -0.426 1.239  -0.523 1.239  -0.619 1.239  -0.677 1.166  -0.708 1.074  -0.764 0.999  -0.815 0.923  -0.815 0.827  -0.815 0.730  -0.815 0.634  -0.815 0.537  -0.815 0.441  -0.815 0.345  -0.815 0.248  -0.815 0.152  -0.815 0.055  -0.815 -0.041  -0.815 -0.138  -0.806 -0.231  -0.752 -0.312  -0.693 -0.387  -0.625 -0.456  -0.554 -0.521  -0.474 -0.574  -0.387 -0.606  -0.291 -0.606  -0.195 -0.606  -0.098 -0.606  -0.002 -0.606  0.095 -0.606  0.191 -0.606  0.288 -0.606  0.372 -0.564  0.455 -0.514  0.538 -0.465  0.633 -0.460  0.729 -0.460  0.817 -0.437  0.893 -0.376  0.968 -0.316  1.044 -0.257  1.124 -0.204  1.205 -0.150  1.285 -0.097  1.374 -0.072  1.419 -0.021  1.368 0.025  1.272 0.025  1.176 0.025  1.128 -0.023
1b#tos#t3#t3073065/M  -0.610 -0.957  -0.777 -0.957  -0.782 -1.120  -0.854 -1.129  -0.946 -1.008  -0.971 -0.846  -0.997 -0.682  -0.997 -0.515  -0.997 -0.347  -0.997 -0.180  -0.997 -0.012  -0.997 0.155  -0.997 0.323  -0.978 0.482  -0.895 0.626  -0.771 0.727  -0.612 0.764  -0.445 0.764  -0.281 0.736  -0.216 0.615  -0.180 0.454  -0.180 0.286  -0.139 0.125  -0.137 -0.042  -0.137 -0.209  -0.100 -0.372  -0.094 -0.539  0.016 -0.504  0.048 -0.346  0.079 -0.182  0.079 -0.015  0.116 0.146  0.205 0.288  0.240 0.451  0.356 0.541  0.430 0.678  0.560 0.769  0.719 0.807  0.886 0.807  0.997 0.711  1.117 0.606  1.150 0.441  1.159 0.275  1.199 0.112  1.232 -0.052  1.241 -0.218  1.278 -0.380  1.284 -0.546  1.327 -0.704  1.370 -0.828
1b#tos#t3#t3073065/R  -0.296 1.455  -0.508 1.494  -0.508 1.214  -0.455 0.941  -0.455 0.662  -0.394 0.391  -0.349 0.117  -0.308 -0.155  -0.243 -0.424  -0.243 -0.704  -0.243 -0.984  -0.243 -1.263  -0.252 -1.388  -0.285 -1.111  -0.318 -0.833  -0.351 -0.555  -0.384 -0.278  -0.417 -0.000  -0.450 0.277  -0.483 0.555  -0.557 0.813  -0.721 1.003  -0.580 1.224  -0.330 1.296  -0.050 1.296  0.229 1.296  0.486 1.197  0.606 0.951  0.742 0.707  0.766 0.433  0.766 0.153  0.700 -0.111  0.532 -0.292  0.270 -0.390  0.030 -0.530  -0.221 -0.616  -0.501 -0.616  -0.668 -0.472  -0.668 -0.192  -0.456 -0.032  -0.176 -0.032  0.100 -0.054  0.369 -0.131  0.593 -0.290  0.816 -0.453  0.992 -0.669  1.031 -0.936  1.084 -1.193  1.076 -1.465  0.925 -1.306
1b#tos#t3#t3073065/S  0.663 0.642  0.711 0.718  0.711 0.842  0.672 0.957  0.566 0.983  0.536 1.103  0.460 1.164  0.336 1.164  0.212 1.164  0.088 1.164  -0.036 1.164  -0.159 1.164  -0.283 1.164  -0.383 1.091  -0.478 1.014  -0.517 0.897  -0.523 0.774  -0.523 0.650  -0.523 0.526  -0.507 0.405  -0.456 0.296  -0.357 0.222  -0.255 0.153  -0.144 0.097  -0.040 0.031  0.059 -0.043  0.173 -0.083  0.295 -0.103  0.379 -0.155  0.435 -0.249  0.530 -0.325  0.585 -0.435  0.616 -0.552  0.616 -0.676  0.569 -0.780  0.482 -0.868  0.394 -0.955  0.294 -1.027  0.198 -1.104  0.097 -1.161  -0.026 -1.161  -0.150 -1.161  -0.274 -1.161  -0.398 -1.161  -0.521 -1.161  -0.645 -1.161  -0.765 -1.153  -0.834 -1.050  -0.929 -0.991  -0.950 -0.876
