1c#apa#apa00#app0006/f  0.129 0.811  0.223 0.864  0.290 0.975  0.343 1.099  0.397 1.192  0.397 1.339  0.397 1.485  0.323 1.559  0.177 1.559  0.097 1.473  0.004 1.362  -0.041 1.228  -0.084 1.099  -0.084 0.952  -0.084 0.806  -0.084 0.659  -0.078 0.513  -0.049 0.370  -0.008 0.230  0.023 0.091  0.043 -0.052  0.076 -0.194  0.102 -0.336  0.129 -0.478  0.129 -0.625  0.129 -0.771  0.129 -0.918  0.129 -1.064  0.129 -1.211  0.076 -1.335  0.076 -1.482  0.014 -1.603  -0.061 -1.701  -0.102 -1.579  -0.122 -1.434  -0.143 -1.289  -0.164 -1.144  -0.185 -0.999  -0.205 -0.854  -0.226 -0.709  -0.247 -0.564  -0.267 -0.418  -0.288 -0.273  -0.309 -0.128  -0.330 0.017  -0.350 0.162  -0.288 0.276  -0.191 0.326  -0.048 0.330  0.076 0.383
1c#apa#apa00#app0006/o  0.250 1.046  0.242 1.170  0.127 1.186  0.102 1.294  -0.030 1.294  -0.150 1.264  -0.243 1.171  -0.336 1.078  -0.368 0.959  -0.435 0.855  -0.491 0.747  -0.534 0.633  -0.623 0.536  -0.682 0.418  -0.739 0.300  -0.739 0.168  -0.739 0.036  -0.739 -0.096  -0.739 -0.227  -0.739 -0.359  -0.739 -0.491  -0.711 -0.616  -0.652 -0.734  -0.580 -0.843  -0.491 -0.938  -0.481 -1.066  -0.387 -1.159  -0.264 -1.178  -0.132 -1.178  -0.000 -1.178  0.132 -1.178  0.260 -1.169  0.353 -1.076  0.446 -0.983  0.539 -0.889  0.621 -0.791  0.621 -0.660  0.644 -0.537  0.738 -0.444  0.745 -0.315  0.745 -0.183  0.745 -0.052  0.745 0.080  0.745 0.212  0.745 0.344  0.745 0.476  0.720 0.602  0.661 0.720  0.591 0.830  0.498 0.923
1c#apa#apa00#app0006/x  -1.338 0.592  -1.224 0.683  -1.158 0.821  -1.000 0.931  -0.911 1.050  -0.724 1.092  -0.580 1.237  -0.393 1.278  -0.310 1.157  -0.310 0.953  -0.310 0.749  -0.310 0.544  -0.310 0.340  -0.310 0.136  -0.310 -0.069  -0.310 -0.273  -0.200 -0.432  -0.112 -0.551  -0.039 -0.707  0.033 -0.881  0.226 -0.894  0.383 -1.008  0.559 -1.076  0.744 -1.122  0.828 -1.008  0.817 -0.804  0.806 -0.600  0.795 -0.396  0.785 -0.192  0.774 0.012  0.763 0.217  0.752 0.421  0.742 0.625  0.731 0.829  0.720 1.033  0.605 0.910  0.523 0.739  0.459 0.561  0.338 0.400  0.246 0.218  0.155 0.035  0.021 -0.118  -0.070 -0.300  -0.161 -0.483  -0.286 -0.642  -0.310 -0.837  -0.414 -0.998  -0.424 -1.198  -0.447 -1.397  -0.538 -1.580
1c#apa#apa00#app0006/y  -0.709 0.721  -0.705 0.845  -0.628 0.943  -0.590 1.060  -0.497 1.112  -0.383 1.140  -0.350 1.046  -0.350 0.921  -0.383 0.808  -0.410 0.694  -0.410 0.568  -0.410 0.442  -0.410 0.316  -0.373 0.206  -0.257 0.183  -0.160 0.253  -0.111 0.359  -0.052 0.460  0.008 0.561  0.008 0.687  0.068 0.788  0.068 0.914  0.087 1.020  0.128 0.935  0.128 0.809  0.155 0.694  0.188 0.582  0.188 0.456  0.247 0.355  0.247 0.229  0.283 0.112  0.307 -0.008  0.307 -0.134  0.307 -0.260  0.321 -0.382  0.367 -0.497  0.367 -0.623  0.367 -0.749  0.367 -0.874  0.367 -1.000  0.367 -1.126  0.367 -1.252  0.367 -1.378  0.358 -1.500  0.307 -1.605  0.307 -1.730  0.241 -1.790  0.116 -1.790  -0.010 -1.790  -0.111 -1.730
1c#apa#apa00#app0006/z  -0.826 0.743  -1.043 0.743  -0.948 0.854  -0.842 0.965  -0.684 1.107  -0.500 1.188  -0.329 1.299  -0.158 1.410  0.027 1.485  0.229 1.521  0.396 1.471  0.326 1.270  0.276 1.067  0.174 0.892  0.063 0.721  0.051 0.509  -0.048 0.334  -0.048 0.117  -0.159 -0.054  -0.159 -0.271  -0.166 -0.485  -0.270 -0.659  -0.270 -0.876  -0.270 -1.093  -0.270 -1.310  -0.112 -1.368  0.060 -1.259  0.174 -1.155  0.382 -1.146  0.488 -1.034  0.618 -0.948  0.810 -0.923  1.027 -0.923  1.109 -0.895  0.911 -0.808  0.712 -0.721  0.513 -0.634  0.315 -0.547  0.116 -0.460  -0.083 -0.374  -0.282 -0.287  -0.480 -0.200  -0.604 -0.228  -0.527 -0.146  -0.356 -0.035  -0.250 0.077  -0.070 0.166  0.134 0.211  0.339 0.280  0.507 0.410
1c#apa#apa00#app0006/u  -1.091 1.007  -1.032 1.139  -0.841 1.139  -0.782 1.270  -0.591 1.270  -0.564 1.107  -0.564 0.916  -0.564 0.725  -0.564 0.535  -0.567 0.345  -0.696 0.208  -0.696 0.017  -0.696 -0.174  -0.696 -0.365  -0.696 -0.555  -0.696 -0.746  -0.696 -0.937  -0.677 -1.120  -0.532 -1.232  -0.342 -1.232  -0.195 -1.127  -0.060 -0.992  -0.010 -0.837  0.133 -0.760  0.218 -0.590  0.256 -0.413  0.358 -0.265  0.358 -0.074  0.358 0.117  0.358 0.308  0.464 0.455  0.490 0.635  0.490 0.826  0.490 1.016  0.558 1.139  0.622 1.011  0.490 0.875  0.490 0.684  0.490 0.494  0.490 0.303  0.490 0.112  0.490 -0.079  0.490 -0.270  0.490 -0.460  0.490 -0.651  0.625 -0.709  0.753 -0.846  0.801 -1.017  0.958 -1.101  1.148 -1.101
1c#apa#apa00#app0006/l  0.154 1.717  0.154 1.639  0.154 1.561  0.083 1.554  0.072 1.486  0.072 1.408  0.045 1.336  0.011 1.267  -0.009 1.193  -0.023 1.118  -0.058 1.049  -0.091 0.978  -0.091 0.900  -0.091 0.822  -0.091 0.744  -0.091 0.666  -0.091 0.588  -0.091 0.510  -0.091 0.432  -0.091 0.354  -0.091 0.276  -0.091 0.198  -0.091 0.120  -0.091 0.042  -0.091 -0.036  -0.091 -0.114  -0.091 -0.193  -0.091 -0.271  -0.091 -0.349  -0.091 -0.427  -0.091 -0.505  -0.091 -0.583  -0.091 -0.661  -0.091 -0.739  -0.091 -0.817  -0.091 -0.895  -0.091 -0.973  -0.091 -1.051  -0.091 -1.129  -0.022 -1.138  -0.009 -1.204  -0.009 -1.282  0.049 -1.301  0.072 -1.247  0.124 -1.220  0.202 -1.220  0.267 -1.189  0.324 -1.138  0.402 -1.138  0.480 -1.138
1c#apa#apa00#app0006/u  -0.484 1.656  -0.561 1.579  -0.627 1.497  -0.627 1.388  -0.627 1.280  -0.627 1.171  -0.627 1.062  -0.627 0.953  -0.627 0.844  -0.627 0.735  -0.627 0.626  -0.627 0.518  -0.627 0.409  -0.627 0.300  -0.627 0.191  -0.624 0.083  -0.547 0.006  -0.484 -0.077  -0.484 -0.185  -0.484 -0.294  -0.441 -0.385  -0.364 -0.462  -0.341 -0.562  -0.341 -0.671  -0.335 -0.777  -0.258 -0.854  -0.181 -0.931  -0.104 -1.008  -0.015 -1.056  0.094 -1.056  0.203 -1.056  0.312 -1.056  0.373 -1.008  0.382 -0.904  0.459 -0.827  0.536 -0.750  0.613 -0.673  0.679 -0.587  0.727 -0.490  0.776 -0.392  0.801 -0.289  0.809 -0.183  0.858 -0.085  0.907 0.012  0.944 0.112  0.944 0.221  0.944 0.330  0.944 0.439  0.944 0.548  0.944 0.657
1c#apa#apa00#app0006/s  -0.070 1.338  -0.001 1.407  0.006 1.451  -0.092 1.451  -0.187 1.446  -0.256 1.377  -0.326 1.308  -0.395 1.239  -0.408 1.146  -0.472 1.113  -0.520 1.064  -0.520 0.966  -0.520 0.868  -0.516 0.772  -0.447 0.703  -0.378 0.634  -0.309 0.565  -0.240 0.496  -0.171 0.427  -0.102 0.358  -0.033 0.288  0.036 0.219  0.105 0.150  0.155 0.073  0.168 -0.012  0.266 -0.012  0.267 -0.108  0.267 -0.205  0.314 -0.283  0.380 -0.354  0.380 -0.452  0.380 -0.549  0.453 -0.574  0.492 -0.632  0.492 -0.730  0.492 -0.828  0.492 -0.925  0.492 -1.023  0.395 -1.024  0.380 -1.106  0.332 -1.184  0.261 -1.249  0.164 -1.249  0.066 -1.249  -0.032 -1.249  -0.129 -1.249  -0.183 -1.205  -0.212 -1.136  -0.310 -1.136  -0.408 -1.136
1c#apa#apa00#app0006/q  0.405 0.577  0.494 0.668  0.494 0.849  0.426 1.001  0.362 1.155  0.200 1.202  0.054 1.119  -0.074 0.991  -0.201 0.864  -0.374 0.845  -0.399 0.689  -0.540 0.595  -0.639 0.453  -0.720 0.291  -0.764 0.122  -0.845 -0.025  -0.845 -0.205  -0.732 -0.339  -0.579 -0.405  -0.424 -0.341  -0.271 -0.277  -0.131 -0.206  -0.052 -0.058  0.012 0.095  0.066 0.257  0.153 0.414  0.226 0.565  0.305 0.666  0.315 0.837  0.405 0.928  0.405 0.938  0.317 0.845  0.315 0.666  0.258 0.495  0.226 0.319  0.226 0.139  0.149 -0.024  0.137 -0.201  0.137 -0.382  0.137 -0.563  0.137 -0.743  0.137 -0.924  0.137 -1.104  0.137 -1.285  0.137 -1.465  0.137 -1.646  0.137 -1.827  0.137 -2.007  0.137 -2.188  0.137 -2.368
1c#apa#apa00#app0006/u  -0.897 0.997  -0.897 0.889  -0.897 0.782  -0.897 0.674  -0.897 0.567  -0.897 0.459  -0.897 0.352  -0.897 0.244  -0.897 0.137  -0.897 0.029  -0.897 -0.078  -0.852 -0.175  -0.804 -0.271  -0.762 -0.369  -0.762 -0.476  -0.696 -0.556  -0.627 -0.635  -0.627 -0.743  -0.564 -0.824  -0.486 -0.896  -0.379 -0.896  -0.271 -0.896  -0.164 -0.896  -0.056 -0.896  0.051 -0.896  0.159 -0.896  0.242 -0.838  0.318 -0.762  0.394 -0.686  0.470 -0.610  0.546 -0.534  0.590 -0.444  0.602 -0.342  0.678 -0.266  0.725 -0.178  0.725 -0.070  0.725 0.037  0.725 0.144  0.725 0.252  0.742 0.355  0.790 0.452  0.838 0.548  0.860 0.650  0.860 0.757  0.860 0.865  0.860 0.972  0.860 1.080  0.860 1.187  0.860 1.295  0.860 1.402
