1c#apa#apa00#app0055/x  -0.958 1.697  -0.783 1.685  -0.783 1.499  -0.750 1.346  -0.607 1.301  -0.607 1.115  -0.578 0.935  -0.494 0.769  -0.432 0.597  -0.391 0.427  -0.259 0.295  -0.127 0.164  -0.081 -0.004  -0.022 -0.176  0.061 -0.343  0.174 -0.489  0.306 -0.621  0.438 -0.753  0.446 -0.936  0.578 -1.068  0.621 -1.236  0.621 -1.149  0.621 -0.963  0.621 -0.776  0.621 -0.590  0.621 -0.403  0.621 -0.217  0.621 -0.030  0.621 0.156  0.621 0.343  0.621 0.529  0.621 0.716  0.621 0.902  0.554 0.928  0.422 0.796  0.290 0.665  0.159 0.533  0.027 0.401  -0.081 0.259  -0.081 0.073  -0.121 -0.098  -0.253 -0.229  -0.338 -0.395  -0.421 -0.562  -0.432 -0.746  -0.509 -0.914  -0.593 -1.081  -0.607 -1.264  -0.607 -1.450  -0.607 -1.637
1c#apa#apa00#app0055/y  -0.760 0.882  -0.730 1.003  -0.623 1.066  -0.489 1.066  -0.448 1.158  -0.392 1.080  -0.419 0.974  -0.484 0.905  -0.484 0.772  -0.484 0.638  -0.412 0.535  -0.392 0.409  -0.392 0.276  -0.324 0.171  -0.201 0.147  -0.067 0.147  -0.024 0.237  0.068 0.333  0.111 0.422  0.160 0.508  0.160 0.641  0.160 0.775  0.186 0.882  0.252 0.950  0.175 0.897  0.160 0.770  0.160 0.636  0.252 0.595  0.252 0.461  0.252 0.328  0.252 0.194  0.290 0.070  0.344 -0.051  0.344 -0.184  0.344 -0.318  0.344 -0.451  0.344 -0.585  0.344 -0.718  0.344 -0.852  0.344 -0.985  0.344 -1.119  0.344 -1.252  0.344 -1.386  0.344 -1.519  0.306 -1.637  0.212 -1.732  0.100 -1.784  -0.033 -1.784  -0.167 -1.784  -0.300 -1.784
1c#apa#apa00#app0055/z  -0.610 1.314  -0.610 1.216  -0.541 1.314  -0.374 1.314  -0.213 1.320  -0.172 1.447  -0.005 1.447  0.162 1.447  0.330 1.447  0.450 1.400  0.450 1.233  0.450 1.065  0.343 0.943  0.317 0.786  0.317 0.619  0.269 0.472  0.185 0.340  0.185 0.172  0.102 0.039  0.052 -0.107  0.011 -0.267  -0.042 -0.426  -0.080 -0.587  -0.137 -0.730  -0.213 -0.866  -0.213 -1.033  -0.213 -1.200  -0.096 -1.319  0.052 -1.323  0.099 -1.203  0.266 -1.203  0.399 -1.121  0.518 -1.003  0.658 -0.938  0.793 -0.860  0.763 -0.773  0.607 -0.713  0.451 -0.653  0.295 -0.593  0.139 -0.533  -0.017 -0.473  -0.173 -0.413  -0.329 -0.353  -0.485 -0.293  -0.641 -0.233  -0.797 -0.173  -0.875 -0.060  -0.757 -0.011  -0.596 0.004  -0.478 0.122
1c#apa#apa00#app0055/z  -0.988 1.369  -0.807 1.369  -0.626 1.369  -0.445 1.369  -0.264 1.369  -0.083 1.369  0.098 1.369  0.279 1.369  0.460 1.369  0.508 1.236  0.466 1.097  0.372 1.010  0.372 0.829  0.236 0.784  0.236 0.603  0.144 0.460  0.016 0.332  -0.036 0.173  -0.048 -0.004  -0.172 -0.133  -0.172 -0.314  -0.240 -0.467  -0.308 -0.620  -0.308 -0.801  -0.308 -0.982  -0.308 -1.163  -0.308 -1.344  -0.135 -1.352  0.022 -1.294  0.171 -1.216  0.352 -1.216  0.486 -1.102  0.654 -1.071  0.782 -0.944  0.876 -0.920  0.719 -0.829  0.563 -0.738  0.407 -0.647  0.250 -0.555  0.094 -0.464  -0.063 -0.373  -0.219 -0.282  -0.375 -0.190  -0.532 -0.099  -0.688 -0.008  -0.568 0.008  -0.387 0.008  -0.206 0.008  -0.068 0.113  0.100 0.145
1c#apa#apa00#app0055/y  -0.908 0.997  -0.788 1.037  -0.668 1.077  -0.531 1.077  -0.429 1.041  -0.438 0.908  -0.509 0.801  -0.509 0.664  -0.509 0.527  -0.475 0.404  -0.365 0.326  -0.239 0.278  -0.182 0.358  -0.110 0.423  -0.030 0.480  0.040 0.588  0.050 0.721  0.130 0.778  0.130 0.914  0.168 1.035  0.209 1.155  0.154 1.077  0.130 0.964  0.134 0.828  0.195 0.706  0.209 0.572  0.209 0.435  0.209 0.298  0.289 0.195  0.289 0.058  0.289 -0.079  0.357 -0.188  0.369 -0.320  0.400 -0.452  0.443 -0.582  0.449 -0.718  0.449 -0.854  0.449 -0.991  0.449 -1.128  0.449 -1.265  0.449 -1.402  0.406 -1.521  0.284 -1.558  0.147 -1.558  0.022 -1.530  -0.093 -1.478  -0.146 -1.380  -0.269 -1.319  -0.325 -1.238  -0.429 -1.159
1c#apa#apa00#app0055/w  -0.977 1.316  -0.977 1.433  -0.977 1.271  -0.977 1.109  -0.977 0.947  -0.977 0.785  -0.977 0.624  -0.963 0.467  -0.849 0.353  -0.838 0.196  -0.817 0.042  -0.702 -0.072  -0.698 -0.232  -0.698 -0.394  -0.698 -0.556  -0.638 -0.693  -0.559 -0.722  -0.559 -0.560  -0.559 -0.398  -0.476 -0.271  -0.420 -0.132  -0.420 0.030  -0.329 0.154  -0.281 0.296  -0.199 0.424  -0.084 0.538  -0.002 0.574  0.046 0.433  0.137 0.308  0.137 0.146  0.193 0.008  0.276 -0.120  0.323 -0.262  0.415 -0.386  0.469 -0.493  0.554 -0.570  0.554 -0.732  0.676 -0.772  0.796 -0.874  0.943 -0.911  1.104 -0.911  1.111 -0.756  1.138 -0.606  1.251 -0.490  1.251 -0.328  1.251 -0.166  1.251 -0.005  1.251 0.157  1.251 0.319  1.251 0.481
1c#apa#apa00#app0055/h  -0.263 2.085  -0.299 1.938  -0.374 1.807  -0.374 1.645  -0.374 1.482  -0.374 1.320  -0.374 1.158  -0.374 0.996  -0.374 0.834  -0.374 0.671  -0.374 0.509  -0.374 0.347  -0.374 0.185  -0.374 0.023  -0.374 -0.140  -0.374 -0.302  -0.374 -0.464  -0.374 -0.626  -0.374 -0.788  -0.374 -0.951  -0.374 -1.113  -0.374 -1.275  -0.374 -1.280  -0.374 -1.117  -0.374 -0.955  -0.374 -0.793  -0.331 -0.649  -0.263 -0.514  -0.258 -0.354  -0.144 -0.239  -0.041 -0.120  0.007 0.022  0.070 0.159  0.126 0.308  0.219 0.419  0.355 0.482  0.498 0.530  0.549 0.419  0.626 0.334  0.626 0.172  0.626 0.009  0.642 -0.136  0.737 -0.204  0.737 -0.366  0.737 -0.528  0.737 -0.691  0.737 -0.853  0.737 -1.015  0.844 -1.133  0.959 -1.247
1c#apa#apa00#app0055/e  -0.916 -0.319  -0.890 -0.470  -0.765 -0.417  -0.686 -0.319  -0.539 -0.245  -0.414 -0.119  -0.279 -0.017  -0.102 -0.017  0.076 -0.017  0.220 0.062  0.368 0.134  0.540 0.166  0.708 0.222  0.876 0.278  0.901 0.436  1.047 0.468  1.105 0.587  1.198 0.671  1.198 0.848  1.101 0.986  0.946 1.040  0.769 1.040  0.592 1.040  0.414 1.040  0.237 1.040  0.141 0.959  0.033 0.889  -0.105 0.794  -0.259 0.738  -0.400 0.650  -0.525 0.525  -0.650 0.399  -0.772 0.271  -0.851 0.113  -0.916 -0.049  -0.916 -0.227  -0.916 -0.404  -0.916 -0.581  -0.916 -0.759  -0.800 -0.888  -0.637 -0.923  -0.505 -1.032  -0.345 -1.074  -0.168 -1.074  0.009 -1.074  0.187 -1.074  0.364 -1.074  0.541 -1.074  0.719 -1.074  0.896 -1.074
1c#apa#apa00#app0055/e  -0.619 -0.322  -0.455 -0.306  -0.335 -0.186  -0.171 -0.171  -0.051 -0.051  0.109 -0.025  0.233 0.085  0.387 0.123  0.517 0.221  0.637 0.341  0.774 0.419  0.944 0.419  1.011 0.522  1.100 0.655  1.160 0.801  1.084 0.939  0.944 1.012  0.774 1.012  0.604 1.012  0.434 1.012  0.265 1.009  0.113 0.933  -0.041 0.864  -0.200 0.838  -0.320 0.718  -0.484 0.702  -0.604 0.582  -0.724 0.462  -0.767 0.310  -0.860 0.178  -1.007 0.123  -1.063 0.009  -1.063 -0.161  -1.063 -0.331  -1.063 -0.501  -1.063 -0.671  -0.989 -0.766  -0.847 -0.834  -0.710 -0.914  -0.540 -0.914  -0.370 -0.914  -0.200 -0.914  -0.030 -0.914  0.140 -0.914  0.310 -0.914  0.480 -0.914  0.650 -0.914  0.820 -0.914  0.990 -0.914  1.160 -0.914
1c#apa#apa00#app0055/z  -0.998 0.874  -0.843 0.969  -0.652 1.029  -0.401 1.029  -0.172 1.080  0.035 1.183  0.286 1.183  0.536 1.183  0.551 1.258  0.536 1.013  0.396 0.821  0.248 0.719  0.241 0.475  0.111 0.279  -0.010 0.061  -0.068 -0.175  -0.111 -0.408  -0.223 -0.612  -0.378 -0.708  -0.378 -0.958  -0.378 -1.208  -0.214 -1.294  -0.068 -1.189  0.132 -1.140  0.383 -1.140  0.551 -1.058  0.729 -0.985  0.979 -0.985  1.116 -0.964  0.881 -0.876  0.647 -0.788  0.412 -0.700  0.178 -0.612  -0.057 -0.525  -0.291 -0.437  -0.526 -0.349  -0.760 -0.261  -0.995 -0.173  -1.229 -0.085  -1.144 -0.047  -0.954 0.099  -0.718 0.161  -0.490 0.254  -0.254 0.316  -0.030 0.428  0.194 0.540  0.433 0.612  0.676 0.672  0.920 0.719  1.171 0.719
1c#apa#apa00#app0055/e  -0.955 -0.644  -0.838 -0.527  -0.704 -0.451  -0.539 -0.451  -0.375 -0.450  -0.258 -0.333  -0.124 -0.258  0.032 -0.236  0.149 -0.119  0.265 -0.002  0.382 0.114  0.542 0.127  0.672 0.212  0.789 0.328  0.905 0.445  1.043 0.513  1.166 0.554  1.166 0.720  1.166 0.885  1.166 1.050  1.042 1.091  0.877 1.091  0.712 1.091  0.547 1.091  0.381 1.091  0.216 1.091  0.095 0.984  -0.021 0.868  -0.138 0.751  -0.255 0.634  -0.371 0.517  -0.535 0.513  -0.627 0.396  -0.701 0.248  -0.762 0.097  -0.762 -0.068  -0.762 -0.233  -0.762 -0.398  -0.762 -0.563  -0.762 -0.728  -0.705 -0.837  -0.569 -0.865  -0.568 -1.029  -0.403 -1.029  -0.376 -1.168  -0.266 -1.222  -0.101 -1.222  0.065 -1.222  0.230 -1.222  0.395 -1.222
