1c#apa#apa00#app0056/u  -0.829 0.988  -0.932 0.988  -0.999 0.954  -0.999 0.851  -0.999 0.749  -0.999 0.646  -0.999 0.544  -0.999 0.441  -0.999 0.339  -0.999 0.237  -0.999 0.134  -0.999 0.032  -0.962 -0.033  -0.859 -0.033  -0.829 -0.105  -0.826 -0.207  -0.754 -0.279  -0.681 -0.351  -0.609 -0.424  -0.536 -0.496  -0.454 -0.544  -0.351 -0.544  -0.269 -0.593  -0.197 -0.666  -0.114 -0.714  -0.012 -0.714  0.091 -0.714  0.193 -0.714  0.295 -0.714  0.388 -0.689  0.460 -0.617  0.532 -0.544  0.635 -0.544  0.727 -0.520  0.800 -0.447  0.872 -0.375  0.873 -0.273  0.897 -0.180  0.969 -0.108  1.041 -0.035  1.044 0.066  1.044 0.169  1.044 0.271  1.044 0.374  1.044 0.476  1.044 0.579  1.044 0.681  1.044 0.783  1.044 0.886  1.044 0.988
1c#apa#apa00#app0056/g  0.098 1.221  0.084 1.333  -0.034 1.314  -0.123 1.225  -0.212 1.136  -0.327 1.109  -0.423 1.037  -0.464 0.928  -0.546 0.884  -0.576 0.788  -0.576 0.662  -0.568 0.539  -0.479 0.450  -0.360 0.435  -0.234 0.435  -0.108 0.435  -0.014 0.467  0.032 0.547  0.098 0.607  0.172 0.659  0.210 0.747  0.282 0.843  0.323 0.816  0.323 0.690  0.323 0.564  0.323 0.438  0.323 0.312  0.340 0.193  0.429 0.104  0.435 -0.020  0.435 -0.146  0.435 -0.272  0.435 -0.398  0.435 -0.524  0.402 -0.642  0.346 -0.755  0.323 -0.875  0.323 -1.001  0.251 -1.098  0.210 -1.207  0.210 -1.333  0.114 -1.363  -0.012 -1.363  -0.025 -1.475  -0.151 -1.475  -0.277 -1.475  -0.403 -1.475  -0.510 -1.429  -0.599 -1.340  -0.688 -1.250
1c#apa#apa00#app0056/g  -0.035 0.906  -0.035 1.043  -0.035 1.180  -0.111 1.241  -0.218 1.170  -0.338 1.130  -0.475 1.130  -0.574 1.038  -0.594 0.909  -0.706 0.884  -0.706 0.747  -0.706 0.611  -0.706 0.474  -0.698 0.340  -0.601 0.243  -0.472 0.226  -0.375 0.129  -0.240 0.124  -0.116 0.156  -0.012 0.236  0.110 0.270  0.215 0.348  0.300 0.400  0.300 0.537  0.372 0.644  0.412 0.764  0.412 0.688  0.426 0.557  0.522 0.460  0.523 0.324  0.523 0.187  0.523 0.050  0.523 -0.087  0.523 -0.223  0.523 -0.360  0.495 -0.490  0.434 -0.613  0.412 -0.744  0.412 -0.881  0.412 -1.018  0.376 -1.140  0.279 -1.237  0.188 -1.336  0.155 -1.439  0.035 -1.481  -0.073 -1.551  -0.203 -1.579  -0.325 -1.640  -0.457 -1.663  -0.594 -1.663
1c#apa#apa00#app0056/l  0.264 1.597  0.232 1.532  0.199 1.467  0.167 1.402  0.114 1.371  0.041 1.371  0.038 1.301  0.038 1.228  0.038 1.156  -0.005 1.101  -0.057 1.050  -0.075 0.985  -0.075 0.912  -0.075 0.840  -0.075 0.767  -0.075 0.695  -0.075 0.622  -0.075 0.550  -0.075 0.477  -0.075 0.405  -0.075 0.332  -0.075 0.260  -0.075 0.187  -0.075 0.115  -0.075 0.042  -0.075 -0.031  -0.075 -0.103  -0.075 -0.176  -0.075 -0.248  -0.075 -0.321  -0.075 -0.393  -0.075 -0.466  -0.075 -0.538  -0.075 -0.611  -0.075 -0.683  -0.075 -0.756  -0.036 -0.813  0.015 -0.864  0.038 -0.927  0.038 -0.999  0.038 -1.072  0.038 -1.144  0.038 -1.217  0.038 -1.289  0.038 -1.362  0.038 -1.435  0.077 -1.491  0.129 -1.542  0.151 -1.605  0.151 -1.678
1c#apa#apa00#app0056/e  -0.766 -0.616  -0.621 -0.594  -0.590 -0.440  -0.470 -0.327  -0.304 -0.327  -0.187 -0.277  -0.136 -0.131  -0.009 -0.037  0.142 0.002  0.259 0.120  0.377 0.238  0.536 0.254  0.560 0.397  0.681 0.443  0.729 0.589  0.825 0.716  0.825 0.882  0.825 1.049  0.729 1.120  0.681 1.237  0.541 1.264  0.374 1.264  0.212 1.247  0.063 1.172  -0.077 1.085  -0.198 0.975  -0.346 0.946  -0.421 0.797  -0.507 0.656  -0.624 0.538  -0.742 0.420  -0.766 0.263  -0.766 0.097  -0.766 -0.070  -0.766 -0.237  -0.766 -0.403  -0.766 -0.570  -0.680 -0.701  -0.562 -0.819  -0.432 -0.905  -0.285 -0.952  -0.158 -1.050  0.008 -1.050  0.154 -1.101  0.282 -1.194  0.448 -1.194  0.615 -1.194  0.781 -1.194  0.948 -1.194  1.114 -1.194
1c#apa#apa00#app0056/r  -0.135 1.485  -0.271 1.485  -0.303 1.380  -0.303 1.243  -0.321 1.111  -0.383 0.989  -0.444 0.867  -0.471 0.736  -0.471 0.600  -0.471 0.463  -0.471 0.327  -0.471 0.190  -0.471 0.053  -0.471 -0.083  -0.471 -0.220  -0.471 -0.357  -0.471 -0.493  -0.471 -0.630  -0.426 -0.748  -0.329 -0.845  -0.303 -0.970  -0.303 -1.107  -0.287 -1.240  -0.226 -1.362  -0.165 -1.484  -0.135 -1.475  -0.135 -1.338  -0.135 -1.202  -0.135 -1.065  -0.135 -0.928  -0.078 -0.815  0.018 -0.718  0.034 -0.588  0.093 -0.476  0.189 -0.379  0.202 -0.248  0.202 -0.111  0.241 0.009  0.338 0.106  0.370 0.229  0.412 0.348  0.509 0.445  0.605 0.542  0.702 0.638  0.798 0.735  0.895 0.832  0.992 0.928  1.107 0.980  1.212 1.012  1.212 1.148
1c#apa#apa00#app0056/s  0.674 1.087  0.674 1.190  0.599 1.217  0.497 1.217  0.394 1.217  0.292 1.217  0.190 1.217  0.087 1.217  -0.004 1.190  -0.076 1.118  -0.166 1.087  -0.259 1.065  -0.332 0.993  -0.367 0.905  -0.392 0.827  -0.494 0.827  -0.497 0.728  -0.497 0.625  -0.466 0.536  -0.394 0.463  -0.367 0.372  -0.341 0.281  -0.269 0.208  -0.196 0.136  -0.124 0.063  -0.052 -0.009  0.021 -0.081  0.093 -0.154  0.153 -0.231  0.153 -0.334  0.218 -0.409  0.291 -0.482  0.363 -0.554  0.414 -0.635  0.414 -0.738  0.414 -0.840  0.414 -0.943  0.414 -1.045  0.391 -1.125  0.289 -1.125  0.215 -1.193  0.138 -1.255  0.035 -1.255  -0.067 -1.255  -0.169 -1.255  -0.272 -1.255  -0.374 -1.255  -0.476 -1.255  -0.555 -1.197  -0.627 -1.125
1c#apa#apa00#app0056/w  -1.388 0.778  -1.272 0.829  -1.272 0.792  -1.157 0.742  -1.157 0.576  -1.060 0.450  -1.042 0.292  -0.988 0.148  -0.927 0.008  -0.927 -0.158  -0.927 -0.324  -0.812 -0.374  -0.696 -0.492  -0.696 -0.658  -0.592 -0.720  -0.581 -0.565  -0.517 -0.426  -0.400 -0.309  -0.351 -0.163  -0.329 -0.007  -0.211 0.111  -0.104 0.235  -0.030 0.383  -0.005 0.543  -0.005 0.386  -0.005 0.221  -0.005 0.055  0.053 -0.087  0.110 -0.229  0.110 -0.395  0.110 -0.561  0.196 -0.691  0.314 -0.808  0.431 -0.925  0.582 -0.940  0.704 -0.835  0.802 -0.767  0.886 -0.636  0.917 -0.483  0.942 -0.323  1.017 -0.175  1.032 -0.012  1.032 0.153  1.033 0.319  1.147 0.437  1.147 0.603  1.147 0.769  1.217 0.918  1.262 1.073  1.262 1.239
1c#apa#apa00#app0056/i  -0.243 0.257  -0.243 0.147  -0.243 0.038  -0.243 -0.072  -0.243 -0.182  -0.243 -0.292  -0.243 -0.402  -0.243 -0.512  -0.243 -0.622  -0.243 -0.732  -0.243 -0.842  -0.243 -0.952  -0.243 -1.061  -0.243 -1.171  -0.167 -1.250  -0.075 -1.293  0.035 -1.293  0.145 -1.293  0.249 -1.278  0.326 -1.200  0.353 -1.102  0.343 -0.993  0.325 -0.884  0.307 -0.776  0.289 -0.667  0.270 -0.559  0.252 -0.450  0.234 -0.342  0.216 -0.234  0.198 -0.125  0.180 -0.017  0.162 0.092  0.144 0.200  0.126 0.308  0.108 0.417  0.090 0.525  0.072 0.634  0.054 0.742  0.036 0.850  0.018 0.959  -0.001 1.067  -0.019 1.176  -0.037 1.284  -0.055 1.392  -0.073 1.501  -0.091 1.609  -0.109 1.718  -0.124 1.826  -0.133 1.927  -0.243 1.927
1c#apa#apa00#app0056/l  -0.128 1.808  -0.128 1.729  -0.128 1.649  -0.128 1.570  -0.128 1.491  -0.128 1.411  -0.128 1.332  -0.128 1.252  -0.128 1.173  -0.128 1.093  -0.128 1.014  -0.128 0.934  -0.128 0.855  -0.128 0.775  -0.105 0.701  -0.070 0.630  -0.034 0.559  -0.022 0.482  -0.022 0.403  -0.022 0.323  -0.022 0.244  -0.022 0.164  -0.022 0.085  -0.022 0.005  -0.022 -0.074  -0.022 -0.154  -0.022 -0.233  -0.022 -0.312  -0.022 -0.392  -0.022 -0.471  -0.037 -0.545  -0.093 -0.601  -0.128 -0.666  -0.128 -0.745  -0.128 -0.825  -0.128 -0.904  -0.128 -0.984  -0.128 -1.063  -0.128 -1.143  -0.073 -1.167  0.007 -1.167  0.086 -1.167  0.166 -1.167  0.245 -1.167  0.325 -1.167  0.404 -1.167  0.484 -1.167  0.510 -1.113  0.536 -1.061  0.616 -1.061
1c#apa#apa00#app0056/l  -0.087 1.758  -0.087 1.683  -0.087 1.609  -0.087 1.534  -0.087 1.460  -0.087 1.385  -0.087 1.311  -0.087 1.236  -0.087 1.162  -0.087 1.087  -0.087 1.013  -0.087 0.938  -0.087 0.864  -0.087 0.789  -0.087 0.715  -0.087 0.640  -0.087 0.566  -0.087 0.491  -0.087 0.417  -0.087 0.342  -0.087 0.268  -0.087 0.193  -0.087 0.119  -0.087 0.044  -0.087 -0.030  -0.087 -0.105  -0.087 -0.179  -0.087 -0.254  -0.087 -0.328  -0.087 -0.403  -0.087 -0.477  -0.087 -0.552  -0.087 -0.627  -0.087 -0.701  -0.087 -0.776  -0.087 -0.850  -0.080 -0.923  -0.047 -0.990  -0.013 -1.056  0.019 -1.123  0.019 -1.197  0.063 -1.228  0.138 -1.228  0.212 -1.228  0.287 -1.228  0.361 -1.228  0.436 -1.228  0.510 -1.228  0.585 -1.228  0.659 -1.228
