1c#apa#apa01#app0100/w  -1.021 0.664  -0.920 0.754  -0.842 0.865  -0.752 0.966  -0.679 1.106  -0.544 1.241  -0.555 1.130  -0.618 0.966  -0.618 0.776  -0.653 0.594  -0.719 0.419  -0.719 0.229  -0.719 0.039  -0.719 -0.151  -0.719 -0.341  -0.719 -0.531  -0.719 -0.722  -0.719 -0.912  -0.618 -1.060  -0.514 -1.146  -0.417 -1.053  -0.317 -0.904  -0.225 -0.752  -0.216 -0.565  -0.116 -0.417  -0.116 -0.227  -0.115 -0.037  -0.055 0.144  -0.015 0.327  -0.015 0.408  0.049 0.233  0.085 0.052  0.085 -0.138  0.170 -0.309  0.186 -0.495  0.287 -0.643  0.435 -0.744  0.626 -0.744  0.816 -0.744  0.905 -0.643  1.065 -0.569  1.091 -0.390  1.120 -0.212  1.192 -0.051  1.192 0.139  1.222 0.322  1.292 0.496  1.292 0.686  1.292 0.876  1.292 1.066
1c#apa#apa01#app0100/a  -0.995 0.686  -0.883 0.797  -0.857 0.937  -0.743 0.980  -0.668 1.062  -0.542 1.138  -0.414 1.227  -0.274 1.297  -0.120 1.313  0.037 1.313  0.135 1.254  0.226 1.188  0.261 1.065  0.261 0.908  0.234 0.757  0.163 0.616  0.135 0.465  0.079 0.321  0.010 0.180  -0.026 0.058  -0.116 -0.009  -0.116 -0.167  -0.120 -0.322  -0.231 -0.434  -0.253 -0.582  -0.365 -0.693  -0.367 -0.850  -0.367 -1.007  -0.367 -1.164  -0.367 -1.322  -0.336 -1.448  -0.179 -1.448  -0.021 -1.448  0.136 -1.448  0.247 -1.337  0.358 -1.225  0.386 -1.079  0.512 -1.048  0.512 -0.890  0.512 -0.733  0.512 -0.575  0.512 -0.418  0.512 -0.261  0.512 -0.103  0.512 0.054  0.499 0.209  0.429 0.349  0.386 0.497  0.386 0.654  0.261 0.686
1c#apa#apa01#app0100/r  -0.557 1.133  -0.557 0.995  -0.425 0.989  -0.413 0.862  -0.413 0.724  -0.413 0.585  -0.364 0.458  -0.303 0.334  -0.268 0.204  -0.268 0.065  -0.268 -0.073  -0.268 -0.211  -0.268 -0.350  -0.268 -0.488  -0.268 -0.627  -0.268 -0.765  -0.268 -0.904  -0.268 -1.042  -0.268 -1.181  -0.268 -1.319  -0.268 -1.458  -0.268 -1.596  -0.268 -1.489  -0.268 -1.351  -0.268 -1.212  -0.268 -1.074  -0.268 -0.935  -0.268 -0.797  -0.268 -0.658  -0.211 -0.544  -0.124 -0.441  -0.124 -0.303  -0.122 -0.165  -0.024 -0.067  0.074 0.031  0.165 0.131  0.168 0.269  0.266 0.367  0.309 0.487  0.309 0.626  0.355 0.745  0.453 0.843  0.591 0.844  0.691 0.937  0.789 1.035  0.887 1.133  0.985 1.231  1.104 1.278  1.223 1.324  1.321 1.422
1c#apa#apa01#app0100/t  -0.302 2.154  -0.302 1.994  -0.302 1.835  -0.302 1.675  -0.302 1.516  -0.302 1.356  -0.302 1.197  -0.302 1.037  -0.302 0.877  -0.302 0.718  -0.302 0.558  -0.293 0.400  -0.255 0.245  -0.216 0.090  -0.188 -0.066  -0.188 -0.225  -0.188 -0.385  -0.188 -0.544  -0.188 -0.704  -0.079 -0.818  -0.073 -0.975  -0.073 -1.135  -0.073 -1.294  -0.016 -1.397  0.042 -1.295  0.156 -1.250  0.233 -1.168  0.357 -1.082  0.470 -0.969  0.616 -0.937  0.729 -0.824  0.889 -0.824  0.886 -0.769  0.760 -0.672  0.633 -0.575  0.507 -0.478  0.380 -0.380  0.254 -0.283  0.128 -0.186  0.001 -0.088  -0.125 0.009  -0.252 0.106  -0.378 0.203  -0.505 0.301  -0.442 0.410  -0.293 0.436  -0.139 0.460  0.003 0.531  0.158 0.552  0.271 0.665
1c#apa#apa01#app0100/y  -0.785 1.042  -0.712 1.122  -0.592 1.201  -0.470 1.278  -0.318 1.281  -0.306 1.140  -0.386 1.019  -0.397 0.871  -0.466 0.746  -0.466 0.592  -0.546 0.472  -0.546 0.318  -0.546 0.165  -0.546 0.012  -0.466 -0.109  -0.391 -0.231  -0.259 -0.190  -0.127 -0.138  -0.066 -0.010  -0.023 0.126  0.059 0.253  0.093 0.399  0.160 0.536  0.173 0.687  0.211 0.802  0.253 0.914  0.253 1.016  0.253 0.863  0.253 0.710  0.258 0.558  0.333 0.436  0.333 0.282  0.333 0.129  0.333 -0.024  0.333 -0.178  0.400 -0.303  0.413 -0.451  0.493 -0.572  0.493 -0.725  0.493 -0.879  0.493 -1.032  0.493 -1.185  0.493 -1.339  0.493 -1.492  0.395 -1.595  0.268 -1.659  0.154 -1.754  0.001 -1.754  -0.073 -1.674  -0.226 -1.674
1c#apa#apa01#app0100/h  -0.430 2.028  -0.430 1.853  -0.430 1.677  -0.430 1.502  -0.430 1.326  -0.430 1.151  -0.430 0.975  -0.430 0.799  -0.430 0.624  -0.392 0.455  -0.336 0.288  -0.333 0.113  -0.333 -0.063  -0.333 -0.238  -0.333 -0.414  -0.333 -0.589  -0.333 -0.765  -0.333 -0.940  -0.333 -1.116  -0.333 -1.259  -0.333 -1.084  -0.333 -0.908  -0.333 -0.732  -0.306 -0.568  -0.236 -0.422  -0.236 -0.246  -0.236 -0.070  -0.153 0.071  -0.139 0.240  -0.042 0.376  0.013 0.529  0.074 0.668  0.153 0.765  0.305 0.821  0.366 0.765  0.444 0.668  0.444 0.492  0.541 0.357  0.541 0.181  0.541 0.006  0.541 -0.170  0.541 -0.346  0.541 -0.521  0.587 -0.686  0.638 -0.849  0.638 -1.025  0.692 -1.188  0.736 -1.353  0.777 -1.511  0.833 -1.664
1c#apa#apa01#app0100/u  -0.517 1.135  -0.636 1.129  -0.636 1.005  -0.636 0.881  -0.636 0.757  -0.648 0.636  -0.704 0.525  -0.754 0.412  -0.754 0.288  -0.754 0.164  -0.754 0.040  -0.729 -0.074  -0.641 -0.162  -0.636 -0.283  -0.636 -0.407  -0.629 -0.529  -0.541 -0.617  -0.477 -0.721  -0.421 -0.832  -0.347 -0.930  -0.259 -1.017  -0.171 -1.105  -0.084 -1.193  0.024 -1.233  0.148 -1.233  0.272 -1.233  0.312 -1.148  0.376 -1.051  0.430 -0.949  0.467 -0.840  0.548 -0.750  0.548 -0.626  0.548 -0.502  0.548 -0.378  0.548 -0.253  0.548 -0.129  0.548 -0.005  0.548 0.119  0.548 0.243  0.548 0.367  0.548 0.491  0.548 0.616  0.548 0.740  0.548 0.864  0.548 0.988  0.548 1.112  0.548 1.236  0.548 1.360  0.548 1.484  0.548 1.609
1c#apa#apa01#app0100/m  -1.024 0.839  -1.024 0.639  -1.024 0.439  -1.024 0.240  -1.024 0.040  -1.008 -0.158  -0.945 -0.347  -0.918 -0.543  -0.918 -0.743  -0.918 -0.942  -0.838 -1.062  -0.813 -0.887  -0.813 -0.688  -0.813 -0.488  -0.813 -0.288  -0.813 -0.088  -0.760 0.099  -0.671 0.278  -0.601 0.462  -0.503 0.621  -0.390 0.774  -0.295 0.934  -0.123 0.889  -0.073 0.709  -0.064 0.513  0.032 0.353  0.032 0.153  0.051 -0.042  0.138 -0.221  0.138 -0.421  0.200 -0.596  0.341 -0.542  0.349 -0.346  0.428 -0.164  0.471 0.025  0.560 0.204  0.626 0.377  0.730 0.545  0.877 0.629  0.973 0.734  1.089 0.649  1.194 0.493  1.194 0.293  1.194 0.093  1.194 -0.106  1.194 -0.306  1.300 -0.462  1.300 -0.662  1.300 -0.862  1.300 -1.062
1c#apa#apa01#app0100/a  -0.788 1.245  -0.684 1.349  -0.547 1.376  -0.399 1.376  -0.254 1.385  -0.150 1.489  -0.009 1.507  0.008 1.376  0.131 1.352  0.131 1.204  0.131 1.056  0.131 0.908  0.091 0.769  0.025 0.637  -0.000 0.495  -0.000 0.347  -0.000 0.199  -0.101 0.092  -0.206 -0.012  -0.263 -0.137  -0.263 -0.285  -0.263 -0.433  -0.346 -0.546  -0.394 -0.674  -0.394 -0.822  -0.394 -0.970  -0.394 -1.118  -0.263 -1.135  -0.232 -1.252  -0.131 -1.300  -0.067 -1.383  0.081 -1.383  0.229 -1.383  0.263 -1.269  0.394 -1.252  0.405 -1.109  0.510 -1.005  0.526 -0.863  0.526 -0.715  0.513 -0.570  0.447 -0.438  0.394 -0.302  0.394 -0.154  0.394 -0.006  0.338 0.119  0.263 0.236  0.221 0.367  0.116 0.471  0.012 0.576  -0.131 0.588
1c#apa#apa01#app0100/n  -0.636 1.393  -0.636 1.229  -0.636 1.064  -0.636 0.900  -0.636 0.735  -0.636 0.571  -0.636 0.406  -0.636 0.241  -0.636 0.077  -0.636 -0.088  -0.636 -0.252  -0.636 -0.417  -0.636 -0.581  -0.636 -0.746  -0.636 -0.910  -0.636 -1.075  -0.636 -1.239  -0.636 -1.342  -0.601 -1.192  -0.491 -1.074  -0.491 -0.909  -0.458 -0.758  -0.345 -0.640  -0.345 -0.476  -0.345 -0.311  -0.301 -0.165  -0.199 -0.043  -0.182 0.118  -0.108 0.265  -0.054 0.417  0.008 0.520  0.092 0.600  0.181 0.710  0.328 0.783  0.383 0.914  0.505 0.956  0.669 0.956  0.787 0.843  0.820 0.692  0.917 0.568  0.965 0.424  0.965 0.259  0.965 0.095  0.965 -0.070  0.984 -0.227  1.100 -0.343  1.111 -0.503  1.127 -0.661  1.243 -0.777  1.256 -0.936
1c#apa#apa01#app0100/o  0.173 1.323  0.035 1.321  0.030 1.185  -0.104 1.178  -0.110 1.040  -0.209 0.941  -0.308 0.842  -0.380 0.731  -0.409 0.603  -0.508 0.504  -0.518 0.367  -0.609 0.265  -0.656 0.144  -0.656 0.004  -0.656 -0.137  -0.656 -0.277  -0.656 -0.417  -0.656 -0.558  -0.618 -0.689  -0.555 -0.815  -0.518 -0.946  -0.475 -1.069  -0.380 -1.170  -0.372 -1.303  -0.232 -1.303  -0.092 -1.303  0.049 -1.303  0.184 -1.291  0.283 -1.192  0.412 -1.164  0.449 -1.061  0.483 -0.926  0.527 -0.793  0.571 -0.660  0.587 -0.522  0.587 -0.381  0.587 -0.241  0.587 -0.101  0.587 0.040  0.542 0.169  0.479 0.295  0.449 0.428  0.449 0.568  0.449 0.709  0.414 0.841  0.351 0.966  0.311 1.097  0.311 1.237  0.272 1.362  0.173 1.461
