1c#apa#apa01#app0128/f  -0.208 -1.513  -0.081 -1.546  -0.081 -1.573  -0.180 -1.513  -0.208 -1.381  -0.208 -1.221  -0.208 -1.061  -0.208 -0.902  -0.208 -0.742  -0.228 -0.587  -0.299 -0.445  -0.334 -0.293  -0.334 -0.134  -0.438 -0.017  -0.461 0.133  -0.461 0.293  -0.461 0.452  -0.461 0.612  -0.461 0.771  -0.461 0.931  -0.461 1.091  -0.355 1.145  -0.322 1.271  -0.163 1.271  -0.081 1.349  0.030 1.398  0.184 1.385  0.297 1.272  0.425 1.240  0.489 1.145  0.552 1.047  0.556 0.892  0.663 0.858  0.596 0.713  0.529 0.568  0.462 0.423  0.395 0.278  0.328 0.133  0.261 -0.011  0.194 -0.156  0.128 -0.301  0.061 -0.446  -0.006 -0.591  -0.073 -0.736  -0.067 -0.880  0.045 -0.927  0.125 -1.007  0.252 -0.927  0.392 -0.880  0.552 -0.880
1c#apa#apa01#app0128/e  -0.523 0.026  -0.361 0.026  -0.199 0.026  -0.037 0.026  0.125 0.026  0.190 0.122  0.190 0.284  0.254 0.382  0.368 0.429  0.368 0.591  0.368 0.753  0.368 0.914  0.368 1.076  0.267 1.196  0.138 1.273  -0.024 1.273  -0.166 1.253  -0.170 1.095  -0.331 1.095  -0.493 1.095  -0.523 0.963  -0.605 0.835  -0.701 0.713  -0.701 0.551  -0.701 0.389  -0.701 0.227  -0.799 0.106  -0.879 -0.022  -0.879 -0.184  -0.864 -0.331  -0.702 -0.331  -0.701 -0.491  -0.599 -0.611  -0.523 -0.741  -0.485 -0.865  -0.323 -0.865  -0.161 -0.865  0.000 -0.865  0.118 -0.971  0.250 -1.044  0.412 -1.044  0.574 -1.044  0.725 -1.033  0.725 -0.871  0.881 -0.865  1.043 -0.865  1.204 -0.865  1.335 -0.790  1.438 -0.671  1.438 -0.509
1c#apa#apa01#app0128/w  -1.444 0.609  -1.317 0.589  -1.317 0.441  -1.317 0.294  -1.235 0.228  -1.190 0.126  -1.190 -0.021  -1.089 -0.127  -1.063 -0.264  -1.059 -0.406  -0.936 -0.431  -0.891 -0.533  -0.810 -0.599  -0.723 -0.660  -0.683 -0.553  -0.592 -0.443  -0.556 -0.311  -0.440 -0.279  -0.429 -0.143  -0.399 -0.025  -0.302 0.025  -0.252 0.151  -0.148 0.256  -0.048 0.362  -0.048 0.455  -0.001 0.355  0.079 0.287  0.079 0.140  0.079 -0.007  0.206 -0.028  0.222 -0.169  0.326 -0.273  0.344 -0.406  0.482 -0.429  0.586 -0.533  0.734 -0.533  0.881 -0.533  1.010 -0.490  1.094 -0.378  1.144 -0.279  1.221 -0.210  1.221 -0.062  1.221 0.085  1.221 0.233  1.221 0.380  1.221 0.527  1.221 0.675  1.221 0.822  1.221 0.969  1.221 1.117
1c#apa#apa01#app0128/q  -0.165 0.756  -0.114 0.928  -0.045 1.092  -0.093 1.237  -0.166 1.357  -0.359 1.357  -0.526 1.331  -0.625 1.237  -0.766 1.115  -0.766 0.922  -0.870 0.772  -0.887 0.586  -0.887 0.393  -0.887 0.200  -0.782 0.050  -0.716 -0.086  -0.643 -0.206  -0.450 -0.206  -0.257 -0.206  -0.165 -0.105  -0.045 -0.032  0.075 0.041  0.075 0.234  0.195 0.307  0.195 0.500  0.195 0.693  0.075 0.765  0.075 0.794  0.075 0.601  0.075 0.408  0.195 0.335  0.195 0.142  0.195 -0.051  0.195 -0.244  0.306 -0.326  0.316 -0.510  0.316 -0.703  0.316 -0.896  0.316 -1.089  0.316 -1.282  0.382 -1.408  0.436 -1.547  0.436 -1.557  0.480 -1.408  0.556 -1.291  0.676 -1.218  0.796 -1.145  0.796 -0.952  0.917 -0.880  1.037 -0.807
1c#apa#apa01#app0128/u  -1.145 1.269  -1.145 1.111  -1.145 0.953  -1.145 0.795  -1.145 0.638  -1.145 0.480  -1.145 0.322  -1.145 0.164  -1.118 0.018  -1.006 -0.094  -0.971 -0.237  -0.971 -0.395  -0.897 -0.479  -0.796 -0.535  -0.756 -0.654  -0.621 -0.676  -0.616 -0.828  -0.458 -0.828  -0.300 -0.828  -0.272 -0.699  -0.159 -0.654  -0.029 -0.586  0.084 -0.479  0.242 -0.479  0.253 -0.332  0.253 -0.174  0.253 -0.016  0.349 0.045  0.427 0.125  0.427 0.282  0.427 0.440  0.427 0.598  0.427 0.756  0.427 0.914  0.580 0.919  0.602 0.784  0.602 0.626  0.602 0.469  0.602 0.311  0.602 0.153  0.652 0.045  0.777 0.012  0.777 -0.146  0.777 -0.303  0.888 -0.415  1.020 -0.479  1.177 -0.479  1.335 -0.479  1.493 -0.479  1.651 -0.479
1c#apa#apa01#app0128/i  -0.199 0.234  -0.199 0.120  -0.199 0.006  -0.199 -0.108  -0.199 -0.222  -0.199 -0.336  -0.199 -0.450  -0.095 -0.460  0.019 -0.460  0.033 -0.560  0.033 -0.674  0.033 -0.788  0.033 -0.903  0.033 -1.017  0.033 -1.131  0.033 -1.245  0.033 -1.359  0.119 -1.386  0.233 -1.386  0.253 -1.304  0.238 -1.191  0.223 -1.078  0.208 -0.965  0.193 -0.852  0.178 -0.739  0.163 -0.626  0.148 -0.513  0.133 -0.400  0.118 -0.287  0.103 -0.174  0.088 -0.061  0.073 0.052  0.058 0.165  0.043 0.278  0.027 0.391  0.012 0.504  -0.003 0.617  -0.018 0.730  -0.033 0.843  -0.048 0.956  -0.063 1.069  -0.078 1.182  -0.093 1.295  -0.108 1.408  -0.123 1.521  -0.138 1.634  -0.153 1.747  -0.168 1.860  -0.184 1.974  -0.199 2.087
1c#apa#apa01#app0128/p  -0.457 0.978  -0.403 0.803  -0.336 0.633  -0.336 0.436  -0.336 0.238  -0.336 0.041  -0.336 -0.157  -0.336 -0.354  -0.282 -0.529  -0.215 -0.699  -0.215 -0.897  -0.215 -1.094  -0.215 -1.292  -0.215 -1.489  -0.215 -1.687  -0.215 -1.884  -0.215 -1.776  -0.215 -1.579  -0.215 -1.381  -0.215 -1.184  -0.215 -0.986  -0.215 -0.789  -0.215 -0.591  -0.215 -0.394  -0.215 -0.196  -0.215 0.001  -0.215 0.199  -0.112 0.354  -0.094 0.544  -0.097 0.740  -0.215 0.889  -0.215 1.086  -0.151 1.220  0.005 1.319  0.193 1.341  0.391 1.341  0.538 1.220  0.633 1.118  0.754 1.041  0.849 0.883  0.875 0.697  0.875 0.499  0.875 0.302  0.849 0.130  0.652 0.130  0.454 0.130  0.257 0.130  0.059 0.130  -0.138 0.130  -0.215 0.251
1c#apa#apa01#app0128/s  0.126 0.905  0.126 1.050  -0.013 1.055  -0.158 1.055  -0.174 1.184  -0.297 1.205  -0.442 1.205  -0.587 1.205  -0.625 1.098  -0.726 1.055  -0.775 0.959  -0.839 0.840  -0.925 0.731  -0.925 0.586  -0.925 0.442  -0.918 0.304  -0.775 0.302  -0.775 0.157  -0.634 0.154  -0.489 0.154  -0.344 0.154  -0.199 0.154  -0.055 0.154  0.090 0.154  0.235 0.154  0.380 0.154  0.525 0.154  0.669 0.154  0.727 0.067  0.809 0.004  0.877 -0.073  0.877 -0.218  0.877 -0.362  0.877 -0.507  0.877 -0.652  0.877 -0.797  0.846 -0.929  0.743 -1.031  0.727 -1.169  0.611 -1.198  0.466 -1.198  0.321 -1.198  0.176 -1.198  0.126 -1.103  0.037 -1.048  -0.083 -0.988  -0.190 -0.897  -0.324 -0.887  -0.330 -0.747  -0.475 -0.747
1c#apa#apa01#app0128/g  0.353 0.321  0.353 0.493  0.353 0.665  0.293 0.812  0.245 0.964  0.137 1.091  0.057 1.183  -0.007 1.291  -0.179 1.291  -0.294 1.234  -0.402 1.170  -0.478 1.075  -0.533 0.944  -0.617 0.807  -0.617 0.635  -0.617 0.463  -0.588 0.321  -0.509 0.227  -0.396 0.105  -0.225 0.105  -0.078 0.131  0.011 0.213  0.075 0.321  0.137 0.431  0.184 0.583  0.245 0.730  0.245 0.817  0.245 0.646  0.245 0.474  0.245 0.302  0.245 0.130  0.349 0.001  0.353 -0.169  0.353 -0.341  0.353 -0.512  0.460 -0.577  0.460 -0.748  0.460 -0.920  0.460 -1.092  0.460 -1.264  0.361 -1.394  0.300 -1.511  0.163 -1.593  0.001 -1.618  -0.170 -1.618  -0.298 -1.511  -0.450 -1.463  -0.509 -1.316  -0.617 -1.251  -0.617 -1.080
1c#apa#apa01#app0128/a  0.079 0.323  0.079 0.494  0.079 0.665  0.079 0.836  0.022 0.983  -0.098 1.104  -0.259 1.127  -0.430 1.127  -0.601 1.127  -0.758 1.093  -0.879 0.972  -0.925 0.821  -0.925 0.650  -0.957 0.492  -1.077 0.372  -1.126 0.221  -1.126 0.050  -1.126 -0.121  -1.114 -0.279  -0.943 -0.279  -0.925 -0.432  -0.838 -0.567  -0.715 -0.681  -0.544 -0.681  -0.373 -0.681  -0.203 -0.681  -0.122 -0.591  -0.062 -0.480  0.079 -0.451  0.079 -0.280  0.250 -0.279  0.280 -0.139  0.280 0.031  0.280 0.202  0.330 0.323  0.481 0.304  0.481 0.133  0.481 -0.038  0.611 -0.079  0.682 -0.179  0.682 -0.349  0.722 -0.480  0.883 -0.490  0.883 -0.661  1.033 -0.681  1.204 -0.681  1.375 -0.681  1.486 -0.741  1.516 -0.882  1.686 -0.882
1c#apa#apa01#app0128/l  -0.376 1.618  -0.323 1.565  -0.271 1.512  -0.250 1.446  -0.250 1.371  -0.250 1.296  -0.250 1.221  -0.250 1.147  -0.250 1.072  -0.250 0.997  -0.185 0.988  -0.124 0.974  -0.124 0.899  -0.124 0.824  -0.124 0.749  -0.124 0.674  -0.117 0.603  -0.064 0.550  -0.011 0.497  0.002 0.428  0.002 0.353  0.002 0.278  0.002 0.203  0.002 0.128  0.002 0.054  0.002 -0.021  0.002 -0.096  0.002 -0.171  0.002 -0.245  0.002 -0.320  0.002 -0.395  0.052 -0.449  0.105 -0.502  0.128 -0.567  0.128 -0.642  0.128 -0.717  0.128 -0.792  0.128 -0.866  0.128 -0.941  0.128 -1.016  0.171 -1.073  0.224 -1.125  0.254 -1.188  0.254 -1.263  0.254 -1.338  0.254 -1.412  0.254 -1.487  0.274 -1.554  0.327 -1.606  0.380 -1.659
