1c#apa#apa01#app0175/o  0.135 0.635  0.027 0.528  -0.094 0.453  -0.246 0.453  -0.398 0.453  -0.510 0.355  -0.627 0.271  -0.776 0.268  -0.776 0.116  -0.864 0.001  -0.958 -0.113  -0.958 -0.265  -0.958 -0.417  -0.958 -0.569  -0.958 -0.721  -0.908 -0.823  -0.776 -0.843  -0.776 -0.995  -0.634 -1.005  -0.482 -1.005  -0.329 -1.005  -0.177 -1.005  -0.025 -1.005  0.127 -1.005  0.279 -1.005  0.398 -0.924  0.508 -0.823  0.660 -0.823  0.682 -0.692  0.782 -0.640  0.864 -0.570  0.864 -0.418  0.864 -0.266  0.864 -0.114  0.864 0.038  0.864 0.190  0.864 0.342  0.835 0.482  0.727 0.590  0.682 0.723  0.624 0.818  0.480 0.837  0.373 0.945  0.265 1.052  0.157 1.160  0.015 1.182  -0.047 1.273  -0.107 1.364  -0.229 1.334  -0.229 1.182
1c#apa#apa01#app0175/f  -0.166 -1.953  -0.166 -1.800  -0.166 -1.647  -0.166 -1.494  -0.207 -1.358  -0.304 -1.245  -0.304 -1.092  -0.304 -0.939  -0.304 -0.786  -0.304 -0.633  -0.366 -0.505  -0.443 -0.384  -0.443 -0.231  -0.443 -0.078  -0.443 0.075  -0.443 0.228  -0.525 0.347  -0.582 0.477  -0.582 0.630  -0.479 0.681  -0.443 0.798  -0.350 0.913  -0.304 1.047  -0.202 1.097  -0.048 1.097  0.105 1.097  0.119 1.236  0.272 1.236  0.425 1.236  0.528 1.185  0.593 1.097  0.746 1.097  0.805 1.003  0.805 0.850  0.739 0.716  0.657 0.587  0.574 0.457  0.492 0.328  0.410 0.199  0.328 0.070  0.246 -0.059  0.163 -0.188  0.081 -0.318  -0.001 -0.447  -0.083 -0.576  -0.165 -0.705  -0.058 -0.813  0.083 -0.844  0.236 -0.844  0.389 -0.844
1c#apa#apa01#app0175/s  0.198 1.370  0.104 1.276  0.009 1.188  -0.123 1.188  -0.229 1.125  -0.322 1.031  -0.445 1.007  -0.528 0.959  -0.528 0.826  -0.659 0.825  -0.768 0.768  -0.861 0.674  -0.803 0.644  -0.710 0.604  -0.710 0.472  -0.588 0.462  -0.456 0.462  -0.324 0.462  -0.191 0.462  -0.059 0.462  0.073 0.462  0.205 0.462  0.337 0.462  0.379 0.372  0.420 0.280  0.552 0.280  0.561 0.158  0.634 0.099  0.743 0.075  0.743 -0.057  0.743 -0.189  0.743 -0.322  0.743 -0.454  0.743 -0.586  0.743 -0.718  0.713 -0.838  0.620 -0.931  0.512 -0.990  0.380 -0.990  0.379 -1.122  0.298 -1.172  0.165 -1.172  0.033 -1.172  -0.099 -1.172  -0.231 -1.172  -0.363 -1.172  -0.495 -1.172  -0.627 -1.172  -0.759 -1.172  -0.892 -1.172
1c#apa#apa01#app0175/a  0.499 -0.292  0.647 -0.145  0.677 0.051  0.677 0.260  0.677 0.468  0.677 0.677  0.566 0.774  0.499 0.916  0.326 0.952  0.118 0.952  -0.091 0.952  -0.299 0.952  -0.508 0.952  -0.716 0.952  -0.747 0.774  -0.923 0.742  -0.987 0.597  -1.101 0.502  -1.226 0.419  -1.279 0.263  -1.279 0.055  -1.279 -0.154  -1.279 -0.363  -1.207 -0.542  -1.043 -0.648  -0.923 -0.737  -0.803 -0.826  -0.595 -0.826  -0.387 -0.823  -0.240 -0.676  -0.043 -0.648  -0.012 -0.470  0.143 -0.417  0.203 -0.233  0.321 -0.073  0.372 0.114  0.499 0.270  0.499 0.479  0.499 0.506  0.585 0.333  0.677 0.163  0.677 -0.046  0.677 -0.255  0.677 -0.463  0.855 -0.494  0.855 -0.702  0.855 -0.911  0.971 -1.003  1.032 -1.150  1.210 -1.181
1c#apa#apa01#app0175/r  -0.898 0.757  -0.898 0.611  -0.811 0.551  -0.692 0.524  -0.692 0.377  -0.692 0.231  -0.637 0.139  -0.491 0.139  -0.486 -0.003  -0.486 -0.149  -0.470 -0.289  -0.366 -0.393  -0.279 -0.503  -0.279 -0.650  -0.279 -0.796  -0.279 -0.943  -0.279 -1.089  -0.279 -1.236  -0.279 -1.382  -0.279 -1.491  -0.279 -1.345  -0.279 -1.198  -0.279 -1.052  -0.279 -0.905  -0.279 -0.759  -0.279 -0.612  -0.279 -0.466  -0.279 -0.319  -0.279 -0.173  -0.279 -0.026  -0.279 0.120  -0.279 0.267  -0.231 0.393  -0.128 0.497  -0.073 0.621  -0.063 0.757  0.083 0.757  0.230 0.757  0.376 0.757  0.523 0.757  0.669 0.757  0.816 0.757  0.962 0.757  1.109 0.757  1.255 0.757  1.402 0.757  1.548 0.757  1.576 0.638  1.576 0.491  1.576 0.345
1c#apa#apa01#app0175/e  -0.316 0.249  -0.316 0.091  -0.181 0.067  -0.023 0.067  0.110 0.129  0.222 0.241  0.377 0.249  0.412 0.373  0.412 0.531  0.488 0.613  0.594 0.666  0.594 0.824  0.588 0.977  0.429 0.977  0.412 1.118  0.295 1.159  0.136 1.159  -0.022 1.159  -0.134 1.112  -0.157 0.977  -0.315 0.977  -0.428 0.865  -0.540 0.753  -0.652 0.641  -0.680 0.495  -0.775 0.431  -0.862 0.360  -0.862 0.201  -0.862 0.043  -0.862 -0.115  -0.862 -0.274  -0.766 -0.392  -0.680 -0.515  -0.667 -0.661  -0.509 -0.661  -0.498 -0.808  -0.374 -0.843  -0.316 -0.943  -0.239 -1.025  -0.080 -1.025  0.078 -1.025  0.236 -1.025  0.395 -1.025  0.553 -1.025  0.712 -1.025  0.870 -1.025  1.028 -1.025  1.187 -1.025  1.345 -1.025  1.504 -1.025
1c#apa#apa01#app0175/u  -1.203 1.025  -1.203 0.878  -1.203 0.731  -1.203 0.585  -1.203 0.438  -1.203 0.291  -1.203 0.144  -1.203 -0.002  -1.203 -0.149  -1.203 -0.296  -1.071 -0.311  -1.036 -0.423  -0.945 -0.478  -0.869 -0.549  -0.818 -0.645  -0.671 -0.645  -0.525 -0.645  -0.378 -0.645  -0.231 -0.645  -0.084 -0.645  -0.034 -0.548  0.042 -0.478  0.132 -0.421  0.158 -0.285  0.262 -0.181  0.299 -0.050  0.351 0.075  0.455 0.179  0.466 0.321  0.466 0.468  0.466 0.614  0.466 0.761  0.466 0.908  0.466 0.995  0.473 0.851  0.577 0.747  0.633 0.624  0.633 0.477  0.633 0.330  0.638 0.185  0.742 0.082  0.800 -0.041  0.831 -0.175  0.935 -0.278  0.967 -0.412  1.048 -0.478  1.195 -0.478  1.301 -0.518  1.321 -0.645  1.468 -0.645
1c#apa#apa01#app0175/n  -1.073 0.561  -1.073 0.411  -0.986 0.298  -0.896 0.185  -0.896 0.036  -0.896 -0.114  -0.896 -0.263  -0.832 -0.386  -0.726 -0.492  -0.719 -0.639  -0.719 -0.788  -0.719 -0.767  -0.719 -0.618  -0.719 -0.468  -0.718 -0.319  -0.651 -0.185  -0.584 -0.051  -0.543 0.088  -0.543 0.238  -0.543 0.388  -0.543 0.537  -0.543 0.687  -0.444 0.738  -0.366 0.809  -0.322 0.914  -0.172 0.914  -0.022 0.914  0.127 0.914  0.277 0.914  0.426 0.914  0.559 0.873  0.665 0.767  0.694 0.630  0.694 0.480  0.748 0.384  0.871 0.358  0.871 0.208  0.871 0.059  0.871 -0.091  0.871 -0.240  0.871 -0.390  0.871 -0.540  0.871 -0.689  0.871 -0.839  0.871 -0.988  0.871 -1.138  0.952 -1.206  1.047 -1.152  1.047 -1.002  1.047 -0.853
1c#apa#apa01#app0175/d  0.211 -0.264  0.126 -0.371  -0.067 -0.371  -0.220 -0.411  -0.344 -0.479  -0.436 -0.580  -0.544 -0.665  -0.544 -0.858  -0.511 -1.018  -0.426 -1.126  -0.261 -1.193  -0.112 -1.261  -0.001 -1.342  0.192 -1.342  0.211 -1.168  0.319 -1.083  0.300 -0.892  0.272 -0.701  0.244 -0.510  0.215 -0.320  0.187 -0.129  0.159 0.062  0.131 0.253  0.102 0.443  0.074 0.634  0.046 0.825  0.018 1.015  -0.011 1.206  -0.039 1.397  -0.067 1.587  -0.095 1.778  -0.112 1.970  -0.112 1.840  -0.112 1.647  -0.109 1.455  -0.023 1.283  -0.005 1.094  -0.005 0.901  -0.005 0.709  -0.005 0.516  -0.005 0.323  0.060 0.146  0.103 -0.037  0.103 -0.230  0.103 -0.423  0.103 -0.616  0.103 -0.808  0.103 -1.001  0.259 -0.971  0.427 -0.911
1c#apa#apa01#app0175/e  -0.410 -0.301  -0.244 -0.301  -0.078 -0.301  -0.000 -0.214  -0.000 -0.048  0.006 0.115  0.123 0.232  0.204 0.364  0.217 0.517  0.382 0.517  0.409 0.656  0.409 0.822  0.409 0.987  0.387 1.131  0.221 1.131  0.204 1.279  0.095 1.336  -0.000 1.265  -0.032 1.131  -0.197 1.131  -0.317 1.019  -0.444 0.926  -0.609 0.926  -0.614 0.766  -0.700 0.636  -0.817 0.519  -0.819 0.354  -0.819 0.188  -0.819 0.022  -0.819 -0.143  -0.811 -0.301  -0.646 -0.301  -0.614 -0.435  -0.519 -0.506  -0.410 -0.562  -0.392 -0.710  -0.227 -0.710  -0.205 -0.854  -0.100 -0.915  0.065 -0.915  0.223 -0.934  0.340 -1.051  0.477 -1.119  0.643 -1.119  0.808 -1.119  0.974 -1.119  1.140 -1.119  1.227 -1.041  1.266 -0.915  1.432 -0.915
1c#apa#apa01#app0175/f  -0.175 -1.884  -0.191 -1.761  -0.299 -1.729  -0.299 -1.589  -0.299 -1.450  -0.299 -1.310  -0.299 -1.171  -0.299 -1.031  -0.300 -0.892  -0.362 -0.767  -0.423 -0.642  -0.423 -0.502  -0.423 -0.362  -0.423 -0.223  -0.423 -0.083  -0.423 0.056  -0.423 0.196  -0.423 0.336  -0.423 0.475  -0.423 0.615  -0.423 0.754  -0.423 0.894  -0.353 0.964  -0.299 1.049  -0.198 1.088  -0.175 1.205  -0.042 1.212  0.097 1.212  0.237 1.212  0.377 1.212  0.516 1.212  0.568 1.124  0.568 0.984  0.687 0.964  0.688 0.830  0.634 0.701  0.580 0.572  0.526 0.443  0.473 0.314  0.419 0.185  0.365 0.056  0.312 -0.072  0.258 -0.201  0.204 -0.330  0.151 -0.459  0.097 -0.588  0.149 -0.646  0.289 -0.646  0.320 -0.754  0.444 -0.770
