1c#apa#apa02#app0213/b  -0.901 1.708  -0.901 1.598  -0.901 1.633  -0.901 1.447  -0.794 1.305  -0.752 1.137  -0.752 0.951  -0.714 0.781  -0.604 0.641  -0.604 0.455  -0.529 0.300  -0.456 0.145  -0.456 -0.041  -0.446 -0.217  -0.308 -0.265  -0.308 -0.450  -0.308 -0.636  -0.308 -0.822  -0.308 -0.906  -0.308 -0.720  -0.308 -0.534  -0.456 -0.497  -0.456 -0.311  -0.365 -0.217  -0.308 -0.087  -0.289 0.080  -0.160 0.136  -0.066 0.228  0.081 0.321  0.212 0.452  0.369 0.524  0.554 0.524  0.740 0.524  0.876 0.474  0.876 0.288  1.001 0.228  1.024 0.065  1.024 -0.121  1.024 -0.307  1.024 -0.493  1.024 -0.679  0.968 -0.809  0.876 -0.902  0.745 -0.957  0.609 -1.076  0.435 -1.105  0.284 -1.070  0.211 -0.957  0.025 -0.957  -0.012 -0.809
1c#apa#apa02#app0213/o  0.562 0.665  0.388 0.665  0.366 0.817  0.237 0.861  0.063 0.861  -0.025 0.775  -0.089 0.665  -0.262 0.665  -0.430 0.651  -0.553 0.529  -0.612 0.379  -0.680 0.274  -0.807 0.228  -0.807 0.054  -0.807 -0.119  -0.807 -0.293  -0.807 -0.467  -0.807 -0.640  -0.807 -0.814  -0.720 -0.900  -0.612 -0.965  -0.568 -1.096  -0.401 -1.111  -0.278 -1.234  -0.129 -1.291  0.045 -1.291  0.219 -1.291  0.392 -1.291  0.565 -1.288  0.687 -1.166  0.757 -1.021  0.757 -0.847  0.757 -0.674  0.757 -0.500  0.757 -0.327  0.757 -0.153  0.660 -0.020  0.562 0.113  0.562 0.287  0.562 0.460  0.445 0.586  0.366 0.727  0.327 0.861  0.171 0.878  0.171 1.052  0.002 1.056  -0.025 1.203  -0.150 1.252  -0.293 1.179  -0.416 1.056
1c#apa#apa02#app0213/x  -1.890 0.465  -1.680 0.465  -1.469 0.465  -1.259 0.465  -1.128 0.385  -1.092 0.211  -0.881 0.211  -0.670 0.211  -0.506 0.098  -0.354 -0.043  -0.144 -0.043  -0.111 -0.221  0.023 -0.297  0.143 -0.388  0.190 -0.552  0.397 -0.555  0.397 -0.766  0.568 -0.806  0.779 -0.806  0.906 -0.889  0.946 -1.060  1.156 -1.060  1.083 -0.868  1.005 -0.672  0.927 -0.477  0.849 -0.281  0.770 -0.086  0.692 0.110  0.614 0.305  0.536 0.501  0.457 0.697  0.379 0.892  0.301 1.088  0.223 1.283  0.145 1.479  0.143 1.275  0.143 1.064  0.143 0.854  0.067 0.720  -0.111 0.687  -0.111 0.476  -0.111 0.266  -0.111 0.055  -0.191 -0.123  -0.340 -0.272  -0.365 -0.472  -0.365 -0.682  -0.365 -0.893  -0.365 -1.104  -0.365 -1.314
1c#apa#apa02#app0213/s  0.225 1.232  0.122 1.129  0.001 1.072  -0.143 1.072  -0.279 1.049  -0.381 0.946  -0.511 0.911  -0.576 0.831  -0.641 0.751  -0.771 0.716  -0.873 0.614  -1.009 0.591  -1.056 0.494  -1.138 0.431  -1.149 0.431  -1.004 0.431  -0.860 0.431  -0.721 0.416  -0.619 0.314  -0.492 0.271  -0.347 0.271  -0.202 0.271  -0.057 0.271  0.088 0.271  0.232 0.271  0.377 0.271  0.522 0.271  0.545 0.149  0.651 0.111  0.705 0.020  0.781 -0.049  0.865 -0.110  0.897 -0.241  0.999 -0.343  1.025 -0.478  1.025 -0.622  0.970 -0.744  0.868 -0.847  0.865 -0.990  0.739 -1.009  0.595 -1.009  0.478 -1.077  0.371 -1.170  0.227 -1.170  0.082 -1.170  -0.063 -1.170  -0.208 -1.170  -0.324 -1.101  -0.416 -0.994  -0.416 -0.849
1c#apa#apa02#app0213/a  0.424 0.334  0.424 0.502  0.327 0.574  0.184 0.599  0.184 0.768  0.061 0.813  -0.107 0.813  -0.275 0.813  -0.444 0.813  -0.535 0.736  -0.541 0.574  -0.709 0.574  -0.878 0.574  -1.015 0.542  -1.015 0.374  -1.143 0.334  -1.255 0.277  -1.255 0.108  -1.255 -0.060  -1.255 -0.228  -1.255 -0.397  -1.255 -0.565  -1.146 -0.625  -0.978 -0.625  -0.810 -0.625  -0.641 -0.625  -0.473 -0.625  -0.304 -0.625  -0.136 -0.625  0.007 -0.563  0.126 -0.444  0.270 -0.386  0.424 -0.371  0.424 -0.203  0.536 -0.146  0.664 -0.106  0.664 0.063  0.664 0.231  0.730 0.334  0.898 0.334  1.066 0.334  1.143 0.242  1.143 0.074  1.143 -0.095  1.143 -0.263  1.143 -0.431  1.143 -0.600  1.143 -0.768  1.215 -0.865  1.383 -0.865
1c#apa#apa02#app0213/i  -0.154 -0.209  -0.085 -0.279  -0.015 -0.348  0.054 -0.418  0.058 -0.515  0.058 -0.613  0.058 -0.711  0.058 -0.810  0.101 -0.890  0.170 -0.960  0.240 -1.029  0.271 -1.115  0.271 -1.213  0.309 -1.273  0.407 -1.273  0.477 -1.253  0.446 -1.160  0.415 -1.066  0.384 -0.973  0.353 -0.880  0.322 -0.786  0.291 -0.693  0.259 -0.600  0.228 -0.507  0.197 -0.413  0.166 -0.320  0.135 -0.227  0.104 -0.133  0.073 -0.040  0.042 0.053  0.011 0.146  -0.020 0.240  -0.052 0.333  -0.083 0.426  -0.114 0.520  -0.145 0.613  -0.176 0.706  -0.207 0.799  -0.238 0.893  -0.269 0.986  -0.300 1.079  -0.331 1.173  -0.362 1.266  -0.394 1.359  -0.425 1.453  -0.456 1.546  -0.487 1.639  -0.518 1.732  -0.549 1.826  -0.580 1.919
1c#apa#apa02#app0213/d  -0.094 -0.053  -0.150 -0.185  -0.327 -0.235  -0.494 -0.321  -0.630 -0.449  -0.799 -0.495  -0.933 -0.628  -1.017 -0.781  -0.892 -0.845  -0.757 -0.973  -0.624 -1.106  -0.436 -1.108  -0.248 -1.108  -0.108 -1.226  0.075 -1.240  0.236 -1.175  0.289 -1.015  0.264 -0.828  0.238 -0.641  0.213 -0.454  0.187 -0.268  0.162 -0.081  0.137 0.106  0.111 0.293  0.086 0.479  0.060 0.666  0.035 0.853  0.009 1.040  -0.016 1.226  -0.042 1.413  -0.067 1.600  -0.093 1.787  0.038 1.746  0.038 1.557  0.068 1.399  0.170 1.312  0.178 1.127  0.302 0.990  0.302 0.802  0.302 0.613  0.302 0.425  0.302 0.236  0.375 0.065  0.434 -0.110  0.434 -0.298  0.434 -0.487  0.434 -0.675  0.434 -0.863  0.510 -0.977  0.566 -1.108
1c#apa#apa02#app0213/t  -0.221 1.762  -0.040 1.762  -0.001 1.620  -0.001 1.438  -0.001 1.257  -0.001 1.075  -0.001 0.893  -0.001 0.712  -0.001 0.530  -0.001 0.349  -0.001 0.167  -0.001 -0.015  -0.001 -0.196  0.108 -0.333  0.220 -0.468  0.220 -0.650  0.220 -0.831  0.220 -1.013  0.220 -1.194  0.220 -1.376  0.220 -1.558  0.220 -1.739  0.157 -1.629  0.082 -1.464  0.006 -1.299  -0.069 -1.133  -0.144 -0.968  -0.219 -0.803  -0.294 -0.637  -0.369 -0.472  -0.444 -0.307  -0.520 -0.142  -0.595 0.024  -0.670 0.189  -0.745 0.354  -0.820 0.520  -0.855 0.659  -0.673 0.659  -0.542 0.538  -0.401 0.438  -0.220 0.438  -0.038 0.438  0.143 0.438  0.325 0.438  0.487 0.392  0.616 0.263  0.778 0.218  0.960 0.218  1.142 0.218  1.323 0.218
1c#apa#apa02#app0213/s  0.017 1.445  -0.068 1.361  -0.152 1.276  -0.237 1.191  -0.322 1.106  -0.407 1.021  -0.505 0.969  -0.625 0.969  -0.731 0.936  -0.815 0.851  -0.900 0.766  -0.936 0.661  -0.936 0.541  -0.936 0.421  -0.936 0.301  -0.863 0.254  -0.743 0.254  -0.623 0.254  -0.503 0.254  -0.383 0.254  -0.264 0.254  -0.144 0.254  -0.024 0.254  0.096 0.254  0.216 0.254  0.336 0.254  0.456 0.254  0.494 0.172  0.494 0.052  0.577 0.016  0.697 0.016  0.732 -0.069  0.732 -0.189  0.732 -0.309  0.732 -0.429  0.732 -0.549  0.732 -0.668  0.732 -0.788  0.732 -0.908  0.641 -0.937  0.521 -0.937  0.494 -1.030  0.494 -1.149  0.400 -1.175  0.280 -1.175  0.188 -1.243  0.103 -1.328  0.018 -1.412  -0.101 -1.413  -0.221 -1.413
1c#apa#apa02#app0213/n  -0.927 0.491  -0.927 0.339  -0.927 0.188  -0.927 0.036  -0.927 -0.115  -0.927 -0.267  -0.927 -0.419  -0.927 -0.570  -0.927 -0.722  -0.927 -0.873  -0.830 -0.928  -0.725 -0.974  -0.725 -1.126  -0.621 -1.026  -0.522 -0.916  -0.522 -0.764  -0.522 -0.612  -0.479 -0.479  -0.371 -0.372  -0.320 -0.242  -0.320 -0.090  -0.320 0.062  -0.229 0.176  -0.122 0.283  -0.117 0.433  -0.117 0.584  -0.117 0.736  -0.117 0.887  0.026 0.896  0.151 0.961  0.258 1.068  0.397 1.099  0.548 1.099  0.694 1.093  0.694 0.941  0.800 0.896  0.896 0.841  0.896 0.689  0.896 0.537  0.896 0.386  0.896 0.234  0.896 0.083  0.896 -0.069  0.896 -0.221  0.896 -0.372  0.896 -0.524  0.896 -0.675  0.896 -0.827  0.947 -0.928  1.099 -0.928
1c#apa#apa02#app0213/o  -0.264 0.902  -0.264 0.743  -0.326 0.645  -0.486 0.645  -0.521 0.521  -0.548 0.387  -0.708 0.387  -0.779 0.299  -0.779 0.139  -0.930 0.130  -1.036 0.077  -1.036 -0.083  -1.036 -0.243  -1.036 -0.403  -1.036 -0.562  -0.956 -0.642  -0.797 -0.642  -0.779 -0.784  -0.734 -0.900  -0.575 -0.900  -0.415 -0.900  -0.255 -0.900  -0.095 -0.900  0.065 -0.900  0.224 -0.900  0.384 -0.900  0.544 -0.900  0.704 -0.900  0.766 -0.802  0.766 -0.642  0.926 -0.642  1.023 -0.580  1.023 -0.420  1.023 -0.261  1.023 -0.101  1.023 0.059  1.023 0.219  1.023 0.379  0.917 0.494  0.804 0.607  0.659 0.645  0.508 0.654  0.508 0.814  0.437 0.902  0.278 0.902  0.118 0.902  -0.006 0.938  -0.006 1.098  -0.104 1.160  -0.264 1.160
