1c#apa#apa04#app0403/r  -0.347 0.048  -0.347 -0.073  -0.250 -0.097  -0.202 -0.170  -0.202 -0.291  -0.202 -0.412  -0.203 -0.533  -0.288 -0.618  -0.347 -0.715  -0.347 -0.836  -0.347 -0.957  -0.426 -1.045  -0.492 -1.138  -0.492 -1.259  -0.492 -1.380  -0.392 -1.401  -0.347 -1.325  -0.347 -1.204  -0.347 -1.083  -0.347 -0.962  -0.347 -0.841  -0.347 -0.720  -0.292 -0.622  -0.207 -0.536  -0.202 -0.417  -0.202 -0.297  -0.202 -0.176  -0.172 -0.067  -0.087 0.018  -0.057 0.127  -0.057 0.248  -0.057 0.369  -0.057 0.490  -0.057 0.611  -0.057 0.732  -0.057 0.852  -0.017 0.957  0.068 1.042  0.154 1.128  0.242 1.206  0.363 1.206  0.484 1.206  0.605 1.206  0.726 1.206  0.836 1.182  0.922 1.096  1.028 1.061  1.149 1.061  1.270 1.061  1.391 1.061
1c#apa#apa04#app0403/e  -0.382 0.183  -0.235 0.183  -0.088 0.183  0.060 0.183  0.207 0.183  0.354 0.183  0.502 0.183  0.560 0.273  0.561 0.419  0.708 0.419  0.855 0.419  1.003 0.419  1.030 0.538  1.030 0.686  1.030 0.833  0.940 0.890  0.793 0.890  0.645 0.890  0.498 0.890  0.351 0.890  0.203 0.890  0.056 0.890  -0.091 0.890  -0.212 0.825  -0.316 0.721  -0.436 0.654  -0.583 0.654  -0.697 0.575  -0.801 0.470  -0.853 0.344  -0.853 0.197  -0.853 0.050  -0.853 -0.097  -0.853 -0.245  -0.853 -0.392  -0.853 -0.539  -0.853 -0.687  -0.800 -0.812  -0.696 -0.916  -0.591 -1.020  -0.487 -1.124  -0.383 -1.228  -0.236 -1.229  -0.089 -1.229  0.058 -1.229  0.206 -1.229  0.353 -1.229  0.500 -1.229  0.648 -1.229  0.795 -1.229
1c#apa#apa04#app0403/p  -0.329 0.060  -0.329 -0.107  -0.384 -0.252  -0.458 -0.389  -0.530 -0.526  -0.587 -0.670  -0.587 -0.838  -0.587 -1.005  -0.587 -1.173  -0.587 -1.340  -0.587 -1.508  -0.525 -1.614  -0.458 -1.513  -0.458 -1.346  -0.458 -1.178  -0.458 -1.011  -0.458 -0.843  -0.384 -0.693  -0.329 -0.539  -0.329 -0.371  -0.329 -0.204  -0.257 -0.053  -0.200 0.101  -0.200 0.268  -0.200 0.436  -0.162 0.599  -0.122 0.761  -0.081 0.924  0.019 1.052  0.137 1.171  0.285 1.219  0.323 1.348  0.491 1.348  0.658 1.348  0.701 1.223  0.854 1.195  0.958 1.071  0.958 0.903  0.958 0.736  0.958 0.568  0.926 0.414  0.798 0.318  0.701 0.248  0.592 0.189  0.440 0.123  0.295 0.041  0.173 -0.068  0.006 -0.068  -0.072 -0.158  -0.200 -0.197
1c#apa#apa04#app0403/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#apa#apa04#app0403/i  -0.387 0.130  -0.338 0.032  -0.289 -0.067  -0.239 -0.166  -0.206 -0.268  -0.206 -0.378  -0.206 -0.489  -0.206 -0.599  -0.206 -0.709  -0.206 -0.820  -0.206 -0.930  -0.206 -1.041  -0.206 -1.151  -0.206 -1.261  -0.206 -1.372  -0.206 -1.482  -0.195 -1.416  -0.181 -1.307  -0.167 -1.197  -0.154 -1.088  -0.140 -0.978  -0.126 -0.869  -0.113 -0.759  -0.099 -0.650  -0.085 -0.540  -0.072 -0.431  -0.058 -0.321  -0.044 -0.212  -0.031 -0.102  -0.017 0.007  -0.003 0.117  0.011 0.226  0.024 0.336  0.038 0.445  0.052 0.555  0.065 0.664  0.079 0.774  0.093 0.883  0.106 0.993  0.120 1.102  0.134 1.212  0.147 1.321  0.187 1.402  0.297 1.402  0.407 1.402  0.518 1.402  0.597 1.478  0.675 1.556  0.774 1.583  0.884 1.583
1c#apa#apa04#app0403/e  -0.939 -0.343  -0.781 -0.343  -0.624 -0.343  -0.466 -0.343  -0.325 -0.326  -0.325 -0.169  -0.198 -0.138  -0.041 -0.138  0.107 -0.115  0.219 -0.004  0.347 0.066  0.505 0.066  0.662 0.066  0.698 0.188  0.773 0.271  0.930 0.271  1.088 0.271  1.205 0.369  1.312 0.482  1.312 0.639  1.312 0.797  1.242 0.885  1.084 0.885  0.927 0.885  0.769 0.885  0.612 0.885  0.454 0.885  0.297 0.885  0.183 0.779  0.066 0.680  -0.091 0.680  -0.211 0.590  -0.322 0.478  -0.434 0.367  -0.545 0.255  -0.657 0.144  -0.768 0.033  -0.879 -0.079  -0.939 -0.212  -0.939 -0.369  -0.939 -0.527  -0.939 -0.684  -0.939 -0.842  -0.909 -0.987  -0.797 -1.098  -0.686 -1.209  -0.574 -1.321  -0.436 -1.366  -0.278 -1.366  -0.121 -1.366
1c#apa#apa04#app0403/d  -0.092 -0.579  -0.092 -0.400  -0.238 -0.367  -0.417 -0.367  -0.573 -0.424  -0.700 -0.550  -0.827 -0.677  -0.941 -0.809  -0.941 -0.989  -0.941 -1.168  -0.810 -1.216  -0.630 -1.216  -0.458 -1.187  -0.299 -1.105  -0.161 -1.004  -0.014 -0.926  0.113 -0.800  0.174 -0.632  0.227 -0.461  0.287 -0.307  0.333 -0.146  0.333 0.033  0.333 0.212  0.333 0.392  0.333 0.571  0.333 0.750  0.333 0.930  0.333 1.109  0.333 1.289  0.333 1.468  0.333 1.647  0.333 1.827  0.307 1.731  0.227 1.585  0.227 1.406  0.227 1.226  0.194 1.054  0.121 0.892  0.121 0.713  0.121 0.534  0.121 0.354  0.121 0.175  0.121 -0.005  0.121 -0.184  0.121 -0.363  0.121 -0.543  0.121 -0.722  0.227 -0.795  0.281 -0.952  0.439 -1.004
1c#apa#apa04#app0403/o  -0.196 0.391  -0.291 0.296  -0.386 0.201  -0.492 0.133  -0.626 0.133  -0.712 0.084  -0.712 -0.050  -0.754 -0.167  -0.849 -0.262  -0.943 -0.357  -0.970 -0.480  -0.970 -0.614  -0.970 -0.749  -0.970 -0.883  -0.853 -0.900  -0.719 -0.900  -0.585 -0.900  -0.451 -0.900  -0.316 -0.900  -0.182 -0.900  -0.048 -0.900  0.087 -0.900  0.221 -0.900  0.345 -0.876  0.440 -0.781  0.535 -0.686  0.651 -0.642  0.786 -0.642  0.837 -0.559  0.837 -0.425  0.837 -0.291  0.837 -0.156  0.837 -0.022  0.837 0.112  0.837 0.246  0.837 0.381  0.749 0.479  0.654 0.574  0.579 0.677  0.579 0.811  0.552 0.934  0.457 1.029  0.362 1.124  0.245 1.165  0.111 1.165  0.002 1.226  -0.093 1.321  -0.188 1.416  -0.320 1.424  -0.454 1.424
1c#apa#apa04#app0403/b  -0.090 2.152  -0.092 2.001  -0.199 1.893  -0.241 1.758  -0.241 1.606  -0.241 1.453  -0.241 1.301  -0.241 1.149  -0.287 1.008  -0.355 0.871  -0.391 0.728  -0.391 0.575  -0.391 0.423  -0.391 0.271  -0.391 0.119  -0.391 -0.034  -0.449 -0.162  -0.541 -0.276  -0.541 -0.428  -0.541 -0.580  -0.541 -0.733  -0.541 -0.885  -0.510 -1.006  -0.358 -1.006  -0.241 -0.971  -0.214 -0.829  -0.107 -0.722  -0.090 -0.576  0.002 -0.462  0.060 -0.334  0.111 -0.203  0.222 -0.103  0.361 -0.090  0.375 0.054  0.511 0.122  0.647 0.190  0.798 0.197  0.812 0.060  0.812 -0.093  0.812 -0.245  0.812 -0.397  0.812 -0.549  0.708 -0.659  0.601 -0.766  0.488 -0.867  0.352 -0.935  0.216 -1.003  0.064 -1.006  -0.088 -1.006  -0.241 -1.006
1c#apa#apa04#app0403/b  -0.244 2.213  -0.244 2.038  -0.244 1.862  -0.244 1.686  -0.244 1.510  -0.244 1.334  -0.244 1.158  -0.244 0.983  -0.244 0.807  -0.244 0.631  -0.244 0.455  -0.244 0.279  -0.244 0.103  -0.285 -0.055  -0.392 -0.187  -0.392 -0.363  -0.392 -0.539  -0.440 -0.703  -0.519 -0.861  -0.541 -1.031  -0.541 -1.197  -0.541 -1.022  -0.499 -0.863  -0.392 -0.731  -0.355 -0.571  -0.244 -0.441  -0.223 -0.270  -0.145 -0.113  -0.095 0.051  -0.030 0.200  0.094 0.324  0.223 0.442  0.381 0.521  0.543 0.580  0.698 0.529  0.796 0.394  0.796 0.218  0.796 0.042  0.796 -0.133  0.796 -0.309  0.770 -0.460  0.647 -0.512  0.590 -0.665  0.499 -0.803  0.425 -0.905  0.350 -1.006  0.222 -1.054  0.092 -1.164  -0.068 -1.202  -0.244 -1.202
1c#apa#apa04#app0403/e  -1.047 0.146  -0.885 0.146  -0.723 0.146  -0.561 0.146  -0.399 0.146  -0.237 0.146  -0.075 0.146  0.087 0.146  0.249 0.146  0.411 0.146  0.573 0.146  0.735 0.146  0.897 0.146  1.031 0.213  1.146 0.328  1.165 0.482  1.165 0.644  1.165 0.806  1.147 0.950  0.985 0.950  0.823 0.950  0.661 0.950  0.562 0.887  0.538 0.749  0.376 0.749  0.214 0.749  0.052 0.749  -0.041 0.680  -0.071 0.548  -0.233 0.548  -0.351 0.440  -0.465 0.325  -0.580 0.210  -0.694 0.096  -0.809 -0.019  -0.846 -0.165  -0.846 -0.327  -0.846 -0.489  -0.846 -0.651  -0.846 -0.813  -0.730 -0.860  -0.645 -0.936  -0.618 -1.087  -0.503 -1.202  -0.366 -1.262  -0.215 -1.289  -0.101 -1.403  0.037 -1.463  0.199 -1.463  0.361 -1.463
