1c#apa#apa10#app1051/p  0.202 0.620  0.070 0.620  0.023 0.517  -0.003 0.388  -0.029 0.259  -0.054 0.130  -0.080 0.001  -0.106 -0.128  -0.147 -0.252  -0.196 -0.374  -0.245 -0.497  -0.294 -0.619  -0.342 -0.741  -0.391 -0.863  -0.431 -0.987  -0.431 -1.118  -0.431 -1.250  -0.431 -1.381  -0.431 -1.513  -0.431 -1.544  -0.431 -1.413  -0.431 -1.281  -0.431 -1.150  -0.399 -1.023  -0.357 -0.898  -0.315 -0.774  -0.274 -0.649  -0.232 -0.524  -0.191 -0.399  -0.149 -0.275  -0.107 -0.150  -0.066 -0.025  -0.024 0.100  0.017 0.225  0.055 0.350  0.087 0.478  0.119 0.606  0.151 0.733  0.183 0.861  0.240 0.974  0.333 1.067  0.426 1.160  0.519 1.253  0.612 1.346  0.705 1.439  0.798 1.532  0.834 1.489  0.834 1.357  0.834 1.226  0.834 1.094
1c#apa#apa10#app1051/i  0.074 0.332  -0.018 0.424  -0.111 0.517  -0.116 0.399  -0.116 0.268  -0.116 0.138  -0.116 0.007  -0.150 -0.116  -0.208 -0.233  -0.267 -0.350  -0.307 -0.472  -0.307 -0.602  -0.307 -0.733  -0.307 -0.864  -0.307 -0.995  -0.307 -1.126  -0.262 -1.238  -0.170 -1.330  -0.067 -1.359  0.050 -1.300  0.167 -1.242  0.284 -1.183  0.401 -1.125  0.518 -1.066  0.636 -1.008  0.606 -0.890  0.562 -0.767  0.518 -0.644  0.474 -0.520  0.430 -0.397  0.386 -0.274  0.342 -0.151  0.298 -0.028  0.254 0.096  0.210 0.219  0.166 0.342  0.122 0.465  0.078 0.588  0.034 0.712  -0.010 0.835  -0.054 0.958  -0.098 1.081  -0.142 1.204  -0.186 1.328  -0.230 1.451  -0.274 1.574  -0.337 1.681  -0.454 1.739  -0.571 1.798  -0.688 1.856
1c#apa#apa10#app1051/n  -0.383 0.780  -0.477 0.686  -0.571 0.592  -0.664 0.499  -0.720 0.381  -0.762 0.255  -0.804 0.129  -0.846 0.003  -0.888 -0.123  -0.930 -0.249  -0.972 -0.375  -0.996 -0.505  -0.996 -0.637  -0.996 -0.770  -0.996 -0.903  -0.996 -1.036  -0.934 -0.966  -0.860 -0.856  -0.787 -0.745  -0.713 -0.635  -0.639 -0.524  -0.566 -0.413  -0.492 -0.303  -0.418 -0.192  -0.334 -0.090  -0.240 0.004  -0.146 0.098  -0.052 0.192  0.042 0.286  0.136 0.379  0.230 0.473  0.348 0.533  0.467 0.592  0.586 0.652  0.705 0.711  0.824 0.771  0.954 0.780  1.087 0.780  1.150 0.710  1.150 0.577  1.150 0.444  1.150 0.311  1.150 0.178  1.150 0.045  1.150 -0.087  1.150 -0.220  1.150 -0.353  1.150 -0.486  1.150 -0.619  1.150 -0.752
1c#apa#apa10#app1051/k  -0.297 1.915  -0.334 1.769  -0.370 1.623  -0.407 1.477  -0.443 1.331  -0.480 1.185  -0.541 1.048  -0.608 0.913  -0.676 0.779  -0.706 0.631  -0.735 0.484  -0.765 0.336  -0.794 0.188  -0.824 0.041  -0.853 -0.107  -0.866 -0.256  -0.866 -0.407  -0.859 -0.550  -0.708 -0.550  -0.578 -0.484  -0.453 -0.401  -0.327 -0.317  -0.202 -0.234  -0.074 -0.154  0.060 -0.087  0.195 -0.019  0.336 0.019  0.487 0.019  0.637 0.019  0.788 0.019  0.928 0.063  1.063 0.130  1.197 0.197  1.220 0.083  1.158 -0.042  1.052 -0.149  0.923 -0.224  0.788 -0.291  0.654 -0.359  0.519 -0.426  0.385 -0.493  0.254 -0.567  0.148 -0.673  0.042 -0.780  -0.065 -0.886  -0.044 -0.993  0.062 -1.099  0.192 -1.174  0.327 -1.241  0.461 -1.308
1c#apa#apa10#app1051/i  -0.548 -0.030  -0.548 0.083  -0.548 0.124  -0.548 0.011  -0.548 -0.102  -0.548 -0.215  -0.548 -0.328  -0.535 -0.438  -0.484 -0.539  -0.434 -0.640  -0.383 -0.741  -0.358 -0.848  -0.358 -0.961  -0.358 -1.074  -0.344 -1.173  -0.231 -1.173  -0.118 -1.173  -0.005 -1.173  0.100 -1.135  0.201 -1.085  0.302 -1.034  0.403 -0.984  0.483 -0.904  0.563 -0.824  0.578 -0.726  0.551 -0.616  0.523 -0.507  0.496 -0.397  0.468 -0.287  0.441 -0.178  0.414 -0.068  0.386 0.042  0.359 0.151  0.331 0.261  0.304 0.371  0.276 0.480  0.249 0.590  0.222 0.700  0.194 0.809  0.167 0.919  0.139 1.029  0.112 1.139  0.085 1.248  0.057 1.358  0.030 1.468  -0.038 1.554  -0.118 1.634  -0.198 1.714  -0.278 1.794  -0.358 1.874
1c#apa#apa10#app1051/s  -1.633 -0.299  -1.633 -0.417  -1.623 -0.516  -1.525 -0.450  -1.427 -0.385  -1.329 -0.320  -1.231 -0.254  -1.133 -0.189  -1.035 -0.124  -0.941 -0.053  -0.858 0.030  -0.774 0.113  -0.683 0.186  -0.585 0.251  -0.487 0.317  -0.389 0.382  -0.291 0.447  -0.193 0.513  -0.095 0.578  0.015 0.616  0.130 0.645  0.244 0.673  0.358 0.702  0.473 0.731  0.587 0.759  0.701 0.788  0.815 0.816  0.873 0.722  0.926 0.617  0.979 0.512  1.031 0.406  1.049 0.292  1.049 0.175  1.049 0.057  1.049 -0.061  1.049 -0.179  1.049 -0.296  0.952 -0.363  0.854 -0.428  0.756 -0.494  0.658 -0.559  0.560 -0.624  0.462 -0.690  0.362 -0.746  0.244 -0.746  0.129 -0.733  0.024 -0.680  -0.082 -0.628  -0.187 -0.575  -0.292 -0.522
1c#apa#apa10#app1051/t  -0.008 1.403  -0.008 1.575  -0.008 1.746  0.080 1.829  0.197 1.782  0.169 1.613  0.140 1.444  0.112 1.275  0.084 1.106  0.056 0.937  0.028 0.768  -0.000 0.599  -0.008 0.429  -0.008 0.258  -0.008 0.086  -0.008 -0.085  -0.008 -0.256  -0.008 -0.428  -0.008 -0.599  -0.008 -0.770  -0.008 -0.941  -0.008 -1.113  -0.008 -1.284  0.086 -1.361  0.257 -1.361  0.428 -1.361  0.599 -1.361  0.523 -1.270  0.393 -1.158  0.263 -1.047  0.133 -0.935  0.003 -0.824  -0.128 -0.712  -0.258 -0.601  -0.388 -0.489  -0.518 -0.378  -0.648 -0.266  -0.778 -0.155  -0.859 -0.021  -0.836 0.127  -0.665 0.127  -0.493 0.127  -0.322 0.127  -0.151 0.127  0.021 0.127  0.192 0.127  0.355 0.177  0.517 0.232  0.680 0.286  0.842 0.340
1c#apa#apa10#app1051/h  0.022 2.106  0.022 1.993  0.022 1.879  0.022 1.765  0.022 1.652  0.022 1.538  0.022 1.424  0.022 1.311  0.022 1.197  0.022 1.083  0.022 0.970  0.022 0.856  0.014 0.743  -0.009 0.632  -0.031 0.520  -0.053 0.409  -0.076 0.297  -0.098 0.186  -0.120 0.074  -0.142 -0.037  -0.165 -0.149  -0.187 -0.260  -0.216 -0.370  -0.252 -0.478  -0.288 -0.586  -0.324 -0.693  -0.360 -0.801  -0.396 -0.909  -0.418 -1.019  -0.418 -1.133  -0.394 -1.145  -0.343 -1.043  -0.292 -0.942  -0.241 -0.840  -0.186 -0.741  -0.105 -0.661  -0.025 -0.581  0.055 -0.500  0.136 -0.420  0.216 -0.339  0.319 -0.313  0.433 -0.313  0.462 -0.397  0.462 -0.511  0.462 -0.625  0.462 -0.738  0.462 -0.852  0.462 -0.966  0.462 -1.079  0.462 -1.193
1c#apa#apa10#app1051/e  -0.950 -0.137  -1.127 -0.137  -1.218 -0.137  -1.041 -0.137  -0.865 -0.137  -0.688 -0.137  -0.512 -0.137  -0.335 -0.137  -0.158 -0.137  0.016 -0.126  0.184 -0.070  0.351 -0.014  0.519 0.042  0.686 0.097  0.854 0.153  1.027 0.173  1.204 0.173  1.224 0.330  1.224 0.506  1.224 0.683  1.166 0.823  1.008 0.902  0.850 0.981  0.692 1.060  0.530 1.080  0.362 1.025  0.195 0.969  0.027 0.913  -0.140 0.857  -0.308 0.801  -0.438 0.685  -0.563 0.560  -0.670 0.422  -0.749 0.265  -0.828 0.107  -0.907 -0.051  -0.914 -0.209  -0.835 -0.367  -0.756 -0.525  -0.677 -0.683  -0.574 -0.824  -0.449 -0.949  -0.323 -1.069  -0.146 -1.069  0.030 -1.069  0.207 -1.069  0.384 -1.069  0.560 -1.069  0.737 -1.069  0.913 -1.069
1c#apa#apa10#app1051/r  0.026 0.492  0.026 0.371  0.026 0.251  0.026 0.130  -0.012 0.019  -0.066 -0.089  -0.120 -0.197  -0.174 -0.305  -0.228 -0.413  -0.282 -0.521  -0.336 -0.628  -0.371 -0.741  -0.371 -0.861  -0.371 -0.982  -0.371 -1.103  -0.371 -1.223  -0.371 -1.344  -0.371 -1.464  -0.371 -1.399  -0.371 -1.278  -0.371 -1.158  -0.371 -1.037  -0.371 -0.916  -0.371 -0.796  -0.371 -0.675  -0.371 -0.555  -0.371 -0.434  -0.371 -0.313  -0.371 -0.193  -0.371 -0.072  -0.371 0.048  -0.319 0.147  -0.233 0.233  -0.148 0.318  -0.063 0.403  0.023 0.489  0.108 0.574  0.193 0.659  0.278 0.744  0.364 0.830  0.449 0.915  0.534 1.000  0.619 1.086  0.705 1.171  0.790 1.256  0.875 1.341  0.961 1.427  1.046 1.512  1.131 1.597  1.216 1.683
1c#apa#apa10#app1051/e  -0.406 0.027  -0.406 0.179  -0.406 0.332  -0.406 0.184  -0.406 0.032  -0.259 0.027  -0.106 0.027  0.046 0.027  0.198 0.027  0.336 0.091  0.472 0.159  0.608 0.227  0.745 0.295  0.869 0.380  0.976 0.488  1.084 0.596  1.130 0.729  1.130 0.882  1.044 0.949  0.892 0.949  0.739 0.949  0.587 0.949  0.434 0.949  0.282 0.949  0.130 0.949  -0.023 0.949  -0.153 0.895  -0.261 0.787  -0.368 0.679  -0.476 0.572  -0.584 0.464  -0.691 0.356  -0.713 0.213  -0.713 0.060  -0.713 -0.092  -0.713 -0.244  -0.713 -0.397  -0.713 -0.549  -0.713 -0.701  -0.713 -0.854  -0.634 -0.973  -0.527 -1.081  -0.419 -1.189  -0.311 -1.297  -0.203 -1.404  -0.094 -1.509  0.058 -1.509  0.210 -1.509  0.363 -1.509  0.515 -1.509
