1c#apa#apa13#app1342/y  1.211 1.091  1.169 0.945  1.053 0.830  0.938 0.714  0.823 0.599  0.775 0.460  0.629 0.387  0.538 0.260  0.451 0.124  0.354 -0.005  0.280 -0.150  0.164 -0.265  0.059 -0.388  -0.013 -0.534  -0.086 -0.680  -0.159 -0.826  -0.233 -0.972  -0.343 -1.091  -0.416 -1.237  -0.489 -1.383  -0.541 -1.533  -0.541 -1.687  -0.529 -1.524  -0.518 -1.362  -0.507 -1.199  -0.496 -1.036  -0.484 -0.873  -0.473 -0.711  -0.462 -0.548  -0.451 -0.385  -0.439 -0.222  -0.428 -0.059  -0.417 0.103  -0.406 0.266  -0.395 0.429  -0.383 0.592  -0.372 0.754  -0.361 0.917  -0.350 1.080  -0.338 1.243  -0.227 1.292  -0.112 1.177  -0.026 1.050  0.046 0.916  0.161 0.801  0.277 0.685  0.334 0.575  0.490 0.568  0.550 0.442  0.696 0.369
1c#apa#apa13#app1342/o  -0.995 0.338  -0.995 0.210  -0.995 0.082  -0.995 -0.046  -0.995 -0.174  -0.995 -0.302  -0.995 -0.431  -0.973 -0.536  -0.852 -0.554  -0.761 -0.645  -0.671 -0.736  -0.564 -0.786  -0.442 -0.813  -0.327 -0.870  -0.209 -0.911  -0.081 -0.911  0.047 -0.911  0.162 -0.879  0.253 -0.788  0.380 -0.786  0.507 -0.784  0.598 -0.693  0.704 -0.624  0.818 -0.567  0.879 -0.476  0.924 -0.367  1.015 -0.276  1.105 -0.185  1.129 -0.067  1.129 0.061  1.058 0.160  1.004 0.265  0.965 0.377  0.874 0.468  0.784 0.559  0.672 0.615  0.551 0.656  0.429 0.696  0.312 0.747  0.197 0.804  0.077 0.838  -0.045 0.863  -0.160 0.920  -0.278 0.963  -0.406 0.963  -0.534 0.963  -0.662 0.963  -0.777 0.931  -0.868 0.840  -0.995 0.838
1c#apa#apa13#app1342/u  -1.716 0.677  -1.598 0.660  -1.575 0.535  -1.480 0.439  -1.468 0.310  -1.372 0.214  -1.360 0.084  -1.240 0.024  -1.120 -0.038  -1.025 -0.133  -0.909 -0.200  -0.789 -0.261  -0.656 -0.270  -0.521 -0.270  -0.386 -0.270  -0.265 -0.239  -0.166 -0.152  -0.034 -0.139  0.087 -0.079  0.177 0.000  0.213 0.120  0.296 0.221  0.296 0.356  0.346 0.440  0.414 0.507  0.414 0.642  0.414 0.777  0.297 0.795  0.201 0.701  0.177 0.576  0.094 0.475  0.059 0.355  0.059 0.220  0.059 0.085  0.070 -0.045  0.166 -0.140  0.177 -0.270  0.312 -0.270  0.437 -0.293  0.533 -0.389  0.661 -0.431  0.789 -0.474  0.915 -0.521  1.035 -0.581  1.160 -0.625  1.295 -0.625  1.430 -0.625  1.564 -0.625  1.699 -0.625  1.834 -0.625
1c#apa#apa13#app1342/k  -0.352 2.141  -0.352 1.939  -0.352 1.736  -0.352 1.534  -0.438 1.352  -0.455 1.153  -0.487 0.954  -0.526 0.755  -0.557 0.556  -0.557 0.353  -0.557 0.151  -0.542 -0.048  -0.455 -0.230  -0.455 -0.432  -0.381 -0.604  -0.310 -0.777  -0.243 -0.953  -0.153 -1.134  -0.035 -0.995  0.085 -0.831  0.205 -0.668  0.324 -0.505  0.444 -0.341  0.564 -0.178  0.683 -0.015  0.803 0.148  0.923 0.312  0.884 0.395  0.784 0.497  0.582 0.497  0.422 0.600  0.220 0.600  0.059 0.498  -0.143 0.497  -0.324 0.408  -0.473 0.273  -0.616 0.130  -0.660 -0.054  -0.660 -0.257  -0.565 -0.420  -0.386 -0.513  -0.205 -0.604  -0.049 -0.730  0.130 -0.823  0.286 -0.941  0.487 -0.950  0.668 -1.040  0.869 -1.044  1.029 -1.147  1.189 -1.249
1c#apa#apa13#app1342/n  -1.338 0.681  -1.271 0.547  -1.204 0.414  -1.191 0.268  -1.191 0.119  -1.191 -0.030  -1.100 -0.142  -1.045 -0.268  -1.045 -0.417  -1.045 -0.566  -0.989 -0.692  -0.877 -0.782  -0.728 -0.782  -0.606 -0.755  -0.576 -0.636  -0.437 -0.613  -0.331 -0.507  -0.314 -0.366  -0.224 -0.254  -0.118 -0.148  -0.013 -0.043  0.093 0.063  0.158 0.193  0.205 0.335  0.252 0.476  0.334 0.596  0.418 0.710  0.441 0.850  0.546 0.956  0.564 1.097  0.654 1.209  0.711 1.197  0.688 1.051  0.641 0.910  0.594 0.768  0.564 0.624  0.564 0.475  0.564 0.326  0.564 0.177  0.564 0.028  0.564 -0.122  0.564 -0.271  0.564 -0.420  0.620 -0.546  0.711 -0.657  0.728 -0.799  0.833 -0.905  0.939 -1.010  1.044 -1.116  1.149 -1.221
1c#apa#apa13#app1342/o  -0.941 0.545  -0.941 0.425  -0.941 0.305  -0.941 0.185  -0.941 0.064  -0.941 -0.056  -0.941 -0.176  -0.941 -0.296  -0.941 -0.417  -0.906 -0.522  -0.826 -0.609  -0.815 -0.723  -0.707 -0.777  -0.600 -0.831  -0.514 -0.914  -0.407 -0.947  -0.287 -0.947  -0.167 -0.947  -0.047 -0.947  0.073 -0.947  0.183 -0.902  0.291 -0.848  0.322 -0.748  0.412 -0.718  0.533 -0.718  0.623 -0.646  0.667 -0.544  0.667 -0.424  0.716 -0.324  0.801 -0.239  0.886 -0.154  0.896 -0.038  0.896 0.083  0.896 0.203  0.896 0.323  0.887 0.440  0.802 0.525  0.741 0.627  0.687 0.734  0.600 0.808  0.492 0.862  0.396 0.931  0.308 1.012  0.200 1.066  0.093 1.119  -0.015 1.173  -0.122 1.227  -0.241 1.234  -0.361 1.234  -0.481 1.234
1c#apa#apa13#app1342/w  -1.599 0.362  -1.557 0.240  -1.520 0.116  -1.472 -0.004  -1.374 -0.103  -1.361 -0.237  -1.289 -0.346  -1.158 -0.376  -1.033 -0.434  -0.893 -0.434  -0.754 -0.434  -0.623 -0.413  -0.508 -0.354  -0.403 -0.272  -0.304 -0.173  -0.206 -0.075  -0.107 0.024  -0.065 0.146  -0.008 0.262  -0.008 0.401  -0.108 0.441  -0.247 0.441  -0.310 0.316  -0.342 0.187  -0.406 0.074  -0.406 -0.065  -0.344 -0.178  -0.301 -0.300  -0.184 -0.354  -0.124 -0.434  0.015 -0.434  0.154 -0.434  0.294 -0.434  0.433 -0.434  0.562 -0.388  0.693 -0.354  0.819 -0.299  0.944 -0.236  1.060 -0.161  1.172 -0.082  1.281 -0.004  1.343 0.121  1.387 0.253  1.423 0.387  1.423 0.526  1.423 0.665  1.335 0.768  1.225 0.839  1.085 0.839  0.946 0.839
1c#apa#apa13#app1342/w  -0.922 0.452  -0.922 0.467  -1.012 0.392  -1.108 0.266  -1.225 0.149  -1.321 0.016  -1.374 -0.137  -1.374 -0.303  -1.363 -0.464  -1.284 -0.597  -1.154 -0.634  -0.989 -0.634  -0.823 -0.634  -0.681 -0.575  -0.532 -0.530  -0.384 -0.456  -0.265 -0.340  -0.197 -0.202  -0.095 -0.079  -0.016 0.054  0.074 0.183  0.074 0.349  0.074 0.514  -0.023 0.626  -0.107 0.495  -0.121 0.333  -0.195 0.184  -0.197 0.019  -0.197 -0.147  -0.106 -0.275  -0.031 -0.423  0.112 -0.472  0.260 -0.544  0.426 -0.544  0.592 -0.544  0.758 -0.544  0.887 -0.455  1.044 -0.421  1.160 -0.327  1.239 -0.193  1.341 -0.070  1.341 0.096  1.341 0.262  1.341 0.428  1.245 0.555  1.171 0.703  1.060 0.824  0.942 0.942  0.825 1.059  0.708 1.176
1c#apa#apa13#app1342/h  -0.592 1.655  -0.499 1.722  -0.512 1.616  -0.563 1.464  -0.592 1.309  -0.592 1.148  -0.592 0.988  -0.592 0.828  -0.592 0.668  -0.592 0.507  -0.592 0.347  -0.592 0.187  -0.592 0.027  -0.592 -0.133  -0.592 -0.294  -0.592 -0.454  -0.592 -0.614  -0.592 -0.774  -0.541 -0.913  -0.493 -0.856  -0.380 -0.743  -0.284 -0.617  -0.220 -0.472  -0.220 -0.312  -0.118 -0.192  -0.046 -0.049  0.025 0.094  0.097 0.238  0.178 0.375  0.291 0.488  0.404 0.601  0.452 0.742  0.526 0.761  0.526 0.600  0.526 0.440  0.526 0.280  0.495 0.133  0.433 -0.002  0.433 -0.162  0.433 -0.322  0.433 -0.483  0.433 -0.643  0.473 -0.796  0.524 -0.948  0.635 -1.063  0.762 -1.141  0.823 -1.251  0.951 -1.328  1.111 -1.328  1.272 -1.328
1c#apa#apa13#app1342/a  0.286 0.302  0.286 0.484  0.286 0.666  0.286 0.848  0.286 1.029  0.158 1.093  0.014 1.186  -0.167 1.186  -0.340 1.149  -0.500 1.063  -0.636 0.946  -0.799 0.864  -0.890 0.711  -0.981 0.555  -1.082 0.403  -1.192 0.260  -1.260 0.106  -1.260 -0.076  -1.255 -0.255  -1.150 -0.394  -1.045 -0.471  -0.909 -0.581  -0.727 -0.581  -0.546 -0.581  -0.365 -0.576  -0.203 -0.494  -0.026 -0.471  0.129 -0.407  0.290 -0.357  0.418 -0.228  0.547 -0.100  0.618 0.053  0.618 0.235  0.614 0.413  0.432 0.413  0.361 0.302  0.286 0.195  0.176 0.059  0.176 -0.123  0.176 -0.304  0.265 -0.449  0.315 -0.610  0.456 -0.722  0.619 -0.802  0.793 -0.835  0.956 -0.913  1.130 -0.948  1.294 -1.023  1.451 -1.083  1.612 -1.134
1c#apa#apa13#app1342/t  0.039 1.757  0.039 1.579  0.039 1.400  0.039 1.221  0.039 1.042  0.039 0.864  0.039 0.685  0.039 0.506  0.039 0.328  0.039 0.149  0.039 -0.030  0.039 -0.209  0.116 -0.369  0.125 -0.546  0.125 -0.724  0.125 -0.903  0.125 -1.082  0.125 -1.261  0.125 -1.439  0.109 -1.562  0.014 -1.410  -0.081 -1.259  -0.176 -1.107  -0.270 -0.956  -0.365 -0.804  -0.460 -0.653  -0.554 -0.501  -0.649 -0.350  -0.744 -0.198  -0.839 -0.046  -0.933 0.105  -1.028 0.257  -1.123 0.408  -1.057 0.471  -0.878 0.471  -0.700 0.471  -0.521 0.471  -0.345 0.456  -0.175 0.399  0.001 0.385  0.180 0.385  0.358 0.373  0.533 0.338  0.708 0.303  0.870 0.227  1.029 0.147  1.203 0.128  1.366 0.088  1.525 0.042  1.669 -0.044
