1c#apa#apa13#app1347/r  -0.347 -0.088  -0.347 -0.199  -0.347 -0.311  -0.347 -0.422  -0.280 -0.505  -0.230 -0.596  -0.230 -0.707  -0.230 -0.818  -0.230 -0.929  -0.230 -1.040  -0.230 -1.151  -0.230 -1.262  -0.230 -1.374  -0.230 -1.485  -0.230 -1.378  -0.230 -1.267  -0.230 -1.156  -0.230 -1.045  -0.230 -0.934  -0.230 -0.823  -0.230 -0.712  -0.230 -0.600  -0.230 -0.489  -0.230 -0.378  -0.230 -0.267  -0.230 -0.156  -0.230 -0.045  -0.230 0.066  -0.230 0.178  -0.230 0.289  -0.230 0.400  -0.230 0.511  -0.225 0.621  -0.176 0.720  -0.126 0.820  -0.114 0.928  -0.035 0.961  0.055 1.012  0.139 1.078  0.250 1.078  0.359 1.083  0.437 1.162  0.535 1.194  0.646 1.194  0.757 1.194  0.868 1.194  0.975 1.175  1.074 1.125  1.174 1.078  1.285 1.078
1c#apa#apa13#app1347/e  -0.777 -0.544  -0.654 -0.667  -0.499 -0.711  -0.442 -0.594  -0.319 -0.544  -0.145 -0.544  -0.046 -0.422  0.031 -0.267  0.169 -0.209  0.228 -0.094  0.314 0.044  0.437 0.167  0.560 0.290  0.564 0.462  0.687 0.585  0.730 0.741  0.730 0.915  0.730 1.088  0.730 1.262  0.592 1.298  0.418 1.298  0.244 1.298  0.071 1.298  -0.055 1.182  -0.178 1.059  -0.312 0.963  -0.462 0.924  -0.539 0.769  -0.621 0.616  -0.744 0.493  -0.834 0.347  -0.912 0.191  -0.944 0.025  -0.944 -0.149  -0.944 -0.322  -0.860 -0.461  -0.737 -0.584  -0.614 -0.707  -0.491 -0.830  -0.338 -0.879  -0.164 -0.879  0.010 -0.879  0.183 -0.879  0.357 -0.879  0.531 -0.879  0.705 -0.879  0.878 -0.879  1.052 -0.879  1.226 -0.879  1.400 -0.879
1c#apa#apa13#app1347/p  -0.201 0.368  -0.201 0.190  -0.206 0.012  -0.262 -0.157  -0.286 -0.332  -0.286 -0.510  -0.286 -0.689  -0.305 -0.863  -0.371 -1.026  -0.371 -1.204  -0.371 -1.383  -0.371 -1.561  -0.377 -1.614  -0.394 -1.436  -0.411 -1.259  -0.427 -1.081  -0.444 -0.903  -0.461 -0.726  -0.477 -0.548  -0.494 -0.370  -0.510 -0.192  -0.527 -0.015  -0.544 0.163  -0.560 0.341  -0.577 0.519  -0.594 0.696  -0.610 0.874  -0.625 1.050  -0.452 1.080  -0.282 1.135  -0.104 1.135  0.075 1.135  0.253 1.135  0.428 1.119  0.590 1.050  0.759 1.027  0.912 0.965  1.001 0.870  1.109 0.731  1.163 0.565  1.163 0.386  1.087 0.283  1.018 0.139  0.892 0.013  0.751 -0.093  0.584 -0.143  0.414 -0.194  0.241 -0.228  0.063 -0.228  -0.116 -0.228
1c#apa#apa13#app1347/l  -0.211 1.612  -0.140 1.612  -0.103 1.578  -0.103 1.506  -0.103 1.435  -0.103 1.364  -0.103 1.293  -0.103 1.221  -0.103 1.150  -0.103 1.079  -0.103 1.008  -0.103 0.936  -0.103 0.865  -0.103 0.794  -0.103 0.723  -0.103 0.651  -0.103 0.580  -0.103 0.509  -0.103 0.438  -0.103 0.367  -0.103 0.295  -0.103 0.224  -0.079 0.159  -0.047 0.095  -0.015 0.031  0.005 -0.035  0.005 -0.107  0.005 -0.178  0.005 -0.249  0.005 -0.320  0.005 -0.392  0.005 -0.463  0.005 -0.534  0.005 -0.605  0.014 -0.674  0.046 -0.738  0.077 -0.802  0.109 -0.866  0.113 -0.936  0.113 -1.007  0.113 -1.078  0.113 -1.150  0.113 -1.221  0.113 -1.292  0.154 -1.346  0.204 -1.397  0.255 -1.447  0.305 -1.498  0.329 -1.559  0.329 -1.630
1c#apa#apa13#app1347/i  0.023 0.062  0.097 -0.012  0.171 -0.086  0.245 -0.160  0.296 -0.244  0.296 -0.348  0.296 -0.453  0.296 -0.557  0.296 -0.662  0.296 -0.766  0.296 -0.871  0.296 -0.975  0.296 -1.080  0.296 -1.184  0.296 -1.289  0.296 -1.394  0.282 -1.383  0.258 -1.281  0.234 -1.179  0.209 -1.078  0.185 -0.976  0.160 -0.874  0.136 -0.773  0.112 -0.671  0.087 -0.569  0.063 -0.468  0.038 -0.366  0.014 -0.264  -0.010 -0.163  -0.035 -0.061  -0.059 0.041  -0.084 0.142  -0.108 0.244  -0.132 0.346  -0.157 0.447  -0.181 0.549  -0.206 0.650  -0.230 0.752  -0.254 0.854  -0.279 0.955  -0.303 1.057  -0.328 1.159  -0.352 1.260  -0.376 1.362  -0.401 1.464  -0.425 1.565  -0.450 1.667  -0.474 1.769  -0.498 1.870  -0.523 1.972
1c#apa#apa13#app1347/e  -1.076 -0.306  -0.910 -0.306  -0.743 -0.306  -0.576 -0.306  -0.410 -0.306  -0.243 -0.306  -0.123 -0.193  -0.005 -0.075  0.141 -0.025  0.272 0.061  0.325 0.206  0.408 0.338  0.526 0.456  0.605 0.590  0.605 0.756  0.529 0.891  0.465 1.032  0.363 1.096  0.196 1.096  0.029 1.096  -0.125 1.066  -0.246 0.956  -0.402 0.930  -0.521 0.813  -0.670 0.739  -0.814 0.657  -0.932 0.540  -1.050 0.422  -1.076 0.266  -1.076 0.100  -1.047 -0.055  -0.929 -0.173  -0.811 -0.291  -0.693 -0.408  -0.575 -0.526  -0.433 -0.586  -0.267 -0.586  -0.114 -0.646  0.035 -0.721  0.200 -0.726  0.367 -0.726  0.533 -0.726  0.700 -0.726  0.867 -0.726  1.033 -0.726  1.200 -0.726  1.367 -0.726  1.533 -0.726  1.700 -0.726  1.867 -0.726
1c#apa#apa13#app1347/d  -0.143 2.089  -0.143 1.929  -0.060 1.804  -0.060 1.644  -0.049 1.487  0.023 1.344  0.042 1.186  0.081 1.031  0.130 0.880  0.190 0.734  0.199 0.576  0.270 0.433  0.273 0.274  0.339 0.130  0.356 -0.026  0.438 -0.152  0.473 -0.304  0.558 -0.437  0.605 -0.557  0.602 -0.398  0.522 -0.272  0.481 -0.152  0.401 -0.041  0.345 0.107  0.232 0.220  0.090 0.263  -0.070 0.263  -0.230 0.263  -0.381 0.226  -0.524 0.155  -0.654 0.070  -0.727 -0.072  -0.840 -0.185  -0.953 -0.298  -0.973 -0.450  -0.973 -0.610  -0.947 -0.759  -0.834 -0.872  -0.685 -0.899  -0.559 -0.981  -0.400 -0.982  -0.240 -0.982  -0.080 -0.982  0.080 -0.982  0.240 -0.982  0.400 -0.982  0.560 -0.982  0.716 -0.968  0.860 -0.899  1.020 -0.899
1c#apa#apa13#app1347/o  -0.795 0.349  -0.805 0.230  -0.893 0.142  -1.012 0.131  -1.012 0.007  -1.012 -0.116  -1.012 -0.240  -1.012 -0.364  -1.012 -0.488  -1.012 -0.611  -0.935 -0.703  -0.825 -0.736  -0.729 -0.802  -0.623 -0.844  -0.499 -0.844  -0.375 -0.844  -0.251 -0.844  -0.128 -0.844  -0.004 -0.844  0.120 -0.844  0.237 -0.817  0.348 -0.761  0.446 -0.689  0.533 -0.601  0.623 -0.517  0.740 -0.477  0.857 -0.438  0.941 -0.375  0.977 -0.266  1.049 -0.172  1.049 -0.049  1.049 0.075  1.049 0.199  1.049 0.323  0.980 0.418  0.893 0.505  0.798 0.583  0.688 0.638  0.577 0.694  0.466 0.749  0.356 0.804  0.245 0.860  0.134 0.915  0.024 0.970  -0.087 1.026  -0.198 1.081  -0.315 1.108  -0.439 1.108  -0.562 1.108  -0.686 1.108
1c#apa#apa13#app1347/b  -0.449 1.983  -0.545 1.841  -0.545 1.659  -0.545 1.476  -0.545 1.294  -0.545 1.111  -0.545 0.929  -0.545 0.746  -0.517 0.570  -0.449 0.404  -0.449 0.222  -0.449 0.039  -0.449 -0.143  -0.352 -0.286  -0.352 -0.468  -0.300 -0.638  -0.255 -0.810  -0.166 -0.893  -0.213 -0.716  -0.260 -0.540  -0.307 -0.364  -0.354 -0.187  -0.401 -0.011  -0.448 0.165  -0.495 0.341  -0.542 0.518  -0.376 0.531  -0.194 0.531  -0.011 0.531  0.171 0.531  0.354 0.531  0.524 0.480  0.652 0.363  0.745 0.208  0.874 0.079  1.003 -0.050  1.004 -0.232  1.101 -0.374  1.101 -0.557  1.101 -0.739  1.033 -0.893  0.877 -0.986  0.734 -1.095  0.560 -1.116  0.378 -1.116  0.195 -1.116  0.048 -1.031  -0.122 -0.988  -0.285 -0.907  -0.449 -0.825
1c#apa#apa13#app1347/b  -0.394 1.913  -0.394 1.720  -0.394 1.526  -0.394 1.333  -0.394 1.139  -0.394 0.945  -0.394 0.752  -0.394 0.558  -0.394 0.365  -0.394 0.171  -0.377 -0.020  -0.330 -0.208  -0.295 -0.398  -0.230 -0.576  -0.197 -0.762  -0.185 -0.950  -0.099 -1.108  -0.166 -0.980  -0.244 -0.803  -0.321 -0.626  -0.399 -0.448  -0.476 -0.271  -0.554 -0.094  -0.632 0.084  -0.709 0.261  -0.787 0.438  -0.692 0.537  -0.554 0.672  -0.386 0.734  -0.193 0.734  0.001 0.734  0.184 0.691  0.365 0.635  0.539 0.588  0.698 0.483  0.829 0.353  0.933 0.193  1.038 0.033  1.081 -0.150  1.081 -0.344  1.081 -0.538  1.081 -0.731  0.951 -0.871  0.814 -1.008  0.632 -1.036  0.479 -1.134  0.285 -1.134  0.092 -1.134  -0.102 -1.134  -0.295 -1.134
1c#apa#apa13#app1347/e  -0.717 -0.324  -0.592 -0.441  -0.484 -0.506  -0.361 -0.557  -0.187 -0.557  -0.048 -0.472  0.109 -0.432  0.237 -0.317  0.402 -0.262  0.567 -0.207  0.692 -0.090  0.830 -0.032  0.908 0.123  0.943 0.285  1.035 0.420  1.035 0.594  1.007 0.756  0.884 0.879  0.744 0.961  0.576 0.998  0.411 1.053  0.241 1.078  0.067 1.078  -0.107 1.078  -0.277 1.065  -0.433 0.987  -0.588 0.909  -0.738 0.824  -0.861 0.701  -0.972 0.569  -1.050 0.413  -1.162 0.283  -1.185 0.118  -1.185 -0.056  -1.122 -0.215  -1.031 -0.361  -0.896 -0.468  -0.741 -0.546  -0.585 -0.623  -0.423 -0.674  -0.250 -0.674  -0.076 -0.674  0.086 -0.725  0.245 -0.791  0.418 -0.791  0.591 -0.799  0.756 -0.854  0.921 -0.908  1.095 -0.908  1.269 -0.908
