1c#apa#apa14#app1457/f  0.524 1.333  0.521 1.477  0.418 1.580  0.288 1.616  0.142 1.616  -0.003 1.616  -0.118 1.542  -0.185 1.424  -0.185 1.279  -0.185 1.133  -0.165 0.991  -0.119 0.853  -0.073 0.715  -0.031 0.576  0.004 0.435  0.040 0.294  0.075 0.153  0.099 0.010  0.099 -0.135  0.099 -0.281  0.099 -0.426  0.142 -0.553  0.240 -0.658  0.240 -0.804  0.240 -0.949  0.240 -1.095  0.240 -1.240  0.240 -1.386  0.240 -1.531  0.226 -1.614  0.161 -1.484  0.096 -1.354  0.031 -1.224  -0.035 -1.094  -0.100 -0.964  -0.165 -0.833  -0.230 -0.703  -0.295 -0.573  -0.360 -0.443  -0.425 -0.313  -0.502 -0.192  -0.605 -0.089  -0.610 0.054  -0.475 0.102  -0.337 0.148  -0.199 0.194  -0.054 0.199  0.091 0.199  0.237 0.199  0.382 0.199
1c#apa#apa14#app1457/y  -0.241 1.211  -0.349 1.319  -0.479 1.375  -0.570 1.313  -0.570 1.160  -0.570 1.007  -0.550 0.862  -0.442 0.754  -0.405 0.616  -0.405 0.464  -0.405 0.311  -0.338 0.225  -0.241 0.169  -0.241 0.016  -0.208 -0.103  -0.055 -0.103  0.098 -0.103  0.251 -0.103  0.252 0.049  0.252 0.202  0.343 0.317  0.416 0.439  0.416 0.592  0.435 0.737  0.543 0.845  0.580 0.983  0.580 0.957  0.580 0.804  0.580 0.651  0.556 0.504  0.487 0.368  0.419 0.231  0.416 0.079  0.416 -0.074  0.416 -0.227  0.336 -0.347  0.252 -0.465  0.252 -0.618  0.247 -0.769  0.179 -0.906  0.110 -1.043  0.087 -1.190  0.024 -1.317  -0.086 -1.422  -0.223 -1.490  -0.360 -1.559  -0.507 -1.582  -0.634 -1.646  -0.745 -1.746  -0.898 -1.746
1c#apa#apa14#app1457/a  0.129 0.735  0.129 0.896  0.129 1.056  0.114 1.210  0.001 1.324  -0.117 1.426  -0.278 1.426  -0.332 1.319  -0.358 1.170  -0.471 1.056  -0.576 0.937  -0.648 0.793  -0.720 0.650  -0.791 0.507  -0.792 0.346  -0.792 0.186  -0.792 0.026  -0.792 -0.135  -0.792 -0.295  -0.764 -0.444  -0.651 -0.557  -0.537 -0.622  -0.424 -0.508  -0.332 -0.386  -0.332 -0.226  -0.247 -0.101  -0.133 0.013  -0.101 0.160  -0.101 0.320  -0.101 0.481  -0.005 0.408  0.108 0.295  0.129 0.143  0.129 -0.017  0.129 -0.178  0.129 -0.338  0.187 -0.474  0.300 -0.588  0.359 -0.724  0.359 -0.884  0.359 -1.045  0.457 -1.107  0.618 -1.107  0.778 -1.107  0.939 -1.107  1.099 -1.107  1.259 -1.107  1.280 -0.967  1.350 -0.877  1.510 -0.877
1c#apa#apa14#app1457/m  -0.973 0.422  -1.141 0.422  -1.309 0.422  -1.212 0.312  -1.148 0.171  -1.148 0.003  -1.148 -0.165  -1.148 -0.333  -1.124 -0.496  -1.049 -0.646  -0.974 -0.797  -0.973 -0.631  -0.973 -0.463  -0.973 -0.295  -0.973 -0.127  -0.910 0.026  -0.835 0.177  -0.720 0.288  -0.570 0.363  -0.426 0.447  -0.307 0.566  -0.152 0.597  -0.018 0.513  0.073 0.383  0.088 0.218  0.163 0.068  0.238 -0.083  0.247 -0.249  0.247 -0.417  0.247 -0.585  0.247 -0.494  0.370 -0.449  0.474 -0.344  0.549 -0.194  0.596 -0.037  0.596 0.131  0.632 0.284  0.750 0.403  0.869 0.522  1.006 0.597  1.175 0.597  1.293 0.547  1.293 0.379  1.293 0.211  1.293 0.043  1.293 -0.125  1.293 -0.293  1.293 -0.462  1.293 -0.630  1.293 -0.798
1c#apa#apa14#app1457/e  -0.621 -0.048  -0.801 -0.048  -0.712 0.064  -0.584 0.119  -0.457 -0.009  -0.293 -0.048  -0.112 -0.048  0.068 -0.048  0.248 -0.048  0.429 -0.048  0.596 -0.035  0.596 0.145  0.673 0.308  0.753 0.469  0.854 0.616  0.982 0.743  1.002 0.915  1.002 1.095  0.895 1.169  0.715 1.169  0.534 1.169  0.366 1.141  0.238 1.014  0.111 0.886  -0.019 0.763  -0.199 0.763  -0.331 0.647  -0.459 0.519  -0.587 0.392  -0.753 0.358  -0.901 0.280  -1.026 0.152  -1.026 -0.028  -1.026 -0.209  -1.026 -0.389  -1.026 -0.570  -0.933 -0.656  -0.765 -0.696  -0.615 -0.796  -0.464 -0.896  -0.314 -0.996  -0.154 -1.062  0.026 -1.062  0.207 -1.062  0.387 -1.062  0.567 -1.062  0.748 -1.062  0.928 -1.062  1.077 -0.987  1.205 -0.859
1c#apa#apa14#app1457/o  0.168 0.686  0.168 0.838  0.129 0.951  -0.022 0.951  -0.174 0.951  -0.326 0.951  -0.362 0.835  -0.364 0.686  -0.516 0.686  -0.627 0.645  -0.627 0.493  -0.627 0.341  -0.627 0.189  -0.745 0.156  -0.892 0.151  -0.892 -0.001  -0.892 -0.153  -0.892 -0.304  -0.892 -0.456  -0.892 -0.608  -0.892 -0.760  -0.883 -0.903  -0.732 -0.903  -0.594 -0.936  -0.486 -1.044  -0.379 -1.151  -0.234 -1.168  -0.083 -1.168  0.069 -1.168  0.205 -1.131  0.313 -1.024  0.420 -0.916  0.527 -0.809  0.635 -0.702  0.698 -0.576  0.698 -0.424  0.769 -0.302  0.877 -0.195  0.963 -0.079  0.963 0.073  0.963 0.225  0.963 0.376  0.963 0.528  0.963 0.680  0.860 0.789  0.752 0.896  0.623 0.951  0.472 0.951  0.320 0.951  0.168 0.951
1c#apa#apa14#app1457/u  -0.875 0.616  -0.875 0.720  -0.875 0.824  -0.875 0.850  -0.875 0.746  -0.875 0.642  -0.875 0.538  -0.875 0.434  -0.875 0.329  -0.875 0.225  -0.875 0.121  -0.875 0.017  -0.875 -0.087  -0.875 -0.192  -0.875 -0.296  -0.875 -0.400  -0.857 -0.497  -0.784 -0.570  -0.710 -0.644  -0.636 -0.718  -0.546 -0.753  -0.442 -0.753  -0.338 -0.753  -0.234 -0.753  -0.130 -0.753  -0.025 -0.753  0.079 -0.753  0.183 -0.753  0.267 -0.705  0.341 -0.631  0.415 -0.557  0.488 -0.484  0.562 -0.410  0.636 -0.336  0.709 -0.263  0.783 -0.189  0.857 -0.115  0.931 -0.042  1.004 0.032  1.041 0.121  1.041 0.225  1.041 0.329  1.041 0.434  1.041 0.538  1.041 0.642  1.041 0.746  1.041 0.850  1.041 0.955  1.041 1.059  1.041 1.163
1c#apa#apa14#app1457/r  -0.840 0.834  -0.840 0.966  -0.840 1.099  -0.759 1.037  -0.665 0.943  -0.572 0.850  -0.556 0.723  -0.556 0.591  -0.556 0.458  -0.556 0.325  -0.556 0.192  -0.556 0.060  -0.532 -0.067  -0.472 -0.186  -0.413 -0.305  -0.354 -0.424  -0.294 -0.542  -0.271 -0.670  -0.271 -0.802  -0.271 -0.935  -0.271 -1.068  -0.271 -1.201  -0.271 -1.334  -0.271 -1.416  -0.271 -1.284  -0.271 -1.151  -0.271 -1.018  -0.271 -0.885  -0.186 -0.788  -0.092 -0.694  0.001 -0.600  0.013 -0.472  0.013 -0.339  0.057 -0.217  0.116 -0.098  0.175 0.021  0.235 0.139  0.294 0.258  0.386 0.353  0.480 0.447  0.574 0.541  0.697 0.588  0.823 0.630  0.949 0.672  1.075 0.714  1.201 0.756  1.327 0.798  1.454 0.834  1.587 0.834  1.719 0.834
1c#apa#apa14#app1457/r  -0.730 -0.013  -0.730 0.132  -0.730 0.278  -0.871 0.282  -1.017 0.282  -1.026 0.418  -1.026 0.564  -1.026 0.445  -1.026 0.300  -0.898 0.282  -0.753 0.282  -0.675 0.172  -0.610 0.042  -0.545 -0.088  -0.480 -0.218  -0.404 -0.340  -0.301 -0.443  -0.198 -0.545  -0.140 -0.667  -0.140 -0.812  -0.099 -0.940  0.004 -1.043  0.107 -1.146  0.078 -1.194  -0.067 -1.194  -0.140 -1.122  -0.140 -0.976  -0.140 -0.831  -0.140 -0.685  -0.140 -0.540  -0.140 -0.395  -0.140 -0.249  -0.140 -0.104  -0.101 0.025  0.002 0.128  0.104 0.231  0.207 0.334  0.310 0.437  0.413 0.539  0.543 0.577  0.688 0.577  0.824 0.616  0.954 0.681  1.084 0.746  1.214 0.811  1.345 0.872  1.491 0.872  1.636 0.872  1.781 0.872  1.927 0.872
1c#apa#apa14#app1457/i  -0.244 0.968  -0.303 1.028  -0.363 1.087  -0.422 1.146  -0.481 1.206  -0.541 1.265  -0.500 1.283  -0.416 1.283  -0.332 1.283  -0.248 1.283  -0.244 1.204  -0.244 1.120  -0.244 1.036  -0.244 0.952  -0.244 0.868  -0.244 0.784  -0.244 0.700  -0.227 0.620  -0.190 0.545  -0.152 0.470  -0.114 0.394  -0.077 0.319  -0.039 0.244  -0.002 0.169  0.036 0.094  0.071 0.018  0.071 -0.066  0.071 -0.150  0.071 -0.234  0.071 -0.318  0.071 -0.402  0.071 -0.486  0.071 -0.570  0.104 -0.640  0.164 -0.699  0.223 -0.759  0.283 -0.818  0.342 -0.878  0.386 -0.943  0.386 -1.027  0.386 -1.111  0.386 -1.195  0.386 -1.279  0.386 -1.363  0.386 -1.447  0.386 -1.531  0.386 -1.489  0.386 -1.405  0.386 -1.321  0.386 -1.237
1c#apa#apa14#app1457/e  -0.259 0.175  -0.414 0.252  -0.569 0.330  -0.723 0.407  -0.605 0.420  -0.453 0.369  -0.331 0.247  -0.195 0.207  -0.040 0.284  0.114 0.362  0.274 0.420  0.447 0.420  0.620 0.420  0.721 0.492  0.721 0.665  0.721 0.838  0.620 0.910  0.447 0.910  0.274 0.910  0.101 0.910  -0.072 0.910  -0.245 0.910  -0.418 0.910  -0.504 0.823  -0.517 0.658  -0.672 0.581  -0.827 0.504  -0.982 0.426  -0.994 0.261  -0.994 0.088  -0.983 -0.081  -0.861 -0.203  -0.742 -0.328  -0.665 -0.483  -0.588 -0.637  -0.510 -0.792  -0.392 -0.917  -0.269 -1.039  -0.101 -1.050  0.072 -1.050  0.245 -1.050  0.418 -1.050  0.591 -1.050  0.764 -1.050  0.937 -1.050  1.068 -0.948  1.190 -0.825  1.355 -0.805  1.528 -0.805  1.701 -0.805
