1c#apa#apa14#app1460/y  -0.187 0.821  -0.321 0.888  -0.449 0.959  -0.449 1.057  -0.449 0.997  -0.513 1.083  -0.580 1.000  -0.604 0.853  -0.641 0.707  -0.677 0.562  -0.711 0.416  -0.711 0.266  -0.711 0.116  -0.661 -0.014  -0.580 -0.130  -0.532 -0.203  -0.398 -0.136  -0.275 -0.053  -0.169 0.053  -0.063 0.159  0.069 0.229  0.203 0.296  0.253 0.437  0.300 0.579  0.352 0.720  0.419 0.854  0.468 0.992  0.468 1.024  0.433 0.882  0.366 0.748  0.337 0.605  0.337 0.455  0.337 0.305  0.337 0.155  0.337 0.005  0.337 -0.145  0.337 -0.295  0.337 -0.445  0.337 -0.595  0.337 -0.745  0.337 -0.895  0.337 -1.045  0.337 -1.195  0.337 -1.345  0.337 -1.495  0.337 -1.645  0.337 -1.795  0.325 -1.940  0.219 -2.046  0.075 -2.059
1c#apa#apa14#app1460/o  0.023 0.608  0.023 0.745  -0.063 0.796  -0.201 0.796  -0.338 0.796  -0.439 0.709  -0.536 0.612  -0.541 0.477  -0.585 0.353  -0.662 0.239  -0.738 0.125  -0.814 0.010  -0.890 -0.104  -0.895 -0.231  -0.862 -0.364  -0.828 -0.497  -0.795 -0.630  -0.762 -0.763  -0.728 -0.896  -0.605 -0.957  -0.482 -1.019  -0.359 -1.080  -0.261 -1.175  -0.163 -1.271  -0.041 -1.209  0.082 -1.148  0.205 -1.087  0.342 -1.083  0.435 -1.012  0.496 -0.889  0.558 -0.767  0.604 -0.638  0.638 -0.505  0.671 -0.372  0.704 -0.239  0.738 -0.106  0.771 0.028  0.775 0.164  0.753 0.298  0.710 0.428  0.666 0.559  0.623 0.689  0.587 0.820  0.587 0.958  0.509 1.063  0.412 1.160  0.314 1.257  0.217 1.354  0.120 1.451  0.023 1.548
1c#apa#apa14#app1460/u  -0.734 0.978  -0.734 1.181  -0.734 1.050  -0.734 0.848  -0.734 0.645  -0.734 0.442  -0.734 0.239  -0.734 0.037  -0.734 -0.166  -0.685 -0.361  -0.621 -0.553  -0.557 -0.745  -0.495 -0.938  -0.495 -1.141  -0.321 -1.169  -0.159 -1.071  -0.018 -0.927  -0.018 -0.724  -0.018 -0.521  0.042 -0.333  0.133 -0.152  0.221 0.030  0.221 0.233  0.221 0.436  0.221 0.639  0.221 0.639  0.221 0.567  0.221 0.769  0.221 0.972  0.221 1.175  0.221 1.378  0.345 1.456  0.459 1.367  0.443 1.167  0.379 0.975  0.315 0.783  0.250 0.590  0.221 0.392  0.221 0.190  0.221 -0.013  0.221 -0.216  0.221 -0.419  0.296 -0.603  0.387 -0.785  0.459 -0.970  0.459 -1.173  0.459 -1.376  0.580 -1.528  0.734 -1.646  0.937 -1.646
1c#apa#apa14#app1460/k  -0.035 1.340  -0.154 1.516  -0.168 1.417  -0.239 1.203  -0.273 0.983  -0.273 0.758  -0.273 0.532  -0.273 0.306  -0.273 0.081  -0.273 -0.145  -0.273 -0.370  -0.273 -0.596  -0.284 -0.817  -0.393 -0.998  -0.393 -1.223  -0.393 -1.449  -0.425 -1.642  -0.506 -1.505  -0.432 -1.291  -0.358 -1.078  -0.284 -0.865  -0.210 -0.652  -0.137 -0.439  -0.063 -0.225  0.011 -0.012  0.085 0.201  0.158 0.414  0.232 0.627  0.306 0.840  0.380 1.054  0.454 1.267  0.527 1.480  0.507 1.470  0.406 1.268  0.310 1.064  0.239 0.850  0.141 0.649  0.016 0.461  -0.109 0.274  -0.235 0.086  -0.367 0.002  -0.196 -0.143  -0.008 -0.268  0.165 -0.411  0.325 -0.571  0.484 -0.730  0.614 -0.911  0.734 -1.099  0.800 -1.297  0.681 -1.404
1c#apa#apa14#app1460/n  -0.934 0.861  -0.934 0.724  -0.934 0.587  -0.934 0.450  -0.934 0.312  -0.934 0.175  -0.895 0.044  -0.852 -0.086  -0.808 -0.216  -0.765 -0.347  -0.721 -0.477  -0.701 -0.611  -0.701 -0.748  -0.701 -0.653  -0.701 -0.516  -0.701 -0.379  -0.701 -0.241  -0.701 -0.104  -0.701 0.033  -0.698 0.170  -0.636 0.293  -0.575 0.415  -0.514 0.538  -0.432 0.629  -0.295 0.629  -0.157 0.629  -0.020 0.629  0.082 0.713  0.179 0.810  0.276 0.816  0.373 0.719  0.473 0.629  0.611 0.629  0.720 0.582  0.781 0.460  0.842 0.337  0.904 0.214  0.929 0.083  0.929 -0.055  0.929 -0.192  0.929 -0.329  0.929 -0.466  0.977 -0.584  1.074 -0.681  1.162 -0.782  1.162 -0.919  1.162 -1.056  1.162 -1.194  1.067 -1.235  0.929 -1.235
1c#apa#apa14#app1460/o  0.614 0.505  0.544 0.645  0.474 0.786  0.404 0.926  0.301 1.014  0.144 1.014  -0.001 0.960  -0.141 0.890  -0.282 0.820  -0.418 0.744  -0.529 0.633  -0.640 0.522  -0.657 0.372  -0.657 0.215  -0.657 0.058  -0.725 -0.071  -0.836 -0.182  -0.912 -0.308  -0.912 -0.465  -0.912 -0.622  -0.912 -0.779  -0.912 -0.936  -0.848 -1.053  -0.707 -1.124  -0.567 -1.194  -0.426 -1.264  -0.272 -1.276  -0.115 -1.276  0.042 -1.276  0.147 -1.192  0.218 -1.052  0.288 -0.911  0.358 -0.771  0.468 -0.659  0.579 -0.548  0.690 -0.437  0.801 -0.326  0.869 -0.197  0.869 -0.040  0.869 0.117  0.858 0.272  0.788 0.412  0.718 0.553  0.647 0.693  0.556 0.818  0.445 0.929  0.322 1.014  0.165 1.014  0.008 1.014  -0.149 1.014
1c#apa#apa14#app1460/w  -0.830 0.833  -0.953 0.956  -1.025 0.957  -1.025 0.784  -1.025 0.611  -1.025 0.438  -1.025 0.264  -1.025 0.091  -0.982 -0.075  -0.928 -0.240  -0.873 -0.404  -0.830 -0.571  -0.830 -0.744  -0.830 -0.917  -0.830 -1.091  -0.683 -1.117  -0.635 -0.991  -0.603 -0.823  -0.548 -0.659  -0.493 -0.495  -0.435 -0.332  -0.313 -0.209  -0.190 -0.087  -0.068 0.036  0.055 0.158  0.145 0.295  0.145 0.468  0.145 0.641  0.145 0.814  0.299 0.833  0.340 0.701  0.340 0.527  0.340 0.354  0.361 0.184  0.416 0.020  0.471 -0.145  0.526 -0.309  0.637 -0.439  0.759 -0.561  0.882 -0.684  0.960 -0.620  1.015 -0.455  1.070 -0.291  1.131 -0.130  1.254 -0.008  1.315 0.140  1.315 0.313  1.315 0.487  1.315 0.660  1.315 0.833
1c#apa#apa14#app1460/w  -0.928 0.969  -0.928 0.815  -0.928 0.661  -0.928 0.507  -0.928 0.353  -0.928 0.199  -0.928 0.045  -0.928 -0.109  -0.928 -0.263  -0.928 -0.417  -0.901 -0.567  -0.852 -0.713  -0.804 -0.859  -0.783 -1.010  -0.686 -1.067  -0.590 -0.973  -0.521 -0.835  -0.492 -0.688  -0.468 -0.537  -0.431 -0.388  -0.393 -0.238  -0.356 -0.089  -0.296 0.052  -0.227 0.190  -0.201 0.338  -0.096 0.387  -0.055 0.274  0.031 0.156  0.090 0.026  0.090 -0.128  0.090 -0.282  0.158 -0.408  0.275 -0.505  0.413 -0.574  0.546 -0.612  0.655 -0.503  0.764 -0.394  0.873 -0.285  0.975 -0.171  1.044 -0.033  1.111 0.105  1.148 0.255  1.186 0.404  1.223 0.554  1.254 0.704  1.239 0.855  1.170 0.992  1.101 1.130  1.032 1.268  0.963 1.406
1c#apa#apa14#app1460/h  -0.225 1.635  -0.318 1.729  -0.389 1.768  -0.389 1.636  -0.389 1.503  -0.413 1.374  -0.446 1.246  -0.478 1.117  -0.510 0.989  -0.542 0.860  -0.542 0.730  -0.523 0.599  -0.505 0.469  -0.486 0.338  -0.467 0.207  -0.448 0.076  -0.430 -0.055  -0.411 -0.186  -0.392 -0.317  -0.389 -0.449  -0.389 -0.582  -0.389 -0.714  -0.389 -0.846  -0.389 -0.979  -0.389 -0.882  -0.389 -0.750  -0.354 -0.632  -0.260 -0.539  -0.199 -0.425  -0.157 -0.300  -0.115 -0.174  -0.073 -0.049  0.021 0.031  0.140 0.090  0.258 0.149  0.389 0.155  0.495 0.093  0.589 -0.001  0.683 -0.094  0.762 -0.194  0.762 -0.326  0.800 -0.452  0.842 -0.578  0.884 -0.703  0.926 -0.829  0.927 -0.961  0.927 -1.093  0.927 -1.226  0.927 -1.294  0.927 -1.161
1c#apa#apa14#app1460/a  0.631 0.354  0.509 0.477  0.427 0.616  0.427 0.789  0.427 0.962  0.351 1.117  0.274 1.272  0.162 1.372  -0.011 1.372  -0.184 1.371  -0.306 1.249  -0.428 1.127  -0.551 1.004  -0.673 0.882  -0.794 0.759  -0.836 0.591  -0.878 0.423  -0.920 0.255  -0.962 0.087  -0.988 -0.080  -0.933 -0.245  -0.879 -0.409  -0.824 -0.573  -0.794 -0.741  -0.747 -0.867  -0.574 -0.867  -0.400 -0.867  -0.298 -0.734  -0.202 -0.590  -0.106 -0.446  -0.010 -0.302  0.020 -0.139  0.059 0.025  0.137 0.180  0.214 0.335  0.224 0.203  0.224 0.030  0.224 -0.144  0.266 -0.299  0.389 -0.421  0.427 -0.579  0.427 -0.752  0.479 -0.893  0.634 -0.970  0.789 -1.048  0.956 -1.071  1.129 -1.071  1.242 -1.010  1.211 -0.867  1.038 -0.867
1c#apa#apa14#app1460/t  0.087 1.869  0.087 1.699  0.087 1.529  0.087 1.359  0.087 1.189  0.087 1.019  0.087 0.849  0.087 0.679  0.087 0.509  0.087 0.339  0.087 0.169  0.087 -0.001  0.086 -0.171  0.010 -0.323  -0.049 -0.479  -0.049 -0.649  -0.049 -0.819  -0.049 -0.989  -0.049 -1.159  -0.049 -1.329  0.028 -1.468  0.165 -1.488  0.317 -1.412  0.482 -1.391  0.635 -1.321  0.750 -1.238  0.629 -1.118  0.509 -0.998  0.389 -0.878  0.269 -0.757  0.148 -0.637  0.028 -0.517  -0.092 -0.397  -0.212 -0.276  -0.332 -0.156  -0.453 -0.036  -0.573 0.084  -0.693 0.204  -0.813 0.325  -0.864 0.474  -0.864 0.644  -0.696 0.647  -0.528 0.663  -0.363 0.704  -0.198 0.745  -0.033 0.786  0.131 0.828  0.296 0.869  0.461 0.910  0.630 0.918
