1c#apa#apa14#app1495/b  -0.180 1.683  -0.288 1.790  -0.364 1.823  -0.364 1.671  -0.364 1.519  -0.364 1.367  -0.364 1.215  -0.364 1.063  -0.364 0.911  -0.364 0.759  -0.364 0.607  -0.364 0.455  -0.364 0.303  -0.364 0.151  -0.364 -0.001  -0.364 -0.153  -0.364 -0.304  -0.364 -0.456  -0.401 -0.454  -0.469 -0.318  -0.537 -0.182  -0.460 -0.070  -0.364 0.043  -0.364 0.195  -0.364 0.347  -0.271 0.347  -0.135 0.279  0.001 0.211  0.128 0.127  0.254 0.043  0.381 -0.042  0.507 -0.126  0.649 -0.159  0.801 -0.159  0.937 -0.184  1.005 -0.320  1.073 -0.456  1.057 -0.579  0.950 -0.686  0.842 -0.794  0.733 -0.899  0.597 -0.967  0.461 -1.035  0.325 -1.103  0.189 -1.171  0.053 -1.239  -0.093 -1.264  -0.245 -1.264  -0.397 -1.264  -0.549 -1.264
1c#apa#apa14#app1495/i  0.174 0.026  0.174 -0.075  0.174 -0.176  0.174 -0.277  0.174 -0.379  0.174 -0.480  0.174 -0.581  0.174 -0.682  0.174 -0.783  0.174 -0.884  0.174 -0.985  0.174 -1.087  0.174 -1.188  0.174 -1.289  0.174 -1.390  0.168 -1.410  0.154 -1.310  0.140 -1.210  0.126 -1.109  0.111 -1.009  0.097 -0.909  0.083 -0.809  0.068 -0.709  0.054 -0.609  0.040 -0.509  0.025 -0.409  0.011 -0.308  -0.003 -0.208  -0.017 -0.108  -0.032 -0.008  -0.046 0.092  -0.060 0.192  -0.075 0.292  -0.089 0.392  -0.103 0.493  -0.118 0.593  -0.132 0.693  -0.146 0.793  -0.161 0.893  -0.175 0.993  -0.189 1.093  -0.203 1.193  -0.218 1.294  -0.232 1.394  -0.246 1.494  -0.261 1.594  -0.275 1.694  -0.289 1.794  -0.304 1.894  -0.318 1.994
1c#apa#apa14#app1495/g  0.375 0.478  0.325 0.628  0.275 0.778  0.225 0.928  0.138 1.055  0.022 1.157  -0.136 1.157  -0.294 1.157  -0.453 1.157  -0.571 1.061  -0.683 0.949  -0.795 0.837  -0.815 0.687  -0.815 0.529  -0.815 0.371  -0.815 0.213  -0.815 0.055  -0.751 -0.000  -0.609 0.070  -0.468 0.141  -0.326 0.212  -0.185 0.283  -0.062 0.380  0.049 0.492  0.161 0.604  0.205 0.744  0.205 0.733  0.205 0.575  0.205 0.417  0.205 0.258  0.232 0.111  0.343 -0.001  0.455 -0.113  0.559 -0.230  0.630 -0.372  0.701 -0.513  0.771 -0.655  0.842 -0.796  0.885 -0.944  0.843 -1.080  0.711 -1.168  0.580 -1.256  0.448 -1.343  0.305 -1.392  0.146 -1.392  -0.012 -1.392  -0.170 -1.392  -0.328 -1.392  -0.486 -1.392  -0.645 -1.392
1c#apa#apa14#app1495/i  0.137 0.263  0.020 0.263  -0.041 0.240  0.042 0.157  0.125 0.074  0.137 -0.038  0.137 -0.155  0.137 -0.272  0.137 -0.389  0.137 -0.506  0.137 -0.623  0.137 -0.740  0.137 -0.858  0.137 -0.975  0.137 -1.092  0.137 -1.209  0.137 -1.326  0.137 -1.443  0.136 -1.534  0.123 -1.418  0.110 -1.302  0.097 -1.185  0.084 -1.069  0.071 -0.952  0.058 -0.836  0.045 -0.720  0.032 -0.603  0.019 -0.487  0.006 -0.370  -0.006 -0.254  -0.019 -0.138  -0.032 -0.021  -0.045 0.095  -0.058 0.211  -0.071 0.328  -0.084 0.444  -0.097 0.561  -0.110 0.677  -0.123 0.793  -0.136 0.910  -0.149 1.026  -0.162 1.143  -0.175 1.259  -0.187 1.375  -0.200 1.492  -0.213 1.608  -0.226 1.724  -0.239 1.841  -0.252 1.957  -0.265 2.074
1c#apa#apa14#app1495/n  -0.776 0.727  -0.776 0.582  -0.776 0.436  -0.776 0.291  -0.752 0.149  -0.706 0.011  -0.660 -0.127  -0.614 -0.265  -0.568 -0.403  -0.522 -0.541  -0.522 -0.687  -0.522 -0.832  -0.522 -0.978  -0.522 -1.123  -0.522 -1.269  -0.522 -1.198  -0.522 -1.052  -0.522 -0.907  -0.522 -0.761  -0.522 -0.616  -0.522 -0.470  -0.522 -0.325  -0.522 -0.179  -0.522 -0.034  -0.522 0.112  -0.504 0.253  -0.439 0.384  -0.374 0.514  -0.309 0.644  -0.230 0.764  -0.127 0.867  -0.025 0.970  0.116 0.982  0.262 0.982  0.407 0.982  0.536 0.941  0.639 0.838  0.742 0.735  0.845 0.632  0.948 0.529  1.050 0.426  1.153 0.323  1.256 0.220  1.258 0.075  1.258 -0.070  1.258 -0.216  1.258 -0.361  1.258 -0.507  1.258 -0.652  1.258 -0.798
1c#apa#apa14#app1495/k  -1.014 1.247  -0.927 1.072  -0.839 0.897  -0.813 0.707  -0.813 0.512  -0.813 0.316  -0.813 0.120  -0.813 -0.075  -0.787 -0.268  -0.739 -0.457  -0.692 -0.647  -0.644 -0.837  -0.569 -1.011  -0.430 -1.149  -0.292 -1.050  -0.180 -0.894  -0.107 -0.713  -0.035 -0.531  0.038 -0.349  0.111 -0.168  0.183 0.014  0.256 0.196  0.329 0.377  0.401 0.559  0.474 0.741  0.547 0.922  0.596 1.109  0.637 1.287  0.775 1.426  0.797 1.284  0.685 1.135  0.547 0.997  0.409 0.858  0.270 0.720  0.145 0.571  0.037 0.408  -0.072 0.245  -0.180 0.082  -0.209 -0.105  -0.209 -0.300  -0.209 -0.496  -0.082 -0.565  0.078 -0.650  0.216 -0.789  0.354 -0.927  0.526 -1.011  0.712 -1.073  0.897 -1.135  1.062 -1.232  1.200 -1.370
1c#apa#apa14#app1495/y  -1.478 0.881  -1.478 0.741  -1.388 0.649  -1.271 0.572  -1.155 0.494  -1.038 0.416  -0.928 0.331  -0.829 0.232  -0.731 0.133  -0.632 0.034  -0.533 -0.065  -0.429 -0.157  -0.304 -0.220  -0.179 -0.282  -0.047 -0.317  0.065 -0.286  0.081 -0.147  0.096 -0.008  0.112 0.131  0.127 0.270  0.143 0.409  0.158 0.548  0.173 0.687  0.189 0.826  0.204 0.965  0.220 1.104  0.248 1.208  0.346 1.109  0.404 0.993  0.404 0.853  0.404 0.713  0.404 0.573  0.404 0.434  0.404 0.294  0.404 0.154  0.404 0.014  0.404 -0.126  0.404 -0.266  0.404 -0.406  0.404 -0.546  0.409 -0.685  0.437 -0.822  0.464 -0.960  0.492 -1.097  0.519 -1.234  0.546 -1.371  0.574 -1.508  0.575 -1.648  0.647 -1.758  0.746 -1.857
1c#apa#apa14#app1495/d  0.429 1.728  0.257 1.728  0.085 1.728  0.058 1.582  0.058 1.410  0.087 1.242  0.128 1.075  0.170 0.908  0.212 0.741  0.262 0.577  0.339 0.424  0.416 0.270  0.429 0.101  0.429 -0.071  0.429 -0.243  0.502 -0.385  0.614 -0.511  0.614 -0.683  0.614 -0.513  0.503 -0.387  0.429 -0.246  0.399 -0.083  0.304 0.061  0.208 0.204  0.113 0.347  0.006 0.481  -0.115 0.603  -0.282 0.615  -0.431 0.536  -0.574 0.441  -0.717 0.345  -0.860 0.250  -0.920 0.091  -0.975 -0.072  -1.029 -0.235  -1.015 -0.394  -0.938 -0.548  -0.861 -0.701  -0.784 -0.855  -0.707 -1.009  -0.563 -1.055  -0.391 -1.055  -0.219 -1.055  -0.047 -1.055  0.125 -1.055  0.297 -1.055  0.469 -1.055  0.641 -1.055  0.813 -1.055  0.985 -1.055
1c#apa#apa14#app1495/e  -0.316 -0.430  -0.464 -0.430  -0.520 -0.408  -0.387 -0.341  -0.254 -0.275  -0.122 -0.209  -0.006 -0.119  0.099 -0.014  0.204 0.091  0.309 0.195  0.414 0.300  0.426 0.443  0.426 0.592  0.426 0.740  0.426 0.888  0.426 1.037  0.310 1.113  0.178 1.179  0.045 1.246  -0.090 1.303  -0.238 1.303  -0.387 1.303  -0.535 1.303  -0.564 1.183  -0.564 1.035  -0.564 0.887  -0.564 0.738  -0.564 0.590  -0.564 0.442  -0.564 0.293  -0.564 0.145  -0.564 -0.003  -0.564 -0.152  -0.564 -0.300  -0.550 -0.443  -0.446 -0.548  -0.341 -0.652  -0.236 -0.757  -0.131 -0.862  -0.015 -0.951  0.118 -1.018  0.250 -1.084  0.383 -1.150  0.526 -1.172  0.675 -1.172  0.823 -1.172  0.971 -1.172  1.119 -1.172  1.268 -1.172  1.416 -1.172
1c#apa#apa14#app1495/v  -1.227 1.109  -1.146 1.027  -1.065 0.946  -0.984 0.865  -0.923 0.771  -0.887 0.662  -0.851 0.553  -0.814 0.445  -0.778 0.336  -0.742 0.227  -0.705 0.118  -0.669 0.009  -0.608 -0.085  -0.527 -0.166  -0.446 -0.247  -0.366 -0.328  -0.366 -0.443  -0.366 -0.558  -0.366 -0.673  -0.366 -0.788  -0.365 -0.902  -0.262 -0.953  -0.159 -1.004  -0.057 -1.056  0.046 -1.107  0.148 -1.158  0.230 -1.146  0.281 -1.043  0.332 -0.941  0.384 -0.838  0.435 -0.735  0.486 -0.633  0.519 -0.523  0.546 -0.411  0.574 -0.300  0.602 -0.189  0.630 -0.077  0.658 0.034  0.686 0.145  0.713 0.257  0.741 0.368  0.769 0.479  0.783 0.592  0.783 0.707  0.783 0.822  0.783 0.937  0.783 1.051  0.783 1.166  0.783 1.281  0.783 1.396
1c#apa#apa14#app1495/i  -0.207 0.368  -0.207 0.253  -0.207 0.138  -0.207 0.023  -0.158 -0.077  -0.094 -0.172  -0.031 -0.268  0.033 -0.364  0.097 -0.459  0.161 -0.555  0.165 -0.668  0.165 -0.783  0.165 -0.898  0.165 -1.013  0.169 -1.127  0.220 -1.230  0.272 -1.332  0.323 -1.435  0.341 -1.443  0.317 -1.330  0.294 -1.218  0.270 -1.105  0.246 -0.993  0.223 -0.881  0.199 -0.768  0.175 -0.656  0.152 -0.543  0.128 -0.431  0.104 -0.318  0.081 -0.206  0.057 -0.094  0.033 0.019  0.010 0.131  -0.014 0.244  -0.038 0.356  -0.061 0.469  -0.085 0.581  -0.109 0.693  -0.132 0.806  -0.156 0.918  -0.180 1.031  -0.203 1.143  -0.227 1.256  -0.251 1.368  -0.274 1.480  -0.298 1.593  -0.322 1.705  -0.345 1.818  -0.369 1.930  -0.393 2.042
