1c#apa#apa15#app1566/w  -0.944 1.023  -0.944 1.165  -0.944 1.026  -0.944 0.884  -0.944 0.742  -0.944 0.600  -0.944 0.458  -0.944 0.316  -0.944 0.174  -0.944 0.033  -0.944 -0.109  -0.944 -0.251  -0.944 -0.393  -0.889 -0.522  -0.825 -0.649  -0.723 -0.737  -0.596 -0.801  -0.486 -0.800  -0.407 -0.682  -0.328 -0.564  -0.250 -0.446  -0.195 -0.316  -0.150 -0.181  -0.105 -0.047  -0.032 0.070  0.060 0.150  0.060 0.009  0.060 -0.133  0.060 -0.275  0.060 -0.417  0.060 -0.559  0.063 -0.698  0.205 -0.698  0.347 -0.698  0.489 -0.698  0.563 -0.578  0.636 -0.456  0.709 -0.335  0.782 -0.213  0.855 -0.091  0.929 0.030  1.014 0.143  1.099 0.257  1.185 0.370  1.270 0.484  1.351 0.599  1.351 0.741  1.351 0.883  1.351 1.025  1.351 1.167
1c#apa#apa15#app1566/a  0.644 0.359  0.644 0.564  0.644 0.768  0.499 0.827  0.410 0.943  0.349 1.122  0.205 1.267  0.012 1.296  -0.153 1.200  -0.298 1.056  -0.442 0.911  -0.574 0.756  -0.687 0.586  -0.801 0.416  -0.914 0.246  -0.994 0.065  -0.994 -0.139  -0.994 -0.344  -0.994 -0.548  -0.994 -0.753  -0.994 -0.957  -0.891 -1.097  -0.708 -1.189  -0.525 -1.278  -0.380 -1.134  -0.248 -0.979  -0.135 -0.809  -0.021 -0.639  0.092 -0.469  0.189 -0.291  0.239 -0.093  0.288 0.106  0.338 0.304  0.387 0.502  0.410 0.704  0.410 0.909  0.410 1.010  0.410 0.805  0.410 0.601  0.410 0.396  0.410 0.192  0.410 -0.013  0.410 -0.217  0.410 -0.422  0.426 -0.624  0.490 -0.818  0.555 -1.012  0.620 -1.206  0.734 -1.369  0.878 -1.514
1c#apa#apa15#app1566/s  0.128 0.634  0.128 0.771  0.128 0.908  0.112 1.039  0.015 1.136  -0.087 1.211  -0.217 1.168  -0.347 1.124  -0.477 1.081  -0.607 1.038  -0.691 0.941  -0.752 0.819  -0.814 0.696  -0.893 0.586  -0.990 0.489  -1.039 0.373  -1.039 0.236  -1.039 0.099  -0.950 0.051  -0.813 0.051  -0.676 0.051  -0.539 0.051  -0.402 0.051  -0.265 0.051  -0.128 0.051  0.009 0.051  0.147 0.051  0.284 0.051  0.421 0.051  0.556 0.038  0.686 -0.006  0.816 -0.049  0.946 -0.092  1.076 -0.136  1.100 -0.255  1.100 -0.392  1.100 -0.529  1.006 -0.627  0.909 -0.724  0.796 -0.801  0.682 -0.877  0.567 -0.953  0.453 -1.029  0.339 -1.105  0.209 -1.145  0.076 -1.178  -0.057 -1.211  -0.190 -1.244  -0.323 -1.278  -0.456 -1.311
1c#apa#apa15#app1566/o  0.299 0.912  0.171 0.912  0.043 0.912  -0.081 0.901  -0.172 0.810  -0.262 0.720  -0.353 0.629  -0.444 0.538  -0.534 0.448  -0.625 0.357  -0.665 0.235  -0.706 0.114  -0.746 -0.008  -0.787 -0.130  -0.827 -0.251  -0.868 -0.373  -0.908 -0.495  -0.949 -0.616  -0.990 -0.738  -0.942 -0.853  -0.885 -0.968  -0.828 -1.083  -0.723 -1.120  -0.594 -1.120  -0.466 -1.120  -0.358 -1.059  -0.256 -0.982  -0.153 -0.905  -0.050 -0.828  0.052 -0.751  0.155 -0.674  0.257 -0.597  0.341 -0.503  0.412 -0.396  0.484 -0.289  0.555 -0.183  0.626 -0.076  0.697 0.031  0.768 0.137  0.839 0.244  0.910 0.351  0.981 0.457  1.038 0.568  1.038 0.697  1.038 0.825  1.038 0.953  1.038 1.081  0.925 1.097  0.797 1.097  0.669 1.097
1c#apa#apa15#app1566/n  -0.984 -0.055  -0.984 -0.175  -0.976 -0.294  -0.938 -0.408  -0.900 -0.522  -0.862 -0.636  -0.824 -0.751  -0.786 -0.865  -0.768 -0.982  -0.768 -1.102  -0.704 -1.068  -0.619 -0.983  -0.553 -0.891  -0.553 -0.770  -0.553 -0.650  -0.553 -0.530  -0.553 -0.410  -0.553 -0.289  -0.553 -0.169  -0.553 -0.049  -0.553 0.072  -0.531 0.183  -0.446 0.268  -0.361 0.353  -0.298 0.454  -0.244 0.562  -0.191 0.669  -0.137 0.777  -0.044 0.846  0.063 0.900  0.171 0.953  0.278 1.007  0.395 1.023  0.515 1.023  0.603 0.944  0.688 0.859  0.761 0.765  0.815 0.658  0.869 0.550  0.923 0.443  0.976 0.335  1.030 0.228  1.084 0.120  1.138 0.012  1.171 -0.100  1.171 -0.220  1.171 -0.340  1.171 -0.461  1.171 -0.581  1.171 -0.701
1c#apa#apa15#app1566/l  -0.169 1.687  -0.169 1.617  -0.169 1.547  -0.169 1.477  -0.169 1.407  -0.169 1.337  -0.169 1.267  -0.169 1.197  -0.169 1.127  -0.169 1.057  -0.169 0.987  -0.169 0.917  -0.151 0.850  -0.129 0.784  -0.106 0.718  -0.084 0.651  -0.062 0.585  -0.040 0.518  -0.018 0.452  0.004 0.386  0.026 0.319  0.048 0.253  0.071 0.186  0.091 0.120  0.091 0.050  0.091 -0.020  0.091 -0.090  0.091 -0.160  0.091 -0.230  0.091 -0.300  0.091 -0.370  0.091 -0.440  0.091 -0.510  0.091 -0.580  0.091 -0.650  0.091 -0.720  0.091 -0.790  0.091 -0.860  0.091 -0.930  0.091 -1.000  0.091 -1.070  0.091 -1.140  0.091 -1.210  0.091 -1.280  0.091 -1.350  0.091 -1.420  0.091 -1.490  0.091 -1.560  0.091 -1.630  0.091 -1.700
1c#apa#apa15#app1566/y  -1.118 1.062  -1.033 0.977  -0.980 0.879  -0.980 0.758  -0.980 0.638  -0.980 0.518  -0.900 0.431  -0.843 0.334  -0.821 0.236  -0.700 0.236  -0.580 0.236  -0.478 0.296  -0.378 0.362  -0.278 0.429  -0.178 0.496  -0.072 0.553  0.035 0.606  0.132 0.671  0.186 0.779  0.239 0.886  0.313 0.979  0.396 1.059  0.396 0.938  0.396 0.818  0.436 0.707  0.490 0.600  0.539 0.491  0.568 0.374  0.597 0.257  0.626 0.141  0.656 0.024  0.671 -0.094  0.671 -0.214  0.671 -0.335  0.671 -0.455  0.671 -0.575  0.671 -0.695  0.671 -0.815  0.615 -0.907  0.519 -0.979  0.422 -1.052  0.326 -1.124  0.230 -1.196  0.134 -1.268  0.017 -1.278  -0.101 -1.299  -0.217 -1.328  -0.334 -1.357  -0.451 -1.386  -0.567 -1.415
1c#apa#apa15#app1566/t  -0.630 1.703  -0.630 1.522  -0.587 1.346  -0.543 1.170  -0.499 0.994  -0.455 0.818  -0.446 0.638  -0.446 0.457  -0.446 0.276  -0.446 0.095  -0.446 -0.087  -0.446 -0.268  -0.446 -0.449  -0.417 -0.627  -0.373 -0.803  -0.329 -0.978  -0.285 -1.154  -0.261 -1.332  -0.261 -1.514  -0.221 -1.551  -0.126 -1.396  -0.031 -1.242  0.064 -1.088  0.159 -0.933  0.254 -0.779  0.349 -0.625  0.444 -0.470  0.539 -0.316  0.634 -0.162  0.729 -0.007  0.824 0.147  0.919 0.301  1.014 0.456  1.109 0.610  1.204 0.764  1.214 0.619  1.055 0.596  0.890 0.527  0.728 0.446  0.566 0.364  0.404 0.283  0.236 0.227  0.055 0.227  -0.126 0.227  -0.307 0.227  -0.489 0.227  -0.668 0.215  -0.840 0.157  -1.012 0.100  -1.184 0.043
1c#apa#apa15#app1566/o  -0.278 1.009  -0.147 1.009  -0.016 1.009  0.115 1.009  0.210 0.922  0.303 0.829  0.396 0.737  0.489 0.644  0.581 0.551  0.674 0.459  0.767 0.366  0.860 0.273  0.952 0.180  1.045 0.088  1.126 -0.010  1.126 -0.141  1.126 -0.272  1.126 -0.403  1.126 -0.534  1.077 -0.645  0.984 -0.738  0.877 -0.796  0.746 -0.796  0.615 -0.796  0.484 -0.796  0.352 -0.796  0.223 -0.776  0.095 -0.750  -0.034 -0.724  -0.162 -0.699  -0.291 -0.673  -0.420 -0.647  -0.548 -0.622  -0.677 -0.596  -0.751 -0.488  -0.823 -0.379  -0.896 -0.270  -0.969 -0.161  -1.041 -0.052  -1.141 0.006  -1.273 0.006  -1.226 0.116  -1.167 0.233  -1.109 0.351  -1.024 0.445  -0.915 0.518  -0.806 0.591  -0.697 0.663  -0.588 0.736  -0.479 0.809
1c#apa#apa15#app1566/o  -0.813 0.826  -0.695 0.885  -0.577 0.944  -0.460 1.003  -0.335 1.032  -0.204 1.032  -0.093 0.964  0.016 0.891  0.126 0.818  0.235 0.745  0.344 0.672  0.456 0.604  0.574 0.545  0.691 0.486  0.809 0.427  0.880 0.322  0.939 0.205  0.998 0.087  1.040 -0.034  1.040 -0.166  1.040 -0.297  1.040 -0.429  1.040 -0.560  0.976 -0.657  0.866 -0.730  0.757 -0.803  0.647 -0.876  0.538 -0.949  0.429 -1.022  0.299 -1.026  0.167 -1.026  0.036 -1.026  -0.078 -0.967  -0.187 -0.894  -0.297 -0.821  -0.406 -0.748  -0.515 -0.675  -0.619 -0.597  -0.692 -0.487  -0.764 -0.378  -0.837 -0.268  -0.910 -0.159  -0.983 -0.050  -1.018 0.071  -1.018 0.202  -0.979 0.327  -0.937 0.452  -0.896 0.577  -0.854 0.702  -0.813 0.826
1c#apa#apa15#app1566/p  -0.560 0.469  -0.560 0.305  -0.560 0.141  -0.548 -0.021  -0.487 -0.173  -0.426 -0.326  -0.365 -0.478  -0.304 -0.631  -0.255 -0.785  -0.255 -0.949  -0.242 -1.112  -0.202 -1.271  -0.162 -1.430  -0.122 -1.590  -0.159 -1.613  -0.261 -1.489  -0.293 -1.328  -0.325 -1.167  -0.357 -1.006  -0.389 -0.845  -0.408 -0.683  -0.408 -0.519  -0.408 -0.354  -0.408 -0.190  -0.408 -0.026  -0.408 0.138  -0.408 0.302  -0.408 0.466  -0.335 0.613  -0.262 0.760  -0.150 0.879  -0.059 1.013  0.014 1.160  0.133 1.233  0.298 1.233  0.462 1.233  0.626 1.233  0.790 1.233  0.913 1.135  1.007 1.002  1.080 0.855  1.087 0.708  1.014 0.562  0.917 0.435  0.781 0.344  0.644 0.253  0.507 0.163  0.361 0.089  0.214 0.016  0.051 0.011
