1c#apa#apa20#app2062/p  -0.022 0.510  -0.022 0.323  -0.022 0.136  -0.121 -0.010  -0.162 -0.180  -0.162 -0.367  -0.162 -0.554  -0.162 -0.741  -0.162 -0.928  -0.162 -1.115  -0.162 -1.302  -0.162 -1.489  -0.162 -1.676  -0.162 -1.602  -0.287 -1.467  -0.302 -1.286  -0.302 -1.099  -0.387 -0.947  -0.442 -0.783  -0.512 -0.613  -0.583 -0.442  -0.583 -0.255  -0.583 -0.068  -0.583 0.119  -0.583 0.306  -0.583 0.493  -0.583 0.680  -0.549 0.859  -0.465 1.026  -0.442 1.208  -0.399 1.351  -0.212 1.351  -0.025 1.351  0.162 1.351  0.323 1.287  0.455 1.155  0.587 1.023  0.679 0.874  0.783 0.791  0.819 0.640  0.876 0.510  0.960 0.406  0.960 0.219  0.960 0.032  0.886 -0.124  0.726 -0.191  0.539 -0.191  0.352 -0.191  0.165 -0.191  -0.022 -0.191
1c#apa#apa20#app2062/i  0.011 0.854  0.011 0.727  0.011 0.601  0.011 0.474  0.011 0.348  0.011 0.221  0.011 0.095  0.011 -0.032  0.011 -0.159  0.011 -0.285  0.011 -0.412  0.011 -0.538  0.011 -0.665  0.011 -0.791  0.011 -0.918  0.011 -1.044  0.011 -1.171  0.011 -1.297  0.011 -1.424  0.011 -1.551  0.011 -1.595  0.011 -1.468  0.011 -1.342  0.011 -1.215  0.011 -1.089  0.011 -0.962  0.011 -0.836  0.011 -0.709  0.011 -0.582  0.011 -0.456  0.011 -0.329  0.011 -0.203  0.011 -0.076  0.011 0.050  0.011 0.177  0.011 0.303  0.011 0.430  0.011 0.556  0.011 0.683  0.011 0.810  0.011 0.936  0.011 1.063  0.011 1.189  0.011 1.316  0.011 1.442  0.011 1.569  0.003 1.692  -0.086 1.782  -0.176 1.871  -0.265 1.961
1c#apa#apa20#app2062/n  -0.877 0.040  -0.877 -0.101  -0.877 -0.242  -0.877 -0.383  -0.877 -0.524  -0.877 -0.664  -0.877 -0.805  -0.877 -0.946  -0.869 -1.079  -0.728 -1.079  -0.653 -1.014  -0.653 -0.873  -0.653 -0.733  -0.653 -0.592  -0.653 -0.451  -0.653 -0.310  -0.653 -0.169  -0.653 -0.028  -0.580 0.040  -0.439 0.040  -0.429 0.170  -0.429 0.311  -0.429 0.452  -0.429 0.593  -0.407 0.711  -0.266 0.711  -0.205 0.791  -0.205 0.932  -0.067 0.935  0.074 0.935  0.214 0.935  0.355 0.935  0.466 0.905  0.466 0.764  0.554 0.711  0.690 0.707  0.690 0.566  0.734 0.443  0.834 0.344  0.914 0.236  0.914 0.095  0.999 0.040  1.138 0.037  1.138 -0.103  1.138 -0.244  1.138 -0.385  1.221 -0.491  1.321 -0.591  1.362 -0.715  1.362 -0.856
1c#apa#apa20#app2062/k  -0.765 2.055  -0.750 1.899  -0.609 1.870  -0.609 1.700  -0.609 1.530  -0.558 1.381  -0.453 1.254  -0.453 1.084  -0.453 0.913  -0.453 0.743  -0.453 0.573  -0.453 0.403  -0.453 0.232  -0.453 0.062  -0.453 -0.108  -0.453 -0.279  -0.453 -0.449  -0.453 -0.619  -0.453 -0.789  -0.413 -0.871  -0.286 -0.758  -0.159 -0.645  -0.031 -0.532  0.096 -0.419  0.223 -0.305  0.350 -0.192  0.478 -0.079  0.605 0.034  0.732 0.147  0.860 0.260  0.901 0.341  0.749 0.296  0.629 0.175  0.508 0.055  0.349 0.029  0.222 -0.076  0.073 -0.127  -0.065 -0.206  -0.141 -0.345  -0.141 -0.515  -0.077 -0.659  0.055 -0.751  0.171 -0.806  0.240 -0.906  0.327 -0.990  0.425 -1.062  0.595 -1.062  0.765 -1.062  0.794 -1.204  0.950 -1.218
1c#apa#apa20#app2062/i  -0.162 0.546  -0.162 0.418  -0.162 0.291  -0.162 0.163  -0.162 0.035  -0.162 -0.092  -0.162 -0.220  -0.162 -0.347  -0.162 -0.475  -0.081 -0.522  0.046 -0.522  0.105 -0.591  0.105 -0.718  0.105 -0.846  0.105 -0.973  0.105 -1.101  0.105 -1.229  0.105 -1.356  0.105 -1.484  0.105 -1.569  0.105 -1.442  0.105 -1.314  0.105 -1.186  0.105 -1.059  0.105 -0.931  0.105 -0.804  0.105 -0.676  0.105 -0.549  0.105 -0.421  0.105 -0.293  0.105 -0.166  0.105 -0.038  0.105 0.089  0.105 0.217  0.105 0.345  0.105 0.472  0.105 0.600  0.105 0.727  0.105 0.855  0.105 0.982  0.105 1.110  0.105 1.238  0.092 1.360  0.002 1.450  -0.088 1.540  -0.185 1.614  -0.313 1.614  -0.429 1.626  -0.429 1.753  -0.429 1.881
1c#apa#apa20#app2062/s  0.195 0.898  0.065 0.898  -0.065 0.898  -0.195 0.898  -0.249 0.974  -0.249 1.104  -0.363 1.120  -0.493 1.120  -0.623 1.120  -0.692 1.059  -0.692 0.929  -0.791 0.898  -0.914 0.891  -0.914 0.761  -0.869 0.676  -0.739 0.676  -0.692 0.592  -0.692 0.462  -0.571 0.454  -0.470 0.424  -0.470 0.294  -0.402 0.232  -0.272 0.232  -0.173 0.157  -0.082 0.065  0.020 -0.013  0.137 -0.071  0.253 -0.129  0.369 -0.188  0.494 -0.212  0.624 -0.212  0.720 -0.293  0.812 -0.385  0.904 -0.476  0.996 -0.568  1.083 -0.662  1.083 -0.792  1.042 -0.897  0.926 -0.956  0.810 -1.014  0.693 -1.072  0.570 -1.099  0.440 -1.099  0.310 -1.099  0.180 -1.099  0.050 -1.099  -0.080 -1.099  -0.210 -1.099  -0.340 -1.099  -0.470 -1.099
1c#apa#apa20#app2062/t  -0.510 1.915  -0.510 2.072  -0.400 1.965  -0.350 1.828  -0.312 1.680  -0.242 1.539  -0.191 1.394  -0.191 1.237  -0.191 1.079  -0.191 0.922  -0.191 0.765  -0.168 0.617  -0.057 0.506  -0.032 0.359  -0.032 0.202  -0.032 0.045  -0.032 -0.113  0.019 -0.258  0.089 -0.398  0.128 -0.547  0.177 -0.683  0.287 -0.795  0.287 -0.952  0.287 -1.110  0.396 -1.221  0.446 -1.358  0.394 -1.364  0.298 -1.240  0.201 -1.116  0.105 -0.992  0.008 -0.867  -0.088 -0.743  -0.185 -0.619  -0.281 -0.495  -0.378 -0.371  -0.474 -0.247  -0.571 -0.123  -0.668 0.001  -0.514 0.003  -0.357 0.003  -0.244 -0.103  -0.108 -0.156  0.049 -0.156  0.183 -0.212  0.297 -0.315  0.455 -0.315  0.612 -0.315  0.769 -0.315  0.926 -0.315  1.084 -0.315
1c#apa#apa20#app2062/h  -0.733 1.049  -0.733 1.180  -0.733 1.310  -0.776 1.398  -0.850 1.455  -0.779 1.515  -0.733 1.430  -0.663 1.328  -0.617 1.217  -0.617 1.086  -0.550 0.983  -0.500 0.873  -0.500 0.742  -0.500 0.612  -0.428 0.511  -0.384 0.399  -0.384 0.268  -0.341 0.147  -0.282 0.031  -0.267 -0.097  -0.267 -0.227  -0.178 -0.321  -0.151 -0.440  -0.151 -0.571  -0.066 -0.667  -0.034 -0.784  -0.034 -0.915  0.047 -1.012  0.082 -1.128  0.177 -1.164  0.199 -1.056  0.199 -0.925  0.199 -0.795  0.233 -0.698  0.315 -0.650  0.315 -0.519  0.315 -0.389  0.315 -0.258  0.421 -0.232  0.435 -0.116  0.566 -0.116  0.696 -0.116  0.814 -0.148  0.898 -0.244  0.898 -0.375  0.926 -0.494  1.014 -0.588  1.014 -0.718  1.038 -0.839  1.131 -0.931
1c#apa#apa20#app2062/e  -0.936 -0.097  -0.764 -0.097  -0.591 -0.097  -0.419 -0.097  -0.246 -0.097  -0.074 -0.097  0.099 -0.097  0.271 -0.097  0.444 -0.097  0.617 -0.097  0.789 -0.097  0.962 -0.097  1.032 0.005  1.032 0.178  1.032 0.350  1.032 0.523  1.032 0.696  0.910 0.746  0.741 0.756  0.619 0.878  0.497 1.000  0.336 1.028  0.164 1.028  -0.009 1.028  -0.181 1.028  -0.354 1.028  -0.482 0.920  -0.604 0.798  -0.755 0.746  -0.928 0.746  -0.936 0.583  -0.936 0.410  -0.936 0.238  -0.936 0.065  -0.936 -0.108  -0.936 -0.280  -0.884 -0.431  -0.762 -0.553  -0.640 -0.675  -0.518 -0.797  -0.396 -0.919  -0.232 -0.941  -0.060 -0.941  0.113 -0.941  0.257 -1.009  0.379 -1.131  0.514 -1.222  0.687 -1.222  0.859 -1.222  1.032 -1.222
1c#apa#apa20#app2062/r  -0.700 0.475  -0.700 0.350  -0.700 0.226  -0.700 0.101  -0.700 -0.024  -0.700 -0.149  -0.700 -0.273  -0.700 -0.398  -0.700 -0.523  -0.700 -0.647  -0.591 -0.664  -0.468 -0.668  -0.380 -0.756  -0.292 -0.844  -0.244 -0.949  -0.244 -1.074  -0.188 -1.175  -0.100 -1.263  -0.016 -1.341  -0.016 -1.216  0.012 -1.119  0.136 -1.119  0.212 -1.070  0.212 -0.945  0.212 -0.821  0.212 -0.696  0.212 -0.571  0.212 -0.447  0.212 -0.322  0.212 -0.197  0.212 -0.072  0.212 0.052  0.212 0.177  0.212 0.302  0.212 0.426  0.212 0.551  0.212 0.676  0.212 0.801  0.212 0.925  0.212 1.050  0.212 1.175  0.212 1.299  0.250 1.386  0.374 1.386  0.499 1.386  0.624 1.386  0.748 1.386  0.873 1.386  0.895 1.283  0.895 1.158
1c#apa#apa20#app2062/e  -0.768 0.602  -0.601 0.602  -0.444 0.579  -0.326 0.461  -0.208 0.343  -0.059 0.299  0.108 0.299  0.275 0.299  0.442 0.298  0.560 0.180  0.678 0.062  0.818 -0.003  0.985 -0.003  1.045 0.104  1.045 0.271  0.906 0.299  0.743 0.303  0.743 0.470  0.743 0.637  0.743 0.804  0.676 0.904  0.509 0.904  0.342 0.904  0.175 0.904  0.008 0.904  -0.159 0.904  -0.326 0.904  -0.485 0.885  -0.603 0.767  -0.721 0.649  -0.768 0.501  -0.768 0.334  -0.768 0.168  -0.768 0.001  -0.768 -0.166  -0.768 -0.333  -0.768 -0.500  -0.768 -0.667  -0.768 -0.834  -0.676 -0.909  -0.509 -0.909  -0.379 -0.997  -0.261 -1.115  -0.143 -1.233  -0.025 -1.351  0.093 -1.469  0.242 -1.514  0.409 -1.514  0.576 -1.514  0.743 -1.514
