1c#apb#apb07#app0716/g  0.317 0.753  0.364 0.879  0.263 0.979  0.139 1.040  -0.004 1.027  -0.133 0.965  -0.242 0.872  -0.336 0.761  -0.398 0.631  -0.445 0.494  -0.453 0.354  -0.376 0.239  -0.237 0.217  -0.103 0.273  0.014 0.357  0.121 0.453  0.215 0.564  0.301 0.680  0.382 0.800  0.443 0.931  0.500 1.064  0.573 1.189  0.625 1.101  0.587 0.961  0.538 0.825  0.481 0.692  0.422 0.560  0.361 0.428  0.300 0.297  0.237 0.166  0.175 0.036  0.119 -0.098  0.067 -0.233  0.015 -0.368  -0.023 -0.508  -0.054 -0.649  -0.085 -0.791  -0.111 -0.933  -0.129 -1.077  -0.147 -1.221  -0.183 -1.359  -0.247 -1.489  -0.314 -1.616  -0.425 -1.710  -0.552 -1.757  -0.595 -1.633  -0.559 -1.493  -0.517 -1.354  -0.469 -1.218  -0.422 -1.081
1c#apb#apb07#app0716/o  0.253 0.116  0.338 0.218  0.422 0.322  0.506 0.427  0.597 0.524  0.692 0.618  0.717 0.748  0.715 0.848  0.607 0.919  0.474 0.927  0.340 0.936  0.207 0.935  0.074 0.929  -0.060 0.923  -0.193 0.917  -0.320 0.876  -0.448 0.836  -0.575 0.795  -0.691 0.736  -0.789 0.645  -0.886 0.554  -0.975 0.457  -1.001 0.326  -1.027 0.195  -1.053 0.064  -1.072 -0.066  -1.027 -0.192  -0.981 -0.318  -0.936 -0.443  -0.891 -0.569  -0.784 -0.645  -0.671 -0.715  -0.557 -0.786  -0.444 -0.857  -0.322 -0.901  -0.189 -0.910  -0.056 -0.919  0.078 -0.928  0.211 -0.936  0.342 -0.917  0.471 -0.885  0.601 -0.852  0.730 -0.820  0.839 -0.747  0.942 -0.662  1.045 -0.577  1.129 -0.479  1.168 -0.351  1.206 -0.223  1.244 -0.095
1c#apb#apb07#app0716/u  -0.010 1.103  -0.177 1.121  -0.344 1.105  -0.477 1.008  -0.604 0.898  -0.704 0.769  -0.762 0.612  -0.820 0.454  -0.877 0.296  -0.926 0.135  -0.960 -0.029  -0.994 -0.194  -1.028 -0.358  -1.018 -0.524  -0.990 -0.690  -0.963 -0.856  -0.880 -0.996  -0.770 -1.123  -0.639 -1.211  -0.473 -1.231  -0.314 -1.212  -0.172 -1.124  -0.029 -1.035  0.105 -0.936  0.216 -0.809  0.326 -0.683  0.437 -0.556  0.536 -0.422  0.609 -0.271  0.682 -0.119  0.754 0.033  0.789 0.196  0.816 0.362  0.844 0.528  0.870 0.694  0.862 0.862  0.854 1.030  0.798 1.158  0.699 1.049  0.617 0.903  0.557 0.747  0.519 0.584  0.482 0.420  0.444 0.256  0.406 0.092  0.378 -0.073  0.360 -0.240  0.341 -0.407  0.323 -0.574  0.304 -0.741
1c#apb#apb07#app0716/r  1.653 0.767  1.733 0.880  1.629 0.819  1.482 0.795  1.334 0.799  1.195 0.855  1.059 0.916  0.921 0.967  0.773 0.984  0.629 1.019  0.486 1.049  0.340 1.037  0.214 0.958  0.122 0.841  0.031 0.723  -0.073 0.616  -0.178 0.511  -0.264 0.388  -0.349 0.266  -0.401 0.129  -0.440 -0.015  -0.468 -0.161  -0.488 -0.309  -0.508 -0.457  -0.503 -0.605  -0.488 -0.753  -0.450 -0.897  -0.408 -1.040  -0.366 -1.183  -0.345 -1.329  -0.345 -1.321  -0.345 -1.172  -0.345 -1.023  -0.345 -0.874  -0.345 -0.725  -0.345 -0.576  -0.345 -0.427  -0.345 -0.277  -0.345 -0.128  -0.345 0.021  -0.345 0.170  -0.371 0.302  -0.408 0.201  -0.425 0.053  -0.443 -0.095  -0.459 -0.243  -0.473 -0.391  -0.486 -0.540  -0.500 -0.688  -0.513 -0.837
1c#apb#apb07#app0716/a  0.219 0.638  0.210 0.795  0.201 0.953  0.170 1.107  0.117 1.245  -0.032 1.299  -0.185 1.298  -0.330 1.249  -0.446 1.142  -0.561 1.035  -0.625 0.891  -0.690 0.747  -0.754 0.603  -0.819 0.459  -0.857 0.306  -0.895 0.153  -0.934 -0.000  -0.972 -0.153  -0.979 -0.310  -0.979 -0.468  -0.979 -0.626  -0.893 -0.755  -0.799 -0.881  -0.704 -1.007  -0.570 -1.081  -0.422 -1.136  -0.273 -1.133  -0.123 -1.085  0.026 -1.034  0.137 -0.923  0.249 -0.811  0.360 -0.699  0.445 -0.569  0.516 -0.428  0.586 -0.286  0.657 -0.145  0.704 0.005  0.750 0.156  0.797 0.307  0.819 0.461  0.819 0.577  0.819 0.419  0.817 0.261  0.806 0.104  0.794 -0.053  0.782 -0.211  0.771 -0.368  0.760 -0.526  0.750 -0.683  0.739 -0.840
1c#apb#apb07#app0716/i  -0.310 0.231  -0.286 0.224  -0.318 0.118  -0.330 0.007  -0.335 -0.104  -0.341 -0.216  -0.347 -0.327  -0.352 -0.438  -0.350 -0.550  -0.339 -0.661  -0.328 -0.772  -0.305 -0.880  -0.278 -0.989  -0.241 -1.093  -0.194 -1.195  -0.129 -1.283  -0.050 -1.361  0.050 -1.411  0.101 -1.379  0.105 -1.268  0.109 -1.156  0.112 -1.045  0.116 -0.934  0.120 -0.822  0.123 -0.711  0.127 -0.599  0.131 -0.488  0.134 -0.376  0.138 -0.265  0.142 -0.153  0.145 -0.042  0.149 0.070  0.153 0.181  0.157 0.293  0.160 0.404  0.164 0.516  0.168 0.627  0.171 0.738  0.175 0.850  0.179 0.961  0.182 1.073  0.186 1.184  0.190 1.296  0.193 1.407  0.197 1.519  0.201 1.630  0.204 1.742  0.222 1.783  0.119 1.825  0.008 1.838
1c#apb#apb07#app0716/l  0.217 1.640  0.163 1.601  0.116 1.547  0.072 1.491  0.051 1.422  0.031 1.353  0.010 1.284  -0.011 1.215  -0.031 1.146  -0.051 1.077  -0.067 1.007  -0.083 0.937  -0.100 0.867  -0.116 0.797  -0.132 0.727  -0.148 0.657  -0.164 0.587  -0.171 0.516  -0.171 0.444  -0.171 0.372  -0.171 0.300  -0.171 0.228  -0.171 0.156  -0.171 0.084  -0.171 0.012  -0.171 -0.060  -0.169 -0.132  -0.163 -0.203  -0.158 -0.275  -0.152 -0.347  -0.147 -0.418  -0.141 -0.490  -0.136 -0.562  -0.129 -0.633  -0.098 -0.698  -0.067 -0.763  -0.036 -0.828  -0.005 -0.893  0.026 -0.958  0.057 -1.022  0.089 -1.087  0.132 -1.144  0.179 -1.199  0.226 -1.253  0.273 -1.308  0.319 -1.362  0.375 -1.406  0.439 -1.440  0.502 -1.475  0.565 -1.509
1c#apb#apb07#app0716/l  0.111 1.602  0.111 1.643  0.109 1.570  0.095 1.499  0.080 1.427  0.066 1.355  0.050 1.284  0.029 1.213  0.008 1.143  -0.013 1.073  -0.034 1.003  -0.055 0.933  -0.076 0.863  -0.096 0.793  -0.117 0.722  -0.137 0.652  -0.158 0.582  -0.178 0.512  -0.195 0.441  -0.197 0.368  -0.200 0.295  -0.203 0.221  -0.205 0.148  -0.208 0.075  -0.210 0.002  -0.213 -0.071  -0.208 -0.144  -0.203 -0.217  -0.198 -0.290  -0.192 -0.363  -0.187 -0.436  -0.181 -0.509  -0.176 -0.582  -0.148 -0.649  -0.115 -0.714  -0.082 -0.780  -0.049 -0.845  -0.017 -0.911  0.016 -0.976  0.049 -1.041  0.097 -1.095  0.149 -1.147  0.201 -1.199  0.253 -1.251  0.304 -1.302  0.362 -1.344  0.433 -1.362  0.504 -1.379  0.575 -1.397  0.646 -1.415
1c#apb#apb07#app0716/s  0.715 1.084  0.681 1.164  0.642 1.238  0.558 1.263  0.475 1.288  0.393 1.284  0.312 1.253  0.231 1.222  0.151 1.190  0.083 1.135  0.016 1.079  -0.051 1.024  -0.118 0.969  -0.185 0.914  -0.234 0.845  -0.270 0.766  -0.306 0.687  -0.343 0.608  -0.379 0.529  -0.415 0.450  -0.451 0.371  -0.455 0.284  -0.460 0.198  -0.465 0.111  -0.469 0.024  -0.468 -0.062  -0.451 -0.147  -0.434 -0.233  -0.417 -0.318  -0.399 -0.403  -0.377 -0.486  -0.336 -0.562  -0.294 -0.639  -0.250 -0.713  -0.186 -0.771  -0.121 -0.829  -0.057 -0.888  0.019 -0.929  0.098 -0.965  0.177 -1.001  0.259 -1.029  0.342 -1.055  0.425 -1.080  0.503 -1.115  0.558 -1.170  0.503 -1.235  0.427 -1.276  0.350 -1.317  0.274 -1.358  0.197 -1.399
1c#apb#apb07#app0716/a  0.369 0.592  0.323 0.752  0.226 0.901  0.108 1.028  -0.024 1.143  -0.154 1.241  -0.331 1.231  -0.507 1.206  -0.645 1.095  -0.768 0.971  -0.851 0.813  -0.933 0.655  -0.967 0.482  -0.991 0.306  -1.014 0.130  -0.984 -0.043  -0.937 -0.214  -0.889 -0.386  -0.823 -0.550  -0.749 -0.712  -0.673 -0.873  -0.539 -0.989  -0.404 -1.105  -0.234 -1.156  -0.079 -1.072  0.028 -0.942  0.097 -0.778  0.150 -0.609  0.182 -0.434  0.214 -0.260  0.229 -0.083  0.235 0.095  0.240 0.273  0.243 0.451  0.243 0.629  0.235 0.805  0.322 0.747  0.400 0.588  0.473 0.426  0.532 0.258  0.584 0.088  0.636 -0.082  0.702 -0.247  0.769 -0.412  0.837 -0.577  0.900 -0.743  0.963 -0.909  1.026 -1.075  1.086 -1.243  1.145 -1.411
1c#apb#apb07#app0716/r  1.497 1.296  1.373 1.420  1.230 1.520  1.077 1.470  0.922 1.387  0.795 1.272  0.690 1.132  0.585 0.992  0.486 0.847  0.394 0.698  0.301 0.549  0.209 0.400  0.143 0.239  0.088 0.072  0.032 -0.094  -0.023 -0.260  -0.054 -0.433  -0.080 -0.606  -0.106 -0.780  -0.096 -0.953  -0.074 -1.127  -0.046 -1.300  -0.073 -1.251  -0.136 -1.088  -0.182 -0.919  -0.212 -0.747  -0.242 -0.574  -0.272 -0.401  -0.306 -0.229  -0.340 -0.057  -0.375 0.115  -0.410 0.286  -0.454 0.456  -0.498 0.626  -0.542 0.795  -0.591 0.885  -0.574 0.711  -0.539 0.539  -0.494 0.370  -0.450 0.200  -0.406 0.030  -0.377 -0.142  -0.347 -0.315  -0.317 -0.488  -0.287 -0.661  -0.254 -0.833  -0.219 -1.005  -0.183 -1.176  -0.148 -1.348  -0.112 -1.520
1c#apb#apb07#app0716/i  -0.237 0.135  -0.209 0.041  -0.246 -0.064  -0.283 -0.168  -0.301 -0.277  -0.319 -0.386  -0.329 -0.496  -0.334 -0.606  -0.339 -0.716  -0.335 -0.827  -0.324 -0.937  -0.312 -1.046  -0.288 -1.154  -0.262 -1.262  -0.237 -1.369  -0.212 -1.477  -0.193 -1.413  -0.174 -1.304  -0.156 -1.195  -0.138 -1.086  -0.119 -0.977  -0.101 -0.868  -0.082 -0.759  -0.064 -0.650  -0.045 -0.541  -0.027 -0.432  -0.009 -0.323  0.010 -0.214  0.028 -0.105  0.047 0.004  0.065 0.113  0.083 0.221  0.102 0.330  0.120 0.439  0.139 0.548  0.157 0.657  0.176 0.766  0.194 0.875  0.212 0.984  0.231 1.093  0.249 1.202  0.268 1.311  0.286 1.420  0.304 1.529  0.323 1.638  0.401 1.639  0.483 1.565  0.552 1.480  0.604 1.383  0.639 1.278
1c#apb#apb07#app0716/s  0.741 1.138  0.716 1.228  0.635 1.244  0.542 1.244  0.450 1.238  0.358 1.223  0.266 1.208  0.177 1.183  0.092 1.145  0.007 1.108  -0.078 1.071  -0.164 1.033  -0.233 0.971  -0.302 0.908  -0.371 0.846  -0.440 0.784  -0.492 0.711  -0.519 0.622  -0.546 0.533  -0.573 0.444  -0.578 0.353  -0.561 0.262  -0.543 0.171  -0.525 0.079  -0.500 -0.008  -0.441 -0.081  -0.383 -0.153  -0.324 -0.225  -0.266 -0.298  -0.207 -0.370  -0.144 -0.439  -0.080 -0.506  -0.016 -0.573  0.049 -0.640  0.113 -0.707  0.179 -0.773  0.247 -0.836  0.315 -0.900  0.383 -0.964  0.449 -1.029  0.515 -1.095  0.545 -1.175  0.509 -1.240  0.419 -1.261  0.328 -1.274  0.235 -1.263  0.143 -1.251  0.051 -1.239  -0.042 -1.228  -0.134 -1.216
1c#apb#apb07#app0716/u  -0.303 1.104  -0.364 1.247  -0.464 1.363  -0.571 1.269  -0.650 1.132  -0.726 0.993  -0.792 0.850  -0.857 0.706  -0.919 0.561  -0.937 0.404  -0.954 0.248  -0.971 0.091  -0.955 -0.066  -0.936 -0.223  -0.916 -0.379  -0.851 -0.523  -0.787 -0.667  -0.712 -0.805  -0.611 -0.927  -0.501 -1.039  -0.373 -1.125  -0.221 -1.099  -0.114 -0.983  -0.019 -0.859  0.049 -0.717  0.118 -0.574  0.181 -0.430  0.239 -0.283  0.297 -0.136  0.355 0.011  0.407 0.160  0.459 0.309  0.511 0.458  0.561 0.608  0.605 0.760  0.652 0.910  0.719 0.853  0.736 0.697  0.749 0.539  0.751 0.382  0.751 0.224  0.751 0.066  0.757 -0.092  0.766 -0.250  0.775 -0.407  0.798 -0.563  0.831 -0.717  0.864 -0.872  0.896 -1.026  0.929 -1.181
1c#apb#apb07#app0716/n  -1.162 1.061  -1.010 1.070  -0.888 0.971  -0.821 0.829  -0.766 0.679  -0.725 0.524  -0.683 0.370  -0.639 0.216  -0.588 0.065  -0.536 -0.086  -0.488 -0.239  -0.455 -0.395  -0.422 -0.552  -0.391 -0.708  -0.368 -0.867  -0.345 -1.025  -0.368 -1.182  -0.447 -1.231  -0.525 -1.095  -0.525 -0.935  -0.525 -0.776  -0.497 -0.619  -0.455 -0.465  -0.414 -0.311  -0.368 -0.158  -0.309 -0.009  -0.251 0.140  -0.193 0.289  -0.134 0.437  -0.068 0.583  0.000 0.727  0.068 0.872  0.171 0.992  0.289 1.082  0.441 1.031  0.565 0.943  0.656 0.812  0.747 0.681  0.807 0.533  0.865 0.384  0.924 0.235  0.972 0.083  1.019 -0.070  1.066 -0.223  1.097 -0.379  1.113 -0.538  1.130 -0.697  1.145 -0.856  1.145 -1.016  1.145 -1.176
1c#apb#apb07#app0716/i  -0.581 1.348  -0.531 1.399  -0.474 1.418  -0.408 1.392  -0.342 1.365  -0.276 1.339  -0.222 1.299  -0.192 1.235  -0.162 1.170  -0.132 1.106  -0.102 1.041  -0.072 0.977  -0.045 0.912  -0.039 0.841  -0.033 0.770  -0.027 0.699  -0.021 0.628  -0.015 0.557  -0.009 0.486  -0.003 0.415  0.002 0.344  0.009 0.274  0.017 0.203  0.025 0.132  0.033 0.062  0.042 -0.009  0.050 -0.080  0.058 -0.150  0.067 -0.221  0.075 -0.292  0.083 -0.362  0.092 -0.433  0.100 -0.504  0.108 -0.574  0.117 -0.645  0.125 -0.715  0.134 -0.786  0.143 -0.857  0.152 -0.927  0.161 -0.998  0.170 -1.068  0.178 -1.139  0.187 -1.209  0.196 -1.280  0.205 -1.351  0.214 -1.421  0.223 -1.492  0.231 -1.562  0.240 -1.633  0.249 -1.704
1c#apb#apb07#app0716/c  0.212 0.467  0.212 0.579  0.212 0.691  0.199 0.802  0.187 0.913  0.156 1.017  0.081 1.100  -0.015 1.155  -0.118 1.196  -0.229 1.216  -0.333 1.210  -0.427 1.148  -0.520 1.085  -0.579 0.991  -0.636 0.895  -0.693 0.799  -0.728 0.695  -0.740 0.584  -0.752 0.472  -0.764 0.361  -0.761 0.251  -0.737 0.141  -0.713 0.032  -0.689 -0.077  -0.665 -0.187  -0.609 -0.282  -0.546 -0.374  -0.482 -0.466  -0.418 -0.558  -0.354 -0.650  -0.272 -0.726  -0.190 -0.802  -0.108 -0.878  -0.026 -0.955  0.075 -0.997  0.182 -1.032  0.288 -1.066  0.397 -1.070  0.507 -1.051  0.617 -1.032  0.705 -0.962  0.792 -0.892  0.874 -0.817  0.934 -0.722  0.993 -0.627  1.050 -0.531  1.083 -0.424  1.115 -0.317  1.126 -0.209  1.109 -0.098
1c#apb#apb07#app0716/h  -0.836 1.476  -0.935 1.272  -0.967 1.040  -0.969 0.803  -0.977 0.567  -0.980 0.331  -0.980 0.095  -0.963 -0.140  -0.938 -0.375  -0.892 -0.606  -0.830 -0.834  -0.756 -1.058  -0.666 -1.276  -0.544 -1.275  -0.460 -1.054  -0.376 -0.834  -0.293 -0.613  -0.209 -0.392  -0.125 -0.171  -0.041 0.050  0.043 0.271  0.127 0.491  0.210 0.712  0.294 0.933  0.378 1.154  0.462 1.375  0.433 1.382  0.352 1.160  0.299 0.930  0.265 0.697  0.243 0.462  0.252 0.226  0.270 -0.009  0.316 -0.239  0.384 -0.466  0.466 -0.686  0.569 -0.899  0.708 -1.088  0.886 -1.020  0.955 -0.798  0.995 -0.565  1.034 -0.332  1.074 -0.099  1.061 0.079  0.860 -0.045  0.630 -0.090  0.396 -0.123  0.160 -0.132  -0.076 -0.140  -0.312 -0.148
