1c#apb#apb12#app1208/a  0.192 0.419  0.240 0.586  0.262 0.758  0.293 0.928  0.270 1.081  0.097 1.100  -0.076 1.118  -0.249 1.137  -0.422 1.156  -0.595 1.175  -0.704 1.071  -0.787 0.919  -0.834 0.752  -0.876 0.583  -0.913 0.413  -0.943 0.242  -0.973 0.071  -0.974 -0.103  -0.974 -0.277  -0.955 -0.449  -0.924 -0.620  -0.869 -0.785  -0.795 -0.942  -0.680 -1.064  -0.526 -1.144  -0.363 -1.202  -0.221 -1.102  -0.083 -0.997  0.040 -0.874  0.146 -0.738  0.224 -0.583  0.301 -0.427  0.379 -0.272  0.435 -0.109  0.467 0.062  0.496 0.233  0.496 0.407  0.496 0.581  0.471 0.565  0.473 0.391  0.489 0.218  0.524 0.048  0.576 -0.117  0.689 -0.249  0.791 -0.390  0.893 -0.529  1.035 -0.627  1.159 -0.749  1.316 -0.822  1.485 -0.849
1c#apb#apb12#app1208/y  -0.146 0.437  0.004 0.466  0.115 0.559  0.182 0.694  0.195 0.846  0.209 0.974  0.273 0.835  0.344 0.700  0.420 0.567  0.503 0.439  0.576 0.304  0.644 0.167  0.698 0.025  0.738 -0.123  0.769 -0.272  0.782 -0.424  0.778 -0.576  0.749 -0.726  0.697 -0.869  0.634 -1.008  0.534 -1.123  0.429 -1.234  0.304 -1.322  0.174 -1.400  0.023 -1.424  -0.118 -1.394  -0.250 -1.317  -0.339 -1.193  -0.393 -1.052  -0.406 -0.906  -0.341 -0.767  -0.252 -0.644  -0.149 -0.543  -0.177 -0.392  -0.204 -0.242  -0.232 -0.091  -0.259 0.059  -0.287 0.210  -0.314 0.360  -0.342 0.511  -0.369 0.661  -0.432 0.753  -0.572 0.812  -0.705 0.888  -0.820 0.987  -0.862 1.134  -0.834 1.281  -0.764 1.416  -0.648 1.509  -0.558 1.448
1c#apb#apb12#app1208/u  -1.394 0.873  -1.347 0.910  -1.308 0.787  -1.269 0.664  -1.230 0.541  -1.191 0.418  -1.153 0.295  -1.114 0.172  -1.075 0.049  -1.036 -0.074  -0.997 -0.197  -0.958 -0.320  -0.886 -0.423  -0.812 -0.528  -0.719 -0.617  -0.615 -0.691  -0.491 -0.715  -0.370 -0.689  -0.264 -0.616  -0.166 -0.532  -0.069 -0.448  0.029 -0.363  0.096 -0.256  0.148 -0.138  0.205 -0.023  0.245 0.098  0.259 0.226  0.283 0.353  0.305 0.480  0.287 0.607  0.250 0.728  0.233 0.760  0.227 0.633  0.257 0.508  0.297 0.386  0.351 0.269  0.410 0.154  0.474 0.042  0.554 -0.059  0.648 -0.145  0.759 -0.210  0.880 -0.254  0.992 -0.318  1.103 -0.383  1.226 -0.402  1.355 -0.402  1.481 -0.381  1.601 -0.336  1.704 -0.258  1.805 -0.178
1c#apb#apb12#app1208/n  -1.011 -0.254  -0.951 -0.354  -0.891 -0.454  -0.841 -0.557  -0.809 -0.669  -0.774 -0.780  -0.747 -0.886  -0.735 -0.770  -0.721 -0.655  -0.707 -0.539  -0.693 -0.424  -0.678 -0.309  -0.664 -0.193  -0.650 -0.078  -0.636 0.038  -0.621 0.153  -0.607 0.268  -0.593 0.384  -0.579 0.499  -0.565 0.615  -0.550 0.730  -0.536 0.845  -0.522 0.961  -0.501 1.066  -0.391 1.029  -0.283 0.985  -0.177 0.938  -0.078 0.879  0.010 0.803  0.097 0.726  0.185 0.650  0.272 0.573  0.352 0.489  0.424 0.398  0.497 0.307  0.562 0.211  0.623 0.112  0.684 0.013  0.749 -0.083  0.831 -0.165  0.913 -0.248  0.995 -0.330  1.077 -0.412  1.121 -0.520  1.192 -0.610  1.270 -0.688  1.338 -0.768  1.378 -0.877  1.440 -0.975  1.501 -1.074
1c#apb#apb12#app1208/e  -0.882 -0.230  -0.754 -0.298  -0.603 -0.298  -0.453 -0.287  -0.303 -0.270  -0.154 -0.243  -0.027 -0.174  0.080 -0.067  0.140 0.069  0.189 0.211  0.238 0.354  0.288 0.497  0.337 0.640  0.386 0.782  0.436 0.925  0.485 1.068  0.533 1.211  0.458 1.342  0.324 1.386  0.174 1.378  0.034 1.329  -0.095 1.252  -0.208 1.152  -0.310 1.041  -0.396 0.918  -0.469 0.787  -0.521 0.645  -0.570 0.502  -0.618 0.359  -0.639 0.210  -0.650 0.059  -0.647 -0.091  -0.635 -0.242  -0.599 -0.387  -0.547 -0.529  -0.482 -0.665  -0.409 -0.797  -0.309 -0.909  -0.196 -1.007  -0.061 -1.074  0.084 -1.114  0.231 -1.147  0.382 -1.161  0.530 -1.146  0.677 -1.112  0.824 -1.075  0.970 -1.036  1.113 -0.990  1.246 -0.918  1.379 -0.847
1c#apb#apb12#app1208/p  -0.398 0.681  -0.336 0.530  -0.328 0.350  -0.305 0.170  -0.282 -0.010  -0.258 -0.190  -0.235 -0.369  -0.212 -0.549  -0.189 -0.729  -0.166 -0.908  -0.143 -1.088  -0.119 -1.267  -0.087 -1.444  -0.087 -1.626  -0.087 -1.715  -0.131 -1.547  -0.181 -1.373  -0.233 -1.199  -0.286 -1.026  -0.326 -0.850  -0.350 -0.670  -0.389 -0.494  -0.432 -0.318  -0.456 -0.139  -0.476 0.041  -0.504 0.220  -0.533 0.399  -0.543 0.579  -0.543 0.761  -0.523 0.941  -0.469 1.112  -0.350 1.243  -0.183 1.302  -0.002 1.302  0.179 1.302  0.350 1.240  0.523 1.188  0.684 1.115  0.818 0.993  0.932 0.853  0.997 0.687  1.022 0.511  0.989 0.333  0.928 0.162  0.835 0.010  0.706 -0.112  0.538 -0.173  0.361 -0.175  0.199 -0.094  0.078 0.039
1c#apb#apb12#app1208/r  -0.679 0.448  -0.616 0.309  -0.556 0.168  -0.512 0.022  -0.474 -0.127  -0.442 -0.277  -0.413 -0.427  -0.388 -0.578  -0.376 -0.730  -0.376 -0.883  -0.468 -0.814  -0.576 -0.705  -0.685 -0.597  -0.761 -0.468  -0.818 -0.326  -0.868 -0.182  -0.882 -0.029  -0.895 0.123  -0.908 0.276  -0.887 0.425  -0.847 0.573  -0.789 0.714  -0.742 0.860  -0.665 0.989  -0.543 1.055  -0.390 1.055  -0.239 1.039  -0.096 0.985  0.056 0.966  0.174 0.879  0.292 0.781  0.397 0.677  0.452 0.535  0.482 0.385  0.476 0.233  0.455 0.082  0.398 -0.059  0.295 -0.165  0.346 -0.288  0.478 -0.364  0.615 -0.433  0.758 -0.488  0.899 -0.547  1.040 -0.605  1.191 -0.633  1.338 -0.674  1.477 -0.736  1.629 -0.742  1.754 -0.822  1.889 -0.882
1c#apb#apb12#app1208/i  -0.017 0.008  0.000 -0.092  0.017 -0.193  0.036 -0.293  0.056 -0.393  0.077 -0.492  0.098 -0.592  0.119 -0.691  0.169 -0.779  0.224 -0.865  0.279 -0.951  0.333 -1.037  0.388 -1.123  0.443 -1.209  0.497 -1.295  0.529 -1.335  0.493 -1.239  0.458 -1.144  0.422 -1.049  0.386 -0.953  0.351 -0.858  0.315 -0.763  0.279 -0.667  0.244 -0.572  0.208 -0.477  0.172 -0.381  0.137 -0.286  0.101 -0.191  0.065 -0.095  0.030 0.000  -0.006 0.095  -0.042 0.191  -0.077 0.286  -0.113 0.381  -0.149 0.477  -0.185 0.572  -0.220 0.667  -0.256 0.763  -0.292 0.858  -0.327 0.954  -0.363 1.049  -0.399 1.144  -0.434 1.240  -0.470 1.335  -0.506 1.430  -0.541 1.526  -0.577 1.621  -0.613 1.716  -0.648 1.812  -0.690 1.890
1c#apb#apb12#app1208/l  -1.016 1.423  -0.969 1.361  -0.934 1.292  -0.891 1.228  -0.848 1.164  -0.805 1.099  -0.771 1.030  -0.736 0.961  -0.702 0.892  -0.674 0.820  -0.648 0.747  -0.622 0.674  -0.597 0.601  -0.562 0.532  -0.527 0.463  -0.492 0.394  -0.457 0.325  -0.422 0.257  -0.387 0.188  -0.352 0.119  -0.317 0.050  -0.283 -0.019  -0.248 -0.088  -0.213 -0.157  -0.178 -0.226  -0.143 -0.295  -0.108 -0.364  -0.073 -0.433  -0.038 -0.502  -0.003 -0.571  0.032 -0.640  0.106 -0.645  0.183 -0.645  0.259 -0.657  0.334 -0.676  0.409 -0.694  0.486 -0.694  0.564 -0.694  0.641 -0.694  0.718 -0.694  0.795 -0.694  0.873 -0.694  0.947 -0.679  1.020 -0.652  1.096 -0.645  1.171 -0.635  1.240 -0.600  1.306 -0.561  1.380 -0.542  1.456 -0.532
1c#apb#apb12#app1208/e  -1.072 -0.135  -0.940 -0.201  -0.794 -0.202  -0.653 -0.166  -0.511 -0.130  -0.365 -0.113  -0.254 -0.019  -0.161 0.091  -0.101 0.225  -0.040 0.359  0.020 0.493  0.081 0.627  0.142 0.760  0.202 0.894  0.263 1.028  0.323 1.162  0.291 1.279  0.161 1.342  0.021 1.322  -0.106 1.253  -0.212 1.154  -0.294 1.032  -0.371 0.907  -0.447 0.781  -0.491 0.641  -0.534 0.501  -0.577 0.360  -0.610 0.218  -0.623 0.072  -0.620 -0.075  -0.609 -0.221  -0.578 -0.364  -0.523 -0.500  -0.457 -0.631  -0.352 -0.732  -0.240 -0.826  -0.122 -0.914  0.013 -0.967  0.155 -1.004  0.301 -1.016  0.448 -1.019  0.594 -1.005  0.739 -0.983  0.883 -0.956  1.021 -0.905  1.152 -0.839  1.280 -0.767  1.406 -0.692  1.526 -0.608  1.638 -0.513
1c#apb#apb12#app1208/c  0.628 0.628  0.628 0.744  0.628 0.859  0.628 0.975  0.616 1.088  0.565 1.191  0.488 1.277  0.407 1.303  0.326 1.221  0.245 1.138  0.164 1.056  0.083 0.974  0.002 0.891  -0.080 0.809  -0.161 0.726  -0.242 0.644  -0.323 0.561  -0.404 0.479  -0.485 0.396  -0.566 0.314  -0.647 0.231  -0.728 0.149  -0.809 0.066  -0.890 -0.016  -0.945 -0.108  -0.935 -0.223  -0.924 -0.338  -0.882 -0.446  -0.839 -0.553  -0.783 -0.654  -0.721 -0.751  -0.659 -0.849  -0.549 -0.884  -0.438 -0.917  -0.327 -0.948  -0.215 -0.978  -0.103 -0.991  0.012 -0.975  0.127 -0.960  0.239 -0.937  0.344 -0.889  0.449 -0.840  0.552 -0.789  0.648 -0.724  0.745 -0.660  0.841 -0.596  0.935 -0.529  1.027 -0.459  1.118 -0.388  1.210 -0.318
