1c#apb#apb15#app1572/a  0.647 0.049  0.638 0.241  0.612 0.428  0.585 0.617  0.524 0.801  0.424 0.959  0.232 0.987  0.049 0.938  -0.131 0.866  -0.304 0.779  -0.471 0.684  -0.621 0.561  -0.771 0.439  -0.902 0.297  -1.022 0.146  -1.145 -0.004  -1.271 -0.151  -1.331 -0.328  -1.344 -0.521  -1.235 -0.629  -1.055 -0.562  -0.866 -0.520  -0.698 -0.428  -0.537 -0.321  -0.376 -0.213  -0.215 -0.106  -0.083 0.034  0.045 0.180  0.153 0.340  0.268 0.496  0.387 0.649  0.496 0.808  0.599 0.972  0.682 0.991  0.706 0.799  0.699 0.607  0.667 0.417  0.630 0.227  0.583 0.039  0.536 -0.149  0.487 -0.336  0.433 -0.522  0.380 -0.708  0.356 -0.900  0.341 -1.093  0.332 -1.286  0.332 -1.480  0.362 -1.670  0.515 -1.762  0.681 -1.662
1c#apb#apb15#app1572/y  -0.381 1.156  -0.427 1.049  -0.449 0.929  -0.496 0.817  -0.548 0.706  -0.577 0.587  -0.580 0.465  -0.580 0.343  -0.461 0.340  -0.339 0.326  -0.217 0.322  -0.094 0.322  0.009 0.386  0.112 0.453  0.221 0.508  0.335 0.552  0.445 0.605  0.549 0.669  0.653 0.734  0.752 0.806  0.850 0.879  0.952 0.938  0.909 0.886  0.850 0.779  0.792 0.672  0.729 0.566  0.665 0.462  0.601 0.357  0.534 0.255  0.464 0.155  0.394 0.054  0.324 -0.046  0.256 -0.148  0.191 -0.252  0.125 -0.355  0.060 -0.459  -0.006 -0.562  -0.074 -0.664  -0.148 -0.761  -0.222 -0.859  -0.296 -0.956  -0.370 -1.054  -0.445 -1.151  -0.520 -1.248  -0.595 -1.344  -0.670 -1.441  -0.744 -1.539  -0.817 -1.637  -0.865 -1.750  -0.852 -1.853
1c#apb#apb15#app1572/u  -1.205 0.877  -1.173 0.906  -1.144 0.760  -1.131 0.612  -1.120 0.464  -1.108 0.316  -1.096 0.168  -1.083 0.020  -1.067 -0.127  -1.049 -0.275  -1.008 -0.418  -0.965 -0.560  -0.855 -0.640  -0.713 -0.681  -0.570 -0.670  -0.431 -0.618  -0.315 -0.529  -0.210 -0.424  -0.098 -0.327  0.019 -0.236  0.128 -0.138  0.199 -0.007  0.269 0.123  0.338 0.255  0.382 0.397  0.426 0.539  0.471 0.680  0.524 0.819  0.578 0.957  0.613 1.098  0.603 1.208  0.675 1.080  0.682 0.933  0.682 0.784  0.661 0.637  0.640 0.490  0.619 0.343  0.611 0.195  0.602 0.046  0.593 -0.102  0.588 -0.250  0.588 -0.399  0.588 -0.547  0.570 -0.695  0.549 -0.842  0.528 -0.989  0.553 -1.134  0.585 -1.279  0.669 -1.400  0.808 -1.419
1c#apb#apb15#app1572/n  -0.650 1.206  -0.654 1.185  -0.743 1.068  -0.743 0.911  -0.743 0.755  -0.743 0.599  -0.743 0.442  -0.743 0.286  -0.743 0.129  -0.743 -0.027  -0.739 -0.183  -0.727 -0.339  -0.715 -0.495  -0.712 -0.652  -0.712 -0.808  -0.687 -0.954  -0.669 -0.939  -0.588 -0.805  -0.560 -0.651  -0.532 -0.497  -0.478 -0.351  -0.416 -0.207  -0.355 -0.064  -0.286 0.077  -0.217 0.217  -0.147 0.357  -0.072 0.494  0.018 0.622  0.108 0.750  0.206 0.872  0.312 0.986  0.434 1.081  0.525 0.954  0.627 0.835  0.692 0.699  0.715 0.545  0.739 0.390  0.753 0.234  0.765 0.078  0.783 -0.077  0.816 -0.230  0.848 -0.383  0.866 -0.537  0.866 -0.694  0.866 -0.850  0.889 -1.005  0.897 -1.160  0.922 -1.313  1.040 -1.316  1.176 -1.239
1c#apb#apb15#app1572/e  -0.695 0.611  -0.673 0.500  -0.705 0.324  -0.717 0.147  -0.675 -0.026  -0.602 -0.189  -0.557 -0.361  -0.506 -0.528  -0.406 -0.676  -0.294 -0.816  -0.117 -0.815  0.058 -0.777  0.230 -0.728  0.375 -0.623  0.504 -0.504  0.584 -0.343  0.664 -0.183  0.744 -0.023  0.824 0.137  0.869 0.310  0.913 0.484  0.921 0.662  0.921 0.841  0.871 1.010  0.803 1.175  0.729 1.338  0.598 1.451  0.427 1.481  0.271 1.394  0.136 1.280  0.017 1.146  -0.091 1.006  -0.162 0.841  -0.232 0.676  -0.308 0.515  -0.388 0.354  -0.468 0.194  -0.499 0.019  -0.522 -0.159  -0.544 -0.336  -0.557 -0.515  -0.571 -0.693  -0.552 -0.871  -0.522 -1.048  -0.428 -1.196  -0.291 -1.286  -0.112 -1.286  0.067 -1.291  0.245 -1.304  0.424 -1.317
1c#apb#apb15#app1572/p  0.042 1.118  -0.000 0.965  0.026 0.808  0.032 0.651  0.011 0.493  -0.010 0.335  -0.033 0.177  -0.057 0.019  -0.080 -0.139  -0.109 -0.296  -0.137 -0.453  -0.166 -0.610  -0.198 -0.766  -0.231 -0.922  -0.264 -1.078  -0.294 -1.235  -0.321 -1.392  -0.358 -1.547  -0.424 -1.685  -0.487 -1.701  -0.513 -1.544  -0.530 -1.385  -0.513 -1.226  -0.496 -1.068  -0.464 -0.912  -0.412 -0.761  -0.361 -0.610  -0.309 -0.460  -0.257 -0.309  -0.206 -0.157  -0.154 -0.006  -0.103 0.145  -0.047 0.294  0.023 0.437  0.092 0.581  0.162 0.724  0.235 0.866  0.314 1.005  0.392 1.144  0.489 1.271  0.607 1.376  0.737 1.357  0.807 1.222  0.817 1.065  0.773 0.913  0.676 0.793  0.537 0.715  0.408 0.621  0.253 0.606  0.102 0.561
1c#apb#apb15#app1572/r  -0.784 1.358  -0.742 1.336  -0.696 1.218  -0.644 1.104  -0.623 0.979  -0.602 0.854  -0.581 0.729  -0.550 0.606  -0.516 0.484  -0.482 0.362  -0.448 0.240  -0.414 0.117  -0.404 -0.008  -0.404 -0.135  -0.404 -0.261  -0.404 -0.388  -0.390 -0.513  -0.350 -0.633  -0.310 -0.753  -0.270 -0.873  -0.246 -0.998  -0.223 -1.122  -0.200 -1.247  -0.136 -1.355  -0.119 -1.441  -0.129 -1.373  -0.057 -1.270  -0.013 -1.155  0.008 -1.030  0.029 -0.905  0.058 -0.783  0.112 -0.668  0.165 -0.553  0.218 -0.437  0.271 -0.323  0.325 -0.208  0.379 -0.093  0.433 0.021  0.487 0.136  0.537 0.252  0.574 0.374  0.611 0.495  0.648 0.616  0.691 0.735  0.738 0.853  0.785 0.970  0.865 1.064  0.964 1.143  1.059 1.224  1.182 1.255
1c#apb#apb15#app1572/i  0.024 -0.166  0.024 -0.175  0.004 -0.272  -0.022 -0.369  -0.051 -0.464  -0.080 -0.560  -0.110 -0.655  -0.139 -0.750  -0.169 -0.846  -0.199 -0.941  -0.228 -1.037  -0.265 -1.129  -0.313 -1.216  -0.343 -1.310  -0.332 -1.408  -0.309 -1.325  -0.286 -1.228  -0.263 -1.130  -0.240 -1.033  -0.217 -0.936  -0.194 -0.839  -0.172 -0.742  -0.149 -0.644  -0.126 -0.547  -0.103 -0.450  -0.080 -0.353  -0.057 -0.255  -0.034 -0.158  -0.011 -0.061  0.012 0.036  0.035 0.133  0.058 0.231  0.080 0.328  0.103 0.425  0.126 0.522  0.149 0.620  0.172 0.717  0.195 0.814  0.218 0.911  0.241 1.008  0.264 1.106  0.287 1.203  0.310 1.300  0.332 1.397  0.355 1.495  0.310 1.572  0.270 1.650  0.301 1.745  0.311 1.843  0.311 1.943
1c#apb#apb15#app1572/l  0.516 1.616  0.492 1.550  0.469 1.485  0.447 1.419  0.439 1.349  0.431 1.280  0.423 1.211  0.415 1.142  0.407 1.073  0.384 1.007  0.361 0.941  0.338 0.875  0.315 0.810  0.292 0.744  0.269 0.678  0.246 0.612  0.224 0.547  0.200 0.481  0.173 0.417  0.146 0.353  0.119 0.289  0.091 0.225  0.064 0.161  0.037 0.096  0.010 0.032  -0.017 -0.032  -0.044 -0.096  -0.071 -0.160  -0.098 -0.224  -0.124 -0.289  -0.150 -0.354  -0.176 -0.418  -0.202 -0.483  -0.228 -0.548  -0.253 -0.612  -0.279 -0.677  -0.305 -0.742  -0.331 -0.806  -0.351 -0.873  -0.370 -0.940  -0.388 -1.007  -0.407 -1.074  -0.425 -1.141  -0.444 -1.209  -0.446 -1.278  -0.446 -1.348  -0.446 -1.417  -0.446 -1.487  -0.444 -1.556  -0.419 -1.621
1c#apb#apb15#app1572/e  -0.978 -0.157  -0.886 -0.093  -0.788 -0.207  -0.669 -0.311  -0.566 -0.432  -0.416 -0.466  -0.262 -0.501  -0.111 -0.533  0.043 -0.491  0.192 -0.438  0.339 -0.377  0.474 -0.294  0.605 -0.203  0.735 -0.113  0.866 -0.022  0.990 0.076  1.090 0.200  1.173 0.331  1.198 0.488  1.201 0.644  1.163 0.798  1.069 0.927  0.971 1.050  0.834 1.132  0.689 1.160  0.534 1.127  0.380 1.086  0.229 1.036  0.081 0.979  -0.052 0.893  -0.186 0.807  -0.307 0.704  -0.425 0.598  -0.534 0.482  -0.642 0.365  -0.734 0.237  -0.800 0.093  -0.856 -0.055  -0.891 -0.210  -0.895 -0.366  -0.862 -0.521  -0.804 -0.667  -0.716 -0.799  -0.617 -0.923  -0.516 -1.046  -0.373 -1.110  -0.224 -1.166  -0.072 -1.209  0.085 -1.237  0.242 -1.264
1c#apb#apb15#app1572/c  1.066 0.385  1.023 0.470  1.013 0.564  1.008 0.658  0.949 0.733  0.891 0.808  0.832 0.884  0.756 0.942  0.679 0.997  0.592 1.025  0.496 1.025  0.401 1.025  0.318 0.986  0.241 0.930  0.164 0.874  0.086 0.817  0.002 0.773  -0.084 0.731  -0.169 0.688  -0.255 0.645  -0.327 0.586  -0.388 0.512  -0.448 0.438  -0.509 0.364  -0.570 0.291  -0.633 0.219  -0.696 0.147  -0.722 0.061  -0.722 -0.035  -0.722 -0.130  -0.699 -0.222  -0.672 -0.314  -0.645 -0.405  -0.610 -0.494  -0.574 -0.583  -0.539 -0.672  -0.492 -0.755  -0.444 -0.838  -0.396 -0.920  -0.348 -1.003  -0.272 -1.061  -0.197 -1.120  -0.121 -1.179  -0.032 -1.210  0.060 -1.235  0.152 -1.260  0.246 -1.274  0.342 -1.281  0.437 -1.288  0.532 -1.296
