1c#apb#apb22#app2224/h  -0.007 1.853  -0.058 1.698  -0.095 1.541  -0.117 1.379  -0.148 1.220  -0.185 1.062  -0.221 0.903  -0.261 0.745  -0.304 0.588  -0.347 0.431  -0.389 0.275  -0.435 0.118  -0.483 -0.037  -0.532 -0.192  -0.580 -0.348  -0.630 -0.502  -0.681 -0.657  -0.733 -0.811  -0.784 -0.965  -0.836 -1.120  -0.912 -1.191  -0.865 -1.035  -0.791 -0.891  -0.715 -0.747  -0.634 -0.606  -0.550 -0.466  -0.467 -0.327  -0.360 -0.205  -0.248 -0.086  -0.135 0.030  -0.014 0.139  0.108 0.247  0.231 0.353  0.364 0.447  0.497 0.541  0.646 0.600  0.802 0.645  0.941 0.565  1.000 0.421  1.042 0.263  1.016 0.103  0.988 -0.057  0.955 -0.216  0.896 -0.367  0.836 -0.519  0.775 -0.669  0.709 -0.818  0.642 -0.966  0.572 -1.113  0.499 -1.258
1c#apb#apb22#app2224/o  0.054 0.979  -0.057 0.937  -0.169 0.896  -0.261 0.825  -0.339 0.734  -0.416 0.643  -0.493 0.552  -0.570 0.461  -0.640 0.364  -0.708 0.266  -0.776 0.167  -0.843 0.069  -0.911 -0.030  -0.968 -0.132  -0.985 -0.251  -1.002 -0.369  -1.019 -0.487  -1.022 -0.603  -0.969 -0.710  -0.915 -0.817  -0.861 -0.923  -0.742 -0.932  -0.623 -0.941  -0.504 -0.950  -0.388 -0.940  -0.282 -0.887  -0.175 -0.833  -0.068 -0.780  0.039 -0.726  0.146 -0.673  0.253 -0.620  0.338 -0.537  0.423 -0.452  0.507 -0.368  0.592 -0.283  0.676 -0.199  0.761 -0.114  0.843 -0.028  0.905 0.074  0.968 0.176  1.031 0.277  1.093 0.379  1.116 0.494  1.126 0.613  1.137 0.732  1.104 0.842  1.044 0.945  0.965 1.023  0.850 1.052  0.734 1.081
1c#apb#apb22#app2224/r  -0.087 0.904  -0.232 0.780  -0.354 0.634  -0.471 0.484  -0.583 0.329  -0.690 0.171  -0.798 0.014  -0.897 -0.149  -0.994 -0.313  -1.081 -0.483  -1.148 -0.661  -1.200 -0.842  -1.077 -0.844  -0.942 -0.709  -0.823 -0.561  -0.713 -0.405  -0.603 -0.249  -0.501 -0.088  -0.398 0.073  -0.296 0.234  -0.174 0.380  -0.047 0.523  0.080 0.665  0.220 0.794  0.364 0.919  0.509 1.043  0.661 1.157  0.824 1.250  0.980 1.232  1.026 1.053  1.009 0.865  0.934 0.690  0.841 0.526  0.712 0.386  0.581 0.248  0.439 0.120  0.287 0.006  0.123 -0.091  -0.060 -0.143  -0.127 -0.145  -0.037 -0.309  0.043 -0.482  0.139 -0.647  0.243 -0.807  0.351 -0.963  0.485 -1.098  0.629 -1.222  0.783 -1.333  0.952 -1.422  1.121 -1.511
1c#apb#apb22#app2224/t  0.653 1.734  0.700 1.702  0.708 1.564  0.717 1.427  0.684 1.294  0.644 1.163  0.603 1.031  0.563 0.899  0.522 0.767  0.482 0.636  0.441 0.504  0.400 0.373  0.358 0.241  0.315 0.111  0.271 -0.020  0.228 -0.151  0.184 -0.282  0.142 -0.413  0.106 -0.546  0.069 -0.678  0.033 -0.811  -0.004 -0.944  -0.045 -1.075  -0.091 -1.205  -0.136 -1.335  -0.183 -1.465  -0.237 -1.592  -0.267 -1.469  -0.295 -1.335  -0.323 -1.200  -0.351 -1.065  -0.379 -0.930  -0.407 -0.795  -0.435 -0.660  -0.463 -0.525  -0.492 -0.390  -0.520 -0.256  -0.548 -0.121  -0.576 0.014  -0.604 0.149  -0.632 0.284  -0.660 0.419  -0.616 0.510  -0.483 0.546  -0.350 0.583  -0.216 0.614  -0.081 0.638  0.055 0.662  0.191 0.687  0.326 0.711
1c#apb#apb22#app2224/o  -0.569 0.817  -0.619 0.733  -0.669 0.650  -0.719 0.567  -0.769 0.484  -0.818 0.399  -0.866 0.315  -0.914 0.231  -0.962 0.146  -1.010 0.062  -1.049 -0.025  -1.059 -0.122  -1.070 -0.218  -1.075 -0.314  -1.025 -0.397  -0.976 -0.480  -0.926 -0.563  -0.876 -0.647  -0.778 -0.647  -0.681 -0.647  -0.584 -0.647  -0.487 -0.647  -0.390 -0.647  -0.295 -0.633  -0.204 -0.600  -0.113 -0.566  -0.022 -0.533  0.069 -0.499  0.160 -0.466  0.251 -0.432  0.337 -0.390  0.411 -0.327  0.485 -0.264  0.559 -0.201  0.633 -0.138  0.707 -0.075  0.781 -0.012  0.855 0.050  0.929 0.113  1.001 0.178  1.057 0.258  1.112 0.338  1.167 0.417  1.222 0.497  1.278 0.577  1.302 0.666  1.302 0.764  1.302 0.861  1.302 0.958  1.302 1.055
1c#apb#apb22#app2224/n  -0.691 0.676  -0.691 0.550  -0.725 0.429  -0.763 0.309  -0.797 0.188  -0.847 0.072  -0.903 -0.040  -0.961 -0.152  -1.041 -0.249  -1.121 -0.347  -1.201 -0.444  -1.237 -0.562  -1.255 -0.613  -1.177 -0.515  -1.077 -0.437  -0.978 -0.360  -0.880 -0.280  -0.785 -0.198  -0.689 -0.116  -0.593 -0.034  -0.498 0.049  -0.406 0.134  -0.313 0.220  -0.221 0.306  -0.129 0.392  -0.021 0.455  0.092 0.511  0.204 0.568  0.317 0.624  0.437 0.655  0.563 0.670  0.688 0.685  0.813 0.700  0.925 0.661  1.030 0.591  1.123 0.515  1.130 0.389  1.136 0.263  1.143 0.137  1.150 0.011  1.122 -0.110  1.081 -0.229  1.039 -0.348  0.998 -0.467  0.956 -0.586  0.909 -0.702  0.860 -0.819  0.811 -0.935  0.762 -1.051  0.713 -1.167
1c#apb#apb22#app2224/i  -0.155 -0.070  -0.183 -0.166  -0.200 -0.265  -0.202 -0.364  -0.202 -0.465  -0.202 -0.565  -0.212 -0.664  -0.228 -0.763  -0.245 -0.862  -0.261 -0.960  -0.275 -1.060  -0.283 -1.159  -0.291 -1.259  -0.275 -1.356  -0.245 -1.423  -0.225 -1.325  -0.205 -1.227  -0.185 -1.129  -0.164 -1.031  -0.144 -0.933  -0.124 -0.834  -0.104 -0.736  -0.084 -0.638  -0.063 -0.540  -0.043 -0.442  -0.023 -0.344  -0.003 -0.246  0.017 -0.148  0.037 -0.050  0.058 0.048  0.078 0.146  0.098 0.245  0.118 0.343  0.138 0.441  0.159 0.539  0.179 0.637  0.199 0.735  0.219 0.833  0.239 0.931  0.260 1.029  0.280 1.127  0.300 1.225  0.320 1.324  0.340 1.422  0.361 1.520  0.381 1.618  0.400 1.715  0.300 1.715  0.200 1.715  0.146 1.715
1c#apb#apb22#app2224/l  0.493 1.596  0.494 1.553  0.463 1.491  0.438 1.426  0.418 1.360  0.398 1.293  0.378 1.227  0.358 1.161  0.338 1.094  0.319 1.028  0.300 0.961  0.281 0.894  0.262 0.827  0.244 0.760  0.225 0.693  0.206 0.627  0.188 0.560  0.169 0.493  0.148 0.427  0.127 0.361  0.106 0.295  0.084 0.229  0.063 0.163  0.042 0.096  0.021 0.030  -0.001 -0.036  -0.022 -0.102  -0.043 -0.168  -0.063 -0.234  -0.084 -0.300  -0.104 -0.367  -0.125 -0.433  -0.146 -0.499  -0.166 -0.566  -0.187 -0.632  -0.207 -0.698  -0.228 -0.764  -0.253 -0.829  -0.279 -0.894  -0.304 -0.958  -0.329 -1.023  -0.354 -1.087  -0.380 -1.152  -0.405 -1.217  -0.429 -1.282  -0.450 -1.348  -0.470 -1.414  -0.491 -1.481  -0.512 -1.547  -0.533 -1.613
1c#apb#apb22#app2224/k  0.212 1.802  0.174 1.713  0.122 1.525  0.071 1.337  0.015 1.150  -0.056 0.969  -0.128 0.788  -0.197 0.606  -0.256 0.420  -0.315 0.234  -0.374 0.048  -0.433 -0.138  -0.493 -0.323  -0.554 -0.508  -0.614 -0.694  -0.676 -0.879  -0.737 -1.064  -0.792 -1.251  -0.841 -1.439  -0.849 -1.519  -0.752 -1.350  -0.654 -1.181  -0.557 -1.012  -0.460 -0.843  -0.362 -0.674  -0.265 -0.505  -0.168 -0.336  -0.071 -0.167  0.027 0.002  0.141 0.158  0.275 0.299  0.413 0.436  0.566 0.558  0.718 0.680  0.865 0.808  1.018 0.927  1.097 0.951  0.972 0.802  0.847 0.653  0.721 0.503  0.596 0.354  0.471 0.204  0.346 0.055  0.221 -0.095  0.096 -0.244  0.007 -0.408  -0.004 -0.603  0.073 -0.778  0.198 -0.923  0.346 -1.050
1c#apb#apb22#app2224/i  -0.163 0.056  -0.193 -0.040  -0.224 -0.136  -0.255 -0.231  -0.286 -0.327  -0.316 -0.423  -0.350 -0.518  -0.400 -0.605  -0.450 -0.692  -0.500 -0.780  -0.549 -0.867  -0.591 -0.958  -0.614 -1.056  -0.636 -1.154  -0.615 -1.247  -0.570 -1.281  -0.526 -1.191  -0.482 -1.100  -0.438 -1.010  -0.394 -0.919  -0.350 -0.829  -0.306 -0.738  -0.262 -0.648  -0.218 -0.557  -0.174 -0.467  -0.130 -0.376  -0.086 -0.286  -0.042 -0.195  0.002 -0.105  0.046 -0.014  0.090 0.076  0.134 0.166  0.178 0.257  0.222 0.347  0.266 0.438  0.310 0.528  0.354 0.619  0.398 0.709  0.442 0.800  0.486 0.890  0.530 0.981  0.574 1.071  0.618 1.162  0.662 1.252  0.706 1.343  0.750 1.433  0.794 1.523  0.838 1.614  0.878 1.702  0.841 1.782
1c#apb#apb22#app2224/n  -0.308 1.115  -0.376 0.979  -0.440 0.842  -0.504 0.704  -0.565 0.566  -0.624 0.426  -0.682 0.286  -0.741 0.147  -0.797 0.006  -0.854 -0.135  -0.910 -0.275  -0.961 -0.418  -1.006 -0.563  -1.051 -0.707  -1.092 -0.853  -1.132 -0.999  -1.082 -1.069  -0.975 -0.962  -0.862 -0.862  -0.747 -0.763  -0.633 -0.664  -0.529 -0.554  -0.432 -0.437  -0.336 -0.320  -0.239 -0.204  -0.143 -0.087  -0.036 0.020  0.076 0.122  0.189 0.224  0.301 0.325  0.414 0.427  0.526 0.528  0.639 0.630  0.751 0.731  0.864 0.833  0.989 0.915  1.112 0.937  1.165 0.795  1.164 0.647  1.148 0.496  1.131 0.345  1.078 0.205  1.013 0.068  0.948 -0.069  0.886 -0.207  0.831 -0.348  0.776 -0.489  0.722 -0.631  0.685 -0.778  0.648 -0.925
