1c#apb#apb32#app3256/a  0.129 0.173  0.237 0.245  0.289 0.399  0.262 0.565  0.268 0.729  0.354 0.862  0.330 1.007  0.162 0.997  -0.004 0.969  -0.170 0.938  -0.320 0.862  -0.471 0.787  -0.622 0.712  -0.752 0.607  -0.871 0.488  -0.991 0.368  -1.109 0.248  -1.222 0.123  -1.335 -0.003  -1.388 -0.154  -1.405 -0.322  -1.320 -0.449  -1.192 -0.559  -1.033 -0.615  -0.873 -0.668  -0.709 -0.685  -0.541 -0.673  -0.373 -0.657  -0.214 -0.600  -0.055 -0.543  0.097 -0.475  0.230 -0.372  0.358 -0.264  0.421 -0.107  0.482 0.050  0.482 0.218  0.482 0.387  0.418 0.472  0.443 0.309  0.512 0.155  0.606 0.018  0.725 -0.102  0.836 -0.227  0.933 -0.366  1.030 -0.503  1.150 -0.623  1.269 -0.742  1.388 -0.861  1.472 -1.006  1.604 -1.109
1c#apb#apb32#app3256/s  0.225 1.110  0.213 1.225  0.253 1.309  0.297 1.349  0.293 1.464  0.249 1.397  0.164 1.324  0.053 1.280  -0.060 1.242  -0.169 1.196  -0.259 1.118  -0.350 1.041  -0.437 0.959  -0.522 0.875  -0.576 0.768  -0.626 0.661  -0.626 0.541  -0.626 0.422  -0.582 0.323  -0.491 0.245  -0.400 0.168  -0.320 0.079  -0.241 -0.011  -0.163 -0.100  -0.060 -0.160  0.046 -0.213  0.153 -0.267  0.260 -0.320  0.350 -0.399  0.440 -0.478  0.530 -0.556  0.608 -0.647  0.685 -0.738  0.749 -0.836  0.794 -0.947  0.816 -1.034  0.701 -1.052  0.594 -1.102  0.475 -1.084  0.357 -1.065  0.239 -1.047  0.122 -1.025  0.007 -0.992  -0.107 -0.959  -0.222 -0.926  -0.337 -0.893  -0.452 -0.861  -0.567 -0.828  -0.682 -0.795  -0.797 -0.762
1c#apb#apb32#app3256/t  0.208 1.443  0.086 1.563  0.005 1.438  -0.021 1.266  -0.042 1.095  -0.059 0.922  -0.073 0.750  -0.066 0.577  -0.058 0.404  -0.045 0.232  -0.013 0.062  0.020 -0.108  0.053 -0.278  0.101 -0.444  0.152 -0.610  0.202 -0.775  0.230 -0.946  0.258 -1.116  0.317 -1.279  0.352 -1.447  0.407 -1.606  0.434 -1.520  0.317 -1.392  0.201 -1.263  0.085 -1.135  -0.032 -1.007  -0.148 -0.879  -0.264 -0.751  -0.381 -0.623  -0.497 -0.494  -0.613 -0.366  -0.730 -0.238  -0.846 -0.110  -0.962 0.018  -1.070 0.146  -0.986 0.298  -0.846 0.388  -0.685 0.450  -0.521 0.505  -0.356 0.556  -0.185 0.584  -0.014 0.613  0.157 0.640  0.330 0.647  0.503 0.654  0.676 0.660  0.848 0.651  1.021 0.641  1.191 0.610  1.360 0.574
1c#apb#apb32#app3256/e  -0.313 -0.414  -0.470 -0.389  -0.594 -0.285  -0.723 -0.179  -0.790 -0.097  -0.650 -0.080  -0.481 -0.067  -0.311 -0.086  -0.142 -0.091  0.028 -0.076  0.198 -0.059  0.365 -0.025  0.533 0.008  0.700 0.042  0.871 0.043  1.041 0.043  1.200 0.086  1.344 0.178  1.445 0.298  1.412 0.461  1.333 0.611  1.191 0.705  1.038 0.779  0.878 0.838  0.716 0.887  0.545 0.887  0.375 0.887  0.204 0.887  0.034 0.878  -0.135 0.856  -0.300 0.813  -0.464 0.764  -0.610 0.682  -0.747 0.579  -0.849 0.448  -0.925 0.295  -0.958 0.130  -0.975 -0.040  -0.956 -0.207  -0.919 -0.374  -0.843 -0.525  -0.756 -0.672  -0.656 -0.809  -0.535 -0.929  -0.412 -1.047  -0.282 -1.158  -0.145 -1.258  0.004 -1.343  0.161 -1.409  0.320 -1.469
1c#apb#apb32#app3256/r  -0.749 1.009  -0.822 1.090  -0.901 1.138  -0.911 1.039  -0.911 0.929  -0.904 0.820  -0.891 0.712  -0.878 0.603  -0.865 0.495  -0.852 0.386  -0.825 0.282  -0.781 0.182  -0.737 0.082  -0.693 -0.019  -0.649 -0.119  -0.602 -0.217  -0.549 -0.312  -0.495 -0.408  -0.442 -0.503  -0.388 -0.598  -0.334 -0.693  -0.285 -0.791  -0.236 -0.889  -0.187 -0.986  -0.138 -1.084  -0.103 -1.126  -0.015 -1.088  0.046 -0.997  0.104 -0.905  0.158 -0.809  0.211 -0.714  0.265 -0.619  0.324 -0.527  0.383 -0.435  0.442 -0.343  0.501 -0.251  0.561 -0.160  0.624 -0.070  0.686 0.020  0.748 0.110  0.810 0.199  0.869 0.291  0.927 0.384  0.984 0.477  1.041 0.571  1.102 0.659  1.197 0.714  1.292 0.768  1.386 0.824  1.480 0.880
1c#apb#apb32#app3256/n  -1.161 0.654  -1.074 0.716  -1.063 0.835  -0.964 0.910  -0.904 0.876  -0.834 0.773  -0.811 0.655  -0.811 0.530  -0.804 0.405  -0.783 0.282  -0.762 0.158  -0.753 0.034  -0.753 -0.092  -0.753 -0.217  -0.724 -0.338  -0.684 -0.457  -0.652 -0.578  -0.626 -0.700  -0.594 -0.793  -0.532 -0.685  -0.481 -0.571  -0.447 -0.450  -0.404 -0.333  -0.355 -0.218  -0.305 -0.102  -0.256 0.013  -0.197 0.123  -0.137 0.234  -0.078 0.344  0.005 0.434  0.105 0.509  0.211 0.567  0.337 0.567  0.454 0.525  0.564 0.471  0.617 0.357  0.670 0.244  0.722 0.130  0.792 0.027  0.869 -0.073  0.945 -0.172  1.021 -0.271  1.113 -0.357  1.205 -0.441  1.298 -0.526  1.386 -0.614  1.469 -0.709  1.551 -0.803  1.640 -0.892  1.729 -0.981
1c#apb#apb32#app3256/o  0.484 0.297  0.380 0.387  0.273 0.472  0.138 0.499  0.004 0.533  -0.131 0.563  -0.267 0.586  -0.405 0.586  -0.542 0.586  -0.663 0.541  -0.766 0.449  -0.869 0.358  -0.976 0.270  -1.083 0.183  -1.189 0.096  -1.279 -0.009  -1.363 -0.116  -1.347 -0.253  -1.317 -0.381  -1.209 -0.467  -1.101 -0.554  -0.981 -0.615  -0.848 -0.650  -0.715 -0.685  -0.581 -0.720  -0.447 -0.736  -0.310 -0.720  -0.173 -0.703  -0.036 -0.687  0.101 -0.670  0.237 -0.652  0.370 -0.614  0.503 -0.576  0.635 -0.538  0.768 -0.500  0.892 -0.444  1.008 -0.369  1.125 -0.295  1.193 -0.180  1.249 -0.054  1.244 0.079  1.217 0.214  1.161 0.338  1.087 0.454  1.012 0.570  0.934 0.682  0.825 0.767  0.716 0.851  0.589 0.899  0.455 0.932
1c#apb#apb32#app3256/w  -1.548 0.601  -1.541 0.596  -1.490 0.485  -1.418 0.384  -1.348 0.280  -1.280 0.176  -1.216 0.069  -1.152 -0.037  -1.089 -0.145  -1.026 -0.252  -0.960 -0.358  -0.891 -0.461  -0.809 -0.554  -0.720 -0.642  -0.616 -0.690  -0.519 -0.623  -0.463 -0.512  -0.409 -0.400  -0.385 -0.278  -0.358 -0.156  -0.324 -0.037  -0.289 0.083  -0.237 0.195  -0.177 0.304  -0.067 0.287  0.037 0.220  0.125 0.132  0.213 0.044  0.314 -0.028  0.418 -0.097  0.521 -0.166  0.629 -0.229  0.737 -0.289  0.846 -0.350  0.955 -0.409  1.069 -0.460  1.187 -0.493  1.216 -0.413  1.194 -0.291  1.155 -0.173  1.109 -0.058  1.060 0.057  1.010 0.171  0.960 0.285  0.932 0.405  0.913 0.528  0.902 0.652  0.902 0.777  0.915 0.895  1.012 0.973
1c#apb#apb32#app3256/n  -0.858 0.992  -0.933 0.922  -0.959 0.793  -0.980 0.664  -0.980 0.532  -0.980 0.400  -0.959 0.271  -0.934 0.141  -0.910 0.012  -0.885 -0.117  -0.850 -0.244  -0.815 -0.371  -0.762 -0.490  -0.689 -0.599  -0.616 -0.709  -0.569 -0.832  -0.500 -0.779  -0.481 -0.650  -0.466 -0.519  -0.437 -0.391  -0.405 -0.263  -0.373 -0.136  -0.343 -0.007  -0.313 0.121  -0.283 0.249  -0.253 0.377  -0.192 0.494  -0.130 0.610  -0.067 0.725  0.027 0.807  0.148 0.859  0.256 0.809  0.346 0.714  0.427 0.610  0.508 0.506  0.573 0.392  0.639 0.278  0.704 0.163  0.770 0.049  0.836 -0.064  0.903 -0.178  0.970 -0.291  1.037 -0.405  1.129 -0.496  1.231 -0.580  1.333 -0.663  1.423 -0.757  1.500 -0.864  1.560 -0.979  1.602 -1.104
1c#apb#apb32#app3256/e  -0.996 -0.391  -0.849 -0.342  -0.702 -0.293  -0.561 -0.231  -0.420 -0.166  -0.280 -0.101  -0.135 -0.045  0.011 0.004  0.158 0.053  0.303 0.107  0.447 0.165  0.585 0.231  0.703 0.332  0.815 0.437  0.879 0.576  0.879 0.731  0.818 0.868  0.729 0.992  0.588 1.055  0.446 1.118  0.294 1.121  0.140 1.109  -0.014 1.097  -0.164 1.060  -0.313 1.017  -0.462 0.975  -0.579 0.889  -0.665 0.760  -0.751 0.631  -0.822 0.497  -0.833 0.343  -0.845 0.189  -0.839 0.038  -0.770 -0.101  -0.700 -0.239  -0.631 -0.378  -0.527 -0.487  -0.404 -0.581  -0.281 -0.675  -0.158 -0.769  -0.035 -0.863  0.098 -0.941  0.235 -1.014  0.372 -1.086  0.509 -1.158  0.650 -1.218  0.800 -1.256  0.950 -1.293  1.094 -1.348  1.233 -1.417
1c#apb#apb32#app3256/e  -0.601 -0.380  -0.661 -0.224  -0.783 -0.110  -0.870 -0.020  -0.787 0.008  -0.612 0.008  -0.437 0.008  -0.263 0.008  -0.088 0.008  0.087 0.008  0.262 0.008  0.437 0.008  0.611 0.008  0.785 0.017  0.956 0.055  1.126 0.093  1.297 0.129  1.471 0.145  1.645 0.164  1.717 0.229  1.575 0.329  1.423 0.414  1.253 0.449  1.080 0.477  0.907 0.504  0.734 0.520  0.559 0.527  0.384 0.534  0.210 0.541  0.035 0.541  -0.139 0.526  -0.313 0.511  -0.487 0.496  -0.660 0.474  -0.832 0.440  -1.003 0.405  -1.146 0.313  -1.258 0.190  -1.258 0.015  -1.168 -0.133  -1.073 -0.280  -0.976 -0.425  -0.856 -0.552  -0.737 -0.680  -0.617 -0.808  -0.486 -0.921  -0.336 -1.010  -0.185 -1.099  -0.035 -1.188  0.116 -1.277
