1c#apb#apb35#app3580/g  0.326 1.022  0.390 1.222  0.412 1.425  0.225 1.379  0.066 1.245  -0.072 1.086  -0.198 0.918  -0.321 0.748  -0.442 0.577  -0.568 0.409  -0.658 0.221  -0.579 0.042  -0.385 0.109  -0.211 0.224  -0.052 0.361  0.090 0.515  0.232 0.670  0.371 0.827  0.525 0.934  0.519 0.733  0.458 0.533  0.405 0.330  0.351 0.127  0.293 -0.075  0.233 -0.276  0.174 -0.478  0.112 -0.678  0.031 -0.872  -0.051 -1.065  -0.134 -1.258  -0.229 -1.445  -0.333 -1.628  -0.453 -1.798  -0.636 -1.830  -0.672 -1.633  -0.641 -1.426  -0.597 -1.221  -0.536 -1.020  -0.466 -0.822  -0.383 -0.629  -0.285 -0.444  -0.178 -0.263  -0.051 -0.096  0.084 0.065  0.229 0.216  0.381 0.360  0.542 0.495  0.714 0.615  0.893 0.724  1.076 0.827
1c#apb#apb35#app3580/u  -1.750 -0.775  -1.617 -0.699  -1.472 -0.611  -1.337 -0.508  -1.220 -0.384  -1.101 -0.261  -0.978 -0.144  -0.854 -0.026  -0.745 0.105  -0.637 0.236  -0.516 0.357  -0.389 0.470  -0.280 0.600  -0.182 0.740  -0.131 0.750  -0.237 0.616  -0.321 0.468  -0.408 0.321  -0.506 0.181  -0.600 0.039  -0.679 -0.111  -0.739 -0.270  -0.778 -0.436  -0.740 -0.595  -0.586 -0.653  -0.419 -0.623  -0.260 -0.564  -0.105 -0.493  0.040 -0.405  0.180 -0.307  0.319 -0.209  0.457 -0.109  0.595 -0.009  0.729 0.096  0.847 0.220  0.965 0.343  1.091 0.457  1.221 0.567  1.334 0.694  1.430 0.780  1.317 0.652  1.201 0.527  1.096 0.393  1.008 0.248  0.935 0.094  0.882 -0.068  0.857 -0.236  0.895 -0.394  1.013 -0.504  1.173 -0.560
1c#apb#apb35#app3580/i  -1.353 -1.121  -1.274 -1.016  -1.180 -0.912  -1.060 -0.832  -0.951 -0.740  -0.844 -0.644  -0.736 -0.549  -0.625 -0.457  -0.514 -0.366  -0.405 -0.271  -0.298 -0.175  -0.191 -0.079  -0.090 0.023  0.012 0.125  0.117 0.212  0.037 0.168  -0.065 0.068  -0.150 -0.049  -0.235 -0.164  -0.329 -0.273  -0.411 -0.389  -0.462 -0.523  -0.424 -0.662  -0.337 -0.776  -0.205 -0.802  -0.061 -0.802  0.078 -0.772  0.216 -0.732  0.355 -0.693  0.494 -0.656  0.633 -0.619  0.686 -0.522  0.670 -0.379  0.654 -0.236  0.638 -0.093  0.623 0.049  0.607 0.192  0.591 0.335  0.576 0.478  0.560 0.621  0.544 0.764  0.528 0.907  0.513 1.050  0.497 1.193  0.481 1.336  0.465 1.479  0.450 1.622  0.434 1.765  0.418 1.908  0.322 2.003
1c#apb#apb35#app3580/l  -1.266 -1.215  -1.174 -1.093  -1.055 -1.005  -0.919 -0.937  -0.798 -0.845  -0.681 -0.747  -0.567 -0.646  -0.455 -0.542  -0.343 -0.439  -0.232 -0.334  -0.127 -0.224  -0.021 -0.114  0.084 -0.004  0.189 0.107  0.293 0.218  0.397 0.330  0.501 0.441  0.604 0.553  0.708 0.665  0.811 0.777  0.887 0.909  0.958 1.044  1.019 1.183  1.048 1.322  0.927 1.371  0.796 1.302  0.673 1.212  0.554 1.116  0.439 1.017  0.324 0.917  0.223 0.803  0.125 0.686  0.026 0.570  -0.069 0.451  -0.163 0.331  -0.257 0.211  -0.346 0.087  -0.429 -0.040  -0.512 -0.168  -0.549 -0.316  -0.586 -0.464  -0.565 -0.610  -0.514 -0.752  -0.407 -0.860  -0.297 -0.965  -0.150 -1.004  -0.002 -1.042  0.147 -1.070  0.299 -1.086  0.450 -1.103
1c#apb#apb35#app3580/a  0.770 0.513  0.853 0.681  0.928 0.850  0.928 1.037  0.802 1.171  0.637 1.194  0.466 1.118  0.294 1.045  0.140 0.940  -0.009 0.826  -0.165 0.725  -0.329 0.635  -0.492 0.542  -0.640 0.429  -0.789 0.315  -0.930 0.192  -1.070 0.068  -1.201 -0.064  -1.310 -0.216  -1.398 -0.379  -1.461 -0.556  -1.427 -0.735  -1.258 -0.814  -1.071 -0.814  -0.888 -0.791  -0.711 -0.729  -0.535 -0.665  -0.363 -0.591  -0.192 -0.516  -0.035 -0.418  0.105 -0.294  0.244 -0.169  0.392 -0.055  0.541 0.059  0.676 0.188  0.803 0.325  0.908 0.469  0.782 0.401  0.644 0.279  0.520 0.139  0.399 -0.004  0.289 -0.155  0.207 -0.321  0.185 -0.503  0.249 -0.679  0.359 -0.829  0.515 -0.924  0.692 -0.972  0.880 -0.972  1.067 -0.972
1c#apb#apb35#app3580/r  -1.678 -0.756  -1.580 -0.667  -1.482 -0.579  -1.385 -0.489  -1.289 -0.399  -1.192 -0.309  -1.095 -0.220  -0.997 -0.131  -0.899 -0.043  -0.801 0.046  -0.702 0.133  -0.601 0.218  -0.500 0.303  -0.399 0.387  -0.298 0.472  -0.198 0.559  -0.103 0.650  -0.007 0.740  0.089 0.831  0.165 0.936  0.221 1.056  0.291 1.163  0.298 1.139  0.205 1.045  0.160 0.926  0.140 0.796  0.153 0.665  0.186 0.538  0.247 0.425  0.347 0.339  0.461 0.272  0.577 0.209  0.707 0.190  0.825 0.143  0.862 0.075  0.766 -0.015  0.670 -0.106  0.588 -0.209  0.507 -0.313  0.432 -0.421  0.366 -0.535  0.324 -0.658  0.373 -0.781  0.435 -0.895  0.520 -0.996  0.606 -1.097  0.725 -1.135  0.856 -1.151  0.987 -1.168  1.118 -1.184
1c#apb#apb35#app3580/t  0.874 1.821  0.867 1.796  0.777 1.639  0.676 1.490  0.571 1.343  0.471 1.192  0.371 1.042  0.277 0.888  0.184 0.734  0.082 0.585  -0.025 0.439  -0.131 0.293  -0.238 0.148  -0.346 0.003  -0.444 -0.148  -0.540 -0.302  -0.614 -0.465  -0.668 -0.637  -0.655 -0.817  -0.560 -0.963  -0.409 -1.046  -0.234 -1.085  -0.054 -1.070  0.126 -1.056  0.302 -1.014  0.476 -0.967  0.649 -0.918  0.813 -0.841  0.976 -0.765  1.140 -0.688  0.986 -0.625  0.816 -0.563  0.647 -0.500  0.477 -0.438  0.308 -0.376  0.138 -0.313  -0.031 -0.251  -0.201 -0.188  -0.370 -0.126  -0.539 -0.064  -0.709 -0.001  -0.878 0.061  -1.048 0.123  -1.127 0.206  -0.963 0.279  -0.789 0.325  -0.612 0.363  -0.442 0.420  -0.274 0.486  -0.106 0.552
1c#apb#apb35#app3580/k  -1.841 -1.279  -1.611 -1.159  -1.399 -1.000  -1.179 -0.852  -0.987 -0.670  -0.802 -0.480  -0.623 -0.284  -0.441 -0.091  -0.257 0.100  -0.073 0.291  0.111 0.482  0.265 0.696  0.398 0.926  0.539 1.149  0.414 1.152  0.267 0.932  0.147 0.695  0.021 0.462  -0.118 0.236  -0.263 0.014  -0.410 -0.207  -0.535 -0.440  -0.667 -0.670  -0.816 -0.888  -0.662 -0.884  -0.470 -0.701  -0.279 -0.518  -0.087 -0.334  0.105 -0.151  0.297 0.032  0.489 0.215  0.681 0.399  0.873 0.582  1.065 0.765  1.257 0.948  1.448 1.131  1.263 0.999  1.036 0.860  0.838 0.685  0.620 0.537  0.392 0.401  0.184 0.237  -0.023 0.071  -0.205 -0.122  -0.272 -0.357  -0.195 -0.605  -0.007 -0.786  0.239 -0.839  0.504 -0.836  0.770 -0.846
1c#apb#apb35#app3580/i  -1.524 -0.793  -1.379 -0.748  -1.249 -0.673  -1.123 -0.588  -0.994 -0.507  -0.867 -0.423  -0.743 -0.336  -0.616 -0.253  -0.483 -0.178  -0.351 -0.103  -0.244 0.004  -0.139 0.114  -0.030 0.220  0.086 0.318  0.191 0.420  0.075 0.326  -0.029 0.215  -0.143 0.114  -0.257 0.013  -0.357 -0.101  -0.458 -0.215  -0.560 -0.327  -0.643 -0.453  -0.674 -0.593  -0.614 -0.728  -0.506 -0.835  -0.354 -0.835  -0.202 -0.835  -0.050 -0.835  0.101 -0.831  0.251 -0.801  0.400 -0.771  0.456 -0.646  0.491 -0.498  0.525 -0.350  0.560 -0.202  0.594 -0.054  0.629 0.094  0.663 0.242  0.698 0.390  0.732 0.538  0.766 0.686  0.801 0.834  0.835 0.982  0.870 1.130  0.904 1.278  0.939 1.426  0.973 1.574  1.008 1.723  1.042 1.871
1c#apb#apb35#app3580/n  -0.084 1.072  -0.061 1.013  -0.116 0.867  -0.186 0.727  -0.258 0.588  -0.347 0.459  -0.436 0.330  -0.527 0.203  -0.634 0.088  -0.741 -0.026  -0.846 -0.142  -0.948 -0.261  -1.050 -0.380  -1.145 -0.504  -1.234 -0.633  -1.326 -0.759  -1.309 -0.836  -1.202 -0.721  -1.096 -0.607  -0.987 -0.494  -0.866 -0.394  -0.745 -0.295  -0.624 -0.195  -0.500 -0.099  -0.376 -0.005  -0.251 0.090  -0.127 0.185  0.007 0.267  0.142 0.346  0.278 0.425  0.413 0.503  0.541 0.594  0.665 0.689  0.796 0.766  0.952 0.766  1.109 0.766  1.109 0.652  1.091 0.497  1.031 0.352  0.972 0.207  0.929 0.056  0.886 -0.094  0.852 -0.247  0.820 -0.401  0.794 -0.555  0.770 -0.710  0.827 -0.849  0.909 -0.983  1.013 -1.099  1.118 -1.215
1c#apb#apb35#app3580/s  -1.723 -0.612  -1.575 -0.511  -1.429 -0.407  -1.284 -0.303  -1.136 -0.202  -0.989 -0.100  -0.847 0.009  -0.706 0.119  -0.561 0.224  -0.412 0.322  -0.262 0.420  -0.116 0.523  0.024 0.635  0.164 0.747  0.297 0.867  0.437 0.975  0.569 0.996  0.508 0.833  0.428 0.673  0.351 0.511  0.266 0.353  0.173 0.201  0.081 0.048  0.018 -0.120  -0.071 -0.272  -0.188 -0.407  -0.330 -0.516  -0.490 -0.578  -0.657 -0.520  -0.788 -0.401  -0.931 -0.299  -0.975 -0.305  -0.819 -0.389  -0.640 -0.382  -0.461 -0.374  -0.284 -0.354  -0.106 -0.330  0.071 -0.306  0.249 -0.283  0.427 -0.264  0.604 -0.245  0.782 -0.225  0.956 -0.185  1.128 -0.134  1.299 -0.083  1.471 -0.032  1.630 0.049  1.790 0.131  1.949 0.212  2.108 0.294
