1c#apb#apb38#app3885/w  -0.492 0.784  -0.536 0.882  -0.633 0.737  -0.727 0.588  -0.819 0.438  -0.911 0.288  -0.999 0.136  -1.078 -0.022  -1.157 -0.179  -1.222 -0.342  -1.272 -0.511  -1.320 -0.680  -1.271 -0.848  -1.097 -0.870  -0.945 -0.781  -0.796 -0.689  -0.672 -0.565  -0.547 -0.440  -0.425 -0.313  -0.315 -0.176  -0.205 -0.039  -0.095 0.099  0.015 0.236  0.126 0.372  0.237 0.509  0.342 0.651  0.372 0.643  0.288 0.489  0.202 0.335  0.116 0.182  0.040 0.025  0.018 -0.150  -0.003 -0.325  0.011 -0.500  0.094 -0.640  0.256 -0.689  0.428 -0.685  0.593 -0.622  0.748 -0.542  0.884 -0.431  1.018 -0.317  1.148 -0.199  1.258 -0.066  1.323 0.097  1.377 0.265  1.400 0.436  1.376 0.610  1.326 0.777  1.254 0.938  1.286 1.101
1c#apb#apb38#app3885/a  0.572 0.863  0.421 0.883  0.261 0.869  0.109 0.824  -0.038 0.760  -0.177 0.682  -0.305 0.585  -0.433 0.487  -0.552 0.381  -0.655 0.258  -0.758 0.135  -0.862 0.012  -0.951 -0.121  -1.035 -0.258  -1.120 -0.394  -1.202 -0.532  -1.273 -0.676  -1.345 -0.820  -1.311 -0.975  -1.179 -0.998  -1.022 -0.968  -0.873 -0.909  -0.724 -0.849  -0.600 -0.747  -0.476 -0.645  -0.352 -0.543  -0.247 -0.422  -0.146 -0.297  -0.045 -0.173  0.056 -0.048  0.157 0.077  0.258 0.201  0.360 0.326  0.461 0.450  0.563 0.575  0.572 0.724  0.469 0.601  0.431 0.447  0.426 0.292  0.485 0.143  0.584 0.019  0.701 -0.090  0.830 -0.186  0.983 -0.177  1.139 -0.140  1.286 -0.075  1.433 -0.011  1.572 0.068  1.708 0.154  1.845 0.239
1c#apb#apb38#app3885/r  -1.527 -0.984  -1.441 -1.049  -1.346 -0.964  -1.240 -0.893  -1.150 -0.804  -1.068 -0.707  -0.985 -0.611  -0.897 -0.518  -0.810 -0.425  -0.722 -0.332  -0.648 -0.229  -0.578 -0.122  -0.509 -0.015  -0.443 0.094  -0.393 0.211  -0.343 0.329  -0.293 0.446  -0.242 0.563  -0.191 0.680  -0.150 0.799  -0.141 0.926  -0.131 1.053  -0.099 1.171  0.015 1.218  0.143 1.218  0.256 1.165  0.332 1.063  0.372 0.945  0.396 0.819  0.416 0.693  0.433 0.567  0.441 0.440  0.449 0.312  0.439 0.185  0.428 0.058  0.403 -0.067  0.386 -0.193  0.370 -0.319  0.342 -0.441  0.412 -0.523  0.506 -0.608  0.616 -0.672  0.720 -0.722  0.732 -0.683  0.852 -0.656  0.971 -0.626  1.078 -0.559  1.176 -0.477  1.274 -0.396  1.390 -0.363
1c#apb#apb38#app3885/z  -1.113 0.323  -1.166 0.358  -1.052 0.501  -0.901 0.605  -0.744 0.702  -0.584 0.794  -0.425 0.886  -0.268 0.983  -0.112 1.080  0.055 1.158  0.226 1.226  0.404 1.269  0.514 1.208  0.422 1.051  0.283 0.932  0.140 0.815  -0.007 0.706  0.049 0.609  0.226 0.570  0.382 0.473  0.513 0.347  0.603 0.188  0.658 0.013  0.648 -0.171  0.607 -0.350  0.554 -0.526  0.491 -0.699  0.403 -0.859  0.296 -1.009  0.183 -1.154  0.056 -1.285  -0.097 -1.387  -0.252 -1.487  -0.432 -1.511  -0.612 -1.478  -0.705 -1.328  -0.697 -1.144  -0.643 -0.972  -0.558 -0.809  -0.445 -0.664  -0.323 -0.527  -0.198 -0.392  -0.059 -0.270  0.079 -0.149  0.220 -0.030  0.371 0.076  0.522 0.181  0.675 0.284  0.830 0.382  0.986 0.481
1c#apb#apb38#app3885/e  -1.598 -1.075  -1.529 -1.005  -1.377 -0.983  -1.225 -0.952  -1.075 -0.916  -0.947 -0.829  -0.818 -0.741  -0.690 -0.653  -0.556 -0.573  -0.423 -0.493  -0.289 -0.413  -0.167 -0.317  -0.046 -0.219  0.074 -0.120  0.194 -0.022  0.305 0.088  0.415 0.198  0.525 0.308  0.617 0.432  0.702 0.563  0.786 0.693  0.824 0.844  0.846 0.994  0.781 1.136  0.685 1.250  0.555 1.334  0.403 1.304  0.250 1.273  0.138 1.168  0.028 1.058  -0.074 0.941  -0.149 0.805  -0.224 0.669  -0.292 0.530  -0.322 0.377  -0.353 0.225  -0.362 0.072  -0.335 -0.081  -0.309 -0.234  -0.260 -0.373  -0.128 -0.456  0.003 -0.538  0.147 -0.595  0.297 -0.637  0.447 -0.679  0.597 -0.714  0.751 -0.693  0.905 -0.672  1.059 -0.652  1.214 -0.631
1c#apb#apb38#app3885/h  -1.071 -0.837  -0.933 -0.932  -0.761 -0.860  -0.637 -0.713  -0.527 -0.553  -0.407 -0.400  -0.291 -0.245  -0.183 -0.083  -0.076 0.078  0.025 0.245  0.126 0.411  0.206 0.587  0.278 0.767  0.341 0.951  0.390 1.139  0.440 1.327  0.472 1.518  0.504 1.710  0.496 1.903  0.454 1.739  0.426 1.547  0.384 1.357  0.334 1.170  0.284 0.982  0.232 0.795  0.180 0.608  0.127 0.421  0.075 0.234  0.020 0.047  -0.034 -0.139  -0.089 -0.325  -0.148 -0.510  -0.220 -0.691  -0.292 -0.871  -0.385 -1.042  -0.498 -1.196  -0.618 -1.228  -0.582 -1.039  -0.502 -0.865  -0.401 -0.699  -0.264 -0.564  -0.116 -0.438  0.032 -0.312  0.213 -0.291  0.299 -0.451  0.314 -0.645  0.345 -0.836  0.493 -0.952  0.680 -0.941  0.863 -0.877
1c#apb#apb38#app3885/o  0.178 0.533  0.143 0.673  -0.020 0.621  -0.178 0.545  -0.337 0.471  -0.472 0.365  -0.588 0.234  -0.704 0.102  -0.801 -0.042  -0.883 -0.197  -0.964 -0.353  -1.027 -0.514  -1.059 -0.687  -1.077 -0.859  -1.040 -1.030  -0.978 -1.188  -0.846 -1.291  -0.670 -1.291  -0.528 -1.208  -0.399 -1.089  -0.273 -0.967  -0.160 -0.833  -0.046 -0.700  0.019 -0.538  0.077 -0.373  0.125 -0.205  0.162 -0.033  0.150 0.136  0.092 0.301  -0.002 0.449  -0.127 0.559  -0.293 0.594  -0.443 0.520  -0.441 0.367  -0.320 0.251  -0.164 0.174  0.007 0.135  0.180 0.112  0.355 0.112  0.530 0.113  0.691 0.183  0.852 0.253  1.011 0.326  1.170 0.400  1.320 0.489  1.459 0.596  1.591 0.711  1.628 0.870  1.593 1.040  1.511 1.164
1c#apb#apb38#app3885/r  -1.227 -0.761  -1.265 -0.874  -1.247 -0.990  -1.163 -0.979  -1.068 -0.913  -0.989 -0.824  -0.914 -0.733  -0.849 -0.633  -0.785 -0.533  -0.720 -0.434  -0.664 -0.329  -0.608 -0.224  -0.553 -0.119  -0.499 -0.013  -0.446 0.093  -0.398 0.201  -0.379 0.318  -0.361 0.435  -0.342 0.553  -0.334 0.671  -0.326 0.790  -0.322 0.908  -0.322 1.027  -0.304 1.128  -0.192 1.097  -0.108 1.013  -0.024 0.929  0.076 0.867  0.181 0.811  0.285 0.754  0.390 0.698  0.494 0.642  0.583 0.564  0.671 0.483  0.758 0.402  0.834 0.311  0.909 0.219  0.980 0.124  1.031 0.024  1.004 -0.092  0.978 -0.208  0.929 -0.316  0.880 -0.424  0.812 -0.522  0.744 -0.619  0.705 -0.731  0.682 -0.846  0.723 -0.950  0.819 -0.997  0.938 -0.997
1c#apb#apb38#app3885/n  -1.579 -0.496  -1.716 -0.591  -1.672 -0.718  -1.540 -0.631  -1.410 -0.527  -1.280 -0.420  -1.151 -0.314  -1.022 -0.206  -0.894 -0.099  -0.766 0.009  -0.638 0.117  -0.508 0.223  -0.377 0.327  -0.246 0.432  -0.115 0.536  0.029 0.619  0.181 0.690  0.335 0.756  0.336 0.614  0.286 0.456  0.218 0.303  0.149 0.151  0.057 0.011  -0.037 -0.128  -0.132 -0.266  -0.219 -0.409  -0.307 -0.552  -0.393 -0.695  -0.480 -0.838  -0.406 -0.773  -0.285 -0.659  -0.183 -0.526  -0.081 -0.393  0.032 -0.270  0.150 -0.151  0.269 -0.033  0.383 0.089  0.498 0.211  0.616 0.329  0.747 0.434  0.878 0.538  1.023 0.621  1.171 0.700  1.323 0.673  1.420 0.545  1.402 0.379  1.401 0.212  1.432 0.047  1.491 -0.105  1.610 -0.223
1c#apb#apb38#app3885/t  0.676 1.290  0.808 1.437  0.777 1.337  0.692 1.159  0.607 0.981  0.513 0.807  0.417 0.635  0.321 0.462  0.222 0.292  0.123 0.121  0.024 -0.050  -0.067 -0.225  -0.158 -0.400  -0.247 -0.576  -0.333 -0.754  -0.416 -0.933  -0.474 -1.121  -0.499 -1.317  -0.355 -1.448  -0.172 -1.397  0.017 -1.342  0.207 -1.289  0.387 -1.210  0.561 -1.116  0.729 -1.013  0.882 -0.889  0.807 -0.850  0.657 -0.721  0.507 -0.593  0.357 -0.465  0.207 -0.336  0.057 -0.208  -0.093 -0.080  -0.243 0.049  -0.393 0.177  -0.543 0.306  -0.693 0.434  -0.843 0.562  -0.993 0.691  -1.143 0.819  -1.142 0.833  -0.962 0.754  -0.776 0.687  -0.587 0.630  -0.395 0.608  -0.199 0.628  -0.002 0.648  0.195 0.656  0.392 0.662  0.589 0.668
1c#apb#apb38#app3885/o  -0.267 0.364  -0.191 0.486  -0.215 0.567  -0.356 0.549  -0.487 0.499  -0.598 0.407  -0.708 0.315  -0.806 0.210  -0.892 0.095  -0.956 -0.034  -1.021 -0.162  -1.051 -0.301  -1.069 -0.444  -1.081 -0.587  -1.053 -0.728  -0.991 -0.851  -0.889 -0.953  -0.756 -1.000  -0.617 -1.038  -0.474 -1.022  -0.361 -0.954  -0.275 -0.838  -0.191 -0.722  -0.126 -0.593  -0.073 -0.461  -0.047 -0.319  -0.033 -0.177  -0.033 -0.033  -0.043 0.110  -0.072 0.252  -0.167 0.346  -0.272 0.426  -0.275 0.306  -0.155 0.230  -0.019 0.200  0.125 0.200  0.267 0.217  0.407 0.252  0.546 0.287  0.688 0.313  0.830 0.336  0.972 0.360  1.114 0.383  1.256 0.405  1.398 0.428  1.537 0.466  1.673 0.512  1.810 0.556  1.950 0.591  2.046 0.551
