1c#app#app06#app0634/y  0.491 1.378  0.491 1.206  0.388 1.137  0.388 0.965  0.388 0.792  0.388 0.620  0.388 0.448  0.388 0.276  0.388 0.104  0.388 -0.068  0.388 -0.241  0.388 -0.413  0.388 -0.585  0.388 -0.757  0.388 -0.929  0.386 -1.101  0.332 -1.264  0.285 -1.429  0.285 -1.601  0.285 -1.773  0.246 -1.693  0.193 -1.529  0.140 -1.366  0.087 -1.202  0.034 -1.038  -0.019 -0.874  -0.071 -0.710  -0.124 -0.546  -0.177 -0.382  -0.230 -0.219  -0.283 -0.055  -0.336 0.109  -0.389 0.273  -0.441 0.437  -0.494 0.601  -0.547 0.765  -0.600 0.928  -0.653 1.092  -0.706 1.256  -0.745 1.334  -0.665 1.195  -0.616 1.043  -0.539 0.903  -0.446 0.769  -0.324 0.648  -0.202 0.526  -0.080 0.404  -0.024 0.255  0.120 0.172  0.285 0.141
1c#app#app06#app0634/o  -0.587 1.225  -0.497 1.225  -0.407 1.225  -0.317 1.225  -0.227 1.225  -0.137 1.225  -0.110 1.163  -0.110 1.073  -0.026 1.066  0.064 1.066  0.154 1.066  0.233 1.041  0.297 0.978  0.361 0.914  0.367 0.827  0.367 0.737  0.367 0.647  0.390 0.566  0.454 0.503  0.517 0.439  0.526 0.353  0.526 0.263  0.526 0.173  0.526 0.083  0.526 -0.007  0.504 -0.092  0.464 -0.172  0.423 -0.253  0.383 -0.333  0.367 -0.420  0.367 -0.510  0.314 -0.578  0.250 -0.641  0.187 -0.705  0.123 -0.768  0.060 -0.832  -0.026 -0.842  -0.114 -0.847  -0.178 -0.911  -0.242 -0.974  -0.305 -1.038  -0.369 -1.101  -0.434 -1.161  -0.524 -1.161  -0.614 -1.161  -0.704 -1.161  -0.794 -1.161  -0.884 -1.161  -0.974 -1.161  -1.064 -1.161
1c#app#app06#app0634/u  -1.366 1.156  -1.366 1.014  -1.366 0.872  -1.287 0.763  -1.208 0.654  -1.198 0.516  -1.097 0.416  -1.051 0.293  -1.008 0.169  -0.908 0.069  -0.894 -0.067  -0.818 -0.178  -0.737 -0.286  -0.729 -0.424  -0.629 -0.525  -0.579 -0.646  -0.523 -0.731  -0.381 -0.731  -0.246 -0.713  -0.146 -0.612  -0.069 -0.496  -0.005 -0.369  0.050 -0.240  0.050 -0.098  0.050 0.044  0.142 0.147  0.207 0.262  0.231 0.394  0.332 0.494  0.364 0.623  0.364 0.765  0.429 0.841  0.521 0.792  0.521 0.650  0.521 0.508  0.525 0.370  0.667 0.370  0.679 0.240  0.760 0.131  0.836 0.021  0.836 -0.121  0.837 -0.262  0.901 -0.389  0.964 -0.516  0.993 -0.651  1.055 -0.731  1.151 -0.777  1.151 -0.919  1.166 -1.046  1.308 -1.046
1c#app#app06#app0634/k  -0.846 1.313  -0.846 1.107  -0.846 0.901  -0.771 0.712  -0.679 0.528  -0.620 0.336  -0.596 0.135  -0.507 -0.050  -0.507 -0.256  -0.420 -0.442  -0.290 -0.598  -0.281 -0.801  -0.238 -0.989  -0.168 -1.166  -0.106 -1.347  -0.063 -1.491  -0.143 -1.300  -0.222 -1.110  -0.301 -0.920  -0.380 -0.730  -0.460 -0.539  -0.539 -0.349  -0.618 -0.159  -0.418 -0.155  -0.345 0.007  -0.229 0.174  -0.137 0.359  -0.045 0.543  0.047 0.727  0.187 0.878  0.315 1.036  0.413 1.216  0.559 1.362  0.541 1.344  0.395 1.198  0.249 1.053  0.103 0.907  0.058 0.720  0.064 0.516  0.171 0.354  0.237 0.164  0.356 -0.001  0.502 -0.147  0.647 -0.293  0.781 -0.449  0.895 -0.620  1.023 -0.781  1.201 -0.847  1.347 -0.993  1.526 -1.059
1c#app#app06#app0634/n  -0.726 1.083  -0.726 0.885  -0.726 0.687  -0.726 0.489  -0.726 0.291  -0.726 0.094  -0.717 -0.095  -0.530 -0.106  -0.530 -0.304  -0.520 -0.498  -0.381 -0.637  -0.241 -0.777  -0.137 -0.932  -0.084 -1.077  0.059 -1.132  0.099 -1.313  0.239 -1.453  0.255 -1.644  0.255 -1.490  0.255 -1.292  0.129 -1.147  0.059 -0.978  0.059 -0.780  0.013 -0.593  -0.075 -0.416  -0.137 -0.233  -0.137 -0.035  -0.137 0.163  -0.182 0.342  -0.322 0.482  -0.334 0.675  -0.334 0.873  -0.334 1.071  -0.202 1.214  -0.137 1.385  -0.030 1.475  0.059 1.366  0.170 1.279  0.255 1.167  0.336 1.002  0.452 0.852  0.477 0.665  0.617 0.525  0.648 0.340  0.758 0.188  0.844 0.026  0.844 -0.172  0.900 -0.347  1.040 -0.487  1.041 -0.684
1c#app#app06#app0634/o  -1.256 0.306  -1.176 0.386  -1.096 0.466  -1.015 0.547  -0.935 0.627  -0.855 0.707  -0.774 0.787  -0.694 0.868  -0.614 0.948  -0.514 0.981  -0.400 0.981  -0.287 0.981  -0.173 0.981  -0.060 0.981  0.054 0.981  0.167 0.981  0.281 0.981  0.395 0.981  0.466 0.913  0.517 0.811  0.568 0.710  0.601 0.604  0.601 0.491  0.601 0.377  0.601 0.264  0.601 0.150  0.601 0.036  0.601 -0.077  0.601 -0.191  0.601 -0.304  0.601 -0.418  0.601 -0.531  0.601 -0.645  0.601 -0.758  0.601 -0.872  0.524 -0.954  0.443 -1.034  0.345 -1.089  0.243 -1.140  0.142 -1.190  0.034 -1.214  -0.080 -1.214  -0.194 -1.214  -0.243 -1.150  -0.249 -1.039  -0.330 -0.959  -0.410 -0.878  -0.412 -0.766  -0.412 -0.652  -0.412 -0.539
1c#app#app06#app0634/w  -1.403 0.949  -1.382 0.789  -1.263 0.669  -1.144 0.550  -1.123 0.390  -1.004 0.271  -0.885 0.152  -0.844 0.000  -0.745 -0.127  -0.704 -0.279  -0.606 -0.407  -0.565 -0.558  -0.565 -0.727  -0.425 -0.756  -0.368 -0.867  -0.285 -0.953  -0.285 -0.891  -0.146 -0.862  -0.146 -0.693  -0.146 -0.525  -0.146 -0.356  -0.146 -0.188  -0.136 -0.029  0.032 -0.029  0.133 -0.096  0.133 -0.265  0.259 -0.308  0.283 -0.458  0.403 -0.577  0.413 -0.741  0.456 -0.867  0.552 -0.939  0.552 -0.905  0.552 -0.737  0.552 -0.568  0.552 -0.400  0.552 -0.231  0.552 -0.062  0.552 0.106  0.552 0.275  0.552 0.443  0.552 0.612  0.631 0.748  0.692 0.891  0.692 1.060  0.692 1.228  0.811 1.347  0.832 1.507  0.951 1.627  0.971 1.787
1c#app#app06#app0634/w  -1.175 0.653  -1.290 0.632  -1.175 0.513  -1.175 0.347  -1.111 0.245  -1.040 0.151  -0.952 0.022  -0.904 -0.124  -0.847 -0.276  -0.772 -0.425  -0.698 -0.573  -0.632 -0.723  -0.598 -0.875  -0.496 -0.999  -0.444 -1.112  -0.361 -1.030  -0.361 -0.864  -0.356 -0.700  -0.239 -0.583  -0.225 -0.423  -0.225 -0.257  -0.225 -0.091  -0.225 0.075  -0.225 0.241  -0.111 0.132  0.006 0.014  0.047 -0.135  0.109 -0.286  0.183 -0.433  0.340 -0.455  0.459 -0.569  0.590 -0.604  0.655 -0.705  0.726 -0.610  0.726 -0.444  0.861 -0.414  0.861 -0.248  0.861 -0.082  0.784 0.051  0.726 0.193  0.726 0.359  0.726 0.525  0.726 0.691  0.726 0.856  0.726 1.022  0.726 1.188  0.837 1.308  0.861 1.464  0.880 1.622  0.997 1.739
1c#app#app06#app0634/h  -0.872 1.950  -0.872 1.814  -0.852 1.686  -0.755 1.590  -0.746 1.457  -0.671 1.344  -0.595 1.230  -0.520 1.117  -0.507 0.985  -0.417 0.886  -0.385 0.763  -0.385 0.626  -0.300 0.525  -0.263 0.404  -0.263 0.268  -0.263 0.132  -0.206 0.009  -0.145 -0.113  -0.141 -0.248  -0.127 -0.378  -0.031 -0.474  -0.020 -0.606  -0.020 -0.742  -0.020 -0.878  -0.020 -0.931  -0.020 -0.794  -0.020 -0.658  -0.020 -0.522  -0.020 -0.386  -0.020 -0.250  -0.020 -0.113  -0.020 0.023  -0.020 0.159  0.030 0.245  0.148 0.200  0.224 0.095  0.254 -0.029  0.346 -0.127  0.361 -0.257  0.457 -0.353  0.467 -0.485  0.564 -0.582  0.660 -0.678  0.740 -0.786  0.801 -0.908  0.833 -1.037  0.833 -1.173  0.926 -1.216  0.955 -1.324  0.955 -1.460
1c#app#app06#app0634/a  -0.856 0.152  -0.712 0.296  -0.568 0.440  -0.424 0.584  -0.261 0.682  -0.058 0.682  0.111 0.597  0.203 0.432  0.248 0.239  0.339 0.057  0.380 -0.137  0.380 -0.341  0.261 -0.496  0.203 -0.675  0.098 -0.835  0.026 -1.009  -0.102 -1.084  -0.150 -1.240  -0.333 -1.260  -0.503 -1.227  -0.564 -1.084  -0.680 -0.996  -0.761 -0.826  -0.856 -0.662  -0.856 -0.459  -0.856 -0.255  -0.856 -0.051  -0.856 0.152  -0.856 0.356  -0.818 0.544  -0.676 0.689  -0.585 0.871  -0.489 1.050  -0.345 1.194  -0.149 1.212  0.055 1.212  0.242 1.172  0.386 1.028  0.530 0.884  0.556 0.691  0.643 0.508  0.735 0.327  0.879 0.183  0.909 -0.008  0.917 -0.209  1.061 -0.353  1.086 -0.546  1.224 -0.692  1.262 -0.880  1.439 -0.907
1c#app#app06#app0634/t  -0.582 1.850  -0.432 1.845  -0.420 1.699  -0.281 1.683  -0.281 1.526  -0.261 1.378  -0.150 1.267  -0.130 1.119  0.004 1.096  0.021 0.957  0.021 0.800  0.127 0.688  0.172 0.550  0.203 0.398  0.253 0.250  0.302 0.101  0.323 -0.052  0.323 -0.208  0.396 -0.335  0.474 -0.459  0.474 -0.615  0.474 -0.772  0.474 -0.929  0.474 -1.085  0.474 -1.242  0.474 -1.398  0.404 -1.419  0.276 -1.328  0.149 -1.237  0.022 -1.146  -0.106 -1.055  -0.233 -0.964  -0.360 -0.873  -0.488 -0.782  -0.623 -0.714  -0.733 -0.669  -0.733 -0.512  -0.693 -0.372  -0.582 -0.262  -0.472 -0.151  -0.432 -0.011  -0.326 0.040  -0.169 0.040  -0.130 0.157  -0.007 0.191  0.149 0.191  0.306 0.191  0.462 0.191  0.619 0.191  0.775 0.191
