1c#app#app07#app0775/v  -0.465 1.242  -0.465 1.108  -0.465 0.975  -0.465 0.842  -0.465 0.709  -0.465 0.576  -0.465 0.442  -0.465 0.309  -0.465 0.176  -0.465 0.043  -0.465 -0.091  -0.465 -0.224  -0.465 -0.357  -0.465 -0.490  -0.465 -0.624  -0.465 -0.757  -0.465 -0.890  -0.465 -1.023  -0.465 -1.157  -0.465 -1.290  -0.457 -1.416  -0.324 -1.416  -0.243 -1.364  -0.243 -1.231  -0.174 -1.126  -0.080 -1.032  0.014 -0.937  0.108 -0.843  0.200 -0.748  0.200 -0.615  0.200 -0.481  0.200 -0.348  0.200 -0.215  0.205 -0.087  0.338 -0.087  0.421 -0.037  0.421 0.097  0.421 0.230  0.421 0.363  0.421 0.496  0.458 0.614  0.552 0.708  0.643 0.804  0.643 0.937  0.665 1.065  0.725 1.185  0.784 1.304  0.844 1.423  0.864 1.551  0.864 1.685
1c#app#app07#app0775/e  -0.645 -0.354  -0.535 -0.244  -0.425 -0.135  -0.269 -0.135  -0.141 -0.069  -0.030 0.042  0.107 0.085  0.232 0.116  0.232 0.271  0.355 0.304  0.452 0.364  0.452 0.519  0.559 0.631  0.669 0.741  0.671 0.896  0.671 1.051  0.645 1.182  0.490 1.182  0.334 1.182  0.178 1.182  0.022 1.182  -0.118 1.116  -0.257 1.047  -0.396 0.977  -0.426 0.840  -0.468 0.701  -0.578 0.591  -0.688 0.481  -0.798 0.371  -0.865 0.243  -0.865 0.087  -0.865 -0.069  -0.865 -0.225  -0.846 -0.373  -0.736 -0.483  -0.626 -0.593  -0.516 -0.703  -0.400 -0.806  -0.261 -0.875  -0.122 -0.945  0.018 -1.012  0.174 -1.012  0.330 -1.012  0.476 -1.036  0.586 -1.146  0.706 -1.231  0.862 -1.231  1.018 -1.231  1.173 -1.231  1.329 -1.231
1c#app#app07#app0775/r  -0.527 -1.664  -0.527 -1.582  -0.527 -1.500  -0.527 -1.418  -0.527 -1.336  -0.527 -1.254  -0.527 -1.172  -0.527 -1.090  -0.527 -1.008  -0.527 -0.926  -0.527 -0.844  -0.527 -0.762  -0.527 -0.680  -0.527 -0.598  -0.527 -0.516  -0.527 -0.434  -0.527 -0.352  -0.516 -0.273  -0.479 -0.199  -0.443 -0.126  -0.406 -0.053  -0.369 0.021  -0.319 0.084  -0.261 0.142  -0.203 0.200  -0.185 0.275  -0.185 0.357  -0.136 0.389  -0.054 0.389  0.016 0.419  0.074 0.477  0.132 0.535  0.157 0.606  0.157 0.688  0.196 0.732  0.278 0.732  0.360 0.732  0.442 0.732  0.517 0.749  0.575 0.807  0.633 0.865  0.699 0.903  0.781 0.903  0.863 0.903  0.945 0.903  1.027 0.903  1.109 0.903  1.184 0.896  1.184 0.814  1.184 0.732
1c#app#app07#app0775/u  -0.754 1.045  -0.754 0.905  -0.784 0.777  -0.883 0.678  -0.982 0.579  -0.992 0.443  -1.021 0.332  -1.161 0.332  -1.229 0.260  -1.229 0.120  -1.229 -0.020  -1.229 -0.160  -1.229 -0.300  -1.187 -0.422  -1.088 -0.521  -0.987 -0.617  -0.847 -0.617  -0.707 -0.617  -0.567 -0.617  -0.453 -0.554  -0.354 -0.455  -0.245 -0.380  -0.105 -0.380  0.012 -0.326  0.111 -0.227  0.216 -0.142  0.356 -0.142  0.433 -0.079  0.433 0.061  0.508 0.170  0.607 0.269  0.670 0.383  0.670 0.523  0.670 0.663  0.670 0.803  0.670 0.672  0.670 0.532  0.670 0.392  0.670 0.251  0.670 0.111  0.758 0.008  0.857 -0.091  0.908 -0.210  0.908 -0.350  1.018 -0.380  1.154 -0.389  1.253 -0.488  1.353 -0.587  1.480 -0.617  1.620 -0.617
1c#app#app07#app0775/n  -1.239 -0.251  -1.149 -0.341  -1.060 -0.430  -0.970 -0.520  -0.897 -0.617  -0.897 -0.744  -1.004 -0.764  -1.068 -0.701  -1.049 -0.593  -0.922 -0.593  -0.897 -0.491  -0.897 -0.364  -0.883 -0.251  -0.756 -0.251  -0.726 -0.154  -0.689 -0.042  -0.599 0.047  -0.509 0.137  -0.419 0.227  -0.329 0.317  -0.240 0.407  -0.213 0.523  -0.181 0.636  -0.091 0.726  -0.001 0.816  0.088 0.906  0.178 0.996  0.268 1.085  0.382 1.118  0.471 1.080  0.471 0.953  0.471 0.826  0.471 0.699  0.471 0.572  0.471 0.445  0.553 0.352  0.642 0.262  0.642 0.135  0.642 0.008  0.670 -0.108  0.760 -0.198  0.813 -0.303  0.819 -0.427  0.909 -0.517  0.998 -0.607  1.088 -0.697  1.187 -0.764  1.314 -0.764  1.408 -0.845  1.497 -0.935
1c#app#app07#app0775/o  0.320 0.671  0.178 0.671  0.036 0.671  -0.077 0.600  -0.180 0.507  -0.322 0.507  -0.451 0.449  -0.578 0.385  -0.695 0.308  -0.796 0.208  -0.896 0.107  -0.997 0.007  -1.097 -0.093  -1.150 -0.214  -1.150 -0.356  -1.150 -0.498  -1.147 -0.639  -1.047 -0.739  -0.946 -0.840  -0.846 -0.940  -0.713 -0.963  -0.571 -0.963  -0.429 -0.963  -0.287 -0.963  -0.152 -0.945  -0.051 -0.845  0.072 -0.799  0.214 -0.799  0.346 -0.774  0.446 -0.674  0.573 -0.636  0.695 -0.588  0.795 -0.488  0.810 -0.352  0.881 -0.239  0.974 -0.135  0.974 0.007  0.974 0.149  0.974 0.291  0.974 0.433  0.926 0.555  0.825 0.656  0.810 0.791  0.740 0.904  0.639 1.005  0.539 1.105  0.420 1.161  0.278 1.161  0.157 1.139  0.157 0.997
1c#app#app07#app0775/u  -0.861 0.722  -0.755 0.829  -0.727 0.903  -0.861 0.886  -0.861 0.736  -0.861 0.585  -0.968 0.542  -1.042 0.464  -1.075 0.328  -1.182 0.221  -1.222 0.087  -1.222 -0.063  -1.222 -0.214  -1.219 -0.361  -1.068 -0.361  -1.042 -0.486  -0.947 -0.542  -0.796 -0.542  -0.646 -0.542  -0.495 -0.542  -0.345 -0.542  -0.320 -0.416  -0.224 -0.361  -0.080 -0.331  0.055 -0.264  0.189 -0.197  0.222 -0.066  0.306 -0.000  0.402 0.055  0.427 0.180  0.578 0.180  0.583 0.326  0.699 0.361  0.763 0.447  0.763 0.597  0.763 0.696  0.763 0.545  0.763 0.395  0.763 0.244  0.763 0.093  0.763 -0.057  0.763 -0.208  0.763 -0.359  0.912 -0.361  1.028 -0.445  1.138 -0.542  1.289 -0.542  1.400 -0.637  1.515 -0.722  1.666 -0.722
1c#app#app07#app0775/t  0.658 2.084  0.609 1.940  0.494 1.824  0.411 1.684  0.337 1.538  0.251 1.404  0.105 1.330  0.022 1.193  -0.051 1.046  -0.125 0.900  -0.198 0.753  -0.271 0.606  -0.345 0.460  -0.391 0.307  -0.391 0.143  -0.391 -0.021  -0.391 -0.185  -0.391 -0.349  -0.391 -0.513  -0.391 -0.677  -0.279 -0.794  -0.147 -0.872  -0.019 -0.959  0.097 -1.075  0.213 -1.190  0.351 -1.254  0.501 -1.287  0.639 -1.349  0.555 -1.247  0.439 -1.131  0.323 -1.015  0.207 -0.899  0.092 -0.783  -0.024 -0.667  -0.140 -0.551  -0.256 -0.435  -0.372 -0.319  -0.488 -0.203  -0.604 -0.087  -0.720 0.029  -0.683 0.081  -0.519 0.081  -0.355 0.081  -0.191 0.081  -0.027 0.081  0.137 0.081  0.301 0.081  0.465 0.081  0.589 -0.014  0.753 -0.014
1c#app#app07#app0775/o  0.934 0.956  0.770 0.956  0.632 0.895  0.516 0.779  0.400 0.664  0.284 0.548  0.152 0.471  -0.012 0.471  -0.134 0.371  -0.250 0.256  -0.403 0.229  -0.519 0.181  -0.519 0.018  -0.638 -0.073  -0.785 -0.146  -0.931 -0.219  -1.004 -0.338  -1.008 -0.498  -1.172 -0.498  -1.246 -0.587  -1.246 -0.751  -1.246 -0.915  -1.149 -0.982  -0.986 -0.982  -0.822 -0.982  -0.658 -0.982  -0.494 -0.982  -0.330 -0.982  -0.199 -0.904  -0.083 -0.788  0.061 -0.740  0.220 -0.728  0.335 -0.612  0.451 -0.496  0.567 -0.381  0.683 -0.265  0.843 -0.256  0.934 -0.183  0.934 -0.019  0.934 0.145  0.934 0.308  0.933 0.472  0.818 0.588  0.702 0.703  0.692 0.863  0.620 0.956  0.457 0.956  0.450 1.112  0.371 1.198  0.207 1.198
1c#app#app07#app0775/f  1.204 1.470  1.047 1.470  0.924 1.391  0.813 1.280  0.666 1.251  0.526 1.181  0.442 1.055  0.357 0.925  0.233 0.833  0.094 0.762  0.024 0.622  -0.046 0.482  -0.125 0.352  -0.265 0.282  -0.356 0.163  -0.426 0.023  -0.496 -0.117  -0.518 -0.269  -0.567 -0.417  -0.610 -0.567  -0.610 -0.723  -0.610 -0.880  -0.610 -1.036  -0.610 -1.193  -0.542 -1.321  -0.431 -1.431  -0.320 -1.542  -0.324 -1.416  -0.343 -1.261  -0.361 -1.105  -0.379 -0.950  -0.397 -0.795  -0.416 -0.639  -0.434 -0.484  -0.452 -0.328  -0.470 -0.173  -0.489 -0.018  -0.507 0.138  -0.375 0.159  -0.245 0.223  -0.104 0.260  0.053 0.260  0.209 0.260  0.366 0.260  0.522 0.260  0.679 0.260  0.835 0.260  0.992 0.260  1.148 0.260  1.305 0.260
1c#app#app07#app0775/p  -0.056 0.933  -0.056 0.745  -0.062 0.558  -0.121 0.379  -0.176 0.200  -0.176 0.012  -0.176 -0.176  -0.247 -0.335  -0.296 -0.503  -0.296 -0.691  -0.296 -0.879  -0.356 -1.042  -0.416 -1.206  -0.416 -1.394  -0.501 -1.546  -0.535 -1.721  -0.518 -1.732  -0.483 -1.548  -0.447 -1.363  -0.412 -1.178  -0.376 -0.993  -0.341 -0.809  -0.305 -0.624  -0.270 -0.439  -0.234 -0.254  -0.199 -0.070  -0.163 0.115  -0.128 0.300  -0.092 0.485  -0.057 0.669  -0.021 0.854  0.014 1.039  0.050 1.223  0.181 1.292  0.320 1.412  0.508 1.412  0.686 1.387  0.819 1.254  0.901 1.100  0.901 0.912  0.901 0.724  0.874 0.547  0.724 0.454  0.658 0.331  0.525 0.198  0.379 0.095  0.191 0.095  0.022 0.015  -0.128 -0.096  -0.296 -0.144
