1c#app#app08#app0867/t  -0.113 1.656  0.034 1.630  0.034 1.455  0.034 1.281  0.034 1.107  0.129 0.972  0.181 0.820  0.181 0.646  0.181 0.472  0.181 0.298  0.181 0.124  0.181 -0.050  0.181 -0.225  0.244 -0.384  0.322 -0.540  0.329 -0.712  0.356 -0.875  0.476 -0.999  0.476 -1.173  0.517 -1.330  0.623 -1.461  0.587 -1.548  0.464 -1.425  0.341 -1.302  0.218 -1.179  0.095 -1.055  -0.028 -0.932  -0.151 -0.809  -0.274 -0.686  -0.397 -0.563  -0.521 -0.440  -0.644 -0.317  -0.767 -0.194  -0.890 -0.071  -1.013 0.052  -1.136 0.176  -1.130 0.338  -0.974 0.416  -0.815 0.478  -0.641 0.478  -0.467 0.478  -0.293 0.478  -0.134 0.541  0.022 0.619  0.195 0.625  0.369 0.625  0.543 0.625  0.717 0.625  0.891 0.625  1.065 0.625
1c#app#app08#app0867/h  -0.724 2.020  -0.708 1.894  -0.614 1.801  -0.614 1.668  -0.614 1.535  -0.614 1.403  -0.614 1.270  -0.564 1.149  -0.504 1.031  -0.504 0.898  -0.504 0.765  -0.504 0.633  -0.464 0.510  -0.405 0.391  -0.394 0.261  -0.379 0.134  -0.285 0.041  -0.252 -0.088  -0.220 -0.217  -0.188 -0.345  -0.174 -0.476  -0.174 -0.609  -0.163 -0.730  -0.064 -0.764  -0.064 -0.897  -0.008 -1.006  0.046 -1.117  0.046 -1.092  0.046 -0.959  0.046 -0.826  0.046 -0.694  0.046 -0.561  0.104 -0.452  0.156 -0.341  0.156 -0.208  0.156 -0.076  0.246 0.020  0.370 0.040  0.486 0.023  0.525 -0.070  0.596 -0.132  0.656 -0.240  0.706 -0.352  0.790 -0.400  0.816 -0.507  0.816 -0.640  0.816 -0.772  0.816 -0.905  0.904 -0.950  0.926 -1.060
1c#app#app08#app0867/e  -0.819 0.799  -0.803 0.646  -0.666 0.614  -0.618 0.492  -0.513 0.429  -0.433 0.339  -0.359 0.243  -0.248 0.186  -0.078 0.186  0.091 0.186  0.260 0.186  0.408 0.207  0.446 0.339  0.599 0.377  0.715 0.498  0.715 0.668  0.715 0.837  0.677 0.991  0.555 1.106  0.386 1.106  0.221 1.089  0.069 1.013  -0.082 0.938  -0.234 0.862  -0.380 0.778  -0.500 0.659  -0.619 0.539  -0.666 0.389  -0.666 0.220  -0.762 0.090  -0.819 -0.056  -0.819 -0.225  -0.819 -0.394  -0.819 -0.564  -0.712 -0.689  -0.593 -0.808  -0.462 -0.913  -0.311 -0.989  -0.169 -1.078  -0.048 -1.195  0.121 -1.195  0.290 -1.195  0.460 -1.195  0.609 -1.147  0.735 -1.042  0.900 -1.026  1.052 -0.950  1.197 -0.866  1.317 -0.746  1.482 -0.735
1c#app#app08#app0867/i  -0.241 0.223  -0.351 0.223  -0.360 0.122  -0.360 0.012  -0.360 -0.098  -0.360 -0.209  -0.360 -0.319  -0.360 -0.429  -0.360 -0.539  -0.335 -0.639  -0.258 -0.717  -0.241 -0.820  -0.241 -0.930  -0.241 -1.040  -0.241 -1.151  -0.241 -1.261  -0.213 -1.359  -0.135 -1.437  -0.106 -1.361  -0.088 -1.252  -0.070 -1.144  -0.052 -1.035  -0.034 -0.926  -0.016 -0.818  0.002 -0.709  0.020 -0.600  0.038 -0.492  0.057 -0.383  0.075 -0.274  0.093 -0.166  0.111 -0.057  0.129 0.052  0.147 0.160  0.165 0.269  0.183 0.378  0.201 0.486  0.220 0.595  0.238 0.704  0.256 0.812  0.274 0.921  0.292 1.029  0.310 1.138  0.328 1.247  0.346 1.355  0.357 1.465  0.357 1.575  0.357 1.685  0.357 1.795  0.357 1.905  0.357 2.016
1c#app#app08#app0867/c  0.861 1.016  0.800 1.077  0.739 1.138  0.663 1.162  0.576 1.162  0.490 1.162  0.403 1.162  0.317 1.162  0.244 1.130  0.183 1.069  0.122 1.008  0.061 0.946  -0.000 0.885  -0.080 0.870  -0.165 0.866  -0.226 0.805  -0.288 0.744  -0.308 0.666  -0.308 0.580  -0.367 0.518  -0.429 0.457  -0.454 0.381  -0.454 0.295  -0.454 0.209  -0.454 0.122  -0.454 0.036  -0.454 -0.051  -0.454 -0.137  -0.454 -0.224  -0.454 -0.310  -0.454 -0.396  -0.438 -0.479  -0.399 -0.556  -0.360 -0.633  -0.322 -0.711  -0.269 -0.778  -0.208 -0.839  -0.147 -0.900  -0.085 -0.961  -0.024 -1.022  0.037 -1.083  0.098 -1.144  0.159 -1.205  0.220 -1.266  0.283 -1.323  0.369 -1.323  0.456 -1.323  0.542 -1.323  0.629 -1.323  0.715 -1.323
1c#app#app08#app0867/o  -0.513 0.977  -0.513 0.817  -0.669 0.813  -0.676 0.660  -0.676 0.499  -0.823 0.486  -0.840 0.343  -0.840 0.182  -0.840 0.022  -0.840 -0.138  -0.840 -0.299  -0.840 -0.459  -0.754 -0.584  -0.640 -0.697  -0.527 -0.810  -0.513 -0.965  -0.376 -0.988  -0.255 -1.082  -0.123 -1.152  0.037 -1.152  0.197 -1.152  0.343 -1.116  0.456 -1.003  0.596 -0.926  0.739 -0.854  0.865 -0.758  0.961 -0.637  0.961 -0.477  0.973 -0.322  1.086 -0.208  1.125 -0.064  1.125 0.096  1.125 0.257  1.058 0.389  0.961 0.509  0.941 0.649  0.786 0.661  0.672 0.775  0.528 0.813  0.368 0.813  0.207 0.813  0.047 0.813  -0.086 0.748  -0.206 0.649  -0.366 0.649  -0.513 0.635  -0.523 0.486  -0.683 0.486  -0.840 0.482  -0.840 0.322
1c#app#app08#app0867/n  -0.793 0.353  -0.793 0.212  -0.793 0.072  -0.679 0.046  -0.640 -0.055  -0.640 -0.195  -0.640 -0.335  -0.640 -0.475  -0.640 -0.616  -0.640 -0.756  -0.640 -0.896  -0.640 -1.036  -0.640 -1.176  -0.640 -1.316  -0.640 -1.212  -0.640 -1.072  -0.572 -0.960  -0.486 -0.855  -0.486 -0.715  -0.486 -0.575  -0.486 -0.435  -0.486 -0.295  -0.486 -0.155  -0.445 -0.024  -0.382 0.101  -0.333 0.230  -0.321 0.365  -0.221 0.464  -0.143 0.578  -0.081 0.704  -0.013 0.826  0.086 0.925  0.185 1.024  0.286 1.119  0.426 1.119  0.566 1.119  0.671 1.035  0.770 0.936  0.870 0.837  0.894 0.707  0.959 0.594  1.047 0.490  1.049 0.351  1.148 0.252  1.201 0.133  1.201 -0.007  1.201 -0.147  1.201 -0.287  1.201 -0.427  1.201 -0.568
1c#app#app08#app0867/o  -0.163 1.011  -0.314 1.011  -0.433 0.934  -0.540 0.827  -0.549 0.680  -0.549 0.529  -0.549 0.378  -0.549 0.227  -0.549 0.077  -0.549 -0.074  -0.549 -0.225  -0.549 -0.376  -0.549 -0.527  -0.549 -0.678  -0.549 -0.829  -0.507 -0.962  -0.400 -1.068  -0.356 -1.201  -0.309 -1.305  -0.159 -1.305  -0.008 -1.305  0.143 -1.305  0.273 -1.254  0.380 -1.148  0.415 -1.012  0.474 -0.919  0.608 -0.903  0.608 -0.752  0.697 -0.638  0.801 -0.530  0.801 -0.380  0.801 -0.229  0.801 -0.078  0.801 0.073  0.801 0.224  0.741 0.360  0.673 0.495  0.608 0.631  0.608 0.782  0.527 0.899  0.420 1.006  0.272 1.011  0.121 1.011  -0.030 1.011  -0.181 1.011  -0.332 1.011  -0.483 1.011  -0.634 1.011  -0.742 0.968  -0.742 0.818
1c#app#app08#app0867/g  0.329 1.057  0.274 1.149  0.126 1.149  -0.021 1.149  -0.157 1.123  -0.262 1.019  -0.366 0.914  -0.470 0.810  -0.574 0.706  -0.613 0.575  -0.683 0.457  -0.683 0.309  -0.683 0.162  -0.662 0.024  -0.544 -0.047  -0.397 -0.047  -0.249 -0.047  -0.137 0.039  -0.033 0.143  0.064 0.252  0.130 0.383  0.226 0.494  0.237 0.636  0.304 0.756  0.329 0.893  0.329 1.040  0.237 1.018  0.237 0.871  0.237 0.724  0.237 0.576  0.237 0.429  0.237 0.282  0.237 0.135  0.237 -0.013  0.237 -0.160  0.237 -0.307  0.237 -0.455  0.237 -0.602  0.237 -0.749  0.237 -0.897  0.237 -1.044  0.237 -1.191  0.235 -1.338  0.145 -1.448  0.145 -1.595  0.145 -1.742  0.053 -1.798  0.012 -1.928  -0.114 -1.979  -0.223 -1.887
1c#app#app08#app0867/r  -0.467 1.034  -0.467 0.897  -0.445 0.769  -0.349 0.673  -0.252 0.576  -0.225 0.450  -0.225 0.313  -0.225 0.176  -0.225 0.040  -0.225 -0.097  -0.225 -0.234  -0.225 -0.371  -0.225 -0.508  -0.225 -0.645  -0.225 -0.782  -0.225 -0.918  -0.225 -1.055  -0.225 -1.192  -0.225 -1.329  -0.225 -1.466  -0.225 -1.603  -0.150 -1.558  -0.053 -1.461  0.018 -1.354  0.018 -1.217  0.018 -1.080  0.018 -0.943  0.018 -0.806  0.018 -0.669  0.018 -0.532  0.018 -0.396  0.018 -0.259  0.018 -0.122  0.018 0.015  0.018 0.152  0.018 0.289  0.018 0.426  0.027 0.559  0.124 0.655  0.221 0.752  0.260 0.873  0.260 1.010  0.260 1.146  0.267 1.277  0.404 1.277  0.529 1.303  0.626 1.400  0.723 1.497  0.851 1.519  0.987 1.519
1c#app#app08#app0867/a  0.188 1.032  0.371 1.032  0.259 1.032  0.075 1.032  -0.032 0.956  -0.073 0.813  -0.255 0.809  -0.385 0.679  -0.514 0.550  -0.644 0.420  -0.690 0.255  -0.749 0.096  -0.879 -0.034  -0.909 -0.205  -0.983 -0.358  -1.113 -0.488  -1.128 -0.665  -1.128 -0.848  -1.128 -1.032  -1.074 -1.161  -0.890 -1.161  -0.706 -1.161  -0.572 -1.043  -0.430 -0.942  -0.251 -0.937  -0.251 -0.753  -0.143 -0.614  -0.020 -0.480  0.062 -0.316  0.144 -0.151  0.188 0.022  0.210 0.200  0.292 0.365  0.374 0.529  0.407 0.705  0.482 0.813  0.626 0.853  0.626 1.028  0.626 0.845  0.626 0.661  0.626 0.477  0.683 0.317  0.813 0.188  0.845 0.017  0.891 -0.155  0.973 -0.320  1.055 -0.484  1.065 -0.665  1.154 -0.812  1.284 -0.942
1c#app#app08#app0867/p  -0.202 0.696  -0.300 0.568  -0.370 0.429  -0.398 0.273  -0.398 0.105  -0.398 -0.063  -0.398 -0.231  -0.398 -0.399  -0.398 -0.567  -0.398 -0.735  -0.398 -0.903  -0.398 -1.071  -0.398 -1.240  -0.398 -1.408  -0.398 -1.576  -0.398 -1.744  -0.398 -1.617  -0.361 -1.455  -0.308 -1.296  -0.300 -1.129  -0.300 -0.961  -0.300 -0.793  -0.300 -0.625  -0.300 -0.457  -0.256 -0.299  -0.202 -0.144  -0.202 0.024  -0.174 0.188  -0.121 0.347  -0.103 0.513  -0.077 0.676  -0.024 0.836  0.072 0.969  0.094 1.128  0.170 1.264  0.289 1.383  0.457 1.384  0.586 1.345  0.691 1.279  0.782 1.148  0.859 1.012  0.881 0.853  0.881 0.685  0.881 0.517  0.829 0.400  0.697 0.315  0.575 0.204  0.487 0.123  0.353 0.038  0.192 0.007
1c#app#app08#app0867/h  -1.000 1.496  -0.872 1.513  -0.838 1.624  -0.744 1.574  -0.744 1.429  -0.685 1.309  -0.615 1.193  -0.570 1.066  -0.487 0.956  -0.487 0.811  -0.444 0.684  -0.359 0.574  -0.359 0.429  -0.359 0.285  -0.359 0.140  -0.359 -0.005  -0.359 -0.150  -0.359 -0.295  -0.359 -0.440  -0.359 -0.585  -0.359 -0.730  -0.359 -0.875  -0.359 -1.020  -0.359 -0.972  -0.246 -0.940  -0.231 -0.810  -0.218 -0.671  -0.115 -0.568  -0.103 -0.429  -0.038 -0.299  0.027 -0.170  0.129 -0.067  0.154 0.068  0.243 0.175  0.282 0.304  0.389 0.342  0.498 0.255  0.538 0.127  0.612 0.012  0.667 -0.110  0.726 -0.230  0.795 -0.347  0.795 -0.492  0.876 -0.555  0.923 -0.653  1.004 -0.765  1.051 -0.890  1.051 -1.035  1.163 -1.068  1.180 -1.196
1c#app#app08#app0867/w  -1.125 0.438  -1.140 0.325  -1.238 0.294  -1.238 0.165  -1.238 0.037  -1.238 -0.092  -1.238 -0.220  -1.162 -0.317  -1.125 -0.430  -1.060 -0.532  -0.951 -0.580  -0.899 -0.656  -0.808 -0.693  -0.679 -0.693  -0.551 -0.693  -0.429 -0.676  -0.338 -0.585  -0.247 -0.494  -0.157 -0.403  -0.107 -0.295  -0.107 -0.167  -0.107 -0.038  -0.107 -0.119  0.006 -0.135  0.006 -0.263  0.033 -0.381  0.124 -0.472  0.215 -0.562  0.336 -0.580  0.464 -0.580  0.581 -0.561  0.638 -0.446  0.702 -0.336  0.793 -0.245  0.884 -0.154  0.975 -0.063  1.024 0.045  1.024 0.174  1.024 0.302  1.024 0.431  1.024 0.559  1.013 0.685  0.956 0.800  0.891 0.910  0.800 1.001  0.709 1.092  0.643 1.200  0.585 1.315  0.474 1.343  0.345 1.343
1c#app#app08#app0867/o  -0.978 0.542  -0.843 0.542  -0.818 0.432  -0.818 0.298  -0.818 0.163  -0.818 0.028  -0.813 -0.105  -0.753 -0.225  -0.693 -0.346  -0.659 -0.472  -0.635 -0.597  -0.540 -0.692  -0.499 -0.810  -0.463 -0.929  -0.368 -1.024  -0.272 -1.119  -0.176 -1.211  -0.041 -1.211  0.093 -1.211  0.228 -1.211  0.343 -1.165  0.439 -1.070  0.457 -0.943  0.494 -0.817  0.555 -0.697  0.615 -0.577  0.709 -0.481  0.776 -0.374  0.776 -0.239  0.776 -0.105  0.776 0.030  0.776 0.164  0.776 0.299  0.776 0.433  0.776 0.568  0.776 0.703  0.776 0.837  0.697 0.939  0.596 1.020  0.461 1.020  0.327 1.020  0.192 1.020  0.058 1.020  -0.077 1.020  -0.211 1.020  -0.346 1.020  -0.480 1.020  -0.581 0.938  -0.659 0.836  -0.659 0.701
1c#app#app08#app0867/r  -0.600 0.610  -0.600 0.486  -0.538 0.422  -0.414 0.422  -0.411 0.300  -0.411 0.175  -0.411 0.051  -0.411 -0.074  -0.411 -0.198  -0.411 -0.323  -0.411 -0.448  -0.387 -0.567  -0.332 -0.678  -0.276 -0.790  -0.223 -0.902  -0.223 -1.026  -0.223 -1.151  -0.223 -1.276  -0.223 -1.400  -0.157 -1.459  -0.035 -1.456  -0.035 -1.331  -0.035 -1.207  -0.035 -1.082  -0.035 -0.958  -0.035 -0.833  -0.035 -0.708  -0.035 -0.584  -0.035 -0.459  -0.035 -0.335  -0.035 -0.210  -0.017 -0.088  0.022 0.030  0.061 0.148  0.101 0.266  0.140 0.385  0.191 0.498  0.247 0.610  0.302 0.721  0.341 0.837  0.341 0.961  0.341 1.086  0.366 1.200  0.454 1.288  0.543 1.376  0.631 1.464  0.719 1.551  0.844 1.551  0.969 1.551  1.093 1.551
1c#app#app08#app0867/k  -0.443 1.682  -0.443 1.857  -0.443 1.991  -0.443 1.816  -0.443 1.641  -0.443 1.466  -0.443 1.291  -0.443 1.116  -0.443 0.941  -0.426 0.770  -0.348 0.613  -0.333 0.441  -0.333 0.266  -0.333 0.091  -0.333 -0.084  -0.333 -0.259  -0.333 -0.434  -0.333 -0.609  -0.333 -0.784  -0.333 -0.959  -0.333 -1.134  -0.276 -1.050  -0.202 -0.892  -0.128 -0.733  -0.054 -0.574  0.020 -0.416  0.094 -0.257  0.168 -0.099  0.242 0.060  0.317 0.219  0.391 0.377  0.504 0.474  0.545 0.560  0.482 0.411  0.359 0.287  0.216 0.236  0.157 0.085  0.106 -0.069  -0.004 -0.199  -0.004 -0.374  -0.004 -0.549  0.067 -0.695  0.113 -0.851  0.245 -0.954  0.392 -1.020  0.550 -1.064  0.704 -1.113  0.854 -1.173  1.029 -1.173  1.204 -1.173
1c#app#app08#app0867/e  -0.851 -0.108  -1.015 -0.108  -0.895 -0.108  -0.851 -0.227  -0.754 -0.293  -0.591 -0.293  -0.427 -0.293  -0.267 -0.279  -0.121 -0.206  0.025 -0.133  0.182 -0.108  0.346 -0.108  0.509 -0.108  0.660 -0.078  0.776 0.037  0.922 0.078  1.061 0.137  1.176 0.252  1.187 0.411  1.187 0.575  1.187 0.738  1.104 0.819  1.001 0.879  0.962 1.004  0.799 1.004  0.636 1.004  0.472 1.004  0.309 1.004  0.146 1.004  0.010 0.938  -0.106 0.823  -0.267 0.819  -0.356 0.698  -0.429 0.552  -0.502 0.406  -0.575 0.260  -0.648 0.113  -0.666 -0.046  -0.666 -0.209  -0.666 -0.372  -0.666 -0.536  -0.666 -0.699  -0.657 -0.858  -0.541 -0.974  -0.481 -1.112  -0.441 -1.259  -0.326 -1.374  -0.210 -1.490  -0.088 -1.590  0.075 -1.590
1c#app#app08#app0867/d  0.330 -0.334  0.221 -0.167  0.112 0.001  0.033 0.181  -0.107 0.272  -0.271 0.320  -0.467 0.249  -0.634 0.120  -0.816 0.047  -0.966 -0.103  -1.089 -0.266  -1.089 -0.478  -1.089 -0.691  -1.089 -0.904  -0.974 -1.046  -0.802 -1.166  -0.606 -1.207  -0.393 -1.207  -0.181 -1.207  -0.008 -1.109  0.142 -0.959  0.266 -0.789  0.380 -0.612  0.480 -0.431  0.547 -0.229  0.548 -0.016  0.548 0.197  0.548 0.410  0.548 0.622  0.548 0.835  0.548 1.048  0.548 1.261  0.520 1.467  0.439 1.661  0.304 1.739  0.212 1.611  0.116 1.421  0.112 1.209  0.112 0.996  0.112 0.784  0.112 0.571  0.112 0.358  0.112 0.145  0.112 -0.068  0.112 -0.280  0.183 -0.476  0.231 -0.677  0.349 -0.854  0.439 -1.040  0.548 -1.207
1c#app#app08#app0867/v  -1.415 1.193  -1.302 1.193  -1.269 1.114  -1.223 1.047  -1.114 1.038  -1.035 0.959  -0.977 0.870  -0.977 0.757  -0.899 0.677  -0.822 0.596  -0.760 0.502  -0.698 0.409  -0.635 0.315  -0.573 0.221  -0.502 0.135  -0.423 0.055  -0.343 -0.024  -0.264 -0.104  -0.208 -0.200  -0.158 -0.301  -0.107 -0.402  -0.103 -0.513  -0.041 -0.587  0.059 -0.638  0.160 -0.688  0.189 -0.783  0.222 -0.881  0.301 -0.961  0.381 -1.040  0.461 -1.120  0.480 -1.055  0.531 -0.994  0.626 -0.976  0.626 -0.864  0.626 -0.751  0.626 -0.639  0.640 -0.529  0.690 -0.429  0.740 -0.328  0.772 -0.223  0.772 -0.111  0.772 0.002  0.772 0.114  0.772 0.226  0.772 0.339  0.772 0.451  0.772 0.564  0.772 0.676  0.772 0.789  0.772 0.901
