1c#app#app08#app0868/f  0.111 1.240  0.111 1.083  0.124 0.930  0.171 0.791  0.222 0.655  0.230 0.555  0.230 0.713  0.230 0.870  0.230 1.028  0.201 1.179  0.111 1.305  0.065 1.452  -0.053 1.537  -0.203 1.520  -0.289 1.390  -0.307 1.236  -0.364 1.092  -0.364 0.934  -0.364 0.776  -0.364 0.618  -0.346 0.462  -0.324 0.306  -0.299 0.150  -0.261 -0.003  -0.204 -0.150  -0.149 -0.297  -0.099 -0.447  -0.026 -0.583  0.067 -0.706  0.119 -0.855  0.190 -0.996  0.278 -1.124  0.349 -1.263  0.349 -1.421  0.349 -1.579  0.260 -1.522  0.148 -1.410  0.037 -1.299  -0.075 -1.187  -0.187 -1.075  -0.298 -0.964  -0.410 -0.852  -0.309 -0.779  -0.221 -0.678  -0.126 -0.601  0.005 -0.535  0.146 -0.465  0.288 -0.394  0.434 -0.335  0.586 -0.304
1c#app#app08#app0868/a  0.297 1.179  0.258 1.305  0.093 1.305  -0.038 1.222  -0.175 1.132  -0.323 1.058  -0.442 0.944  -0.522 0.801  -0.602 0.658  -0.717 0.539  -0.791 0.391  -0.865 0.243  -0.939 0.095  -0.965 -0.064  -0.965 -0.229  -0.965 -0.395  -0.965 -0.560  -0.965 -0.726  -0.965 -0.891  -0.902 -1.030  -0.785 -1.147  -0.650 -1.220  -0.485 -1.220  -0.323 -1.210  -0.206 -1.093  -0.090 -0.976  0.056 -0.899  0.171 -0.804  0.225 -0.661  0.317 -0.529  0.370 -0.372  0.422 -0.215  0.495 -0.067  0.550 0.085  0.550 0.251  0.550 0.416  0.550 0.581  0.550 0.747  0.550 0.912  0.550 0.775  0.550 0.609  0.623 0.474  0.676 0.331  0.678 0.166  0.752 0.018  0.802 -0.136  0.867 -0.274  0.929 -0.414  1.033 -0.515  1.181 -0.589
1c#app#app08#app0868/i  -0.291 -0.068  -0.289 -0.168  -0.218 -0.239  -0.193 -0.329  -0.193 -0.429  -0.193 -0.530  -0.193 -0.631  -0.141 -0.710  -0.095 -0.791  -0.095 -0.892  -0.095 -0.992  -0.095 -1.093  -0.095 -1.193  -0.095 -1.294  -0.095 -1.394  -0.089 -1.393  -0.079 -1.293  -0.069 -1.193  -0.059 -1.093  -0.049 -0.993  -0.039 -0.893  -0.029 -0.792  -0.019 -0.692  -0.009 -0.592  0.001 -0.492  0.011 -0.392  0.021 -0.292  0.031 -0.192  0.041 -0.092  0.051 0.008  0.061 0.108  0.071 0.208  0.081 0.308  0.091 0.408  0.101 0.508  0.111 0.609  0.121 0.709  0.131 0.809  0.141 0.909  0.151 1.009  0.161 1.109  0.171 1.209  0.181 1.309  0.191 1.409  0.200 1.509  0.198 1.609  0.166 1.705  0.135 1.800  0.103 1.896  0.102 1.996
1c#app#app08#app0868/l  -0.425 1.657  -0.425 1.585  -0.402 1.518  -0.370 1.454  -0.338 1.390  -0.306 1.326  -0.274 1.261  -0.242 1.197  -0.238 1.126  -0.219 1.059  -0.187 0.994  -0.155 0.930  -0.144 0.861  -0.144 0.789  -0.143 0.717  -0.120 0.649  -0.097 0.581  -0.075 0.513  -0.052 0.445  -0.050 0.373  -0.050 0.301  -0.043 0.231  -0.020 0.163  0.002 0.094  0.025 0.026  0.043 -0.043  0.043 -0.114  0.043 -0.186  0.043 -0.258  0.043 -0.330  0.043 -0.402  0.094 -0.453  0.137 -0.507  0.137 -0.579  0.137 -0.650  0.149 -0.720  0.172 -0.788  0.195 -0.857  0.217 -0.925  0.230 -0.994  0.230 -1.066  0.230 -1.138  0.230 -1.210  0.230 -1.282  0.230 -1.354  0.230 -1.426  0.296 -1.432  0.324 -1.476  0.346 -1.526  0.418 -1.526
1c#app#app08#app0868/e  -0.659 -0.031  -0.659 0.108  -0.535 0.123  -0.397 0.123  -0.286 0.189  -0.184 0.276  -0.045 0.276  0.093 0.276  0.232 0.276  0.339 0.353  0.442 0.443  0.566 0.505  0.690 0.567  0.824 0.583  0.876 0.670  0.876 0.808  0.876 0.946  0.876 1.085  0.850 1.197  0.712 1.197  0.573 1.197  0.474 1.102  0.376 1.004  0.279 0.906  0.159 0.839  0.035 0.777  -0.079 0.702  -0.177 0.604  -0.198 0.474  -0.198 0.336  -0.233 0.206  -0.295 0.082  -0.361 -0.040  -0.458 -0.138  -0.505 -0.257  -0.505 -0.395  -0.505 -0.534  -0.505 -0.672  -0.505 -0.810  -0.505 -0.949  -0.505 -1.087  -0.505 -1.226  -0.505 -1.364  -0.415 -1.412  -0.352 -1.488  -0.291 -1.566  -0.153 -1.566  -0.015 -1.566  0.124 -1.566  0.262 -1.566
1c#app#app08#app0868/d  0.417 -0.022  0.411 0.181  0.304 0.283  0.101 0.245  -0.096 0.176  -0.243 0.028  -0.391 -0.120  -0.486 -0.306  -0.617 -0.466  -0.700 -0.655  -0.700 -0.864  -0.700 -1.073  -0.700 -1.282  -0.593 -1.444  -0.384 -1.444  -0.175 -1.444  -0.074 -1.326  0.051 -1.161  0.112 -0.967  0.192 -0.777  0.214 -0.573  0.214 -0.364  0.214 -0.155  0.214 0.054  0.214 0.263  0.214 0.472  0.214 0.681  0.150 0.880  0.112 1.083  0.112 1.292  0.048 1.490  0.011 1.693  0.011 1.902  -0.091 1.805  -0.091 1.596  -0.091 1.387  -0.091 1.178  -0.091 0.969  -0.091 0.760  -0.091 0.551  -0.045 0.349  0.011 0.149  0.038 -0.049  0.185 -0.197  0.255 -0.389  0.306 -0.591  0.417 -0.757  0.519 -0.865  0.555 -1.037  0.722 -1.139
1c#app#app08#app0868/w  -0.970 1.062  -1.062 0.952  -1.062 0.804  -1.062 0.655  -1.105 0.517  -1.155 0.380  -1.155 0.231  -1.155 0.083  -1.155 -0.065  -1.155 -0.214  -1.125 -0.350  -1.062 -0.473  -0.970 -0.529  -0.889 -0.596  -0.741 -0.596  -0.593 -0.592  -0.461 -0.526  -0.347 -0.434  -0.227 -0.347  -0.103 -0.264  0.010 -0.169  0.115 -0.064  0.136 0.075  0.136 0.224  0.043 0.132  0.043 -0.017  0.043 -0.165  0.043 -0.314  0.079 -0.448  0.136 -0.572  0.168 -0.689  0.290 -0.751  0.427 -0.781  0.575 -0.781  0.686 -0.691  0.791 -0.586  0.873 -0.471  0.936 -0.349  0.965 -0.213  1.016 -0.085  1.057 0.046  1.057 0.195  1.057 0.343  1.057 0.492  1.057 0.640  1.015 0.778  0.965 0.915  0.965 1.064  0.939 1.206  0.873 1.339
1c#app#app08#app0868/i  -0.258 0.051  -0.152 0.051  -0.141 -0.045  -0.141 -0.152  -0.141 -0.259  -0.141 -0.366  -0.141 -0.472  -0.141 -0.579  -0.119 -0.677  -0.044 -0.753  -0.023 -0.851  -0.023 -0.957  -0.023 -1.064  -0.023 -1.171  -0.023 -1.278  -0.023 -1.385  -0.022 -1.469  -0.018 -1.362  -0.014 -1.256  -0.010 -1.149  -0.005 -1.042  -0.001 -0.936  0.003 -0.829  0.007 -0.722  0.012 -0.615  0.016 -0.509  0.020 -0.402  0.025 -0.295  0.029 -0.189  0.033 -0.082  0.037 0.025  0.042 0.131  0.046 0.238  0.050 0.345  0.054 0.451  0.059 0.558  0.063 0.665  0.067 0.771  0.071 0.878  0.076 0.985  0.080 1.092  0.084 1.198  0.089 1.305  0.093 1.412  0.095 1.518  0.095 1.625  0.095 1.732  0.095 1.839  0.095 1.945  0.095 2.052
1c#app#app08#app0868/z  -1.315 0.947  -1.200 0.947  -1.086 0.947  -0.971 0.947  -0.857 0.947  -0.742 0.947  -0.627 0.947  -0.513 0.947  -0.398 0.947  -0.284 0.947  -0.169 0.947  -0.055 0.947  0.060 0.947  0.174 0.947  0.289 0.947  0.356 0.900  0.379 0.808  0.493 0.808  0.496 0.696  0.496 0.581  0.496 0.466  0.469 0.363  0.388 0.282  0.356 0.180  0.324 0.079  0.243 -0.002  0.147 -0.063  0.045 -0.114  -0.058 -0.165  -0.061 -0.277  -0.122 -0.367  -0.203 -0.448  -0.284 -0.529  -0.340 -0.620  -0.340 -0.734  -0.340 -0.849  -0.240 -0.863  -0.201 -0.939  -0.150 -1.003  -0.043 -1.021  0.038 -1.102  0.136 -1.142  0.251 -1.142  0.365 -1.142  0.480 -1.142  0.594 -1.142  0.709 -1.142  0.824 -1.142  0.938 -1.142  1.053 -1.142
1c#app#app08#app0868/a  0.390 0.907  0.390 1.092  0.282 1.168  0.098 1.168  -0.062 1.108  -0.217 1.038  -0.361 0.939  -0.491 0.809  -0.622 0.678  -0.752 0.548  -0.883 0.417  -0.915 0.246  -0.959 0.080  -1.089 -0.050  -1.176 -0.199  -1.176 -0.383  -1.176 -0.568  -1.176 -0.752  -1.072 -0.894  -0.941 -1.024  -0.768 -1.051  -0.583 -1.051  -0.399 -1.051  -0.228 -1.016  -0.089 -0.899  0.076 -0.816  0.218 -0.701  0.316 -0.547  0.403 -0.385  0.521 -0.250  0.543 -0.069  0.602 0.106  0.651 0.282  0.651 0.467  0.651 0.651  0.651 0.836  0.651 1.020  0.625 0.881  0.521 0.740  0.521 0.556  0.521 0.371  0.521 0.187  0.521 0.002  0.521 -0.182  0.591 -0.338  0.651 -0.497  0.651 -0.682  0.705 -0.844  0.782 -0.997  0.912 -1.051
1c#app#app08#app0868/r  -0.409 0.237  -0.526 0.237  -0.588 0.181  -0.588 0.064  -0.588 -0.052  -0.553 -0.155  -0.470 -0.237  -0.409 -0.329  -0.409 -0.446  -0.409 -0.563  -0.409 -0.680  -0.409 -0.797  -0.409 -0.913  -0.409 -1.030  -0.409 -1.147  -0.409 -1.264  -0.396 -1.367  -0.279 -1.367  -0.231 -1.298  -0.231 -1.181  -0.231 -1.064  -0.231 -0.947  -0.231 -0.830  -0.231 -0.714  -0.206 -0.603  -0.153 -0.498  -0.101 -0.394  -0.053 -0.288  -0.053 -0.172  -0.053 -0.055  -0.053 0.062  -0.053 0.179  -0.011 0.279  0.071 0.361  0.125 0.456  0.125 0.573  0.193 0.661  0.276 0.744  0.338 0.841  0.390 0.946  0.443 1.050  0.503 1.149  0.585 1.232  0.671 1.306  0.788 1.306  0.905 1.306  1.022 1.306  1.139 1.306  1.256 1.306  1.373 1.306
