1c#app#app11#app1159/q  0.219 1.099  0.293 1.029  0.285 1.173  0.207 1.247  0.060 1.236  -0.048 1.128  -0.177 1.073  -0.284 0.966  -0.385 0.853  -0.460 0.729  -0.585 0.665  -0.669 0.547  -0.719 0.407  -0.743 0.261  -0.743 0.109  -0.711 -0.011  -0.633 -0.085  -0.481 -0.085  -0.329 -0.085  -0.191 -0.052  -0.062 0.003  0.045 0.111  0.175 0.166  0.282 0.274  0.337 0.403  0.416 0.531  0.509 0.649  0.515 0.798  0.515 0.804  0.441 0.682  0.367 0.561  0.323 0.419  0.289 0.275  0.221 0.140  0.186 -0.004  0.145 -0.147  0.145 -0.299  0.145 -0.451  0.145 -0.603  0.144 -0.754  0.096 -0.899  0.071 -1.047  0.071 -1.199  0.071 -1.351  0.071 -1.503  0.071 -1.655  0.071 -1.806  0.071 -1.958  0.071 -2.110  0.145 -2.232
1c#app#app11#app1159/u  -0.618 1.243  -0.618 1.141  -0.691 1.112  -0.749 1.067  -0.749 0.965  -0.749 0.863  -0.749 0.761  -0.749 0.659  -0.762 0.560  -0.808 0.469  -0.854 0.378  -0.879 0.282  -0.879 0.180  -0.879 0.078  -0.879 -0.024  -0.837 -0.109  -0.765 -0.181  -0.749 -0.276  -0.749 -0.378  -0.734 -0.474  -0.661 -0.546  -0.589 -0.618  -0.517 -0.691  -0.428 -0.721  -0.326 -0.721  -0.223 -0.721  -0.121 -0.721  -0.019 -0.721  0.083 -0.721  0.185 -0.721  0.287 -0.721  0.362 -0.657  0.437 -0.590  0.539 -0.590  0.617 -0.533  0.689 -0.461  0.762 -0.389  0.834 -0.317  0.906 -0.245  0.953 -0.162  0.958 -0.062  1.030 0.010  1.095 0.087  1.141 0.178  1.187 0.270  1.215 0.365  1.215 0.467  1.215 0.569  1.274 0.647  1.346 0.719
1c#app#app11#app1159/i  -0.216 1.692  -0.216 1.619  -0.216 1.546  -0.216 1.473  -0.216 1.400  -0.216 1.327  -0.216 1.255  -0.216 1.182  -0.207 1.113  -0.155 1.061  -0.103 1.010  -0.052 0.958  -0.027 0.896  -0.027 0.823  -0.027 0.750  -0.027 0.677  -0.027 0.604  -0.027 0.531  -0.027 0.459  -0.027 0.386  -0.027 0.313  -0.027 0.240  -0.027 0.167  -0.027 0.094  -0.027 0.021  -0.027 -0.052  -0.027 -0.125  -0.027 -0.197  -0.027 -0.270  -0.027 -0.343  -0.027 -0.416  -0.027 -0.489  -0.027 -0.562  0.009 -0.620  0.060 -0.671  0.112 -0.723  0.163 -0.775  0.163 -0.848  0.163 -0.921  0.163 -0.993  0.163 -1.066  0.163 -1.139  0.163 -1.212  0.163 -1.285  0.163 -1.358  0.163 -1.431  0.163 -1.504  0.207 -1.533  0.280 -1.533  0.353 -1.533
1c#app#app11#app1159/c  0.820 0.772  0.820 0.871  0.820 0.970  0.820 1.069  0.820 1.168  0.728 1.175  0.629 1.175  0.531 1.175  0.432 1.175  0.417 1.092  0.373 1.019  0.285 0.975  0.197 0.931  0.104 0.906  0.007 0.900  -0.063 0.830  -0.133 0.760  -0.202 0.691  -0.255 0.614  -0.255 0.515  -0.317 0.441  -0.387 0.372  -0.390 0.274  -0.432 0.192  -0.502 0.123  -0.524 0.033  -0.524 -0.066  -0.524 -0.165  -0.524 -0.264  -0.524 -0.363  -0.524 -0.461  -0.524 -0.560  -0.524 -0.659  -0.524 -0.758  -0.524 -0.857  -0.524 -0.956  -0.524 -1.055  -0.479 -1.109  -0.380 -1.109  -0.282 -1.109  -0.183 -1.109  -0.084 -1.109  0.015 -1.109  0.114 -1.109  0.213 -1.109  0.310 -1.099  0.404 -1.068  0.498 -1.037  0.591 -1.006  0.685 -0.974
1c#app#app11#app1159/k  -0.472 2.140  -0.363 1.975  -0.363 1.764  -0.363 1.553  -0.426 1.358  -0.472 1.158  -0.472 0.947  -0.472 0.736  -0.472 0.526  -0.472 0.315  -0.472 0.104  -0.472 -0.107  -0.472 -0.317  -0.472 -0.528  -0.404 -0.723  -0.363 -0.924  -0.363 -1.134  -0.363 -1.345  -0.290 -1.161  -0.215 -0.964  -0.140 -0.767  -0.065 -0.570  0.010 -0.373  0.085 -0.176  0.160 0.021  0.235 0.218  0.310 0.414  0.385 0.611  0.460 0.808  0.510 0.870  0.401 0.769  0.286 0.606  0.137 0.457  0.065 0.276  -0.105 0.176  -0.144 0.005  -0.253 -0.097  -0.316 -0.151  -0.293 -0.260  -0.331 -0.369  -0.120 -0.369  0.086 -0.381  0.235 -0.530  0.384 -0.679  0.579 -0.731  0.768 -0.825  0.956 -0.920  1.144 -1.014  1.304 -1.148  1.492 -1.242
1c#app#app11#app1159/z  -1.260 0.568  -1.106 0.568  -1.053 0.668  -0.960 0.728  -0.846 0.767  -0.693 0.767  -0.546 0.782  -0.428 0.867  -0.275 0.867  -0.121 0.867  0.005 0.933  0.144 0.967  0.297 0.967  0.450 0.967  0.603 0.967  0.722 1.051  0.839 1.037  0.839 0.884  0.722 0.834  0.654 0.697  0.554 0.583  0.516 0.445  0.395 0.368  0.339 0.270  0.232 0.161  0.124 0.053  0.039 -0.065  -0.022 -0.193  -0.130 -0.301  -0.239 -0.410  -0.347 -0.518  -0.456 -0.627  -0.493 -0.764  -0.560 -0.890  -0.660 -0.943  -0.706 -1.077  -0.683 -1.131  -0.530 -1.131  -0.376 -1.131  -0.227 -1.114  -0.090 -1.046  0.054 -1.016  0.172 -0.931  0.325 -0.931  0.464 -0.869  0.608 -0.831  0.725 -0.745  0.863 -0.707  0.985 -0.631  1.138 -0.631
1c#app#app11#app1159/e  -0.787 -0.393  -0.645 -0.426  -0.579 -0.534  -0.405 -0.534  -0.268 -0.441  -0.114 -0.393  0.061 -0.393  0.094 -0.251  0.268 -0.251  0.347 -0.155  0.476 -0.109  0.509 0.033  0.668 0.070  0.772 0.201  0.832 0.316  0.914 0.409  0.914 0.584  1.056 0.617  1.056 0.791  1.056 0.966  0.940 1.025  0.907 1.167  0.733 1.167  0.558 1.167  0.383 1.167  0.209 1.167  0.084 1.045  -0.078 1.021  -0.104 0.857  -0.227 0.734  -0.351 0.610  -0.516 0.587  -0.640 0.463  -0.663 0.298  -0.786 0.175  -0.865 0.019  -0.929 -0.141  -0.929 -0.316  -0.929 -0.490  -0.836 -0.627  -0.787 -0.781  -0.689 -0.915  -0.533 -0.960  -0.501 -1.103  -0.378 -1.227  -0.210 -1.243  -0.035 -1.243  0.140 -1.243  0.314 -1.243  0.489 -1.243
1c#app#app11#app1159/p  -0.261 0.800  -0.261 0.626  -0.287 0.463  -0.364 0.320  -0.364 0.146  -0.364 -0.029  -0.364 -0.203  -0.364 -0.377  -0.361 -0.550  -0.261 -0.683  -0.261 -0.857  -0.261 -1.032  -0.198 -1.191  -0.157 -1.356  -0.053 -1.487  -0.053 -1.662  -0.053 -1.537  -0.157 -1.466  -0.157 -1.292  -0.193 -1.133  -0.261 -0.986  -0.261 -0.812  -0.313 -0.650  -0.364 -0.488  -0.364 -0.314  -0.364 -0.139  -0.409 0.016  -0.468 0.167  -0.468 0.341  -0.468 0.515  -0.468 0.690  -0.404 0.800  -0.364 0.935  -0.263 1.007  -0.212 1.160  -0.061 1.215  0.114 1.215  0.288 1.215  0.462 1.215  0.617 1.166  0.740 1.043  0.879 0.987  0.944 0.839  0.983 0.681  0.983 0.507  0.983 0.333  0.968 0.164  0.879 0.027  0.795 -0.113  0.672 -0.236
1c#app#app11#app1159/h  -0.705 1.920  -0.675 1.810  -0.595 1.749  -0.595 1.608  -0.595 1.468  -0.595 1.327  -0.595 1.187  -0.570 1.049  -0.536 0.913  -0.502 0.776  -0.485 0.638  -0.485 0.497  -0.475 0.359  -0.412 0.233  -0.375 0.102  -0.375 -0.039  -0.375 -0.180  -0.375 -0.320  -0.375 -0.461  -0.375 -0.601  -0.366 -0.740  -0.303 -0.866  -0.265 -0.997  -0.265 -1.138  -0.183 -1.082  -0.154 -0.954  -0.154 -0.813  -0.104 -0.723  -0.044 -0.642  -0.043 -0.502  0.056 -0.402  0.078 -0.271  0.176 -0.171  0.176 -0.030  0.220 0.092  0.286 0.205  0.364 0.268  0.504 0.268  0.616 0.240  0.658 0.116  0.727 0.004  0.760 -0.129  0.823 -0.254  0.837 -0.392  0.850 -0.529  0.913 -0.655  0.947 -0.787  0.947 -0.928  0.957 -1.064  1.057 -1.163
1c#app#app11#app1159/y  -0.846 1.090  -0.818 0.985  -0.742 0.930  -0.742 0.798  -0.742 0.666  -0.708 0.568  -0.637 0.507  -0.548 0.464  -0.481 0.360  -0.418 0.245  -0.325 0.151  -0.193 0.151  -0.061 0.151  0.071 0.151  0.142 0.249  0.203 0.366  0.296 0.459  0.390 0.552  0.409 0.676  0.502 0.769  0.510 0.898  0.510 1.030  0.582 1.090  0.514 1.090  0.510 0.962  0.474 0.845  0.406 0.742  0.406 0.610  0.342 0.504  0.301 0.389  0.301 0.257  0.209 0.164  0.197 0.037  0.197 -0.095  0.168 -0.220  0.109 -0.338  0.069 -0.463  0.037 -0.591  0.005 -0.719  -0.012 -0.849  -0.012 -0.981  -0.012 -1.113  -0.012 -1.245  -0.012 -1.377  -0.012 -1.508  -0.067 -1.627  -0.116 -1.748  -0.116 -1.880  -0.116 -2.011  -0.116 -2.143
1c#app#app11#app1159/r  -0.666 1.185  -0.666 1.034  -0.666 0.882  -0.536 0.860  -0.503 0.741  -0.503 0.589  -0.503 0.437  -0.442 0.310  -0.340 0.201  -0.340 0.049  -0.340 -0.103  -0.340 -0.255  -0.340 -0.406  -0.340 -0.558  -0.267 -0.680  -0.177 -0.795  -0.177 -0.946  -0.177 -1.098  -0.177 -1.250  -0.177 -1.402  -0.177 -1.554  -0.056 -1.585  -0.014 -1.476  -0.014 -1.324  -0.014 -1.172  -0.014 -1.021  -0.014 -0.869  -0.014 -0.717  -0.014 -0.565  -0.036 -0.422  -0.143 -0.315  -0.177 -0.177  -0.177 -0.025  -0.177 0.127  -0.177 0.279  -0.177 0.431  -0.177 0.583  -0.150 0.723  -0.042 0.831  0.098 0.860  0.250 0.860  0.401 0.860  0.553 0.860  0.705 0.860  0.857 0.860  1.009 0.860  1.161 0.860  1.313 0.860  1.465 0.860  1.616 0.860
