1c#app#app12#app1251/w  -0.833 1.021  -0.833 0.848  -0.883 0.725  -0.981 0.650  -0.981 0.477  -0.981 0.304  -0.981 0.131  -0.981 -0.042  -0.981 -0.215  -0.981 -0.388  -0.981 -0.561  -0.981 -0.734  -0.976 -0.902  -0.833 -0.932  -0.778 -1.050  -0.628 -0.993  -0.506 -0.871  -0.389 -0.747  -0.374 -0.577  -0.297 -0.422  -0.241 -0.263  -0.190 -0.111  -0.093 0.022  -0.093 0.195  -0.066 0.364  -0.011 0.528  0.044 0.692  0.055 0.863  0.203 0.888  0.203 0.981  0.203 0.808  0.203 0.635  0.203 0.462  0.203 0.289  0.203 0.116  0.233 -0.044  0.351 -0.168  0.373 -0.332  0.495 -0.455  0.666 -0.458  0.839 -0.458  1.012 -0.458  1.185 -0.458  1.238 -0.338  1.341 -0.208  1.463 -0.085  1.534 0.058  1.534 0.231  1.534 0.404  1.534 0.577
1c#app#app12#app1251/a  -0.800 1.419  -0.663 1.419  -0.615 1.330  -0.574 1.234  -0.437 1.234  -0.300 1.234  -0.246 1.152  -0.211 1.050  -0.074 1.050  0.027 0.962  0.123 0.865  0.220 0.768  0.321 0.680  0.458 0.680  0.494 0.579  0.531 0.458  0.628 0.361  0.725 0.264  0.822 0.167  0.863 0.047  0.863 -0.029  0.863 0.108  0.744 0.125  0.607 0.125  0.470 0.125  0.333 0.125  0.196 0.125  0.059 0.125  -0.061 0.108  -0.061 -0.029  -0.167 -0.059  -0.287 -0.101  -0.384 -0.198  -0.431 -0.315  -0.447 -0.445  -0.544 -0.542  -0.615 -0.650  -0.615 -0.787  -0.615 -0.924  -0.615 -1.061  -0.595 -1.189  -0.498 -1.286  -0.389 -1.353  -0.252 -1.353  -0.115 -1.353  0.022 -1.353  0.149 -1.328  0.246 -1.231  0.357 -1.168  0.494 -1.168
1c#app#app12#app1251/r  -0.797 0.685  -0.797 0.527  -0.797 0.368  -0.653 0.354  -0.495 0.354  -0.466 0.225  -0.466 0.067  -0.352 0.022  -0.193 0.022  -0.135 -0.077  -0.135 -0.235  -0.135 -0.394  -0.135 -0.552  -0.135 -0.710  -0.135 -0.869  -0.079 -0.971  0.079 -0.971  0.197 -1.012  0.197 -1.171  0.197 -1.329  0.197 -1.487  0.197 -1.623  0.197 -1.464  0.197 -1.306  0.197 -1.148  0.197 -0.989  0.098 -0.872  -0.014 -0.760  -0.126 -0.648  -0.135 -0.493  -0.135 -0.335  -0.135 -0.177  -0.135 -0.018  -0.135 0.140  -0.135 0.298  -0.135 0.457  -0.135 0.615  -0.135 0.773  -0.135 0.931  -0.061 1.016  0.097 1.016  0.197 1.075  0.197 1.233  0.241 1.348  0.399 1.348  0.557 1.348  0.716 1.348  0.874 1.348  1.032 1.348  1.191 1.348
1c#app#app12#app1251/t  -0.516 2.065  -0.436 1.905  -0.356 1.745  -0.334 1.572  -0.334 1.393  -0.334 1.214  -0.334 1.036  -0.334 0.857  -0.334 0.678  -0.260 0.530  -0.151 0.396  -0.151 0.218  -0.139 0.044  -0.012 -0.082  0.031 -0.243  0.031 -0.422  0.109 -0.568  0.214 -0.704  0.214 -0.882  0.224 -1.059  0.304 -1.219  0.384 -1.378  0.503 -1.510  0.650 -1.587  0.725 -1.532  0.626 -1.383  0.527 -1.234  0.427 -1.085  0.328 -0.937  0.229 -0.788  0.130 -0.639  0.031 -0.490  -0.068 -0.342  -0.167 -0.193  -0.267 -0.044  -0.366 0.104  -0.465 0.253  -0.564 0.402  -0.663 0.551  -0.699 0.490  -0.589 0.422  -0.410 0.422  -0.261 0.349  -0.128 0.239  0.051 0.239  0.229 0.239  0.408 0.239  0.587 0.239  0.766 0.239  0.944 0.239
1c#app#app12#app1251/y  -0.873 1.344  -0.755 1.344  -0.711 1.270  -0.711 1.152  -0.711 1.034  -0.638 0.947  -0.554 0.863  -0.550 0.747  -0.502 0.649  -0.419 0.566  -0.388 0.461  -0.388 0.343  -0.388 0.225  -0.283 0.212  -0.166 0.212  -0.048 0.212  0.070 0.212  0.097 0.303  0.130 0.407  0.214 0.490  0.259 0.589  0.259 0.707  0.259 0.825  0.343 0.859  0.421 0.818  0.421 0.700  0.421 0.583  0.421 0.465  0.421 0.347  0.421 0.229  0.375 0.122  0.323 0.016  0.270 -0.089  0.259 -0.204  0.259 -0.322  0.259 -0.440  0.259 -0.558  0.259 -0.676  0.259 -0.794  0.259 -0.912  0.210 -1.018  0.157 -1.123  0.105 -1.229  0.097 -1.345  0.097 -1.463  0.097 -1.581  0.097 -1.698  0.097 -1.816  0.097 -1.934  0.097 -2.052
1c#app#app12#app1251/h  -0.614 2.024  -0.614 1.875  -0.614 1.726  -0.614 1.577  -0.614 1.428  -0.560 1.302  -0.480 1.186  -0.480 1.037  -0.480 0.888  -0.480 0.740  -0.480 0.591  -0.480 0.442  -0.480 0.293  -0.480 0.144  -0.480 -0.005  -0.480 -0.153  -0.480 -0.302  -0.432 -0.431  -0.346 -0.544  -0.346 -0.693  -0.346 -0.842  -0.346 -0.991  -0.346 -1.140  -0.242 -1.185  -0.213 -1.066  -0.118 -0.956  -0.079 -0.824  -0.002 -0.707  0.055 -0.581  0.055 -0.432  0.125 -0.313  0.189 -0.190  0.189 -0.041  0.252 0.081  0.322 0.201  0.322 0.350  0.401 0.419  0.550 0.419  0.590 0.310  0.590 0.161  0.594 0.014  0.699 -0.091  0.723 -0.230  0.723 -0.379  0.788 -0.512  0.855 -0.645  0.857 -0.794  0.875 -0.935  0.980 -1.040  0.991 -1.185
1c#app#app12#app1251/u  -1.045 1.198  -1.045 1.094  -1.045 0.990  -0.948 0.983  -0.844 0.983  -0.829 0.893  -0.829 0.789  -0.829 0.685  -0.829 0.581  -0.829 0.478  -0.829 0.374  -0.829 0.270  -0.829 0.166  -0.829 0.062  -0.829 -0.042  -0.793 -0.131  -0.719 -0.205  -0.646 -0.278  -0.614 -0.369  -0.614 -0.473  -0.562 -0.525  -0.458 -0.525  -0.367 -0.556  -0.294 -0.630  -0.220 -0.704  -0.131 -0.740  -0.027 -0.740  0.077 -0.740  0.181 -0.740  0.285 -0.740  0.388 -0.740  0.484 -0.719  0.557 -0.646  0.631 -0.572  0.704 -0.499  0.778 -0.425  0.851 -0.352  0.893 -0.265  0.893 -0.161  0.930 -0.094  1.034 -0.094  1.109 -0.065  1.109 0.039  1.109 0.143  1.109 0.247  1.109 0.351  1.109 0.455  1.109 0.559  1.109 0.663  1.109 0.767
1c#app#app12#app1251/m  -1.453 1.093  -1.297 1.016  -1.143 0.936  -1.140 0.705  -1.033 0.516  -0.983 0.303  -0.946 0.078  -0.841 -0.131  -0.826 -0.362  -0.773 -0.583  -0.669 -0.792  -0.669 -1.026  -0.669 -0.947  -0.669 -0.713  -0.669 -0.479  -0.669 -0.246  -0.563 -0.056  -0.512 0.157  -0.454 0.367  -0.356 0.559  -0.341 0.779  -0.199 0.688  -0.191 0.457  -0.042 0.285  -0.042 0.052  -0.028 -0.176  0.115 -0.351  0.115 -0.585  0.115 -0.818  0.190 -1.021  0.272 -0.986  0.409 -0.809  0.429 -0.583  0.429 -0.349  0.520 -0.137  0.585 0.081  0.585 0.315  0.585 0.549  0.742 0.625  0.742 0.859  0.899 0.935  0.899 0.702  1.053 0.622  1.056 0.391  1.056 0.157  1.213 -0.011  1.213 -0.245  1.216 -0.476  1.370 -0.556  1.370 -0.789
1c#app#app12#app1251/a  -0.982 1.418  -0.880 1.316  -0.778 1.214  -0.752 1.081  -0.731 0.957  -0.587 0.957  -0.443 0.957  -0.298 0.957  -0.290 0.821  -0.240 0.727  -0.096 0.727  0.048 0.727  0.192 0.727  0.337 0.727  0.401 0.647  0.401 0.503  0.539 0.496  0.632 0.445  0.632 0.301  0.741 0.265  0.862 0.243  0.862 0.098  0.862 0.116  0.862 0.260  0.724 0.265  0.579 0.265  0.435 0.265  0.291 0.265  0.154 0.248  0.052 0.146  -0.050 0.044  -0.152 -0.058  -0.254 -0.160  -0.290 -0.289  -0.295 -0.431  -0.397 -0.533  -0.499 -0.635  -0.521 -0.770  -0.521 -0.914  -0.521 -1.059  -0.521 -1.203  -0.521 -1.347  -0.378 -1.348  -0.234 -1.348  -0.089 -1.348  0.055 -1.348  0.199 -1.348  0.343 -1.348  0.488 -1.348  0.632 -1.348
1c#app#app12#app1251/n  -1.478 1.267  -1.359 1.147  -1.239 1.028  -1.120 0.909  -1.002 0.789  -1.002 0.620  -0.930 0.481  -0.811 0.362  -0.764 0.212  -0.741 0.053  -0.621 -0.066  -0.526 -0.195  -0.526 -0.364  -0.526 -0.533  -0.481 -0.683  -0.362 -0.802  -0.287 -0.940  -0.287 -1.109  -0.172 -1.230  -0.053 -1.350  -0.049 -1.189  -0.049 -1.020  -0.049 -0.851  -0.049 -0.682  -0.049 -0.514  -0.010 -0.361  0.109 -0.242  0.189 -0.106  0.189 0.063  0.189 0.232  0.189 0.401  0.201 0.564  0.320 0.684  0.427 0.808  0.427 0.977  0.544 1.029  0.665 0.981  0.665 0.812  0.665 0.643  0.665 0.475  0.674 0.314  0.842 0.314  0.903 0.206  0.903 0.038  0.903 -0.131  0.903 -0.300  0.903 -0.469  0.903 -0.638  1.022 -0.757  1.141 -0.877
1c#app#app12#app1251/o  -0.316 1.320  -0.316 1.185  -0.348 1.063  -0.444 0.967  -0.539 0.872  -0.541 0.737  -0.541 0.602  -0.541 0.467  -0.541 0.332  -0.541 0.197  -0.541 0.062  -0.587 -0.027  -0.722 -0.027  -0.765 -0.119  -0.765 -0.254  -0.765 -0.389  -0.765 -0.524  -0.765 -0.659  -0.765 -0.794  -0.762 -0.928  -0.667 -1.023  -0.571 -1.119  -0.449 -1.149  -0.313 -1.149  -0.178 -1.149  -0.057 -1.115  0.038 -1.020  0.134 -0.925  0.269 -0.925  0.390 -0.892  0.486 -0.796  0.581 -0.701  0.582 -0.566  0.614 -0.444  0.709 -0.349  0.805 -0.253  0.806 -0.119  0.806 0.016  0.806 0.151  0.806 0.286  0.806 0.422  0.806 0.557  0.806 0.692  0.806 0.827  0.742 0.935  0.646 1.031  0.538 1.095  0.403 1.095  0.357 1.185  0.357 1.320
