1c#app#app14#app1487/w  -0.557 1.545  -0.557 1.403  -0.557 1.261  -0.613 1.176  -0.742 1.162  -0.742 1.020  -0.742 0.878  -0.742 0.736  -0.742 0.594  -0.742 0.452  -0.742 0.310  -0.742 0.168  -0.742 0.026  -0.742 -0.116  -0.742 -0.258  -0.742 -0.400  -0.742 -0.542  -0.742 -0.684  -0.742 -0.827  -0.631 -0.857  -0.557 -0.789  -0.531 -0.673  -0.389 -0.673  -0.372 -0.548  -0.290 -0.488  -0.187 -0.448  -0.187 -0.306  -0.187 -0.164  -0.091 -0.118  -0.002 -0.171  0.005 -0.310  0.105 -0.411  0.206 -0.511  0.306 -0.611  0.423 -0.673  0.565 -0.673  0.707 -0.673  0.816 -0.593  0.916 -0.493  0.922 -0.353  0.987 -0.238  1.087 -0.137  1.106 -0.003  1.106 0.139  1.136 0.252  1.278 0.252  1.291 0.380  1.291 0.522  1.291 0.664  1.291 0.806
1c#app#app14#app1487/a  0.886 0.917  0.715 0.917  0.544 0.917  0.373 0.917  0.202 0.917  0.031 0.917  -0.140 0.917  -0.311 0.917  -0.481 0.917  -0.520 0.785  -0.520 0.614  -0.643 0.566  -0.814 0.566  -0.872 0.452  -0.872 0.281  -0.945 0.141  -1.066 0.020  -1.186 -0.101  -1.223 -0.257  -1.223 -0.428  -1.223 -0.599  -1.223 -0.770  -1.123 -0.841  -0.952 -0.841  -0.781 -0.841  -0.610 -0.841  -0.439 -0.841  -0.268 -0.841  -0.097 -0.841  0.073 -0.841  0.183 -0.779  0.183 -0.608  0.235 -0.489  0.406 -0.489  0.535 -0.447  0.535 -0.276  0.567 -0.137  0.738 -0.137  0.886 -0.115  0.886 0.056  0.886 0.227  0.886 0.398  0.886 0.562  0.886 0.391  0.886 0.220  0.886 0.049  0.886 -0.122  0.996 -0.247  1.117 -0.368  1.238 -0.489
1c#app#app14#app1487/r  -0.692 -1.527  -0.606 -1.527  -0.519 -1.527  -0.446 -1.513  -0.446 -1.426  -0.446 -1.339  -0.446 -1.252  -0.446 -1.165  -0.446 -1.079  -0.446 -0.992  -0.446 -0.905  -0.446 -0.818  -0.446 -0.731  -0.446 -0.644  -0.446 -0.557  -0.446 -0.471  -0.446 -0.384  -0.446 -0.297  -0.387 -0.234  -0.326 -0.173  -0.264 -0.111  -0.203 -0.050  -0.199 0.035  -0.199 0.122  -0.199 0.209  -0.199 0.296  -0.199 0.383  -0.184 0.463  -0.122 0.525  -0.061 0.586  0.001 0.648  0.048 0.715  0.048 0.802  0.048 0.889  0.082 0.942  0.169 0.942  0.255 0.942  0.342 0.942  0.429 0.942  0.516 0.942  0.585 0.899  0.646 0.837  0.708 0.776  0.769 0.715  0.848 0.695  0.935 0.695  1.022 0.695  1.109 0.695  1.196 0.695  1.283 0.695
1c#app#app14#app1487/t  1.044 0.118  1.212 0.118  1.157 0.118  0.989 0.118  0.821 0.118  0.653 0.118  0.485 0.118  0.317 0.118  0.149 0.118  -0.019 0.118  -0.188 0.118  -0.356 0.118  -0.524 0.118  -0.692 0.118  -0.829 0.042  -0.947 -0.077  -0.905 -0.005  -0.807 0.132  -0.709 0.269  -0.612 0.406  -0.514 0.543  -0.416 0.679  -0.318 0.816  -0.221 0.953  -0.123 1.090  -0.025 1.226  0.072 1.363  0.146 1.424  0.146 1.255  0.146 1.087  0.146 0.919  0.146 0.751  0.146 0.583  0.146 0.415  0.146 0.247  0.146 0.079  0.146 -0.089  0.146 -0.257  0.103 -0.416  0.028 -0.566  -0.047 -0.716  -0.079 -0.877  -0.079 -1.045  -0.079 -1.213  -0.079 -1.381  -0.079 -1.549  -0.079 -1.717  -0.079 -1.885  0.027 -2.010  0.146 -2.128
1c#app#app14#app1487/y  -0.449 1.077  -0.449 0.946  -0.449 0.815  -0.449 0.683  -0.406 0.595  -0.288 0.582  -0.288 0.450  -0.288 0.319  -0.202 0.274  -0.087 0.234  0.005 0.141  0.125 0.113  0.218 0.171  0.270 0.292  0.322 0.412  0.374 0.533  0.425 0.654  0.477 0.774  0.529 0.895  0.580 1.016  0.632 1.136  0.676 1.217  0.676 1.086  0.589 0.990  0.503 0.893  0.444 0.775  0.386 0.658  0.327 0.540  0.268 0.423  0.209 0.306  0.151 0.188  0.092 0.071  0.033 -0.047  0.033 -0.178  -0.012 -0.298  -0.071 -0.416  -0.131 -0.532  -0.224 -0.625  -0.288 -0.730  -0.288 -0.861  -0.288 -0.992  -0.288 -1.124  -0.325 -1.246  -0.384 -1.363  -0.443 -1.481  -0.449 -1.611  -0.449 -1.742  -0.449 -1.873  -0.449 -2.004  -0.449 -2.136
1c#app#app14#app1487/h  -0.194 2.000  -0.194 1.852  -0.194 1.704  -0.194 1.557  -0.194 1.409  -0.194 1.261  -0.242 1.125  -0.308 0.993  -0.374 0.861  -0.388 0.716  -0.388 0.569  -0.388 0.421  -0.388 0.273  -0.388 0.126  -0.422 -0.014  -0.488 -0.146  -0.554 -0.278  -0.583 -0.419  -0.583 -0.567  -0.583 -0.714  -0.583 -0.862  -0.583 -1.010  -0.583 -1.157  -0.583 -1.305  -0.438 -1.308  -0.388 -1.210  -0.352 -1.077  -0.248 -0.973  -0.194 -0.847  -0.176 -0.707  -0.072 -0.602  0.001 -0.485  0.001 -0.337  0.104 -0.232  0.204 -0.124  0.270 0.008  0.336 0.140  0.409 0.267  0.513 0.372  0.631 0.443  0.779 0.443  0.779 0.296  0.779 0.148  0.779 0.001  0.784 -0.145  0.888 -0.249  0.974 -0.362  0.974 -0.509  1.064 -0.620  1.168 -0.724
1c#app#app14#app1487/u  -0.800 1.235  -0.800 1.131  -0.800 1.028  -0.800 0.924  -0.800 0.820  -0.800 0.716  -0.800 0.612  -0.800 0.509  -0.800 0.405  -0.800 0.301  -0.800 0.197  -0.800 0.093  -0.800 -0.010  -0.800 -0.114  -0.800 -0.218  -0.800 -0.322  -0.800 -0.426  -0.800 -0.529  -0.743 -0.610  -0.670 -0.683  -0.597 -0.756  -0.523 -0.830  -0.428 -0.850  -0.324 -0.850  -0.220 -0.850  -0.142 -0.788  -0.069 -0.715  0.005 -0.641  0.078 -0.568  0.175 -0.552  0.279 -0.552  0.383 -0.552  0.459 -0.485  0.532 -0.412  0.606 -0.338  0.679 -0.265  0.752 -0.191  0.826 -0.118  0.899 -0.045  0.973 0.029  0.987 0.127  0.987 0.230  0.987 0.334  1.055 0.410  1.129 0.483  1.202 0.556  1.276 0.630  1.285 0.730  1.285 0.834  1.285 0.937
1c#app#app14#app1487/m  -0.909 1.383  -0.909 1.204  -0.909 1.025  -0.909 0.846  -0.909 0.666  -0.909 0.487  -0.909 0.308  -0.998 0.166  -1.125 0.039  -1.135 -0.136  -1.135 -0.315  -1.135 -0.494  -1.109 -0.648  -0.930 -0.648  -0.751 -0.648  -0.683 -0.537  -0.637 -0.377  -0.511 -0.250  -0.458 -0.093  -0.417 0.070  -0.290 0.196  -0.232 0.351  -0.232 0.430  -0.232 0.251  -0.232 0.072  -0.232 -0.108  -0.232 -0.287  -0.189 -0.423  -0.009 -0.423  -0.006 -0.599  0.123 -0.648  0.278 -0.590  0.405 -0.463  0.532 -0.336  0.658 -0.210  0.832 -0.197  0.897 -0.082  0.945 0.077  1.072 0.204  1.122 0.362  1.183 0.480  1.334 0.480  1.155 0.480  1.122 0.333  1.122 0.154  1.160 -0.009  1.287 -0.136  1.348 -0.290  1.348 -0.469  1.348 -0.648
1c#app#app14#app1487/a  0.755 1.373  0.635 1.254  0.516 1.134  0.391 1.026  0.222 1.026  0.055 1.020  -0.065 0.901  -0.184 0.781  -0.304 0.662  -0.424 0.542  -0.543 0.422  -0.675 0.333  -0.844 0.333  -0.980 0.299  -0.980 0.129  -0.998 -0.032  -1.117 -0.152  -1.237 -0.272  -1.327 -0.404  -1.327 -0.573  -1.293 -0.708  -1.123 -0.708  -0.954 -0.708  -0.785 -0.708  -0.616 -0.708  -0.447 -0.708  -0.280 -0.702  -0.160 -0.583  -0.040 -0.463  0.079 -0.343  0.199 -0.224  0.318 -0.104  0.438 0.016  0.558 0.135  0.677 0.255  0.755 0.392  0.755 0.561  0.755 0.629  0.755 0.459  0.755 0.290  0.755 0.121  0.755 -0.048  0.755 -0.218  0.755 -0.387  0.755 -0.556  0.755 -0.725  0.755 -0.894  0.763 -1.055  0.933 -1.055  1.102 -1.055
1c#app#app14#app1487/n  -0.952 1.189  -0.952 1.031  -0.952 0.873  -0.952 0.716  -0.952 0.558  -0.952 0.400  -0.952 0.242  -0.952 0.084  -0.952 -0.073  -0.952 -0.231  -0.952 -0.389  -0.952 -0.547  -0.952 -0.705  -0.952 -0.863  -0.813 -0.881  -0.655 -0.881  -0.607 -0.771  -0.607 -0.613  -0.527 -0.536  -0.369 -0.536  -0.262 -0.485  -0.262 -0.327  -0.247 -0.175  -0.135 -0.064  -0.024 0.048  0.083 0.162  0.083 0.319  0.083 0.477  0.083 0.635  0.083 0.793  0.189 0.844  0.347 0.844  0.428 0.767  0.428 0.609  0.475 0.499  0.633 0.499  0.773 0.481  0.773 0.323  0.773 0.165  0.773 0.007  0.773 -0.151  0.890 -0.191  1.048 -0.191  1.118 -0.279  1.118 -0.437  1.176 -0.536  1.334 -0.536  1.463 -0.565  1.463 -0.723  1.463 -0.881
1c#app#app14#app1487/o  -0.744 0.611  -0.591 0.611  -0.442 0.623  -0.334 0.732  -0.225 0.840  -0.117 0.949  -0.008 1.057  0.100 1.165  0.242 1.192  0.396 1.192  0.549 1.192  0.703 1.192  0.707 1.043  0.707 0.889  0.707 0.736  0.707 0.582  0.707 0.429  0.707 0.276  0.707 0.122  0.707 -0.031  0.707 -0.185  0.707 -0.338  0.707 -0.491  0.639 -0.617  0.531 -0.725  0.422 -0.834  0.314 -0.942  0.206 -1.051  0.126 -1.171  0.126 -1.325  0.068 -1.420  -0.085 -1.420  -0.217 -1.367  -0.325 -1.259  -0.434 -1.150  -0.454 -1.006  -0.454 -0.852  -0.554 -0.740  -0.662 -0.632  -0.744 -0.512  -0.744 -0.359  -0.744 -0.205  -0.744 -0.052  -0.694 0.081  -0.586 0.189  -0.478 0.298  -0.454 0.441  -0.454 0.595  -0.454 0.748  -0.454 0.902
