1c#app#app18#app1858/y  -0.927 1.108  -0.759 1.108  -0.727 0.972  -0.727 0.804  -0.777 0.657  -0.895 0.538  -0.927 0.383  -0.927 0.216  -0.869 0.106  -0.727 0.080  -0.727 -0.088  -0.565 -0.094  -0.397 -0.094  -0.229 -0.094  -0.061 -0.094  0.075 -0.063  0.075 0.105  0.242 0.106  0.275 0.241  0.275 0.409  0.275 0.577  0.302 0.734  0.420 0.852  0.475 0.997  0.475 1.050  0.493 0.925  0.612 1.044  0.676 1.030  0.644 0.875  0.525 0.756  0.475 0.609  0.475 0.441  0.475 0.273  0.475 0.105  0.475 -0.063  0.339 -0.094  0.275 -0.198  0.275 -0.366  0.275 -0.534  0.275 -0.702  0.275 -0.870  0.175 -0.996  0.075 -1.123  0.075 -1.290  0.075 -1.458  0.075 -1.626  -0.022 -1.697  -0.126 -1.762  -0.093 -1.897  0.075 -1.897
1c#app#app18#app1858/o  -0.181 1.383  -0.181 1.241  -0.181 1.099  -0.217 0.993  -0.358 0.993  -0.500 0.993  -0.571 0.922  -0.571 0.780  -0.571 0.638  -0.571 0.497  -0.571 0.355  -0.572 0.214  -0.713 0.214  -0.855 0.214  -0.960 0.178  -0.960 0.036  -0.960 -0.106  -0.888 -0.175  -0.746 -0.175  -0.605 -0.175  -0.571 -0.283  -0.571 -0.425  -0.571 -0.567  -0.571 -0.708  -0.571 -0.850  -0.533 -0.954  -0.391 -0.954  -0.250 -0.954  -0.108 -0.954  0.034 -0.954  0.175 -0.954  0.317 -0.954  0.459 -0.954  0.600 -0.953  0.700 -0.852  0.800 -0.752  0.901 -0.652  0.988 -0.546  0.988 -0.404  0.988 -0.263  0.988 -0.121  0.988 0.021  0.988 0.162  0.988 0.304  0.988 0.446  0.988 0.588  0.899 0.693  0.798 0.793  0.698 0.893  0.598 0.993
1c#app#app18#app1858/u  -0.644 1.022  -0.811 1.022  -0.978 1.022  -1.128 1.005  -1.128 0.838  -1.128 0.670  -1.128 0.503  -1.128 0.336  -1.128 0.169  -1.128 0.001  -1.128 -0.166  -0.984 -0.189  -0.817 -0.189  -0.650 -0.189  -0.483 -0.189  -0.315 -0.189  -0.159 -0.178  -0.159 -0.011  -0.056 0.053  0.083 0.081  0.083 0.249  0.203 0.295  0.325 0.341  0.325 0.508  0.325 0.675  0.262 0.780  0.095 0.780  0.238 0.780  0.325 0.700  0.320 0.538  0.153 0.538  0.083 0.440  0.083 0.273  0.083 0.106  0.083 -0.061  0.111 -0.217  0.229 -0.335  0.325 -0.463  0.325 -0.630  0.449 -0.674  0.567 -0.722  0.567 -0.890  0.708 -0.916  0.856 -0.962  0.974 -1.081  1.110 -1.158  1.277 -1.158  1.444 -1.158  1.536 -1.083  1.536 -0.916
1c#app#app18#app1858/k  -0.453 1.970  -0.624 1.799  -0.712 1.594  -0.712 1.353  -0.712 1.111  -0.649 0.933  -0.453 0.888  -0.453 0.646  -0.453 0.405  -0.453 0.164  -0.453 -0.078  -0.453 -0.319  -0.453 -0.560  -0.453 -0.802  -0.569 -0.995  -0.712 -1.177  -0.692 -1.398  -0.453 -1.395  -0.453 -1.153  -0.453 -0.912  -0.453 -0.671  -0.453 -0.429  -0.453 -0.188  -0.453 0.053  -0.315 0.156  -0.074 0.156  0.065 0.053  0.125 -0.163  0.296 -0.334  0.324 -0.563  0.508 -0.621  0.583 -0.787  0.688 -0.985  0.842 -1.115  0.842 -0.874  0.842 -0.632  0.842 -0.391  0.842 -0.150  0.842 0.092  0.842 0.333  0.842 0.574  0.842 0.816  0.842 0.810  0.736 0.674  0.583 0.586  0.512 0.415  0.271 0.415  0.065 0.380  0.047 0.156  -0.194 0.156
1c#app#app18#app1858/n  -1.210 -1.207  -1.076 -1.207  -0.943 -1.207  -0.812 -1.205  -0.812 -1.072  -0.812 -0.939  -0.812 -0.806  -0.812 -0.672  -0.812 -0.539  -0.812 -0.406  -0.812 -0.273  -0.812 -0.140  -0.812 -0.007  -0.812 0.127  -0.812 0.260  -0.805 0.390  -0.711 0.484  -0.617 0.578  -0.523 0.673  -0.428 0.767  -0.301 0.781  -0.168 0.781  -0.035 0.781  0.099 0.781  0.232 0.781  0.365 0.781  0.381 0.663  0.381 0.530  0.381 0.397  0.381 0.503  0.381 0.636  0.381 0.769  0.502 0.781  0.635 0.781  0.768 0.781  0.778 0.657  0.778 0.524  0.778 0.391  0.778 0.258  0.778 0.125  0.778 -0.009  0.778 -0.142  0.778 -0.275  0.778 -0.408  0.778 -0.541  0.778 -0.674  0.778 -0.808  0.778 -0.941  0.778 -1.074  0.778 -1.207
1c#app#app18#app1858/o  0.015 0.515  0.015 0.662  0.006 0.800  -0.141 0.800  -0.282 0.788  -0.386 0.684  -0.490 0.580  -0.610 0.515  -0.757 0.515  -0.840 0.452  -0.840 0.305  -0.912 0.230  -1.059 0.230  -1.125 0.150  -1.125 0.003  -1.125 -0.144  -1.125 -0.291  -1.056 -0.409  -0.952 -0.513  -0.848 -0.616  -0.744 -0.720  -0.641 -0.824  -0.529 -0.910  -0.382 -0.910  -0.236 -0.910  -0.089 -0.910  0.058 -0.910  0.205 -0.910  0.352 -0.910  0.498 -0.910  0.645 -0.910  0.792 -0.910  0.870 -0.841  0.870 -0.694  0.870 -0.547  0.870 -0.400  0.870 -0.253  0.870 -0.106  0.870 0.040  0.870 0.187  0.870 0.334  0.870 0.481  0.870 0.628  0.870 0.774  0.749 0.800  0.602 0.800  0.585 0.930  0.585 1.077  0.447 1.085  0.300 1.085
1c#app#app18#app1858/w  -0.757 0.488  -0.757 0.649  -0.859 0.708  -0.978 0.751  -0.978 0.912  -0.978 0.784  -0.978 0.623  -1.004 0.488  -1.165 0.488  -1.198 0.360  -1.198 0.199  -1.198 0.037  -1.198 -0.124  -1.087 -0.174  -0.926 -0.174  -0.764 -0.174  -0.603 -0.174  -0.537 -0.079  -0.501 0.047  -0.340 0.047  -0.316 0.184  -0.238 0.267  -0.096 0.286  -0.096 0.448  -0.096 0.367  -0.096 0.206  -0.096 0.044  -0.096 -0.117  0.009 -0.174  0.125 -0.219  0.125 -0.380  0.229 -0.498  0.343 -0.612  0.503 -0.615  0.566 -0.713  0.605 -0.835  0.766 -0.835  0.927 -0.835  1.007 -0.753  1.029 -0.615  1.191 -0.615  1.227 -0.490  1.227 -0.329  1.232 -0.169  1.346 -0.055  1.448 0.064  1.448 0.225  1.329 0.267  1.227 0.327  1.227 0.488
1c#app#app18#app1858/w  -0.926 0.754  -0.926 0.897  -1.005 0.960  -1.132 0.946  -1.132 0.803  -1.132 0.661  -1.132 0.519  -1.132 0.376  -1.132 0.234  -1.132 0.092  -1.132 -0.051  -1.010 -0.071  -0.926 -0.129  -0.926 -0.272  -0.926 -0.414  -0.853 -0.483  -0.710 -0.483  -0.568 -0.483  -0.452 -0.421  -0.351 -0.320  -0.226 -0.277  -0.101 -0.260  -0.101 -0.117  -0.101 0.025  -0.101 0.104  -0.101 -0.039  -0.101 -0.181  -0.055 -0.277  0.088 -0.277  0.105 -0.402  0.166 -0.483  0.308 -0.483  0.451 -0.483  0.593 -0.483  0.736 -0.483  0.878 -0.483  1.020 -0.483  1.136 -0.456  1.136 -0.314  1.241 -0.277  1.342 -0.235  1.342 -0.093  1.342 0.049  1.302 0.175  1.202 0.276  1.136 0.391  1.136 0.533  1.008 0.548  0.930 0.612  0.930 0.754
1c#app#app18#app1858/h  -0.373 1.116  -0.538 1.116  -0.605 1.018  -0.605 0.915  -0.605 1.079  -0.605 1.244  -0.605 1.286  -0.605 1.121  -0.605 0.957  -0.605 0.792  -0.605 0.627  -0.605 0.462  -0.605 0.297  -0.605 0.133  -0.605 -0.032  -0.605 -0.197  -0.605 -0.362  -0.605 -0.527  -0.605 -0.691  -0.605 -0.856  -0.605 -0.921  -0.605 -0.756  -0.501 -0.635  -0.384 -0.518  -0.373 -0.358  -0.373 -0.193  -0.358 -0.044  -0.193 -0.044  -0.141 0.070  -0.141 0.234  -0.141 0.399  0.002 0.420  0.167 0.420  0.329 0.413  0.446 0.297  0.565 0.188  0.730 0.188  0.786 0.079  0.828 -0.044  0.993 -0.044  1.018 -0.183  1.018 -0.348  1.018 -0.513  1.018 -0.678  1.018 -0.843  1.018 -1.007  1.018 -1.172  1.152 -1.203  1.250 -1.270  1.250 -1.435
1c#app#app18#app1858/a  0.447 0.408  0.447 0.583  0.381 0.692  0.206 0.692  0.164 0.825  0.139 0.975  -0.035 0.975  -0.210 0.975  -0.385 0.975  -0.403 0.818  -0.452 0.692  -0.627 0.692  -0.802 0.692  -0.970 0.685  -0.970 0.510  -0.970 0.335  -0.970 0.160  -1.110 0.125  -1.254 0.094  -1.254 -0.081  -1.156 -0.159  -0.981 -0.159  -0.970 -0.323  -0.915 -0.442  -0.740 -0.442  -0.565 -0.442  -0.390 -0.442  -0.215 -0.442  -0.063 -0.386  0.060 -0.262  0.164 -0.130  0.164 0.045  0.164 0.220  0.164 0.395  0.164 0.247  0.201 0.087  0.325 -0.036  0.447 -0.161  0.447 -0.336  0.516 -0.442  0.691 -0.442  0.731 -0.577  0.757 -0.726  0.932 -0.726  1.080 -0.791  1.204 -0.915  1.340 -1.009  1.515 -1.009  1.690 -1.009  1.865 -1.009
1c#app#app18#app1858/t  0.640 1.417  0.440 1.417  0.378 1.279  0.378 1.079  0.378 0.879  0.378 0.679  0.378 0.480  0.378 0.280  0.378 0.080  0.378 -0.120  0.210 -0.151  0.117 -0.258  0.117 -0.458  0.117 -0.657  0.117 -0.857  0.117 -1.057  0.117 -1.257  0.117 -1.456  0.316 -1.458  0.288 -1.354  0.157 -1.204  0.025 -1.054  -0.107 -0.903  -0.238 -0.753  -0.370 -0.603  -0.501 -0.452  -0.633 -0.302  -0.764 -0.152  -0.896 -0.001  -1.027 0.149  -1.159 0.299  -1.290 0.450  -1.422 0.600  -1.295 0.633  -1.095 0.633  -0.905 0.610  -0.764 0.468  -0.604 0.372  -0.404 0.372  -0.204 0.372  -0.005 0.372  0.172 0.317  0.313 0.175  0.486 0.110  0.686 0.110  0.886 0.110  1.086 0.110  1.285 0.110  1.424 0.172  1.424 0.372
