1c#app#app26#app2629/b  0.818 2.124  0.683 1.989  0.635 1.819  0.635 1.629  0.635 1.439  0.570 1.264  0.485 1.094  0.336 1.028  0.270 0.904  0.177 0.752  0.087 0.599  0.037 0.430  -0.098 0.295  -0.232 0.161  -0.278 -0.010  -0.278 -0.201  -0.377 -0.350  -0.460 -0.505  -0.540 -0.615  -0.643 -0.703  -0.738 -0.798  -0.928 -0.798  -1.008 -0.908  -0.890 -0.981  -0.737 -0.892  -0.643 -0.741  -0.614 -0.557  -0.529 -0.387  -0.434 -0.224  -0.300 -0.090  -0.165 0.045  -0.031 0.179  0.087 0.320  0.118 0.480  0.270 0.442  0.315 0.298  0.453 0.245  0.495 0.072  0.630 -0.062  0.635 -0.250  0.635 -0.440  0.635 -0.631  0.619 -0.814  0.485 -0.949  0.308 -0.981  0.118 -0.981  -0.073 -0.981  -0.263 -0.981  -0.453 -0.981  -0.460 -0.798
1c#app#app26#app2629/e  -0.646 0.020  -0.458 0.020  -0.271 0.020  -0.083 0.020  0.104 0.020  0.292 0.020  0.479 0.020  0.573 0.114  0.651 0.223  0.839 0.223  1.026 0.223  1.182 0.255  1.182 0.442  1.182 0.630  1.182 0.817  1.010 0.832  0.822 0.832  0.676 0.932  0.543 1.006  0.411 0.873  0.240 0.832  0.053 0.832  -0.037 0.734  -0.119 0.629  -0.307 0.629  -0.495 0.629  -0.682 0.629  -0.849 0.608  -0.854 0.426  -1.042 0.426  -1.052 0.249  -1.052 0.061  -1.052 -0.126  -1.052 -0.314  -1.052 -0.501  -1.052 -0.689  -1.052 -0.876  -0.984 -0.996  -0.797 -0.996  -0.609 -0.996  -0.422 -0.996  -0.234 -0.996  -0.047 -0.996  0.141 -0.996  0.329 -0.996  0.370 -0.850  0.501 -0.793  0.688 -0.793  0.846 -0.722  0.979 -0.590
1c#app#app26#app2629/w  -0.369 0.777  -0.408 0.942  -0.589 0.886  -0.734 0.742  -0.863 0.592  -0.906 0.405  -1.028 0.252  -1.078 0.068  -1.193 -0.088  -1.250 -0.269  -1.357 -0.428  -1.266 -0.541  -1.100 -0.448  -0.926 -0.376  -0.863 -0.235  -0.687 -0.200  -0.543 -0.056  -0.399 0.089  -0.207 0.118  -0.062 0.261  -0.032 0.448  0.159 0.481  0.290 0.631  0.348 0.777  0.455 0.680  0.455 0.476  0.331 0.324  0.187 0.179  0.042 0.035  -0.039 -0.135  -0.130 -0.302  -0.204 -0.475  -0.204 -0.679  -0.369 -0.719  -0.316 -0.870  -0.139 -0.805  0.024 -0.706  0.228 -0.706  0.432 -0.706  0.631 -0.694  0.775 -0.550  0.920 -0.405  0.949 -0.214  1.140 -0.185  1.284 -0.041  1.429 0.104  1.573 0.248  1.763 0.283  1.910 0.420  1.938 0.613
1c#app#app26#app2629/i  0.054 0.218  -0.036 0.128  -0.147 0.088  -0.207 0.020  -0.253 -0.088  -0.343 -0.178  -0.433 -0.269  -0.467 -0.382  -0.543 -0.433  -0.597 -0.506  -0.647 -0.613  -0.741 -0.694  -0.858 -0.704  -0.858 -0.816  -0.858 -0.699  -0.860 -0.824  -0.988 -0.824  -0.988 -0.951  -0.864 -0.954  -0.737 -0.954  -0.609 -0.954  -0.482 -0.954  -0.354 -0.954  -0.337 -0.844  -0.280 -0.733  -0.213 -0.625  -0.145 -0.517  -0.077 -0.409  -0.010 -0.301  0.058 -0.193  0.125 -0.085  0.193 0.024  0.260 0.132  0.328 0.240  0.395 0.348  0.463 0.456  0.530 0.564  0.598 0.672  0.665 0.780  0.733 0.888  0.801 0.996  0.868 1.104  0.936 1.212  1.016 1.310  1.096 1.376  1.085 1.260  0.966 1.252  0.960 1.130  0.838 1.130  0.966 1.130
1c#app#app26#app2629/l  0.960 1.620  0.854 1.620  0.761 1.607  0.761 1.502  0.761 1.396  0.761 1.291  0.734 1.197  0.660 1.122  0.585 1.047  0.511 0.973  0.436 0.898  0.361 0.824  0.287 0.749  0.212 0.674  0.167 0.588  0.167 0.482  0.113 0.431  0.008 0.431  -0.032 0.364  -0.032 0.259  -0.032 0.153  -0.032 0.048  -0.096 -0.031  -0.171 -0.105  -0.230 -0.187  -0.230 -0.292  -0.265 -0.362  -0.370 -0.362  -0.462 -0.396  -0.536 -0.471  -0.611 -0.545  -0.626 -0.645  -0.626 -0.750  -0.723 -0.759  -0.825 -0.763  -0.825 -0.868  -0.808 -0.957  -0.703 -0.957  -0.597 -0.957  -0.492 -0.957  -0.386 -0.957  -0.281 -0.957  -0.175 -0.957  -0.070 -0.957  0.036 -0.957  0.141 -0.957  0.167 -0.877  0.167 -0.772  0.259 -0.759  0.365 -0.759
1c#app#app26#app2629/d  -0.323 -0.062  -0.365 0.062  -0.533 0.062  -0.662 -0.029  -0.816 -0.062  -0.983 -0.062  -1.127 -0.119  -1.245 -0.238  -1.363 -0.356  -1.444 -0.490  -1.444 -0.657  -1.345 -0.784  -1.188 -0.810  -1.021 -0.810  -0.854 -0.810  -0.811 -0.685  -0.644 -0.685  -0.477 -0.685  -0.434 -0.561  -0.272 -0.535  -0.123 -0.461  0.006 -0.357  0.124 -0.238  0.270 -0.187  0.397 -0.090  0.482 0.053  0.561 0.199  0.680 0.317  0.798 0.435  0.916 0.554  1.035 0.672  1.114 0.818  1.172 0.972  1.229 1.116  1.296 1.111  1.182 1.058  1.148 0.910  1.030 0.792  0.912 0.674  0.792 0.560  0.674 0.511  0.609 0.371  0.490 0.252  0.372 0.134  0.254 0.016  0.135 -0.103  0.017 -0.221  -0.074 -0.351  -0.074 -0.518  -0.074 -0.685
1c#app#app26#app2629/e  0.162 0.127  0.265 0.230  0.376 0.313  0.521 0.313  0.627 0.407  0.735 0.499  0.880 0.499  0.906 0.619  0.906 0.764  0.906 0.909  0.906 1.055  0.762 1.057  0.617 1.057  0.472 1.057  0.326 1.057  0.181 1.057  0.049 1.000  -0.081 0.935  -0.210 0.869  -0.210 0.724  -0.316 0.685  -0.442 0.638  -0.545 0.536  -0.648 0.433  -0.750 0.330  -0.768 0.192  -0.824 0.070  -0.927 -0.033  -0.953 -0.167  -0.953 -0.313  -0.953 -0.458  -0.953 -0.603  -0.953 -0.748  -0.862 -0.802  -0.768 -0.853  -0.757 -0.988  -0.612 -0.988  -0.467 -0.988  -0.321 -0.988  -0.176 -0.988  -0.031 -0.988  0.115 -0.988  0.260 -0.988  0.405 -0.988  0.534 -0.971  0.534 -0.826  0.655 -0.802  0.720 -0.721  0.760 -0.617  0.906 -0.617
1c#app#app26#app2629/r  0.584 1.391  0.471 1.279  0.359 1.166  0.246 1.054  0.134 0.941  0.021 0.829  -0.053 0.700  -0.053 0.541  -0.053 0.382  -0.129 0.254  -0.241 0.142  -0.265 -0.007  -0.265 -0.166  -0.278 -0.320  -0.391 -0.432  -0.503 -0.545  -0.616 -0.657  -0.690 -0.786  -0.691 -0.944  -0.850 -0.944  -0.902 -1.051  -0.956 -1.156  -1.114 -1.155  -1.114 -0.996  -1.007 -0.944  -0.902 -0.890  -0.902 -0.731  -0.789 -0.618  -0.677 -0.506  -0.564 -0.393  -0.441 -0.307  -0.282 -0.307  -0.123 -0.307  0.010 -0.244  0.123 -0.131  0.159 0.013  0.214 0.118  0.372 0.119  0.372 0.278  0.479 0.330  0.584 0.384  0.585 0.542  0.744 0.542  0.903 0.542  1.062 0.542  1.221 0.542  1.380 0.542  1.539 0.542  1.645 0.489  1.645 0.330
1c#app#app26#app2629/e  -0.557 0.017  -0.387 0.017  -0.218 0.017  -0.049 0.017  0.121 0.017  0.270 0.065  0.389 0.185  0.548 0.211  0.717 0.211  0.886 0.211  1.056 0.211  1.216 0.233  1.335 0.353  1.388 0.501  1.388 0.670  1.343 0.794  1.174 0.794  1.005 0.794  0.835 0.794  0.666 0.794  0.497 0.794  0.353 0.732  0.234 0.612  0.070 0.600  -0.100 0.600  -0.168 0.499  -0.244 0.406  -0.413 0.406  -0.582 0.406  -0.752 0.405  -0.871 0.285  -0.946 0.147  -0.985 0.017  -1.140 0.003  -1.140 -0.167  -1.140 -0.336  -1.140 -0.505  -1.140 -0.674  -1.058 -0.761  -0.946 -0.818  -0.913 -0.956  -0.744 -0.956  -0.575 -0.956  -0.406 -0.956  -0.236 -0.956  -0.067 -0.956  0.102 -0.956  0.272 -0.956  0.441 -0.956  0.610 -0.956
1c#app#app26#app2629/d  -0.370 -0.135  -0.533 -0.135  -0.697 -0.135  -0.860 -0.135  -1.024 -0.135  -1.188 -0.135  -1.310 -0.176  -1.310 -0.339  -1.325 -0.488  -1.428 -0.549  -1.321 -0.605  -1.275 -0.723  -1.111 -0.723  -0.948 -0.723  -0.784 -0.723  -0.621 -0.723  -0.500 -0.618  -0.385 -0.503  -0.227 -0.488  -0.085 -0.438  0.031 -0.322  0.166 -0.253  0.297 -0.174  0.413 -0.058  0.528 0.057  0.644 0.173  0.759 0.289  0.850 0.423  0.923 0.569  1.038 0.685  1.071 0.835  1.186 0.951  1.276 1.077  1.194 1.158  1.148 1.041  1.001 1.001  0.870 0.923  0.806 0.823  0.741 0.675  0.655 0.537  0.540 0.422  0.435 0.298  0.362 0.152  0.261 0.026  0.146 -0.090  0.030 -0.206  -0.017 -0.350  -0.017 -0.513  -0.017 -0.677  -0.017 -0.841
1c#app#app26#app2629/c  1.398 0.680  1.398 0.801  1.337 0.862  1.215 0.862  1.094 0.862  0.972 0.862  0.850 0.862  0.729 0.862  0.607 0.862  0.485 0.862  0.399 0.777  0.313 0.690  0.196 0.680  0.074 0.680  -0.048 0.680  -0.138 0.604  -0.224 0.518  -0.337 0.497  -0.428 0.466  -0.428 0.345  -0.520 0.314  -0.633 0.293  -0.719 0.207  -0.809 0.132  -0.931 0.132  -0.976 0.055  -0.976 -0.066  -0.976 -0.188  -0.976 -0.310  -0.976 -0.432  -0.976 -0.553  -0.976 -0.675  -0.961 -0.781  -0.839 -0.781  -0.717 -0.781  -0.596 -0.781  -0.474 -0.781  -0.352 -0.781  -0.230 -0.781  -0.109 -0.781  0.013 -0.781  0.135 -0.781  0.256 -0.781  0.378 -0.781  0.495 -0.771  0.582 -0.685  0.668 -0.599  0.789 -0.599  0.911 -0.599  1.033 -0.599
1c#app#app26#app2629/h  0.914 1.818  0.740 1.818  0.699 1.686  0.634 1.538  0.512 1.416  0.389 1.293  0.268 1.169  0.268 0.995  0.172 0.861  0.051 0.737  -0.027 0.582  -0.105 0.427  -0.162 0.267  -0.165 0.096  -0.339 0.096  -0.378 -0.039  -0.444 -0.186  -0.567 -0.309  -0.730 -0.335  -0.808 -0.430  -0.808 -0.604  -0.820 -0.765  -0.994 -0.765  -1.023 -0.910  -1.023 -0.877  -0.980 -0.722  -0.857 -0.599  -0.734 -0.476  -0.611 -0.353  -0.445 -0.335  -0.378 -0.229  -0.313 -0.119  -0.162 -0.096  -0.162 0.077  -0.007 0.096  0.167 0.096  0.319 0.147  0.442 0.270  0.565 0.230  0.688 0.107  0.699 -0.062  0.699 -0.236  0.699 -0.410  0.699 -0.584  0.699 -0.757  0.699 -0.931  0.699 -1.105  0.616 -1.196  0.442 -1.196  0.268 -1.196
1c#app#app26#app2629/a  0.722 0.374  0.722 0.594  0.508 0.599  0.288 0.599  0.068 0.599  -0.152 0.599  -0.372 0.599  -0.592 0.599  -0.812 0.599  -1.031 0.599  -1.200 0.476  -1.356 0.320  -1.511 0.165  -1.527 -0.049  -1.663 -0.212  -1.657 -0.301  -1.437 -0.301  -1.217 -0.301  -1.077 -0.380  -1.002 -0.526  -0.783 -0.526  -0.563 -0.526  -0.360 -0.484  -0.205 -0.328  -0.049 -0.173  0.130 -0.076  0.327 -0.021  0.483 0.135  0.697 0.149  0.917 0.149  0.947 0.338  1.131 0.374  1.172 0.553  1.346 0.599  1.228 0.599  1.172 0.435  1.060 0.262  0.887 0.149  0.722 0.094  0.672 -0.076  0.497 -0.121  0.457 -0.301  0.273 -0.336  0.242 -0.526  0.048 -0.551  0.068 -0.751  0.273 -0.766  0.283 -0.975  0.503 -0.975  0.722 -0.975
1c#app#app26#app2629/r  1.104 1.604  0.990 1.490  0.876 1.376  0.761 1.262  0.647 1.148  0.533 1.034  0.419 0.919  0.417 0.759  0.353 0.624  0.239 0.510  0.189 0.370  0.172 0.215  0.058 0.101  -0.040 -0.020  -0.040 -0.181  -0.156 -0.226  -0.269 -0.275  -0.269 -0.436  -0.412 -0.455  -0.551 -0.508  -0.665 -0.622  -0.779 -0.736  -0.893 -0.851  -0.955 -0.986  -0.961 -1.142  -1.123 -1.142  -1.184 -1.042  -1.152 -0.913  -0.990 -0.913  -0.955 -0.786  -0.914 -0.642  -0.800 -0.528  -0.686 -0.414  -0.571 -0.300  -0.441 -0.226  -0.279 -0.226  -0.118 -0.226  -0.040 -0.143  -0.024 0.002  0.137 0.002  0.266 0.080  0.380 0.194  0.527 0.231  0.688 0.231  0.849 0.231  0.971 0.327  1.085 0.441  1.104 0.325  1.171 0.231  1.332 0.231
1c#app#app26#app2629/m  -0.202 0.967  -0.373 0.907  -0.457 0.712  -0.543 0.517  -0.712 0.456  -0.755 0.244  -0.918 0.081  -1.055 -0.093  -1.152 -0.227  -1.225 -0.383  -1.378 -0.550  -1.531 -0.568  -1.396 -0.472  -1.241 -0.397  -1.181 -0.227  -0.981 -0.153  -0.818 0.010  -0.655 0.173  -0.492 0.336  -0.311 0.456  -0.081 0.456  0.150 0.456  0.310 0.526  0.310 0.496  0.310 0.265  0.310 0.035  0.211 -0.155  0.139 -0.356  -0.050 -0.397  -0.202 -0.475  -0.340 -0.568  -0.373 -0.711  -0.285 -0.568  -0.098 -0.463  0.105 -0.397  0.165 -0.227  0.370 -0.166  0.533 -0.003  0.715 0.115  0.946 0.115  1.122 0.245  1.336 0.285  1.548 0.330  1.674 0.403  1.674 0.173  1.503 0.113  1.503 -0.117  1.382 -0.227  1.325 -0.405  1.162 -0.568
1c#app#app26#app2629/s  1.057 1.469  0.930 1.469  0.804 1.464  0.714 1.374  0.624 1.284  0.522 1.222  0.395 1.222  0.267 1.222  0.140 1.222  0.067 1.167  0.067 1.039  0.005 0.974  -0.123 0.974  -0.180 0.904  -0.180 0.777  -0.180 0.649  -0.180 0.522  -0.180 0.394  -0.180 0.267  -0.088 0.232  0.040 0.232  0.067 0.132  0.067 0.005  0.067 -0.123  0.067 -0.250  0.067 -0.378  0.067 -0.505  0.190 -0.510  0.315 -0.513  0.315 -0.640  0.315 -0.768  0.315 -0.895  0.297 -1.005  0.170 -1.005  0.067 -1.030  0.067 -1.158  0.035 -1.253  -0.093 -1.253  -0.208 -1.224  -0.299 -1.134  -0.389 -1.044  -0.428 -0.933  -0.428 -0.805  -0.508 -0.758  -0.635 -0.758  -0.675 -0.670  -0.675 -0.543  -0.742 -0.443  -0.832 -0.353  -0.922 -0.263
