1c#app#app31#app3146/y  -0.770 1.413  -0.660 1.303  -0.616 1.166  -0.549 1.038  -0.448 0.922  -0.378 0.783  -0.308 0.644  -0.198 0.534  -0.155 0.397  -0.059 0.338  -0.002 0.239  -0.002 0.084  0.100 0.030  0.225 -0.043  0.335 -0.153  0.445 -0.263  0.507 -0.150  0.562 -0.005  0.616 0.141  0.671 0.287  0.725 0.432  0.780 0.578  0.835 0.723  0.889 0.869  0.921 0.886  0.921 0.730  0.850 0.645  0.767 0.573  0.693 0.491  0.560 0.438  0.459 0.324  0.449 0.173  0.339 0.063  0.229 -0.047  0.119 -0.157  0.009 -0.267  -0.101 -0.377  -0.211 -0.487  -0.321 -0.597  -0.431 -0.707  -0.541 -0.817  -0.651 -0.927  -0.761 -1.037  -0.770 -1.188  -0.915 -1.199  -0.924 -1.346  -0.924 -1.501  -0.924 -1.657  -0.772 -1.660  -0.616 -1.660
1c#app#app31#app3146/o  -0.182 0.502  -0.307 0.502  -0.432 0.502  -0.557 0.502  -0.682 0.502  -0.682 0.377  -0.682 0.252  -0.770 0.164  -0.858 0.076  -0.932 -0.019  -0.932 -0.144  -0.932 -0.269  -0.932 -0.393  -0.932 -0.518  -0.932 -0.643  -0.918 -0.762  -0.829 -0.850  -0.741 -0.939  -0.641 -0.998  -0.516 -0.998  -0.391 -0.998  -0.266 -0.998  -0.141 -0.998  -0.016 -0.998  0.097 -0.968  0.185 -0.880  0.273 -0.792  0.361 -0.704  0.450 -0.615  0.538 -0.527  0.626 -0.439  0.715 -0.350  0.803 -0.262  0.817 -0.143  0.817 -0.018  0.817 0.107  0.817 0.231  0.817 0.356  0.817 0.481  0.817 0.606  0.817 0.731  0.817 0.856  0.817 0.981  0.744 1.075  0.655 1.163  0.567 1.251  0.442 1.251  0.317 1.251  0.192 1.251  0.068 1.251
1c#app#app31#app3146/u  -1.095 0.695  -1.095 0.559  -1.095 0.422  -1.222 0.412  -1.359 0.412  -1.378 0.295  -1.378 0.158  -1.378 0.022  -1.378 -0.115  -1.378 -0.252  -1.378 -0.388  -1.291 -0.438  -1.154 -0.438  -1.017 -0.438  -0.881 -0.438  -0.744 -0.438  -0.607 -0.438  -0.471 -0.438  -0.334 -0.438  -0.197 -0.438  -0.060 -0.438  0.076 -0.438  0.213 -0.438  0.321 -0.409  0.321 -0.272  0.338 -0.146  0.460 -0.085  0.583 -0.024  0.705 0.038  0.827 0.099  0.957 0.129  1.093 0.129  1.171 0.188  1.171 0.325  1.171 0.462  1.171 0.598  1.131 0.695  0.995 0.695  0.867 0.674  0.770 0.578  0.673 0.481  0.604 0.373  0.604 0.236  0.604 0.099  0.604 -0.037  0.604 -0.174  0.604 -0.311  0.614 -0.438  0.751 -0.438  0.888 -0.438
1c#app#app31#app3146/k  0.367 2.370  0.367 2.186  0.323 2.020  0.215 1.880  0.215 1.696  0.215 1.511  0.175 1.333  0.116 1.158  0.054 0.986  -0.077 0.856  -0.096 0.679  -0.179 0.514  -0.244 0.345  -0.244 0.160  -0.316 0.005  -0.397 -0.145  -0.397 -0.330  -0.397 -0.514  -0.397 -0.699  -0.397 -0.883  -0.397 -1.068  -0.397 -1.252  -0.441 -1.168  -0.499 -0.993  -0.557 -0.818  -0.615 -0.643  -0.674 -0.468  -0.609 -0.381  -0.425 -0.381  -0.286 -0.271  -0.119 -0.228  0.065 -0.228  0.250 -0.228  0.434 -0.228  0.618 -0.228  0.545 -0.207  0.363 -0.177  0.181 -0.146  -0.001 -0.116  -0.182 -0.086  -0.244 -0.198  -0.091 -0.229  0.040 -0.359  0.215 -0.382  0.345 -0.512  0.476 -0.643  0.642 -0.687  0.673 -0.840  0.804 -0.970  0.979 -0.993
1c#app#app31#app3146/n  -0.482 0.988  -0.482 0.808  -0.482 0.628  -0.494 0.452  -0.621 0.325  -0.749 0.198  -0.876 0.070  -1.003 -0.057  -1.005 -0.237  -1.073 -0.389  -1.201 -0.516  -1.181 -0.583  -1.005 -0.578  -1.005 -0.398  -0.932 -0.248  -0.805 -0.121  -0.650 -0.059  -0.482 -0.048  -0.482 0.133  -0.404 0.281  -0.276 0.408  -0.119 0.464  0.055 0.478  0.183 0.605  0.310 0.733  0.438 0.860  0.565 0.988  0.745 0.988  0.925 0.988  1.089 0.972  1.089 0.792  0.974 0.726  0.827 0.693  0.827 0.513  0.734 0.371  0.607 0.244  0.566 0.081  0.566 -0.100  0.566 -0.280  0.427 -0.321  0.304 -0.378  0.304 -0.559  0.304 -0.739  0.304 -0.919  0.304 -1.099  0.304 -1.280  0.395 -1.368  0.573 -1.375  0.700 -1.503  0.827 -1.630
1c#app#app31#app3146/o  0.474 1.607  0.474 1.463  0.474 1.319  0.451 1.198  0.307 1.198  0.163 1.198  0.032 1.166  -0.070 1.064  -0.171 0.962  -0.273 0.861  -0.345 0.746  -0.345 0.602  -0.345 0.458  -0.391 0.333  -0.493 0.232  -0.595 0.130  -0.697 0.028  -0.754 -0.092  -0.754 -0.236  -0.754 -0.380  -0.754 -0.524  -0.754 -0.668  -0.754 -0.812  -0.677 -0.925  -0.576 -1.026  -0.474 -1.128  -0.372 -1.230  -0.239 -1.257  -0.095 -1.257  0.049 -1.257  0.193 -1.257  0.337 -1.257  0.474 -1.250  0.474 -1.106  0.474 -0.962  0.474 -0.818  0.474 -0.674  0.474 -0.530  0.474 -0.386  0.474 -0.242  0.474 -0.098  0.474 0.046  0.474 0.190  0.474 0.334  0.474 0.478  0.474 0.622  0.474 0.766  0.352 0.789  0.208 0.789  0.064 0.789
1c#app#app31#app3146/w  -0.185 0.857  -0.185 0.726  -0.243 0.653  -0.375 0.653  -0.390 0.536  -0.433 0.448  -0.565 0.448  -0.666 0.376  -0.759 0.283  -0.852 0.190  -0.945 0.097  -1.004 -0.011  -1.004 -0.142  -1.111 -0.166  -1.209 -0.200  -1.209 -0.332  -1.209 -0.464  -1.189 -0.576  -1.058 -0.576  -0.926 -0.576  -0.794 -0.576  -0.663 -0.576  -0.594 -0.513  -0.594 -0.381  -0.473 -0.371  -0.356 -0.337  -0.263 -0.244  -0.163 -0.166  -0.032 -0.166  0.020 -0.246  0.027 -0.371  0.158 -0.371  0.290 -0.371  0.421 -0.371  0.553 -0.371  0.634 -0.320  0.634 -0.189  0.743 -0.166  0.864 -0.141  0.957 -0.048  1.050 0.045  1.143 0.138  1.236 0.231  1.362 0.243  1.453 0.284  1.453 0.416  1.523 0.518  1.616 0.611  1.657 0.726  1.657 0.857
1c#app#app31#app3146/w  -0.391 0.410  -0.391 0.600  -0.391 0.789  -0.260 0.849  -0.272 0.849  -0.441 0.798  -0.575 0.664  -0.610 0.489  -0.610 0.299  -0.691 0.190  -0.830 0.139  -0.852 -0.029  -1.042 -0.029  -1.049 -0.211  -1.049 -0.401  -1.136 -0.555  -1.267 -0.688  -1.077 -0.688  -0.904 -0.615  -0.734 -0.530  -0.574 -0.432  -0.440 -0.298  -0.391 -0.129  -0.300 -0.029  -0.128 0.014  0.006 0.148  -0.044 0.098  -0.171 -0.039  -0.171 -0.229  -0.171 -0.419  -0.171 -0.609  -0.171 -0.798  -0.090 -0.907  0.084 -0.871  0.219 -0.737  0.353 -0.603  0.487 -0.468  0.677 -0.468  0.820 -0.355  0.926 -0.209  0.933 -0.022  1.068 0.112  1.225 0.190  1.365 0.240  1.379 0.424  1.514 0.558  1.585 0.718  1.585 0.908  1.585 1.039  1.585 0.849
1c#app#app31#app3146/h  0.663 1.970  0.525 1.970  0.507 1.851  0.507 1.713  0.481 1.579  0.437 1.449  0.394 1.318  0.350 1.187  0.253 1.090  0.193 0.977  0.193 0.839  0.182 0.706  0.084 0.608  -0.013 0.511  -0.110 0.414  -0.120 0.280  -0.167 0.153  -0.229 0.030  -0.298 -0.088  -0.396 -0.185  -0.493 -0.282  -0.589 -0.380  -0.589 -0.518  -0.675 -0.621  -0.746 -0.729  -0.746 -0.867  -0.746 -1.005  -0.746 -0.867  -0.627 -0.848  -0.589 -0.748  -0.508 -0.691  -0.388 -0.647  -0.291 -0.550  -0.194 -0.452  -0.096 -0.355  0.001 -0.257  0.037 -0.134  0.106 -0.065  0.243 -0.065  0.350 -0.096  0.350 -0.234  0.350 -0.372  0.350 -0.510  0.350 -0.648  0.350 -0.785  0.350 -0.923  0.350 -1.061  0.388 -1.161  0.507 -1.180  0.507 -1.318
1c#app#app31#app3146/a  1.043 -0.103  1.226 -0.103  1.331 -0.024  1.331 0.160  1.172 0.185  1.043 0.239  1.043 0.423  0.909 0.473  0.755 0.502  0.755 0.686  0.647 0.761  0.463 0.761  0.279 0.761  0.096 0.761  -0.088 0.761  -0.271 0.761  -0.438 0.720  -0.568 0.590  -0.703 0.473  -0.887 0.473  -1.042 0.404  -1.171 0.274  -1.261 0.128  -1.261 -0.056  -1.397 -0.103  -1.549 -0.135  -1.549 -0.319  -1.437 -0.391  -1.254 -0.391  -1.070 -0.391  -0.887 -0.391  -0.703 -0.391  -0.519 -0.391  -0.336 -0.391  -0.152 -0.391  -0.109 -0.250  -0.073 -0.103  0.111 -0.103  0.260 -0.021  0.390 0.109  0.467 0.110  0.467 -0.074  0.467 -0.257  0.467 -0.441  0.467 -0.625  0.467 -0.808  0.492 -0.967  0.676 -0.967  0.859 -0.967  1.043 -0.967
1c#app#app31#app3146/t  0.742 1.010  0.553 1.010  0.549 1.195  0.422 1.076  0.356 0.914  0.356 0.726  0.269 0.625  0.164 0.541  0.107 0.376  -0.026 0.242  -0.029 0.055  -0.029 -0.133  -0.153 -0.271  -0.222 -0.431  -0.222 -0.619  -0.222 -0.808  -0.222 -0.997  -0.222 -1.185  -0.151 -1.303  0.037 -1.303  0.117 -1.262  -0.025 -1.138  -0.167 -1.014  -0.309 -0.889  -0.451 -0.765  -0.593 -0.641  -0.735 -0.517  -0.877 -0.393  -1.019 -0.268  -1.161 -0.144  -1.303 -0.020  -1.317 0.108  -1.183 0.242  -1.050 0.375  -0.885 0.432  -0.696 0.432  -0.508 0.432  -0.319 0.432  -0.130 0.432  0.058 0.432  0.247 0.432  0.435 0.432  0.624 0.432  0.805 0.400  0.974 0.316  1.144 0.239  1.333 0.239  1.521 0.239  1.706 0.235  1.706 0.046
