1c#app#app35#app3500/y  -1.112 0.868  -1.005 0.822  -0.913 0.761  -0.868 0.654  -0.791 0.578  -0.776 0.440  -0.684 0.380  -0.684 0.227  -0.578 0.182  -0.487 0.120  -0.441 0.013  -0.310 0.066  -0.180 0.120  -0.063 0.207  0.044 0.314  0.184 0.347  0.297 0.440  0.384 0.506  0.463 0.626  0.491 0.767  0.491 0.920  0.491 1.072  0.491 1.225  0.491 1.213  0.491 1.061  0.424 0.975  0.384 0.862  0.420 0.725  0.491 0.601  0.491 0.449  0.491 0.296  0.491 0.144  0.491 -0.009  0.491 -0.161  0.491 -0.314  0.491 -0.467  0.491 -0.619  0.491 -0.772  0.433 -0.900  0.384 -1.033  0.261 -1.072  0.170 -1.187  0.121 -1.319  -0.000 -1.408  -0.137 -1.476  -0.288 -1.483  -0.440 -1.483  -0.593 -1.483  -0.684 -1.422  -0.791 -1.376
1c#app#app35#app3500/o  0.343 0.851  0.186 0.851  0.029 0.851  -0.121 0.844  -0.131 0.697  -0.285 0.688  -0.396 0.577  -0.507 0.465  -0.618 0.354  -0.730 0.243  -0.804 0.105  -0.874 -0.036  -0.973 -0.156  -1.050 -0.281  -1.050 -0.439  -1.012 -0.580  -0.900 -0.691  -0.895 -0.846  -0.787 -0.959  -0.649 -1.006  -0.519 -1.072  -0.399 -1.161  -0.242 -1.161  -0.084 -1.161  0.073 -1.161  0.218 -1.132  0.329 -1.020  0.481 -1.006  0.498 -0.866  0.641 -0.851  0.653 -0.707  0.757 -0.593  0.808 -0.456  0.808 -0.299  0.808 -0.142  0.808 0.016  0.712 0.077  0.653 0.176  0.653 0.333  0.653 0.490  0.578 0.617  0.498 0.741  0.452 0.851  0.343 0.901  0.343 1.058  0.289 1.161  0.149 1.201  0.037 1.312  0.034 1.164  0.189 1.161
1c#app#app35#app3500/u  -1.042 0.878  -1.042 0.776  -1.042 0.673  -1.042 0.571  -1.042 0.469  -1.042 0.366  -1.042 0.264  -1.042 0.162  -1.042 0.059  -1.042 -0.043  -1.042 -0.145  -0.952 -0.157  -0.870 -0.178  -0.870 -0.280  -0.833 -0.367  -0.760 -0.439  -0.688 -0.511  -0.616 -0.584  -0.543 -0.656  -0.448 -0.674  -0.346 -0.674  -0.244 -0.674  -0.141 -0.674  -0.039 -0.674  0.063 -0.674  0.165 -0.674  0.268 -0.674  0.370 -0.674  0.472 -0.674  0.556 -0.628  0.628 -0.556  0.700 -0.484  0.773 -0.411  0.845 -0.339  0.855 -0.241  0.855 -0.138  0.855 -0.036  0.855 0.066  0.855 0.169  0.855 0.271  0.855 0.373  0.855 0.476  0.855 0.578  0.855 0.680  0.855 0.783  0.855 0.885  0.855 0.987  0.883 1.078  0.955 1.151  1.027 1.223
1c#app#app35#app3500/k  -0.820 2.000  -0.820 1.793  -0.820 1.587  -0.820 1.380  -0.820 1.174  -0.820 0.967  -0.820 0.761  -0.763 0.568  -0.700 0.376  -0.700 0.170  -0.700 -0.036  -0.580 -0.193  -0.580 -0.400  -0.580 -0.606  -0.523 -0.755  -0.460 -0.899  -0.460 -1.106  -0.348 -0.952  -0.232 -0.782  -0.115 -0.612  0.002 -0.442  0.119 -0.272  0.236 -0.102  0.353 0.069  0.470 0.239  0.587 0.409  0.704 0.579  0.821 0.749  0.958 0.701  0.850 0.555  0.691 0.442  0.523 0.348  0.342 0.287  0.171 0.203  0.014 0.083  -0.193 0.083  -0.349 -0.037  -0.393 -0.104  -0.221 -0.169  -0.121 -0.276  -0.054 -0.443  0.092 -0.589  0.258 -0.656  0.366 -0.755  0.552 -0.842  0.750 -0.875  0.957 -0.875  1.163 -0.875  1.370 -0.875  1.456 -0.995
1c#app#app35#app3500/n  -1.000 0.664  -1.000 0.525  -0.995 0.392  -0.864 0.384  -0.864 0.245  -0.864 0.106  -0.864 -0.033  -0.864 -0.172  -0.864 -0.311  -0.864 -0.450  -0.864 -0.589  -0.864 -0.728  -0.864 -0.867  -0.829 -0.971  -0.727 -0.933  -0.727 -0.794  -0.727 -0.655  -0.695 -0.530  -0.597 -0.431  -0.591 -0.295  -0.497 -0.195  -0.399 -0.097  -0.307 0.006  -0.245 0.131  -0.183 0.255  -0.181 0.393  -0.083 0.491  0.015 0.590  0.114 0.688  0.212 0.786  0.310 0.884  0.427 0.937  0.566 0.937  0.705 0.937  0.771 0.864  0.825 0.747  0.923 0.649  1.021 0.551  1.044 0.421  1.044 0.282  1.044 0.143  1.044 0.005  1.044 -0.134  1.044 -0.273  1.044 -0.412  1.044 -0.551  1.044 -0.690  1.044 -0.829  1.044 -0.968  1.044 -1.107
1c#app#app35#app3500/o  0.691 0.568  0.851 0.568  0.886 0.692  0.797 0.763  0.691 0.817  0.672 0.958  0.513 0.958  0.353 0.958  0.301 0.850  0.229 0.763  0.080 0.736  -0.033 0.623  -0.170 0.568  -0.316 0.535  -0.429 0.422  -0.542 0.309  -0.655 0.197  -0.768 0.084  -0.869 -0.034  -0.869 -0.194  -0.969 -0.312  -1.064 -0.433  -1.064 -0.593  -1.064 -0.752  -1.064 -0.912  -1.064 -1.072  -1.019 -1.187  -0.859 -1.187  -0.700 -1.187  -0.540 -1.187  -0.380 -1.187  -0.239 -1.142  -0.126 -1.029  -0.013 -0.916  0.100 -0.803  0.213 -0.690  0.326 -0.577  0.439 -0.464  0.496 -0.329  0.540 -0.212  0.691 -0.204  0.691 -0.044  0.691 0.115  0.691 0.275  0.691 0.435  0.691 0.595  0.691 0.754  0.691 0.914  0.609 1.040  0.496 1.153
1c#app#app35#app3500/w  -1.443 0.874  -1.271 0.874  -1.178 0.794  -1.178 0.621  -1.159 0.457  -1.046 0.331  -1.046 0.158  -1.046 -0.014  -0.952 -0.148  -0.913 -0.305  -0.902 -0.474  -0.825 -0.629  -0.781 -0.791  -0.667 -0.850  -0.633 -0.702  -0.515 -0.578  -0.515 -0.406  -0.515 -0.233  -0.426 -0.098  -0.383 0.057  -0.383 0.230  -0.383 0.402  -0.284 0.476  -0.246 0.613  -0.124 0.735  0.015 0.710  0.086 0.609  0.147 0.497  0.254 0.369  0.280 0.207  0.300 0.039  0.377 -0.115  0.478 -0.252  0.545 -0.397  0.545 -0.570  0.678 -0.610  0.743 -0.717  0.810 -0.822  0.943 -0.837  0.943 -0.665  1.035 -0.585  1.075 -0.452  1.104 -0.291  1.208 -0.162  1.208 0.011  1.208 0.183  1.208 0.356  1.208 0.529  1.208 0.701  1.208 0.874
1c#app#app35#app3500/w  -1.353 1.130  -1.326 0.984  -1.233 0.865  -1.205 0.714  -1.134 0.573  -1.036 0.453  -0.993 0.313  -0.933 0.170  -0.873 0.026  -0.830 -0.113  -0.753 -0.239  -0.753 -0.396  -0.753 -0.554  -0.711 -0.670  -0.633 -0.749  -0.633 -0.906  -0.609 -1.005  -0.513 -0.888  -0.513 -0.730  -0.444 -0.601  -0.393 -0.465  -0.354 -0.314  -0.304 -0.164  -0.273 -0.012  -0.230 0.136  -0.160 0.277  -0.053 0.391  0.059 0.502  0.205 0.530  0.352 0.505  0.457 0.390  0.528 0.249  0.567 0.101  0.567 -0.057  0.669 -0.172  0.687 -0.322  0.722 -0.465  0.834 -0.576  0.953 -0.670  1.047 -0.607  1.047 -0.449  1.047 -0.292  1.047 -0.134  1.089 0.014  1.159 0.154  1.167 0.310  1.167 0.468  1.167 0.625  1.176 0.779  1.287 0.890
1c#app#app35#app3500/h  -0.662 1.749  -0.662 1.605  -0.662 1.461  -0.662 1.318  -0.662 1.174  -0.662 1.031  -0.662 0.887  -0.657 0.744  -0.612 0.608  -0.566 0.472  -0.552 0.331  -0.552 0.187  -0.552 0.044  -0.552 -0.100  -0.552 -0.243  -0.552 -0.387  -0.552 -0.531  -0.552 -0.674  -0.552 -0.818  -0.552 -0.961  -0.479 -0.928  -0.442 -0.799  -0.442 -0.656  -0.420 -0.517  -0.356 -0.389  -0.268 -0.277  -0.222 -0.153  -0.160 -0.028  -0.080 0.091  -0.002 0.211  0.023 0.344  0.125 0.446  0.230 0.539  0.373 0.539  0.517 0.539  0.628 0.459  0.729 0.357  0.768 0.230  0.822 0.099  0.878 -0.031  0.902 -0.169  0.966 -0.298  0.988 -0.436  0.988 -0.580  0.988 -0.723  0.988 -0.867  0.988 -1.010  0.988 -1.154  0.988 -1.297  0.988 -1.441
1c#app#app35#app3500/a  0.757 0.264  0.757 0.435  0.757 0.605  0.757 0.776  0.741 0.931  0.623 0.984  0.543 1.104  0.390 1.181  0.224 1.197  0.053 1.197  -0.096 1.145  -0.233 1.064  -0.376 0.998  -0.497 0.877  -0.617 0.757  -0.738 0.636  -0.859 0.516  -0.977 0.394  -0.977 0.223  -1.012 0.061  -1.088 -0.092  -1.110 -0.257  -1.110 -0.428  -1.066 -0.580  -0.977 -0.713  -0.895 -0.803  -0.843 -0.921  -0.687 -0.936  -0.534 -0.894  -0.402 -0.803  -0.254 -0.747  -0.116 -0.669  0.026 -0.600  0.090 -0.456  0.208 -0.403  0.239 -0.254  0.359 -0.133  0.480 -0.013  0.490 0.153  0.490 0.204  0.490 0.034  0.490 -0.137  0.517 -0.296  0.623 -0.423  0.664 -0.577  0.757 -0.709  0.811 -0.857  0.949 -0.936  1.023 -1.032  1.157 -1.069
1c#app#app35#app3500/t  -0.042 1.816  -0.042 1.628  -0.042 1.441  -0.042 1.253  -0.042 1.065  -0.042 0.878  -0.042 0.690  -0.042 0.502  -0.042 0.315  -0.042 0.127  -0.042 -0.061  -0.042 -0.248  0.038 -0.403  0.101 -0.565  0.101 -0.752  0.101 -0.940  0.101 -1.128  0.101 -1.316  0.139 -1.465  0.244 -1.548  0.174 -1.499  0.073 -1.341  -0.029 -1.184  -0.130 -1.026  -0.232 -0.868  -0.333 -0.710  -0.435 -0.552  -0.536 -0.394  -0.638 -0.236  -0.739 -0.078  -0.841 0.079  -0.942 0.237  -1.040 0.383  -1.040 0.299  -0.944 0.390  -0.756 0.390  -0.568 0.390  -0.381 0.390  -0.193 0.390  -0.005 0.390  0.183 0.390  0.370 0.390  0.558 0.390  0.746 0.390  0.933 0.390  1.115 0.374  1.242 0.254  1.242 0.337  1.340 0.247  1.385 0.104
