1c#app#app40#app4055/v  -0.657 0.411  -0.657 0.557  -0.657 0.703  -0.657 0.850  -0.657 0.996  -0.657 1.091  -0.657 0.944  -0.657 0.798  -0.657 0.652  -0.657 0.505  -0.621 0.374  -0.517 0.271  -0.422 0.164  -0.422 0.017  -0.422 -0.129  -0.422 -0.275  -0.422 -0.422  -0.422 -0.568  -0.422 -0.714  -0.355 -0.833  -0.251 -0.936  -0.187 -1.056  -0.187 -1.202  -0.187 -1.349  -0.163 -1.471  -0.017 -1.471  0.048 -1.391  0.048 -1.244  0.110 -1.112  0.176 -0.982  0.241 -0.851  0.284 -0.714  0.284 -0.568  0.361 -0.453  0.464 -0.350  0.519 -0.226  0.519 -0.080  0.519 0.066  0.519 0.213  0.519 0.359  0.614 0.411  0.754 0.416  0.754 0.563  0.754 0.709  0.754 0.855  0.754 1.002  0.754 1.148  0.754 1.295  0.754 1.441  0.754 1.587
1c#app#app40#app4055/e  -0.250 0.277  -0.107 0.277  -0.028 0.212  -0.028 0.070  0.101 0.056  0.244 0.056  0.386 0.056  0.414 0.171  0.451 0.277  0.594 0.277  0.737 0.277  0.856 0.301  0.856 0.443  0.856 0.586  0.856 0.729  0.856 0.872  0.856 1.015  0.856 1.158  0.717 1.162  0.574 1.162  0.431 1.162  0.325 1.073  0.224 0.972  0.123 0.871  0.022 0.770  -0.100 0.719  -0.243 0.719  -0.250 0.583  -0.290 0.457  -0.392 0.356  -0.471 0.246  -0.471 0.103  -0.538 -0.012  -0.639 -0.113  -0.692 -0.234  -0.692 -0.377  -0.692 -0.519  -0.692 -0.662  -0.692 -0.805  -0.692 -0.948  -0.692 -1.091  -0.692 -1.234  -0.586 -1.271  -0.471 -1.298  -0.471 -1.441  -0.379 -1.492  -0.236 -1.492  -0.093 -1.492  0.050 -1.492  0.193 -1.492
1c#app#app40#app4055/x  -1.559 0.736  -1.339 0.736  -1.120 0.736  -0.901 0.736  -0.749 0.668  -0.737 0.453  -0.582 0.298  -0.405 0.196  -0.210 0.172  -0.210 -0.048  -0.073 -0.210  0.060 -0.375  0.060 -0.594  0.201 -0.755  0.367 -0.883  0.587 -0.883  0.600 -1.090  0.600 -1.309  0.705 -1.423  0.860 -1.368  0.820 -1.153  0.781 -0.937  0.742 -0.721  0.703 -0.505  0.663 -0.290  0.624 -0.074  0.585 0.142  0.546 0.358  0.506 0.574  0.467 0.789  0.428 1.005  0.389 1.221  0.350 1.437  0.330 1.435  0.330 1.216  0.321 1.005  0.102 1.005  0.060 0.828  0.060 0.608  0.006 0.412  -0.149 0.256  -0.210 0.062  -0.293 -0.074  -0.479 -0.107  -0.479 -0.326  -0.479 -0.545  -0.631 -0.613  -0.749 -0.714  -0.749 -0.934  -0.749 -1.153
1c#app#app40#app4055/i  0.178 0.032  0.178 0.154  0.178 0.180  0.178 0.057  0.081 0.032  -0.019 0.009  -0.019 -0.114  -0.019 -0.237  -0.019 -0.359  -0.019 -0.482  -0.019 -0.604  -0.019 -0.727  -0.019 -0.850  -0.019 -0.972  -0.019 -1.095  -0.019 -1.218  -0.019 -1.340  0.064 -1.429  0.151 -1.515  0.167 -1.459  0.152 -1.338  0.137 -1.216  0.122 -1.094  0.107 -0.972  0.091 -0.851  0.076 -0.729  0.061 -0.607  0.046 -0.486  0.031 -0.364  0.015 -0.242  0.000 -0.121  -0.015 0.001  -0.030 0.123  -0.045 0.245  -0.061 0.366  -0.076 0.488  -0.091 0.610  -0.106 0.731  -0.122 0.853  -0.137 0.975  -0.152 1.096  -0.167 1.218  -0.182 1.340  -0.198 1.462  -0.213 1.583  -0.116 1.606  -0.019 1.632  -0.019 1.754  -0.019 1.877  -0.019 1.999
1c#app#app40#app4055/n  -1.044 0.790  -0.883 0.790  -0.762 0.749  -0.762 0.588  -0.762 0.426  -0.762 0.265  -0.762 0.103  -0.762 -0.058  -0.762 -0.220  -0.762 -0.381  -0.762 -0.542  -0.762 -0.704  -0.762 -0.865  -0.762 -1.027  -0.762 -1.177  -0.762 -1.015  -0.729 -0.868  -0.615 -0.753  -0.501 -0.639  -0.481 -0.486  -0.472 -0.328  -0.358 -0.214  -0.244 -0.100  -0.199 0.043  -0.199 0.204  -0.199 0.366  -0.186 0.522  -0.071 0.636  0.043 0.750  0.083 0.895  0.083 1.056  0.229 1.072  0.365 1.047  0.365 0.885  0.365 0.724  0.365 0.562  0.441 0.432  0.555 0.318  0.669 0.204  0.783 0.090  0.897 -0.024  1.046 -0.055  1.207 -0.055  1.210 -0.214  1.210 -0.375  1.210 -0.537  1.290 -0.619  1.451 -0.619  1.492 -0.739  1.492 -0.901
1c#app#app40#app4055/g  0.109 0.729  0.109 0.872  0.109 1.016  0.039 1.089  -0.104 1.089  -0.247 1.089  -0.390 1.089  -0.533 1.089  -0.657 1.041  -0.770 0.969  -0.849 0.905  -0.849 0.762  -0.849 0.618  -0.839 0.480  -0.737 0.378  -0.598 0.370  -0.455 0.370  -0.370 0.428  -0.288 0.490  -0.176 0.564  -0.075 0.665  -0.011 0.782  -0.011 0.773  -0.011 0.630  0.109 0.607  0.109 0.464  0.109 0.320  0.161 0.199  0.262 0.098  0.349 -0.010  0.349 -0.153  0.396 -0.276  0.469 -0.389  0.514 -0.514  0.588 -0.626  0.632 -0.751  0.708 -0.863  0.708 -1.006  0.708 -1.149  0.708 -1.292  0.588 -1.315  0.556 -1.426  0.413 -1.426  0.270 -1.426  0.127 -1.426  -0.015 -1.422  -0.116 -1.321  -0.130 -1.184  -0.112 -1.049  -0.011 -0.947
1c#app#app40#app4055/d  0.391 -0.418  0.537 -0.418  0.391 -0.329  0.391 -0.094  0.212 -0.037  -0.023 -0.037  -0.258 -0.037  -0.493 -0.037  -0.728 -0.037  -0.943 -0.058  -0.943 -0.293  -1.021 -0.496  -1.133 -0.685  -1.133 -0.920  -0.968 -0.990  -0.923 -1.180  -0.688 -1.180  -0.453 -1.180  -0.371 -1.027  -0.173 -0.990  0.010 -0.938  0.107 -0.799  0.200 -0.658  0.200 -0.423  0.364 -0.255  0.391 -0.031  0.391 0.204  0.391 0.439  0.391 0.674  0.391 0.910  0.363 1.133  0.200 1.301  0.200 1.536  0.200 1.771  0.062 1.868  0.010 1.685  0.010 1.450  0.010 1.215  0.010 0.979  0.010 0.744  0.200 0.700  0.200 0.464  0.200 0.229  0.200 -0.006  0.345 -0.181  0.391 -0.397  0.542 -0.570  0.581 -0.789  0.796 -0.823  0.962 -0.990
1c#app#app40#app4055/a  0.603 0.874  0.422 0.874  0.330 0.963  0.330 1.144  0.153 1.147  -0.028 1.147  -0.209 1.147  -0.390 1.147  -0.546 1.088  -0.674 0.961  -0.802 0.833  -0.930 0.705  -1.033 0.567  -1.033 0.386  -1.033 0.205  -1.033 0.024  -1.033 -0.156  -1.033 -0.337  -1.033 -0.518  -1.033 -0.699  -0.950 -0.845  -0.822 -0.973  -0.667 -1.035  -0.486 -1.035  -0.306 -1.035  -0.215 -0.944  -0.215 -0.764  -0.036 -0.762  0.145 -0.762  0.326 -0.762  0.330 -0.586  0.390 -0.430  0.518 -0.302  0.603 -0.156  0.603 0.024  0.603 0.205  0.660 0.329  0.841 0.329  0.876 0.475  0.837 0.563  0.710 0.435  0.603 0.299  0.603 0.118  0.603 -0.063  0.603 -0.244  0.603 -0.425  0.685 -0.571  0.813 -0.699  0.876 -0.854  0.876 -1.035
1c#app#app40#app4055/f  1.292 0.221  1.140 0.221  1.135 0.368  0.993 0.378  0.979 0.515  0.979 0.666  0.851 0.690  0.822 0.813  0.704 0.847  0.666 0.960  0.558 1.003  0.509 1.107  0.411 1.160  0.259 1.160  0.107 1.160  -0.044 1.160  -0.196 1.160  -0.326 1.107  -0.429 0.998  -0.429 0.847  -0.429 0.695  -0.429 0.543  -0.429 0.392  -0.429 0.240  -0.429 0.088  -0.429 -0.063  -0.429 -0.215  -0.376 -0.354  -0.308 -0.490  -0.273 -0.633  -0.273 -0.785  -0.229 -0.918  -0.122 -1.025  -0.116 -1.175  -0.116 -1.326  -0.021 -1.439  0.002 -1.447  -0.086 -1.323  -0.174 -1.200  -0.262 -1.077  -0.350 -0.953  -0.438 -0.830  -0.527 -0.706  -0.615 -0.583  -0.703 -0.460  -0.658 -0.405  -0.530 -0.349  -0.420 -0.248  -0.268 -0.248  -0.116 -0.248
1c#app#app40#app4055/t  0.309 1.847  0.309 1.665  0.309 1.483  0.152 1.458  0.115 1.313  -0.017 1.263  -0.080 1.144  -0.080 0.962  -0.147 0.807  -0.274 0.678  -0.274 0.496  -0.274 0.314  -0.274 0.132  -0.274 -0.050  -0.274 -0.232  -0.274 -0.414  -0.274 -0.596  -0.274 -0.778  -0.216 -0.936  -0.087 -1.065  0.042 -1.193  0.194 -1.266  0.376 -1.266  0.558 -1.266  0.740 -1.266  0.893 -1.238  0.909 -1.072  1.085 -1.070  0.938 -0.963  0.790 -0.856  0.643 -0.748  0.496 -0.641  0.349 -0.534  0.201 -0.427  0.054 -0.320  -0.093 -0.213  -0.240 -0.106  -0.388 0.001  -0.535 0.108  -0.682 0.215  -0.829 0.322  -0.976 0.429  -0.965 0.485  -0.783 0.485  -0.601 0.485  -0.419 0.485  -0.237 0.485  -0.055 0.485  0.127 0.485  0.309 0.485
1c#app#app40#app4055/j  0.179 0.624  0.179 0.757  0.179 0.629  0.179 0.495  0.268 0.399  0.315 0.285  0.361 0.171  0.451 0.075  0.451 -0.058  0.451 -0.191  0.451 -0.324  0.451 -0.457  0.451 -0.590  0.451 -0.723  0.451 -0.856  0.365 -0.954  0.315 -1.066  0.255 -1.139  0.122 -1.139  0.044 -1.194  -0.009 -1.274  -0.142 -1.274  -0.275 -1.274  -0.408 -1.274  -0.498 -1.232  -0.498 -1.099  -0.498 -0.966  -0.491 -0.833  -0.462 -0.704  -0.433 -0.574  -0.404 -0.444  -0.375 -0.314  -0.346 -0.184  -0.318 -0.054  -0.289 0.076  -0.260 0.206  -0.231 0.336  -0.202 0.466  -0.173 0.595  -0.144 0.725  -0.116 0.855  -0.087 0.985  -0.058 1.115  -0.029 1.245  -0.000 1.375  0.029 1.505  0.044 1.636  0.044 1.769  0.085 1.885  0.179 1.979
