1c#app#app41#app4141/b  -0.887 0.598  -0.887 0.767  -0.887 0.936  -0.781 0.999  -0.687 1.074  -0.687 1.243  -0.687 1.412  -0.687 1.581  -0.687 1.452  -0.687 1.282  -0.626 1.139  -0.506 1.019  -0.486 0.858  -0.486 0.689  -0.486 0.520  -0.465 0.356  -0.390 0.204  -0.314 0.053  -0.285 -0.109  -0.285 -0.278  -0.285 -0.447  -0.275 -0.606  -0.106 -0.606  -0.085 -0.754  -0.085 -0.690  -0.025 -0.546  0.095 -0.426  0.116 -0.266  0.116 -0.096  0.116 0.073  0.161 0.197  0.330 0.197  0.499 0.197  0.517 0.045  0.637 -0.004  0.718 -0.092  0.758 -0.245  0.877 -0.364  0.997 -0.484  1.117 -0.604  1.119 -0.772  0.984 -0.807  0.918 -0.909  0.847 -1.007  0.678 -1.007  0.511 -1.013  0.391 -1.133  0.253 -1.208  0.084 -1.208  -0.085 -1.208
1c#app#app41#app4141/o  -0.312 1.253  -0.436 1.253  -0.560 1.253  -0.684 1.253  -0.695 1.141  -0.695 1.017  -0.695 0.893  -0.695 0.770  -0.695 0.646  -0.695 0.522  -0.695 0.398  -0.695 0.274  -0.695 0.151  -0.695 0.027  -0.695 -0.097  -0.695 -0.221  -0.695 -0.345  -0.695 -0.469  -0.695 -0.592  -0.658 -0.701  -0.571 -0.788  -0.483 -0.876  -0.395 -0.963  -0.306 -1.047  -0.182 -1.047  -0.059 -1.047  0.065 -1.047  0.189 -1.047  0.313 -1.047  0.437 -1.047  0.454 -0.941  0.454 -0.817  0.454 -0.693  0.521 -0.597  0.609 -0.509  0.696 -0.422  0.784 -0.334  0.838 -0.233  0.838 -0.109  0.838 0.015  0.838 0.139  0.838 0.262  0.838 0.386  0.838 0.510  0.838 0.634  0.838 0.758  0.826 0.870  0.702 0.870  0.578 0.870  0.454 0.870
1c#app#app41#app4141/x  -1.503 0.543  -1.375 0.415  -1.248 0.288  -1.120 0.160  -0.993 0.033  -0.865 -0.095  -0.692 -0.111  -0.514 -0.119  -0.387 -0.246  -0.259 -0.374  -0.132 -0.501  -0.004 -0.629  0.123 -0.756  0.251 -0.884  0.378 -1.011  0.506 -1.139  0.633 -1.266  0.761 -1.394  0.771 -1.276  0.751 -1.097  0.731 -0.918  0.711 -0.739  0.691 -0.560  0.671 -0.380  0.651 -0.201  0.631 -0.022  0.611 0.157  0.591 0.337  0.571 0.516  0.552 0.695  0.532 0.874  0.512 1.053  0.492 1.233  0.472 1.412  0.411 1.476  0.284 1.348  0.156 1.221  0.132 1.050  0.132 0.870  0.005 0.742  -0.122 0.615  -0.195 0.464  -0.195 0.284  -0.274 0.137  -0.401 0.009  -0.526 -0.120  -0.607 -0.282  -0.687 -0.443  -0.768 -0.604  -0.849 -0.765
1c#app#app41#app4141/s  0.580 1.148  0.455 1.148  0.330 1.148  0.205 1.148  0.080 1.148  -0.045 1.148  -0.169 1.145  -0.257 1.056  -0.346 0.968  -0.442 0.900  -0.567 0.900  -0.662 0.869  -0.662 0.744  -0.694 0.651  -0.819 0.651  -0.911 0.618  -0.911 0.493  -0.911 0.368  -0.911 0.243  -0.875 0.154  -0.750 0.154  -0.624 0.154  -0.499 0.154  -0.374 0.154  -0.249 0.154  -0.136 0.125  -0.048 0.036  0.041 -0.052  0.148 -0.095  0.273 -0.095  0.332 -0.161  0.332 -0.286  0.400 -0.343  0.525 -0.343  0.630 -0.392  0.718 -0.481  0.806 -0.569  0.829 -0.685  0.829 -0.810  0.829 -0.935  0.829 -1.060  0.732 -1.089  0.607 -1.089  0.511 -1.158  0.422 -1.247  0.334 -1.335  0.210 -1.337  0.085 -1.337  -0.040 -1.337  -0.165 -1.337
1c#app#app41#app4141/a  0.090 1.155  -0.071 1.155  -0.232 1.155  -0.369 1.095  -0.483 0.981  -0.596 0.867  -0.710 0.753  -0.824 0.639  -0.938 0.525  -1.052 0.411  -1.105 0.272  -1.105 0.111  -1.105 -0.050  -1.105 -0.211  -1.105 -0.373  -1.105 -0.534  -1.105 -0.695  -1.084 -0.836  -0.923 -0.836  -0.762 -0.836  -0.601 -0.836  -0.440 -0.836  -0.279 -0.836  -0.118 -0.836  0.043 -0.836  0.205 -0.836  0.366 -0.836  0.488 -0.797  0.488 -0.636  0.488 -0.475  0.488 -0.314  0.488 -0.152  0.488 0.009  0.488 0.170  0.488 0.331  0.488 0.492  0.488 0.653  0.488 0.700  0.488 0.539  0.488 0.377  0.631 0.359  0.792 0.359  0.886 0.292  0.886 0.131  0.886 -0.030  1.038 -0.039  1.199 -0.039  1.284 -0.115  1.284 -0.276  1.284 -0.438
1c#app#app41#app4141/i  0.131 0.271  0.131 0.162  0.131 0.053  0.131 -0.056  0.131 -0.165  0.131 -0.274  0.131 -0.382  0.131 -0.491  0.131 -0.600  0.131 -0.709  0.131 -0.818  0.131 -0.927  0.131 -1.036  0.131 -1.144  0.131 -1.253  0.131 -1.362  0.131 -1.471  0.122 -1.422  0.110 -1.314  0.098 -1.206  0.086 -1.098  0.074 -0.989  0.062 -0.881  0.050 -0.773  0.038 -0.665  0.026 -0.557  0.014 -0.448  0.002 -0.340  -0.010 -0.232  -0.022 -0.124  -0.034 -0.016  -0.046 0.093  -0.058 0.201  -0.070 0.309  -0.082 0.417  -0.094 0.525  -0.106 0.634  -0.118 0.742  -0.130 0.850  -0.142 0.958  -0.154 1.066  -0.166 1.175  -0.178 1.283  -0.190 1.391  -0.202 1.499  -0.214 1.607  -0.223 1.716  -0.223 1.825  -0.223 1.933  -0.223 2.042
1c#app#app41#app4141/d  0.640 0.092  0.637 0.319  0.406 0.319  0.186 0.309  0.173 0.092  -0.058 0.092  -0.282 0.078  -0.445 -0.085  -0.495 -0.295  -0.658 -0.362  -0.722 -0.528  -0.891 -0.589  -0.949 -0.762  -0.949 -0.992  -0.821 -1.170  -0.722 -1.359  -0.629 -1.496  -0.399 -1.496  -0.268 -1.397  -0.165 -1.270  -0.041 -1.164  -0.041 -0.934  0.072 -0.816  0.186 -0.700  0.270 -0.505  0.413 -0.333  0.413 -0.103  0.413 0.127  0.413 0.357  0.394 0.583  0.291 0.789  0.188 0.995  0.186 1.225  0.024 1.388  -0.041 1.591  -0.041 1.822  -0.041 1.763  -0.041 1.533  -0.041 1.302  -0.041 1.072  0.071 0.888  0.186 0.706  0.186 0.475  0.260 0.319  0.413 0.242  0.413 0.011  0.413 -0.219  0.413 -0.449  0.477 -0.653  0.640 -0.816
1c#app#app41#app4141/t  -0.389 2.212  -0.389 2.018  -0.334 1.848  -0.197 1.711  -0.080 1.565  -0.080 1.372  -0.080 1.178  -0.080 0.985  -0.080 0.791  -0.080 0.598  -0.080 0.404  -0.080 0.210  -0.080 0.017  -0.080 -0.177  -0.080 -0.370  -0.080 -0.564  -0.080 -0.757  -0.027 -0.929  0.110 -1.066  0.254 -1.185  0.447 -1.185  0.641 -1.185  0.835 -1.185  0.975 -1.056  1.112 -0.919  1.039 -0.810  0.871 -0.714  0.703 -0.618  0.535 -0.522  0.367 -0.426  0.199 -0.330  0.031 -0.234  -0.137 -0.138  -0.305 -0.042  -0.473 0.054  -0.641 0.150  -0.809 0.246  -0.978 0.343  -1.007 0.199  -0.962 0.050  -0.768 0.050  -0.611 -0.037  -0.474 -0.174  -0.316 -0.258  -0.122 -0.258  0.072 -0.258  0.265 -0.258  0.459 -0.258  0.537 -0.143  0.537 0.050
1c#app#app41#app4141/s  0.325 1.491  0.206 1.491  0.087 1.491  -0.022 1.480  -0.022 1.361  -0.022 1.242  -0.037 1.129  -0.121 1.045  -0.206 0.960  -0.290 0.876  -0.376 0.797  -0.495 0.797  -0.614 0.797  -0.716 0.779  -0.716 0.660  -0.716 0.541  -0.716 0.422  -0.716 0.303  -0.716 0.183  -0.678 0.103  -0.558 0.103  -0.439 0.103  -0.320 0.103  -0.201 0.103  -0.082 0.103  -0.022 0.043  -0.022 -0.076  -0.022 -0.195  0.048 -0.244  0.167 -0.244  0.286 -0.244  0.406 -0.244  0.525 -0.244  0.644 -0.244  0.672 -0.335  0.672 -0.454  0.672 -0.574  0.672 -0.693  0.672 -0.812  0.672 -0.931  0.593 -1.018  0.508 -1.102  0.424 -1.186  0.340 -1.270  0.227 -1.285  0.108 -1.285  -0.012 -1.285  -0.022 -1.394  -0.022 -1.513  -0.022 -1.632
1c#app#app41#app4141/n  -1.241 0.491  -1.067 0.491  -0.893 0.491  -0.788 0.422  -0.788 0.248  -0.788 0.074  -0.788 -0.100  -0.788 -0.274  -0.788 -0.448  -0.788 -0.622  -0.788 -0.796  -0.788 -0.970  -0.788 -1.144  -0.788 -1.318  -0.788 -1.148  -0.788 -0.974  -0.721 -0.867  -0.547 -0.867  -0.373 -0.867  -0.335 -0.731  -0.335 -0.557  -0.313 -0.392  -0.190 -0.269  -0.067 -0.146  0.056 -0.023  0.118 0.125  0.118 0.299  0.118 0.473  0.228 0.601  0.351 0.724  0.474 0.848  0.571 0.982  0.571 1.156  0.571 1.330  0.571 1.290  0.571 1.116  0.571 0.942  0.571 0.768  0.571 0.594  0.571 0.420  0.571 0.246  0.571 0.072  0.711 0.038  0.885 0.038  1.024 0.003  1.024 -0.171  1.024 -0.345  1.128 -0.415  1.302 -0.415  1.476 -0.415
1c#app#app41#app4141/o  -0.007 1.233  -0.147 1.233  -0.286 1.233  -0.379 1.185  -0.379 1.045  -0.379 0.905  -0.379 0.765  -0.379 0.626  -0.381 0.488  -0.521 0.488  -0.661 0.488  -0.751 0.438  -0.751 0.298  -0.751 0.159  -0.751 0.019  -0.751 -0.121  -0.751 -0.261  -0.751 -0.401  -0.751 -0.541  -0.751 -0.681  -0.751 -0.821  -0.751 -0.960  -0.652 -1.001  -0.512 -1.001  -0.372 -1.001  -0.232 -1.001  -0.092 -1.001  0.048 -1.001  0.188 -1.001  0.328 -1.001  0.467 -1.001  0.607 -1.001  0.738 -0.991  0.738 -0.851  0.738 -0.711  0.738 -0.572  0.738 -0.432  0.738 -0.292  0.738 -0.152  0.738 -0.012  0.738 0.128  0.738 0.268  0.738 0.408  0.738 0.547  0.738 0.687  0.738 0.827  0.662 0.936  0.563 1.035  0.464 1.134  0.365 1.233
