1c#syn#syn0#zc/a  -0.597 1.747  -0.668 1.630  -0.669 1.500  -0.573 1.404  -0.459 1.326  -0.343 1.251  -0.232 1.169  -0.133 1.073  -0.035 0.976  0.048 0.865  0.131 0.755  0.203 0.637  0.270 0.516  0.333 0.393  0.389 0.266  0.440 0.138  0.485 0.007  0.521 -0.122  0.407 -0.099  0.281 -0.042  0.152 0.008  0.021 0.051  -0.113 0.088  -0.250 0.105  -0.385 0.094  -0.517 0.053  -0.638 -0.014  -0.743 -0.103  -0.838 -0.203  -0.913 -0.317  -0.941 -0.450  -0.885 -0.574  -0.785 -0.669  -0.668 -0.744  -0.541 -0.797  -0.410 -0.837  -0.273 -0.854  -0.135 -0.870  0.002 -0.878  0.140 -0.870  0.278 -0.854  0.415 -0.839  0.552 -0.824  0.687 -0.792  0.822 -0.764  0.959 -0.743  1.095 -0.723  1.232 -0.703  1.370 -0.690  1.507 -0.678
1c#syn#syn0#zc/b  0.032 2.180  -0.033 2.065  -0.087 1.945  -0.136 1.823  -0.176 1.698  -0.208 1.570  -0.239 1.441  -0.258 1.311  -0.269 1.180  -0.279 1.049  -0.284 0.917  -0.276 0.786  -0.267 0.654  -0.258 0.522  -0.245 0.391  -0.231 0.260  -0.217 0.129  -0.202 -0.002  -0.185 -0.133  -0.167 -0.263  -0.150 -0.394  -0.136 -0.525  -0.123 -0.656  -0.108 -0.787  -0.091 -0.918  -0.075 -1.049  -0.021 -0.939  0.017 -0.813  0.055 -0.687  0.095 -0.561  0.135 -0.436  0.190 -0.316  0.257 -0.203  0.357 -0.130  0.480 -0.156  0.583 -0.237  0.670 -0.336  0.727 -0.453  0.722 -0.582  0.633 -0.679  0.520 -0.746  0.402 -0.805  0.281 -0.857  0.154 -0.893  0.026 -0.924  -0.104 -0.941  -0.235 -0.958  -0.362 -0.937  -0.470 -0.862  -0.444 -0.743
1c#syn#syn0#zc/h  -0.166 1.854  -0.264 1.829  -0.337 1.746  -0.387 1.643  -0.416 1.532  -0.443 1.420  -0.460 1.307  -0.468 1.193  -0.476 1.078  -0.479 0.963  -0.473 0.849  -0.467 0.734  -0.461 0.619  -0.453 0.504  -0.443 0.390  -0.433 0.276  -0.423 0.161  -0.411 0.047  -0.397 -0.067  -0.382 -0.181  -0.368 -0.295  -0.349 -0.408  -0.330 -0.522  -0.310 -0.635  -0.285 -0.747  -0.258 -0.859  -0.213 -0.964  -0.139 -0.925  -0.093 -0.820  -0.051 -0.713  -0.013 -0.605  0.025 -0.496  0.064 -0.388  0.106 -0.281  0.153 -0.176  0.206 -0.075  0.314 -0.081  0.396 -0.162  0.473 -0.247  0.539 -0.341  0.599 -0.439  0.656 -0.539  0.707 -0.641  0.749 -0.748  0.790 -0.856  0.825 -0.965  0.867 -1.071  0.954 -0.999  1.056 -0.954  1.170 -0.945
1c#syn#syn0#zc/i  -0.088 0.100  -0.115 -0.023  -0.135 -0.147  -0.155 -0.271  -0.175 -0.395  -0.182 -0.521  -0.170 -0.646  -0.150 -0.770  -0.131 -0.894  -0.111 -1.019  -0.090 -1.143  -0.066 -1.266  -0.041 -1.390  -0.017 -1.513  0.044 -1.607  0.131 -1.524  0.183 -1.409  0.193 -1.284  0.199 -1.159  0.181 -1.034  0.164 -0.909  0.140 -0.786  0.114 -0.663  0.088 -0.539  0.089 -0.414  0.090 -0.288  0.091 -0.162  0.092 -0.036  0.093 0.090  0.094 0.216  0.095 0.342  0.096 0.467  0.097 0.593  0.098 0.719  0.099 0.845  0.100 0.971  0.101 1.097  0.102 1.223  0.103 1.349  0.104 1.474  0.061 1.575  -0.013 1.490  -0.083 1.385  -0.154 1.281  -0.222 1.176  -0.287 1.068  -0.318 0.980  -0.220 1.054  -0.116 1.126  -0.008 1.190
1c#syn#syn0#zc/j  0.072 0.596  0.073 0.460  0.081 0.323  0.087 0.187  0.094 0.051  0.103 -0.085  0.112 -0.221  0.115 -0.358  0.119 -0.494  0.115 -0.630  0.108 -0.767  0.092 -0.902  0.069 -1.036  0.034 -1.168  -0.006 -1.298  -0.072 -1.418  -0.170 -1.510  -0.284 -1.524  -0.385 -1.433  -0.474 -1.330  -0.555 -1.221  -0.617 -1.099  -0.570 -0.974  -0.517 -0.848  -0.464 -0.722  -0.411 -0.596  -0.358 -0.471  -0.306 -0.345  -0.253 -0.219  -0.200 -0.093  -0.147 0.033  -0.094 0.158  -0.042 0.284  0.011 0.410  0.064 0.536  0.117 0.662  0.170 0.787  0.222 0.913  0.275 1.039  0.328 1.165  0.381 1.291  0.434 1.416  0.486 1.542  0.513 1.607  0.451 1.486  0.382 1.368  0.303 1.257  0.218 1.151  0.129 1.047  0.168 0.994
1c#syn#syn0#zc/k  -0.098 2.311  -0.158 2.133  -0.212 1.954  -0.265 1.774  -0.293 1.589  -0.320 1.403  -0.327 1.216  -0.333 1.028  -0.338 0.841  -0.344 0.653  -0.350 0.466  -0.356 0.278  -0.362 0.091  -0.372 -0.097  -0.383 -0.284  -0.402 -0.470  -0.426 -0.657  -0.448 -0.843  -0.338 -0.868  -0.217 -0.725  -0.097 -0.581  0.029 -0.442  0.155 -0.303  0.281 -0.164  0.407 -0.025  0.533 0.114  0.659 0.253  0.785 0.392  0.735 0.369  0.590 0.249  0.435 0.144  0.280 0.039  0.123 -0.064  -0.035 -0.165  -0.199 -0.257  -0.363 -0.347  -0.532 -0.429  -0.697 -0.518  -0.726 -0.587  -0.543 -0.628  -0.360 -0.670  -0.180 -0.720  0.001 -0.770  0.183 -0.818  0.366 -0.856  0.551 -0.888  0.736 -0.919  0.913 -0.978  1.082 -1.058  1.235 -1.166
1c#syn#syn0#zc/l  0.287 1.675  0.226 1.636  0.188 1.578  0.161 1.510  0.134 1.443  0.110 1.375  0.085 1.307  0.060 1.238  0.040 1.169  0.031 1.097  0.021 1.025  0.012 0.953  0.003 0.881  -0.001 0.809  -0.004 0.736  -0.007 0.664  -0.011 0.591  -0.014 0.519  -0.018 0.446  -0.021 0.374  -0.024 0.301  -0.028 0.229  -0.032 0.156  -0.035 0.084  -0.039 0.011  -0.042 -0.061  -0.046 -0.134  -0.050 -0.206  -0.054 -0.279  -0.057 -0.351  -0.061 -0.424  -0.065 -0.496  -0.068 -0.569  -0.072 -0.641  -0.074 -0.714  -0.076 -0.786  -0.079 -0.859  -0.084 -0.931  -0.089 -1.004  -0.094 -1.076  -0.099 -1.148  -0.103 -1.221  -0.107 -1.293  -0.107 -1.366  -0.100 -1.435  -0.039 -1.443  0.024 -1.408  0.084 -1.367  0.140 -1.321  0.194 -1.273
1c#syn#syn0#zc/m  -1.047 0.882  -1.062 0.709  -1.076 0.537  -1.089 0.364  -1.101 0.191  -1.101 0.018  -1.099 -0.155  -1.075 -0.327  -1.040 -0.496  -0.963 -0.644  -0.892 -0.503  -0.853 -0.334  -0.812 -0.166  -0.771 0.003  -0.737 0.173  -0.701 0.342  -0.659 0.510  -0.617 0.678  -0.562 0.842  -0.458 0.846  -0.380 0.691  -0.310 0.533  -0.244 0.373  -0.186 0.209  -0.130 0.045  -0.077 -0.120  -0.025 -0.285  0.025 -0.451  0.083 -0.614  0.169 -0.762  0.275 -0.640  0.346 -0.483  0.408 -0.321  0.466 -0.157  0.524 0.006  0.582 0.169  0.641 0.332  0.685 0.500  0.765 0.565  0.875 0.433  0.965 0.284  1.060 0.140  1.152 -0.007  1.239 -0.157  1.312 -0.313  1.374 -0.475  1.429 -0.639  1.478 -0.806  1.560 -0.831  1.653 -0.690
1c#syn#syn0#zc/n  -0.876 0.853  -0.845 0.711  -0.814 0.568  -0.812 0.422  -0.810 0.277  -0.808 0.131  -0.806 -0.015  -0.804 -0.160  -0.804 -0.306  -0.791 -0.451  -0.772 -0.596  -0.752 -0.740  -0.727 -0.883  -0.632 -0.899  -0.597 -0.758  -0.573 -0.614  -0.546 -0.471  -0.517 -0.328  -0.489 -0.185  -0.461 -0.042  -0.433 0.101  -0.404 0.244  -0.370 0.386  -0.336 0.528  -0.300 0.669  -0.257 0.808  -0.215 0.948  -0.165 1.085  -0.071 1.165  0.027 1.058  0.116 0.943  0.207 0.829  0.297 0.714  0.381 0.595  0.465 0.476  0.547 0.355  0.627 0.234  0.708 0.113  0.778 -0.015  0.844 -0.145  0.911 -0.275  0.972 -0.407  1.032 -0.540  1.090 -0.673  1.144 -0.809  1.196 -0.945  1.253 -1.076  1.363 -1.098  1.409 -0.963  1.417 -0.820
1c#syn#syn0#zc/o  -0.195 1.077  -0.240 0.960  -0.246 0.821  -0.140 0.742  -0.003 0.724  0.136 0.713  0.276 0.713  0.416 0.713  0.555 0.706  0.693 0.686  0.832 0.666  0.963 0.621  1.094 0.571  1.202 0.485  1.264 0.371  1.271 0.231  1.212 0.105  1.151 -0.021  1.059 -0.125  0.965 -0.229  0.871 -0.333  0.760 -0.417  0.648 -0.500  0.535 -0.583  0.421 -0.662  0.294 -0.721  0.168 -0.780  0.041 -0.840  -0.088 -0.890  -0.226 -0.911  -0.365 -0.932  -0.503 -0.953  -0.639 -0.926  -0.775 -0.893  -0.904 -0.850  -0.988 -0.739  -1.072 -0.627  -1.157 -0.516  -1.182 -0.383  -1.157 -0.250  -1.095 -0.125  -1.032 -0.000  -0.970 0.125  -0.907 0.250  -0.805 0.344  -0.689 0.419  -0.558 0.467  -0.427 0.515  -0.296 0.564  -0.165 0.612
1c#syn#syn0#zc/p  -0.191 1.034  -0.160 0.857  -0.131 0.679  -0.110 0.501  -0.097 0.321  -0.083 0.142  -0.070 -0.037  -0.057 -0.216  -0.048 -0.396  -0.042 -0.576  -0.037 -0.755  -0.033 -0.935  -0.028 -1.115  -0.029 -1.295  -0.038 -1.474  -0.051 -1.653  -0.076 -1.831  -0.141 -1.843  -0.179 -1.667  -0.197 -1.488  -0.210 -1.309  -0.213 -1.129  -0.215 -0.950  -0.202 -0.770  -0.185 -0.591  -0.169 -0.412  -0.140 -0.235  -0.109 -0.058  -0.078 0.119  -0.039 0.295  0.002 0.470  0.043 0.645  0.098 0.816  0.156 0.986  0.230 1.149  0.318 1.306  0.445 1.432  0.611 1.499  0.727 1.386  0.658 1.220  0.565 1.067  0.456 0.924  0.337 0.790  0.210 0.663  0.078 0.541  -0.064 0.430  -0.213 0.331  -0.376 0.262  -0.482 0.355  -0.442 0.519
1c#syn#syn0#zc/r  -0.823 0.622  -0.764 0.498  -0.674 0.397  -0.572 0.304  -0.470 0.212  -0.368 0.119  -0.266 0.027  -0.176 -0.072  -0.147 -0.207  -0.116 -0.341  -0.085 -0.475  -0.055 -0.609  -0.024 -0.743  0.007 -0.877  0.033 -1.012  0.057 -1.147  0.079 -1.283  0.101 -1.419  0.113 -1.555  0.016 -1.507  -0.043 -1.383  -0.087 -1.253  -0.131 -1.122  -0.167 -0.990  -0.198 -0.856  -0.229 -0.722  -0.254 -0.587  -0.267 -0.450  -0.281 -0.313  -0.294 -0.176  -0.295 -0.039  -0.295 0.099  -0.295 0.236  -0.279 0.373  -0.263 0.509  -0.230 0.642  -0.186 0.773  -0.117 0.891  -0.028 0.993  0.081 1.076  0.207 1.130  0.341 1.164  0.476 1.180  0.614 1.180  0.750 1.171  0.884 1.139  1.017 1.105  1.133 1.031  1.234 1.093  1.335 1.173
1c#syn#syn0#zc/t  0.157 1.981  0.100 1.832  0.046 1.682  -0.010 1.532  -0.069 1.383  -0.126 1.234  -0.174 1.081  -0.222 0.928  -0.265 0.774  -0.307 0.620  -0.344 0.464  -0.375 0.307  -0.403 0.150  -0.425 -0.009  -0.441 -0.168  -0.444 -0.328  -0.420 -0.485  -0.370 -0.636  -0.292 -0.775  -0.192 -0.900  -0.080 -1.013  0.043 -1.115  0.174 -1.208  0.313 -1.287  0.462 -1.338  0.616 -1.309  0.747 -1.218  0.746 -1.117  0.735 -0.957  0.725 -0.797  0.715 -0.638  0.705 -0.478  0.695 -0.318  0.685 -0.159  0.675 0.001  0.665 0.161  0.655 0.320  0.557 0.414  0.404 0.366  0.252 0.318  0.099 0.270  -0.053 0.219  -0.205 0.169  -0.357 0.121  -0.510 0.073  -0.665 0.032  -0.820 -0.004  -0.978 -0.030  -1.137 -0.045  -1.287 -0.102
1c#syn#syn0#zc/v  -0.906 0.339  -0.965 0.392  -0.991 0.294  -1.000 0.193  -0.990 0.092  -0.969 -0.008  -0.939 -0.105  -0.889 -0.194  -0.838 -0.283  -0.784 -0.369  -0.723 -0.451  -0.662 -0.533  -0.600 -0.614  -0.534 -0.693  -0.469 -0.771  -0.403 -0.849  -0.337 -0.927  -0.267 -1.002  -0.192 -1.071  -0.115 -1.138  -0.032 -1.133  0.030 -1.055  0.071 -0.961  0.108 -0.866  0.144 -0.770  0.180 -0.675  0.214 -0.578  0.248 -0.482  0.282 -0.386  0.312 -0.288  0.342 -0.190  0.372 -0.093  0.401 0.005  0.428 0.104  0.455 0.202  0.483 0.301  0.509 0.400  0.535 0.498  0.561 0.597  0.587 0.696  0.614 0.795  0.641 0.893  0.668 0.992  0.695 1.090  0.726 1.188  0.758 1.285  0.789 1.382  0.811 1.482  0.829 1.583  0.811 1.682
