1c#tos#f1#f1002058/a  0.606 0.273  0.544 0.198  0.469 0.327  0.469 0.486  0.378 0.590  0.378 0.749  0.318 0.895  0.247 1.038  0.094 1.049  -0.066 1.049  -0.226 1.049  -0.385 1.049  -0.525 0.988  -0.654 0.895  -0.791 0.812  -0.886 0.694  -0.945 0.546  -0.989 0.392  -1.033 0.239  -1.125 0.109  -1.173 -0.034  -1.173 -0.194  -1.173 -0.354  -1.173 -0.513  -1.084 -0.636  -0.964 -0.730  -0.804 -0.730  -0.644 -0.730  -0.485 -0.730  -0.325 -0.730  -0.172 -0.686  -0.044 -0.591  0.086 -0.499  0.187 -0.382  0.278 -0.262  0.402 -0.180  0.451 -0.029  0.515 0.110  0.515 0.094  0.515 -0.065  0.515 -0.225  0.560 -0.339  0.671 -0.439  0.788 -0.548  0.924 -0.623  1.081 -0.639  1.222 -0.685  1.382 -0.685  1.541 -0.685  1.701 -0.685
1c#tos#f1#f1002058/b  0.359 0.898  0.359 1.104  0.431 1.287  0.453 1.486  0.453 1.692  0.521 1.834  0.371 1.725  0.264 1.550  0.198 1.357  0.135 1.164  0.029 0.988  -0.073 0.810  -0.162 0.627  -0.196 0.424  -0.276 0.236  -0.343 0.047  -0.355 -0.156  -0.436 -0.342  -0.436 -0.548  -0.522 -0.727  -0.530 -0.931  -0.530 -1.136  -0.519 -1.040  -0.431 -0.854  -0.342 -0.668  -0.254 -0.483  -0.166 -0.297  -0.136 -0.131  -0.296 -0.086  -0.382 0.095  -0.335 0.243  -0.129 0.243  0.076 0.243  0.282 0.243  0.476 0.201  0.646 0.090  0.782 -0.048  0.822 -0.249  0.827 -0.455  0.827 -0.660  0.657 -0.727  0.549 -0.872  0.363 -0.953  0.163 -0.998  -0.039 -1.032  -0.242 -1.066  -0.448 -1.067  -0.653 -1.067  -0.859 -1.067  -0.951 -0.927
1c#tos#f1#f1002058/f  -0.240 0.789  -0.365 0.767  -0.488 0.736  -0.579 0.680  -0.643 0.638  -0.516 0.633  -0.391 0.608  -0.265 0.601  -0.137 0.601  -0.010 0.601  0.118 0.601  0.245 0.601  0.373 0.601  0.500 0.601  0.627 0.610  0.751 0.638  0.869 0.676  0.997 0.676  0.933 0.746  0.827 0.810  0.706 0.843  0.584 0.864  0.456 0.864  0.344 0.827  0.237 0.777  0.203 0.663  0.137 0.555  0.137 0.428  0.116 0.306  0.061 0.195  0.061 0.068  0.061 -0.059  0.061 -0.187  0.061 -0.314  0.052 -0.440  0.005 -0.558  -0.038 -0.678  -0.079 -0.799  -0.142 -0.909  -0.203 -1.021  -0.240 -1.139  -0.253 -1.263  -0.330 -1.365  -0.362 -1.480  -0.452 -1.571  -0.574 -1.584  -0.664 -1.622  -0.792 -1.622  -0.880 -1.561  -0.880 -1.433
1c#tos#f1#f1002058/g  0.707 0.355  0.707 0.544  0.707 0.733  0.707 0.922  0.666 1.101  0.638 1.283  0.541 1.441  0.388 1.477  0.222 1.434  0.080 1.346  -0.033 1.195  -0.040 1.008  -0.040 0.819  -0.040 0.631  0.001 0.483  0.059 0.336  0.244 0.314  0.433 0.314  0.576 0.381  0.575 0.455  0.541 0.287  0.469 0.135  0.375 -0.007  0.309 -0.168  0.182 -0.308  0.126 -0.479  0.048 -0.636  -0.072 -0.781  -0.156 -0.947  -0.309 -1.046  -0.466 -1.150  -0.607 -1.264  -0.794 -1.276  -0.980 -1.306  -1.168 -1.306  -1.203 -1.152  -1.203 -0.963  -1.114 -0.802  -0.980 -0.668  -0.847 -0.535  -0.713 -0.401  -0.547 -0.331  -0.363 -0.292  -0.211 -0.189  -0.024 -0.185  0.160 -0.145  0.349 -0.143  0.538 -0.143  0.726 -0.143  0.832 -0.226
1c#tos#f1#f1002058/h  -0.893 -0.178  -1.067 -0.228  -1.279 -0.254  -1.395 -0.292  -1.182 -0.292  -0.974 -0.256  -0.777 -0.177  -0.586 -0.081  -0.386 -0.009  -0.178 0.036  0.012 0.122  0.189 0.240  0.366 0.359  0.530 0.495  0.703 0.620  0.870 0.750  1.002 0.917  1.006 1.128  0.892 1.228  0.802 1.379  0.665 1.455  0.503 1.352  0.386 1.198  0.263 1.024  0.136 0.853  0.090 0.645  0.006 0.450  -0.118 0.276  -0.257 0.116  -0.374 -0.061  -0.460 -0.255  -0.553 -0.447  -0.663 -0.630  -0.791 -0.797  -0.893 -0.900  -0.753 -0.760  -0.634 -0.618  -0.450 -0.520  -0.313 -0.444  -0.100 -0.444  0.019 -0.567  0.019 -0.780  0.144 -0.899  0.358 -0.899  0.564 -0.864  0.767 -0.803  0.942 -0.697  1.131 -0.605  1.287 -0.482  1.424 -0.406
1c#tos#f1#f1002058/i  -0.576 0.392  -0.470 0.477  -0.364 0.563  -0.243 0.601  -0.158 0.549  -0.158 0.412  -0.220 0.309  -0.315 0.214  -0.385 0.097  -0.473 -0.007  -0.570 -0.104  -0.634 -0.225  -0.695 -0.347  -0.756 -0.470  -0.808 -0.596  -0.861 -0.722  -0.919 -0.846  -0.953 -0.977  -0.953 -1.114  -0.816 -1.114  -0.679 -1.114  -0.543 -1.102  -0.408 -1.079  -0.291 -1.015  -0.178 -0.938  -0.051 -0.888  0.060 -0.813  0.164 -0.726  0.291 -0.675  0.401 -0.598  0.498 -0.501  0.595 -0.404  0.605 -0.276  0.740 -0.249  0.805 -0.165  0.798 -0.029  0.773 0.106  0.749 0.241  0.725 0.376  0.701 0.511  0.677 0.645  0.652 0.780  0.628 0.915  0.604 1.050  0.580 1.185  0.556 1.320  0.531 1.454  0.487 1.572  0.386 1.636  0.470 1.689
1c#tos#f1#f1002058/l  -0.591 -0.621  -0.628 -0.786  -0.765 -0.890  -0.911 -0.987  -0.926 -0.989  -0.810 -0.891  -0.703 -0.771  -0.582 -0.662  -0.431 -0.575  -0.297 -0.465  -0.181 -0.335  -0.075 -0.197  0.048 -0.073  0.128 0.082  0.242 0.212  0.382 0.313  0.523 0.411  0.601 0.567  0.679 0.723  0.771 0.871  0.817 1.037  0.835 1.210  0.881 1.366  0.792 1.450  0.618 1.442  0.449 1.398  0.284 1.343  0.137 1.258  0.028 1.124  -0.059 0.975  -0.198 0.871  -0.276 0.719  -0.351 0.562  -0.441 0.412  -0.490 0.245  -0.499 0.072  -0.499 -0.102  -0.499 -0.277  -0.499 -0.451  -0.468 -0.621  -0.383 -0.772  -0.249 -0.879  -0.137 -0.989  0.038 -0.989  0.212 -0.989  0.387 -0.989  0.556 -0.967  0.705 -0.876  0.865 -0.810  0.973 -0.713
1c#tos#f1#f1002058/n  -0.536 0.276  -0.674 0.220  -0.858 0.191  -1.026 0.108  -1.219 0.108  -1.373 0.148  -1.373 0.341  -1.291 0.484  -1.122 0.576  -0.967 0.692  -0.826 0.823  -0.662 0.925  -0.490 1.001  -0.309 1.041  -0.138 1.112  0.055 1.112  0.133 0.996  0.133 0.803  0.133 0.610  0.128 0.417  0.090 0.228  0.006 0.057  -0.035 -0.123  -0.081 -0.309  -0.206 -0.453  -0.311 -0.612  -0.334 -0.784  -0.481 -0.895  -0.461 -0.704  -0.393 -0.529  -0.286 -0.387  -0.133 -0.269  -0.035 -0.117  0.142 -0.054  0.244 0.076  0.388 0.180  0.572 0.220  0.690 0.113  0.684 -0.079  0.635 -0.265  0.635 -0.458  0.635 -0.651  0.639 -0.840  0.832 -0.840  1.025 -0.840  1.218 -0.840  1.412 -0.840  1.549 -0.706  1.727 -0.648  1.917 -0.617
1c#tos#f1#f1002058/o  0.866 0.829  0.710 0.829  0.554 0.829  0.398 0.829  0.250 0.785  0.096 0.775  -0.058 0.768  -0.188 0.682  -0.329 0.648  -0.415 0.519  -0.523 0.407  -0.642 0.307  -0.753 0.208  -0.791 0.057  -0.872 -0.074  -0.966 -0.199  -1.059 -0.323  -1.121 -0.458  -1.121 -0.614  -1.121 -0.770  -1.121 -0.926  -1.024 -1.041  -0.872 -1.051  -0.716 -1.051  -0.560 -1.051  -0.405 -1.051  -0.249 -1.051  -0.093 -1.048  0.054 -0.999  0.202 -0.950  0.330 -0.862  0.452 -0.766  0.563 -0.656  0.656 -0.532  0.753 -0.411  0.864 -0.301  0.866 -0.146  0.912 0.002  0.973 0.144  0.973 0.300  0.973 0.456  0.899 0.581  0.795 0.666  0.720 0.788  0.571 0.829  0.415 0.829  0.259 0.829  0.103 0.829  -0.053 0.829  -0.155 0.775
1c#tos#f1#f1002058/s  1.229 -0.030  1.229 0.112  1.211 0.249  1.154 0.378  1.109 0.512  0.986 0.578  0.922 0.705  0.850 0.817  0.709 0.817  0.602 0.900  0.480 0.965  0.344 0.998  0.203 0.998  0.061 0.998  -0.080 0.998  -0.222 0.998  -0.349 0.953  -0.467 0.875  -0.592 0.809  -0.692 0.709  -0.705 0.573  -0.690 0.438  -0.590 0.338  -0.481 0.251  -0.354 0.188  -0.263 0.094  -0.211 -0.030  -0.069 -0.030  0.049 -0.073  0.127 -0.191  0.252 -0.248  0.370 -0.319  0.443 -0.430  0.443 -0.572  0.443 -0.713  0.426 -0.850  0.338 -0.936  0.196 -0.936  0.055 -0.936  -0.087 -0.936  -0.228 -0.936  -0.370 -0.936  -0.511 -0.936  -0.652 -0.936  -0.794 -0.936  -0.935 -0.936  -1.077 -0.936  -1.218 -0.936  -1.284 -0.832  -1.310 -0.695
1c#tos#f1#f1002058/t  -0.347 0.383  -0.490 0.431  -0.654 0.431  -0.807 0.457  -0.935 0.556  -1.072 0.598  -0.936 0.625  -0.773 0.625  -0.609 0.625  -0.445 0.625  -0.282 0.625  -0.119 0.637  0.043 0.660  0.204 0.690  0.364 0.722  0.527 0.722  0.691 0.722  0.815 0.762  0.757 0.867  0.641 0.915  0.478 0.915  0.333 0.869  0.170 0.867  0.073 0.754  -0.043 0.639  -0.130 0.501  -0.217 0.362  -0.315 0.231  -0.404 0.094  -0.488 -0.046  -0.522 -0.206  -0.558 -0.366  -0.589 -0.526  -0.589 -0.689  -0.589 -0.853  -0.569 -1.012  -0.495 -1.158  -0.336 -1.166  -0.172 -1.166  -0.009 -1.166  0.155 -1.166  0.319 -1.166  0.475 -1.127  0.627 -1.067  0.786 -1.028  0.935 -0.961  1.066 -0.866  1.191 -0.766  1.349 -0.730  1.493 -0.682
